Date,AFG,AGO,ALA,ALB,AND,ARE,ARG,ARM,ASM,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_AKD,OWID_CYN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
2002,14167.473,189221.62,0.0,0.0,0.0,0.0,588486.75,5516.727,0.0,0.0,0.0,83566.625,1008.896,166167.27,18782.635,0.0,968454.06,0.0,457072.72,3391.607,25415.588,0.0,0.0,0.0,40291.434,279.057,0.0,151591.95,1255409.8,0.0,0.0,0.0,85.863,219746.1,69205.95,0.0,558.113,1041781.5,8543.414,1150913.9,25265.326,2404.176,10432.412,0.0,0.0,11892.09,67381.36,0.0,515.18005,279.057,858.635,0.0,0.0,1674.338,364.92,3305.7449,0.0,10282.151,26531.814,0.0,107307.87,150.26102,1485438.0,0.0,0.0,89383.87,0.0,0.0,257.591,0.0,1438.214,0.0,1217672.8,372411.3,0.0,145474.19,386.387,0.0,18117.191,0.0,0.0,84210.59,1416.747,0.0,10432.412,0.0,13566.428,1824.599,1137.6909,15884.743,291184.5,0.0,1761897.0,0.0,249004.06,64140.01,0.0,5752.853,66887.64,472.24902,0.0,21.466,7942.371,583936.0,18632.377,11913.557,207338.81,0.0,3091.0842,0.0,1674.339,42.932,686.90796,21.466,0.0,0.0,18653.838,42.932,5366.469,0.0,4228.7773,0.0,171.727,14446.527,5709.921,288651.53,3305.7441,1129126.1,0.0,209206.34,0.0,257.591,0.0,81570.3,0.0,0.0,0.0,493.715,48319.668,8371.689,0.0,7105.203,0.0,27433.379,3628139.5,31898.281,0.0,450.783,1760.202,0.0,0.0,0.0,0.0,42.932,0.0,35789416.0,102499.51,815.704,2532.971,27583.64,0.0,38788.82,16850.705,0.0,5430.8647,6611.49,103551.34,429.317,0.0,0.0,0.0,29322.373,4869403.0,772.771,49435.895,1540326.2,766782.25,0.0,0.0,0.0,0.0,127378.46,2532.9731,0.0,2082.19,0.0,15498.359,1212928.9,0.0,4786.888,5473.797,0.0,214.65901,9724.037,0.0,30545.93,0.0,2577642.8,157945.84,505950.5,2339.7798,0.0,24836.008,772.77203,0.0,0.0,407.852,360540.72,0.0,0.0,98871.79,795932.9,2041425.5,0.0,3498.937,377412.9,4400.504,0.0,34753.242,0.0,0.0,63195.516,0.0,0.0,0.0,0.0,307605.88,67789.21,415042.53
2003,21680.53,195983.38,0.0,3820.9248,0.0,0.0,631568.75,1888.997,0.0,0.0,0.0,77320.055,1738.736,140944.89,23676.852,0.0,1004967.5,0.0,328105.78,665.443,44112.36,0.0,0.0,28249.08,14382.132,1180.622,0.0,133560.62,1337924.5,0.0,0.0,0.0,64.398,159663.12,73241.54,0.0,13416.169,1341745.5,7663.3174,1390301.2,30717.66,4486.368,14124.538,21.466,0.0,11849.161,116538.195,0.0,1996.326,1824.599,708.37305,0.0,0.0,12664.86,7985.304,18224.523,1803.133,6783.214,19898.86,0.0,83416.36,364.919,1128138.6,21.466,3155.482,11677.432,0.0,0.0,171.72699,601.044,579.579,0.0,1081278.8,247952.23,0.0,87172.89,150.261,0.0,9681.106,0.0,0.0,90306.91,1738.735,0.0,24041.77,0.0,12793.656,2790.563,515.181,31812.418,137810.88,0.0,1902219.4,21.466,203689.62,72919.555,0.0,3048.1528,135320.83,1309.4181,0.0,0.0,9423.518,937951.0,45593.504,5366.466,308335.72,0.0,3756.5283,0.0,2704.7012,128.795,1803.1321,257.591,0.0,0.0,21701.992,64.398,1309.419,0.0,923.032,0.0,1202.089,923.03503,5151.81,312135.2,944.499,974443.06,0.0,368161.06,0.0,15498.355,0.0,67510.16,0.0,0.0,0.0,837.169,53836.4,22260.105,0.0,5795.785,0.0,32177.332,4778560.0,30009.285,0.0,0.0,10432.41,0.0,686.908,0.0,0.0,1287.951,0.0,33917016.0,133968.48,4142.913,3091.083,40634.89,0.0,34066.332,9831.369,1266.485,6504.157,56605.492,147041.19,42.932,0.0,0.0,0.0,36470.51,2185182.2,257.591,41193.0,1380534.2,416223.2,0.0,0.0,0.0,0.0,167626.95,4550.7627,0.0,5151.81,0.0,33443.82,1145590.4,0.0,8436.086,815.70294,0.0,0.0,12793.659,0.0,46688.26,0.0,2530954.5,150368.4,720351.6,3434.539,0.0,62401.277,343.453,0.0,85.863,1266.487,326281.2,0.0,1245.02,76096.51,1205780.8,399415.4,0.0,2404.178,822829.6,25179.463,0.0,56541.098,0.0,0.0,272122.8,0.0,0.0,0.0,0.0,310160.3,54308.645,449924.56
2004,4357.571,188964.03,0.0,1073.294,0.0,0.0,623068.25,3348.676,0.0,0.0,0.0,855758.3,4615.161,174324.31,15004.638,0.0,786187.4,0.0,290540.5,5946.046,120659.64,0.0,0.0,2039.2559,8371.688,150.261,0.0,195232.06,1464036.5,0.0,0.0,0.0,64.397995,106470.7,24556.95,0.0,8114.0986,1291773.0,7040.805,1317038.2,23376.332,6182.173,13180.042,0.0,0.0,9724.038,321794.8,0.0,1352.349,729.84,601.045,0.0,0.0,7276.928,2318.314,41751.11,5538.1943,20929.22,14875.846,0.0,96167.086,64.397995,879220.44,0.0,42.932,56798.688,0.0,0.0,450.784,493.715,2210.983,0.0,795460.6,235931.34,0.0,131585.77,85.864,0.0,51088.766,0.0,0.0,85262.43,1330.884,0.0,4808.355,0.0,12428.74,1996.326,3327.209,17580.547,229813.58,0.0,2428476.5,0.0,227173.28,27798.295,0.0,965.965,157001.34,171.727,0.0,21.466,3992.6523,786316.2,23311.938,6289.499,491740.1,0.0,3713.595,0.0,6847.613,128.795,965.965,21.466,0.0,0.0,9638.174,0.0,923.032,0.0,107.329,0.0,5452.329,17408.818,6504.157,347811.47,2726.165,1241736.1,0.0,381791.9,0.0,64.398,0.0,51260.492,0.0,0.0,0.0,0.0,46924.38,51689.81,0.0,6504.159,0.0,29129.184,3880127.2,31683.625,0.0,0.0,5538.194,0.0,0.0,0.0,0.0,42.932,450.78302,36734068.0,234900.98,2833.495,2769.096,27347.518,0.0,37865.793,6718.817,1008.896,8972.734,7792.107,132358.55,686.90796,0.0,0.0,0.0,114949.72,3805619.2,21.466,54072.52,1323499.5,531001.2,0.0,0.0,0.0,0.0,126863.27,2575.904,0.0,622.51105,0.0,58880.88,938487.75,0.0,4271.708,2168.054,0.0,42.932,10969.059,0.0,17408.82,0.0,2882844.5,113232.45,917343.9,5023.0137,0.0,31941.21,665.443,0.0,21.466,2575.904,381298.22,0.0,21.466,62186.625,1026562.2,1106608.4,0.0,3348.676,792176.4,14768.517,0.0,39604.527,0.0,0.0,320292.2,0.0,0.0,0.0,0.0,220239.81,52677.24,448958.62
2005,1395.281,165544.77,0.0,3541.869,0.0,0.0,496076.22,3348.6748,0.0,0.0,0.0,518164.56,2790.563,105783.8,8414.623,0.0,1154176.8,0.0,336219.88,1073.294,100288.53,0.0,0.0,0.0,22088.377,407.851,0.0,91788.05,1312122.6,0.0,0.0,0.0,0.0,76826.34,107157.61,21.466,14060.145,2354913.0,4550.764,1241457.0,21186.81,5409.4004,11870.628,21.466,0.0,6160.704,183619.02,0.0,493.715,171.728,1524.077,0.0,0.0,21.466,7555.9863,22152.775,3735.062,17924.0,12214.078,0.0,6697.35,0.0,805893.06,0.0,0.0,20843.36,0.0,0.0,128.79599,107.33,4636.627,0.0,1193051.5,258363.19,0.0,114928.25,42.932,0.0,29215.045,0.0,0.0,84532.59,42.932,0.0,12686.327,0.0,14382.13,1137.6919,1846.065,6461.2246,81119.516,0.0,2491307.2,0.0,189930.0,14789.985,0.0,2490.042,51389.285,772.771,0.0,0.0,6654.418,334502.62,35611.875,8221.428,440093.22,0.0,429.317,0.0,7856.508,0.0,279.056,0.0,0.0,0.0,18567.975,0.0,2103.656,0.0,236.124,0.0,1652.873,35526.008,7212.53,355066.9,2404.178,1080785.0,0.0,347339.22,0.0,15391.028,0.0,50938.504,0.0,0.0,0.0,0.0,48491.39,61778.766,0.0,4593.696,0.0,27283.12,5029817.5,21744.922,0.0,0.0,6482.693,0.0,0.0,0.0,0.0,1567.009,1459.6791,41020372.0,335876.44,2253.916,1223.556,36685.17,0.0,22904.082,4894.217,1159.157,10647.068,3219.882,146912.39,128.795,0.0,0.0,0.0,152965.77,4986886.0,150.261,67617.48,1286685.6,477701.4,0.0,0.0,0.0,0.0,113189.52,2575.905,0.0,858.635,0.0,11741.83,1203161.9,0.0,2511.5068,944.498,0.0,150.261,12063.818,0.0,10260.686,0.0,2570151.2,181601.23,993139.8,1287.952,0.0,36363.18,622.51,0.0,107.328995,300.52203,387287.2,0.0,1094.7589,40742.223,1426192.2,2789983.0,0.0,1030.3619,626416.94,16378.456,0.0,76955.13,0.0,0.0,426204.78,0.0,0.0,0.0,0.0,324263.4,57206.535,410513.25
2006,9809.9,170288.73,0.0,128.795,0.0,0.0,400918.0,8199.961,0.0,0.0,0.0,609179.8,214.659,175182.94,1545.544,450.783,815552.75,0.0,247651.72,7727.713,173186.61,0.0,0.0,3048.1543,19297.818,21.466,0.0,78071.36,1474533.4,0.0,0.0,0.0,171.728,69270.36,59117.0,0.0,3327.21,3463990.0,8672.211,1276789.8,16571.652,4658.096,9724.041,0.0,0.0,7233.997,209034.61,0.0,0.0,0.0,1888.9971,0.0,0.0,15069.041,4872.753,7384.259,3219.8801,67295.5,17000.965,0.0,11655.964,150.262,627619.0,0.0,0.0,27776.83,0.0,0.0,450.784,3863.856,4550.764,0.0,856724.25,217535.1,0.0,152665.25,64.397995,0.0,15713.016,0.0,0.0,102842.97,279.056,0.0,10947.592,0.0,14188.937,1953.394,3627.731,20285.244,254155.88,0.0,2104470.5,0.0,210386.97,23247.54,0.0,2339.7803,47289.312,3627.7322,0.0,0.0,10732.934,293094.94,13738.154,8393.156,306918.97,0.0,214.659,0.0,1695.8049,901.567,3219.88,0.0,0.0,0.0,2447.1091,0.0,558.113,0.0,236.125,0.0,3670.6619,35697.74,6418.295,306124.75,1352.349,1170082.9,0.0,306446.72,42.932,214.65901,0.0,54652.098,0.0,0.0,0.0,1867.53,44992.457,3112.552,0.0,4722.4907,0.0,33744.344,3884334.5,23354.863,472.25,236.125,1287.9519,0.0,1888.9971,0.0,0.0,0.0,0.0,36541216.0,89448.266,3112.5518,1760.2009,24878.938,0.0,26467.416,7641.852,1266.487,8779.541,6053.3755,92217.375,42.932,0.0,0.0,0.0,204333.6,5024344.0,622.50995,48212.34,1027292.0,651725.2,0.0,0.0,0.0,0.0,233634.5,1996.3259,0.0,128.79599,0.0,40935.41,1125047.5,0.0,3777.992,193.19301,0.0,193.19301,8264.359,0.0,7963.837,0.0,2455287.5,121496.81,452801.0,643.97595,0.0,21272.676,1094.76,0.0,150.261,150.261,527459.3,0.0,0.0,33336.496,378099.8,1578599.9,0.0,3327.2131,647174.44,11333.978,0.0,43919.164,0.0,0.0,128580.55,0.0,0.0,0.0,0.0,320206.34,47804.49,442561.78
2007,7255.4634,167111.78,0.0,11398.375,0.0,0.0,534650.4,407.851,0.0,0.0,0.0,38080.445,0.0,77148.33,2704.7002,579.57904,893194.75,0.0,285216.97,4250.242,42330.69,0.0,0.0,4636.628,11591.568,236.125,0.0,68604.91,1936199.8,0.0,0.0,0.0,21.466,76418.49,91659.25,0.0,7212.5317,3089968.8,14274.803,1249678.5,17666.41,7877.9746,11763.295,0.0,0.0,8994.2,143778.38,0.0,257.59,2382.712,279.057,0.0,0.0,343.454,13330.304,25909.305,3949.7192,65084.516,36019.723,0.0,28227.617,0.0,658143.5,21.466,1846.0651,8564.884,0.0,0.0,171.727,0.0,708.375,0.0,813341.7,254499.33,0.0,138411.9,85.864,0.0,52612.84,0.0,0.0,107179.08,450.78302,0.0,9745.505,0.0,12299.946,944.49805,1073.293,20778.96,64955.715,0.0,2328832.0,0.0,282834.28,55854.188,0.0,515.181,133152.78,1137.691,0.0,0.0,7813.576,427728.9,31018.18,19984.723,499381.94,0.0,214.658,21.466,9316.187,64.397995,2318.313,0.0,0.0,0.0,4636.627,0.0,1137.691,0.0,85.864,0.0,643.97595,32756.914,7856.508,292687.1,1717.2721,896822.5,0.0,324993.25,0.0,42.932,0.0,64333.207,0.0,0.0,0.0,0.0,49951.08,15906.208,0.0,3584.8,0.0,41064.203,3625799.5,27733.9,579.579,0.0,2790.565,0.0,128.795,0.0,0.0,21.466,2640.3018,35920916.0,101383.3,3692.1282,4486.365,33615.55,0.0,22667.955,3477.47,2532.9722,7384.259,300.522,129160.125,0.0,0.0,0.0,0.0,103701.61,4102664.0,150.261,37028.62,1089929.4,487919.16,0.0,0.0,0.0,0.0,121453.88,2168.054,0.0,429.318,0.0,31232.84,998205.75,0.0,2039.258,601.044,0.0,386.386,14704.118,0.0,8199.963,0.0,2248399.2,106728.3,596708.2,64.398,0.0,35010.832,193.193,0.0,21.466,622.51,371853.22,0.0,0.0,51840.07,734969.9,2145213.0,0.0,1481.145,836460.44,6225.101,0.0,46538.0,0.0,0.0,266992.44,0.0,0.0,0.0,0.0,239580.55,55940.05,541927.25
2008,17988.396,160779.36,0.0,5280.603,0.0,0.0,530786.5,3627.732,0.0,0.0,0.0,138970.03,3391.6072,65556.76,9895.765,0.0,722369.4,0.0,224210.98,4228.7764,74250.44,0.0,0.0,5387.932,35933.863,257.591,0.0,65063.043,1415394.9,0.0,0.0,0.0,321.988,68755.17,177093.39,0.0,9273.255,1345201.5,12729.261,1167571.5,19233.418,6310.967,7620.384,0.0,0.0,7019.338,122999.42,0.0,0.0,450.784,13845.483,0.0,0.0,2897.8928,9509.377,14146.006,450.78302,29601.432,36320.246,0.0,9809.902,42.932,593338.06,0.0,64.398,34967.895,0.0,0.0,686.909,0.0,558.11304,0.0,842728.44,214658.67,0.0,101855.54,64.397995,0.0,86357.18,0.0,0.0,94922.06,1223.554,0.0,14146.007,0.0,9208.857,4164.38,3520.4038,15519.821,57077.746,0.0,2388034.8,0.0,107436.664,62186.625,0.0,128.79501,115894.22,0.0,0.0,0.0,6246.568,731642.6,31748.02,965.965,342487.94,0.0,0.0,0.0,3048.156,0.0,279.056,0.0,0.0,0.0,16721.91,85.864,1502.61,0.0,0.0,0.0,429.319,128881.06,5581.126,405039.44,1309.417,998205.75,0.0,256839.11,0.0,85.863,0.0,61649.98,0.0,0.0,0.0,0.0,52526.98,4980.081,0.0,2532.9731,0.0,24964.805,3674720.5,37973.117,0.0,515.18097,1652.871,0.0,0.0,0.0,0.0,0.0,128.796,38875500.0,104689.03,772.771,364.92,9659.643,0.0,17537.613,14253.336,2082.188,9444.981,3434.54,120745.51,150.261,0.0,0.0,0.0,491246.38,7337356.0,128.795,9831.367,872737.75,425968.7,0.0,0.0,0.0,0.0,108896.34,1910.4639,0.0,171.728,0.0,86936.766,1058052.6,0.0,2125.121,407.85202,0.0,0.0,7727.713,0.0,343.45502,0.0,2167902.5,117375.37,364576.28,85.864006,0.0,6053.375,472.251,0.0,343.454,429.31702,194351.95,0.0,1416.7471,46881.453,805163.25,4398163.0,0.0,4250.245,645865.0,3606.2642,0.0,53514.406,0.0,0.0,420387.56,0.0,0.0,0.0,0.0,292536.84,51990.332,527094.4
2009,4550.7637,156228.58,0.0,2318.314,0.0,0.0,446983.75,1438.213,0.0,0.0,0.0,251236.52,815.703,75774.51,5538.193,236.125,731084.5,0.0,255315.03,2103.656,28184.686,0.0,0.0,1373.816,24256.432,665.442,0.0,96381.74,1328823.1,0.0,0.0,0.0,708.374,54974.086,81226.84,0.0,8715.145,2270208.8,7405.723,1037509.75,18009.861,5065.944,15111.969,0.0,0.0,13544.962,213091.67,0.0,0.0,407.85098,64.397995,0.0,0.0,772.771,8157.0303,20972.152,7427.189,33486.758,8994.197,0.0,10131.89,21.466,738619.0,0.0,21.466,11269.58,0.0,0.0,128.796,0.0,64.397995,0.0,731707.0,188341.52,0.0,140365.3,42.932,0.0,13523.496,0.0,0.0,104045.055,1223.5549,0.0,16636.049,0.0,11999.422,2382.713,1760.2,7513.056,154189.33,0.0,2876555.0,0.0,119242.9,43897.703,0.0,2189.518,37586.74,3498.935,0.0,0.0,15004.642,251279.44,11011.991,6268.033,284873.53,0.0,472.24902,0.0,6246.567,0.0,1073.293,0.0,0.0,0.0,13244.439,0.0,772.772,0.0,64.397995,0.0,1910.462,25007.738,7555.984,325122.03,257.59,754546.7,0.0,317823.62,0.0,11505.704,0.0,65513.832,64.397995,0.0,0.0,0.0,35526.016,31576.293,0.0,2833.4946,0.0,24385.225,2408427.5,39797.72,0.0,0.0,2039.258,0.0,0.0,0.0,0.0,0.0,321.988,33610350.0,138132.86,1760.2019,2812.028,19641.273,0.0,14167.473,1738.7369,386.38602,29086.25,1180.6229,72876.62,0.0,0.0,0.0,0.0,116709.92,5207318.5,85.864,10797.33,1062131.1,467226.06,0.0,0.0,0.0,0.0,123407.27,3176.948,0.0,193.193,0.0,43189.324,1130027.8,0.0,6482.6914,257.59003,0.0,42.932,8328.759,0.0,27433.379,0.0,1651540.9,102885.91,425195.94,386.385,0.0,35332.82,150.262,0.0,214.659,1309.419,1275673.5,0.0,1309.4178,53514.41,369685.16,2261450.5,0.0,2404.178,605745.3,3735.06,0.0,52290.855,0.0,0.0,344097.88,0.0,0.0,0.0,0.0,326560.25,47718.625,479912.38
2010,21766.389,160457.36,0.0,4829.82,0.0,0.0,320979.12,8285.823,0.0,0.0,0.0,341328.75,0.0,108746.086,3520.405,0.0,715199.75,0.0,270147.94,7405.7227,43511.312,0.0,0.0,1330.884,6847.613,150.261,0.0,91036.74,1992934.0,85.863,0.0,214.659,515.181,54866.76,87731.0,0.0,8822.472,2992943.0,3799.461,955939.5,20435.504,7233.997,5430.867,0.0,0.0,11591.566,110806.805,0.0,21.466,128.796,0.0,0.0,0.0,0.0,10690.002,20242.314,1030.361,37350.61,3413.072,0.0,5323.535,171.728,542378.06,0.0,1008.89606,21809.322,0.0,0.0,279.057,0.0,2146.5881,0.0,788634.5,164364.14,21.466,91981.24,171.727,0.0,12986.851,0.0,0.0,98893.25,901.566,0.0,3885.321,0.0,12063.817,987.43,708.37396,2640.302,11226.65,0.0,2821130.2,0.0,315591.2,146418.69,0.0,5624.056,68819.57,450.783,0.0,64.398,7341.327,261604.53,17280.025,3498.936,309451.94,0.0,536.64703,0.0,16421.387,193.19301,0.0,0.0,0.0,0.0,14103.074,0.0,85.863,0.0,128.79501,0.0,1760.202,38080.445,8371.691,251644.36,686.907,796469.56,0.0,391494.5,0.0,236.125,0.0,57914.91,0.0,0.0,0.0,2210.984,47611.297,17365.889,0.0,3498.936,0.0,23290.467,2723932.8,22345.967,0.0,0.0,3391.608,0.0,0.0,0.0,0.0,343.454,214.658,31065146.0,178016.44,3885.322,4550.765,26424.484,0.0,23333.398,7019.34,1803.133,8543.416,18138.658,91551.93,128.795,0.0,0.0,0.0,229234.0,2606321.2,42.932,11398.375,723034.8,440715.72,0.0,0.0,0.0,0.0,79316.38,1373.817,0.0,2404.178,0.0,11119.32,823044.25,0.0,2683.2341,193.193,0.0,0.0,11248.115,0.0,39754.785,0.0,1525600.6,85520.016,396302.84,236.124,0.0,16700.447,0.0,0.0,0.0,4185.8438,718033.25,0.0,21.466,53814.926,644298.0,1146878.4,0.0,3348.678,957356.2,3284.279,0.0,44434.344,0.0,0.0,677570.1,0.0,0.0,0.0,0.0,259286.2,53170.953,555858.6
2011,11977.954,154146.4,0.0,12493.136,0.0,0.0,367667.38,2425.644,0.0,0.0,0.0,849425.8,3026.6877,143971.58,2983.756,0.0,788226.6,0.0,236940.25,9552.311,79595.44,0.0,0.0,7427.1914,3112.552,1137.6909,0.0,65041.58,1441218.4,0.0,0.0,0.0,236.125,90306.91,63474.57,0.0,7920.905,2541408.5,8264.361,941793.44,25157.996,4851.286,5495.261,0.0,0.0,10904.661,139034.44,0.0,21.466,343.454,429.318,0.0,0.0,0.0,8092.634,8371.688,17065.365,31039.645,1567.0079,0.0,18653.838,0.0,630152.0,0.0,0.0,10088.959,0.0,0.0,193.193,794.237,1695.804,0.0,1030490.4,206651.9,0.0,94986.46,107.33,0.0,43318.12,0.0,0.0,114949.72,0.0,0.0,11613.034,0.0,10046.029,6375.3623,1545.543,12299.942,84103.266,0.0,3119913.5,0.0,151656.36,32520.79,0.0,2425.643,70837.36,686.90796,0.0,214.659,8586.346,116516.73,10088.962,5108.877,361334.97,0.0,6332.431,0.0,1888.9971,0.0,2168.053,450.78302,0.0,0.0,10818.799,0.0,0.0,0.0,0.0,0.0,686.90796,34645.91,5581.126,356140.22,3048.1519,768392.2,0.0,264008.72,150.261,42.932,0.0,59675.113,85.863,0.0,0.0,0.0,59074.074,36234.383,0.0,9015.663,0.0,18782.635,2579274.2,32649.584,0.0,0.0,3563.331,0.0,0.0,0.0,0.0,472.249,601.045,30410608.0,113769.09,1287.953,6160.704,16056.473,0.0,12750.725,3262.81,1652.8721,21143.88,3928.253,113103.66,0.0,0.0,0.0,0.0,245633.92,1713384.0,107.328995,8779.54,674393.1,504898.7,0.0,0.0,0.0,0.0,120831.37,1395.282,0.0,0.0,0.0,65556.76,1115087.4,0.0,3885.3218,1781.667,0.0,0.0,11655.967,0.0,10088.961,0.0,2168546.2,118126.664,398385.03,42.932,0.0,9251.791,21.466,0.0,0.0,2747.631,909487.3,0.0,0.0,49414.43,461344.44,1126979.5,0.0,1545.5449,677033.44,10668.536,0.0,34645.914,0.0,0.0,283048.94,0.0,0.0,0.0,0.0,301702.78,58880.88,530249.9
