Date,AFG,AGO,ALA,ALB,AND,ARE,ARG,ARM,ASM,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_AKD,OWID_CYN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
2002,0.0,9487.919,0.0,0.0,0.0,0.0,69442.09,0.0,0.0,0.0,0.0,43919.164,0.0,279.057,21.466,0.0,1137.6909,0.0,128.796,171.727,150.262,0.0,107.33,0.0,1545.5428,171.72699,0.0,23054.342,91573.38,0.0,42.932,0.0,11548.639,3563.335,22045.45,0.0,4529.3013,53450.01,1524.077,2726.166,39153.746,3906.7869,3670.665,0.0,0.0,42.932,987.432,0.0,0.0,0.0,21.466,0.0,0.0,0.0,21.466,7920.907,579.579,236.125,0.0,0.0,515.18097,21.466,9938.697,236.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15884.744,965.964,0.0,1008.896,2168.052,0.0,0.0,0.0,0.0,107.329994,128.79599,0.0,64.397995,0.0,601.044,0.0,0.0,214.66,48105.008,0.0,10668.536,0.0,26016.635,27819.768,0.0,0.0,1931.929,0.0,0.0,0.0,21.466,9444.983,2082.1921,236.125,1416.748,0.0,0.0,493.715,150.26201,0.0,0.0,214.659,0.0,0.0,364.92102,42.932,0.0,0.0,0.0,0.0,42.932,0.0,5666.99,5688.459,0.0,14274.803,0.0,622.512,0.0,1245.021,0.0,23183.139,386.386,0.0,0.0,0.0,429.31702,794.23804,0.0,1266.486,107.33,7126.6694,34323.926,4636.628,0.0,0.0,0.0,0.0,85.863,85.864,21.466,0.0,0.0,920928.75,558.114,107.33,1008.897,1073.2949,0.0,7255.467,64.397995,21.466,923.033,150.261,5795.785,0.0,0.0,107.329,0.0,429.31702,44047.97,64.397995,14639.72,1631.407,3799.459,0.0,0.0,0.0,64.398,364.919,42.932,0.0,0.0,0.0,0.0,18889.967,0.0,321.989,236.12401,0.0,0.0,64.397995,0.0,1352.3511,0.0,8371.69,1008.896,2425.6492,0.0,0.0,2168.052,42.932,0.0,0.0,901.566,2275.383,0.0,0.0,7169.602,2189.523,3305.748,0.0,386.38605,33078.906,1223.555,0.0,5752.856,0.0,0.0,4464.902,0.0,0.0,0.0,64.398,16292.596,68282.92,493.716
2003,1309.418,12772.193,0.0,236.125,0.0,42.932,68368.79,0.0,0.0,0.0,0.0,37608.203,21.466,1051.828,643.976,0.0,1223.556,0.0,257.591,0.0,407.852,0.0,85.863,21.466,0.0,601.04297,0.0,5688.459,31683.621,0.0,0.0,0.0,34602.977,3327.213,25651.713,21.466,4293.176,58365.695,1266.488,3606.269,47203.44,5731.3867,5323.537,0.0,0.0,64.397995,364.922,0.0,0.0,558.113,0.0,0.0,0.0,0.0,21.466,1953.393,321.988,85.864,21.466,0.0,364.92,0.0,14532.389,21.466,64.397995,257.591,0.0,0.0,21.466,21.466,880.101,0.0,20456.973,2082.188,0.0,3820.9243,2876.428,0.0,0.0,0.0,0.0,601.04395,21.466,0.0,1245.022,193.193,2983.7559,343.454,0.0,279.056,13587.901,0.0,12643.3955,0.0,14124.546,30610.33,0.0,21.466,1030.362,0.0,0.0,21.466,85.864,24342.293,8650.747,85.864,2575.907,0.0,236.125,2597.3699,364.921,0.0,64.397995,0.0,0.0,0.0,193.194,21.466,64.397995,0.0,472.249,0.0,42.932,107.33,2082.191,9101.533,0.0,32241.734,0.0,3305.744,42.932,2275.3828,0.0,23891.516,21.466,0.0,0.0,0.0,407.852,1245.021,0.0,364.91998,0.0,10153.355,33035.977,4829.824,0.0,0.0,42.932,0.0,0.0,0.0,0.0,0.0,0.0,953664.25,2082.189,1202.09,7663.317,1352.352,0.0,2125.122,1051.828,128.795,686.908,601.045,4121.452,0.0,0.0,0.0,0.0,1567.009,72211.18,3842.391,2168.053,28614.0,3906.788,0.0,0.0,0.0,0.0,5151.808,21.466,0.0,472.24902,0.0,21.466,41021.273,0.0,536.647,128.795,0.0,0.0,42.932,0.0,1481.147,0.0,3928.254,1008.896,3692.139,0.0,0.0,1245.02,0.0,0.0,257.591,1051.8269,1738.739,0.0,107.329,12879.527,4379.041,4314.643,0.0,300.523,41836.98,386.38602,0.0,9080.064,0.0,0.0,4099.982,0.0,0.0,0.0,0.0,15326.627,24685.754,279.057
2004,407.852,13781.094,0.0,0.0,0.0,0.0,62701.8,64.398,0.0,0.0,0.0,46559.47,0.0,107.33,21.466,0.0,3520.403,0.0,386.386,0.0,364.922,0.0,923.033,0.0,107.329,236.125,0.0,12278.479,48405.54,0.0,0.0,0.0,450.78302,2640.3071,13201.51,0.0,6461.226,64483.47,1567.0131,4228.7773,50058.406,18052.797,5645.527,0.0,0.0,64.398,2940.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.932,5323.537,601.045,429.317,42.932,0.0,386.387,0.0,4937.148,0.0,0.0,858.635,0.0,0.0,386.386,0.0,21.466,0.0,14789.982,2726.167,0.0,3477.4702,4357.574,0.0,300.52298,0.0,0.0,21.466,107.328995,0.0,193.194,150.262,1502.612,0.0,0.0,64.397995,57700.258,0.0,10604.143,0.0,44541.684,10818.798,0.0,0.0,386.386,0.0,0.0,0.0,364.919,8650.746,1631.408,1202.089,4958.616,0.0,837.169,558.112,300.523,0.0,450.783,0.0,0.0,0.0,107.33,0.0,0.0,0.0,0.0,0.0,64.397995,0.0,8328.757,6375.37,0.0,13287.374,0.0,5387.935,0.0,279.056,0.0,22431.834,193.193,0.0,0.0,0.0,1567.0079,1287.954,0.0,923.034,21.466,6396.83,25243.861,7019.339,0.0,0.0,0.0,0.0,0.0,64.397995,0.0,0.0,0.0,1019178.1,1974.86,321.989,8479.019,643.97797,0.0,20650.17,0.0,0.0,643.977,128.79501,2790.57,0.0,0.0,107.328995,0.0,493.71698,39604.535,2575.905,3413.071,36792.5,3971.188,0.0,0.0,0.0,0.0,6568.5557,0.0,0.0,64.398,0.0,21.466,35912.395,0.0,429.318,236.125,0.0,0.0,64.397995,0.0,4550.7646,0.0,94750.336,515.182,3627.736,42.932,0.0,1867.532,0.0,0.0,21.466,128.796,2039.26,0.0,42.932,8543.419,4593.7017,3584.803,0.0,558.11304,25265.336,407.85205,0.0,4958.616,0.0,0.0,4507.833,0.0,0.0,0.0,0.0,21143.88,28742.797,1030.3619
2005,85.864,23118.738,0.0,0.0,0.0,107.329,51174.633,0.0,0.0,0.0,0.0,57228.0,0.0,107.33,150.261,0.0,2532.975,0.0,472.25,321.988,450.783,0.0,343.455,0.0,64.397995,364.92,0.0,20263.781,59159.94,0.0,0.0,0.0,10539.74,3971.186,21723.459,64.397995,11419.84,112717.28,4336.107,4808.357,55059.957,13029.784,5130.3438,150.261,0.0,107.33,8929.802,0.0,0.0,1094.759,321.98798,0.0,0.0,0.0,21.466,4357.57,5130.3423,429.318,128.795,0.0,729.841,0.0,15906.207,0.0,0.0,601.044,0.0,0.0,236.124,0.0,0.0,42.932,44670.473,3541.8691,0.0,901.56805,2146.589,0.0,686.90906,0.0,0.0,214.659,536.64703,0.0,193.193,0.0,2361.246,0.0,42.932,85.863,11505.708,0.0,10389.482,0.0,55253.14,14253.336,0.0,0.0,1695.8029,0.0,0.0,2554.438,257.591,14918.779,1352.3511,1717.269,7491.588,0.0,85.863,622.511,472.251,0.0,0.0,0.0,0.0,0.0,257.591,0.0,0.0,0.0,0.0,0.0,0.0,21.466,5130.3433,8564.888,0.0,3906.787,0.0,3134.02,0.0,1760.2021,0.0,22324.506,128.795,0.0,0.0,0.0,11570.103,987.431,0.0,1051.8291,64.397995,12063.817,38724.426,4099.982,21.466,0.0,42.932,0.0,0.0,21.466,0.0,0.0,0.0,1557241.5,1416.749,386.386,5323.54,343.454,0.0,2189.522,2382.712,64.398,85.864,729.83997,7341.331,21.466,0.0,21.466,0.0,708.376,82042.55,4014.119,13909.882,8865.404,3069.621,21.466,0.0,0.0,0.0,1803.1329,0.0,0.0,21.466,0.0,21.466,35010.83,0.0,42.932,21.466,0.0,0.0,0.0,0.0,1330.884,0.0,333944.5,4464.9023,3627.741,21.466,0.0,1524.078,21.466,0.0,279.056,171.726,2404.181,0.0,128.795,18288.926,5752.8584,11054.927,0.0,279.05798,39883.586,22517.693,0.0,8693.678,64.398,0.0,6225.105,0.0,0.0,0.0,0.0,20027.654,117182.17,729.841
2006,1116.2269,8586.348,0.0,0.0,0.0,0.0,177565.66,150.261,0.0,0.0,0.0,61113.324,1888.996,515.182,21.466,0.0,2575.9011,0.0,300.523,128.79501,1502.614,0.0,171.72702,42.932,0.0,107.329,0.0,9037.131,31383.104,0.0,0.0,0.0,1073.294,4894.2188,17644.945,0.0,1395.281,130018.76,3305.748,4894.217,41171.54,8865.404,3541.872,21.466,0.0,0.0,2146.5889,0.0,0.0,0.0,1287.9519,85.863,0.0,107.33,0.0,3928.2542,1159.1589,1094.759,0.0,0.0,601.044,279.057,9080.062,364.91998,0.0,772.771,0.0,0.0,343.454,42.932,0.0,0.0,22496.23,8092.632,0.0,4615.162,16335.526,0.0,429.31702,0.0,0.0,279.056,42.932,0.0,42.932,150.261,901.567,21.466,42.932,1008.896,41300.332,0.0,12514.605,0.0,72661.96,34645.91,64.398,107.33,579.57904,64.397995,0.0,0.0,279.056,14489.468,257.59,944.498,2210.9849,0.0,64.398,2554.439,236.125,21.466,0.0,0.0,0.0,0.0,150.262,0.0,0.0,150.261,21.466,0.0,0.0,279.057,5860.1816,5409.404,0.0,12450.204,0.0,2425.643,0.0,1416.749,0.0,17945.467,279.057,0.0,0.0,0.0,10561.207,300.523,0.0,19662.734,42.932,1416.747,29515.574,1652.871,0.0,193.19301,429.31802,0.0,0.0,0.0,0.0,0.0,0.0,1230681.2,2575.903,472.25,1824.5989,1674.342,0.0,8650.747,0.0,107.33,214.659,150.262,6182.174,0.0,0.0,536.64703,0.0,880.102,77341.53,1674.338,4379.038,4915.685,5752.853,0.0,0.0,0.0,0.0,5001.548,0.0,0.0,0.0,0.0,622.51,30052.215,21.466,343.45398,42.932,0.0,107.33,0.0,0.0,1051.828,0.0,2253.917,1223.554,1309.4241,429.319,0.0,1438.214,0.0,0.0,193.192,64.398,1652.876,0.0,21.466,26596.22,3713.602,11119.325,0.0,729.842,29987.824,364.921,0.0,14339.203,0.0,0.0,2575.905,0.0,0.0,0.0,150.261,46087.223,49328.57,579.58
2007,450.78302,10883.199,0.0,321.988,0.0,64.397995,65664.09,0.0,0.0,0.0,0.0,50036.938,0.0,21.466,0.0,0.0,1309.419,0.0,300.523,0.0,364.92,0.0,214.659,85.864,128.795,794.23895,0.0,9122.995,55940.055,0.0,64.398,0.0,16249.66,4572.232,17516.148,0.0,3842.391,109540.32,3799.462,3713.598,33744.348,8285.826,3434.542,0.0,0.0,42.932,880.10205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.33,5688.455,1416.7471,1287.9519,10990.524,0.0,300.523,0.0,11162.25,0.0,0.0,0.0,0.0,0.0,85.864,0.0,0.0,0.0,21895.186,5538.193,0.0,1931.9299,8071.165,0.0,2511.508,42.932,0.0,321.987,21.466,0.0,85.864,0.0,880.103,343.45398,0.0,493.71503,4421.9707,0.0,11419.847,0.0,52484.047,21036.549,0.0,64.398,2253.918,0.0,0.0,42.932,42.932,9423.519,1931.928,257.591,2597.372,0.0,85.864,343.45502,429.318,0.0,0.0,0.0,0.0,0.0,150.262,0.0,0.0,0.0,0.0,0.0,0.0,472.24902,6117.771,9466.45,107.329,37930.188,0.0,4550.764,0.0,2940.8252,0.0,20456.973,4164.378,0.0,0.0,0.0,8865.403,343.455,0.0,3649.198,0.0,11613.034,20585.77,3327.211,0.0,0.0,214.658,0.0,42.932,257.59,0.0,0.0,0.0,1471270.8,1266.488,321.98798,1330.884,1030.363,0.0,1481.148,85.863,64.397995,107.33,0.0,5087.412,42.932,0.0,257.59,0.0,1502.612,60684.02,236.12502,2404.178,233591.58,4915.686,0.0,0.0,0.0,0.0,2210.983,64.398,0.0,64.397995,0.0,64.397995,26403.016,21.466,128.79599,0.0,0.0,0.0,0.0,0.0,16228.197,0.0,269568.38,880.101,3842.398,0.0,0.0,6268.0337,0.0,0.0,64.398,257.591,3305.747,0.0,0.0,5044.482,2618.842,12428.74,0.0,429.317,43210.797,772.771,0.0,6375.3657,0.0,0.0,3992.653,0.0,0.0,0.0,0.0,14296.274,20285.248,1373.818
2008,2339.78,18353.32,0.0,21.466,0.0,236.125,308486.0,0.0,0.0,0.0,0.0,29215.05,64.398,171.72699,0.0,0.0,772.773,0.0,622.51,0.0,386.38702,0.0,1438.2129,0.0,0.0,128.795,0.0,8479.02,54931.164,0.0,0.0,0.0,2983.756,4894.221,28785.727,0.0,4679.5586,48512.867,1846.0669,4550.767,40205.574,14532.3955,3048.157,0.0,0.0,0.0,1996.328,0.0,0.0,171.727,0.0,0.0,0.0,0.0,150.262,1846.065,150.262,493.717,21.466,0.0,236.125,0.0,27948.559,0.0,85.863,85.864,0.0,0.0,407.853,0.0,0.0,0.0,14382.132,1137.692,0.0,987.43097,1352.352,0.0,815.70404,0.0,0.0,321.989,214.659,0.0,300.523,236.125,1760.201,279.056,0.0,107.33,5473.797,0.0,11806.229,0.0,88954.555,25673.178,0.0,42.932,450.784,0.0,0.0,0.0,42.932,24428.164,5151.809,257.591,2425.646,0.0,21.466,150.261,128.79599,0.0,0.0,0.0,0.0,0.0,236.125,21.466,0.0,0.0,0.0,0.0,42.932,150.26201,4808.356,7319.8643,64.397995,15433.96,0.0,2962.293,0.0,601.045,0.0,17709.346,14425.0625,0.0,0.0,0.0,8049.701,257.591,0.0,686.90796,0.0,15369.562,34967.902,4615.163,0.0,0.0,0.0,0.0,0.0,85.864,0.0,0.0,0.0,1301540.1,2833.495,214.659,429.32,643.976,0.0,4808.356,64.398,257.591,472.25,42.932,5280.6094,0.0,0.0,450.784,0.0,1459.682,98206.35,3413.073,536.648,52569.91,3649.199,0.0,0.0,0.0,0.0,2747.631,0.0,0.0,429.318,0.0,279.057,8500.485,21.466,300.524,42.932,0.0,0.0,85.863,0.0,85.864,0.0,36234.387,1245.02,1652.8789,257.591,0.0,3048.1538,0.0,0.0,0.0,0.0,2919.359,0.0,0.0,10260.685,3069.625,6997.875,0.0,665.443,28935.992,1953.392,0.0,8436.088,0.0,0.0,4014.1191,0.0,0.0,0.0,0.0,23590.988,52011.797,429.31897
2009,686.908,12128.218,0.0,21.466,0.0,21.466,73520.6,1202.089,0.0,0.0,0.0,63818.023,0.0,64.397995,85.864006,0.0,858.636,0.0,643.978,257.59,85.864,0.0,686.909,0.0,150.261,42.932,0.0,4872.753,56068.85,0.0,0.0,21.466,3563.334,2618.836,8350.225,0.0,1824.6,64419.074,1824.5999,3735.062,35654.812,8779.541,2382.717,150.261,0.0,0.0,2017.795,0.0,0.0,0.0,21.466,0.0,0.0,0.0,107.33,1910.464,450.784,472.25,193.19301,0.0,386.38602,0.0,35762.137,0.0,0.0,407.85202,0.0,0.0,0.0,64.398,0.0,0.0,7963.8384,1846.0651,0.0,643.97504,2790.566,0.0,1116.226,0.0,0.0,193.19301,128.79599,0.0,171.728,0.0,601.045,0.0,42.932,193.193,14940.249,0.0,14210.411,0.0,49994.008,9852.832,0.0,0.0,64.397995,21.466,0.0,0.0,751.305,24213.502,708.374,450.78296,2082.19,0.0,0.0,1524.077,171.728,0.0,965.965,0.0,0.0,0.0,386.387,0.0,0.0,0.0,0.0,0.0,128.79599,21.466,10883.196,8650.75,42.932,4722.491,0.0,2404.181,0.0,364.921,0.0,21465.871,429.31702,0.0,0.0,0.0,1180.624,1652.873,0.0,2769.097,0.0,7405.7246,21079.488,3091.087,0.0,0.0,558.113,0.0,0.0,0.0,0.0,0.0,0.0,883406.5,15798.88,386.387,5280.604,3026.69,0.0,1803.135,214.659,21.466,794.237,42.932,9402.052,0.0,0.0,729.839,0.0,515.182,63538.973,1352.35,4851.286,25522.916,2125.121,0.0,0.0,0.0,0.0,6246.566,0.0,0.0,21.466,0.0,407.852,30867.918,0.0,257.591,0.0,0.0,0.0,0.0,0.0,665.443,0.0,1760.202,386.386,2318.3179,0.0,0.0,3391.6091,0.0,0.0,42.932,107.329994,5259.14,0.0,21.466,5860.187,2833.497,7749.182,0.0,579.58,21744.93,2919.3582,0.0,14081.613,0.0,0.0,4765.422,0.0,0.0,0.0,193.19301,12729.261,8801.009,772.772
2010,558.113,14103.078,0.0,0.0,0.0,150.261,42566.82,0.0,0.0,0.0,0.0,53106.56,0.0,665.442,42.932,0.0,429.318,0.0,300.524,193.193,171.728,0.0,150.26201,0.0,0.0,429.31802,0.0,19877.395,104452.91,0.0,64.398,0.0,4743.957,3863.857,28098.824,0.0,2361.247,78908.53,729.841,3176.948,47224.914,12342.875,2318.315,0.0,0.0,0.0,1545.5441,0.0,0.0,0.0,0.0,21.466,0.0,0.0,85.864,2232.451,1781.667,923.033,772.771,0.0,450.783,0.0,28292.014,0.0,0.0,236.12502,0.0,0.0,42.932,42.932,64.397995,0.0,10260.6875,1502.612,0.0,1116.2261,3026.688,0.0,42.932,0.0,0.0,150.262,128.796,0.0,171.728,64.398,1073.294,85.863,0.0,0.0,1116.2261,0.0,14467.999,0.0,16485.79,8801.011,0.0,214.658,236.125,0.0,0.0,0.0,0.0,21981.049,3906.79,7233.998,5345.003,0.0,0.0,3176.948,987.43097,0.0,0.0,0.0,0.0,0.0,171.726,0.0,0.0,0.0,0.0,0.0,0.0,150.261,10346.549,7684.787,42.932,4872.7534,0.0,3262.8142,0.0,1695.804,0.0,21787.857,1266.486,21.466,0.0,0.0,11741.831,1481.146,0.0,772.771,0.0,2983.7559,23462.197,3176.952,0.0,0.0,0.0,0.0,42.932,0.0,0.0,0.0,0.0,1090595.0,2361.2458,472.25,2210.985,622.513,0.0,1287.952,171.728,107.328995,515.182,128.79501,2683.236,0.0,0.0,107.33,0.0,901.56903,76740.484,751.305,3005.2239,50380.39,6246.568,0.0,0.0,0.0,0.0,858.635,0.0,0.0,236.125,0.0,85.864,55918.586,0.0,343.454,0.0,0.0,0.0,0.0,0.0,1030.362,0.0,105461.805,686.908,2275.388,0.0,0.0,429.319,0.0,0.0,21.466,214.659,2854.965,0.0,0.0,9509.384,3713.596,15176.37,0.0,321.989,18331.854,407.851,0.0,10282.154,0.0,0.0,12235.545,0.0,0.0,0.0,0.0,23633.922,23269.002,536.647
2011,343.45502,11462.779,0.0,558.112,0.0,0.0,53213.887,0.0,0.0,0.0,0.0,131993.62,0.0,107.33,0.0,0.0,772.771,0.0,171.728,171.727,772.77203,0.0,536.648,0.0,193.193,579.579,0.0,8822.471,92260.305,0.0,0.0,150.261,2812.028,5065.948,9380.585,0.0,6697.3525,62894.996,3219.882,2404.177,53063.625,20177.914,2339.783,0.0,0.0,0.0,2854.9622,0.0,0.0,0.0,0.0,321.988,0.0,0.0,85.863,1116.2261,2296.8489,686.90796,13158.577,0.0,364.91998,0.0,22689.422,85.864,0.0,21.466,0.0,0.0,321.98898,214.65901,0.0,0.0,10690.005,2726.168,0.0,1524.078,5173.275,0.0,150.262,0.0,0.0,42.932,0.0,0.0,0.0,0.0,1545.544,171.727,0.0,85.864,11484.243,0.0,13308.834,42.932,70300.72,15154.902,0.0,21.466,815.70404,0.0,0.0,0.0,42.932,22066.912,2618.836,772.771,1910.462,0.0,386.38602,21.466,171.727,0.0,21.466,2790.562,0.0,0.0,128.79599,0.0,0.0,0.0,0.0,0.0,107.329,128.795,5023.012,8736.616,42.932,33443.824,0.0,1824.602,0.0,1588.473,0.0,27089.928,536.647,0.0,0.0,0.0,15154.903,472.251,0.0,136651.7,0.0,6611.487,38273.65,2339.779,0.0,0.0,150.261,0.0,0.0,0.0,0.0,0.0,0.0,1390365.8,1116.226,193.193,1609.9401,665.443,0.0,2490.042,558.11304,64.397995,944.49896,42.932,4014.1191,0.0,0.0,107.33,0.0,4057.052,104667.58,1159.157,14317.733,16786.309,7169.5996,0.0,0.0,0.0,0.0,1738.735,0.0,0.0,21.466,0.0,214.659,20950.686,0.0,64.397995,21.466,0.0,0.0,42.932,0.0,386.38602,0.0,71374.01,2253.916,2017.796,171.727,0.0,1524.079,0.0,0.0,0.0,1459.679,2468.579,0.0,0.0,11741.834,4421.973,9251.785,0.0,343.455,52076.2,343.455,0.0,4400.504,0.0,0.0,4014.119,0.0,0.0,0.0,236.125,38466.832,42867.336,794.238
