Date,AFG,AGO,ALA,ALB,AND,ARE,ARG,ARM,ASM,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_AKD,OWID_CYN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
2002,18052.793,17929022.0,0.0,0.0,0.0,0.0,3192039.0,622.511,0.0,0.0,0.0,69275530.0,64.398,43597.18,9230.323,0.0,954758.9,0.0,3403026.8,1266.486,3069.619,0.0,10432.412,1309.418,71889.19,8028.2344,0.0,1149089.4,7469757.0,0.0,21.466,1588.474,8121739.5,3214470.8,1370338.0,128.795,20929.223,274011.8,696009.3,321644.56,6894171.5,1142070.0,420666.62,0.0,0.0,8307.29,16507.256,0.0,944.498,42.932,64.397995,0.0,0.0,0.0,1545.543,23440.727,2168.055,0.0,20349.643,0.0,41214.47,3606.267,1167979.2,236.125,0.0,3820.925,0.0,0.0,199289.11,0.0,751.306,0.0,3562218.0,517348.88,0.0,140107.72,30181.01,0.0,1438.213,0.0,0.0,169043.72,772.76996,0.0,38810.29,0.0,53729.066,2747.6309,794.237,3820.925,1154649.0,0.0,99000.58,0.0,68347.32,37651.133,0.0,858.635,2854.959,407.852,0.0,300.522,1008.896,22863274.0,200126.28,39583.06,225520.4,0.0,343.454,0.0,115529.305,21.466,236.125,880.101,0.0,0.0,11419.844,45099.79,729.83997,0.0,1395.282,0.0,236.12502,107.33,3237997.2,563951.25,472.25,5569727.0,0.0,313530.44,0.0,985755.56,0.0,5292688.5,92775.484,0.0,0.0,0.0,135836.02,15884.741,0.0,3043945.8,4464.901,231530.84,4181272.0,10904.66,0.0,64.398,2640.302,0.0,42.932,0.0,0.0,0.0,0.0,242925870.0,13909.883,7663.314,16593.115,34710.316,0.0,151506.1,1030.3619,0.0,4464.9,68819.57,661320.44,85.863,0.0,0.0,0.0,9702.573,5348822.0,55210.21,44176.754,6397193.5,3817661.5,0.0,0.0,0.0,0.0,11484.238,536.648,0.0,21208.277,0.0,1459.678,15565030.0,0.0,20736.03,0.0,0.0,85.863,59159.926,0.0,300.523,0.0,8069728.0,427836.22,194974.47,4336.105,0.0,76504.35,2983.755,0.0,0.0,923.032,29944.89,0.0,0.0,4267715.0,531129.94,102757.11,0.0,15154.908,1411488.1,24836.01,0.0,910453.3,0.0,0.0,41600.855,0.0,0.0,0.0,0.0,4772120.0,7615081.0,1530516.2
2003,112030.36,21435536.0,0.0,9337.652,0.0,0.0,3843163.0,751.305,0.0,0.0,0.0,24385526.0,128.795,69034.23,7491.5903,0.0,950916.5,0.0,3151683.0,18009.863,7169.598,0.0,751.30505,33594.082,30503.0,29279.443,0.0,879027.25,5588488.5,0.0,214.66,708.373,1350868.5,3563548.8,1023535.5,257.59,21873.723,1005761.75,550062.9,512089.72,7925219.5,1886313.1,692939.7,407.852,0.0,10496.809,8285.827,0.0,407.852,751.305,85.864,0.0,0.0,64.397995,7491.59,57464.133,3048.154,21.466,9380.584,0.0,104324.11,3391.6082,1096648.2,9380.584,2747.631,44176.758,0.0,0.0,268838.53,3906.788,4550.764,0.0,3896398.2,463276.34,0.0,74765.62,27948.56,0.0,1502.61,0.0,0.0,383959.97,1137.691,0.0,76976.6,686.90906,293137.9,13351.773,107.33,1287.953,293137.88,0.0,188706.44,85.864,51453.688,21809.324,0.0,450.784,9745.504,42.932,0.0,321.988,1309.419,9484071.0,384260.5,15713.015,297001.75,0.0,107.33,0.0,141996.72,0.0,29901.955,193.193,0.0,0.0,11441.307,130813.0,3155.483,0.0,11097.854,0.0,2146.587,279.057,5774833.5,948190.3,300.522,5355648.0,0.0,594218.1,2103.656,1776579.5,0.0,4914352.5,32842.777,0.0,0.0,0.0,180592.33,12299.945,0.0,2976349.8,21.466,268860.0,4856481.0,126004.65,21.466,2554.438,28614.0,0.0,21.466,0.0,0.0,42.932,1245.021,191126500.0,11419.843,38810.29,58580.355,27776.832,0.0,166210.2,4679.559,107.33,2275.383,251537.03,335468.6,0.0,0.0,0.0,0.0,8285.825,11713151.0,30910.848,22002.514,7622272.0,2316918.5,0.0,0.0,0.0,0.0,204355.05,708.375,0.0,132723.47,0.0,429.318,10758650.0,0.0,16206.73,0.0,386.385,0.0,53793.465,0.0,3541.869,0.0,8461909.0,487210.78,233162.25,15541.287,0.0,325014.7,343.45502,0.0,1588.475,601.04504,17687.879,0.0,21.466,5018076.0,793743.4,35139.63,0.0,21723.46,1424324.8,31146.975,0.0,1662660.2,0.0,0.0,139764.27,343.454,0.0,0.0,0.0,3274403.5,8754790.0,1758462.2
2004,24556.953,21125032.0,0.0,386.38602,0.0,0.0,2241186.8,11291.046,0.0,0.0,0.0,57259470.0,193.193,78135.76,9616.711,107.329,837168.9,0.0,3470730.5,8199.961,8457.554,0.0,11935.021,4636.628,7126.6665,4765.4243,0.0,1415802.8,7212252.5,0.0,193.193,686.908,1685714.5,3444391.5,1267988.8,0.0,25157.994,360154.3,353414.03,499188.75,8882791.0,1896552.4,967337.8,42.932,0.0,11462.772,39046.414,0.0,21.466,0.0,64.397995,0.0,0.0,64.397995,2532.972,62487.14,2747.6318,0.0,3134.017,0.0,85305.35,1631.4071,1103195.2,0.0,515.18097,5044.481,0.0,0.0,375244.8,0.0,14360.664,0.0,2887030.2,495689.8,0.0,137703.55,32434.924,0.0,2253.917,21.466,0.0,35998.26,2017.791,0.0,69935.8,643.97705,10797.331,1245.022,1137.6919,343.45502,1074474.0,0.0,478302.47,0.0,59159.926,15820.346,0.0,1974.859,5065.945,0.0,0.0,42.932,708.375,12615211.0,125897.31,15605.6875,421568.16,0.0,1008.896,0.0,409783.4,85.863,21916.65,0.0,0.0,0.0,13716.691,36534.906,214.659,0.0,1910.4619,0.0,5237.672,128.796,3297908.5,279635.88,1094.758,8099952.0,0.0,1331484.9,0.0,1405842.6,0.0,5213286.5,264459.47,0.0,0.0,0.0,113940.82,27046.994,0.0,3315553.5,4228.776,173465.67,5372477.5,20306.713,0.0,0.0,31662.152,0.0,536.646,0.0,0.0,42.932,42.932,223480290.0,25608.783,26810.87,20478.436,22345.975,0.0,348219.3,343.455,0.0,8242.895,71631.6,272852.66,0.0,0.0,0.0,0.0,2983.759,3202192.2,22689.424,24728.68,7799945.0,3991256.2,0.0,0.0,0.0,0.0,257332.83,1524.078,0.0,19169.02,0.0,128.795,12493178.0,0.0,30266.877,0.0,0.0,0.0,42116.03,0.0,5001.546,0.0,8523152.0,350387.34,499489.28,18374.783,0.0,237133.44,4507.834,0.0,300.522,85.863,25329.725,0.0,0.0,4108395.2,425775.47,25544.385,0.0,20693.1,1780872.8,49156.832,0.0,1446842.4,0.0,0.0,134612.47,0.0,0.0,0.0,0.0,2798569.5,8954465.0,2631436.2
2005,10883.193,20778832.0,0.0,5216.207,0.0,0.0,1566042.4,9165.927,0.0,0.0,0.0,21070830.0,708.374,31426.033,6332.432,0.0,1208378.1,0.0,3682126.0,30545.93,3949.72,0.0,10067.494,1116.225,12428.736,20156.445,0.0,1592917.5,7031402.0,0.0,0.0,2983.756,2769376.0,3157028.0,789600.44,0.0,59202.863,339675.9,502086.66,563242.9,8378300.0,2091977.6,485836.97,2876.427,0.0,4980.081,26832.332,0.0,1524.0759,42.932,21.466,0.0,0.0,0.0,28506.67,74808.55,11720.365,0.0,4357.57,0.0,133410.38,0.0,1251481.5,42.932,0.0,21637.598,0.0,0.0,269675.7,128.795,23505.127,0.0,4968747.0,579213.5,0.0,148071.55,19448.076,0.0,1996.3259,0.0,0.0,329243.47,3692.129,0.0,37951.656,128.795,231788.44,1416.748,1030.362,450.783,343904.66,0.0,226722.48,42.932,57635.855,21465.871,0.0,2168.053,2189.519,1781.667,0.0,0.0,772.771,12454561.0,163355.25,20757.496,366250.62,0.0,2318.314,0.0,339096.28,0.0,5452.329,0.0,0.0,0.0,16035.005,60125.895,0.0,0.0,0.0,0.0,5967.5127,107.328995,5401263.0,906181.56,2189.519,7634572.0,0.0,812590.44,0.0,1010334.0,0.0,5438656.5,292665.62,0.0,0.0,0.0,169344.22,30503.0,0.0,3317120.5,1888.996,213113.14,5504213.5,171963.06,0.0,0.0,36406.113,0.0,0.0,0.0,0.0,107.329,321.988,196693950.0,29794.623,2661.768,161122.8,40119.707,0.0,85155.09,2189.519,257.59003,11291.046,223760.2,412960.34,107.329,0.0,0.0,0.0,3456.006,4249469.0,19018.76,29472.64,8295141.0,4284523.0,0.0,0.0,0.0,0.0,71459.87,901.567,0.0,25265.326,0.0,214.65901,12644791.0,0.0,2361.2449,21.466,0.0,0.0,56004.453,0.0,150.261,0.0,9393807.0,781379.0,377928.06,3670.6628,0.0,117268.02,2361.2449,0.0,965.964,107.328995,13544.963,0.0,21.466,4407436.0,891756.5,107179.07,0.0,7405.727,2635643.5,46924.383,0.0,1672899.5,0.0,0.0,210150.84,0.0,0.0,0.0,0.0,4569310.5,8966787.0,2411024.8
2006,7169.603,16642036.0,0.0,944.499,0.0,0.0,1662273.8,16314.059,0.0,0.0,0.0,49801412.0,0.0,123707.8,343.45398,0.0,923354.25,0.0,2637017.5,90027.84,19555.404,0.0,4057.051,5624.058,36599.305,7598.916,0.0,1332987.5,4672303.5,0.0,0.0,2425.6438,5164022.0,3397896.5,1151235.9,0.0,10690.002,246535.48,543945.06,537290.6,8508812.0,2212401.0,403944.7,85.863,0.0,4293.1743,24170.566,0.0,0.0,0.0,21.466,0.0,0.0,128.795,3906.7878,24063.238,4099.98,21.466,5237.672,0.0,105483.27,2661.769,942609.2,7942.371,42.932,2082.192,0.0,0.0,357921.9,300.522,25887.836,0.0,3885129.0,616435.3,0.0,216182.75,30095.146,0.0,8801.005,0.0,0.0,67703.35,751.30597,0.0,38574.164,965.96405,109432.99,2661.768,386.38602,2790.563,1393349.5,0.0,306597.0,107.328995,51131.695,13072.717,1867.531,1116.226,2511.507,450.785,0.0,0.0,794.23804,14003860.0,59760.977,38853.223,302153.53,0.0,236.125,0.0,142146.97,622.511,34602.98,407.851,0.0,0.0,12149.681,46108.684,364.919,0.0,901.567,0.0,4185.8438,536.648,3710826.0,517220.1,987.43,7534262.0,0.0,694957.44,1824.599,1237035.0,0.0,4944855.5,330767.56,0.0,0.0,150.261,120638.17,7126.671,0.0,5022648.0,1073.293,146461.61,5236405.0,37372.08,0.0,1674.338,15798.88,0.0,1459.679,0.0,0.0,0.0,150.261,210652450.0,19426.611,10003.093,36084.125,17151.227,0.0,210558.69,300.523,21.466,1567.01,40999.81,391322.75,0.0,0.0,0.0,0.0,7663.317,5569018.5,12428.737,22861.148,6859203.0,4874726.5,0.0,0.0,0.0,0.0,467140.2,1738.734,0.0,7298.3945,0.0,536.646,10716812.0,0.0,14060.144,0.0,171.727,2661.769,23612.451,0.0,815.703,0.0,7982920.0,464070.6,238700.45,6847.612,0.0,53063.625,6246.569,0.0,794.237,343.454,50230.125,0.0,0.0,2385394.5,232883.19,97047.19,0.0,9251.791,2626735.2,35847.996,0.0,1536591.2,0.0,0.0,73649.39,0.0,0.0,0.0,0.0,3346700.5,7303740.0,2258230.8
2007,4314.642,19903774.0,0.0,56326.44,0.0,0.0,1898956.5,708.374,0.0,0.0,0.0,45799270.0,0.0,51840.074,1373.817,257.59,1107917.8,0.0,2812157.5,30610.326,54523.305,0.0,3949.719,34366.855,4421.9688,29279.441,0.0,1239975.8,12426011.0,0.0,0.0,3434.539,2823470.0,2843605.0,718591.4,64.398,28528.143,330467.03,548753.44,600722.25,7042328.5,1823826.0,944347.94,107.33,0.0,9423.517,16399.928,0.0,2039.257,85.864006,0.0,0.0,0.0,0.0,3906.79,123471.67,3091.0862,21.466,39647.46,0.0,43167.86,0.0,1340028.2,1416.7471,364.92,2296.848,0.0,0.0,349077.94,2897.891,8865.403,0.0,3640353.5,535466.06,0.0,179819.56,27755.371,0.0,92539.35,0.0,0.0,303462.97,472.249,0.0,47997.68,193.193,66866.17,16292.596,923.033,4722.4927,114692.13,0.0,356655.38,579.579,104173.85,24277.898,0.0,1695.803,49779.348,150.261,0.0,0.0,1609.9409,7629699.0,664153.94,22560.623,387158.38,0.0,343.454,0.0,503632.2,1223.555,25501.453,0.0,0.0,0.0,10346.548,123450.2,0.0,0.0,1008.896,0.0,1030.362,923.033,5509730.0,604800.8,38359.504,6849028.5,0.0,1385493.0,23097.273,1744895.9,0.0,5051133.5,850821.1,0.0,0.0,0.0,129074.266,13759.622,0.0,4379165.5,0.0,269546.9,5146935.5,34710.305,0.0,2447.1082,11977.954,0.0,2125.122,0.0,0.0,0.0,12149.683,217706320.0,20092.055,4164.378,56541.094,27970.027,0.0,53063.625,21.466,21.466,1481.145,10475.342,597008.7,42.932,0.0,0.0,0.0,26188.36,4525584.5,5366.4673,22345.97,8948777.0,3294345.2,0.0,0.0,0.0,0.0,317458.72,429.31802,0.0,36556.375,0.0,14661.189,12543816.0,21.466,1416.747,193.193,0.0,0.0,82386.0,0.0,4636.628,0.0,8691916.0,370221.8,543708.94,8114.098,0.0,148500.86,1931.927,0.0,1030.3611,901.566,29794.625,0.0,0.0,5108704.5,1115108.9,171941.6,0.0,10797.335,2479780.0,29622.898,0.0,1703252.1,0.0,0.0,234943.92,0.0,0.0,0.0,21.466,3601521.8,7928847.5,2815334.2
2008,43232.254,17482446.0,0.0,8543.416,0.0,0.0,2238975.8,8500.482,0.0,0.0,0.0,26167386.0,107.328995,22023.98,5538.1943,0.0,818922.9,0.0,2348365.8,58065.17,13416.169,0.0,22775.283,9015.665,3627.7322,18610.908,0.0,888107.4,5374473.5,0.0,0.0,1846.065,10935850.0,3187230.5,848245.2,0.0,22689.424,972511.1,421181.8,576015.1,7696222.0,1745218.0,611111.8,751.305,0.0,8307.291,14103.078,0.0,1674.337,64.397995,150.262,0.0,0.0,21.466,5924.582,56884.555,214.659,0.0,33572.617,0.0,17709.34,686.908,1094995.4,4529.298,214.65799,8479.019,0.0,0.0,362064.78,0.0,8736.609,0.0,3431512.0,524089.16,0.0,158181.97,14897.3125,0.0,12686.328,0.0,0.0,87580.74,3820.924,0.0,23075.807,729.839,90521.56,5752.852,858.635,193.194,76354.086,0.0,390635.84,0.0,42888.81,68347.32,0.0,257.59,6976.4053,85.864,0.0,0.0,1030.363,9183098.0,185894.4,16850.707,303291.25,0.0,42.932,0.0,138970.03,0.0,14210.404,0.0,0.0,0.0,8843.938,21637.596,708.373,0.0,0.0,0.0,321.988,515.182,3489040.5,638716.9,6783.215,7304598.5,0.0,707364.7,3949.719,765966.56,0.0,5358482.0,367173.66,0.0,0.0,0.0,149166.33,4421.9697,0.0,2768002.2,0.0,218307.88,3963414.8,70214.85,0.0,4572.2295,33551.15,0.0,536.647,0.0,0.0,0.0,214.659,186922370.0,44541.676,5345.004,49629.086,6332.437,0.0,47933.285,343.454,21.466,7427.19,2082.1902,318081.22,0.0,0.0,0.0,0.0,8479.0205,7806964.5,13652.293,5752.8525,6914156.0,3860829.5,0.0,0.0,0.0,0.0,72232.64,429.318,0.0,25394.121,0.0,493.717,11423941.0,0.0,6632.952,21.466,0.0,214.658,72533.17,0.0,0.0,0.0,7997881.5,465852.25,281610.72,193.193,0.0,21809.32,3284.279,0.0,321.989,386.386,37887.26,0.0,21.466,3915009.2,733918.0,106942.95,0.0,20521.371,1621982.4,37951.656,0.0,1415674.0,0.0,0.0,48255.277,0.0,0.0,0.0,0.0,3637219.8,7657240.0,3386262.0
2009,4228.7754,17455442.0,0.0,3327.209,0.0,0.0,1718213.9,85.864,0.0,0.0,0.0,31672544.0,0.0,11634.5,2468.574,21.466,707364.75,0.0,2664064.5,75967.7,3305.7441,0.0,3756.526,1202.089,6847.614,8328.756,0.0,622596.0,3384072.5,0.0,42.932,450.78302,2162450.0,1965178.6,442132.47,0.0,33014.504,427535.7,350494.7,506701.8,7490407.0,1804120.2,462417.72,42.932,0.0,8307.29,29236.514,0.0,0.0,21.466,0.0,0.0,0.0,0.0,2339.779,99988.016,8736.609,42.932,1094.76,0.0,71760.39,21.466,1158512.9,2554.4387,2082.189,8994.199,0.0,0.0,297109.06,236.12502,107.328995,0.0,2721571.5,413926.3,0.0,161637.98,18224.52,0.0,23440.727,0.0,0.0,176342.1,1695.804,0.0,45614.97,386.38602,103851.87,2425.643,472.249,1202.0891,770624.6,0.0,678171.2,0.0,45614.973,42180.43,0.0,0.0,8436.086,429.317,0.0,0.0,1609.9401,4627032.0,77169.8,1888.997,345664.84,0.0,880.101,0.0,225627.75,0.0,293374.0,0.0,0.0,0.0,15734.481,56240.57,1159.157,0.0,558.11304,0.0,3563.335,64.397995,4100860.8,549461.8,515.182,5529929.5,0.0,1282864.8,128.795,401111.2,0.0,4375709.5,369749.56,0.0,0.0,0.0,103358.15,32048.54,0.0,5142492.0,0.0,214851.88,3589586.8,28313.484,0.0,0.0,53922.258,0.0,21.466,0.0,0.0,0.0,429.31802,169081250.0,41064.203,15798.881,34044.863,18245.988,0.0,84081.8,300.523,0.0,19941.793,37114.48,271092.44,0.0,0.0,0.0,0.0,6310.965,3825625.5,10969.058,10647.069,7138603.0,3275927.5,0.0,0.0,0.0,0.0,180678.2,622.50903,0.0,12085.281,0.0,1180.623,12886282.0,0.0,17666.408,0.0,0.0,0.0,31297.234,0.0,837.17004,321.988,6327944.5,421890.12,311899.06,2618.836,0.0,53106.56,2618.836,0.0,171.728,21.466,49672.023,0.0,236.125,3778593.8,485879.94,82536.266,0.0,13180.046,1919027.1,50852.64,0.0,1725963.0,0.0,0.0,102091.67,0.0,0.0,0.0,0.0,3557967.5,6460689.5,3489770.5
2010,49457.36,19038164.0,0.0,4357.5723,0.0,0.0,1353938.1,68282.92,0.0,0.0,0.0,15581472.0,0.0,112996.33,7727.715,0.0,796705.7,0.0,2774420.5,11398.376,7448.6553,0.0,2468.576,1567.008,3670.667,16292.595,0.0,1944099.2,12093913.0,429.31702,0.0,5001.548,13364843.0,2628946.2,1504735.9,0.0,24084.701,431979.12,420172.88,487468.38,7992601.0,2053188.8,406885.53,85.864,0.0,10024.562,8307.291,0.0,558.11304,0.0,0.0,0.0,0.0,0.0,4765.4233,55746.86,1266.487,21.466,1116.225,0.0,21294.143,42.932,1114808.4,686.908,1416.748,5430.8667,0.0,0.0,334953.4,1073.293,26725.004,0.0,3118840.2,388017.0,0.0,154554.25,14553.855,0.0,2683.233,0.0,0.0,129932.89,1416.747,0.0,32027.076,279.056,50788.242,193.193,450.783,0.0,62744.734,0.0,434082.78,472.249,228611.5,45443.246,0.0,5774.3203,2082.188,193.19199,0.0,0.0,1266.4869,11573988.0,117869.08,3863.855,368762.12,21.466,64.398,0.0,642044.06,622.50903,19984.725,0.0,0.0,0.0,3069.62,44863.66,42.932,0.0,364.92,0.0,2361.245,214.659,3786579.0,357170.56,1438.214,6155402.0,0.0,1489065.8,300.522,256753.23,0.0,5228463.0,645027.9,429.316,0.0,42.932,176900.22,19383.678,0.0,4603892.0,0.0,237584.22,4013280.0,99687.49,0.0,0.0,38144.848,0.0,729.839,0.0,0.0,85.863,643.976,183886160.0,19126.088,3713.5981,158010.25,37951.652,0.0,56025.914,837.17096,21.466,1781.666,85090.695,281481.9,0.0,0.0,0.0,429.31702,2275.385,5021768.0,31790.95,9015.665,5608065.0,3901679.0,0.0,0.0,0.0,0.0,38853.22,107.33,0.0,21852.254,0.0,686.90796,8271400.0,0.0,987.43,0.0,0.0,0.0,68647.84,0.0,1094.759,0.0,6903230.0,407336.28,368848.0,4722.491,0.0,275750.53,0.0,0.0,3134.017,214.659,71502.805,0.0,85.863,4383695.0,991422.6,58795.01,0.0,20456.973,1071211.2,2490.041,0.0,1327234.6,0.0,0.0,169258.38,0.0,0.0,0.0,0.0,4111185.8,7229554.0,3522742.0
2011,3262.814,20662356.0,0.0,21487.334,0.0,0.0,1659590.6,3670.661,0.0,0.0,0.0,79537580.0,42.932,48233.805,1502.6111,558.11304,817248.5,21.466,2652236.5,12729.261,14103.076,0.0,19984.725,15369.561,1159.157,37350.61,0.0,684825.56,5306985.0,0.0,0.0,3627.731,16315669.0,2883595.8,1260261.1,21.466,31254.3,236446.52,443892.66,414269.78,7305672.0,2075878.1,361807.2,150.261,0.0,3413.0742,35246.953,0.0,558.113,42.932,236.124,0.0,0.0,0.0,6568.558,32971.57,2661.769,0.0,8221.427,0.0,49843.742,0.0,1029889.4,1803.132,0.0,3992.6511,0.0,0.0,413582.88,643.975,6611.486,0.0,4594940.5,471712.44,0.0,181858.83,21294.14,0.0,17773.74,0.0,0.0,98764.445,0.0,0.0,39089.348,64.397995,244453.3,11763.296,257.59,128.796,343861.75,0.0,365907.2,21.466,66973.516,28463.74,0.0,85.864,8049.7,321.988,0.0,0.0,2210.984,2668293.2,114305.75,6697.351,449023.0,0.0,2318.313,0.0,123385.805,21.466,20972.156,6053.3735,0.0,0.0,7298.393,102392.19,193.19301,0.0,493.715,0.0,3777.992,2189.52,3801583.8,1477495.6,12836.592,5689549.5,0.0,672954.94,8114.098,1791777.4,0.0,4448543.5,292043.12,0.0,0.0,0.0,161187.2,6675.8857,0.0,7729022.0,923.032,185400.69,3367715.5,55102.88,0.0,0.0,15305.161,0.0,386.386,0.0,0.0,0.0,10003.094,242701070.0,15455.423,2189.519,21873.723,15262.232,0.0,48942.184,472.24902,42.932,22582.096,28249.078,300350.44,0.0,0.0,0.0,1266.486,46752.66,5851509.5,5903.113,2296.8489,4671380.5,4752178.0,0.0,0.0,0.0,0.0,52741.637,107.328995,0.0,3670.664,0.0,3069.619,11377554.0,0.0,8951.269,42.932,150.261,0.0,45486.17,0.0,944.498,0.0,7741472.0,611476.7,108059.19,1652.872,0.0,22560.627,686.908,0.0,0.0,3091.084,69077.164,0.0,0.0,3025249.0,476864.25,70193.39,0.0,10840.269,3048883.0,29107.715,0.0,1015271.1,0.0,0.0,57507.06,0.0,0.0,0.0,0.0,3976702.2,7466344.0,3525446.8
