Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_ERE,OWID_MNS,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1961,1.1151,0.82800007,0.84520006,,1.4107,,,1.0839001,2.5208,,0.9462001,,0.5461,0.40850002,1.6811,1.7466,0.66670007,,,0.5964001,0.95430005,1.3463001,1.8842001,1.7306,1.4408001,0.3418,0.44300002,0.9850001,2.8726003,1.4413002,1.1927,0.62420005,0.86390007,0.69920003,0.71430004,1.2752,1.1078001,0.65000004,1.1535001,1.2048001,0.6548,,2.4174001,,1.1818001,3.3835,1.7583002,0.34620002,1.0107001,2.9057002,,1.0825001,,,1.8834001,1.7611,2.2759001,,1.5872,3.1765,,0.81640005,1.34,2.0,1.0753001,0.8144001,1.2656001,0.873,0.82210004,2.3878002,2.0138001,2.0168002,1.0512,,1.031,1.8575001,1.5417,0.9473,3.1415002,0.84990007,0.90580004,,1.108,2.1815002,0.8683,0.5507,4.1735,,1.2447,,1.1265,3.1972,,0.8841,1.0675,0.57500005,0.21470001,1.25,1.7654,0.83620006,,,,0.40760002,,1.7848002,0.8883,1.1049001,,0.70750004,1.3604001,1.5350001,,0.4,0.87740004,0.3698,1.5126001,0.98450005,2.0970001,0.4158,1.3143001,0.5052,0.74300003,0.93970007,3.6914,2.7918003,1.8466,3.1253002,1.1154001,2.3024,0.7146,1.7184001,,1.0068,1.3532,1.6552,0.8564001,0.95150006,1.4878001,0.99630004,2.8073,1.7824001,1.1329001,2.5021002,0.78480005,1.2518001,,,3.9474,1.5098001,,0.85400003,1.3192,,0.54940003,1.7391001,0.94060004,0.93780005,0.48940003,,,1.4815,2.7634,,,2.8127,0.4693,0.5286,0.59220004,0.46500003,1.6755,,,1.404,2.3521001,0.49920005,0.9894001,3.1840003,0.80570006,0.90230006,,0.8597,2.5223002,,4.0,1.1156,1.8564001,0.5,0.7825,1.0991,0.82220006,0.9197
1962,1.079,0.83030003,0.94180006,,1.6049001,,,1.2173,2.5684,,1.0106,,0.48990002,0.47790003,1.514,1.8220001,0.83330005,,,0.5988,0.94650006,1.3815001,2.5112002,1.8527,1.44,0.33960003,0.54090005,1.5954001,3.7769,1.3717,1.3231001,0.7857,0.75750005,0.7008,0.7113,1.3508002,1.1188,0.65000004,1.1776,1.2107,1.1576,,2.9622002,,1.1818001,3.7506003,1.7886001,0.814,0.9250001,3.2596002,,1.2787,,,1.3636,1.7652,2.6897001,,1.5139,3.6835003,,0.8096,1.3687,2.0,1.0805,0.7871,1.3800001,0.873,0.8715,2.9037,2.2171001,1.7201,1.0776,,1.0430001,2.0423002,1.5535,0.9297001,3.3308003,0.8836,0.95140004,,1.1601,2.2253,1.0422,0.38170004,4.3396,,1.2067,,0.9178,2.7941003,,0.8771,1.1631,0.57140005,0.22100002,1.25,1.8691001,0.81470007,,,,1.0689001,,1.7616,0.87500006,1.1245,,0.72940004,1.3733001,1.5602,,0.86160004,0.8582001,0.3788,1.7807001,1.0270001,2.0581002,0.41930002,1.4526,0.5478,0.7828,0.93770003,4.2774,2.0713,1.8423002,2.7636,1.1154001,2.309,0.7023,1.7282001,,1.0227001,1.4275,1.7879001,0.85800004,0.99390006,1.516,1.0253001,2.5975,1.6001,1.2698001,2.5941002,0.88060004,1.309,,,3.9474,1.4523001,,1.3591,1.317,,0.5443,1.8333001,1.2113001,1.0839001,0.48540002,,,1.4815,2.897,,,2.6447,0.48610002,0.9871,0.5441,0.4774,1.7372,,,1.2172,2.3814,0.72950006,1.136,3.2871003,0.8313,0.90370005,,0.9369001,2.6831002,,4.0,1.164,1.9533001,0.5,0.7807,1.1421,0.80140007,0.90590006
1963,0.9858,0.79840004,0.98230004,,1.5112001,,,1.2852,2.5099,,0.9196,,0.50350004,0.47310004,1.7494001,1.8586,0.83330005,,,0.6948,0.9455,1.3224001,1.8830001,1.3711001,1.4388001,0.3828,0.5439001,1.8389001,2.9361002,1.5747,1.4907,0.7519001,0.77540004,0.69200003,0.91670007,1.3861,1.0837001,0.65000004,1.2422,1.3570001,1.1213001,,2.9252,,1.2174001,3.5057,1.8428001,0.80380005,0.9865,3.3128002,,1.3031,,,1.7992,1.8117,2.7694001,,1.5981001,3.4843001,,0.7882,1.2567,2.0,1.039,0.7921,1.291,0.873,0.85630006,2.6000001,2.0179002,1.8408002,1.1024001,,1.0552,2.0416,1.5019001,0.96580005,3.1256003,0.85740006,0.7878,,1.0565001,2.1152,1.1057,0.3535,4.224,,1.2497001,,1.1947,2.9280002,,0.87700003,1.1619,0.523,0.25530002,1.25,1.8484001,0.8133,,,,0.8913,,1.7582,0.8973,1.1301,,0.6448,1.5665001,1.5212001,,0.81780005,0.91110003,0.3745,1.2895001,0.87670004,2.1438003,0.42070004,1.5333002,0.5601,0.76370007,1.0317,3.9869,2.5781002,1.8439001,2.7326002,1.1111001,2.2969,0.70400006,1.7696,,0.78110003,1.4401001,1.9576001,0.87770003,0.9473,1.3994001,1.0302,2.5387,1.7173002,1.2973001,2.7463002,0.8286,1.273,,,3.9474,1.5556,,1.4375001,1.3706,,0.5733,1.9200001,1.2209,1.148,0.4673,,,1.4815,2.7053,,,2.5500002,0.5411,0.82030004,0.7586,0.5133,1.8918002,,,1.1945001,2.411,0.7496,1.3434001,3.2491002,0.95860004,0.92660004,,0.7946,2.8006003,,4.0,1.1191,2.0709,0.5,0.77180004,1.128,0.70690006,0.82250005
1964,1.0828001,0.8758,1.0233,,1.6954001,,,1.3237001,2.6217,,0.9919001,,0.52930003,0.52250004,1.6918001,2.137,0.89290005,,,0.6973,0.79510003,1.2564001,1.7887,1.3235,1.4394001,0.2759,0.6616,1.5272,3.6274002,1.6773001,1.6227,0.7749001,0.78190005,0.6921,0.9326,1.4542,1.1624001,0.65000004,1.1799,1.2737,0.8029001,,3.1208003,,1.2174001,3.9634001,1.9902,0.53020006,0.76870006,3.3301003,,1.1785,,,1.5813001,1.7854002,2.8234,,1.5943002,3.7347002,,0.7776,1.3638002,2.0,1.0877,0.6208,1.6275,0.873,0.9125,2.8947,2.0106,1.3962001,1.1292,,1.0566,2.1117,1.5128001,0.9936,2.9292002,0.85020006,0.74780005,,2.0444002,2.243,1.2273,1.0107001,4.3184,,1.1996,,1.1837,3.2488003,,0.81250006,0.95600003,0.5098,0.23500001,1.5000001,1.917,0.8096,,,,0.86410004,,1.8064001,0.9125,1.302,,0.7486,1.4621,1.6231,,0.89830005,0.9265,0.37610003,1.0,1.0768001,1.9865001,0.39820004,1.9765,0.5993,0.7178,1.0357,4.3958,2.5954,1.8832,3.3254,1.1071,2.1094,0.7235,1.7496,,1.075,1.4938002,2.1683002,0.88650006,0.95470005,1.5392001,1.0357,2.0742002,1.6073002,1.3417,2.8479002,0.8143,1.3091,,,3.9474,1.6595001,,1.3619001,1.35,,0.5883,2.0,1.3602,1.1672,0.4638,,,1.4815,2.8902001,,,3.2376003,0.4778,0.76240003,0.63540006,0.50210005,1.8301,,,1.1547,2.4395,0.6416,1.1179001,3.6313002,0.8044001,0.88440007,,1.0842,2.6393,,4.0,1.1997,1.9098002,0.5,0.77610004,0.9139001,0.7889001,0.8205
1965,1.0989001,0.93200004,1.0373001,,1.4032,,,0.98350006,2.3301003,,0.9836,,0.5515,0.48570004,1.6700001,2.2971003,0.9091,,,0.74200004,1.0516,1.4283001,1.8667,1.1737,1.4375001,0.3298,0.79020005,1.7304001,3.2122002,1.6919001,1.7465001,0.78550005,0.7686,0.646,1.0204,1.2591001,1.0949001,0.48570004,1.5305,1.0826,1.5989001,,2.8522,,1.25,3.8906002,2.0577002,0.6063,0.9588,3.7756002,,1.2507,,,2.0079002,1.7830001,3.1065001,,1.6026001,3.7501004,,0.80920005,1.3037,2.0,1.064,0.76000005,1.6526,0.873,0.96050006,2.9825,2.0529,2.4362001,1.1569,,1.0717,2.3206003,1.5598001,0.85440004,3.1112,0.88210005,0.80890006,,1.8528001,2.3993,1.2448001,1.0246,4.3982005,,1.143,,1.0639001,3.0367,,0.8195,0.8298,0.5253,0.34190002,1.25,1.6816001,0.7562001,,,,0.88130003,,1.7449001,0.92390007,1.3356,,0.8119001,1.6942,1.5756,,0.7728,0.93570006,0.34050003,1.6444001,0.8565,2.1442,0.38360003,1.725,0.46750003,0.6871,1.0037,3.6734002,2.5536003,1.8673002,3.2757,1.1071,2.1680002,0.73230004,1.7477,,0.88000005,1.4967,2.0608,0.8866,0.98890007,1.5511,1.0455,2.4751003,1.9001001,1.5975001,2.539,0.8557001,1.3478001,,,3.9474,1.8623002,,1.4542,1.3734001,,0.58870006,2.0741003,1.304,1.0822,0.46350002,,,1.4815,2.9944,,,3.1562002,0.48290002,0.8939001,0.5466,0.45250002,1.7863002,,,1.1971,2.4111001,0.73880005,1.1386,3.7463002,0.80140007,0.91050005,,0.95140004,3.0408,,4.0,1.2715001,1.8984001,0.5,0.77360004,0.9114001,0.82350004,0.9308
1966,1.0123,0.82430005,1.3186,,1.557,,2.5,1.4416001,2.9406002,,0.97580004,,0.53180003,0.4954,1.5708001,2.9306002,0.91490006,,,0.55090004,1.0131,1.3213001,2.075,1.3922,1.4377,0.4399,0.80660003,1.9727,3.3057,1.8974001,1.8791001,0.84070003,0.82100004,0.6951,1.0,1.3014001,1.0867,0.48720002,1.4425001,1.1786001,0.75240004,,2.878,,1.25,3.7144,2.1963003,0.40390003,1.0072,3.5655003,,1.3276,,,1.7806001,1.7263001,2.9081001,,1.5128001,3.5447001,,1.0887,1.3926,2.0,1.0111,0.7789001,1.8238001,0.87100005,0.9016,2.41,2.0308,1.7563001,1.2116001,,1.0758001,2.4017,1.5143001,0.86420006,3.2700002,0.8836,0.78020006,,1.0527,2.3998,1.0658001,0.4463,4.5093,,1.1399001,,1.1061001,3.5370002,,0.8208,1.0672,1.0602,0.3199,1.5000001,1.7329001,0.7993,,,,0.46850002,,1.5855001,0.9161,1.2900001,,0.78730005,1.4385,1.3802,,0.6625,0.92350006,0.3693,2.5249,0.90520006,2.1290002,0.3668,1.9733001,0.49620003,0.6078,1.0503001,3.5136003,2.1692,1.7420001,3.5213003,1.1333001,2.3272002,0.74100006,1.6996001,,1.2889001,1.6102,2.6625001,0.84000003,0.93570006,1.5749002,1.0628,2.1036003,1.8847001,1.4761001,2.7448,0.8044001,1.1309,,,4.1860003,2.0379002,,1.07,1.3626001,,0.5308,2.2101002,1.3199,1.2868001,0.46810004,,,1.4483001,3.3309,,,2.5438,0.45340002,0.61840004,0.65870005,0.46770003,1.8428001,,,1.2407,2.4242,0.69310004,1.2727,3.6844,0.7602,0.9089001,,0.87250006,3.0167,,3.5000002,1.3083001,1.7620001,0.47140002,0.777,1.0104,0.878,0.93780005
1967,1.2245001,0.8146,1.4641,,1.6064001,,2.25,0.83080006,3.2510002,,0.9973,,0.57750005,0.4523,1.6815001,2.9514,0.93750006,,,1.0279001,1.0956,1.4022,2.3256001,1.5871,1.4351001,0.3169,0.7285,1.519,3.9834,1.9516001,1.9357,0.88890004,0.76000005,0.6998,1.0909001,1.4217,1.0993001,0.4889,1.4767001,1.1519,1.2977,,3.4833002,,1.2800001,3.7569,1.9701,0.63140005,0.89320004,3.5573003,,1.4806,,,1.9907,1.7567,3.4767,,1.5149001,3.8287,,0.9161,1.4097,2.0,0.9603,0.84430003,1.9501001,0.87100005,0.87570006,3.6364,1.8985001,1.9331001,1.2094,,1.0919001,2.4915001,1.5493001,0.9937001,3.5638003,0.8798,0.83000004,,2.0608,2.6288002,1.2212,0.7588,5.1366005,,1.2353001,,1.2199001,3.2654002,,0.85520005,1.0724001,1.0597,0.2924,1.5000001,2.0385,0.74700004,,,,0.7281,,1.6527001,0.90580004,1.3714001,,0.74820006,1.4905001,1.5457001,,0.8162001,0.96070004,0.3749,1.7239001,1.3813001,2.0155,0.35340002,1.5211,0.5713,0.69350004,1.0547,4.2065,2.7291002,1.7382001,3.7084,1.1452,2.571,0.7444001,1.6801001,,1.1290001,1.6533002,2.5378,0.9042001,0.9897001,1.6691,1.1131,2.0588002,1.9343002,1.5964001,2.5421002,1.0971,1.3298001,,,3.6667001,2.046,,1.0671,1.3612,,0.6363,1.0857,1.3278002,1.2194,0.4673,,,1.4333001,3.5279,,,3.2585,0.6851,0.86990005,0.6688,0.46320003,1.7758001,,,1.2801,2.6427002,0.61880004,1.3034,3.7697,0.70250005,0.9131,,0.75310004,3.1612,,3.3600001,1.1804001,1.8786001,0.46670005,0.79420006,1.7256,0.8696,1.2945001
1968,1.2875,0.80570006,1.5537,,1.3133001,,2.5,1.3387,3.3431003,,1.0457,,0.5738,0.6258,1.7279001,2.4394,0.94000006,,,1.1763,1.0808,1.3505001,2.3754,1.5868001,1.4327,0.26160002,0.814,1.7345,3.8522,1.9455001,1.9394001,0.87780005,0.7681,0.71050006,1.3478001,1.5288001,1.1885,0.44000003,1.5857,1.2090001,0.8248,,3.6196003,,1.2800001,4.0264,1.9489001,0.7052,0.8233,3.6271002,,1.5691,,,2.0821002,2.0407,3.5709,,1.5036,3.4465,,0.8593,1.4115001,1.9763001,1.0404,0.9013,1.5216,0.87100005,1.0105001,5.2500005,1.5313001,1.7787,1.2093002,,1.0497,2.5763001,1.8085,1.0366,4.0025,0.8751,1.1961,,1.4813001,2.5271003,0.9329001,0.3959,5.2273,,1.2867,,1.3972,3.1906002,1.5000001,1.1881,0.74660003,1.0857,0.24230002,0.96150005,2.2831001,0.68020004,,,,1.3481001,,1.6862,0.8529001,1.4304001,,0.76680005,1.2302,1.5884001,,0.52570003,0.9487001,0.3873,2.4098,0.99530005,2.1642,0.35840002,1.6604002,0.39400002,0.6711,1.0917,3.9390001,3.5249,1.7240001,3.5604,1.1935,2.8294,0.7243,1.9510001,,1.3000001,1.6964,2.3115,1.1316,1.0781001,1.5223001,1.1054001,2.003,2.1219,2.2279,2.4693003,1.1364001,1.0617,,,3.3333,1.9183002,,0.95860004,1.1395,,0.46120003,2.341,1.3188001,1.3538,0.4718,,,1.4667001,3.2677002,,,3.3949,0.5521,0.7182,0.6693,0.57170004,1.8219001,,,1.4775001,2.6592002,0.7011,1.2157,3.9031003,0.5811,1.0745001,,0.89050007,3.2128003,,3.44,1.2332,1.6810001,0.47500002,0.7936,1.006,0.78520006,1.0202
1969,1.3104001,0.8989001,1.6398001,,1.5547,,2.25,1.1149001,3.5557,,1.0666001,,0.5568,0.48450002,1.7247,2.8224,0.98,,,1.2727,1.0821,1.3028,2.4027,1.8581,1.4352,0.30960003,0.78330004,1.9592,3.6514,1.6716001,1.9004002,0.84510005,0.83860004,0.7108,0.9524001,1.6078001,1.0976,0.43750003,1.5734001,1.3995,1.3349001,,3.4475002,,1.2308002,3.9756002,2.1626003,0.61490005,1.074,3.7166002,,1.5581001,,,2.2863002,1.8416001,3.5321002,,1.5023001,3.6708002,,0.8248,1.4124001,1.5000001,1.0164001,0.68840003,1.7170001,0.8833,1.0469,3.5556002,1.6889001,2.3654,1.2091,,1.1125001,2.986,1.9441,1.0537,3.9202,0.88420004,1.1428001,,1.3484001,2.6761003,1.2364001,0.9104001,5.0722003,,1.3030001,,1.2807,3.7648003,1.6667,1.3576001,0.80100006,1.1088,0.326,0.89290005,2.4268003,0.6804001,,,,0.8809001,,1.7703001,0.78300005,1.4927,,0.87290007,1.3455001,1.6161001,,0.3179,0.88720006,0.39910004,2.8587,0.96730006,2.3181002,0.35270002,1.8424001,0.49370003,0.611,1.0635,3.9812002,2.6250002,1.7509001,3.6818001,1.1935,2.9933002,0.7587001,1.7202001,,1.2397,1.7088001,2.6525002,1.192,1.1076,1.6291001,1.3307,1.6686001,2.1425002,2.128,2.9034,0.9534001,1.2356,,,3.5200002,1.9538001,,0.9951,1.3275001,,0.69900006,1.3887,1.6004001,1.3895,0.47590002,,,1.5082,3.4796002,,,2.6782,0.61950004,0.8619001,0.72730005,0.72670007,1.9052,,,1.3559,2.7074,0.6626,1.2917,3.6158001,0.63850003,1.1855,,1.0388001,3.4643002,,3.1852002,1.2008001,1.7568002,0.5,0.81020004,1.0411,0.77400005,1.1453001
1970,1.1051,0.9113,1.6461,,1.7753001,,2.4,1.2176,3.1923,,1.0923,,0.5771,0.5166,1.6662,3.1241002,0.98080003,,,1.6287,1.0564001,1.4088001,2.4242,1.9621,1.4367,0.063200004,0.7124001,2.1108003,3.6925,1.9023001,2.1277,0.8286,0.79880005,0.7271,0.88890004,1.8074001,1.0976,0.30800003,1.4362,1.5256001,0.6573,,3.1796002,,1.2308002,3.5838003,2.3785002,0.63750005,1.093,3.9118001,,1.3803002,,,2.3966002,1.8653002,3.3744001,,1.4655001,3.5689,,0.8582001,1.4079001,1.7778001,1.1091,0.7971,2.1131003,0.8833,1.1755,1.3714001,1.8872,2.3669,1.2092,,1.0973,2.5382001,2.0008001,1.1348001,3.6338003,0.88470006,1.0122001,,1.1863002,2.7547002,1.368,0.2265,5.1254,,1.2782,,1.5898001,3.7200003,2.0,1.3657,0.93280005,1.2338,0.21960002,0.84000003,2.1547,0.60550004,,,,0.94200003,,1.8578001,0.89220005,1.5408001,,0.82960004,1.3748001,1.6112,,0.6812,1.0,0.34300002,2.7756002,0.8884001,2.3830001,0.35410002,2.3486001,0.39020002,0.72290003,1.1098001,3.7684002,3.2069001,1.7825,2.9748,1.2188001,2.7600002,0.77050006,1.8620001,,1.4625001,1.7655001,2.3746002,1.2297,1.1868001,1.7507,1.3503001,2.0088,1.9484001,2.6376002,2.8904,1.0383002,1.2662001,,,3.2,1.8017,,1.1221,1.2773001,,0.47560003,2.726,1.3575001,1.6212001,0.49100003,,,1.5161,3.7083,,,3.2407,0.64820004,0.3465,0.70570004,0.81250006,2.0758002,,,1.2768002,2.9016001,0.5535,1.215,3.8893003,0.5738,1.3626001,,1.1570001,3.1549,,3.1852002,1.3051001,2.1037002,0.52940005,0.78080004,1.187,0.6244001,0.9423
