Date,AGO,ARE,ARG,ATG,AUS,BDI,BEN,BFA,BGD,BHR,BHS,BLZ,BOL,BRA,BRB,BRN,BTN,CAF,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,DMA,DOM,DZA,ECU,EGY,ESP,ETH,FJI,FRA,FSM,GAB,GHA,GIN,GLP,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HND,HTI,IDN,IND,IRN,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,LAO,LBN,LBR,LBY,LCA,MAR,MDG,MDV,MEX,MLI,MOZ,MTQ,MUS,MWI,MYS,NCL,NGA,NIC,NIU,NPL,OMN,OWID_ERE,OWID_MNS,OWID_PYA,OWID_WRL,PAK,PAN,PER,PHL,PNG,PRI,PRT,PRY,PSE,PYF,REU,RWA,SAU,SDN,SEN,SGP,SLB,SLV,SOM,STP,SUR,SWZ,SYC,SYR,TGO,THA,TKL,TLS,TON,TTO,TUR,TUV,TWN,TZA,UGA,USA,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1961,8.75,,24.268803,,11.964001,5.2632003,5.0,,13.273801,10.0,7.7778,13.636401,23.809502,14.5656,11.000001,1.0529001,,5.2500005,12.000001,11.136401,15.420001,3.7302,3.5170002,3.2,22.864,7.1429005,11.4286,17.023,8.888901,8.120001,7.1561003,14.902101,,22.7807,18.7042,33.189503,,4.3500004,,,5.8824,5.0,4.75,19.411802,,5.0,0.7856,4.1000004,16.7727,12.1951,6.6667004,24.941502,5.0,6.3492007,13.678801,,21.000002,,5.1853,15.5781,8.125,10.0,8.0851,4.0,,6.6225004,10.0,10.0,15.7143,10.0741005,,7.9412007,4.0,11.510501,60.000004,5.0303,18.823502,15.830201,3.0909,13.694,5.0,,40.0,2.0455,,10.0,14.090901,11.792601,3.7245002,10.645901,11.700001,45.291702,,4.1978,12.5506,15.5291,32.190502,18.125,,5.1875005,20.0,9.969501,,,12.000001,1.6567,3.8889,,8.9091,6.1957006,7.4511003,9.328901,14.166701,,10.0,9.2286005,3.3333,32.0,1.7112,4.7059,7.4286003,,14.094501,2.6121001,4.0,10.544701,11.3056,16.1142,9.917401,12.000001,4.4477005,2.0,7.3849,3.1250002,4.4615
1962,9.25,,23.625002,,11.964001,5.3158,5.0,,14.715501,10.0,8.2609005,13.076901,23.713701,14.9916,10.500001,1.0602,,5.2500005,8.75,13.8211,15.685,3.8095002,3.0000002,3.3000002,21.6292,7.1429005,11.4286,17.4366,9.1871,8.861501,7.1668,14.417201,,22.396402,20.4866,31.812502,,3.5096002,,,5.3333,5.0,4.7778,19.878,,4.0887003,0.80820006,4.25,15.976201,12.651201,7.2727003,25.278502,5.0,6.1538,13.3978,,22.3636,,4.8289003,18.429302,8.2353,10.0,8.333301,3.9362001,,6.5385003,9.615401,10.0,15.000001,11.077001,,8.0588,4.0,12.066001,60.000004,3.6479,20.5882,20.2976,3.1818001,13.777801,4.5455003,,42.857105,1.4851,,10.0,15.909101,11.774301,3.8105001,10.6621,3.6429,45.916702,,4.2078,12.598401,15.5291,28.977303,20.1429,,5.3125005,20.0,10.012401,,,13.333301,1.7368001,3.8889,,8.843,6.1957006,10.484501,16.4017,15.000001,,10.0,9.471401,3.3333,32.0,2.0,4.7368,7.7143,,14.087501,2.5969,4.0,9.713901,10.165901,16.514801,9.7838,12.400001,4.3491,2.2,4.8787003,3.1250002,4.4776
1963,9.0909,,21.400002,,11.1881,5.5263,5.0,,13.805901,10.0,8.723401,13.636401,22.400002,14.7151,10.0,1.0677,,5.2941003,10.750001,13.666701,15.777801,3.7984002,3.3125002,3.3000002,20.7357,7.1429005,11.4286,16.9362,9.480201,8.3,5.7194004,12.9456005,,20.2705,18.0039,35.5104,,4.4983,,,5.3333,5.0,4.7647004,19.7647,,4.8,0.90330005,4.925,17.2429,15.652201,11.7692,27.1711,5.0,6.2963,13.476701,,22.000002,,5.2447004,13.150701,8.125,10.0,8.571401,4.0,,6.6250005,9.333301,10.0,14.000001,9.9856,,8.0556,4.2308,12.7258005,60.000004,6.1105003,17.6471,24.774801,3.1818001,13.666701,4.3103,,42.222202,1.7327,,10.0,15.384601,11.8093,4.4399,10.818201,9.400001,46.7667,,4.5176005,12.547501,15.213201,30.1087,24.500002,,5.1176004,20.0,9.990701,,,13.333301,1.6935,4.0,,11.4545,6.1380005,12.768801,5.3353,16.129002,,10.0,9.950001,3.3333,32.0,2.0,4.9485,8.0,,9.001801,2.6000001,4.0,9.1981,9.674401,17.3841,9.8718,11.875001,5.0655003,2.4,8.0114,3.1250002,4.3478
1964,9.318201,,26.2,,12.469001,5.9474,5.0,,15.863901,10.0,8.958301,13.529401,23.9514,15.447301,9.5,1.0848001,,5.6471004,16.5,13.500001,16.111101,3.8285003,3.8235002,3.3077002,19.2966,7.0000005,13.333301,17.191301,9.3494005,8.887501,7.0908003,14.043401,,19.5266,14.106201,37.163303,,3.8913002,,,4.6154003,4.25,4.7647004,20.5323,,4.8,0.9329001,4.7143,15.8286,16.0,8.6667,25.3355,5.0,6.2857003,13.5556,,21.6522,,5.9333,14.394402,8.1818,10.0,8.791201,4.0,,6.6667004,6.5672007,10.0,14.285701,11.028901,,7.8947005,4.4444003,12.738001,60.000004,6.0000005,13.333301,12.1463,3.2727,13.807701,5.0,,42.222202,2.5743003,,10.0,15.000001,11.9051,3.7064002,11.060801,10.425,43.7462,,3.9666002,12.546101,15.461901,31.8447,24.375002,,5.2941003,20.0,10.959801,,,13.333301,1.6944001,4.0556,,14.285701,7.0371003,13.7285,5.0,15.079401,,10.0,9.2875,3.6667001,32.0,1.8333001,5.1514,8.285701,,14.812501,2.5954,4.0,11.466701,9.6221,17.386402,10.0,12.250001,4.2974,2.3636003,4.3207,3.1250002,4.4928
1965,8.75,,21.7647,,13.0432005,5.7000003,5.0,,15.3037,10.0,9.183701,13.7931,23.9335,15.212901,9.0,1.0977,,5.5556,18.125,13.558801,16.875,3.8991003,4.2105002,3.0000002,22.5172,6.9697003,16.16,18.5655,10.378901,16.125,8.292701,13.302201,,15.7333,19.043402,37.6162,,1.9773002,,,4.1667004,5.0199003,4.8333,19.7561,,4.8,0.93200004,4.3333,13.609501,16.0,7.5639005,26.7857,5.0,6.5517006,15.502401,,19.130402,,6.6361003,14.666701,8.0,10.0,6.6471004,4.0,,6.6265,10.0277,10.0,14.000001,12.812501,,7.7500005,4.4444003,13.7823,60.000004,5.0,23.655901,24.5667,3.0000002,13.740701,4.7619,,41.1899,1.9820001,,10.0,15.172401,11.5781,3.9907002,11.186401,10.3673,44.530804,,3.6938002,12.500001,15.266801,32.0755,29.000002,,5.4118,24.000002,12.0003,,,11.410001,1.5250001,4.1111,,14.672901,5.7720003,16.317202,2.753,15.384601,,10.0,9.775001,3.6667001,30.000002,3.6667001,5.3731003,8.571401,,16.765402,2.5954,4.0,8.458301,9.8256,18.287401,10.250001,11.764701,4.125,2.5455,3.9572,3.1250002,4.4928
1966,8.75,,27.305302,1.6667,12.670401,5.7500005,5.0,,18.052301,10.0,9.400001,14.000001,24.002201,14.805701,8.8316,1.0912,,5.5556,13.333301,14.3056,16.25,4.0,5.0,2.9839,24.8276,6.9697003,20.344002,20.9792,14.4835005,15.800001,6.0341005,11.260401,,13.509601,22.4181,38.510002,,4.4612,,,4.1667004,5.0247006,4.7059,20.0,,3.8182,0.9458,4.3333,16.014301,16.25,7.2871003,33.007103,5.6522007,6.1250005,16.325401,,23.434801,,9.616,14.682901,8.0,10.0,6.4563003,4.0,,6.7059,11.703401,10.0,14.000001,12.375001,,8.571401,4.3333,13.1081,60.000004,5.0,27.083302,23.135902,3.1667001,13.6216,4.6154003,,34.8525,3.8739002,,10.0,15.172401,11.916901,3.302,11.165001,7.4918003,45.1077,,3.9099002,12.500001,16.915401,25.001402,26.1375,,5.5882006,24.000002,9.9744005,,,11.3471,1.5253001,4.1667004,,23.924501,4.4760003,15.343901,3.1908002,15.384601,,10.0,10.192,3.6667001,29.945501,4.5714,5.5435004,8.8571005,,14.453401,2.5965002,4.5106,9.7531,8.851701,18.3036,10.641001,12.2222,2.5,2.5109,5.3728,3.1250002,4.5714
1967,8.875,,32.404003,1.3333001,13.6341,5.8500004,5.2500005,,16.972502,10.0,9.703,13.863601,24.0037,16.3864,7.8947005,1.4133002,,5.5556,12.500001,12.723101,15.5556,4.0,5.0,3.6667001,26.344803,7.1212006,22.157501,22.370201,26.252901,15.971401,7.4857006,11.019701,,12.612901,16.6311,35.533302,,2.5942001,,,4.1667004,5.0031004,3.8235002,20.0,,3.8182,0.98910004,5.1667004,16.038101,16.4286,5.9472003,32.5134,5.6000004,5.9375005,15.399001,,21.956501,,9.368,16.0652,8.0,10.0,7.6385,4.0,,6.6667004,11.052901,10.0,14.000001,11.875001,,8.095201,4.3333,12.8451,60.000004,5.0,24.000002,23.771101,3.3333,13.693201,4.4118,,34.595802,4.0541005,,10.0,15.151501,12.4376,4.5786004,11.408701,8.327901,45.523106,,4.0461,13.2246,17.056301,24.6802,26.987501,,5.7059,24.000002,12.000001,,,11.764701,1.5404001,4.1944003,,23.571402,5.7460003,20.2752,3.8889,13.846201,,10.0,9.6,4.0,30.490902,5.3846,6.0141006,9.285701,,14.823001,2.5948002,4.5064,8.978001,7.785701,17.624802,11.0256,12.1053,4.0,2.5109,6.4648,3.1250002,4.5205
1968,8.875,,25.409502,1.25,13.9713,6.0000005,5.2500005,,17.722502,10.0,10.0,13.833301,24.000002,16.341501,7.1053,1.4898001,,5.5556,11.250001,13.434501,16.0,4.0,5.0,2.25,26.5517,7.0588,20.503,26.9347,12.873301,17.613302,8.630701,12.1481,,14.173201,22.751303,36.564804,,5.1667004,,,4.6154003,5.0031004,4.4118,16.2791,,3.7143002,0.915,5.3333,18.084002,16.1429,6.1614003,33.0732,5.5556,5.4118,14.2045,,20.0,,9.900001,14.141701,8.0,10.0,5.1493,4.0,,6.6667004,12.0416,10.0,14.285701,11.500001,,8.400001,4.5161004,12.7861,60.000004,4.5,24.257402,24.573101,3.3333,13.595501,4.2857003,,33.1579,4.5045004,,11.1111,15.151501,12.032001,4.7385,11.6883,7.4203,45.190502,,4.3079,12.500001,19.1385,19.971302,27.500002,,5.5556,24.000002,12.0074005,,,12.500001,1.5404001,4.2222004,,22.998001,5.4160004,25.5235,3.6159,13.076901,,10.0,9.6,4.0,30.000002,5.2857003,5.807,9.7143,,14.734701,2.6028001,3.6895,7.5825005,8.5393,19.205002,11.538501,12.000001,4.4,2.5109,9.567201,3.1250002,4.6667004
1969,8.333301,,33.1529,1.2,13.2686,6.0000005,5.0,,17.2863,10.0,10.227301,13.4483,24.000002,17.6333,9.8632,1.4314001,,5.5789003,11.4286,13.245701,16.0,3.9019,5.2000003,7.5000005,26.4407,7.2059,27.984901,25.7212,9.177401,18.28,9.230801,11.698501,,15.939001,24.0741,40.0185,,4.8333,,,4.6154003,5.4333,4.4444003,19.863,,3.7143002,0.79670006,4.6667004,17.7111,15.000001,4.8353,33.0579,5.7407002,5.5150003,13.805501,,25.2381,,9.8,14.998501,8.0,10.0,5.7987003,4.0152,,6.7033,11.9743,10.0,14.285701,10.8575,,7.912,4.5161004,12.4428005,60.000004,6.4633,22.9167,24.092402,3.3333,16.5746,4.1667004,,56.350605,4.5455003,,11.1111,15.151501,12.1703005,4.4629,11.781701,7.5072007,44.313004,,4.0052,12.6667,17.9151,26.282001,27.058802,,5.7778,12.000001,12.000001,,,12.963,1.5099001,4.25,,23.3861,4.36,23.783,4.1600003,14.615401,,10.0,9.6,4.0,29.050001,3.4141002,5.7793,12.450001,,15.561001,2.5989,4.0244,7.4441004,9.1406,17.974802,11.500001,11.809501,4.7273,2.5109,12.851401,3.1667001,4.6154003
1970,10.0,,34.912502,1.5000001,13.913901,5.985,5.0,,15.136201,10.833301,10.566001,13.846201,24.056803,18.456402,9.0909,1.9167,,5.6000004,12.7692,13.7578,17.2727,3.9462001,5.0,8.4615,26.715801,7.1429005,28.026901,29.468002,41.482002,29.195402,8.627501,12.199,,15.041,21.6874,37.9009,,5.5000005,,,4.6154003,2.1169,4.4737005,15.180701,,3.8571002,0.83650005,4.0,18.7192,15.454501,5.1576004,32.5158,5.8182006,8.8557005,12.9033,,32.210503,,9.75,7.8846006,8.0,10.0,5.7965,4.0441003,,6.5957007,14.903601,10.0,14.285701,10.168,,7.5018,7.5000005,12.9728,62.222202,5.6617002,17.204302,18.075,3.3077002,17.333302,4.9333,,45.000004,4.5455003,,11.1111,15.000001,12.105801,3.9645002,11.5851,9.7298,47.0857,,4.4561005,12.500001,17.5781,25.000002,26.843,,5.9444003,9.6,11.000001,,,13.333301,1.5099001,4.2778,,28.6327,3.696,24.3262,2.4587002,14.705901,10.0,11.000001,9.6,4.3333,29.600002,2.6667001,5.8126,12.6,,11.8378,2.6000001,2.3298001,8.2338,9.4812,18.042301,11.3415,11.818201,4.1667004,2.5402,10.476001,3.2071002,4.625
