Date,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FRA,GEO,GHA,GRC,GRD,GTM,HND,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ITA,JAM,JPN,KAZ,KEN,KGZ,KHM,KOR,LAO,LBN,LBY,LKA,LSO,LTU,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MOZ,MRT,MWI,NAM,NER,NIC,NLD,NPL,OWID_CZS,OWID_ERE,OWID_MNS,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,POL,PRI,PRK,PRT,PRY,QAT,REU,ROU,RUS,RWA,SDN,SLV,SOM,SRB,SSD,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1961,0.4783,0.7059001,1.0601001,,0.5525,1.7009001,,1.0952001,,0.2874,0.72360003,0.34860003,,,0.5479,0.3333,0.67600006,,,1.1874001,0.96980006,0.6871,,0.42000002,0.4878,0.54050004,0.5388,0.3984,0.5003,1.2700001,,1.8841001,,,0.6508,0.79590005,0.5292,1.3684001,,0.6341,,,0.90760005,,,0.7042,0.8,0.6431,0.6128,,0.4213,0.75890005,1.1111001,0.25770003,1.3468001,0.5811,0.51240003,0.5641,1.4064001,,0.4783,,0.55,0.5041,0.5,1.5000001,,0.4738,0.28,,,0.94000006,,0.8644001,0.44730002,,,0.46860003,0.50070006,,,,0.5161,,,0.7655,2.0369,0.5926,0.66990006,0.7001,,,0.72580004,0.49320003,0.22680001,0.3826,0.26870003,0.95250005,0.49210003,1.2857,0.3798,0.56600004,0.15980001,0.8,,1.2308002,0.0939,,0.66040003,,0.48810002,0.25,,,,,2.0,0.42720002,1.2852,0.2703,0.27910003,1.13,,,0.5625,,1.1754001,0.76140004,0.41450003,0.71430004,,0.5853,1.5413002,0.49150002,0.3569,,,0.7397,,0.6
1962,0.5043,0.7031,1.0686,,1.1001,1.5083001,,1.0952001,,0.2845,0.67590004,0.21260002,,,0.54520005,0.36,0.62950003,,,1.4118001,0.9904001,0.8286,,0.4,0.5079,0.5366,0.54740006,0.38500002,0.5,1.2115,,2.0266001,,,0.6474001,0.83330005,0.47730002,2.381,,0.5004,,,0.8428,,,0.4848,0.8,0.65040004,0.6298,,0.4244,1.3006,1.1397,0.2683,1.3591,0.6309,0.4704,0.57500005,1.0707,,0.4783,,0.5813,0.5289,0.5,2.3333,,0.28220004,0.28,,,0.577,,0.7167,0.39170003,,,1.192,0.54870003,,,,0.5231,,,0.7473,2.3616002,0.6071,0.67850006,0.70000005,,,0.7971,0.49960002,0.2204,0.3889,0.26450002,0.96550006,0.6047,1.1875,0.37970003,0.59520006,0.13520001,0.7534001,,1.2308002,0.053900003,,0.7688,,0.5578,0.09330001,,,,,1.3000001,0.5,1.1854001,0.4,0.29920003,1.0932,,,0.64710003,,1.0887,0.72240007,0.4208,0.71430004,,0.6,1.4049001,0.5186,0.36960003,,,0.6786,,0.66770005
1963,0.5217,0.7008,1.1498001,,0.5151,1.7978002,,1.0476,,0.22700001,0.7024,0.30660003,,,0.78690004,0.36270002,0.6513,,,1.4059001,0.906,0.7857,,0.42000002,0.52340007,0.54550004,0.58440006,0.4043,0.46150002,0.919,,2.117,,,0.65860003,0.76470006,0.5078,1.4286001,,0.5493,,,1.0840001,,,0.5432,0.8,0.6503,0.6473,,0.42110002,0.85800004,1.1154001,0.2593,1.3712,0.71550006,0.6283,0.6,1.2607,,0.4783,,0.4,0.504,0.5,1.4000001,,0.38760003,0.32000002,,,0.6595,,0.7953,0.3959,,,0.68240005,0.5235,,,,0.5217,,,0.8424001,2.2453,0.58620006,0.693,0.70000005,,,0.70000005,0.49040002,0.21110001,0.4178,0.28470004,0.93970007,0.5558,1.1739001,0.3798,0.59770006,0.1412,0.8,,1.2308002,0.047700003,,0.80270004,,0.5205,0.1364,,,,,1.4969001,0.2763,0.8858,0.381,0.2858,1.1731,,,0.72220004,,1.2667,0.61120003,0.4234,0.7857,,0.6,1.6153002,0.47230002,0.3078,,,0.6032,,0.6333
1964,0.52500004,0.69890004,0.96110004,,0.5939,1.8973001,,1.0652,,0.25500003,0.7304001,0.3389,,,0.7181,0.3673,0.6231,,,1.4518001,1.0012001,0.82140005,,0.4889,0.5385,0.5556,0.5526,0.39920002,0.43550003,1.0886,,1.8701,,,0.66730005,0.74020004,0.441,1.7007,,0.52470005,,,0.91340005,,,0.6961,0.90000004,0.65000004,0.66490006,,0.42320004,1.102,1.1111001,0.2809,1.3484001,0.79950005,0.6803,0.57890004,0.7661,,0.4783,,0.4,0.5513,0.5,1.3636,,0.37710002,0.2,,,0.7512,,0.81420004,0.4264,,,1.6808001,0.54190004,,,,0.5205,,,0.814,2.5452,0.6,0.6806,0.7101,,,0.94290006,0.49010003,0.223,0.45020002,0.2459,0.96720004,0.44420004,1.1481,0.5341,0.59150004,0.15100001,0.76000005,,1.2308002,0.0518,,0.64650005,,0.57900006,0.2833,,,,,1.0,0.2705,1.0224,0.381,0.2222,1.1055001,,,0.669,,1.2727,0.8299001,0.42790002,0.8,,0.5516,1.3886,0.41910002,0.33960003,,,0.6154001,,0.56670004
1965,0.5043,0.6966,1.0226,,0.20260002,1.8369001,,1.0435001,,0.29520002,0.7216,0.21530001,,,0.66340005,0.36540002,0.69970006,,,1.5047001,1.0077001,0.83930004,,0.45560002,0.54890007,0.55320007,0.5263,0.4009,0.41670004,1.7780001,,2.5025,,,0.66990006,0.6147,0.57570004,1.7316,,0.52650005,,,1.0500001,,,0.6853,1.0,0.6503,0.6822001,,0.43190002,0.952,1.125,0.24010001,1.3666,0.91700006,0.5788,0.57140005,1.2079,,0.4783,,0.4004,0.49550003,0.5,1.36,,0.47000003,0.22960001,,,0.6837,,0.77500004,0.40610003,,,2.0282001,0.4844,,,,0.5195,,,0.83330005,1.9332,0.58820003,0.9194001,0.72,,,1.2321,0.4943,0.17750001,0.41860002,0.27740002,0.89720005,0.43670005,1.3889,0.5198,0.58820003,0.12430001,0.74920005,,1.7500001,0.051400006,,0.689,,0.70350003,0.30770004,,,,,1.7,0.3333,0.90480006,0.4118,0.27210003,1.0555,,,0.6557,,1.2727,0.80550003,0.47750002,0.86670005,,0.6,1.2302,0.4234,0.35670003,,,0.6818,,0.4286
1966,0.5378,0.7001,1.0518001,,0.46860003,1.8747001,,1.0435001,,0.28550002,0.77250004,0.51750004,,,0.89650005,0.36540002,0.6461,,,1.4626,1.0626,0.72,,0.4444,0.5556,0.551,0.54690003,0.39240003,0.3833,1.5971,,1.8991001,,,0.67230004,0.6151,0.4469,1.5152,,0.549,,,1.3729001,,,0.8224001,1.0,0.65000004,0.76060003,,0.43260002,0.66,1.1429001,0.23300001,1.3878001,1.11,0.62160003,0.625,0.81130004,,0.4783,,0.5261,0.50420004,0.5,1.4000001,2.0,0.31810004,0.33370003,,,0.4129,,0.7546,0.4523,,,0.7509001,0.47670004,,,,0.52500004,,,0.83470005,2.0307,0.6,0.88850003,0.6984001,,,1.4583001,0.5,0.87000006,0.45310003,0.31220004,0.8758,0.40820003,1.4634001,0.5771,0.609,0.14430001,0.6,,1.5000001,0.07480001,,0.85,,0.58500004,0.3288,,,,,2.1000001,0.2778,1.0682,0.43690002,0.2825,0.99130005,,,0.75100005,,1.2273,0.8227,0.469,0.85890007,,0.6581,1.4835001,0.4424,0.3623,,,0.7692,,0.5625
1967,0.53190005,0.7038,0.95100003,,0.6046,2.0208,,1.0400001,,0.31460002,0.78200006,0.5134001,,,0.84190005,0.38500002,0.69790006,,,1.7079,1.3123001,0.72,,0.4101,0.56520003,0.56,0.5594,0.4264,0.36670002,1.6628001,,2.8316002,,,0.66200006,0.5068,0.47640002,1.5873002,,0.5373,,,1.0112001,,,0.93060005,1.0,0.65020007,0.68790007,,0.44210002,0.54370004,1.1111001,0.26590002,1.4153001,1.12,0.68270004,0.71430004,1.3697001,,0.4783,,0.53800005,0.4984,0.5,1.4503001,2.0,0.3608,0.25820002,,,0.5323,,0.8044001,0.5079,,,1.0635,0.4063,,,,0.5301,,,0.83840007,3.1058002,0.5696,0.6563,0.7031,,,1.6,0.5221,0.98,0.45760003,0.34690002,0.9016,0.35020003,1.5313001,0.5771,0.6218,0.15540001,0.70000005,,1.7500001,0.0706,,0.85,,0.6153,0.3289,,,,,1.4000001,0.26160002,1.3282,0.42000002,0.2825,0.94720006,,,0.6836,,1.3113002,0.8705,0.5655,0.7123,,0.625,1.3769001,0.4485,0.38650003,,,1.026,,0.57500005
1968,0.53190005,0.69990003,0.59650004,,0.2087,2.1212,,1.0385001,,0.2648,0.77080005,0.47370005,,,0.78450006,0.3793,0.66050005,,,1.1306,1.2187,0.66670007,,0.42660004,0.57140005,0.55770004,0.57570004,0.40070003,0.35560003,1.7611,,2.7624002,,,0.7264001,0.3969,0.41050002,1.7316,,0.5348,,,1.3405001,,,1.0217,1.0,0.65070003,0.6578,,0.4,0.7473,1.2762,0.2518,1.4427,0.92300004,0.72020006,0.7042,1.2934,,0.4783,,0.51290005,0.6271,0.5,1.3302,2.0,0.25610003,0.25460002,,,0.7778,,0.8711,0.47860003,,,0.8783,0.42520005,,,,0.5306,,,0.83930004,1.9736,0.6,0.8349001,0.6923,,,1.6571001,0.5014,0.87000006,0.41090003,0.33810002,0.7684001,0.3675,1.3846,0.57140005,0.6346,0.1507,0.6,,1.7500001,0.031700004,,0.7436,,0.67120004,0.3289,,,,,1.8000001,0.22670001,1.4198002,0.4124,0.2615,0.9796,,,0.8011,,1.2617,0.92350006,0.5398,0.6296,,0.58820003,1.3723001,0.36520004,0.344,,,0.87140006,,0.6
1969,0.5292,0.69850004,0.5628,,0.48060003,1.9859002,,1.0192001,,0.32060003,0.785,0.8008,,,0.80740005,0.3793,0.60550004,,,1.3347,1.0621,0.69570005,,0.44820005,0.5541,0.5556,0.6301,0.40250003,0.28570002,1.644,,2.2712,,,0.7458,0.3526,0.44650003,1.9481001,,0.5601,,,1.1518002,,,0.9886,1.0,0.7329001,0.62720007,,0.4293,0.95680004,1.2455001,0.2699,1.4762,0.8234001,0.7832,0.7519001,1.2547001,,0.56,,0.6417,0.60920006,0.5,1.2502,1.9583001,0.3124,0.257,,,0.8,,0.8531,0.5041,,,1.1787,0.46040002,,,,0.53040004,,,0.83690006,2.2193003,0.54550004,0.96400005,0.6866,,,1.8750001,0.51240003,1.0701001,0.44510004,0.3149,0.79340005,0.36100003,1.4348001,0.57140005,0.6413,0.15310001,0.65000004,,1.7500001,0.06950001,,0.90000004,,0.7996,0.3,,,,,1.3857,0.3923,1.4900001,0.39020002,0.22860001,0.8376,,,0.92910004,,1.2545,1.0245,0.52940005,0.4833,,0.57140005,1.4431001,0.3316,0.36990002,,,0.8033,,0.6
1970,0.625,0.70220006,0.9564001,,0.2414,2.0628002,,1.0135001,,0.33720002,0.81040007,0.6423,,,0.7698,0.5,0.6346,,,1.5606,1.146,0.8261,,0.43660003,0.5438,0.5636,0.58430004,0.40080002,0.3143,1.7085,,2.5565002,,,0.8966,0.23310001,0.50630003,1.8312,,0.6036,,,1.3197,,,1.0351,1.0,0.4298,0.59550005,,0.4348,0.91470003,1.1885,0.30900002,1.5127001,1.0386,0.8295,0.68750006,1.4224001,,0.53330004,,0.6373,0.6294001,0.5,1.4123001,1.9343002,0.2998,0.22610001,,,0.75000006,,0.83950007,0.5295,,,0.98840004,0.43710002,,,,0.53020006,,,0.91400003,2.8291001,0.59520006,1.1394001,0.6812,,,1.7500001,0.5411,1.0600001,0.47680002,0.3009,0.81220007,0.32870004,1.5500001,0.57140005,0.65400004,0.1624,0.6409001,,1.7500001,0.060900003,,0.90000004,,0.82720006,0.3305,,,,,1.9333001,0.36960003,1.2138001,0.3684,0.20050001,0.67140007,,,0.5644001,,1.4082,1.0373001,0.49570003,0.62590003,,0.6416,1.3841001,0.3609,0.3714,,,0.81030005,,0.6053
1971,0.5833,0.7266,0.97300005,,0.77320004,1.9731001,,1.0173,,0.40610003,0.8481,0.6223,,,0.869,0.81250006,0.6829001,,,1.4169,1.0324001,0.8737001,,0.5137,0.5583,0.56140006,0.7049001,0.3826,0.3143,1.3542,,3.1959,,,0.8518,0.3578,0.44900003,2.0405002,,0.6408,,,1.2921001,,,1.0763001,1.0,0.36940002,0.5644001,,0.44210002,1.2038001,1.1387,0.2703,1.4196,0.9082,1.1021,0.72120005,1.0303001,,0.5556,,0.77750003,0.6368,0.5,1.2404001,1.7671001,0.37920004,0.23530002,,,0.8,,0.84740007,0.48540002,,,1.2288,0.47500002,,,,0.5301,,,0.9139001,2.5076003,0.55880004,1.1245,0.68570006,,,2.4412,0.5413,1.0,0.48660004,0.24310002,0.808,0.4404,1.5417,0.57140005,0.66670007,0.18010001,0.6506,,3.3333,0.0869,,0.90000004,,0.8647001,0.33020002,,,,,1.6667,0.35770002,1.491,0.37890002,0.2,1.0372,,,0.6054,,1.5000001,0.8941,0.5138,0.48370004,,0.57140005,1.3785001,0.36850002,0.4058,,,1.069,,0.6
1972,0.5833,0.7059001,0.93250006,,0.18910001,2.2099,,1.0254,,0.37720004,0.8046,0.45800003,,,0.5529001,0.83330005,0.67390007,,,1.5405,1.0432,0.88890004,,0.52590007,0.5678,0.569,0.72220004,0.40010002,0.35000002,1.3138001,,2.3391001,,,0.9591,0.47910002,0.41900003,2.0632,,0.65680003,,,1.2724001,,,1.0012001,1.0,0.5856,0.5323,,0.44790003,1.1402,1.0894,0.23320001,1.3355001,0.9886,1.2195001,0.73260003,1.5629001,,0.5556,,0.6111,0.62570006,0.5,1.2416,1.7114002,0.35000002,0.2,,,0.71540004,,0.82960004,0.5155,,,1.0033001,0.44120005,,,,0.53000003,,,0.7099001,1.0373001,0.6,0.9092001,0.71620005,,,2.0857,0.5406,0.92980003,0.4763,0.27560002,0.85840005,0.46070004,1.4783001,0.57140005,0.68750006,0.16690001,0.55420005,,4.7619,0.081300005,,0.85,,0.6886,0.3298,,,,,2.0,0.5423,1.388,0.38950002,0.3151,0.95870006,,,1.1089001,,1.5143001,0.9168,0.57690006,0.767,,0.5556,1.4702001,0.35520002,0.4143,,,0.98410004,,0.6
1973,0.6,0.7971,0.92630005,,0.56140006,2.246,,1.0038,,0.32520002,0.76190007,0.68950003,,,0.52870005,0.81820005,0.58500004,,,1.547,0.96180004,0.9444001,,0.60150003,0.56170005,0.5763,0.65400004,0.41340002,0.3,0.9831,,2.3903003,,,1.0155001,0.35930002,0.48180002,2.0405002,,0.7103,,,1.5989001,,,1.0842,0.9818,0.64180005,0.5501,,0.45630002,1.6053001,1.0357,0.30910003,1.3333001,0.75990003,1.4521,0.72400004,1.5174001,,0.48000002,,0.6,0.6321,0.5,0.94930005,1.7105001,0.50890005,0.28570002,,,0.8093,,0.8547,0.5396,,,1.0596,0.41610003,,,,0.52940005,,,0.72740006,2.6175,0.5556,0.82780004,0.73330003,,,2.6000001,0.5454,1.0915,0.48260003,0.303,0.8586,0.4783,1.5789001,0.57140005,0.7188,0.1763,0.69790006,,4.7619,0.09290001,,0.83150005,,0.83080006,0.32960004,,,,,1.4741,0.4093,1.3458002,0.3684,0.31440002,0.8759001,,,1.0777,,1.4874,1.0341,0.51790005,0.4735,,0.52500004,1.3697001,0.3774,0.3846,,,0.7857,,0.60980004
1974,0.6,0.80120003,1.0676,,0.8759001,2.194,,0.9703,,0.356,0.6923,0.48790002,,,0.6071,0.8036,0.52190006,,,1.302,1.0128,1.0,,0.5842,0.57170004,0.5738,0.73980004,0.3871,0.2778,1.0496,,2.434,,,1.0459001,0.75450003,0.42310002,1.9605001,,0.6706,,,1.2028002,,,0.9856,1.0167,0.8525,0.537,,0.42710003,1.5286001,1.0964,0.2601,1.3291,0.6596,1.4758002,0.66670007,1.4736,,0.5556,,0.56670004,0.84050006,0.5,0.8212001,1.7500001,0.5414001,0.38070002,,,0.80380005,,0.85490006,0.6261,,,0.8898,0.4444,,,,0.5288,,,0.7156,2.6580002,0.5946,0.7221,0.69000006,,,2.25,0.5339,1.0742,0.47800002,0.289,0.85420007,0.4286,1.3000001,0.57140005,0.73850006,0.1504,0.78770006,,3.3333,0.09690001,,0.61490005,,0.6549001,0.32920003,,,,,1.4545001,0.541,1.4791,0.38950002,0.34460002,0.98520005,,,1.0812,,1.45,0.90070003,0.5,0.48110002,,0.52500004,1.5013001,0.40760002,0.41540003,,,1.1806,,0.6047
1975,0.5833,0.8,0.7911,,0.79870003,,,1.0138,,0.36120003,0.71430004,0.7541,,,0.5606,0.81020004,0.55050004,,,1.4721,1.0887,1.0,,0.5906,0.5851,0.5726,0.74480003,0.41170004,0.26670003,1.4288001,,2.8749,,,0.8553,0.96940005,0.41730002,2.0233002,,0.647,,,1.1688001,,,1.1599001,1.0,0.54940003,0.44070002,,0.52120006,1.8799001,1.0806,0.3163,1.3566,0.52770007,1.4626,0.6237,1.2924001,,0.57140005,,0.5357,0.7929001,0.5,1.4000001,1.6741,0.6524001,0.4769,,,0.7667,,0.8183,0.5861,,,0.86520004,0.41170004,,,,0.53020006,,,0.7886,2.3738003,0.68420005,1.0037,0.48090002,,,1.8056,0.5491,0.99990004,0.4909,0.25190002,0.81100005,0.5513,1.0963001,0.57140005,0.7576,0.1529,0.7711,,3.3333,0.092800006,,0.80140007,,0.70970005,0.5,,,,,1.0481,0.7188,1.6190001,0.3958,0.3591,0.8191,,,1.1,,1.6489002,0.8421,0.5,0.7979001,,0.55,1.3335,0.41590002,0.3885,,,0.6262,,0.6047
1976,0.5833,0.8011,1.1602,,0.72190005,,,1.0366,,0.3885,0.64710003,0.62780005,,,0.55850005,0.8,0.45340002,,,1.363,0.86230004,0.9706,,0.6154001,0.58430004,0.5683,0.6693,0.588,0.2,1.3095001,,2.4740002,,,0.808,0.85980004,0.47110003,2.0233002,,0.6111,,,0.8974001,,,1.1427,1.0,0.58690006,0.41230002,,0.4444,0.9358,1.0648001,0.30020002,1.3218001,0.67450005,1.5383002,0.5838,1.3193,,0.5806,,0.5806,0.9193,0.5263,0.83330005,1.7168001,0.51890004,0.29170004,,,0.8,,0.88100004,0.5622,,,1.2112,0.39170003,,,,0.53150004,,,0.80170006,1.2471,0.64100003,0.35420004,1.0779,,,1.7609001,0.5286,0.9233,0.47800002,0.25300002,0.81000006,0.5644001,1.3560001,0.57140005,0.8,0.1354,0.78840005,,3.3333,0.091900006,,0.8054001,,0.7569001,0.49750003,,,,,1.7317001,0.4698,1.6316,0.4124,0.28440002,0.60090005,,,1.1,,1.5588001,0.8654001,0.49660003,0.7749001,,0.56820005,1.3424001,0.46170002,0.46350002,,,0.70190006,,0.6136
1977,0.54170007,0.80100006,0.9064001,,0.79370004,,,1.0233,,0.47360003,0.6571,0.8697001,,,0.5053,0.8,0.50320005,,,0.7171,1.1550001,0.9412001,,0.61590004,0.5743,0.573,0.64680004,0.5811,0.24000001,1.1068001,,3.0861003,,,0.8541,0.79840004,0.44070002,1.9906001,,0.44700003,,,1.7142,,,1.0567,1.0375,0.7196,0.38500002,,0.45000002,1.8772,0.901,0.32970002,1.0636001,0.674,1.5479001,0.5873,1.5727,,0.5429,,0.6061,0.9451,0.6,1.4000001,1.7703001,0.7436,1.4250001,,,0.6593,,0.8507001,0.47220004,,,0.84920007,0.49010003,,,,0.53040004,,,0.66830003,2.5165002,0.65000004,0.93880004,0.64650005,,,2.0962,0.54480004,1.1724001,0.4903,0.21200001,0.83140004,0.5768,1.2882,0.57140005,0.83080006,0.15810001,0.78300005,,3.3333,0.1211,,0.8046,,0.6416,0.5426,,,,,1.8333001,0.328,1.7515001,0.4,0.19380002,0.54760003,,,1.1400001,,1.5534,1.1251,0.55950004,0.74780005,,0.56820005,1.4612,0.4614,0.45100003,,,0.98920006,,0.6136
1978,0.36360002,0.8019001,0.9779001,,1.0389,,,1.0233,,0.46360004,0.63920003,1.3518001,,,0.5044,0.8880001,0.47520003,,,1.2509,1.0029001,1.1033001,,0.62070006,0.54920006,0.5,0.67450005,0.48310003,0.2593,1.2939001,,3.3333,,,0.78730005,0.6641,0.47960004,1.9738002,,0.6496,,,1.7615001,,,1.1149001,1.0167,0.84920007,0.51620007,,0.45000002,1.7093002,0.91010004,0.30370003,1.0925001,0.5622,1.5501001,0.66190004,1.6854001,,0.5676,,0.6071,0.8755,0.58930004,1.5000001,1.7486,0.65150005,0.97440004,,,0.70000005,,0.90220004,0.60040003,,,0.9455,0.527,,,,0.5299001,,,0.83430004,2.2531002,0.5941,0.91400003,0.6948,,,1.7500001,0.5551,1.0076001,0.4753,0.2716,0.85300004,0.5802,1.9217,0.57140005,0.85230005,0.16690001,0.81970006,,3.7143002,0.14500001,,0.79200006,,0.82940006,0.46330002,,,,,1.8058001,0.27170002,1.7184001,0.4,0.24120001,0.69170004,,,1.1,,1.5678002,1.5484,0.5516,0.75000006,,0.57780004,1.4592,0.48650002,0.47970003,,,1.0288001,,0.5
