Date,AFG,AGO,ALB,ARG,AUS,AUT,AZE,BDI,BEN,BFA,BGD,BGR,BIH,BLZ,BOL,BRA,BTN,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CZE,DEU,ECU,EGY,ESP,ETH,FRA,GAB,GEO,GHA,GRC,GTM,GUF,GUY,HND,HRV,HUN,IDN,IND,IRN,IRQ,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,LAO,LBR,LKA,LTU,LUX,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MOZ,MWI,MYS,NGA,NIC,NPL,NZL,OWID_CZS,OWID_ERE,OWID_PYA,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,POL,PRK,PRY,PYF,ROU,RUS,RWA,SEN,SLV,SRB,SUR,SVK,SVN,SYR,TGO,THA,TJK,TLS,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,ZAF,ZMB,ZWE
1961,,,,0.97650003,0.66670007,,,1.0,,,,0.5296,,,,1.1269001,,2.1033,,1.0,0.6243,,,0.59000003,1.4815,,,,,1.25,,,,,,,,,,,,,,0.31160003,0.6821,0.45450002,1.0,,1.9167,,1.3472,,,,0.65540004,0.5683,1.0101,0.3333,0.75000006,,,,,,1.9850001,,,0.33200002,,,0.3958,0.34970003,,0.5,,,1.4286001,,,0.49,1.1287,0.7688,0.45000002,,1.0,0.9409001,,0.56670004,1.6154001,,0.46,,0.5,,,,0.8,,,,,1.0577,,0.71430004,0.97830003,0.9046,0.26000002,0.3745,,1.0,1.69,,,0.41590002,0.52620006,,0.637
1962,,,,1.1628001,0.7738,,,1.0,,,,0.43490002,,,,1.1005001,,2.0106,,1.0,0.68570006,,,0.661,1.3415,,,,,1.2308002,,,,,,,,,,,,,,0.67050004,0.66800004,0.45450002,1.0,,1.7824001,,1.2629001,,,,0.6417,0.5421,0.96150005,0.3333,0.75000006,,,,,,2.0757,,,0.75320005,,,0.4,0.36510003,,0.5,,,1.6216,,,0.5758,1.1384001,1.0394001,0.45000002,,1.0,0.91110003,,0.56450003,1.6111001,,0.36040002,,0.5,,,,0.77220005,,,,,1.1029,,0.71430004,0.8696,0.97380006,0.275,0.41670004,,1.0,1.6302,,,0.4063,0.52620006,,0.66480005
1963,,,,0.98020005,0.5978,,,1.0,,,,0.4878,,,,0.95030004,,1.4754001,,1.0,0.71800005,,,0.71000004,1.6216,,,,,1.2143002,,,,,,,,,,,,,,0.837,0.64970005,0.4444,1.0,,1.8214002,,1.3540001,,,,0.8071,0.5528,0.9692001,0.3333,0.75000006,,,,,,2.0513,,,0.72550005,,,0.4,0.3684,,0.5,,,1.7500001,,,0.5,1.1561,1.3035,0.45000002,,1.0,0.9141,,0.5625,1.8371,,0.33600003,,0.5,,,,0.67190003,,,,,1.0313001,,0.71430004,0.88100004,0.95330006,0.26670003,0.8,,1.0,1.6432,,,0.4,0.4718,,0.47230002
1964,,,,1.1457,0.4471,,,1.0,,,,0.68500006,,,,0.8478,,2.0310001,,1.0,0.7871,,,0.73330003,1.6129001,,,,,1.2,,,,,,,,,,,,,,0.5931,0.68600005,0.4444,1.0,,1.8333001,,1.1059,,,,0.66670007,0.5792,0.96970004,0.3333,0.75000006,,,,,,1.9657,,,0.62340003,,,0.4,0.3278,,0.5,,,1.8605001,,,0.32020003,1.1323001,1.6713002,0.45450002,,1.0,0.8464001,,0.5758,3.0557,,0.5094,,,,,,1.4141,,,,,0.91840005,,0.71430004,0.83330005,1.1304001,0.2429,0.4,,1.0,1.5309001,,,0.43750003,0.4286,,0.40670004
1965,,,,1.0352,0.6053,,,1.0,,,,0.72,,,,1.2115,,2.0379002,,1.0,0.7153,,,0.66670007,1.6835,,,,,1.25,,,,,,,,,,,,,,0.6426,0.70120007,0.4348,1.0,,1.8077,,1.2473001,,,,0.6711,0.5615,0.96970004,0.3333,0.75000006,,,,,,2.1087,,,0.5981,,,0.4054,0.3043,,0.5,,,1.7778001,,,0.49360004,1.2279,1.2015,0.45830002,,1.4557,0.7701,,0.58820003,1.9248002,,0.48210004,,,,,,1.1379001,,,,,1.0380001,,0.71430004,0.83330005,1.2357,0.24000001,0.41670004,,1.0,1.6508001,,,0.43550003,0.4286,,0.45880002
1966,,,,1.1600001,0.3858,,,1.0,,,,2.2903001,,,,1.2125001,,2.1723,,1.0,0.9825001,,,0.68670005,1.4857,,,,,1.3125001,,,,,,,,,,,,,,1.0252,0.6891,0.4348,1.0,,1.9455001,,1.1798002,,,,0.90120006,0.58460003,0.9706,0.3333,0.75000006,,,,,,1.7486,,,0.6107001,,,0.41670004,0.3243,,0.5,,,2.0,,,0.68540007,1.3723001,1.7062,0.45830002,,1.5912,0.7713,,0.79850006,1.5095,,1.1314001,,,,,,1.4516001,,,,,0.8582001,,0.71430004,0.78330004,1.2327,0.26060003,0.9524001,,1.0,1.7087001,,,0.4225,0.4,,1.7700001
1967,,,,1.1857,0.6635,,,1.0,,,,0.69350004,,,0.9585,1.1691,,1.8764001,,1.0,0.97360003,,,0.721,1.6667,,,,,1.4000001,,,,,,,,,,,,,,0.6582,0.7061,0.4444,1.0,,2.0455,,1.3460001,,,,0.86020005,0.6488,0.98550004,0.3143,0.83330005,,,,,,1.8749001,,,0.60550004,,,0.53190005,0.3614,,0.5,,,2.0,,,0.6388,1.3494,1.3175001,0.4643,,1.7197,0.8108,,0.84590006,1.4316001,,0.8432,,,,,,1.4186001,,,,,0.9041,,0.71430004,0.91670007,1.4383001,0.254,1.0,,1.0,1.6498002,,,0.4474,0.39820004,,1.6700001
1968,,,,1.0891,0.5479,,,1.0,,,,0.7131,,,0.93020004,0.9066,,2.0579,,1.0,0.9624001,,,0.68970007,2.0,,,,,1.3875,,,,,,,,,,,,,,0.712,0.6203,0.4444,1.0,,1.9588002,,1.3679001,,,,0.81630003,0.7823,0.97220004,0.3143,0.83330005,,,,,,2.0692,,,0.62170005,,,0.5,0.35140002,,0.5,,,2.0833,,,0.6183,1.4345001,0.64840007,0.4688,,1.3756001,0.8366,,0.88890004,3.3938003,,0.96520007,,,,,,1.4298002,,,,,0.97220004,,0.71430004,1.1333001,1.4758002,0.21000001,1.0,,1.0,1.7986001,,,0.45830002,0.3268,,1.7320001
1969,,,,1.1277,0.8313,,,1.0,,,,1.4677,,,1.5000001,1.1661,,1.6007,,1.0,0.9171,,,0.71430004,2.0472,,,,,0.60080004,,,,,,,,,,,,,,0.71430004,0.7033,0.43750003,1.0,,2.0337,,1.322,,,,0.7231,0.7505,0.97220004,0.3429,0.83330005,,,,,,1.7570001,,,0.62770003,,,0.41670004,0.38750002,,0.5,,,2.0,,,0.51060003,1.4523001,1.2675,0.47220004,,1.1185,0.81850004,,0.8942,2.7968001,,0.94790006,,0.70000005,,1.4444001,,1.0,,,,,1.0282,,0.71430004,1.348,1.4822,0.2249,1.0,,1.0,1.8435001,,,0.45450002,0.54670006,,0.46350002
1970,,,,1.0320001,1.0123,,,1.0,,,,0.8301,,,1.5000001,1.1439,,2.0848002,,1.0,1.0919001,,,0.8421,1.9835001,,,,,0.9836,,1.4938002,,,,,,,,,,,,,0.7164001,0.43750003,1.0,,2.0482001,,1.319,,,,0.8,0.78520006,1.0,0.3429,0.87500006,,,,,,1.9203001,,,0.69740003,,,0.5183,0.31350002,,0.5,,,2.3636003,,,0.6911,1.48,1.3021001,0.45000002,,1.0784001,0.81850004,,0.91730005,1.4591,,1.1441001,,0.8003,,1.4444001,,0.9667001,,,,,0.87500006,,0.71430004,1.0909001,1.5246,0.24000001,1.087,,1.0,1.7941,,,0.53790003,0.5436,,1.9107001
