Date,ALB,ARG,ASM,AUS,AUT,BEL,BFA,BGR,BHS,BRA,BRB,CAN,CHE,CHL,CHN,CIV,COD,COK,COL,CYP,CZE,DEU,DJI,DMA,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GIN,GLP,GNB,GRC,GRD,GTM,GUF,GUM,HND,HRV,HUN,IDN,IND,IRL,IRN,ITA,JAM,JOR,JPN,KGZ,KNA,KOR,LAO,LBN,LBY,LCA,LSO,LTU,LUX,LVA,MAR,MLI,MLT,MMR,MNP,MOZ,MTQ,MWI,NAM,NIC,NLD,NOR,NPL,NZL,PAK,PAN,PER,PHL,POL,PRI,PRT,PRY,PYF,QAT,REU,ROU,SEN,SRB,SVK,SVN,SWE,TGO,THA,TTO,TUR,UGA,URY,USA,VCT,VEN,VIR,VNM,WSM,YEM,ZMB
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3269.0,,,,175528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,378357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,17178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16272.0,,,,,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,129540.0,,,,,,,,,108296.0,,,,4479600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768501.0,,,,,229300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520520.0
1991,,,,,,,,,,,,280043.0,,,,,,,,,,,,,,,,,,,,,95400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307221.0,,,,,,,,156549.0,,,,,,1704721.0,,,,,,,,,
1993,,,,,,,886638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325750.0,,,19713806.0,,,,,,,,,,,,,,,,,,,,,,,,,,1561416.0,,,,,,,,,,,,,,,,,,,,,,,,,5647490.0,,,,,,,,,,,,
1994,,,,,,,,,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,1135.0,9026.0,,,,,,,,,,,,,442168.0,,,,18277.0,,,,,,,,,,,,,,3444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6223.0,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,4838183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187791.0,,,,,,,,,13366.0,,,,,1496349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842124.0,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,316492.0,193446000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88452.0,,,,,,,,,,,,,,,,,,,,,102357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500979.0,,,,,
1998,466809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668000.0,,,,,,,,,,,,,,,,,,,70740.0,,,,,,,,,415969.0,,,,,,437037.0,,,,,,,,,,,,,,,,14734.0,,
2000,,,,,199470.0,61710.0,,,,,,,,,,,,1721.0,,,56487.0,471960.0,,,57830.0,,842882.0,4541884.0,,,,81200.0,,663810.0,233250.0,,,,,817060.0,,,,,,,966916.0,,,141530.0,,2590674.0,,,,,,,,,,,,,2810.0,,,,,,,3037782.0,,,,,101550.0,,,,6620054.0,,,,,,,,,,9387.0,,,,,,81410.0,,,,,,57131.0,,7380.0,,,,,,
2001,,,,,,,,,,,,,,,,1117667.0,,,2021895.0,,,,,,,1023799.0,,,,68869.0,,,,,,,,,,,,,,,,,,,119894000.0,,,,,,,,,,,,,,,,,180263.0,,,11959.0,,,,,,,199549.0,,,,,,236613.0,,,,,,,,3553.0,,,,,71038.0,,,,,,3076650.0,,,,,,,10689753.0,,,
2002,,,,,,,,,,,,,,,,,,,,45199.0,,,,,,,,,,,10758597.0,,,,,,,,,,,,,153.0,,,,,,,,,,,,1130855.0,,,,,,,,,,,,,,,214.0,,,,,,,,3364139.0,70000.0,,,,4822739.0,2933000.0,17659.0,,,,,,4484893.0,,778891.0,,,,,,,,,,2128982.0,,,191.0,,,1180105.0,
2003,,,7094.0,,,,,665500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830684.0,,,,449896.0,,,,,4332423.0,,,,,,,,,,,,,278563.0,,,,,,3464769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19111.0,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
