Date,ABW,AFG,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AZE,BDI,BEN,BFA,BGD,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ETH,FJI,FSM,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GRD,GTM,GUY,HKG,HND,HRV,HTI,IDN,IND,IRN,IRQ,ISR,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NPL,NRU,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,PRK,PRY,PSE,PYF,QAT,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVN,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,3.129,,,,,,,,,3.881,0.009,0.06,,,-0.027,,,6.5,,,,,,,10.088,0.027,0.427,,0.023,,,0.015,,-0.179,,,0.837,,,,,,0.027,11.02,0.328,,,0.956,1.0,,0.015,,0.243,,,,,,1.61,4.853,0.439,1.567,,,,1.978,0.663,0.074,3.498,,,,2.759,,4.277,,,6.277,,,,5.305,11.309,,0.789,,,2.907,,0.407,,0.061,,,,,6.543,,,,,,0.325,2.6,0.724,,,0.009,0.782,3.817,1.697,,,,6.772,2.79,-0.402,0.697,,0.004,,3.563,,,,6.328,0.567,2.435,,-0.032,,,,11.928,,,,11.165,,28.3,9.167,2.226,,0.01,0.064,1.59,,,,,,,,,0.394,4.882,,1.583,,,0.011,,,,,,,0.144,
1961,,6.191,,,,,,,,,3.577,0.63,0.382,,,,,,9.4,,,,,,,14.757,0.341,2.606,,0.552,,,0.128,,1.16,,,1.462,,,,,,0.024,14.735,0.682,,,1.251,0.894,,0.352,,0.23,,,,,,1.454,5.422,0.336,2.068,,,,1.58,3.009,0.032,2.954,1.384,,,8.212,,3.914,,,9.365,,,,14.845,8.796,,0.798,,,5.452,,0.22,,0.615,,,,,3.54,,,,0.635,,2.895,4.813,1.028,,,0.409,0.684,4.009,2.017,,,,6.145,1.894,-0.616,0.234,,0.004,,3.22,,,,5.885,-0.012,1.176,,0.001,,,,12.152,,,,12.61,,30.919,8.333,1.78,,0.985,1.655,0.969,,,,,0.015,10.846,,,1.394,4.825,,0.138,,,0.117,,,,,,,0.144,0.001
1962,,3.034,,,,,0.22,,,,5.246,1.589,1.142,,,,,,17.25,,,,,,,13.1,0.919,2.435,,1.431,,,1.883,,0.993,,,1.957,,,,,,2.751,18.049,0.898,,,1.546,9.169,,1.544,,0.408,,,,,,0.882,4.782,0.111,1.535,,,,1.615,1.236,0.096,3.66,1.694,,,5.813,,3.358,,,8.297,-0.193,,,41.841,5.499,,0.909,,,3.334,,0.698,,0.251,,,,,4.505,,,,1.366,,2.178,6.414,1.116,,,0.822,0.636,2.903,1.575,,,,8.822,1.978,0.234,0.618,,,,0.888,,,,8.848,-0.596,0.739,,0.121,,,,11.709,,,,10.667,,17.41,3.769,2.337,,1.559,2.422,1.148,,,,,0.099,8.031,,,1.524,6.465,,0.202,,,0.977,,,,,,,0.944,
1963,,4.781,,,,,0.149,,,,2.678,1.684,1.043,,,0.01,,,11.941,,,,,,,12.395,1.535,2.404,,1.182,,,3.343,,1.482,,,1.612,,,,,,5.149,10.199,0.898,,,1.368,3.602,,2.243,,1.182,,,,,,0.848,3.844,0.276,1.812,,,,2.028,0.572,0.226,3.28,0.427,,,6.184,,3.258,,,6.514,-0.072,,,17.305,3.134,,0.882,,,3.515,,1.129,,0.019,,,,,7.012,,,,0.964,,2.296,8.755,0.519,,,0.772,0.406,2.73,3.264,,,,10.517,2.857,0.275,0.4,,0.004,,2.292,,,,5.25,-0.142,1.126,,0.066,,,,14.097,,,,18.635,,14.109,4.571,0.234,,1.511,3.228,1.028,,,,,1.699,8.241,,,0.907,3.826,,0.566,,,0.488,,,,,,,0.829,1.282
1964,,5.658,,,,,-0.02,,,,3.136,6.717,3.72,,,0.026,,,4.306,,,,,,,18.872,11.824,1.902,,4.349,,,9.758,,0.708,,,2.169,,,,,,2.335,7.83,0.854,,,0.808,2.529,,7.543,,1.173,,,,,,0.949,2.848,0.012,2.38,,,,2.165,0.082,0.476,2.434,0.456,,,5.852,,1.623,,,4.911,-0.058,,,6.784,1.743,,0.679,,,3.57,,6.133,,-0.117,,,,,5.184,,,,5.393,,0.986,17.505,0.661,,,2.562,0.826,2.804,3.929,,,,9.831,1.55,0.483,1.234,,,,2.151,,,,5.569,-0.021,1.447,,0.049,,2.69,,9.498,,,,14.383,,23.182,6.267,0.365,,4.254,6.277,0.821,,,,,1.69,7.03,,,1.225,3.838,,0.114,,,-0.716,,,,,,,2.833,0.594
1965,,5.251,,,,,-0.197,,,,3.096,6.187,4.122,,,0.026,,,5.325,,,,,,,20.196,10.52,1.765,,4.325,,,8.128,,0.699,,,2.603,,,,,,9.026,4.787,0.886,2.501,,0.972,3.092,,6.32,,2.268,,,,,,1.053,3.513,0.175,2.353,,,,2.169,0.357,0.362,2.896,1.039,11.34,,7.421,,1.12,,,6.967,-0.077,,,14.471,0.522,,0.888,,,3.652,,6.305,,0.231,,,,,4.649,,,,3.647,,0.956,15.206,0.774,,,2.255,1.332,1.697,2.433,,2.921,,8.45,4.302,1.117,1.425,,24.211,,2.121,,,,5.483,0.016,2.034,,0.227,,4.853,1.668,11.75,,,,13.612,,25.367,9.688,0.23,,4.424,5.158,1.119,,,,,2.204,9.402,,,1.017,2.323,,0.16,,,0.182,,,,,,,1.067,0.352
1966,,3.558,,,,,-0.031,,,,5.724,4.924,3.903,,,0.017,,,5.864,,,1.243,1.074,,,31.368,9.911,1.769,,3.631,,,11.604,,1.551,,,2.016,,,,,,5.421,4.35,1.057,1.856,,1.095,2.796,,5.991,,2.936,,8.159,,,,0.753,4.148,0.099,1.822,,,,2.761,0.172,0.128,2.414,0.999,11.481,,4.904,,1.272,,,5.747,-0.075,,,14.713,0.103,,1.706,17.417,,3.464,,5.3,,0.154,,,,,5.727,,,,8.127,,1.93,12.583,0.988,,10.488,3.148,1.118,2.197,1.698,,0.912,,5.755,2.385,0.74,0.635,,22.003,,2.011,,6.222,,9.528,0.012,2.539,,0.209,,2.711,2.273,19.545,,,,2.373,,15.574,5.813,1.564,,4.421,3.99,0.84,,,,,1.38,8.17,,,0.793,2.597,,0.262,,,0.353,,,,,,,2.472,0.036
1967,,2.404,,,,,0.037,,,,6.234,5.317,4.37,,,0.201,,,12.426,,,0.611,0.355,,,29.452,12.62,1.357,,3.249,4.866,,8.0,,1.705,,,1.889,,,,,,5.769,3.272,1.076,0.591,,1.127,1.803,,6.098,,2.645,,6.404,,,,1.055,4.913,0.099,1.523,,,4.139,2.776,0.44,0.126,1.521,0.91,8.307,,3.075,,1.451,,,5.178,-0.07,,,9.297,0.085,,2.514,18.622,,2.067,,4.565,,0.137,,,6.255,,3.052,,,,4.413,,2.186,11.598,0.733,,6.45,3.341,1.424,1.819,1.685,,0.969,,6.541,1.838,0.742,1.123,,22.332,,2.517,,6.851,,8.394,0.016,0.925,,0.582,,2.14,1.504,5.317,,,,2.222,,14.485,13.176,0.38,,4.387,4.358,1.067,,,,,0.792,8.534,1.269,,0.884,2.276,,0.354,,,0.296,,,,,,,4.709,0.03
1968,,2.086,,,,,0.01,,,,7.629,4.043,4.969,,,0.013,,,12.837,,,0.664,0.518,,,23.914,9.197,1.087,,3.605,5.408,,8.617,,2.005,,,1.577,,,,,,4.08,3.155,0.883,0.435,,1.621,3.906,,4.978,,3.849,,14.244,,,,1.053,7.254,0.049,2.599,,,4.672,1.753,0.101,0.062,1.164,1.567,7.939,,4.62,,0.961,,,3.81,0.0,,,5.536,0.216,,2.937,16.897,,2.875,,4.711,,0.094,,,8.155,,2.77,,,,6.973,,4.68,19.886,0.78,,7.319,4.789,1.365,1.75,1.412,,0.035,,4.898,1.304,0.609,0.764,,22.915,,2.071,,7.008,,9.349,0.014,1.933,3.799,0.317,,3.232,1.08,11.154,,,,9.867,,11.271,15.375,0.308,,4.774,5.631,1.069,,,,,0.666,6.168,1.003,,0.829,2.176,,1.565,,,0.197,,,,,,,1.979,0.155
1969,,1.895,,,,,0.057,,,,8.388,4.006,5.031,,,0.015,,,14.87,,,0.378,0.707,,,16.096,10.594,0.918,,3.765,3.92,,6.604,,1.683,,,1.652,,,,,,2.85,3.083,0.57,0.153,,1.404,5.058,,6.342,,3.724,,8.156,,,,0.805,7.904,0.041,1.911,,,3.993,1.558,0.182,0.112,0.9,1.174,6.759,,3.897,,1.3,,,4.295,0.014,,,5.037,0.193,,2.552,15.747,,2.151,,4.336,,0.068,,,6.89,,5.005,,,,4.221,,2.432,10.659,0.863,,6.274,5.358,1.325,2.323,1.374,,0.022,,3.809,1.517,0.541,0.849,,21.855,,2.584,,7.609,,9.339,0.036,0.485,4.473,0.906,,2.138,1.221,10.771,,,,9.302,,10.641,8.063,0.506,,5.011,4.684,1.019,,,,,0.925,9.378,0.889,,0.744,2.389,,0.981,,,0.121,,,,,,,1.067,0.041
