Date,ABW,AFG,AGO,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,0.0,30000000.0,1130000000.0,19130000000.0,9540000000.0,30000000.0,0.0,7810000000.0,1090000000.0,1090000000.0,0.0,,120000000.0,80000000.0,4850000000.0,40000000.0,1910000000.0,0.0,0.0,0.0,0.0,0.0,25930000000.0,0.0,350000000.0,0.0,60000000.0,0.0,4030000000.000001,1870000000.0,1740000000.0,44680000000.0,690000000.0,580000000.0,370000000.0,400000000.0,2300000000.0,0.0,40000000.0,60000000.0,0.0,340000000.0,,10000000.0,0.0,230000000.0,,13390000000.0,3030000000.0,18290000000.0,0.0,3250000000.0,120000000.0,370000000.0,1730000000.0,0.0,3610000000.0,0.0,0.0,,10000000.0,250000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260000000.0,21610000000.0,22870000000.0,,82710000000.0,10770000000.0,0.0,570000000.0,11080000000.0,0.0,410000000.0,2180000000.0,6210000000.0,0.0,340000000.0,0.0,0.0,0.0,1920000000.0,7180000000.0,0.0,1380000000.0,0.0,5550000000.0,0.0,470000000.0,30000000.0,,,200000000.0,0.0,360000000.0,70000000.0,80000000.0,0.0,14890000000.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,500000000.0,30000000.0,20000000.0,120000000.0,2070000000.0,70000000.0,0.0,2810000000.0,0.0,430000000.0,280000000.0,0.0,0.0,,80000000.0,604690000000.0,7210000000.0,30000000.0,0.0,0.0,0.0,0.0,,0.0,230000000.0,0.0,4420000000.0,0.0,36310000000.0,20000000.0,52590000000.0,950000000.0,,,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3390000000.0,0.0,0.0,2060000000.0,0.0,0.0,4950000000.0,120000000.0,7160000000.0,0.0,0.0,0.0,380000000.0,1000000000.0,0.0,710000000.0,280000000.0,10240000000.0,0.0,15050000000.0,13950000000.0,0.0,21360000000.0,2820000000.0,0.0,0.0,1940000000.0,2560000000.0,1240000000.0,1770000000.0
2011,0.0,20000000.0,1540000000.0,20160000000.0,13550000000.0,40000000.0,10000000.0,9850000000.0,1220000000.0,2190000000.0,0.0,,150000000.0,110000000.0,5960000000.0,50000000.0,2280000000.0,50000000.0,0.0,0.0,40000000.0,0.0,30790000000.0,10000000.0,520000000.0,0.0,90000000.0,0.0,2680000000.0,2340000000.0,610000000.0,52370000000.0,750000000.0,760000000.0,510000000.0,590000000.0,1500000000.0,0.0,40000000.0,60000000.0,0.0,370000000.0,,10000000.0,0.0,270000000.0,,17000000000.0,5000000000.0,26870000000.0,0.0,3170000000.0,130000000.0,460000000.0,1850000000.0,0.0,5920000000.0,0.0,0.0,,10000000.0,160000000.0,0.0,0.0,0.0,10000000.0,,0.0,190000000.0,40000000.0,0.0,160000000.0,0.0,200000000.0,270000000.0,38360000000.0,43140000000.0,,74880000000.0,15170000000.0,0.0,680000000.0,11340000000.0,10000000.0,1960000000.0,2940000000.0,8760000000.0,0.0,730000000.0,0.0,0.0,0.0,1880000000.0,8700000000.0,0.0,1790000000.0,0.0,5660000000.0,0.0,850000000.0,30000000.0,,,230000000.0,0.0,1050000000.0,90000000.0,100000000.0,0.0,24440000000.0,0.0,0.0,140000000.0,0.0,0.0,0.0,0.0,820000000.0,40000000.0,20000000.0,140000000.0,3720000000.0,90000000.0,0.0,6400000000.0,210000000.0,510000000.0,310000000.0,10000000.0,0.0,,0.0,745220000000.0,11360000000.0,190000000.0,0.0,0.0,0.0,0.0,,0.0,510000000.0,30000000.0,5530000000.0,0.0,44270000000.0,20000000.0,70600000000.0,1350000000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000000.0,,,2940000000.0,0.0,0.0,2790000000.0,0.0,0.0,6440000000.0,170000000.0,8180000000.0,0.0,0.0,0.0,1030000000.0,1080000000.0,0.0,800000000.0,310000000.0,13010000000.0,0.0,11610000000.0,14270000000.0,0.0,27050000000.0,3710000000.0,0.0,0.0,2240000000.0,2980000000.0,1710000000.0,2460000000.0
2012,0.0,20000000.0,1800000000.0,24480000000.0,13880000000.0,40000000.0,10000000.0,8960000000.0,1000000000.0,2450000000.0,0.0,,0.0,120000000.0,7690000000.0,60000000.0,2600000000.0,50000000.0,0.0,0.0,40000000.0,1520000000.0,33590000000.000004,10000000.0,550000000.0,0.0,90000000.0,0.0,2890000000.0,2270000000.0,630000000.0,62850000000.0,920000000.0,800000000.0,560000000.0,770000000.0,1280000000.0,0.0,50000000.0,60000000.0,0.0,330000000.0,,10000000.0,0.0,200000000.0,,21180000000.0,5790000000.0,28810000000.0,0.0,2570000000.0,100000000.0,600000000.0,1580000000.0,0.0,6050000000.0,0.0,60000000.0,,10000000.0,180000000.0,0.0,0.0,0.0,10000000.0,,0.0,200000000.0,60000000.0,0.0,170000000.0,0.0,210000000.0,270000000.0,43810000000.0,46310000000.0,,88300000000.0,16940000000.000002,0.0,830000000.0,12670000000.0,10000000.0,2090000000.0,3570000000.0,7680000000.0,10000000.0,940000000.0,0.0,0.0,0.0,1800000000.0,9050000000.0,0.0,1920000000.0,0.0,7370000000.0,0.0,580000000.0,30000000.0,,,310000000.0,0.0,1160000000.0,100000000.0,110000000.0,0.0,26170000000.0,0.0,0.0,140000000.0,0.0,0.0,0.0,0.0,880000000.0,50000000.0,20000000.0,150000000.0,15750000000.0,100000000.0,0.0,6390000000.0,220000000.0,420000000.0,330000000.0,0.0,0.0,,0.0,831580000000.0,11170000000.0,210000000.0,0.0,0.0,0.0,0.0,,0.0,170000000.0,30000000.0,6160000000.0,0.0,46410000000.0,30000000.0,79430000000.0,1750000000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000000.0,,,2300000000.0,0.0,0.0,2950000000.0,0.0,0.0,7660000000.0,230000000.0,8640000000.0,0.0,0.0,580000000.0,1120000000.0,1070000000.0,0.0,890000000.0,310000000.0,12040000000.0,0.0,11730000000.0,12510000000.0,0.0,31710000000.0,4960000000.0,0.0,0.0,1660000000.0,4370000000.0,2050000000.0,2400000000.0
2013,0.0,20000000.0,2540000000.0,23730000000.0,18050000000.0,40000000.0,10000000.0,8740000000.0,890000000.0,2840000000.0,0.0,,0.0,140000000.0,4720000000.0,60000000.0,2530000000.0,50000000.0,0.0,0.0,40000000.0,2120000000.0,32330000000.0,10000000.0,440000000.0,0.0,90000000.0,0.0,3030000000.0,2320000000.0,570000000.0,56870000000.0,950000000.0,830000000.0,550000000.0,780000000.0,1480000000.0,0.0,50000000.0,60000000.0,0.0,300000000.0,,10000000.0,0.0,210000000.0,,22410000000.0,5990000000.0,29380000000.0,0.0,2590000000.0,90000000.0,750000000.0,1740000000.0,0.0,6130000000.0,0.0,100000000.0,,10000000.0,80000000.0,0.0,0.0,0.0,10000000.0,,0.0,830000000.0,40000000.0,0.0,170000000.0,0.0,230000000.0,290000000.0,40810000000.0,52680000000.0,,86680000000.0,14610000000.0,0.0,960000000.0,13570000000.0,10000000.0,1300000000.0,3780000000.0,5850000000.0,0.0,1030000000.0,0.0,0.0,0.0,1980000000.0,9810000000.0,0.0,2300000000.0,0.0,7700000000.0,0.0,270000000.0,40000000.0,,,350000000.0,0.0,530000000.0,90000000.0,110000000.0,0.0,16809999999.999998,0.0,0.0,160000000.0,0.0,10000000.0,0.0,0.0,910000000.0,50000000.0,20000000.0,150000000.0,4150000000.000001,100000000.0,0.0,6580000000.0,230000000.0,160000000.0,610000000.0,0.0,0.0,,0.0,809800000000.0,8210000000.000001,230000000.0,0.0,0.0,0.0,0.0,,0.0,210000000.0,40000000.0,6340000000.0,0.0,47010000000.0,30000000.0,76380000000.0,1730000000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000000.0,,,1930000000.0,0.0,0.0,1890000000.0,0.0,0.0,3060000000.0,280000000.0,8500000000.0,0.0,0.0,1080000000.0,1150000000.0,1090000000.0,0.0,970000000.0,340000000.0,10630000000.0,0.0,11290000000.0,11190000000.0,0.0,35220000000.0,1740000000.0,0.0,0.0,2050000000.0,3410000000.0,2160000000.0,2540000000.0
2014,0.0,20000000.0,2330000000.0,17910000000.0,17200000000.0,40000000.0,10000000.0,8250000000.0,870000000.0,1610000000.0,0.0,,0.0,170000000.0,3240000000.0,80000000.0,2340000000.0,50000000.0,0.0,0.0,50000000.0,2030000000.0,28260000000.0,10000000.0,370000000.0,0.0,140000000.0,0.0,3130000000.0,2470000000.0,720000000.0,52990000000.0,1080000000.0,860000000.0,600000000.0,770000000.0,1330000000.0,0.0,60000000.0,60000000.0,0.0,270000000.0,,10000000.0,0.0,210000000.0,,20690000000.0,5550000000.0,24550000000.0,0.0,2360000000.0,80000000.0,640000000.0,1700000000.0,0.0,5910000000.0,0.0,150000000.0,,10000000.0,40000000.0,0.0,0.0,0.0,10000000.0,,0.0,860000000.0,40000000.0,0.0,170000000.0,0.0,210000000.0,290000000.0,42060000000.0,41200000000.0,,81340000000.0,10250000000.0,0.0,970000000.0,13030000000.0,10000000.0,1240000000.0,2880000000.0,5540000000.0,0.0,910000000.0,0.0,0.0,0.0,1960000000.0,9430000000.0,0.0,2250000000.0,0.0,7300000000.0,0.0,330000000.0,40000000.0,,,340000000.0,0.0,440000000.0,90000000.0,120000000.0,0.0,9610000000.0,0.0,0.0,170000000.0,0.0,0.0,0.0,30000000.0,1090000000.0,50000000.0,20000000.0,150000000.0,3020000000.0,100000000.0,0.0,5510000000.0,240000000.0,200000000.0,570000000.0,0.0,0.0,,140000000.0,730590000000.0,6900000000.0,240000000.0,0.0,0.0,0.0,0.0,,0.0,220000000.0,40000000.0,6710000000.0,0.0,43240000000.0,30000000.0,73680000000.0,1000000000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000000.0,,,1870000000.0,0.0,0.0,1670000000.0,0.0,0.0,2040000000.0,260000000.0,7620000000.0,0.0,0.0,990000000.0,1180000000.0,4670000000.0,0.0,1000000000.0,390000000.0,8480000000.0,0.0,11470000000.0,9320000000.0,0.0,28660000000.0,1130000000.0,0.0,0.0,860000000.0,3320000000.0,2130000000.0,2520000000.0
2015,,0.0,200000000.0,11080000000.0,16000000000.0,30000000.0,,6820000000.0,810000000.0,1280000000.0,140000000.0,2470000000.0,50000000.0,-10000000.0,2000000000.0,60000000.0,1670000000.0,60000000.0,0.0,0.0,0.0,640000000.0,16570000000.0,0.0,170000000.0,30000000.0,0.0,0.0,1980000000.0,2450000000.0,650000000.0,50090000000.0,110000000.0,40000000.0,0.0,160000000.0,2080000000.0,0.0,-10000000.0,70000000.0,210000000.0,230000000.0,6490000000.0,30000000.0,,130000000.0,,12180000000.0,2540000000.0,16920000000.000002,,2140000000.0,60000000.0,500000000.0,1360000000.0,-10000000.0,5590000000.0,,140000000.0,19130000000.0,10000000.0,180000000.0,140000000.0,10000000.0,0.0,0.0,,,0.0,0.0,,90000000.0,0.0,0.0,260000000.0,20160000000.0,32570000000.0,2500000000.0,47410000000.0,4990000000.0,0.0,940000000.0,10010000000.0,0.0,380000000.0,2870000000.0,3000000000.0,390000000.0,590000000.0,0.0,0.0,,1710000000.0,6220000000.0,0.0,1420000000.0,0.0,3610000000.0,0.0,150000000.0,0.0,200000000.0,120000000.0,270000000.0,,1510000000.0,70000000.0,80000000.0,20000000.0,11990000000.0,,40000000.0,510000000.0,0.0,600000000.0,,90000000.0,0.0,160000000.0,0.0,0.0,330000000.0,0.0,130000000.0,870000000.0,0.0,170000000.0,510000000.0,0.0,,10000000.0,90000000.0,503290000000.0,3240000000.0,90000000.0,0.0,-1440000000.0,,0.0,1810000000.0,,270000000.0,40000000.0,3310000000.0,1320000000.0,30300000000.0,30000000.0,51530000000.0,600000000.0,,0.0,0.0,0.0,0.0,,,50000000.0,,0.0,90000000.0,210000000.0,160000000.0,1440000000.0,,-10000000.0,,0.0,0.0,780000000.0,450000000.0,4340000000.0,,0.0,820000000.0,690000000.0,4410000000.0,,250000000.0,0.0,5270000000.0,0.0,10870000000.0,5770000000.0,,17920000000.0,80000000.0,,,-20000000.0,5710000000.0,170000000.0,60000000.0
2016,,0.0,490000000.0,8380000000.000001,12370000000.0,20000000.0,,7160000000.0,830000000.0,2410000000.0,160000000.0,2590000000.0,40000000.0,-10000000.0,1130000000.0,80000000.0,1110000000.0,90000000.0,0.0,0.0,0.0,370000000.0,13330000000.0,10000000.0,90000000.0,20000000.0,0.0,0.0,2220000000.0,2490000000.0,640000000.0,63380000000.0,80000000.0,30000000.0,0.0,60000000.0,1630000000.0,0.0,-10000000.0,120000000.0,330000000.0,240000000.0,6530000000.0,40000000.0,,130000000.0,,6660000000.0,1540000000.0,13690000000.0,,1970000000.0,40000000.0,570000000.0,1440000000.0,0.0,6230000000.0,,120000000.0,14980000000.0,10000000.0,270000000.0,190000000.0,20000000.0,0.0,0.0,,,0.0,10000000.0,,140000000.0,0.0,0.0,210000000.0,22480000000.0,30290000000.0,2490000000.0,28400000000.0,3950000000.0,0.0,990000000.0,9750000000.0,0.0,150000000.0,3320000000.0,3970000000.0,420000000.0,590000000.0,0.0,0.0,,1380000000.0,5290000000.0,0.0,820000000.0,0.0,3170000000.0,0.0,80000000.0,0.0,200000000.0,120000000.0,260000000.0,,1330000000.0,70000000.0,40000000.0,20000000.0,26800000000.0,,30000000.0,620000000.0,0.0,370000000.0,,120000000.0,130000000.0,170000000.0,,0.0,1400000000.0,0.0,140000000.0,60000000.0,50000000.0,530000000.0,470000000.0,50000000.0,,10000000.0,100000000.0,453990000000.0,1700000000.0,90000000.0,0.0,0.0,,0.0,2020000000.0,,320000000.0,90000000.0,1160000000.0,1520000000.0,26930000000.0,20000000.0,33850000000.0,590000000.0,,0.0,0.0,0.0,0.0,,,30000000.0,,0.0,150000000.0,230000000.0,170000000.0,1430000000.0,,-10000000.0,,0.0,0.0,580000000.0,460000000.0,3130000000.0,,0.0,560000000.0,370000000.0,4550000000.0,,80000000.0,0.0,2640000000.0,0.0,9280000000.0,4130000000.0,,13550000000.0,110000000.0,,,10000000.0,7660000000.0,340000000.0,20000000.0
2017,,0.0,250000000.0,7900000000.0,9640000000.0,20000000.0,,7610000000.0,860000000.0,1890000000.0,80000000.0,2970000000.0,50000000.0,-10000000.0,1540000000.0,100000000.0,1340000000.0,100000000.0,10000000.0,0.0,0.0,590000000.0,9500000000.0,10000000.0,160000000.0,0.0,0.0,0.0,2460000000.0,2430000000.0,640000000.0,64390000000.0,110000000.0,40000000.0,0.0,60000000.0,1290000000.0,0.0,0.0,110000000.0,260000000.0,250000000.0,6420000000.0,40000000.0,,180000000.0,,9140000000.0,2490000000.0,21680000000.0,,1890000000.0,50000000.0,610000000.0,1490000000.0,0.0,7350000000.0,,50000000.0,13820000000.0,10000000.0,430000000.0,240000000.0,30000000.0,0.0,0.0,,,0.0,10000000.0,,210000000.0,0.0,0.0,220000000.0,23110000000.0,33290000000.0,2690000000.0,47120000000.0,6470000000.0,0.0,1100000000.0,10020000000.0,10000000.0,160000000.0,2680000000.0,5170000000.0,360000000.0,710000000.0,0.0,0.0,,1460000000.0,5250000000.0,30000000.0,1930000000.0,0.0,3740000000.0,0.0,200000000.0,0.0,190000000.0,120000000.0,250000000.0,,1720000000.0,70000000.0,70000000.0,40000000.0,14320000000.0,,570000000.0,490000000.0,0.0,730000000.0,,240000000.0,110000000.0,180000000.0,0.0,0.0,1900000000.0,0.0,190000000.0,940000000.0,50000000.0,850000000.0,440000000.0,20000000.0,,50000000.0,120000000.0,496080000000.0,3560000000.0,100000000.0,0.0,1050000000.0,,0.0,2040000000.0,,510000000.0,10000000.0,1690000000.0,1880000000.0,21840000000.0,20000000.0,40320000000.0,2360000000.0,,0.0,0.0,0.0,0.0,,,390000000.0,,0.0,150000000.0,400000000.0,180000000.0,1420000000.0,,20000000.0,,10000000.0,0.0,910000000.0,800000000.0,3210000000.0,,0.0,620000000.0,520000000.0,5420000000.0,,160000000.0,0.0,2440000000.0,0.0,9300000000.0,6390000000.0,,15940000000.0,190000000.0,,,10000000.0,8230000000.0,0.0,70000000.0
2018,,30000000.0,1930000000.0,8760000000.0,8029999999.999999,0.0,,7420000000.0,930000000.0,3080000000.0,30000000.0,3360000000.0,70000000.0,-10000000.0,3190000000.0,90000000.0,450000000.0,160000000.0,20000000.0,0.0,0.0,1150000000.0,8680000000.0,0.0,240000000.0,10000000.0,0.0,10000000.0,2230000000.0,2520000000.0,560000000.0,73140000000.0,130000000.0,70000000.0,0.0,120000000.0,1590000000.0,0.0,20000000.0,110000000.0,190000000.0,270000000.0,6820000000.0,40000000.0,,210000000.0,,17100000000.000002,3440000000.0,26870000000.0,,2030000000.0,50000000.0,1610000000.0,1640000000.0,10000000.0,10300000000.0,,50000000.0,13630000000.0,10000000.0,480000000.0,140000000.0,40000000.0,0.0,10000000.0,,,0.0,20000000.0,,280000000.0,0.0,20000000.0,220000000.0,40480000000.0,43100000000.0,3050000000.0,77490000000.0,9930000000.0,0.0,1150000000.0,11140000000.0,10000000.0,660000000.0,2200000000.0,7710000000.0,160000000.0,750000000.0,0.0,0.0,,1470000000.0,6420000000.0,60000000.0,1020000000.0,0.0,4790000000.0,0.0,380000000.0,0.0,200000000.0,140000000.0,190000000.0,,2170000000.0,80000000.0,100000000.0,70000000.0,16730000000.0,,440000000.0,20000000.0,0.0,1290000000.0,,320000000.0,120000000.0,250000000.0,10000000.0,0.0,1790000000.0,0.0,230000000.0,2290000000.0,40000000.0,880000000.0,390000000.0,10000000.0,,90000000.0,140000000.0,630510000000.0,5870000000.0,110000000.0,0.0,100000000.0,,0.0,1950000000.0,,510000000.0,-30000000.0,2440000000.0,1500000000.0,41660000000.0,30000000.0,39160000000.0,2940000000.0,,0.0,0.0,10000000.0,0.0,,,470000000.0,,10000000.0,180000000.0,550000000.0,170000000.0,1310000000.0,,20000000.0,,20000000.0,0.0,960000000.0,780000000.0,3770000000.0,,0.0,710000000.0,1640000000.0,5010000000.0,,360000000.0,0.0,3870000000.0,0.0,10450000000.0,8480000000.0,,17430000000.0,600000000.0,,,20000000.0,8770000000.0,0.0,190000000.0
2019,,30000000.0,1400000000.0,6150000000.0,6670000000.0,0.0,,7340000000.0,970000000.0,2040000000.0,40000000.0,3550000000.0,70000000.0,0.0,1900000000.0,80000000.0,780000000.0,220000000.0,80000000.0,0.0,0.0,800000000.0,7130000000.0,0.0,160000000.0,10000000.0,0.0,10000000.0,1930000000.0,2570000000.0,760000000.0,47300000000.0,110000000.0,70000000.0,0.0,90000000.0,1500000000.0,0.0,10000000.0,110000000.0,200000000.0,360000000.0,4940000000.0,40000000.0,,200000000.0,0.0,13340000000.0,2790000000.0,16899999999.999998,,1810000000.0,50000000.0,1180000000.0,1420000000.0,20000000.0,10000000000.0,,40000000.0,14010000000.0,10000000.0,310000000.0,200000000.0,40000000.0,0.0,20000000.0,,,190000000.0,40000000.0,,250000000.0,0.0,80000000.0,180000000.0,28850000000.0,34320000000.0,2930000000.0,101910000000.0,8500000000.0,0.0,1160000000.0,11280000000.0,10000000.0,340000000.0,2390000000.0,5510000000.0,100000000.0,750000000.0,110000000.0,0.0,,1400000000.0,4870000000.0,90000000.0,2700000000.0,0.0,4410000000.0,0.0,410000000.0,0.0,190000000.0,150000000.0,180000000.0,,1860000000.0,70000000.0,90000000.0,110000000.0,18340000000.0,,310000000.0,200000000.0,0.0,790000000.0,,360000000.0,0.0,270000000.0,20000000.0,0.0,1660000000.0,0.0,290000000.0,1830000000.0,40000000.0,12170000000.0,370000000.0,0.0,,90000000.0,130000000.0,544410000000.0,2890000000.0,160000000.0,0.0,40000000.0,,0.0,1870000000.0,,590000000.0,110000000.0,560000000.0,1360000000.0,21680000000.0,30000000.0,31190000000.0,3090000000.0,,0.0,0.0,0.0,0.0,,,530000000.0,,10000000.0,170000000.0,320000000.0,140000000.0,1700000000.0,,20000000.0,,30000000.0,0.0,540000000.0,670000000.0,2520000000.0,,0.0,550000000.0,800000000.0,3900000000.0,,400000000.0,0.0,2140000000.0,0.0,11570000000.0,5470000000.0,,12160000000.0,470000000.0,,,20000000.0,3990000000.0,180000000.0,140000000.0
