Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_BAD,OWID_BAV,OWID_GDR,OWID_GFR,OWID_HAN,OWID_HSE,OWID_HSG,OWID_KOS,OWID_MEC,OWID_MOD,OWID_PMA,OWID_RVN,OWID_SAX,OWID_SIC,OWID_SML,OWID_TUS,OWID_WRL,OWID_YAR,OWID_YPR,OWID_ZAN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1789,0.02,,,,0.082,,0.116,0.044,,,0.047,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.044,0.026,,0.109,0.013,,,0.033,,0.02,0.029,0.01,0.186,,0.258,,0.245,,,,,,,0.02,0.028,,,,,0.036,0.058,,0.053,0.245,,0.02,,0.02,,,,0.024,0.029,,,,0.016,0.078,0.026,,,0.018,,,,,0.029,0.013,0.029,,,0.028,0.02,,,0.022,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,,,0.039,0.01,0.01,,0.042,0.013,,,0.052960783,,,,,,,,,0.197,0.016,0.015,,,,,0.029,,0.016,,,,,,,,0.02,,,,0.058,,0.186,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.349,,,0.006,,,0.016,,,
1790,0.02,,,,0.082,,0.116,0.044,,,0.047,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.013,0.036,,,,,,,,,0.048,,0.044,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.186,,0.265,,0.267,,,,,,,0.02,0.028,,,,,0.058,0.058,,0.053,0.267,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.0530566,,,,,,,,,0.197,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.058,,0.186,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.347,,0.046,0.006,,,0.016,,,
1791,0.02,,,,0.082,,0.116,0.044,,,0.047,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.044,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.186,,0.234,,0.28,,,,,,,0.02,0.028,,,,,0.067,0.058,,0.053,0.28,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.052849054,,,,,,,,,0.197,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.058,,0.186,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.346,,0.046,0.006,,,0.016,,,
1792,0.02,,,,0.082,,0.116,0.044,,,0.047,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.044,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.207,,0.245,,0.276,,,,,,,0.02,0.028,,,,,0.058,0.058,,0.053,0.276,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.053320754,,,,,,,,,0.197,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.058,,0.207,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.352,,0.046,0.006,,,0.016,,,
1793,0.02,,,,0.082,,0.116,0.042,,,0.047,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.042,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.274,,0.276,,,,,,,0.02,0.028,,,,,0.058,0.058,,0.053,0.276,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.05228302,,,,,,,,,0.134,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.058,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.352,,0.046,0.006,,,0.016,,,
1794,0.02,,,,0.082,,0.116,0.037,,,0.036,,,0.053,0.02,,0.02,,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.037,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.274,,0.276,,,,,,,0.02,0.028,,,,,0.067,0.058,,0.053,0.276,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.076,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.052660376,,,,,,,,,0.16,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.058,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.353,,0.046,0.006,,,0.016,,,
1795,0.02,,,,0.082,,0.116,0.037,,,0.037,,,0.053,0.02,,0.02,0.02,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.037,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.268,,0.272,,,,,,,0.02,0.028,,,,,0.072,0.055,,0.053,0.272,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,0.02,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.097,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.051169813,,,,,,,,,0.067,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.055,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.353,,0.046,0.006,,,0.016,,,
1796,0.02,,,,0.082,,0.116,0.037,,,0.269,,,0.053,0.02,,0.02,0.02,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.037,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.269,,0.277,,,,,,,0.02,0.028,,,,,0.072,0.056,,0.053,0.277,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,0.02,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.133,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.01,0.01,,0.042,0.013,,,0.051960785,,,,,,,,,,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.056,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.352,,0.046,0.006,,,0.016,,,
1797,0.02,,,,0.082,,0.116,0.037,,,0.269,,,0.053,0.02,,0.02,0.02,,0.013,,,,,,,0.012,0.036,,,,,,,,,0.048,,0.037,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.269,,0.273,,,,,,,0.02,0.028,,,,,0.062,0.056,,0.053,0.273,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,0.02,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.181,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,0.026,0.01,,0.042,0.013,,,0.052921567,,,,,,,,,,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.056,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.351,,0.046,0.006,,,0.016,,,
1798,0.02,,,,0.082,,0.116,0.037,,,0.27,,,0.053,0.02,,0.02,0.02,,0.013,,,,,,0.215,0.012,0.036,,,,,,,,,0.048,,0.037,0.026,,0.109,0.013,,,0.033,,0.02,0.02,0.01,0.188,,0.27,,0.273,,,,,,,0.02,0.028,,,,,0.043,0.056,,0.053,0.273,,0.02,,0.02,,,,0.026,0.02,,,,0.016,0.073,0.026,,,0.018,,,0.02,,0.02,0.013,0.02,,,0.028,0.02,,,0.019,,,,,,,,,,,,0.179,,0.007,,,,0.038,,,0.028,0.008,0.03,,0.039,,0.01,,0.042,0.013,,,0.05598039,,,,,,,,,,0.016,0.015,,,,,0.02,,0.016,,,,,,,,0.02,,,,0.056,,0.188,,,0.02,,,0.026,,,,,0.02,0.02,0.036,,,,,0.346,,0.038,0.006,,,0.016,,,
