Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,,,,,,7397.11,,,,19905.312,11894.744,,288.87897,11715.827,655.913,244.16725,429.3987,,,18789.512,,,1554.7365,39906.023,1276.9658,2603.519,7381.7974,,,393.86176,575.8944,15432.472,39907.266,3283.9568,238.21706,1495.1675,935.69995,1255.6967,1192.8562,1961.2291,,,3609.4092,,,,,,12600.327,,,17520.746,1386.3073,2388.4202,2391.68,754.6651,,6284.852,,,11153.778,2135.001,10733.304,,3311.2969,15136.024,1438.2157,1100.0774,,,,,4985.7603,,,1884.5605,,2733.6702,,1206.6678,,1735.0266,2075.7798,597.7345,,312.77786,8532.598,2345.1108,997.9256,13502.266,8756.373,9731.196,,,6388.878,,792.958,,,,,1027.6548,,,,2444.3147,2818.0105,,,,262.74042,,27861.168,,,,,,812.25037,,4145.793,,,,,129.77203,,,,,,1413.7283,260.3728,1266.3153,,,742.40894,1454.981,1672.2806,14369.979,19209.414,327.15524,,17776.55,0.0023548484,,,3663.7703,413.96185,2809.0964,2704.3694,1123.7821,,1312.56,,6307.407,4066.963,1508.1614,,,,,,335.44055,15761.628,851.7324,1151.0022,3611.9536,,789.43695,,,318.82486,,,,3940.0813,,,16812.152,,,3169.8718,517.1311,,556.41095,449.34256,592.46564,,,,,4291.3315,,2433.648,,834.49243,,,6634.1904,18991.545,,1886.3287,,,,,,3993.4368,1187.7046,1136.4713
1961,,,,,,,7670.595,,,,19997.545,12484.809,,242.94154,12258.3,665.4313,250.39409,442.7548,,,19793.229,,,1590.4954,40887.254,1277.2849,2743.389,7873.048,,,409.50217,593.1896,15605.523,42297.965,3385.0276,175.02368,1584.797,932.28,1091.0238,1259.5043,1998.4232,,,3542.674,,,,,,13041.159,,,18508.697,1312.126,2027.2736,2444.259,773.3599,,6963.898,,240.26772,11917.586,2143.8152,11133.147,,3756.6416,15427.132,1484.5793,1105.8053,,,,,5599.4976,,,1908.029,,2795.916,3956.035,1194.7692,,1653.8992,2163.5134,614.678,,316.73965,8973.932,2512.118,1045.3516,13231.868,9421.106,10459.715,,,7094.4707,,704.5324,,,,,1066.8038,,,,2443.4966,2971.8438,,,659.6933,259.76624,,28665.756,,,,,,807.5401,,4219.1816,,,,,127.56428,,,,,1258.2909,1726.3588,273.67163,1327.7765,,,753.981,1428.1171,1744.7252,14224.123,20252.965,327.10605,,18002.389,0.002340351,,,3757.6936,427.41443,3025.0554,2819.6445,1150.629,,1358.9414,,6634.175,4257.6494,1575.524,,,,,,312.29504,16998.834,828.76697,1152.523,3777.3945,,791.20636,,,300.51346,,,,3994.8958,,,17683.797,,,2931.523,556.255,,552.928,495.26047,606.20557,,,,,4790.5156,1422.0192,2395.0508,,820.25977,,,6714.426,19108.936,,1937.6987,,,,,,4032.2227,1166.746,1171.052
1962,,,,,,,7480.2715,,,,19767.957,12737.186,,258.3243,12845.967,631.4207,261.88092,453.53488,,,20790.8,,,1626.4495,41637.363,1321.0092,2838.4724,8510.625,,,426.90164,560.3268,16455.754,43214.516,3449.9458,163.90704,1544.7308,942.7593,1288.3278,1290.7633,2042.6353,,,3600.833,,,,,,13524.649,,,19405.896,1488.7158,1604.4878,2492.2263,782.4641,,7586.921,,244.42444,12189.789,2153.3862,11779.29,,3987.373,15464.826,1536.9562,1123.8326,,,,,5586.5425,,,1917.8533,,2765.6023,4333.854,1228.4233,,1752.003,2288.093,608.67285,,318.38196,9224.524,2629.7283,1061.1249,14068.89,9889.126,11033.688,,,7655.055,,742.2148,,,,,1077.1161,,,,2415.6926,3777.531,,,668.3805,290.7833,,28701.496,,,,,,804.71313,,4276.143,,,,,129.88794,,,,,1233.8706,1691.5979,268.9306,1376.658,,,807.6728,1455.8174,1877.6183,14982.602,20656.252,326.93176,,18091.227,0.0027612236,,,3888.2886,435.12347,3177.4019,3013.5679,1168.6088,,1412.5679,,7037.957,4506.631,1589.7954,,,,,,339.04184,18339.102,861.4763,1118.941,3951.7605,,813.7102,,,313.4926,,,,3988.1113,,,18335.553,,,3094.8232,672.5615,,570.88873,504.9809,632.98303,,,,,4826.553,1340.3333,2461.135,,869.29,,,6529.0566,19965.145,,1977.8197,,,,,,4155.857,1102.4458,1151.0789
1963,,,,,,,6967.75,,,,20597.926,13179.353,,263.40036,13305.127,649.26013,254.73119,438.4975,,,21857.17,,,1661.0247,41060.977,1381.644,2772.5798,7999.0835,,,441.72806,545.5814,17007.691,44364.465,3578.5327,176.40045,1701.851,956.8917,1320.0382,1206.1534,2046.3076,,,3713.7412,,,,,,13766.535,,,19376.281,1537.6494,2122.4312,2472.249,842.3261,,8242.393,,248.96909,12501.54,2219.4832,12384.536,,4176.15,16095.442,1578.1191,1145.6587,,,,,6225.1294,,,2040.1713,,2373.894,4847.3525,1236.8031,,1688.6711,2412.23,578.48096,,329.6415,9605.968,2729.8066,1051.0804,15241.617,10551.115,11567.946,,,8219.987,,776.6141,,,,,1142.0276,,,,2409.4954,4893.7676,,,668.6381,312.24115,,29381.701,,,,,,776.88403,,4474.7275,,,,,144.0008,,,,,1176.582,1877.023,258.7851,1439.5549,,,858.54694,1547.484,2019.8922,15317.707,21276.611,326.64795,,18817.607,0.0028303156,,,3997.7834,460.57697,3345.646,3054.0935,1211.8215,,1437.5149,,7481.306,4752.12,1624.5187,,,,,,298.91028,19212.35,813.2931,1108.0817,4239.9927,,813.6404,,,313.98038,,,,4025.3977,,,19203.914,,,3322.9426,596.19836,,550.43774,520.58167,663.5544,,,,,5002.6577,1180.7885,2613.4475,,897.0411,,,6464.2393,20545.785,,1826.9495,,,,,,4329.0737,1103.1082,1184.999
1964,,,,,,,7551.025,,,,21607.492,13893.586,,272.06274,14096.668,679.35645,256.5689,472.52637,,,23053.324,,,1694.3109,44571.0,1406.2904,2785.0745,8315.384,,,460.82443,545.8749,17800.863,45930.293,3598.4978,203.68784,1925.7819,969.22906,1253.8196,1218.5587,2108.0088,,,3718.236,,,,,,14562.836,,,21003.91,1592.7231,2209.907,2578.9595,915.12866,,8594.115,,252.41974,13083.468,2256.3867,13040.566,,4307.9473,16885.793,1640.5045,1143.4255,,,,,6786.2417,,,2073.5881,,2587.3374,5139.83,1267.1201,,1631.5408,2517.6465,582.0396,,346.01187,9921.304,2870.3801,1167.0964,16452.674,10946.838,11794.161,,,9084.795,,783.7773,,,,,1217.947,,,,2470.5679,6843.4814,,,677.90936,328.19818,,31339.867,,,,,,787.05896,,4845.8745,,,,,132.52245,,,,,1460.6461,1706.124,259.23813,1477.8315,,,835.2215,1589.6815,2188.8267,16364.836,22174.355,344.303,,19552.168,0.0027743059,,,4172.3774,482.2536,3389.5542,3161.2786,1214.7092,,1527.2299,,7854.211,5049.2134,1651.1321,,,,,,255.69257,20138.555,780.66174,1118.9108,4004.4587,,852.9491,,,287.18292,,,,4120.4863,,,20361.152,,,3432.5605,631.8622,,525.81537,582.29443,688.01733,,,,,5289.0845,1109.8474,2684.7979,,918.55493,,,6548.587,21437.584,,1868.121,,,,,,4532.2344,1199.3922,1135.5056
1965,,,,,,,8219.552,,,,22455.252,14283.997,,275.1379,14466.627,701.33215,262.0013,466.29742,,,24351.451,,,1725.6733,45658.594,1444.2272,2772.6719,9172.241,,,480.49066,539.817,18585.88,46358.45,3564.0078,232.60721,1795.1544,966.9506,1231.9939,1228.776,2119.9949,,,3890.2732,,,,,,15196.326,,,21790.23,1353.5188,2311.7397,2586.0676,935.9542,,9032.899,,259.91586,13731.412,2129.2517,13537.049,,4601.5825,17135.074,1789.9934,1131.6017,,,,,7481.9033,,,2102.4666,,2799.8892,5739.6035,1342.515,,1636.1981,3575.4626,573.64246,,329.39258,10075.343,3255.5015,1249.7616,17349.887,11522.152,12077.462,,,9510.55,,768.312,,,,,1274.2725,,,,2524.0117,8525.205,,,678.3256,325.59055,,30757.623,,,,,,763.4037,,5021.348,,,,,143.41722,,,,,1648.155,1721.8099,287.42923,1551.3362,,,867.9044,1631.5598,2325.021,17536.883,23165.63,333.24908,,20407.725,2726.4587,,,4316.5337,518.13025,3590.437,3244.4275,1241.1093,,1648.2798,,8445.135,5448.511,1710.0328,,22582.084,,,,266.55157,21759.203,808.85443,1101.6403,4214.5093,,897.79596,2636.9966,,263.1028,,,,4456.897,,,20941.092,,,3311.9312,626.62805,,518.5395,654.0617,722.3923,,,,,5237.0874,1064.7346,2692.142,,929.98987,,,6547.983,22526.205,,1860.2361,,,,,,4664.097,1355.4568,1154.2711
1966,,,,,,,8041.225,,,,22470.518,14984.553,,280.97916,14822.718,711.85815,259.13028,464.5606,,,25373.486,,,1753.866,51062.406,1514.707,2878.6997,9439.0205,,,508.14172,531.9031,19476.027,47005.688,3891.591,250.3049,1927.013,988.5944,1278.4852,1210.7389,2167.3567,,,4029.534,,,,,,15493.828,,,22208.43,1491.5437,2161.4915,2501.9155,958.85065,,9588.733,,271.6035,14004.646,2068.3618,14119.5205,,4738.2915,17307.975,1902.9961,1057.6642,,541.0802,,,7909.245,,,2156.0383,,2885.0107,5791.0986,1374.4219,,1596.9766,3828.458,575.8633,,322.24133,10124.857,3518.6162,1268.0398,18551.283,11223.946,12701.162,3921.0093,,10426.64,,847.0285,,,,,1391.6725,,,,2650.226,9863.914,,,695.398,314.0553,,30874.71,,,844.2449,,,758.9282,,5153.8145,,,,,133.39825,,,,,1603.9387,1626.2216,317.6196,1631.476,,,840.53955,1528.5945,2328.5916,17783.955,23851.613,349.35495,,21298.0,2803.3638,,,4457.012,533.1226,3749.3374,3413.0056,1257.9844,,1705.9906,,8971.253,5713.622,1702.114,,23921.764,,,,277.26273,22678.928,757.51886,1100.5948,4529.526,,896.3662,2747.272,,279.60077,,,,5133.975,,,21176.467,,,3679.3005,560.7069,,499.30157,691.45197,779.305,,,,,5365.677,1079.997,2918.8853,,1006.95917,,,6682.547,23714.94,,1837.5015,,,,,,4722.4995,1239.6892,1135.4949
1967,,,,,,,8172.2744,,,,23587.629,15320.358,,311.79877,15310.618,704.83856,277.3132,442.6315,,,26541.871,,,1784.3741,56696.152,1575.4963,2921.3723,10354.426,,,535.4053,544.7471,19715.094,47845.625,3960.1882,229.87627,1939.0957,860.0869,1229.4852,1201.4012,2194.4436,,,4127.674,,,,,,15372.215,,,23330.996,1496.4996,2313.2585,2540.6616,942.86066,,9882.544,,275.2703,14231.105,2286.3162,14690.808,,4857.5425,17692.857,2002.2556,1064.1761,,526.3934,,,8289.869,,,2182.525,,2947.3672,5737.1313,1414.9991,,1534.4979,4100.304,568.831,,340.08002,10660.28,3797.077,1117.058,18024.31,11071.592,13514.758,3944.8254,,11462.927,,841.44904,,,,,1482.9952,,,,2758.0898,10676.103,,,722.5125,336.08707,,30840.025,,,904.0505,,,779.71606,,5278.1084,,,334.45245,,122.6789,,,,,1612.0292,1664.8105,332.42566,1654.7651,,,818.3805,1260.7272,2414.3723,18511.99,25132.662,336.66437,,19960.994,4549.4546,,,4529.9653,546.2818,3952.0737,3445.5469,1285.2931,,1736.1204,,9455.069,6183.785,1814.1996,,22026.502,,,,287.62158,23781.398,746.4021,1055.3387,4984.784,,879.983,2816.0122,,288.5434,,,,5561.308,,,21721.84,,,3608.0752,588.0176,,493.43686,701.2036,822.0658,,,,,5398.096,1057.052,2978.667,,1030.12,,,6380.138,24044.564,,1643.3634,,,,,,4906.857,1295.6086,1192.3842
1968,,,,,,,8436.309,,,,24355.629,15922.639,,303.5408,15890.132,716.64014,280.96033,470.57666,,,27453.77,,,1858.3645,56867.58,1672.3322,3126.5354,11006.595,,,588.90717,540.0934,20371.145,48942.137,4030.9612,214.77007,2099.1995,892.4911,1245.6866,1255.9296,2262.1743,,,4348.2075,,,,,,16171.553,,,24546.654,1457.4011,2505.3142,2513.0022,905.1647,,10397.64,,278.86127,14493.67,2413.4658,15227.477,,4899.8,18570.518,2072.5828,1042.4167,,560.86835,,,8829.423,,,2309.2605,,2916.5864,5807.4165,1465.0802,,1554.1276,4284.7744,614.06683,,344.1283,11487.26,4215.9365,1290.0319,16801.904,12603.53,14308.56,4123.8784,,12794.624,,873.3963,,,,,1639.7501,,,,2816.8467,13891.989,,,746.26917,322.8016,,32048.535,,,966.9165,,,810.5067,,5589.0513,,,341.60526,,134.38814,,,,,1723.3578,1521.967,318.04718,1746.6965,,,799.1236,1218.4332,2371.2488,19496.21,25485.494,331.7206,,19777.004,8071.1875,,,4701.0957,569.34125,4107.096,3355.0684,1311.5215,,1771.4381,,9883.654,6761.4805,1852.7957,,24458.564,,,,298.3872,24624.504,739.0739,1088.7452,5562.3203,,880.8625,2827.3215,,286.75946,,,,5782.5366,,,22386.027,,,3787.787,590.71014,,481.6105,706.5738,863.6172,,,,,5605.8325,1138.6449,3101.209,,1059.9459,,,6447.959,24948.357,,1731.7638,,,,,,4953.801,1270.079,1178.1292
1969,,,,,,,9111.946,,,,25531.537,16863.586,,292.68576,16895.705,721.5325,281.73764,462.97324,,,28592.887,,,1898.2063,57787.656,1708.5035,3338.7625,11791.229,,,674.39,565.30835,21114.287,51120.434,4118.0415,244.36397,2209.8997,912.7541,1323.046,1311.23,2338.1072,,,4459.9883,,,,,,17233.969,,,26071.04,1570.8478,2655.4434,2553.0593,930.0309,,11212.719,,275.06143,15893.31,2424.8044,16176.744,,5195.7993,18852.076,2151.356,1077.7318,,558.5469,,,9814.498,,,2354.7114,,3057.0032,6363.7515,1432.0311,,1583.5782,4561.3403,638.0765,,358.9668,12089.947,4726.0923,1286.7936,17044.287,13945.133,15095.413,4303.637,,14221.053,,906.63617,,,,,1836.4788,,,,2945.8901,15230.404,,,785.2716,316.09583,,35072.383,,,1020.01105,,,817.5629,,5596.397,,,337.1443,,135.70276,,,,,1692.5079,1569.5394,328.55292,1791.1396,,,734.90924,1480.0471,2441.3218,20510.82,26417.408,339.09976,,21599.07,9884.064,,,4879.8745,583.74146,4328.3164,3377.2925,1334.7317,,1874.005,,10721.319,6967.117,1896.1978,,22989.291,,,,321.1728,25084.287,727.62805,987.49054,6237.251,,938.06,2847.565,,274.57544,,,,5840.341,,,23342.742,,,3698.7434,679.25793,,504.47638,752.50287,894.6361,,,,,5690.2056,1162.9641,3149.6594,,1058.028,,,6778.4546,25471.615,,1763.7858,,,,,,5029.647,1224.9039,1283.2433
