Date,ABW,AFG,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BLZ,BMU,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GTM,GUY,HKG,HND,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KHM,KIR,KNA,KOR,KWT,LAO,LBR,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,POL,PRI,PRT,PRY,QAT,ROU,RWA,SAU,SEN,SGP,SLE,SLV,SMR,SRB,SSD,STP,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1995,,,,,,,,,15.68629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39076,,15.42192,,,,,,,,,,,,,,,,,,,,,,,18.12812,18.80715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39998,5.75385,,,,,21.79617,,,,,,3.02762,,,,,,,,,,,10.05923,,,,,,,,37.94443,,17.44218,9.9098,,,,,12.48937,,,,,,,,,,,,,,,,,24.39578,,,,,8.94,,16.2653,,14.34082,,,,14.90708,,,,65.10102,,,,,,,,,,,,
1998,,,,,6.04318,10.95099,,,,24.51562,,,,,,12.26539,,,,,,,,,,,21.62705,11.69179,5.90241,14.10458,,,,13.17931,5.48902,,,22.22913,,,,9.65775,16.4901,41.80603,,26.33723,,,,,,16.97009,17.20986,,,,,,12.48974,,,,,,,,,,,,17.67519,,,11.20263,,,,22.20491,,14.41569,,,,5.0387,,13.40811,16.44121,,,,,,,,,,17.90055,,18.07312,3.28531,,5.90268,,7.81185,,14.22415,11.01968,,,,,,,,,,,14.13504,21.38928,,,11.54239,,,,7.88182,,,,,,,,,,9.18104,,,9.28548,,,,,,,22.35308,,8.61042,9.8574,,9.36695,9.27981,12.73274,,9.23848,,,,,,,,,13.71599,,,,11.7337,,,,,
1999,11.59103,,,,,12.42388,,,,24.35442,11.96135,,,,,,,16.87322,,10.62585,10.55182,,,,,,21.01051,,,14.31843,,,,15.15137,,,17.46328,25.03074,,,15.93164,10.37504,,,,24.05078,,12.18372,3.82341,,,17.73268,21.01852,,16.81586,,17.48975,,12.32138,,,,,,,,,,,,17.55097,,12.18634,10.76528,,21.40274,21.16459,23.11314,,14.6789,,,,,27.09761,,16.90531,,,,22.53785,,,33.54062,,,18.86803,,16.62044,3.24423,,,,9.4617,,11.07525,,,,,9.80776,,13.32263,,18.90874,,,,,8.98008,,10.71111,,,13.26482,8.53039,,,,18.67573,,,,,,,,,9.34236,,,,,10.01457,,21.30818,7.92192,,11.12299,,,7.95161,,,,,14.41189,,,,,7.14943,,,,,,11.26058,8.1093,,14.4361,,
2000,13.06282,,,,,12.2987,,,16.74596,22.47593,9.04612,,10.92778,,,,,16.24497,,10.5463,14.11934,,,,,,20.04724,13.85617,,13.0342,,,,11.87519,,,15.66871,28.28703,,,14.92825,10.55876,,,,23.61791,,9.89895,2.85831,,,17.22694,,,16.3202,,17.52698,,12.72822,,,,,,,,6.90485,,,,18.89933,,14.84075,10.79667,,21.45009,20.16,22.28217,,,,,21.81294,5.60921,25.27998,,,,,,,,,27.16386,,,19.39073,7.50107,17.25767,3.16599,,,,10.79037,,,,,,,,,11.16389,12.43549,18.9153,,,,,10.18187,,,,,13.55134,8.24191,12.0753,,,19.60965,10.81172,,,10.45708,,,,,9.41027,,,,,10.54801,,21.72499,9.08873,,12.56604,16.1969,,10.25412,17.47133,,,10.40992,14.18801,,,,,7.25549,,21.62945,,,,13.2647,7.20234,,13.97102,6.42147,
2001,12.19509,,,,,13.80064,,,,22.44577,10.11769,,12.00697,,,15.16592,,,,10.36094,19.46455,,,,,,21.01328,,,12.75154,,,,12.96792,,,15.14994,28.87794,,,17.57393,10.18336,,,,24.80682,,,,,8.53737,17.52693,18.23332,,16.73011,,,,13.26629,,17.96058,,5.00942,,,,8.68612,,12.18348,,19.53701,,13.73107,11.39069,8.64769,20.81703,21.85139,22.79092,,,,,21.36094,6.53504,22.51705,,,17.88519,,,,,,24.66973,,,19.51486,,16.11648,,,,,11.37896,,,,,,,,9.14667,7.98872,16.26364,19.09174,,,,,13.56601,,11.04585,,,10.38052,7.34666,11.36434,,,20.90474,10.17672,,,,,,,,,,,,,10.52031,25.65302,20.64739,7.30044,,,16.51217,,9.96597,16.29806,,,11.35551,14.65381,,,,,9.62552,,,,6.03613,,12.93053,8.63119,,13.79207,,
2002,13.78319,,,7.7816,,10.75649,,,,22.86316,10.56828,,10.08238,,,15.37402,,,,9.79901,17.83147,,,,,,22.38294,15.34352,,,,,7.15206,,5.57682,17.02072,16.49449,37.25261,,,18.42496,10.79016,,,,23.97886,7.48818,10.98786,,,6.88606,17.76286,19.45395,,17.20851,,,,14.41264,,,,6.27365,,,,7.6417,,12.62231,,19.90381,,,11.77405,10.29219,24.21531,22.45484,23.48252,,15.1644,,,,5.11723,,,,17.39744,8.1949,,,,,,,,21.3041,6.37981,16.33624,,,,,11.95263,23.57597,,11.96072,,,,,8.44093,,19.21435,19.00803,,,,20.02783,11.79508,,14.92784,,,10.08778,6.6149,10.81386,22.4031,,22.03138,9.17988,,,,,,,,11.46851,,,,,11.03804,27.4273,22.2216,7.99377,14.4642,13.17415,11.63794,,9.32211,,,10.78056,15.44614,14.16722,,,,,6.97918,,,,,,,10.56345,,13.74888,,
2003,,,,,,10.47639,,,,22.60623,,,10.00672,,,17.97436,,,,,19.45603,,,,,,22.68793,14.58796,,,,,,,,,,,,,21.29908,11.69317,,,,,,11.47531,,,,18.16935,19.05644,,17.70462,,17.74476,,16.29736,,,,5.48041,,,8.92051,,18.10317,13.86127,,21.37108,,11.35044,12.83365,10.10739,23.27294,21.74141,24.09947,12.83743,16.59573,,,23.74441,,,,,16.87567,,,12.18635,11.094,,,14.06213,,19.25544,7.6155,15.88767,,,,13.18261,13.82544,,,,,,,,12.88778,,17.75156,18.12045,25.73074,,,20.84973,11.06862,,,,,,6.88294,11.47354,22.79374,,21.84028,9.45778,,12.27658,,,,,,10.57389,,,,,12.5474,28.38557,21.81375,9.00321,15.40933,,14.12687,,8.92471,,,9.09437,11.18501,18.56868,,,,,5.84956,,19.70466,,,,,,,12.53918,,
2004,11.41266,,,7.97078,,10.00318,,,,22.01719,13.9698,,10.54721,,,11.19144,,12.42717,9.40736,12.68983,19.83642,,8.30296,,,,22.70432,12.19072,,,,,,15.77199,,,16.90553,40.48471,,,19.8443,11.63192,,,,24.20814,4.34337,,,,5.26822,18.5236,18.71725,,17.78093,17.37067,17.95336,,15.87519,,23.75687,,4.62527,,,,5.57088,,14.90731,,22.89192,,,13.58711,10.22692,23.44304,20.92211,23.63853,10.44276,15.34123,,,24.70719,,,,,14.22543,,,12.31904,10.72946,,,14.67982,,19.35567,,15.96441,3.5027,,,12.40768,13.36951,,,12.15758,,11.48349,,,12.41251,,13.96764,,,6.82292,,19.58362,,,,,,9.39577,7.35782,9.0319,22.56997,,21.78473,8.23651,,9.86897,,,,,,,,,,,11.59984,,23.52314,9.98046,,,,5.554,7.38837,13.3991,,9.667,,19.32801,,10.96372,10.31745,,7.3601,,,,8.54494,,,,,12.8215,8.07122,
2005,12.21276,,,7.43949,,10.53523,,,17.92028,22.61234,13.30148,,10.10737,33.32325,,22.20004,,13.71514,10.92196,15.19637,19.17852,,10.3683,17.22529,,,21.91685,11.47725,,,6.0289,,3.03459,15.40003,,19.06788,,40.26802,,17.08667,20.69913,11.47255,,,,24.61318,6.43366,,,,,18.70023,19.41023,,17.21847,,17.54639,,17.01127,,21.80533,,5.26231,,,,5.9466,,14.36459,,25.0777,,,13.93964,10.11221,24.83495,20.75145,21.84876,13.1913,16.44838,,,,,,,,10.19451,9.74683,,,,,24.42134,15.27649,,,,19.46297,,,11.23959,14.99707,13.65558,,,,,,,8.36929,10.94748,,,13.2024,,7.65521,,18.49543,,,14.30091,,,,6.90613,8.37287,23.53902,,21.67935,,,10.5907,8.09966,,13.02792,,,9.38201,,,,,14.30109,,23.57448,12.14853,,,9.67709,6.20604,7.43245,,,,,18.87208,,9.566,,,8.33481,,15.82358,,8.19744,,,,,13.81449,4.77933,
