Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VNM,VUT,WSM,ZAF,ZMB,ZWE
1990,,,,,,,16339.796,,,30574.895,,,,,2164.5754,1107.9911,,,,31496.307,,12376.5625,8086.611,,4862.9277,12305.236,,118157.83,3210.439,10326.953,,36257.637,,10642.37,,,4361.3906,,7599.889,9723.816,3006.0183,,,,,28189.969,,42722.19,,,41881.52,6940.973,11335.219,8180.923,7802.879,30217.459,,,,,40251.652,,24849.93,,,,,,,,,,7401.033,,,,,3931.8345,,,2180.9524,,9418.464,,,22934.865,,,,,,4035.6694,,,,,16012.908,,,6508.892,,,,4529.673,,,68166.27,,,4289.946,,1895.6307,,16816.992,,12940.174,1469.0106,,,,,,5348.859,,,,7418.541,,,,42800.79,44324.582,,,26495.744,,,,3117.5083,,5976.33,4189.344,,,,20902.99,,,,,16469.135,,1117.6313,,,2854.7598,,2269.6865,,5798.412,,,,,,,,41558.254,,,15030.803,,,1218.9513,2142.8665,,,,,,,6537.4453,,,1731.8287,1061.1558,,13693.002,43418.6,,,,,,9444.804,,
1991,,,,,,,17782.895,,,29785.486,,,,,2196.5564,1177.5708,,,,29633.22,,12222.404,8843.141,,5046.268,12270.6045,,118214.83,3067.315,11117.933,,35007.04,,11295.233,,,3997.8804,,7650.4355,9774.54,2776.6172,,12118.255,,,27691.23,,44027.867,,,42145.3,6899.6016,10722.503,8506.255,7929.941,31129.865,,,,,40377.074,,25732.438,,,,,,,,,,7580.364,,,,,3926.7927,,,2155.8723,,9865.495,,,23880.955,,,,,,3946.307,,,,,17586.295,,,7951.1675,,,,4697.962,,,72605.65,,,4508.6416,,1710.6624,,17248.555,,12251.743,1617.6566,,,,,547.5522,5338.811,,,,7883.563,,,,43695.93,45066.695,,,24021.941,,,,3165.5874,,6205.356,4181.2866,,,,21350.834,,,,,14513.537,,1066.2106,,,2847.226,,2309.6577,,5809.264,,,,,,,,40619.89,,,15342.884,,,1290.5729,2071.1082,,,,,,,6604.756,,,1730.9318,1085.0579,21322.984,14262.524,42897.023,,,,,,9158.374,,
1992,,,,,,,19142.188,,,29623.074,,,,,2148.619,1150.7871,,,,28699.857,,11024.807,9705.187,,5085.0215,12042.892,,111451.695,3241.9482,11204.289,,34679.742,,12459.785,,,3806.8267,,7825.4497,10011.902,2979.9758,,13021.75,,,29461.61,,45003.285,,,43391.543,7515.2583,10810.627,8658.821,8078.855,31367.342,,,,,40908.664,,23729.553,,,,,,,,,,7719.818,,,,,3644.3037,,,2227.2441,,9914.497,,,24824.498,,,,,,3803.3362,,,,,18471.307,,,9242.427,,,,4854.6714,,,71802.1,,,4356.242,,1696.5527,,17544.654,,11356.167,1531.9583,,,,,487.0623,5244.577,,,,8000.799,,,,43732.867,45873.605,,,24193.35,,,,3311.3396,,6022.604,4229.264,,,,21579.662,,,,,13317.426,,1106.6677,,,2831.0332,,2532.8433,,6158.2676,,,,,,,,39352.27,,,16485.271,,,1340.8916,1934.477,,,,,,,6949.1104,,,1695.3264,1071.1416,18774.193,15383.528,43645.316,,,,,,8794.338,,
1993,,,,,,,20563.746,,,30482.723,,,,,2216.0664,1158.6606,,,,27912.246,,10164.456,10056.124,,5196.6987,12365.182,,107893.79,3495.0977,11416.591,,35125.016,,13155.394,,,3418.446,,7154.4956,10435.014,3000.8403,,13780.0,,,28995.07,,44452.355,,,43430.34,7782.451,10449.076,8775.173,8119.246,30926.176,,,,,40612.914,,23763.268,,,,,,,,,,7836.0757,,40684.902,,,3378.4407,,,2287.9531,,12327.57,,,25213.875,,,,,13326.234,3629.1023,,,,,19603.822,,,9889.878,,,,5113.5615,,,74201.8,,,4229.972,,1683.8333,,17798.521,,10696.696,1553.1263,,,,,525.37195,5306.774,,,,7608.959,,,,44161.227,46909.402,,,25391.777,,,,3266.9365,,6188.5933,4284.0483,,,,22284.031,,,,,13516.055,,976.7849,,,2767.8865,,2627.7908,,6428.8794,,,,,,,,37601.004,,,17300.26,,,1063.2098,1677.735,,2422.4163,,,,,6876.7983,,,1667.3578,1137.1024,15803.281,15731.422,44077.418,,,,,,8746.946,,
1994,,,,,,,21438.49,3187.4087,,31244.383,,,,,2169.5852,1143.3129,,,,28279.291,,8953.54,9732.901,,5363.21,12701.867,,106233.97,3762.8972,10611.112,,36179.273,,13478.86,,,3362.8933,1155.9987,6747.662,10932.843,2785.3955,,14281.414,,,30041.664,,45264.06,,,45584.848,7885.227,10065.103,9019.517,8256.634,31017.8,,,,,41281.9,,24545.256,,,,,,,,,,7940.4385,,41456.184,,,2926.7722,,,2392.076,,12132.056,,,26315.45,,,,39452.03,11772.94,3652.0012,,,,,21228.809,,,10628.8125,,,,5290.9976,,,73981.53,,,4633.805,,1620.6738,,18220.12,,10655.551,1559.5957,,,,,522.11444,4961.1953,,,,7496.251,,,3411.5444,45535.766,48606.57,,,26628.732,,,,3286.0786,,6779.5537,4399.8696,,,,22728.812,,,4727.1567,,14079.231,,572.2219,,,2694.623,,2774.8938,,6697.3843,,,,,,,,39568.723,,,16670.848,,,1176.6793,1864.0226,,1507.7136,,,5392.7397,,7003.7417,,,1635.3235,1169.5266,12399.309,16748.96,45410.6,,,,,,8898.678,,
1995,,,,,,,20482.686,3574.924,,32090.742,49347.008,,,48376.875,2255.633,1181.7668,,13403.975,,33166.14,,8053.2,9625.111,,5506.418,13361.942,,105038.65,3876.356,11407.113,,37178.594,66015.31,14529.782,2724.4136,,3361.4192,1093.098,5479.755,11294.871,2839.4924,,14461.8125,,,30579.725,26315.662,46054.098,,,46905.664,8179.3047,10135.116,9090.5,8471.454,32243.918,,,39109.94,,41890.293,,24795.04,,,,,,,,,,8107.827,,40785.086,,17515.225,3164.1365,,,2521.986,32162.836,11692.048,,,27246.234,45338.12,,,40379.11,10992.191,3763.831,,1650.7983,,,22858.363,,,11195.631,,,,5457.4014,,11102.971,76441.12,10531.242,,4296.434,,1597.6395,,16623.76,,10547.742,1529.9282,,,,,507.77878,5305.3086,,,,7725.023,,,3688.9087,47193.64,50637.605,,,27385.623,,,11374.014,3354.4343,,7115.1016,4528.7344,,,14418.737,24169.367,28275.842,9805.033,4887.8506,,14958.757,,933.3568,,,2776.1748,,2933.1428,,6992.3506,,,,,,17645.076,25358.873,41566.812,,,16027.258,,,1144.0283,1947.7944,,1541.0964,,,5576.796,,7106.1616,,,1652.3046,1275.2521,10953.484,16463.117,46404.36,,,3334.4014,,,8977.236,,
1996,,,,,,,21297.268,3823.172,,33096.02,50378.137,,,48727.816,2293.371,1287.3506,,14071.548,,36229.203,,8320.466,9409.666,,5654.239,13459.246,,102517.05,4143.437,11382.933,,37647.816,66027.445,15383.773,2967.3914,,3407.6526,1148.9265,5526.579,11274.059,2750.5176,,14007.613,,,30541.178,27796.547,46322.97,,,48118.75,8574.194,10333.489,9039.026,8721.987,32906.918,,,40186.37,,42467.934,,24983.754,,,,,,,,,,8102.3833,,40477.94,,18841.887,3238.509,,,2661.4004,34180.074,12193.538,,,28234.688,46166.242,,,41538.652,11226.922,3874.5557,,1610.8059,,,24147.775,,,12091.358,,,,5550.586,,12204.5,77668.41,10875.278,,4792.94,6249.432,1596.0773,,17410.713,,10576.066,1602.1367,,,,,550.4539,5708.2266,,,,7607.969,,,3927.7136,48843.92,54162.312,,,27564.053,,,11661.225,3409.8538,11976.066,7268.2954,4842.9453,,,15318.093,23523.398,28911.55,10317.459,4684.7393,,15563.723,,879.7679,,,2797.9023,,2911.0112,,6981.957,,,,,,18338.762,26312.994,41917.426,,,17521.26,,,1114.9377,2048.3367,,1221.5491,,,5609.391,,7470.419,,,1715.3958,1358.0481,9936.046,17321.908,47891.34,,,3566.7012,,,9325.539,,
1997,,,,5033.693,,,22723.994,4118.3867,,34287.06,51144.87,,1011.21246,50415.824,2369.247,1329.2853,,12201.307,,29956.145,,9284.756,9565.684,,5846.594,13666.929,,106498.14,4396.6597,12264.699,,38819.547,67889.5,16322.336,3217.2942,,3460.1282,1061.4838,6065.131,11446.311,2811.7048,,14525.515,,,30703.617,27758.78,46806.62,,,49545.758,9170.747,10343.831,9303.638,9013.437,34072.652,,,43073.844,,43475.73,,25571.734,,,,,,2186.311,,,,8251.563,,42819.254,,20101.879,3260.9927,,,2720.1038,36948.855,11713.687,,,28777.283,47250.82,,,41735.46,11646.525,3807.0195,,1583.0721,,,24890.943,,,11904.971,,,,5808.784,,13567.351,80925.82,11590.1,,4642.55,6369.8633,1619.27,,18503.127,4453.197,10792.715,1638.5182,,,,,601.9857,5344.312,,,,7700.5376,,,4089.966,50786.914,57063.59,,,28246.822,,,11950.264,3333.4285,12469.556,7619.2817,4983.4565,,,16271.925,24459.908,29916.117,10167.234,5171.949,,14840.031,,866.93976,,,2812.4233,,2792.6707,,7099.8457,,,11099.446,,,19501.09,27651.938,43078.047,,,19580.74,,,1132.1979,2270.0571,,1279.9756,,,5558.167,,7832.183,,,1732.1637,1393.7601,9718.8545,18820.95,49788.016,,,3777.519,,,9428.542,,
1998,,,,5544.694,,,23243.559,4344.0283,,35568.484,52821.07,,1043.1101,51411.08,2406.5737,1387.3782,,12873.927,,30724.898,,10108.915,9504.548,,6067.148,13454.178,,97166.82,4278.8027,12509.2,,39279.29,70277.914,16903.912,3421.5728,,3568.1633,1022.04004,6675.2197,11362.545,2794.5955,,14085.776,,,35045.73,28351.877,47806.117,,,50595.785,9603.175,10753.451,9383.282,9337.287,35672.547,,,45606.78,,45045.242,,26794.076,,,,,,1657.4971,,,,8479.544,,41628.484,,20567.139,3267.4307,,,2832.9368,39948.168,10647.026,,,29524.045,48327.047,,,41210.67,11720.922,3839.2043,,1581.3492,,,22815.592,,,11992.984,,,,5941.3535,,14593.8125,80341.69,12689.954,,4935.712,5874.67,1635.1718,,19338.867,4570.005,11099.988,1720.9678,,,,,645.4467,5374.168,,,,7804.358,,,4275.8286,52345.445,56139.062,,,28657.994,39731.984,,12177.815,3310.9968,13142.314,7525.9497,4952.16,,,17010.176,24638.234,31529.215,9939.219,5910.61,,14526.178,,905.101,,,2919.0095,,2755.6008,,7250.901,,,11734.275,,,20073.7,28745.412,45017.992,,,19435.836,,,1184.268,2159.808,,1346.869,,,5752.391,,8129.9644,,,1759.6473,1421.4373,9546.339,19568.113,51983.46,,,3914.5444,,,9324.409,,
1999,,,,6264.584,,,22168.365,4540.442,,36617.71,53884.086,,1003.38434,52732.016,2463.008,1449.9194,,11907.674,,32932.254,,10547.354,9984.033,,5960.912,13190.902,,99078.414,4391.9443,12755.206,,41196.78,71756.266,16555.535,3661.588,,3643.5618,913.17456,5588.458,10711.857,2802.3035,,13865.157,,,33301.98,28600.174,48700.867,,,52000.27,9983.065,10888.452,8511.574,9642.314,37250.316,,,47578.367,,46658.805,,23292.54,,,,,,1898.1636,,,,8571.787,,41702.28,,20073.809,3290.902,20814.62,,3024.9604,42354.453,12196.873,,,29636.773,49258.535,,,40932.11,11982.45,3801.118,,1734.7614,,,25080.95,,,11764.733,,,,6069.3237,,14716.053,86093.32,13145.797,,4949.325,5743.402,1670.6908,,19618.34,4617.369,11479.766,1778.6818,,,,,708.146,5434.051,,,,7673.05,,,4514.147,55037.15,59366.652,,,29374.39,39118.18,,12456.276,3375.628,13391.501,7506.7144,4957.642,,,17785.348,26016.88,32775.125,9578.237,6228.9863,,14489.683,,939.6737,,,3012.346,,2613.3403,,7283.6973,,,10562.721,,,19810.375,30364.01,47300.914,,,19311.875,,,1134.6956,2138.2515,,1389.2894,,,5801.1865,,8524.506,,,1789.1362,1485.3765,9540.321,19301.596,53687.71,,,4063.786,,,9348.876,,
