Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,EST,ETH,FIN,FJI,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISL,ISR,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,SSD,STP,SUR,SVK,SVN,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,,0.32029143,3.6889958,0.0,0.32492143,14.0,2.8018675,0.0,0.0,2.0,0.23327523,,1.1854405,5.6523304,2.219117,,0.0,6.2873774,23.0,0.0,14.732499,9.2527485,2.3854117,0.0,0.0,9.4688225,89.58629,3.071115,0.0,0.0,0.0,0.033301752,12.573956,2.2838478,1.47774,6.5893383,0.06576584,7.776186,3.2884376,5.85425,0.40477708,6.0,,10.3900175,10.309548,0.0,5.911459,0.15495792,5.4358644,,0.446576,,3.3799624,0.0,16.60351,117.97318,8.243808,0.14968155,16.0,8.339893,14.793639,150.43675,8.31064,5.154484,,5.9411077,7.329062,0.22528286,4.4564753,,27.815485,,2.7571034,2.0,0.023187308,,0.0,41.0,0.8787841,15.025565,0.0,,10.421665,0.0,1.5124143,,0.0,0.0,0.0,7.8081317,0.8142821,0.0,0.0,0.0,2.0,2.6420808,0.0,,,0.58066607,6.0,0.8526511,0.0,,139.73885,21.0,3.498662,,0.0,2.316778,1.01363,4.489968,0.8046695,10.905897,0.0,25.460627,3.2564893,13.057334,5.167529,3.0,0.0,10.0,89.28546,,2.0983791,0.53724205,2.0528014,0.50725514,4.0,215.56673,2.625135,,1.0,12.185334,,0.0,1.0,10.430863,,,2.8489923,0.0,1.5804069,3.2570958,3.5581746,,,48.535286,69.943275,,,8.772625,0.0,0.20876706,1.6509466,1.425843,0.017845122,0.0,0.024175804,,1.199722,0.0,0.29950115,0.106442295,13.36076,15.122854,0.0,0.22442058,0.0,0.0,0.0,,4.1405077,10.558516,5.8089485,4.0964026,3.8584177,5.4115796,
2001,,2.1607108,10.903057,0.0,2.0967808,24.0,0.65032816,0.0,0.0,1.0,6.9163265,,6.0946975,5.3843274,2.8911886,,0.0,6.3167167,5.0,1.0,18.125948,10.613251,2.231203,0.0,0.0,25.870604,82.95918,1.8084375,0.0,0.0,0.0,0.30053085,12.042246,1.8897661,1.4619175,7.1716557,0.190893,9.618703,3.9944866,6.798669,0.4912121,6.0,,8.884279,7.387856,0.0,9.611494,0.15702718,4.5049114,,10.67295,,4.1327353,0.0,17.743896,135.69519,5.68862,0.16357233,17.0,10.552217,16.321375,131.04135,12.603759,26.208473,,5.9196906,5.9576635,1.01608,2.8707736,,27.42053,,4.5477715,2.0,0.4723856,,0.0,37.0,1.7768565,16.920378,0.0,,11.44713,0.0,5.879815,3.0,0.0,0.0,0.0,17.837439,2.0470123,2.1768916,0.0,0.0,1.0,6.2650027,0.0,,,0.7539509,4.0,4.524189,1.0,,131.18439,12.0,3.923725,,1.0,6.9628925,4.0177174,4.1858335,1.6091341,9.142874,0.0,28.949156,3.5305712,5.49924,16.618868,4.0,0.0,16.0,140.61014,,2.2817762,1.1939998,2.284545,1.2926755,4.0,219.29616,8.803516,,1.0,6.5190935,,0.0,1.0,9.137614,,,2.7788644,0.0,3.2715583,5.070333,7.3671474,,,49.951454,0.55147564,,,26.832235,1.6521038,0.31721884,1.7734429,1.6800947,0.046493214,2.0,0.1712556,,15.499609,0.008817038,0.28617987,21.545338,14.734048,14.337001,0.0,0.21833277,0.0,0.0,0.0,,4.85426,10.34673,4.2730274,3.9669886,3.8670094,9.772552,
2002,12.002143,1.6018612,8.885497,0.0,16.247423,20.0,1.2028705,0.0,0.0,1.0,5.666896,,7.695061,6.4470005,3.3201017,,0.0,6.0899076,6.0,1.0,18.41194,11.9931135,2.6115701,16.09747,0.0,12.203167,86.80249,4.5388007,0.0,0.0,0.0,0.22440535,12.458375,3.1037378,1.5487254,7.8125067,3.5958412,8.534841,4.239801,2.2888198,0.83625966,8.0,,21.548866,14.813965,0.0,18.80488,0.1552874,3.0086472,,19.693481,,3.0709894,0.0,17.389761,128.29088,7.256174,0.1829965,23.0,11.173563,18.86608,142.98402,13.283149,18.733624,,5.973307,6.870759,3.2034922,7.1642284,,26.735935,,1.5112886,2.0,0.49006724,,0.0,41.0,2.2397761,13.723691,0.0,,12.8529415,0.0,7.140087,3.0,0.0,0.0,0.0,13.021561,2.2453244,2.81404,0.0,1.1304339,0.0,6.5116124,1.0,,,1.4130523,9.0,11.131676,6.0,,130.16212,22.0,9.094004,,1.0,10.111397,6.6302867,6.0254164,0.9869001,11.282592,0.0,31.159323,3.752507,5.3129897,14.055425,4.0,0.0,14.0,161.87756,,2.5411937,3.523966,2.7328343,1.5254637,3.0,254.36021,15.341431,,1.0,5.584626,,0.0,1.0,8.397197,,,4.1239924,0.0,47.28015,13.732336,1.8339906,,,50.78353,27.76355,,,43.203533,5.055222,0.72825897,1.9067644,1.917556,0.5735146,2.0,0.40178594,,15.548745,1.0107286,0.2750799,20.04425,14.991663,12.471943,0.0,0.19656713,0.0,0.0,0.0,,4.9509544,18.072845,15.815198,3.6084137,3.7981412,33.92246,
2003,5.7366257,1.4095033,14.267566,0.0,2.9055696,15.0,0.0,0.0,0.0,3.0,6.190044,0.0,6.4053283,10.394814,3.4170744,,0.0,6.0578136,5.0,0.0,23.829676,16.781591,1.5630909,16.792667,0.0,15.506503,83.73628,3.7306294,0.0,0.0,0.0,0.22160895,11.005717,2.1623788,3.091003,8.445785,7.8736863,14.540225,2.391342,2.1061766,1.0851741,8.0,0.0,31.24137,10.650062,0.0,9.913597,0.18246566,2.019309,2.8665953,35.396812,1.9392927,3.458554,0.0,14.201495,161.50581,7.9104366,0.20674239,20.0,9.832647,17.173769,125.400795,10.4043,13.385225,0.0,6.0673604,8.631226,9.521742,18.292866,,28.17169,,1.6520642,2.0,0.2853625,0.30301526,0.0,35.0,2.176171,22.961489,0.0,0.0,14.584187,12.0,10.059782,2.0,0.0,0.0,0.0,14.912209,3.5252352,3.4101684,0.0,2.5552347,2.0,7.0265555,1.0,,,2.0872762,10.0,6.2523255,5.0,,135.5336,5.0,6.22683,,2.0,6.9009814,8.72061,12.16698,0.3812387,14.550585,0.0,34.76856,3.9813273,8.949994,24.921366,4.0,0.0,14.0,94.02579,,3.0096335,4.8471026,2.705274,6.0159287,4.0,291.96304,17.357767,0.0,1.0,5.371474,,0.0,1.0,22.829561,,1.8364426,2.7538488,0.0,19.927666,7.891063,1.8110914,7.0204053,,53.805077,29.181192,,,60.418262,6.715522,0.6219713,10.299701,2.3926594,0.5208463,6.0,0.8295222,2.8500597,17.005629,0.67294383,0.26348075,30.383354,17.892168,9.001201,0.0,0.68720096,0.0,7.0,0.0,,5.666108,11.134117,27.502853,3.2328494,35.982994,44.830063,
2004,9.336235,3.2186499,11.986225,0.0,55.30089,15.0,0.420129,0.0,0.0,2.0,10.487903,0.0,7.6816473,12.194758,3.8364875,,0.0,6.064598,2.0,0.0,23.156326,17.034008,4.4874873,12.676276,0.0,27.913708,72.77975,3.0355058,0.0,0.0,0.0,0.23380479,13.141886,3.1241856,3.5671396,15.671104,5.647039,15.583776,6.3487606,1.4596571,2.6862411,8.0,0.0,17.811354,14.348116,0.0,6.844421,0.17671496,4.6907063,3.461378,37.61808,5.07787,7.2097774,0.0,32.16227,211.86559,7.2058115,0.20925678,18.0,14.7226715,15.658811,76.35944,13.375812,13.2669115,0.0,3.9710891,10.7029505,17.443186,19.836737,,26.445595,,2.5536354,2.0,1.7008998,5.3568616,0.0,41.0,6.5312486,96.66174,0.0,0.0,19.181349,23.0,17.242868,1.0,7.6183324,0.0,0.0,20.58066,6.6115413,6.619328,0.0,2.6619253,1.0,9.549065,0.0,,3.0,2.8583245,7.0,14.744245,4.0,,192.23782,8.0,8.799023,,4.0,13.238585,12.612623,8.974069,0.11286112,27.094738,0.0,92.31029,4.217293,9.629752,35.894127,4.0,0.0,18.0,45.81826,,4.021332,2.7215989,1.5207996,5.2905407,5.0,401.7015,15.102755,0.0,1.0,4.8740163,,2.0,1.0,29.598202,,1.9561865,2.2524407,0.0,34.97491,12.328622,8.346608,7.5457635,,55.958935,39.84942,,,76.75501,16.590973,0.49591798,8.366402,2.994419,0.53778124,6.0,0.5474529,11.637324,58.163074,1.06686,0.25144163,9.32651,20.723482,15.889142,2.0,0.8802617,0.0,5.0,0.0,,7.8739104,15.872534,35.64382,4.2206564,37.05941,40.13623,
2005,16.635408,4.1714935,12.619053,0.0,12.167894,37.0,1.6007533,0.0,0.0,1.0,13.583498,0.0,10.934022,16.448837,4.036393,,0.0,5.873001,1.0,0.0,22.613283,15.548734,0.5936498,12.166228,0.0,29.332048,68.24173,7.2374597,0.0,0.0,0.0,0.4440509,9.872202,4.611038,3.9427805,15.765693,4.8001137,11.988194,9.437824,1.1859424,3.119004,8.0,0.0,27.705338,10.6668005,0.0,6.0264764,0.2947459,2.5747085,4.268651,46.69754,4.1187367,5.764439,0.0,21.188635,354.7369,16.107624,0.22026567,18.0,17.118776,14.058326,71.84519,16.858858,11.285486,0.0,3.6142023,8.263406,31.786993,20.156353,,26.341026,,2.7705681,2.0,2.7920523,11.198444,0.0,37.0,4.8032317,21.057657,0.0,0.0,18.680002,11.0,17.073883,2.0,0.69090354,0.0,0.0,18.989529,3.6160529,11.579827,0.0,11.257803,2.0,13.935373,1.0,,3.0,1.4591781,17.0,16.59701,5.0,,340.14697,9.0,10.937216,,5.0,7.7744412,16.483482,6.7096033,0.1653983,28.03245,0.0,142.78368,5.490233,8.750995,38.719147,4.0,0.0,17.0,11.039744,,4.331694,4.1988177,1.7305852,6.27011,7.0,418.9314,14.259518,0.0,1.0,2.5760813,,2.0,1.0,35.596363,,3.9022682,5.8395705,0.0,35.37331,17.21779,9.775337,5.890942,,63.199688,24.966743,,,82.93554,4.7297964,0.26405248,7.620987,3.509229,0.1844195,12.0,0.56774884,15.112648,44.48743,1.6667086,0.25951305,6.737671,25.996113,23.754782,1.0,,0.0,8.0,0.739997,,6.110208,15.98807,36.10163,3.588999,85.24467,64.93163,
2006,21.873074,8.400066,15.200782,0.0,3.712864,42.0,1.5343682,0.0,0.0,3.0,16.255634,0.0,12.410482,19.960747,3.863639,,0.0,8.882623,3.0,1.0,24.04605,11.448155,1.0168439,16.641447,0.0,52.185932,63.67341,6.4781413,0.0,0.0,0.19051927,0.3339794,11.076889,4.6510015,4.519524,13.622712,4.0736575,7.4069567,18.234533,0.67870057,1.801536,10.0,0.0,32.813137,10.501627,0.0,4.0462165,0.20821106,4.3513637,5.7944603,47.74119,6.0911264,10.120503,0.0,12.151082,191.53448,9.842745,0.24502459,26.0,17.873957,11.463823,69.350296,20.943426,21.582846,0.0,16.205948,12.784882,47.104713,13.82473,,39.1873,,2.573494,2.0,0.6875318,14.86223,0.0,26.0,5.5084167,34.280735,0.0,0.0,36.112152,21.0,23.424335,28.0,0.048925593,0.0,0.0,25.728456,7.993825,11.495286,0.09603494,18.66751,6.0,13.000511,1.0,,,0.771355,19.0,17.831936,8.0,,390.4825,17.0,16.096447,,6.0,9.476946,18.383905,3.0266135,0.36009464,33.685616,0.0,180.59048,5.840651,8.639121,24.957874,2.0,0.0,18.0,33.480568,,4.6092725,3.6778538,1.1748672,5.6297994,7.0,425.1839,13.800019,,1.0,2.2689514,,1.0,1.0,43.628815,,8.404163,5.056715,0.0,39.46714,20.296326,14.435085,6.0770864,,112.56153,56.025307,,,131.81004,4.980096,2.5639796,8.48271,4.389562,0.18975674,10.0,0.63396263,28.930279,80.83838,1.960781,1.379109,53.981586,53.223866,27.48282,2.0,,0.0,5.0,7.4322796,,7.059459,18.393896,36.152645,6.6411963,50.240868,54.101566,
2007,18.161144,4.83856,18.170116,0.0,2.9676075,50.0,1.6666751,0.0,0.0,4.0,16.938368,0.0,9.736922,29.196375,4.289758,,0.0,8.959714,3.0,1.0,36.72556,9.696447,0.8391999,20.590263,0.0,40.734436,107.683365,8.331897,0.0,0.0,0.010925349,0.4522819,12.07727,5.336634,5.6856594,14.930102,2.9701898,5.087601,10.915139,0.79625314,2.025859,11.0,0.0,32.049683,14.370493,0.0,7.1198254,0.31363693,1.5737975,7.653862,23.227392,6.2663174,13.017149,0.0,9.444708,207.55879,12.711182,0.24143346,34.0,15.300722,11.2028675,64.63168,23.536203,25.381332,0.0,11.776267,12.007067,70.17411,17.046543,,33.518486,,3.6427867,2.0,0.489893,24.165451,0.0,25.0,8.187241,24.13984,0.0,0.0,39.223843,24.0,32.036457,33.0,2.1012728,0.0,0.0,25.310345,10.890965,13.7503605,0.21686669,7.555385,3.0,17.024582,1.0,,1.0,3.7111728,18.0,11.368662,2.0,,220.72884,6.0,14.917611,,4.0,7.512306,18.515203,5.2924747,0.77485806,42.57198,0.019097129,164.57637,6.7339334,9.297871,29.083569,1.0,0.0,11.0,242.80215,,4.8122706,4.6411734,1.176456,3.5149171,4.0,490.89578,14.606646,,1.0,1.9030634,,1.0,1.0,47.021908,,6.052702,5.0525336,0.0,33.221214,16.839306,16.236223,6.10488,,95.008156,13.308958,,,128.61098,3.7958596,1.2108214,4.398205,5.2065268,0.20065847,11.0,0.6605265,54.177826,36.064404,2.2271922,2.676006,15.996791,51.176456,26.13847,3.0,,0.0,4.0,19.641098,,6.994637,12.056264,38.489025,5.923546,61.346672,40.37641,
2008,25.44157,5.4467616,9.067099,0.0,13.132282,32.0,2.0787554,0.0,0.0,3.0,16.963503,0.0,14.6051,23.119162,4.642541,,0.0,8.915454,3.0,2.0,23.726677,13.106002,0.5696442,35.49722,0.0,26.400005,99.0829,6.621646,0.0,0.0,0.13295141,0.45666334,17.25057,6.3451004,11.197533,11.512294,0.42119783,5.013234,11.907653,1.3246194,3.7989836,10.0,0.0,23.69733,13.415511,0.0,8.457374,0.19583265,1.796179,5.3471518,29.809309,5.5968256,17.142544,0.0,16.236248,220.33464,7.9802055,0.26053315,62.0,15.431442,10.656916,60.85868,28.105385,15.297348,0.0,24.532436,9.026088,62.100555,23.20621,,36.490665,,2.4940107,2.0,0.48825902,4.4832473,0.0,27.0,7.6952343,11.18289,0.0,0.0,39.260326,14.0,24.733877,54.0,42.793987,0.0,0.0,21.746708,10.728943,25.201788,0.52718014,13.146628,2.0,32.830276,1.0,,1.0,2.4551907,18.0,13.180227,12.0,,227.3458,20.0,17.11642,,5.0,19.528858,22.210575,6.810331,5.132196,44.596558,0.010187706,172.87325,6.4907603,9.852729,36.197403,1.0,3.0,13.0,444.98514,,4.9519835,8.25517,1.8169945,2.9460967,3.0,472.21033,10.856702,,1.0,2.8299782,,0.0,1.0,47.841183,,5.487742,5.951227,0.0,37.899952,19.197666,17.073868,2.3951366,,103.906784,19.928902,,,152.28535,3.1117632,1.2781658,3.8813949,5.7855697,0.5432983,10.0,1.2875684,45.79106,114.89808,3.8310924,4.029308,5.98438,26.18372,29.18746,3.0,0.787149,0.0,4.0,10.715375,,4.3066845,12.548052,18.85347,5.310596,72.9705,46.223663,
2009,33.47763,9.475845,15.251047,0.0,4.4233346,27.0,0.26576734,0.0,0.0,4.0,23.128021,0.0,16.251045,21.486757,5.6408277,,0.0,8.383159,7.0,2.0,23.795158,10.149047,1.6548812,41.494617,0.0,17.774837,55.30375,14.408706,0.0,0.0,0.15482697,0.37815487,15.479768,5.697485,10.9787,19.82346,0.36415675,4.9537926,6.4962792,2.778854,2.15043,12.0,0.0,23.541662,14.802582,0.0,4.6493697,0.35246074,1.0771538,6.417039,22.026764,4.943878,14.231374,0.0,18.960705,261.10077,7.872716,0.2595734,37.0,19.234194,11.051092,55.448143,20.047638,35.25072,0.2729448,7.6076174,15.334709,66.449715,27.125433,,34.975834,,3.5973442,1.0,0.06859365,4.0921745,0.0,26.0,10.254621,34.82485,0.0,0.0,38.37206,23.0,28.163824,75.0,28.742157,0.0,0.0,26.129875,17.175575,40.588566,1.1094509,12.194419,4.0,47.884144,1.0,,5.0,5.785867,70.0,16.371124,6.0,,219.32733,13.0,20.664246,,6.0,18.232014,31.658962,6.969279,10.7182045,49.359898,0.008869274,141.20264,6.3220387,10.7602215,28.70844,1.0,3.0,14.0,267.32513,,5.4544916,5.941536,1.1756048,8.320251,5.0,379.8332,13.78712,,1.0,4.688952,,0.0,,51.309834,,9.06864,6.874936,0.0,60.209652,25.290112,41.077362,3.573929,,97.026474,21.545582,,,143.97221,2.6311123,1.8891376,5.9651165,6.2604227,0.31104696,15.0,1.2633307,61.31124,7.347184,3.7184026,5.5686255,52.776505,33.56307,48.901886,4.0,0.54893005,0.0,4.0,9.288615,,5.1790504,22.54676,22.826038,6.279894,76.737465,73.55785,
