Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,,25.738337,115.451675,659.7251,692.76324,479.909,70.0,335.82574,605.8961,699.0,67.0,14.442676,566.8419,30.1569,12.240143,18.194056,151.0,379.56805,577.381,139.0,65.0,106.210335,56.80007,435.15762,334.2895,295.94077,14.242592,171.32516,12.697398,657.5381,2401.033,425.55383,101.972984,146.51965,69.94742,4.5962167,31.044874,96.00067,108.55573,33.399937,178.85504,89.088104,663.0,104.333786,586.7315,35.88971,119.87774,393.0,202.8291,83.09351,133.58871,187.24002,44.4557,407.36267,117.34221,8.839586,461.0,32.357254,686.2216,8.66733,237.16513,434.3936,179.0,41.860092,34.91826,33.131645,31.341684,54.207577,544.18976,249.6389,168.02374,69.201965,78.50737,121.0,41.24549,250.0,63.606155,66.0,403.66214,304.09213,,509.0,604.0,561.0,157.66019,303.51642,376.0,154.0,43.978508,42.0,55.002747,4.0,425.5115,354.65576,358.83652,48.735966,595.1521,21.527575,372.73807,289.98593,80.0,27.151272,171.0,550.0,214.0,108.14443,691.302,71.0,26.130016,541.0,273.12378,16.463814,233.0,42.561535,342.0,17.0,,51.056793,3.9820375,84.34963,122.8754,5.8965464,190.4851,202.39105,23.36173,49.80317,68.323875,764.0,523.0,30.0,50.39218,409.96442,193.77519,267.54132,46.484104,218.04283,100.49435,55.0,179.92493,3.960986,179.0,493.0,242.8782,721.36304,51.0,148.0,7.919683,449.67383,69.86914,43.47669,925.90967,3.3854005,73.501854,168.41666,,128.36174,,75.77384,180.65602,75.0,402.0,337.0,92.40872,119.136734,93.76825,26.777475,30.824759,101.17363,35.0,91.95701,,19.470577,375.08884,140.12222,167.0,2.9334884,14.3907795,20.94077,119.0,603.9221,2521.828,96.0,81.50696,,57.654713,7.356073,15.884366,59.301403,375.46002,41.299614,
2001,,79.940796,121.48225,702.79095,527.918,469.49133,72.0,363.7372,656.3382,728.0,71.0,14.704742,580.174,31.200449,12.8498335,20.146496,206.0,406.0191,613.21857,135.0,91.0,116.59179,65.37152,461.2855,334.62262,323.28497,14.4071455,183.24188,14.23105,709.5737,2514.5947,446.0549,104.35908,146.47447,65.314255,9.1150465,38.615387,101.37677,102.64998,34.029198,179.02061,119.83332,708.0,129.50014,615.07465,36.837982,133.6608,414.0,206.16258,80.50305,148.68373,216.22183,43.257717,437.31766,108.13494,9.74606,479.0,34.49466,731.4764,9.758843,250.5321,444.11334,186.0,43.826775,36.424984,29.282629,32.912178,99.56043,617.447,247.22096,204.56416,73.15669,87.0211,149.0,39.540913,298.0,67.08901,75.0,452.88358,335.9082,,540.0,658.0,551.0,181.56567,323.4778,385.0,131.0,46.511456,45.0,62.233555,4.0,400.19635,381.03046,397.31396,42.157696,579.28326,15.214895,384.07858,297.16898,88.0,35.56899,168.0,576.0,266.0,119.43147,744.3888,87.0,25.594381,401.0,304.65234,17.350555,217.0,39.85865,408.0,20.0,,52.12451,3.998364,87.32073,130.27708,5.4053254,188.34204,218.2977,25.098116,54.37151,69.825356,815.0,522.0,35.0,48.88575,456.72525,202.54301,282.56625,44.53183,224.44136,110.49165,56.0,181.6409,4.184328,187.0,503.0,245.47191,766.94574,57.0,172.0,8.529131,461.28342,64.87682,44.804893,987.1956,3.654614,40.76767,176.0526,735.39905,139.6708,,80.23083,165.51564,78.0,440.0,423.0,102.781746,177.24954,89.40041,30.23137,31.41995,103.84332,39.0,161.70097,,20.368017,340.96478,150.24484,147.0,16.559195,19.928797,21.481606,135.0,593.82227,2668.8647,104.0,89.62083,,83.675766,7.6004853,19.308167,66.45472,396.77606,42.757496,
2002,74.61533,74.509094,131.16818,728.77057,963.14545,359.05356,197.0,363.40564,681.6039,780.0,80.0,15.657008,663.37665,31.820213,12.257163,21.831488,223.0,435.28635,616.7162,133.0,104.0,123.84902,68.641846,473.93027,344.01102,325.02472,25.66624,197.94205,14.88075,756.744,2635.24,460.99707,114.864655,140.78572,66.996765,8.959922,42.321976,92.28229,100.432594,36.15362,193.58195,138.19693,732.0,134.41083,659.4041,37.420902,133.70798,432.0,216.02632,86.10198,191.93135,223.86707,40.664722,468.70123,130.57196,10.431311,506.0,34.369137,776.58685,10.392683,277.5796,442.18292,223.0,47.216953,39.884407,31.615536,29.18729,352.2982,737.2655,258.43195,209.10904,75.93241,92.22831,165.0,39.019047,318.0,71.25546,78.0,497.8386,328.5441,,570.0,629.0,567.0,133.82495,324.46725,406.0,163.0,45.522255,47.0,65.33118,4.0,417.04895,378.3748,435.5299,47.284958,526.0491,15.067562,330.769,319.99585,91.0,31.226265,174.0,639.0,292.0,130.22096,785.7052,105.0,25.234518,479.0,327.6472,18.327818,244.0,40.75344,449.0,26.0,,54.85705,5.143613,89.30871,149.35033,4.37293,193.31349,219.34377,26.034328,51.903778,80.38309,897.0,587.0,36.0,47.170498,461.5165,190.70305,299.3082,42.996,237.57845,126.318184,58.0,226.09123,4.849096,215.0,501.0,221.15172,846.4832,64.0,197.0,9.6748905,426.7841,65.80985,50.31614,1039.4857,3.0130396,49.37198,178.71803,694.206,152.56503,,77.57595,225.26285,88.0,448.0,443.0,110.064674,98.12474,92.75784,49.19688,32.09554,102.025955,43.0,161.3009,,23.171225,446.1953,162.6897,141.0,21.257662,24.16854,23.325487,146.0,518.6728,2906.8455,109.0,97.33477,,58.632538,6.6908817,22.945179,69.77252,383.46835,40.353714,
2003,74.243576,78.19445,144.99805,752.74414,990.2898,380.20895,222.0,396.95642,732.38666,827.0,85.0,15.187477,735.2139,32.755028,12.140259,23.246843,237.0,567.4081,636.45764,133.0,102.0,134.18156,71.563126,452.0421,384.434,357.14273,26.148552,205.84814,15.924413,783.58875,2702.7815,484.478,124.111595,130.38797,69.076614,12.5196705,47.53115,87.920425,97.86357,36.858616,209.0171,154.26674,764.0,159.59781,702.86554,36.879234,144.7108,442.0,217.53436,84.4816,245.27522,224.322,35.963535,552.11304,162.39368,9.5861435,523.0,36.506092,782.14307,11.758807,277.36545,516.7438,270.0,45.768723,38.251125,27.401228,27.524282,329.59946,811.3213,258.83908,214.0597,75.15395,100.95379,161.0,41.79816,377.0,82.35497,80.0,544.3942,387.9002,99.612785,595.0,619.0,566.0,154.62242,313.807,442.0,181.0,48.635998,64.0,63.66618,5.0,428.29053,422.13544,446.75687,66.09917,494.4641,12.096556,317.9764,339.98312,80.0,26.347305,190.0,683.0,303.0,143.25697,873.5996,113.0,28.953012,451.0,393.22137,19.037169,256.0,44.0389,500.0,28.0,,50.138874,4.534877,93.83831,162.11342,5.939128,219.66107,234.63281,26.440771,118.83392,80.21505,925.0,600.0,38.0,46.966946,454.64078,193.39627,319.24615,46.547386,239.89388,120.67618,71.0,246.98798,4.602985,230.0,559.0,231.84933,825.49603,69.0,213.0,13.079516,442.0487,82.2382,57.496525,1077.8168,2.5310752,52.49029,184.71884,603.0926,169.42665,,76.012856,231.48543,100.0,479.0,447.0,119.47992,121.68389,95.27575,31.598978,33.67553,105.29355,49.0,240.21162,17.759726,23.806787,428.47223,176.30249,138.0,23.933697,29.797186,22.747261,163.0,483.51773,3141.1685,110.0,110.28375,,68.77084,9.260868,24.648735,98.12617,355.60812,44.563915,
2004,79.41618,92.68203,152.8561,799.55054,1096.3966,368.47122,200.0,408.75128,778.7965,920.0,88.0,16.270973,749.5901,33.3126,15.075293,25.248116,256.0,502.79047,662.416,209.0,114.0,134.90921,71.48159,480.30875,410.1749,351.99304,26.637989,208.3704,17.493431,829.31354,2849.2393,490.8875,131.88423,128.45822,72.50909,16.099724,44.229942,114.362976,97.58971,39.93144,212.91252,146.98949,821.0,164.83368,766.24207,35.882454,151.78093,489.0,222.93999,107.98135,269.7436,215.86412,31.019098,578.6868,199.96425,9.640467,557.0,43.18689,813.3501,13.051093,262.39886,517.66077,300.0,44.79885,43.677315,15.939583,30.5764,315.16904,853.7781,234.09766,224.834,78.138794,110.80141,193.0,39.186726,383.0,83.16492,86.0,595.6531,427.01157,102.72577,632.0,658.0,575.0,167.57465,315.0801,459.0,200.0,51.106487,67.0,68.65148,4.0,392.6581,447.6718,432.8895,50.80722,479.2127,37.244595,286.90717,330.29105,102.0,26.222551,266.0,734.0,328.0,158.56508,923.75995,123.0,25.36485,543.0,409.2666,20.525846,255.0,41.811073,530.0,30.0,,60.069088,3.9237456,93.59064,172.89418,5.275372,234.87212,247.03766,27.031048,105.014626,84.67301,1026.0,639.0,42.0,34.16106,455.99387,196.21373,335.15506,49.138695,266.42383,121.60476,76.0,264.02167,4.9267683,255.0,602.0,250.03984,848.0916,126.0,214.0,16.963352,445.84,84.849594,65.223656,1128.7877,2.728877,53.785397,196.09734,608.96814,206.19302,,81.555885,273.59262,207.0,506.0,477.0,131.48541,129.72919,89.743645,43.870064,33.842594,107.197624,54.0,401.97537,23.447046,24.229599,506.81238,191.26695,151.0,19.16033,29.66085,20.793085,178.0,449.79922,3300.7627,112.0,124.46048,,82.49182,9.516858,25.430855,107.68427,375.1943,47.236637,
2005,83.618866,71.581276,164.57716,837.4427,1048.7583,487.4849,198.0,456.51932,800.6182,925.0,86.0,17.626896,773.5603,32.410633,15.645048,29.320606,286.0,439.59433,700.127,238.0,150.0,133.92532,77.84952,513.2048,428.293,302.90625,26.337322,202.45367,17.95615,885.8225,2888.4438,509.65695,141.67278,122.412346,75.50322,16.084875,39.590828,137.60342,100.74969,44.376064,240.31557,158.96529,882.0,207.23685,797.19196,36.825123,162.41438,505.0,235.25842,113.73855,296.25842,231.28102,31.443356,612.1665,226.76219,9.232148,589.0,41.513294,860.7746,14.878018,244.94041,503.33548,342.0,50.249607,43.22293,17.05303,33.392357,251.88493,859.34143,267.88565,237.24123,81.44833,124.929146,159.0,39.362312,407.0,118.374916,89.0,661.20135,462.0966,82.09201,634.0,694.0,567.0,174.04675,328.68256,464.0,185.0,54.409748,75.0,80.10689,5.0,484.8905,508.78305,407.26794,49.42488,464.96954,39.754215,247.87938,334.6535,105.0,27.614923,318.0,783.0,355.0,170.87254,978.3708,162.0,28.321547,541.0,428.98495,22.230602,245.0,45.365105,598.0,37.0,,71.65245,3.9981868,90.10468,217.20506,5.8623796,243.36018,238.41626,29.30157,110.85944,87.059,1082.0,677.0,42.0,32.951416,489.85458,172.79057,354.25983,64.70797,280.2378,127.90446,103.0,283.2776,4.5054426,254.0,638.0,255.73187,722.34033,105.0,234.0,20.41391,433.09988,84.85358,44.192688,1173.99,2.864419,55.570408,250.83522,597.81934,256.28278,,80.510155,289.68823,273.0,531.0,495.0,140.14767,151.36865,83.61882,45.80063,33.886364,116.75384,59.0,427.0866,29.164215,28.55163,513.46344,201.43692,187.0,17.898233,31.741474,37.298367,182.0,535.9134,3491.824,117.0,134.24947,,89.96043,9.807665,28.720982,114.56832,348.70624,49.13534,
2006,90.88891,57.90305,180.70786,922.954,1028.8542,535.74817,225.0,515.3944,856.81555,976.0,104.0,21.531797,820.87946,33.714844,18.548063,32.81063,329.0,434.20862,789.4794,275.0,175.0,131.53206,76.14133,545.8192,460.4805,246.1978,26.89434,190.86238,19.15459,1089.7781,3086.1086,558.13153,149.13162,116.59247,77.92265,17.301117,39.639008,155.8818,101.02541,49.33416,257.0543,184.2112,936.0,214.06422,860.38684,38.09779,167.86215,553.0,230.61378,125.29591,309.68073,230.67358,31.051859,676.8384,240.1411,13.298095,607.0,55.60437,974.61456,14.68388,249.59355,548.7933,358.0,54.464836,38.030483,18.747118,36.67114,243.39102,906.3273,284.5084,250.14668,92.107475,142.11679,187.0,40.256855,424.0,126.67388,92.0,748.6595,449.17654,82.33619,625.0,661.0,610.0,174.74422,299.7571,509.0,165.0,55.874634,81.0,76.604744,4.0,565.09406,551.24036,381.12665,46.42495,522.2928,34.18341,230.687,393.27075,115.0,28.756477,359.0,854.0,346.0,165.43452,1048.9207,210.0,28.078176,594.0,449.4225,22.80809,253.0,49.387722,648.0,37.0,,65.32116,4.268703,87.529175,243.71205,9.780791,260.83945,265.27188,30.602236,117.24627,100.31654,1265.0,717.0,35.0,40.05995,546.5948,180.10538,375.0619,84.5755,303.8034,150.11337,113.0,329.59122,4.520575,273.0,844.0,275.0452,675.7486,120.0,290.0,17.94671,458.7041,109.369774,44.495415,1218.5913,3.3046157,56.733532,221.90726,634.0674,318.48532,,74.4585,309.06995,393.0,570.0,538.0,151.5193,153.01889,83.881744,52.19574,35.224785,95.02773,64.0,439.16522,19.839334,29.771503,596.82385,208.50912,218.0,12.888264,33.748344,52.212616,195.0,547.0033,3639.9612,123.0,147.82213,,107.79443,10.029151,31.171183,127.445625,364.1424,48.262554,
2007,87.75962,70.6843,212.83064,1003.9686,971.3298,588.0459,237.0,566.79,866.00287,1024.0,119.0,24.03673,871.2652,33.80968,20.052145,36.996906,348.0,558.0905,824.70074,315.0,210.0,134.17955,76.94097,589.87335,456.74606,220.85918,28.271786,203.34535,20.138227,1137.6378,3341.4822,605.35876,152.15215,110.827354,82.13686,17.078693,41.211533,183.57932,100.56332,49.816418,283.2918,179.98291,1003.0,256.1158,905.40704,37.525684,197.58875,594.0,234.3682,142.76283,273.46674,229.17429,31.137426,719.24036,283.63074,15.612523,654.0,64.75514,1023.4103,14.189809,266.06848,556.08813,405.0,56.71913,39.63486,19.73897,34.707016,268.60248,903.9186,330.86493,261.35352,101.416374,155.03635,196.0,41.669743,443.0,136.96822,98.0,768.76245,485.59714,101.5541,622.0,742.0,628.0,216.81032,294.79865,511.0,154.0,59.13683,82.0,52.87053,4.0,572.1353,599.3926,415.57672,62.742077,566.21405,17.245043,250.48903,468.37936,134.0,34.974083,373.0,773.0,392.0,177.95453,1143.4746,226.0,29.80068,553.0,466.89523,24.87679,226.0,52.81462,681.0,42.0,,72.052734,4.336137,87.57988,271.34775,13.84934,280.85547,305.75903,30.441343,116.90407,115.99124,1359.0,738.0,51.0,37.652016,506.4437,194.6563,393.63416,86.53709,339.72028,177.35457,125.0,368.30722,4.5999217,299.0,888.0,297.88724,606.08466,125.0,320.0,19.092455,497.67264,137.9484,48.263824,1277.4741,3.463417,63.69302,242.47815,654.4069,403.73834,,67.8866,314.1155,477.0,619.0,574.0,160.36726,145.76791,84.21907,49.029354,38.76002,91.450775,77.0,280.28427,15.786123,31.164383,623.58435,221.81915,242.0,16.691135,35.47222,54.21608,210.0,568.80853,3827.277,136.0,168.98842,,122.228,9.992558,31.706121,144.63773,377.48428,39.637615,
2008,103.83311,72.56376,254.54819,1007.48785,855.6411,623.8527,385.0,543.3836,915.98413,1055.0,146.0,21.69117,885.0694,29.2102,21.460636,39.3477,401.0,535.9625,834.2827,358.0,252.0,135.14291,78.225845,597.99054,475.9811,166.09082,27.934387,199.92876,20.382956,1174.3156,3532.8862,629.801,162.2957,112.25988,81.873505,16.395857,39.481834,213.16359,99.813934,48.996754,302.74396,173.9256,1229.0,337.89102,956.9232,32.82713,234.61346,629.0,246.10257,149.4142,291.04382,253.02985,22.931477,749.5502,324.86438,15.113121,708.0,61.13222,1088.7172,13.713286,230.2537,613.4046,441.0,60.31123,38.264923,21.079273,38.90555,256.70352,945.6856,346.64096,260.95886,112.122154,175.69008,259.0,42.805756,473.0,135.44724,99.0,839.43445,534.6005,75.63026,648.0,737.0,679.0,219.2255,306.05804,537.0,137.0,57.47162,96.0,103.90538,6.0,795.71564,685.501,380.85306,58.853626,582.4463,20.341995,223.33257,427.79297,160.0,34.43369,379.0,707.0,430.0,187.87605,1250.2603,265.0,29.766035,679.0,464.77258,24.600477,219.0,54.04746,738.0,48.0,,78.47396,4.4773393,85.769714,356.8658,15.943027,286.55844,293.05396,30.527994,123.567055,121.443115,1400.0,782.0,56.0,46.4908,608.7066,196.42004,405.9335,82.644745,334.97647,205.05748,138.0,373.75256,4.62837,336.0,957.0,332.3897,504.2076,158.0,394.0,20.749903,531.67145,145.3347,49.55032,1356.6753,3.599022,68.19388,253.2039,718.15936,453.29544,,55.4388,325.26025,417.0,651.0,608.0,159.18759,217.87851,80.77614,49.387936,39.310074,102.65485,86.0,409.98346,13.290398,30.82596,555.20636,227.21538,228.0,19.781925,34.131973,55.72959,207.0,569.7692,3858.0393,147.0,161.85695,,122.150085,10.082355,34.620876,145.50288,403.40024,32.818317,
2009,111.74761,70.554955,290.0454,988.48413,719.5361,610.8184,440.0,433.33853,962.41895,1137.0,219.0,21.1274,927.1184,30.124723,25.463108,42.45037,431.0,684.0023,800.2861,243.0,259.0,131.98166,88.694565,618.1462,504.5795,193.93733,33.235676,309.20398,21.165339,1236.2146,3665.1968,620.83826,180.90245,112.25348,81.232506,13.884946,53.778625,209.16626,99.73691,52.018414,281.6224,176.68317,1264.0,345.0694,1006.16345,31.603176,219.42064,670.0,249.8375,198.89993,294.11118,252.65012,29.241365,730.5911,326.32663,19.871288,729.0,86.50677,1154.0453,13.501624,303.0003,664.0416,497.0,61.915314,41.61593,21.750109,36.94226,346.34232,905.48566,322.7563,249.98544,112.57779,154.7677,280.0,42.371906,479.0,141.29524,101.0,1003.6879,664.20593,97.96718,674.0,752.0,673.0,169.5825,262.30975,562.0,149.0,56.216755,82.0,117.53414,6.0,739.4778,702.367,399.37848,63.078022,576.0711,57.650585,323.77795,411.77844,181.0,36.414074,371.0,809.0,410.0,204.49161,1269.022,301.0,30.093723,518.0,481.6357,25.415562,250.0,55.879333,744.0,51.0,,79.33682,4.651599,88.30951,370.50797,15.8118,286.3241,306.8794,31.311268,134.79474,118.56137,1426.0,784.0,58.0,43.917034,657.65955,256.18582,419.57202,73.11796,349.51678,212.21854,146.0,402.7902,6.290975,358.0,969.0,327.0444,783.73914,186.0,444.0,22.271442,701.1052,136.89603,57.31491,1458.5962,3.257953,69.62258,243.85406,723.3684,444.8374,,52.53377,337.82904,521.0,661.0,621.0,156.20595,203.21082,90.31183,52.132946,42.360275,116.57504,89.0,316.53024,11.787669,31.505512,806.3378,238.90718,165.0,15.401451,34.23785,52.114243,212.0,543.339,3915.276,162.0,164.89851,,135.142,10.558491,34.239773,165.85014,399.80603,27.975607,
