Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,,62.355495,222.81746,1913.5806,2222.5652,1060.8613,108.0,803.31305,2151.3389,2707.0,98.0,22.47549,2225.6077,51.03229,26.540121,28.417383,373.0,1312.9727,965.9968,329.0,308.0,225.3124,147.86568,749.67395,694.31696,1869.3376,116.610695,558.3614,26.385584,2422.0178,3361.196,662.80194,130.73587,175.94804,85.67039,6.3431435,57.193832,377.22583,132.00664,127.828545,526.5824,548.931,1136.0,923.6418,2691.5005,79.1232,352.98276,2327.0,321.24225,296.9282,195.31775,288.89352,69.71476,1471.3053,485.69186,20.790833,1900.0,211.40605,2516.313,163.43451,387.45035,1895.5308,219.0,69.526855,53.07951,201.81123,46.195187,83.39332,1417.7758,391.4912,271.6167,158.17,160.24065,811.0,88.336006,803.0,94.35727,86.0,1795.2091,488.223,,2648.0,1748.0,2049.0,364.18558,578.9851,1920.0,314.0,75.08202,82.0,70.44189,129.0,732.65533,718.1075,1306.985,79.46339,849.19,27.753574,726.7109,442.1317,176.0,68.34401,522.0,3287.0,434.0,145.6613,3461.787,149.0,50.235973,809.0,498.5594,349.0933,543.0,60.334084,1211.0,19.0,,207.51756,10.41867,103.18607,266.1369,29.563044,357.09543,475.67004,35.141674,76.954575,144.10892,2466.0,2857.0,47.0,1152.6816,1607.1157,1061.883,591.752,72.76455,620.695,215.00276,105.0,843.76685,41.946945,564.0,1630.0,415.60315,1781.8208,246.0,366.0,22.398724,1608.9884,105.58389,71.58641,1454.2985,62.720795,85.768265,345.83984,,371.67215,,186.15437,485.52222,602.0,1406.0,2173.0,212.12337,666.003,145.77104,45.875122,35.999355,225.81508,45.0,172.39568,,99.93177,595.3957,296.68167,437.0,564.5397,35.50557,48.059208,227.0,1033.5471,4533.826,158.0,270.67032,,104.85212,70.74314,132.73363,128.94725,598.24255,72.21375,
2001,,151.03528,247.2743,2017.8778,2296.3337,1044.5392,135.0,890.4572,2271.7332,2761.0,102.0,30.793564,2351.9417,59.55193,27.477324,29.410397,469.0,1433.9916,1030.9902,325.0,359.0,274.6557,165.81172,786.81244,716.3635,1923.5431,137.45813,592.379,26.013763,2608.879,3590.5176,700.94836,135.77634,173.18823,84.09457,11.024192,82.00285,407.104,122.07794,140.89073,539.4921,640.6062,1228.0,1031.7196,2817.8904,75.12327,315.89645,2492.0,331.41385,339.29312,230.04744,328.70624,77.34539,1560.7266,491.5311,24.209036,2016.0,185.33667,2685.1414,185.48984,427.80243,2052.589,241.0,81.80769,57.076275,179.78973,50.925922,149.33968,1678.1362,409.71274,312.54904,159.26042,155.01414,836.0,83.06817,901.0,112.72706,95.0,2100.439,544.8286,,2788.0,1865.0,2170.0,343.03058,626.05396,2024.0,303.0,80.636024,84.0,81.98044,182.0,710.2411,853.0451,1881.8887,86.9368,863.62866,22.686007,843.6107,456.50604,188.0,92.38425,565.0,3603.0,518.0,163.02304,3739.867,168.0,54.46549,596.0,541.67755,320.3479,503.0,57.099358,1301.0,24.0,,192.17502,15.324251,107.986435,285.36597,24.493324,380.58792,503.71503,37.789165,81.89291,156.7081,2684.0,3037.0,60.0,942.37775,1702.8713,1127.0228,631.52155,70.86317,619.99207,235.02287,101.0,815.0386,47.198463,630.0,1690.0,386.0698,2075.3782,282.0,413.0,22.377354,1679.8677,97.31524,77.31709,1368.9194,78.85035,52.353073,356.91812,3014.0469,421.1133,,197.34683,323.15088,660.0,1494.0,2368.0,241.80345,713.4738,153.13725,49.137505,37.301968,230.94182,51.0,247.439,,125.5437,600.2263,314.82095,448.0,477.54242,46.66078,48.88111,265.0,1078.1901,4881.2075,170.0,283.76218,,131.71652,69.7776,128.91646,141.15157,604.5906,87.340515,
2002,87.39655,125.39796,257.9196,2163.1978,2484.1812,825.85614,257.0,877.2629,2428.8943,2936.0,111.0,29.90808,2524.5786,57.545414,29.047802,33.22848,549.0,1514.1261,1030.9905,345.0,380.0,292.57608,172.08922,827.1444,774.69116,1980.5841,137.25041,653.9884,29.391348,2745.605,3839.3877,738.0895,154.24559,168.77544,90.041046,10.9531145,67.19153,402.63797,127.18605,148.49173,591.0706,713.18756,1331.0,1127.0559,2973.1892,89.70249,311.76468,2670.0,354.0993,348.91843,284.8317,341.58047,88.35821,1673.4028,546.9086,24.181421,2182.0,197.54279,2876.46,176.65524,445.6128,2230.4004,287.0,76.97606,66.71154,191.10472,46.63799,393.7368,1864.4976,471.3798,319.22046,173.31622,167.54544,784.0,76.67656,1033.0,110.323326,98.0,2369.669,541.74347,,3063.0,1863.0,2264.0,325.4159,643.0529,2107.0,351.0,82.03442,91.0,89.89773,181.0,736.1739,864.82117,1877.5488,83.241615,786.813,23.757725,999.6271,486.21802,196.0,82.564186,642.0,3979.0,578.0,179.39555,3967.734,218.0,56.29946,683.0,571.705,292.8695,562.0,64.077,1516.0,32.0,,207.98318,18.871754,121.94086,319.18652,24.517467,396.24603,532.51013,39.72209,72.733,165.50679,2987.0,3429.0,62.0,724.07776,1841.2643,1153.6775,669.83966,74.727425,643.9364,261.31702,97.0,868.2829,55.422195,716.0,1793.0,327.84116,2282.4983,326.0,475.0,23.851751,1541.5248,100.01574,82.35678,1513.6978,116.366684,71.390884,366.72495,2755.4639,548.15265,,197.82211,469.70184,733.0,1624.0,2544.0,273.02856,627.2458,171.21312,71.81744,38.544147,271.89545,55.0,247.3528,,139.35591,766.10187,337.85388,470.0,357.7142,54.700134,51.678352,300.0,996.5744,5304.52,174.0,309.835,,113.49305,75.48622,161.85782,141.76291,591.5007,109.60965,
2003,86.26034,135.62999,290.48697,2094.246,2557.242,845.9592,284.0,990.12946,2555.5432,3077.0,123.0,28.772345,2840.521,59.296932,32.747627,35.368946,604.0,1667.3215,1080.0256,407.0,428.0,313.54086,187.99857,793.80493,917.9054,2094.514,135.0968,660.8068,30.27788,2917.2874,3940.2444,784.55035,173.58606,156.0762,91.30714,16.633371,75.769585,423.4871,128.93085,147.28452,627.8712,758.9953,1377.0,1274.912,3111.0923,105.115654,351.09427,2748.0,309.15137,363.2747,356.53915,333.71826,92.37275,1910.6833,672.6954,24.36388,2306.0,201.07964,2858.2322,222.18416,480.50467,2450.898,338.0,78.442604,60.793003,171.72449,43.181725,385.05576,2021.4253,448.20917,333.25558,179.763,192.10388,862.0,81.94774,1255.0,132.03511,100.0,2563.4446,640.6375,182.52293,3178.0,1746.0,2294.0,304.45007,630.4842,2204.0,401.0,87.44928,125.0,93.81044,166.0,766.46765,953.40546,1933.4757,107.263245,753.39624,18.388556,942.009,498.9355,183.0,81.15382,743.0,4222.0,603.0,192.39738,4597.343,226.0,62.16656,668.0,672.27893,291.9847,581.0,69.78038,1658.0,34.0,,177.86969,20.76219,131.10405,341.7039,31.714697,457.0653,570.3004,39.284004,156.59662,181.38109,3099.0,3566.0,64.0,561.9751,1855.5756,1129.1896,709.6008,68.30152,638.4438,258.13715,118.0,963.4393,52.408005,731.0,1905.0,355.2182,3304.8064,405.0,511.0,53.795834,1600.1409,124.48212,94.05695,1712.852,86.49465,68.72292,373.37512,2538.043,585.41797,,247.9707,463.2185,772.0,1711.0,2651.0,331.49567,693.81384,184.15895,61.196182,41.374546,286.55765,65.0,353.53363,38.067364,138.47531,787.07086,363.38687,481.0,401.50735,66.16189,48.29552,369.0,1016.51654,5708.552,184.0,328.25385,,124.71495,70.31921,160.564,174.02206,648.7168,118.00799,
2004,93.952965,166.82579,316.16632,2108.864,2556.1387,879.1765,274.0,974.98834,2750.6777,3291.0,133.0,40.163376,2997.9993,63.985367,45.6829,38.301105,632.0,1539.2897,1111.0066,490.0,490.0,316.23013,184.93639,845.628,1040.715,2081.6313,160.69263,644.5786,31.224102,3078.594,4122.48,810.93427,189.40025,157.73087,93.28844,20.549355,77.43899,453.41647,128.64394,161.575,630.82336,750.01917,1412.0,1329.5714,3178.5654,90.49977,362.89404,2971.0,313.76904,377.5612,398.3471,324.9762,88.2736,2019.8221,773.7924,24.328213,2515.0,236.03047,2973.3765,278.82208,455.58502,2673.0623,372.0,80.5947,62.49218,107.83372,50.843052,369.19464,2063.539,460.9988,348.0165,193.52277,203.35857,955.0,79.17012,1261.0,132.57259,108.0,2825.2036,674.42865,358.71542,3319.0,1829.0,2421.0,358.85156,678.4911,2325.0,479.0,94.32851,144.0,106.5582,191.0,771.5152,1022.0168,1823.7898,92.03378,772.65796,47.759987,838.5786,496.3496,217.0,83.244446,714.0,4742.0,757.0,212.07954,4892.5312,319.0,68.489494,790.0,723.8274,367.29773,594.0,72.76259,1740.0,38.0,,203.02585,24.242418,126.73851,379.0913,41.00799,478.71262,662.3319,40.967377,154.80186,193.02274,3267.0,3765.0,71.0,276.5857,1985.8248,1084.8932,748.34174,71.40947,729.59625,264.3853,126.0,1144.3203,58.132397,783.0,2050.0,377.06052,3390.7283,491.0,521.0,62.652,1563.227,139.67172,104.79935,1671.3816,102.73621,74.6117,404.05728,2650.5032,664.96814,,242.73137,564.8088,970.0,1808.0,2758.0,374.37347,658.18774,172.51514,80.20598,43.0306,300.23218,74.0,522.02637,57.727955,181.02768,892.87225,391.86835,533.0,273.3323,76.664894,51.726376,402.0,945.0262,6047.8184,188.0,344.2666,,154.00482,73.95032,183.67822,173.271,679.9352,114.93847,
2005,105.88676,137.3183,333.71115,2343.213,2429.9907,1028.4966,313.0,1032.3276,2842.8508,3382.0,146.0,42.919113,3069.8442,64.83653,46.479,42.698486,706.0,1459.1951,1164.5692,526.0,589.0,325.314,204.2378,880.2661,1030.0483,1854.4563,154.24533,594.08246,33.021397,3285.149,4189.0654,840.2208,211.35045,147.91684,96.85479,21.12432,73.96369,505.3404,127.13228,174.1669,670.0307,1070.9294,1520.0,1402.7372,3277.212,101.97557,394.59476,3109.0,354.81125,371.3335,427.28598,347.87012,89.22908,2152.1367,878.2358,25.919117,2656.0,243.16838,3135.556,434.8307,407.59738,2748.6128,423.0,112.93549,61.236786,104.78959,56.576996,313.0937,2194.1055,512.81396,353.73407,213.36996,237.55634,1057.0,79.785515,1365.0,170.4266,113.0,3128.8884,736.3288,282.38223,3336.0,1826.0,2517.0,351.62372,724.20026,2463.0,526.0,99.30499,177.0,118.26701,188.0,915.9067,1152.5778,1711.967,93.94208,760.85455,55.57739,701.2798,516.1549,226.0,80.30477,812.0,4942.0,808.0,230.41873,5166.712,377.0,71.381355,822.0,742.6581,502.67325,591.0,77.015076,1938.0,44.0,,201.1789,30.95742,127.52569,419.52133,44.88185,476.24207,689.0907,51.67361,160.67274,210.65807,3426.0,3995.0,73.0,434.3966,2124.9575,978.6447,791.25684,88.43264,693.5112,298.09863,164.0,1121.3868,54.97448,807.0,2195.0,384.59552,2879.2566,529.0,603.0,70.81686,1574.6228,145.67084,88.40905,1751.8633,131.828,81.665436,484.16962,2733.5261,759.0343,,253.28413,572.665,1096.0,1910.0,2797.0,440.49176,695.07367,168.93747,75.81628,44.124687,322.23352,87.0,542.3341,74.07296,180.56522,998.31195,410.12662,581.0,283.69336,91.001,74.26128,443.0,977.52155,6404.186,202.0,362.46542,,163.96443,73.196594,206.341,173.23044,723.2807,141.94423,
2006,118.306465,143.4325,368.42682,2304.4646,2409.7327,1138.1588,367.0,1098.788,3024.0176,3596.0,185.0,51.858173,3230.0278,68.72308,56.379913,47.463097,742.0,1418.9922,1297.2549,611.0,617.0,350.70438,199.16145,958.141,1091.0375,1676.1233,179.26071,595.2899,35.41871,3565.4575,4447.416,951.93805,230.44305,144.603,99.90112,23.017653,78.88045,573.0217,122.08596,200.22673,760.48224,1291.4716,1655.0,1476.6056,3474.4023,119.93958,408.81216,3429.0,361.5642,397.9544,460.80646,369.6231,89.469246,2425.9197,959.30646,31.27845,2854.0,260.00192,3392.7495,272.5393,423.42374,3009.656,454.0,120.657425,53.14526,105.215,63.90092,332.15494,2360.7878,500.98132,389.38275,240.10114,267.1964,1217.0,86.65472,1429.0,189.28482,118.0,3376.193,771.27185,252.3669,3393.0,1824.0,2741.0,343.61215,685.6147,2584.0,518.0,119.56659,207.0,118.64114,190.0,1023.33984,1314.0898,1623.5391,92.39019,898.93207,49.530136,666.20575,592.12024,247.0,95.780914,957.0,5274.0,901.0,263.28827,5473.6978,451.0,73.24645,951.0,786.0759,521.7058,629.0,84.425476,2056.0,50.0,,222.88393,31.884834,120.77471,442.8032,53.802677,565.4735,753.0991,55.50653,159.71608,227.86801,3726.0,4304.0,70.0,591.4787,2399.2976,932.65436,847.37537,106.32603,804.15424,313.09558,176.0,1217.6904,55.75905,879.0,2311.0,427.35272,2685.4277,584.0,760.0,76.47879,1697.7902,185.1229,93.05912,1844.1266,124.31412,85.63496,492.38095,3005.5593,865.4093,,199.9047,681.16016,1296.0,2015.0,3049.0,507.82513,728.12634,163.00374,76.28114,47.374214,339.48608,90.0,538.7357,81.188034,230.87204,1086.1442,439.66943,699.0,343.94128,126.639,93.95023,500.0,1045.6392,6779.2275,215.0,383.1852,,189.50722,80.29853,227.98267,189.93166,781.4603,134.373,
2007,112.26767,179.36278,430.7864,2491.6052,2350.3914,1293.5192,406.0,1168.0376,3196.3137,3765.0,226.0,55.99446,3374.849,64.93444,67.80128,53.264305,786.0,1561.2462,1390.392,712.0,706.0,412.89755,211.79225,1027.0756,1048.2759,1727.487,194.69418,718.0678,38.9669,3741.0686,4822.5063,1048.4199,250.27824,141.14392,103.32437,24.123878,81.17283,635.6551,117.976074,209.88919,840.76917,1839.7236,1783.0,1580.2231,3645.6287,121.61689,447.24805,3647.0,410.69016,473.5694,452.4457,365.97656,70.61752,2596.8218,1148.9303,39.03399,3059.0,267.59473,3540.8096,285.13275,457.0025,3077.9685,515.0,126.81253,54.630806,98.393845,66.0823,378.1646,2465.3958,555.7277,401.75732,282.8133,292.83954,1445.0,96.06015,1374.0,219.9616,126.0,3701.9158,807.76355,343.34323,3461.0,1948.0,2788.0,450.66827,736.63086,2724.0,455.0,130.05711,191.0,105.87066,194.0,1014.9723,1453.9663,1762.6912,107.494354,978.8347,37.330658,749.02826,662.05695,266.0,145.4086,1094.0,5284.0,1002.0,291.00406,5771.2295,500.0,70.17272,1050.0,831.04535,442.0479,603.0,83.59333,2053.0,51.0,,271.70523,33.0462,126.45395,467.6593,65.22463,596.55536,836.2296,51.382545,157.58202,265.3449,3984.0,4530.0,76.0,916.9088,2446.2017,1032.118,895.1963,110.29407,1003.3438,352.37662,188.0,1315.3673,59.113495,987.0,2383.0,458.21155,2401.3335,680.0,845.0,85.00315,1680.5985,225.6793,86.860504,1920.767,118.662384,87.806786,501.5436,3267.7095,1051.3937,,204.33261,648.2589,1524.0,2079.0,3284.0,548.76526,713.00415,162.20956,69.8853,52.40819,375.77444,109.0,380.83893,84.40762,204.8655,1162.8186,481.56036,775.0,320.66052,120.673035,96.65678,524.0,1105.1792,7132.447,232.0,427.42264,,209.19455,77.48915,227.20143,205.87721,840.55334,118.51855,
2008,137.7035,218.85056,452.6284,2888.4365,2370.879,1418.6287,538.0,1107.855,3310.3777,4025.0,259.0,48.403088,3649.6477,60.85493,63.041565,55.626793,898.0,1540.3362,1475.8892,815.0,740.0,448.294,220.87694,1063.9846,1144.9318,1643.1249,175.9882,790.9776,34.06174,3882.5107,5165.475,1115.425,293.3659,149.21721,103.85186,29.302607,100.16771,697.1015,114.62726,193.00072,944.8859,1968.0372,2123.0,1777.9052,3870.153,114.562904,514.41046,3939.0,475.7648,534.23413,485.25897,393.82568,68.60875,2805.6238,1357.0221,36.659737,3344.0,253.17116,3706.4756,310.28857,384.7704,3331.4956,615.0,138.07443,53.323997,97.131874,74.503815,371.05472,2728.0518,584.00433,407.7018,291.98672,323.79788,1604.0,101.863045,1468.0,212.98419,130.0,4059.4507,850.3748,354.30405,3645.0,1975.0,3040.0,478.6892,803.40234,2853.0,534.0,130.09525,197.0,152.267,234.0,1268.3345,1592.2677,1738.446,98.95666,977.87384,53.787746,692.1675,644.0333,287.0,156.41068,1298.0,5725.0,1086.0,312.11084,6425.6934,547.0,65.643974,1562.0,859.3148,396.89807,677.0,82.94003,2094.0,58.0,,333.59238,37.813885,131.24614,559.33276,78.008,611.29395,798.5545,52.548584,162.45792,284.1244,4317.0,4945.0,85.0,1086.8306,2721.0972,927.9798,944.3715,107.719315,1020.71954,400.71472,202.0,1250.3063,53.228836,1167.0,2557.0,494.1919,1991.6863,839.0,1057.0,90.23622,1460.4258,221.5902,91.82147,2163.9727,97.22455,95.08787,521.06,3645.6323,1195.347,,192.12166,618.53546,1651.0,2338.0,3474.0,626.4757,658.1624,152.37303,66.24791,53.65856,418.9735,125.0,489.7552,115.36408,279.18866,1070.6702,505.73257,834.0,331.31213,101.593216,102.565,502.0,1306.061,7347.4546,255.0,425.7782,,210.12253,82.191826,227.63406,208.93304,904.8372,122.524086,
2009,153.54324,247.57632,512.9494,3067.2515,2734.094,1536.5734,595.0,961.31213,3565.9067,4188.0,379.0,57.13179,3911.9658,66.28939,69.35843,60.06508,933.0,2020.9874,1485.9038,784.0,738.0,435.7881,253.68343,1110.0239,1202.108,2041.5754,195.07475,751.6714,41.945747,4148.245,5401.8213,1168.6256,358.25015,150.18652,99.69074,26.694544,103.42454,749.71655,113.41683,205.6047,978.76013,2181.3696,2221.0,2015.9904,4132.5034,115.63392,505.1282,4314.0,498.19455,684.3413,512.4413,398.85388,63.407642,2930.834,1400.4524,42.366833,3479.0,277.57233,3936.053,332.4871,519.5625,3538.694,680.0,160.15872,56.794006,96.84254,64.02223,571.76227,2859.1636,549.96735,412.2826,315.2794,325.39667,1633.0,99.58693,1495.0,223.37134,138.0,4377.509,1048.5806,437.47153,3670.0,2007.0,3103.0,420.93356,902.63763,3004.0,617.0,130.83437,213.0,173.5605,223.0,1225.6602,1694.6351,2168.5723,133.36731,959.9357,109.58463,1041.0654,648.6939,311.0,184.6448,1326.0,6091.0,1028.0,352.35605,6797.0664,647.0,66.20726,1239.0,903.09753,393.94745,705.0,87.750755,2120.0,62.0,,320.41315,48.56374,132.8037,613.7304,79.453835,644.23254,725.1466,52.859795,173.11745,292.2887,4465.0,5055.0,91.0,639.4168,2951.7378,1369.76,1001.25,99.45355,1048.5125,444.30005,218.0,1278.2212,60.540947,1268.0,2682.0,538.55676,2703.8645,875.0,1169.0,96.95753,2002.4368,247.88579,101.26829,2239.862,119.75493,105.59425,532.0913,3777.8862,1169.2628,,195.42226,664.9764,1836.0,2361.0,3549.0,621.2291,631.51544,167.23653,73.403465,58.823097,434.9855,127.0,419.53864,131.48315,172.41849,1545.87,543.6888,846.0,373.99576,95.93614,117.84724,517.0,1337.4033,7602.7456,285.0,447.64206,,226.91293,86.210266,255.80772,220.28925,948.14014,150.0594,
