Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VIR,VNM,VUT,WSM,ZAF,ZMB,ZWE
1990,34579.22,,7391.7524,5407.3247,50036.3,108057.04,17007.285,6137.6006,21078.785,35669.64,43728.62,10612.967,1396.0776,42487.688,2207.0679,1107.856,2069.7822,15073.091,41856.543,33062.547,2447.238,12351.636,8243.732,79109.89,5124.488,12633.288,16976.762,118163.68,3411.3838,10520.94,1481.2526,39863.066,64588.953,11064.255,1645.579,5255.51,4517.6187,2172.0017,8699.526,10181.133,3011.4346,1848.7587,11085.452,,,28318.752,29202.986,42657.652,,10409.118,46233.273,7283.265,11728.546,9093.611,8006.6216,31639.244,19715.28,874.34686,39167.863,8126.8906,39674.426,3136.9514,23884.81,35586.742,12917.095,2785.6711,2105.7473,2653.783,1913.5499,1122.8176,26953.523,8889.363,37619.555,7597.3696,5074.431,31598.895,4427.04,23387.988,3946.3657,21448.309,4873.0537,2203.147,29444.564,9046.585,10735.094,40307.062,25211.922,43204.402,8742.165,7589.8203,35466.086,16837.691,4177.486,6095.681,2646.098,2213.5396,14333.845,13883.375,38737.21,2005.5005,5345.512,1866.4055,18121.816,17222.0,4561.579,1422.1505,20845.207,82483.01,16888.031,55243.324,4418.66,15902.895,1975.1466,8907.111,17375.404,3905.586,13036.948,1473.7943,18648.004,775.32825,,6637.8193,547.6228,5519.6104,8951.338,1047.4644,12013.697,7281.779,1411.8489,3650.673,4183.017,43599.863,57251.28,1808.2649,30546.303,30851.943,35201.55,,11262.591,3199.7297,11335.936,6318.203,4504.4624,17842.086,3164.149,13044.731,26738.814,27334.326,9962.48,,71584.445,16462.46,29945.146,1122.0323,60101.574,2460.1887,2923.3442,45371.008,2352.4197,2438.674,5976.0176,,,,3883.2043,17137.65,17558.203,25550.309,40457.207,5528.906,,15478.848,5828.4053,,1237.9423,2171.196,8701.645,4173.046,7925.498,2143.8481,4487.8193,11963.664,6705.2,12124.939,2984.2825,1794.2046,1080.0383,22815.799,14106.527,44378.523,4214.584,7386.203,,2467.9646,3101.6807,3990.9268,10824.385,2425.1113,4013.299
1991,35552.086,,7218.4414,3916.6973,47624.97,103098.54,18295.61,5326.753,21428.566,35083.246,44784.227,10399.394,1435.8196,43106.043,2230.4604,1178.077,2101.3835,13937.474,47644.023,31139.852,2213.6475,12197.788,9019.605,75754.49,5283.118,12546.561,16264.93,118220.69,3338.0095,11001.824,1427.6902,38547.465,63202.56,11731.046,1773.6394,5052.8516,4220.653,1923.97,8658.161,10178.37,2780.407,1830.076,11051.724,,,27799.176,25873.115,44511.223,,10599.799,46785.863,7202.2793,11314.864,9281.183,7876.5527,32362.303,18229.398,777.5235,36663.76,7843.1626,39963.926,3308.7458,24665.68,35085.508,10120.163,2859.827,2075.992,2623.6416,1968.74,1070.8276,27457.51,8937.777,37644.58,7664.832,5396.4634,33124.832,4160.3857,18803.498,3939.535,18898.738,5118.468,2178.686,29840.682,9923.821,3819.1619,39753.484,25573.809,43838.72,9084.997,7134.2905,36571.74,14877.527,4102.4766,5520.4297,2731.3796,2047.1531,14092.355,15228.258,28490.014,2033.5826,7828.172,1819.4978,20501.479,17080.652,4735.8193,1494.2404,19628.684,88420.48,14830.947,54545.082,4656.126,13342.06,1796.0927,8761.195,17721.645,3828.4636,12278.251,1614.5194,19287.822,759.2828,,5874.2554,563.5121,5456.5557,9248.0,1104.3905,12795.05,7618.333,1362.7455,3568.2583,4079.948,44312.746,58736.613,1874.2751,24171.646,29072.213,35574.676,,11168.17,3252.351,12143.149,6323.7,4378.3955,18291.725,3358.1887,12086.623,27162.15,28594.176,10040.3125,,68122.93,14460.882,28352.436,1071.7811,62011.62,2591.8691,2917.0142,47047.64,2418.387,2466.9697,5960.059,,836.9667,,3844.8965,17493.496,14987.688,23261.541,39721.89,5404.696,,15695.671,6081.089,,1295.3542,2094.8115,9293.7,3777.1074,7373.584,2318.855,4766.388,12238.647,6821.7007,11999.29,3046.9685,1785.664,1103.229,20784.16,14521.76,43742.027,4094.2273,7442.787,,2560.8438,3120.6938,3891.63,10472.158,2364.8623,4126.4053
1992,35947.37,,6578.0684,3657.312,45246.53,101100.484,19476.283,3136.7244,21334.527,34841.23,45221.36,7928.372,1412.0605,43588.645,2226.5667,1152.0448,2174.3823,13063.418,49511.95,29404.33,2180.5823,11002.602,9957.971,75160.93,5261.6616,12271.979,15286.356,111457.22,3624.598,11008.704,1294.2025,38433.09,62482.227,12832.425,2001.2543,4843.2935,3974.2776,1664.7537,8636.637,10382.358,2955.5981,1984.6807,11766.9795,,,29613.86,25715.752,45063.812,,10810.389,47574.676,7851.6626,11241.415,9279.9375,8034.5625,32503.44,14635.029,680.8347,35251.05,8261.304,40368.258,3373.9824,23268.998,35131.094,5533.211,2897.8354,2076.5505,2604.269,1932.6539,1390.4791,27439.305,8791.143,35849.49,7824.98,5799.2183,34895.906,4289.476,17011.691,3656.5833,18326.816,5357.376,2249.698,30628.658,10050.382,4916.264,37932.562,26622.15,44174.438,9171.616,7737.969,36764.38,14045.104,3946.8408,4701.9917,2769.4883,2495.9963,14565.114,16005.019,43049.41,2088.02,8924.152,1115.0377,19532.996,18166.053,4866.2393,1571.827,15472.62,88841.42,10207.026,58591.625,4483.2495,9461.428,1763.4319,9081.54,18009.732,4029.3413,11604.637,1531.3708,19985.357,821.32776,,5324.488,510.8228,5350.118,9721.539,994.0365,13567.894,7911.0103,1347.3323,3636.7712,4004.1628,44729.29,60486.004,1896.9717,19895.865,29085.615,36841.402,,11127.493,3404.1213,12866.849,6162.7324,4293.7183,16719.498,3690.345,12352.658,28219.115,28928.186,9948.421,,73451.02,13312.798,24209.033,1111.6403,61933.605,2709.79,2874.003,48686.645,2644.5237,2036.2424,6275.1875,,803.4987,,3798.8835,17455.125,13975.755,22022.885,39032.066,5370.7407,,16744.508,6662.243,,1340.8818,1955.3339,9886.548,2630.3865,6128.9155,2493.9739,4772.331,13373.203,7201.142,12390.487,3093.8237,1751.9185,1102.73,18671.873,15586.964,44659.152,3547.3115,7897.287,,2726.4736,3122.8894,3861.889,10065.916,2268.498,3649.8918
1993,36124.305,,4843.156,4031.4531,42605.66,97429.164,20791.346,2958.8804,22055.916,35930.12,45086.26,6005.1978,1366.2921,43001.066,2254.2456,1162.6493,2234.81,12973.122,54433.137,28946.934,2313.3682,10143.984,10356.671,76883.81,5378.544,12669.429,15362.728,107899.13,3850.5513,10902.974,1257.8284,39023.324,61837.77,13466.777,2253.052,4645.4673,3556.3186,1389.9509,8302.697,10725.18,2989.3706,2111.6213,12290.831,,,29109.646,25704.938,44332.805,,11026.868,47379.023,8266.622,10743.706,9272.89,8079.0547,32001.795,14154.642,743.70844,34807.332,8383.651,40048.766,3571.6292,23551.682,35919.582,3882.0203,2964.266,2115.8665,2586.1304,1909.1471,1487.812,26841.91,8553.276,34108.68,7918.1597,6247.866,36428.67,4440.229,15562.586,3390.8813,18242.025,5609.152,2307.6072,31296.543,9867.293,6105.0415,38042.0,26991.053,43770.95,9932.031,7675.4717,36477.11,12795.875,3844.9204,3973.8833,2714.5916,2455.4492,15357.05,16932.875,56399.207,2152.2766,9695.315,718.6832,18429.79,18003.877,5114.4365,1602.5963,13023.498,91338.95,9891.557,59528.12,4379.764,9363.593,1746.373,9337.957,18186.0,4207.4097,10875.199,1547.3534,20673.34,859.3455,,5162.1,549.04877,5439.8223,10095.199,1074.5848,14533.79,7541.561,1309.6112,3469.5803,3901.8264,44977.203,61837.77,1916.9435,16555.354,30593.936,37455.34,,11117.146,3369.238,13289.874,6356.393,4283.1597,14319.973,4206.429,12781.874,29282.111,28302.463,10178.455,,70250.766,13534.737,22122.291,983.37714,59475.723,2777.275,2834.028,52910.36,2669.6992,2068.8176,6553.0723,,812.2658,,3771.2861,16217.166,14187.221,22703.125,38004.426,5378.4907,,17596.898,6861.795,,1103.8918,1670.4836,10538.441,2169.9675,6085.5254,2674.4692,4946.7173,13192.512,7213.12,13110.391,3189.9458,1718.3931,1153.9937,16012.372,15916.822,45286.934,3386.4622,8216.475,,2890.4243,3069.806,3986.4539,9989.177,2365.6296,3634.7505
1994,37118.273,,4751.4717,4393.065,42716.367,99402.02,21711.844,3200.8965,23086.246,37002.195,45991.938,4757.5845,1305.452,44252.105,2215.3662,1148.6072,2279.0942,13253.907,52886.58,29337.83,2694.467,8967.73,10136.446,76850.914,5521.66,13202.931,15636.116,106239.234,4042.4941,10989.692,1278.915,40332.875,62125.742,13932.774,2518.1548,4502.4595,3522.7488,1273.9946,7617.6074,11127.203,2781.9424,2465.994,12534.741,,,30196.076,26443.219,45326.895,,11023.685,49719.41,8320.4,10414.035,9482.492,8221.047,32608.84,14223.106,741.1766,36031.58,8762.415,40850.113,3487.1057,23794.314,37206.207,3532.32,2989.3474,2134.8977,2508.104,1910.1852,1672.3455,27242.004,8634.374,35934.11,8021.068,6755.3286,37767.316,4325.2285,16293.568,2928.675,18805.37,5931.235,2411.4626,32967.707,9681.262,6044.871,39074.695,28254.762,44703.363,9966.491,7680.141,36769.496,11334.983,3833.2236,3176.924,1650.391,2468.7202,15964.529,18317.098,61443.383,2267.7822,10294.8125,563.6404,18439.658,18020.357,5322.7295,1675.5978,11833.457,93546.27,10278.79,60057.81,4771.093,6490.353,1692.2314,9823.401,18643.654,4396.9146,10760.066,1571.6465,21638.287,911.46844,,5213.846,546.2097,5097.2085,10366.591,975.8497,15474.015,7437.3354,1291.6816,3317.8074,3947.3425,46030.645,64594.992,2023.1152,15860.351,31735.357,37782.723,,11237.744,3395.5044,13389.874,6998.951,4374.0674,15000.672,4297.891,13430.024,30225.781,28498.744,10459.09,3966.6887,69119.95,14087.381,19348.201,574.8762,57526.95,2736.472,2757.8608,56966.023,2802.257,2020.7645,6795.506,,634.50006,,3788.4836,16648.535,15008.355,23940.312,39250.605,5508.213,,16716.521,7142.9536,,1188.1364,1913.7184,11214.638,1678.3385,4929.734,2786.7493,5188.4395,13579.597,7309.9004,12282.972,3487.03,1679.6624,1187.3678,12410.525,16987.04,46537.355,3142.4329,8100.814,,3089.6094,3269.6284,3854.0393,10143.206,2110.5833,3965.731
1995,37009.65,,5284.703,5009.17,44375.023,101412.086,20819.5,3480.7559,21643.99,38014.33,47146.754,4147.9746,1132.2188,45212.62,2300.141,1183.5286,2351.7039,13694.094,53537.684,30119.436,3133.0095,8061.196,9958.204,79784.21,5671.822,13550.439,15925.521,105043.85,4379.8706,11457.724,1334.1033,40988.4,62008.727,14956.858,2763.7998,4638.7573,3526.5437,1230.7449,7701.3247,11484.666,2832.7646,2763.3972,12745.017,,,32133.318,28105.586,45874.223,,11359.1045,50963.703,8630.226,10588.443,9513.455,8423.578,33360.46,15134.759,760.2643,37414.22,8936.778,41639.71,3692.6062,24344.186,38047.36,3762.8115,3039.6887,2171.7256,2456.0007,1944.5212,1892.1166,27684.367,8756.181,37073.58,8198.196,7071.2124,37905.734,4464.5796,17515.225,3157.7832,19112.07,6312.9346,2542.422,35959.12,9804.55,5969.6694,38908.61,29327.332,45993.15,10098.98,7829.0815,37648.477,10600.33,3890.0986,2974.7117,1672.7393,2498.7869,16605.307,19877.193,63771.29,2368.0547,10762.442,534.8097,17718.604,18048.625,5523.312,1709.6943,12317.232,93562.46,10327.892,60142.586,4444.2285,6428.84,1667.0726,10847.052,17232.238,4703.433,10608.88,1552.1215,22850.836,962.2094,,5457.685,525.4187,5446.2695,10718.514,1140.7561,16568.516,7506.105,1280.3354,3229.124,4096.4106,47231.113,66930.94,2043.6052,14563.437,32750.96,38946.773,,11410.432,3462.4734,13349.334,7373.3545,4477.323,16224.568,4008.722,14475.32,31310.18,29616.572,10908.272,4062.963,68732.53,14995.828,18550.52,930.5725,55364.84,2824.632,2835.0327,59226.758,2996.2979,1856.4064,7057.9204,,636.43365,9550.561,3802.2913,16368.312,15838.95,24918.205,40643.805,5778.655,,16552.455,7431.354,,1150.9735,1975.9492,11953.495,1439.5028,4493.4277,2891.9404,5508.3394,14022.65,7365.1753,13035.547,3286.4656,1685.8511,1288.5089,10983.009,16653.97,47220.957,3052.4187,8720.014,,3328.2148,3226.915,4077.991,10331.469,2119.9565,3935.28
1996,35997.855,,5800.9624,5499.0757,46386.09,100563.695,21695.596,3717.3357,22601.88,39006.79,48126.39,4159.5977,1040.9224,45720.652,2337.6304,1280.696,2413.543,14481.418,54289.438,30898.836,4632.011,8314.856,9773.262,81466.2,5810.6743,13641.63,16543.328,102522.125,4616.92,11832.963,1247.9688,41247.254,62026.426,15750.299,3006.3628,4807.4243,3577.592,1194.9591,7812.048,11509.236,2748.4363,3022.8882,12617.898,,,32020.084,29311.285,46216.492,,11721.67,52143.555,8981.282,10808.879,9497.573,8662.331,34088.027,16118.94,826.99164,38657.555,9306.982,42070.8,3559.5935,24595.973,38930.49,4339.005,3106.1855,2205.3237,2439.0454,2125.3267,3033.8403,27943.684,9082.281,37573.332,8224.925,7612.304,37804.16,4421.521,18841.887,3226.6687,19160.705,6695.4097,2680.2788,38308.44,10315.138,6419.3696,40466.54,30246.51,46598.926,9990.347,7731.4785,38740.336,10857.436,3941.4092,3138.6665,1643.0157,2455.5005,17349.67,21242.283,62350.176,2473.773,11757.282,582.678,17804.465,18300.996,5624.024,1786.1823,13035.148,93587.95,10685.107,59053.75,4916.48,6063.1406,1649.0651,11445.379,17988.953,4174.814,10659.831,1626.205,23558.81,1011.1599,,5494.3213,562.8575,5650.3413,11202.286,1200.3206,17771.71,7538.925,1239.4767,3277.7944,4276.1313,48621.832,69940.78,2105.5083,12813.591,33400.73,39455.83,,11655.746,3526.1416,12327.852,7438.516,4631.772,17446.22,4167.036,15345.75,31677.23,30539.4,10825.287,3932.227,69746.22,15626.781,17879.922,887.3726,54954.16,2924.2908,2822.4683,61116.676,2957.845,1879.9536,7062.3003,,663.11316,10147.436,3801.0815,16184.5,16772.686,25660.27,41270.973,5883.0176,,17942.174,7943.4404,,1125.4912,2072.0833,12455.886,1175.7941,4712.8335,3038.31,5510.708,14956.588,7778.425,13788.159,3070.0364,1730.5546,1367.9457,9969.501,17490.334,48435.7,3046.5637,8826.698,,3584.029,3229.1023,4333.5127,10636.864,2197.1956,4271.48
1997,37070.01,,6015.187,4929.311,50032.35,100310.445,23172.158,3879.1794,23355.014,40097.0,49103.43,4358.605,1024.45,47340.445,2399.786,1326.9423,2475.5957,12513.26,54512.855,30830.06,6104.0186,9301.327,9852.857,84698.2,5989.4146,13896.625,17320.367,106503.42,4778.705,12526.378,1278.4883,42587.367,63276.434,16689.799,3250.6145,5072.597,3641.7075,1109.8584,7599.0483,11692.899,2810.3833,3302.974,13011.549,,,32403.117,29168.053,47004.9,,11997.048,53572.62,9610.384,10725.968,9727.282,8950.654,35163.18,18431.559,826.0052,41008.617,9008.645,42980.344,3332.9807,25359.66,40742.605,4951.813,3160.445,2272.411,2486.938,2220.7297,7296.1,28808.01,9473.579,38057.176,8367.07,8064.567,39402.688,4497.236,20101.879,3252.0269,19802.805,6897.0024,2734.521,42106.336,10329.857,7545.73,42452.91,30607.72,47471.168,9785.762,7775.543,39027.367,11298.58,3853.3713,3399.9346,1595.1713,2439.41,18298.457,22342.555,61839.484,2589.2075,11668.4,1111.9376,18446.844,17919.88,5871.723,1837.6965,14221.694,97431.27,11781.945,58578.44,4766.1104,6185.8394,1655.2087,12158.152,18962.25,3867.3428,10898.262,1666.431,24610.336,1054.7675,14887.075,5628.1064,612.3715,5302.3667,11692.097,1221.094,18604.514,7656.325,1217.3125,3287.37,4372.173,50427.266,73238.69,2166.3127,11650.294,33650.656,41191.03,,11939.21,3462.5815,13013.891,7775.2104,4758.7085,17400.016,3864.2302,16310.892,32915.79,31741.37,11033.016,4311.5386,87140.125,14911.898,18160.229,873.9478,54274.516,3380.1868,2840.6082,64013.562,2848.3445,1746.7937,7234.9443,66923.03,647.78467,11088.327,3784.7903,16754.352,17660.174,27023.559,42511.527,5964.363,,19895.143,8126.3657,,1148.7723,2296.1765,11952.424,1181.2811,4105.369,3074.051,5455.9053,16021.307,8091.226,14620.152,3356.3037,1755.8037,1396.6311,9754.05,18885.1,49984.27,3150.0852,9134.312,,3820.3025,3315.4814,4325.138,10783.461,2223.4575,4304.4062
1998,36889.42,,6090.0957,5398.408,51092.223,93224.22,23783.102,4211.5127,24000.938,41550.586,50762.824,4749.1743,1052.807,48166.227,2419.1,1385.0931,2555.0613,13074.357,55638.69,31827.271,6994.4717,10128.156,9884.917,87330.96,6180.55,13737.703,17963.139,97171.64,4965.8765,12306.276,1302.7515,43879.566,65000.26,17163.031,3472.1785,5093.132,3714.132,1062.5687,7711.6323,11550.729,2797.829,3657.381,13643.552,,,33964.215,29080.918,47982.93,,12481.362,54620.16,10087.484,11094.888,9864.597,9245.479,36524.426,19417.078,772.7866,43130.688,9013.452,44299.83,3418.5696,25585.508,42006.35,5233.2886,3229.4822,2311.3274,2502.765,1690.4672,8684.657,29633.436,10515.55,40936.547,8562.963,7915.2295,36776.47,4536.912,20567.139,3261.5867,20623.045,5897.6855,2847.9624,45322.21,10400.861,9871.734,45093.152,31131.562,48313.824,9475.902,7826.74,38427.03,11364.031,3871.8218,3419.2236,1602.3837,2502.8618,17973.484,21044.047,62136.12,2642.5662,11885.308,1308.4056,17528.31,18786.836,6032.622,1856.6908,15394.168,102649.54,12672.593,55238.71,5033.9233,5783.486,1664.6821,12828.991,19807.688,3805.887,11206.693,1747.7778,25704.158,1102.791,15664.292,5735.8438,660.6502,5310.158,12272.319,1241.5243,16817.172,7709.89,1294.1619,3285.238,4465.6694,52446.613,74746.82,2188.222,10275.952,33639.93,40574.676,,12062.652,3454.1768,13826.532,7605.1626,4616.673,17349.438,3590.1,17058.617,34537.184,33099.777,10802.56,4805.1914,91901.16,14639.484,17226.227,912.9394,53750.04,3441.1792,2938.6917,60519.71,2805.2908,1760.5624,7381.1147,71024.56,662.43713,11728.266,3828.9983,16789.756,18311.295,27912.328,44291.855,6041.5464,,19991.229,8456.783,,1187.0807,2180.6558,10896.766,1236.6755,4323.302,2931.5576,5541.6836,17264.94,8371.312,14764.592,3855.651,1773.7242,1422.2079,9646.055,19641.396,51619.87,3234.3574,9504.6455,,3982.958,3285.1384,4386.519,10706.777,2157.5735,4342.8584
1999,36842.957,,6021.229,6133.027,52921.047,89303.77,22714.512,4406.9673,24467.111,43164.816,52570.1,5056.0464,1017.4978,49758.45,2470.685,1444.5669,2624.0654,12043.958,56522.227,33648.02,7584.5073,10519.749,10450.553,89568.68,6099.5117,13602.414,18017.693,99083.32,5241.3667,13207.475,1313.2357,45761.93,65766.62,16902.092,3705.9773,4987.357,3780.0623,983.60223,7312.3267,10874.447,2801.3003,4006.4797,13926.79,,,35264.91,29511.896,48973.36,,12571.752,56055.12,10514.806,11292.037,9231.593,9588.859,37980.48,19277.695,787.67957,44919.426,9693.8125,45570.03,3456.1533,22713.715,43146.945,5495.245,3290.2686,2346.2703,2589.9778,1937.6256,10492.465,30304.89,11165.327,41500.6,8671.441,8139.9697,37339.99,4386.7114,20480.879,3288.6855,21316.68,5855.658,3041.4827,49533.04,10459.124,11237.854,46348.758,31357.39,49116.26,9501.015,7920.02,38228.844,11815.773,3848.4646,3491.9377,1775.4124,2364.3452,18301.387,23291.014,59234.65,2786.5205,11617.25,1507.3147,17397.988,19039.299,6176.2354,1860.7006,15333.7,109551.66,13136.248,53292.582,5043.665,5597.4653,1687.2314,13391.03,20030.547,3718.811,11637.196,1796.7638,26758.277,1209.0165,14230.748,5829.1665,722.30554,5359.989,12433.67,1249.7753,17428.625,7773.9434,1247.6471,3218.4636,4711.983,54726.25,75774.95,2242.6501,9611.371,35262.613,40145.93,,12324.528,3484.4568,14261.741,7586.6777,4650.7593,16085.203,3531.6594,17861.717,36216.84,34198.855,10435.398,5071.8213,90837.46,14607.255,18385.465,944.92566,51511.367,3459.23,3050.178,63471.19,2717.5508,1716.8203,7498.4673,76474.13,682.73413,10555.402,3878.131,16217.518,18206.045,29361.771,46116.637,6152.672,,19969.352,7951.39,,1138.274,2172.4917,11252.987,1275.8225,4945.0854,2136.7056,5632.7227,18586.824,8773.075,14093.176,3777.368,1810.9716,1487.7579,9704.445,19255.072,53474.047,3326.4253,9746.234,,4119.0537,3228.5918,4448.32,10844.917,2198.1892,4238.1953
