Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FJI,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12571165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15850808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24284084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19393994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48503890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,10000.0,,,2376957.0,,,,,,,,,,,,7778041.0,,,,,1833231.9,,,,,208930900.0,,,,69167100.0,,15782199.0,43173624.0,,,,,,,,,,,,,,2950901.8,,15411702.0,,,,,,,,,,,,,,,,21868378.0,,,,,,,,,,,,11306126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,271364200.0,,3627078.5,,,,,58992972.0,,,66407190.0,,79122000.0,,,,,,,,,,25773172.0,8054565.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266371070.0,202419250.0,40004056.0,6245860.5,,,,,,,,,,89432190.0
2006,10000.0,,27724126.0,,,173538370.0,,157323.73,101415110.0,,,,,47298132.0,,6603845.0,2148723.0,,13132657.0,,4024537.8,565185860.0,7128686.5,,,143406320.0,14962737.0,,18505748.0,,138927260.0,47039580.0,33937836.0,41689250.0,,98169190.0,,799656.0,35727300.0,,,,,,,3673849.5,10209005.0,,7183159.0,,,,,,,,5294119.0,22982244.0,,,2859366.5,,,1050000.0,21155492.0,,17485078.0,8424444.0,70285700.0,,56576572.0,,32777972.0,,,,10361506.0,,68134840.0,,,7917122.5,46219588.0,,,,,4675671.0,,,,1000199.06,,,24436396.0,,,5748000.0,6900216.0,,,,,,,,29022702.0,,,,96623780.0,,1501345.4,,,,21632108.0,19140700.0,,8896695.0,,,,,21997472.0,36169690.0,8561155.0,,,,,,1017666.0,,76088420.0,304989820.0,87129460.0,,,11934512.0,,,7759514.0,35970390.0,12202917.0,,260000.0,,,49113384.0,,,,8530267.0,,5210555.0,,,12678332.0,,54365480.0,,,,55737388.0,5736140.5,,,,47155760.0,,,,610975170.0,189929900.0,129516620.0
2007,10000.0,,47493990.0,,,231030700.0,2476108.0,159827.5,,2220238.0,26191560.0,,21954940.0,42567456.0,,6665826.0,,,,,3182866.0,575138500.0,,,,229457660.0,10548131.0,,,,124115810.0,70975030.0,37998196.0,,9443990.0,87978216.0,150000.0,1790645.8,,44509068.0,57386484.0,,3690621.0,,37420644.0,,7473084.5,6391755.5,7792681.5,551413200.0,,,1849093.9,,10531078.0,1204081700.0,,52445092.0,7421451.5,4898005.0,2799713.2,1314029.6,,,,,22393728.0,8907939.0,73348820.0,2274786.8,58671396.0,,,,,,14749274.0,2697078.0,,17958794.0,418581570.0,,53258764.0,,1342611.1,,4219466.0,5146613.5,4400000.0,,,772018.0,,1705728.1,54502464.0,,,,11040303.0,,8200348.0,17802042.0,,,122518.0,,43712744.0,32762916.0,1470537.0,3377400.0,105235580.0,,,,,130500000.0,16656278.0,299241760.0,12665213.0,17661652.0,,,,5076641.5,,39986984.0,5623741.0,57425.37,,41978736.0,,,2497096.0,,,,74564936.0,,,17814672.0,11349934.0,,9172665.0,43769464.0,9811603.0,,1312767.0,98088.72,500000.0,49446930.0,479214.0,1660147.0,8767272.0,14365724.0,199644530.0,,,,10118410.0,,56852200.0,,,270011040.0,79354450.0,14077809.0,,,79818050.0,66280816.0,,,,648093900.0,,
2008,,3241418.0,31765940.0,,,259349380.0,2604517.2,329358.88,,5012004.0,26446970.0,111777464.0,25238076.0,52978376.0,37264780.0,9211929.0,4468559.5,2759908.2,20479442.0,2024334.5,5393563.0,623133500.0,,,,348408030.0,20637244.0,,14898054.0,112166090.0,323834200.0,67294320.0,44863108.0,96365320.0,11628857.0,128878180.0,,2569599.8,43923784.0,46615804.0,64836190.0,,3220826.0,177654.84,31331008.0,3802015.8,,7652152.0,14456536.0,916739260.0,18373202.0,248000110.0,2506227.0,,11918290.0,925714300.0,8218686.0,38850940.0,13226373.0,4987930.0,4129567.8,2926458.5,96058430.0,483594.97,,,28463574.0,9957027.0,144431250.0,3673401.8,49563290.0,145589870.0,36011016.0,,,,,,,,659865860.0,8795736.0,51846996.0,,1487271.4,,4695719.5,5017038.0,7300000.0,,,,,1568313.0,81741090.0,,,,13643597.0,,13254121.0,11960069.0,,447704500.0,,3659005.2,43788576.0,32802378.0,596567.6,5160118.0,146424960.0,,,107426240.0,24752000.0,,14268161.0,394963870.0,14992937.0,,80673.66,,,14194847.0,21077738.0,45186950.0,7734114.5,57260.82,,62946970.0,,,11831832.0,,87241140.0,780172800.0,110811600.0,,15985346.0,29758122.0,15338056.0,598244.6,,41232424.0,5994773.5,,,93188.51,,,575899.25,2014305.0,14037230.0,17238298.0,209123120.0,6186978.5,1826972.8,209703.69,15442886.0,,,100132.46,,296649950.0,102429700.0,,,1625301.0,71722970.0,108814500.0,1092358.0,,,,,27387120.0
2009,,5158552.0,34699650.0,,17583652.0,287127300.0,2301071.2,390760.4,,6061650.5,27034142.0,146014580.0,32435198.0,62092748.0,26938054.0,11051032.0,4901264.5,3584302.2,17734674.0,2024334.5,9733435.0,656848900.0,5539683.0,,,306431300.0,11442259.0,,14843029.0,141307410.0,353535360.0,119936504.0,76970910.0,186945820.0,11976747.0,105630776.0,,1110770.4,,68720824.0,70147860.0,,2006625.0,177654.84,,2726734.0,,,13661214.0,947070400.0,,,2332251.5,,6583069.0,80303030.0,10372886.0,54228388.0,13508992.0,,5739812.5,2840865.0,,194492.69,45025410.0,,31974904.0,10367188.0,135718460.0,3496377.0,60285420.0,140001570.0,40761320.0,,,,15192488.0,3099000.0,73196540.0,22778078.0,670864200.0,12153796.0,53735196.0,,1210090.8,13178000.0,4578055.0,5997398.0,4450000.0,,,,,4504057.5,,,,7134019.5,14648004.0,,11859795.0,,,376480860.0,125841.0,4753257.0,28408826.0,34264132.0,830121.44,4758316.5,,86917.12,,71804800.0,28179412.0,243041940.0,10080692.0,415287420.0,,20454800.0,97112.33,,811770.9,14064508.0,,62229416.0,12030977.0,67448.6,50333020.0,48820380.0,868500.0,10081614.0,14042677.0,,84255940.0,,173621090.0,19389142.0,15358624.0,,14361842.0,575215.6,14309550.0,,5981773.5,,,460568.9,4037170.5,75280456.0,1748649.1,2019325.0,12657267.0,15272334.0,209106530.0,7501041.0,1803013.8,310525.78,13810965.0,,,61294.0,,,65397492.0,,15939901.0,2629219.2,83424290.0,127374480.0,1114768.0,792332.0,4955843.0,2329049300.0,,90338610.0
2010,,4437825.0,34338190.0,,25480828.0,320503100.0,5052363.5,1376617.8,,8236251.0,41776444.0,159087440.0,18197534.0,58282724.0,15203324.0,,,,19722982.0,2877998.0,,734242600.0,7390301.0,,,363240700.0,14897398.0,,3067778.8,157229150.0,586572400.0,,64185624.0,195554370.0,16472586.0,113064730.0,169642.73,2550065.5,30556390.0,66854940.0,,,5046033.5,223664.38,,5840187.5,28641874.0,,,980914000.0,16353142.0,,2096988.5,,8035395.0,,,62147564.0,11942596.0,,5258837.0,,,93501.414,,,36184176.0,,166132140.0,,68801200.0,225715500.0,,,,,14666841.0,1723767.5,73455940.0,,726058600.0,11235261.0,58059468.0,429800.0,151172.72,11161000.0,56791068.0,8586397.0,2420000.0,28357694.0,,,,4727896.5,,,,6176719.5,14832191.0,,10948535.0,9431067.0,,,390933.0,4764350.5,36703030.0,40501040.0,,3883709.8,213485250.0,946354.0,7524015.0,65560000.0,31945130.0,279320480.0,14180564.0,496917470.0,24894866.0,,,,,12951615.0,24275360.0,36431350.0,12495865.0,982489.0,51209268.0,66986130.0,1014600.0,175446300.0,12414684.0,,95508030.0,,,,,,16486429.0,804326.7,,49857064.0,,,,605752.0,6129853.5,,2354608.0,,11791489.0,24317568.0,242670430.0,15293809.0,,,,3038140.0,,59641.0,,,72838820.0,,23663618.0,4020691.8,109663740.0,139253250.0,1661522.9,345027.7,2210998.0,,,268908540.0
2011,,8002073.5,33893240.0,,30630854.0,447720130.0,5587011.0,617262.44,,14555704.0,25443438.0,,,48066176.0,18804376.0,13716892.0,,,19864484.0,,9251710.0,812604540.0,8078374.5,,,390616030.0,15784564.0,,3608480.0,165883780.0,593989600.0,97995384.0,47971212.0,190800210.0,,96673830.0,936323.5,3601972.2,,70567384.0,,,4293493.0,223664.38,,6314132.5,,,,1080338200.0,,403309470.0,2255212.0,,9934667.0,,14255584.0,81677336.0,15044153.0,,,,,7434.65,46930850.0,21541642.0,36126244.0,,209009280.0,,72543624.0,275000060.0,,,,508145470.0,18364388.0,1433831.5,67907860.0,36887020.0,837615740.0,5720845.0,52834016.0,258888.0,93349.26,11171000.0,,11749216.0,2420000.0,31123572.0,,,,,,3669400.8,,267460.0,14632692.0,,14352889.0,13881177.0,,534914180.0,174208.0,,24333790.0,46293476.0,,3949791.0,260279340.0,4082502.0,,151972240.0,39193880.0,,14617434.0,499432740.0,,,,,4703922.5,5209747.0,,,12645620.0,1044959.1,47372864.0,74423710.0,1145420.0,201374450.0,9208240.0,,108228460.0,,234613360.0,,23349252.0,21357516.0,23091270.0,908429.06,20905244.0,,,,31238878.0,880869.0,4674508.0,86741190.0,2172223.8,809850.0,18001758.0,21971072.0,325388450.0,15370003.0,,,,2742549.0,,177096.4,,,107004264.0,,19149708.0,2951441.0,80485624.0,99844930.0,1883490.0,307482.25,1613920.0,,,257657390.0
2012,,9052547.0,,,32476416.0,501794240.0,5338915.5,987160.75,,,38747560.0,,30811008.0,56480732.0,12483352.0,10838021.0,,,19785986.0,2836771.5,11768762.0,694741500.0,9976349.0,,,,,,3411877.5,212550140.0,635813440.0,124202800.0,50840876.0,229278480.0,,134944830.0,1532306.0,34027.44,22246680.0,72046450.0,,,3828455.5,336411.06,40729788.0,6773707.0,,,,978031100.0,,,335117.62,,15229285.0,,16557873.0,145105920.0,12076993.0,,,2364083.0,,120140.92,53225010.0,21921472.0,38299976.0,11278317.0,115806400.0,,87002696.0,205808370.0,74486120.0,,,,17136136.0,1968903.0,,37809896.0,740551400.0,13399289.0,50883716.0,339277.0,82440.37,,59515456.0,,,,,,,,,2496551.0,,619656.0,21453834.0,,9582312.0,9820637.0,,,446142.0,,21794990.0,42196576.0,,,257440200.0,3934241.0,,145522430.0,56645652.0,206262060.0,16094800.0,574310100.0,,,,,5422075.0,10450151.0,47835016.0,,9642395.0,,36659268.0,83259470.0,,10356197.0,13657173.0,,34583120.0,,243667680.0,,18458156.0,25134304.0,23746298.0,,,59224230.0,,13375570.0,24154614.0,438390.0,,82568470.0,4686372.0,,16349143.0,20455090.0,282888800.0,12715924.0,,,,,12291905.0,,,,124325860.0,,24106268.0,1466605.4,66618452.0,95446490.0,328089.4,,,,282218620.0,308835460.0
2013,,5312479.0,,,,,5006127.5,1423132.2,,18611700.0,41460904.0,,22257640.0,58401076.0,21143542.0,11959462.0,,,18582286.0,,,,15971143.0,,,,,,,,757504300.0,63012680.0,72549304.0,222443090.0,,119528050.0,696389.25,4916286.0,,69734376.0,,,,,17053574.0,12456208.0,,,,919488300.0,,,191953.14,,11176198.0,,16103397.0,106502690.0,14413835.0,,,8715789.0,,194829.48,57371336.0,,36713776.0,14363785.0,127874380.0,,,144554320.0,,,,,12591007.0,1079616.0,,37802616.0,800451300.0,17609990.0,,,85110.0,,59520036.0,,5191497.0,,,,,1226938.0,63493172.0,,,9452207.0,22730808.0,,7866204.0,14723449.0,,708124160.0,516765.0,,,56389652.0,,3552745.0,353766000.0,2731148.0,,,58084996.0,213346620.0,13575589.0,,,16357125.0,,,3890133.8,9993630.0,,74861270.0,10319421.0,409041.34,,90199780.0,,274577660.0,14941352.0,,,546296300.0,,,13840875.0,22380530.0,23739324.0,,,62305784.0,,16333869.0,,821699.44,,96931520.0,2900786.5,,17632654.0,26857752.0,287278800.0,14077893.0,,,,,,34455.0,,,,,21315540.0,,72603704.0,,867285.75,903852.0,,,,253479650.0
2014,,4181138.0,,,,716730000.0,6816743.0,,,20627360.0,18414530.0,,20362464.0,,,14796161.0,,,22445924.0,,,804365950.0,,,,137629200.0,,,7971393.0,,989975550.0,,,,,,1052149.0,3811653.5,,,,,2883765.2,,17026154.0,17268654.0,13230522.0,,,,,,213386.34,344003.78,6452777.0,,16962520.0,151619630.0,15762745.0,3850000.8,,,,,55519730.0,,,,137722260.0,,,164330060.0,,,,,15477906.0,,,43041170.0,1070667900.0,15978696.0,,669378.4,,,22365504.0,,,11522041.0,,,,,,,,8763408.0,,,,12707522.0,,,679774.0,,,,,2858199.0,,,,,53802556.0,201060030.0,10899296.0,,,18815088.0,,,4324861.0,,,78148250.0,,,,83684560.0,,,,,98535200.0,512676060.0,196498100.0,,,17191880.0,23202746.0,,,,,,,751805.8,,,,,,25321422.0,,,,158093.23,,,,,,,,,19113116.0,,,,,,,1845779500.0,,
2015,,,,,,807350000.0,,,,,,,18587204.0,,12759322.0,12925532.0,,,,,,,,,,0.0,,,7239334.0,172772050.0,,,,82833990.0,,,,,,,,,,,19117472.0,,,,,,,,,,,,15953310.0,92306720.0,,,,,,,0.0,,,,,,114585090.0,,,,,,0.0,,,33995760.0,,,43322536.0,,,,,,,10280475.0,,,,,99302984.0,,,,22099998.0,,,16861224.0,,936191550.0,,,,,,,343606050.0,,,227510300.0,,,14391198.0,501736450.0,0.0,,,,,,,,,,,,,,,,,,217589950.0,,,0.0,,,,69971304.0,,,25044292.0,,,,,,,18162646.0,0.0,,,,,,,,,0.0,97737790.0,,,,,0.0,,,,0.0,,
2016,,242127.05,,,,627390000.0,4222796.0,,,,,,16793572.0,,9137462.0,,,,17639014.0,,,,,,0.0,157743200.0,15787850.0,0.0,7179989.5,184816560.0,1047344960.0,21902420.0,,149439200.0,,,836125.0,,,,,,,,26788580.0,,,0.0,,,,351583870.0,668269.0,,,165587040.0,,69018200.0,20925838.0,,,,,,25067542.0,,0.0,,111563840.0,,0.0,,,,,,19487738.0,,,,948002200.0,22020486.0,,0.0,,,32383674.0,8272784.5,0.0,,,111111.11,,,101260600.0,,,10336297.0,,,,9117929.0,,,,,33224960.0,86195430.0,0.0,5255800.0,329521470.0,,,0.0,,162654200.0,18756304.0,553039170.0,0.0,18893916.0,,,,,,,,,20388426.0,,,,,,,,,,,0.0,26962710.0,,,,,,0.0,,,,0.0,0.0,,24594122.0,,,,,0.0,,,,246181860.0,0.0,104175190.0,0.0,,,9002384.0,,86587.69,,,0.0,,409487000.0
2017,,44908.64,,,34579270.0,,5613096.5,496441.5,,,,,22805998.0,39055320.0,7103747.0,20128658.0,,,21000246.0,,,771909000.0,,,0.0,158991780.0,11686418.0,0.0,,282358600.0,,,,174572260.0,,,2325187.8,,,,,,,183197.12,20973402.0,31899472.0,,0.0,,,,0.0,,405118.0,,,19929496.0,92573990.0,8873515.0,,,,,,53109150.0,,0.0,,,,151974620.0,370506140.0,0.0,,0.0,,,,,34816916.0,1174884600.0,0.0,,0.0,198975.92,,,4633491.0,0.0,,,145833.33,,,110299410.0,,2755676.5,14133472.0,39062784.0,,,11981599.0,,0.0,,,0.0,106469240.0,0.0,,508492400.0,,,218441550.0,0.0,0.0,32216586.0,560296400.0,0.0,20002670.0,,30068244.0,,,,,,,15488166.0,,,,,,70977790.0,703043900.0,,,,0.0,52093244.0,,,60112212.0,,,0.0,,,,,,,38872400.0,,13927835.0,,,,,,,264953060.0,0.0,107815070.0,0.0,,,369330.47,0.0,,203614.45,,2432035000.0,0.0,417971620.0
2018,,10077893.0,,5614403.0,0.0,0.0,,0.0,,0.0,,,13229862.0,,15071566.0,,,,,,,699139300.0,,,630124.0,144291630.0,10943141.0,0.0,,316014340.0,1212486400.0,0.0,0.0,0.0,0.0,0.0,0.0,,54011160.0,,,,,0.0,53267532.0,,15614260.0,0.0,4631024.0,,,252655550.0,,,5825622.5,,0.0,67413060.0,0.0,0.0,,,,,52726732.0,0.0,0.0,,114745310.0,,119102110.0,275000000.0,0.0,,,,0.0,,,0.0,,9961526.0,0.0,0.0,232614.08,,,,,,,0.0,0.0,,0.0,,,,,,0.0,147685.0,,,,,0.0,,0.0,,545423500.0,0.0,0.0,,,146545440.0,,532371500.0,0.0,15759395.0,,,,0.0,54953776.0,,0.0,,18484832.0,,,,2198377.0,,,,0.0,,,0.0,,1232876.8,,49288264.0,5959474.0,,0.0,,,,0.0,0.0,,,258641950.0,9665146.0,,,,0.0,0.0,,265615540.0,0.0,0.0,0.0,,,26929358.0,0.0,,167099.56,,2501569000.0,0.0,0.0
