Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,ROU,RUS,RWA,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,0.2863831,0.4640414,0.1983406,,,0.24917954,0.16322033,0.18792923,0.15927386,0.13656116,0.33376667,0.13107087,,0.4043668,0.3074996,0.18523103,,0.26228848,0.15836874,0.40500823,0.37473184,0.48983565,0.14606556,0.3873038,0.5330584,0.6202571,0.17680368,0.16795477,0.3573802,,0.4529404,0.44588193,0.44123885,0.50671923,0.4314258,,0.5060736,0.34689048,0.15524872,0.10447084,0.1437893,,0.460452,0.11078403,0.32902223,,0.33935982,0.1722139,0.18888673,0.15276267,0.30493334,0.12272952,0.30058748,0.17564684,0.2690879,0.34478593,0.18797348,0.3263063,0.4827522,0.41893792,,0.5440864,0.4841952,0.18008071,0.3255779,0.41578025,0.23873329,0.36669362,0.17368384,,0.13560975,0.22915617,0.371474,0.16929159,0.2895892,0.25399894,0.13248572,0.27748096,0.20591116,0.35058773,0.24746658,0.19597691,0.15015365,0.5166112,0.16688564,0.34588286,0.22813347,0.17534544,0.20878886,,0.39080656,,0.41154587,0.6304202,0.21978864,0.14882758,0.21837662,0.26785284,0.18180868,0.4349785,0.4039656,0.35481465,,0.2978612,0.45579284,0.14504232,,0.20983225,0.19399066,0.5169392,0.38453797,0.30422515,0.40046933,0.29883036,0.5273059,0.3744787,,0.31318635,0.1412885,0.11728651,,,0.16700575,,0.30726063,0.28204688,0.38998163,0.39756557,0.29898104,,0.27171203,0.18677533,0.18537582,0.4160281,0.28853968,0.20629118,0.20037965,0.5472787,0.43177047,0.41948688,0.24157755,0.30156335,,0.3007666,,0.21012358,0.54918593,0.32566375,0.102979966,0.0905859,0.12758695,0.5787247,0.4059509,0.18449427,,0.4335081,0.25187173,0.17216858,0.15451118,0.24061249,0.28133303,0.30525717,0.25146466,0.42463,0.45100272,0.12704973,0.28673455,0.2575729,0.20185432,0.25184184,0.22800043,0.26074824,0.21376291,0.67588454,0.5767596,
2011,0.2863831,0.4640414,0.1983406,,,0.24416243,0.15975788,0.18792923,0.14656906,0.13656116,0.33376667,0.13117394,,0.4043668,0.3074996,0.20614606,,0.2650154,0.148905,0.34705406,0.3667979,0.48983565,0.111964315,0.3873038,0.5330584,0.6202571,0.16860276,0.16675873,0.34119278,,0.4529404,0.44588193,0.44123885,0.50671923,0.4214822,,0.5060736,0.35833627,0.14961214,0.11358688,0.14239201,,0.460452,0.11078403,0.32956287,,0.30315748,0.16276453,0.20896144,0.17021917,0.3436691,0.11945145,0.30058748,0.18086538,0.2690879,0.34478593,0.17365338,0.3295151,0.4827522,0.41893792,0.45052335,0.5440864,0.4841952,0.19071549,0.3255779,0.37165478,0.24222365,0.41399547,0.17465933,,0.13560975,0.25419486,0.371474,0.16576858,0.2895892,0.25399894,0.108723596,0.26767492,0.20591116,0.35058773,0.2624785,0.15802738,0.14954428,0.5166112,0.14582792,0.31727389,0.22813347,0.17534544,0.20878886,,0.39080656,,0.41154587,0.6304202,0.18033755,0.14447747,0.2078752,0.26785284,0.17187794,0.4349785,0.4039656,0.35481465,,0.30171266,0.45579284,0.13261388,,0.23229407,0.19912268,0.5169392,0.38453797,0.30422515,0.46730548,0.29883036,0.5273059,0.32097286,0.19077899,0.31318635,0.12672266,0.11728651,0.3191333,,0.18647113,0.23685408,0.30407852,0.27408153,0.38998163,0.39756557,0.29898104,,0.27171203,0.1891672,0.19551653,0.43088305,0.30191997,0.21619488,0.20037965,0.4760113,0.43177047,0.41948688,0.25513136,0.30156335,0.34928477,0.3007666,,0.21012358,0.54918593,0.32566375,0.12635832,0.11219444,0.13026516,0.5787247,0.4059509,0.18449427,0.47869346,0.4893465,0.23370925,0.17216858,0.15451118,0.24061249,0.25730744,0.2977278,0.25146466,0.42463,0.45100272,0.12542596,0.25981957,0.25433314,0.20616145,0.25184184,0.22800043,0.26074824,0.21376291,0.67588454,0.5767596,0.44647798
2012,0.2740554,0.4640414,0.19410545,,,0.22492751,0.16226692,0.18792923,0.1542178,0.13656116,0.33376667,0.13040036,,0.4043668,0.3074996,0.19871338,,0.2650154,0.14303876,0.3632847,0.3667979,0.48983565,0.111964315,0.39129335,0.5330584,0.6202571,0.18022837,0.15678076,0.34119278,,0.4529404,0.44588193,0.44123885,0.5511418,0.40616646,,0.5060736,0.35919642,0.1602292,0.11358688,0.14483689,0.33244213,0.460452,0.11078403,0.31191698,0.16809192,0.3170231,0.16276453,0.20896144,,0.3436691,0.11945145,0.30058748,0.18079641,0.2690879,0.34478593,0.1683464,0.27326822,0.4827522,0.3566884,0.45052335,0.5440864,0.4841952,0.19071549,0.3255779,0.37165478,0.24222365,0.4118558,0.17228146,0.5206961,0.15621117,0.25403252,0.38424447,0.16851802,0.2895892,0.25399894,0.11409686,0.2763021,0.20591116,0.34615296,0.2624785,0.15802738,0.15020578,0.5166112,0.14461347,0.3038024,0.22813347,0.16894226,0.20878886,0.20240517,0.39080656,,0.41154587,0.6304202,0.16463901,0.14447747,0.20778716,0.26785284,0.15994816,0.4349785,0.4039656,0.36500853,,0.2784571,0.34256065,0.1327077,,0.23229407,0.1985429,0.5169392,0.38453797,0.32947358,0.46730548,0.2788485,0.5273059,0.32097286,0.19077899,0.31318635,0.12672266,0.11728651,0.3191333,,0.16612673,0.23685408,0.30589598,0.28226745,0.38998163,0.39756557,0.30198416,,0.27171203,0.19292311,0.20314568,0.36951026,0.28494447,0.22764581,0.21767417,0.4760113,0.43177047,0.43425107,0.25935096,0.30156335,0.34928477,0.27881747,,0.21012358,0.54918593,0.32566375,0.12635832,0.12178279,0.12900001,0.5787247,0.4059509,0.18449427,0.47869346,0.4893465,0.25041613,0.17216858,0.15451118,0.24061249,0.25730744,0.29511684,0.25146466,0.3846472,0.45100272,0.12671158,0.23773354,0.2625197,0.22170399,0.20953135,0.22800043,0.26074824,0.21376291,0.59986514,0.5767596,0.44647798
2013,0.2740554,0.4640414,0.19410545,,,0.22406703,0.17036949,0.18792923,0.15271313,0.13656116,0.33376667,0.1258121,,0.4043668,0.3074996,0.21256989,0.37554255,0.2650154,0.14350857,0.36067504,0.35215327,0.48983565,0.111964315,0.39129335,0.5330584,0.6202571,0.18425491,0.15433198,0.3324781,0.31424618,0.4529404,0.44588193,0.44814995,0.5511418,0.4089847,,0.5060736,0.37252408,0.1749268,0.11358688,0.14911191,0.31039366,0.460452,0.10644486,0.32803997,0.16809192,0.31304777,0.15217648,0.20896144,,0.3436691,0.11945145,0.30058748,0.16917217,0.25792882,0.34478593,0.16753866,0.26198635,0.46681052,0.3566884,0.45052335,0.5440864,0.4841952,0.19071549,0.3255779,0.37165478,0.24222365,0.3649,0.17197856,0.5206961,0.15621117,0.25650433,0.38424447,0.167471,0.2895892,0.2547499,0.11223867,0.25500512,0.20591116,0.38250935,0.2624785,0.15802738,0.14266957,0.5166112,0.15314436,0.30263233,0.22813347,0.16894226,0.21418042,0.20240517,0.39080656,,0.40267658,0.6304202,0.18826775,0.14447747,0.2023622,0.26785284,0.15487435,0.4488378,0.4039656,0.36500853,,0.25541696,0.34256065,0.13780878,,0.24761416,0.1985429,0.5169392,0.38453797,0.32947358,0.46730548,0.2788485,0.5273059,0.32097286,0.19077899,0.31318635,0.12672266,0.120662615,0.3191333,0.18474954,0.17561053,0.23685408,0.3069231,0.28226745,0.37797764,0.36766788,0.30198416,,0.27171203,0.19610193,0.20580283,0.37300548,0.28494447,0.2340352,0.21767417,0.4760113,0.43177047,0.43425107,0.25935096,0.22543071,0.34928477,0.29255095,,0.23583703,0.54918593,0.32566375,0.12635832,0.12178279,0.1446477,0.5787247,0.30575284,0.18449427,0.47869346,0.4893465,0.23849279,0.17216858,0.15451118,0.24061249,0.25730744,0.28620666,0.25146466,0.3846472,0.42105353,0.12610191,0.2482911,0.26232168,0.22577871,0.20953135,0.22800043,0.26074824,0.21376291,0.59986514,0.5767596,0.44647798
2014,0.2740554,0.4640414,0.24866608,,,0.22719093,0.17651948,0.18444663,0.15194206,0.13656116,0.39518523,0.12570217,,0.35281682,0.3074996,0.22263369,0.37554255,0.2650154,0.14733556,0.34577003,0.35215327,0.48983565,0.111964315,0.39129335,0.5330584,0.6202571,0.17469145,0.16238622,0.3324781,0.2886303,0.4529404,0.52859527,0.44814995,0.5511418,0.40489024,0.52444106,0.5060736,0.35691437,0.20183116,0.11359375,0.15237184,0.31039366,0.460452,0.10644486,0.29487294,0.16809192,0.290123,0.15217648,0.22672148,0.19771379,0.3436691,0.11508686,0.22706766,0.1695689,0.25792882,0.34478593,0.16262774,0.265416,0.46681052,0.3566884,0.45052335,0.5440864,0.4841952,0.20285048,0.3255779,0.32801768,0.24222365,0.32656592,0.16855839,0.5206961,0.15621117,0.25188866,0.38424447,0.17290726,0.24389628,0.2547499,0.10087639,0.25580627,0.24162583,0.33372608,0.24110919,0.17123479,0.14285542,0.5166112,0.1378887,0.35817787,0.22813347,0.16359416,0.21418042,0.20240517,0.34380305,,0.40267658,0.6304202,0.18829045,0.161319,0.20632705,0.25922683,0.14209808,0.4488378,0.4039656,0.36007795,,0.23192436,0.3119521,0.13095328,,0.22858621,0.18697767,0.5169392,0.34999275,0.32947358,0.46730548,0.24832669,0.5273059,0.35135356,0.19077899,0.35278973,0.13032246,0.120662615,0.3191333,0.18474954,0.18231529,0.23685408,0.3007686,0.28209853,0.3766716,0.36766788,0.30198416,0.40917686,0.27171203,0.1884131,0.21070746,0.4037566,0.28494447,0.24126387,0.20605052,0.4548366,0.39337265,0.43425107,0.25935096,0.22543071,0.34928477,0.27283347,,0.23583703,0.54918593,0.32566375,0.13992997,0.12178279,0.13769731,0.5787247,0.30575284,0.18449427,0.47869346,0.4893465,0.23218264,0.17216858,0.16075568,0.24061249,0.25730744,0.27572823,0.25146466,0.3846472,0.42105353,0.12237046,0.24199313,0.2580433,0.21139072,0.18969053,0.22800043,0.23740782,0.2318842,0.59986514,0.5767596,0.44647798
2015,0.2740554,0.4640414,0.2272337,,0.17696334,0.22719093,0.18387875,0.18444663,0.14907399,0.03587569,0.39518523,0.12485773,,0.35281682,0.3074996,0.22533245,0.37554255,0.2650154,0.13719048,0.3242866,0.35215327,0.48983565,0.111964315,0.39129335,0.5330584,0.6202571,0.18160065,0.16500573,0.32144192,0.30352306,0.5424676,0.52859527,0.44814995,0.5511418,0.3823961,0.52444106,0.45382917,0.35994682,0.18862373,0.11359375,0.14948432,0.31039366,0.460452,0.10644486,0.30304757,0.16809192,0.30394286,0.20032853,0.22672148,,0.3436691,0.11508686,0.22706766,0.1692994,0.25792882,0.34478593,0.16835275,0.25316203,0.46681052,0.3566884,0.45052335,0.5440864,0.4841952,0.20285048,0.3255779,0.32801768,0.24222365,0.31328288,0.16877764,0.5206961,0.12498574,0.25527364,0.38424447,0.15673423,0.25824618,0.2547499,0.119470164,0.25376505,0.24162583,0.33683488,0.24110919,0.17123479,0.1407686,0.5166112,0.15382428,0.35817787,0.22813347,0.16359416,0.21418042,0.20240517,0.34380305,,0.40267658,0.6304202,0.21731617,0.14716738,0.20126957,0.25922683,0.14421189,0.4488378,0.4039656,0.36007795,,0.22332996,0.21720076,0.13268958,0.2298814,0.22569028,0.18697767,0.5687241,0.34999275,0.32947358,0.46730548,0.24832669,0.5273059,0.35135356,0.19077899,0.35278973,0.13032246,0.120662615,0.3191333,0.18474954,0.18704098,0.23685408,0.30438015,0.28209853,0.3826974,0.36766788,0.27887487,0.40917686,0.27171203,0.1830612,0.20099762,0.36966857,0.28494447,0.26711363,0.20008491,0.4548366,0.39337265,0.43425107,0.25935096,0.22543071,0.34928477,0.26263955,,0.23583703,0.54918593,0.32566375,0.12254309,0.11283374,0.14816685,0.5787247,0.30575284,0.18449427,0.47869346,0.47117102,0.2220105,0.19926411,0.16075568,0.20735827,0.25730744,0.2845044,0.25146466,0.3846472,0.42105353,0.13264343,0.24579893,0.267886,0.21139072,0.18969053,0.22800043,0.23740782,0.2318842,0.60265726,0.63398504,0.44647798
2016,0.2740554,0.4640414,0.23995252,0.14402476,0.17696334,0.22960392,0.18530123,0.17778215,0.1530094,0.03587569,0.39518523,0.124701396,,0.35281682,0.357195,0.25074798,0.37554255,0.2650154,0.13466127,0.35451183,0.41074598,0.48983565,0.12123743,0.39129335,0.45481667,0.6202571,0.16998295,0.16455063,0.32144192,0.30808,0.5424676,0.52859527,0.44814995,0.5511418,0.37986428,0.52444106,0.45382917,0.35945526,0.17275624,0.11359375,0.15398784,0.31039366,,0.111373335,0.2704501,0.16809192,0.29451767,0.20032853,0.22672148,,0.36454982,0.11508686,0.22706766,0.16714288,0.25792882,0.34478593,0.17074971,0.25499693,0.46681052,0.3566884,0.36789572,0.5440864,,0.20285048,,0.32801768,0.2408448,0.33202466,0.15840767,0.5206961,0.12315078,0.24891606,0.37199152,0.15735354,0.26227638,0.2547499,0.11088103,0.24450484,0.2483426,0.33683488,0.24110919,0.17123479,0.14438377,0.4305246,0.13792537,0.35817787,0.22813347,0.16421616,0.21418042,0.20240517,0.3642431,0.3915866,0.38259923,0.6304202,0.21516794,0.16746925,0.18982562,0.25922683,0.13892016,0.4488378,0.3105229,0.34476867,,0.22278853,0.20378228,0.1364763,0.2298814,0.22632927,0.18810858,0.5687241,0.34999275,0.32947358,0.46730548,0.24832669,0.5299237,0.35135356,0.19077899,0.35278973,0.13116868,0.12903649,0.3191333,0.18474954,0.177771,0.23685408,0.3057558,0.29571444,0.37109748,0.3517594,0.27887487,0.40917686,0.27171203,0.15772758,0.19775386,0.37450978,0.28494447,0.23528302,0.19524807,0.4548366,0.39337265,0.43425107,0.25935096,0.22543071,0.34928477,0.25980285,0.47405118,0.2071199,0.54918593,0.32566375,0.12502933,0.110063985,0.15021922,0.5787247,0.30575284,,0.47869346,0.47117102,0.22944981,0.19926411,0.16075568,0.20735827,0.22917065,0.28767493,0.25146466,0.3846472,0.42105353,0.12888679,0.23935245,0.26459906,0.21139072,0.19505101,0.22800043,0.23740782,0.2318842,0.60265726,0.63398504,0.44647798
2017,0.29225096,0.4640414,0.23210138,0.14402476,0.17696334,0.2251794,0.18951792,0.17778215,0.15848228,0.03587569,0.39518523,0.124545425,,0.35281682,0.357195,0.26335567,0.37554255,0.2650154,0.13451824,0.33806455,0.42520055,0.48983565,0.12123743,0.3795979,0.45481667,0.6202571,0.17513089,0.17151664,0.3301233,0.3123166,0.5424676,0.52859527,0.44814995,0.5511418,0.3680381,0.52444106,0.45382917,0.35098523,0.16253364,0.10549256,0.15532006,0.28692153,,0.111104734,0.26948646,0.16809192,0.28772953,0.20032853,0.22188784,0.15565054,0.36454982,0.11450002,0.22706766,0.1665512,0.25792882,0.3141673,0.1696424,0.2897723,0.50950193,0.3566884,0.36789572,0.5440864,,0.19394131,,0.32801768,0.2408448,0.33202466,0.15726212,0.5206961,0.13013239,0.24578625,0.3744141,0.16393232,0.26705343,0.2547499,0.11640781,0.24019085,0.23203737,0.33683488,0.24110919,0.17123479,0.14451991,0.4305246,0.14203133,0.35817787,0.22813347,0.16421616,0.21418042,0.20240517,0.3642431,0.3915866,0.38259923,0.6304202,0.2248289,0.15688561,0.19346546,0.25922683,0.13671623,0.4488378,0.3105229,0.34476867,,0.21255736,0.20988932,0.13152505,0.17556001,0.2416123,0.18810858,0.5687241,0.34999275,0.31444103,0.44201696,0.24594988,0.5299237,0.35135356,0.19077899,0.35278973,0.13097478,0.12903649,0.3191333,0.18474954,0.18253021,0.23685408,0.30700076,0.29571444,0.38553178,0.339642,0.27887487,0.40917686,0.27171203,0.14817673,0.1937886,0.37140408,0.31447953,0.21366857,0.19646242,0.44333994,0.39337265,0.43425107,0.25935096,0.22543071,0.34928477,0.23785709,0.47405118,0.19266558,0.4885379,0.42357934,0.10794199,0.10457359,0.14552198,0.6049704,0.30575284,,0.47869346,0.47117102,0.22714983,0.19926411,0.16075568,0.20735827,0.22917065,0.29139,0.25146466,0.3846472,0.43405938,0.13631357,0.23579827,0.2640911,0.21139072,0.19505101,0.22800043,0.23740782,0.2318842,0.5993249,0.63398504,0.45344502
2018,0.29225096,0.4640414,0.22350836,0.14402476,0.17696334,0.23330007,0.1982759,0.18489903,0.14503337,0.057027344,0.39518523,0.121600755,,0.35281682,0.357195,0.2522533,0.37554255,0.2650154,0.13339253,0.30443734,0.4301739,0.48983565,0.12123743,0.3795979,0.45481667,0.6202571,0.1675185,0.1693218,0.3301233,0.3173748,0.5424676,0.52859527,0.44814995,0.5511418,0.37454355,0.52444106,0.45382917,0.35245526,0.14968963,0.09967374,0.16515087,0.28692153,,0.1146688,0.27549613,0.16809192,0.29889795,0.18677053,0.20297657,0.14606196,0.36454982,0.116955325,0.22706766,0.17309266,0.25792882,0.3141673,0.1657111,0.24399662,0.50950193,0.3566884,0.36789572,0.5440864,,0.18131231,,0.32801768,0.2408448,0.33276504,0.15315033,0.5206961,0.12473514,0.24356766,0.38814747,0.14978108,0.27372614,0.2547499,0.106782064,0.24020521,0.23630695,0.33683488,0.24110919,0.17123479,0.14709416,0.4305246,0.14347443,0.35817787,0.22813347,0.16421616,0.21418042,0.20240517,0.3642431,0.3915866,0.38259923,0.51428884,0.21333542,0.17855524,0.20454511,0.25922683,0.13411243,0.4488378,0.3105229,0.31377396,,0.21370316,0.20358597,0.1347879,0.17556001,0.24017558,0.19192705,0.5687241,0.34999275,0.31444103,0.44201696,0.24594988,0.5299237,0.35135356,0.19077899,0.35278973,0.13401785,0.12903649,0.3191333,0.18474954,0.18093674,0.23685408,0.30998275,0.29571444,0.38588342,0.32567462,0.25257996,0.40917686,0.27171203,0.15525553,0.17730203,0.3412552,0.31447953,0.23375502,0.18528943,0.44333994,0.39337265,0.43425107,0.25935096,0.22543071,0.3592492,0.24265952,0.47405118,0.16892949,0.4885379,0.42357934,0.09589848,0.10010249,0.15322518,0.6049704,0.30575284,,0.47869346,0.47117102,0.22660083,0.19926411,0.16075568,0.20735827,0.22917065,0.29296383,0.25146466,0.41099668,0.43405938,0.13640758,0.23817702,0.2662524,0.21139072,0.20125109,0.22800043,0.23740782,0.2318842,0.5993249,0.63398504,0.45344502
2019,0.29225096,0.5806592,0.2117743,0.14402476,0.10419066,0.23666415,0.1651976,0.18489903,0.15384132,0.057027344,0.39518523,0.11808794,0.39259872,0.4338111,0.357195,0.25919533,0.37554255,0.2650154,0.13391216,0.28354907,0.42690402,0.48983565,0.12123743,0.3795979,0.45481667,0.6202571,0.15982017,0.17199616,0.3301233,0.306945,0.43445924,0.52859527,0.44814995,0.5511418,0.397147,0.52444106,0.45382917,0.35220543,0.16216046,0.100376345,0.15820862,0.28692153,,0.11090916,0.26707622,0.16809192,0.299048,0.18677053,0.20332915,0.14616719,0.36454982,0.116951965,0.22706766,0.17971262,0.25792882,0.3141673,0.17555065,0.2534995,0.50950193,0.31631193,0.36789572,0.35312974,,0.16452102,,0.32801768,0.2408448,0.35566714,0.14400989,0.5206961,0.11692344,0.23606153,0.3820976,0.13883044,0.282532,0.2547499,0.106782064,0.24020521,0.23002557,0.33683488,0.24110919,0.17123479,0.14709416,0.4305246,0.15683822,0.35817787,0.22813347,0.16421616,0.23560792,0.20240517,0.3642431,0.3915866,0.36579406,0.51428884,0.19795458,0.18561487,0.19526544,0.25922683,0.1370438,0.4488378,0.3105229,0.31377396,,0.19497581,0.20139034,0.12972702,0.17556001,0.22158484,0.19192705,0.5687241,0.34999275,0.31444103,0.44201696,0.24758764,0.5299237,0.3740003,0.18625459,0.35278973,0.128829,0.12654355,0.3191333,0.18474954,0.18093674,0.23685408,0.30638954,0.28155556,0.38858342,0.31013575,0.25257996,0.40917686,0.27171203,0.16171257,0.17496014,0.3409647,0.31447953,0.2273125,0.18346277,0.44333994,0.39337265,0.39283875,0.25935096,0.22543071,0.3592492,0.24320321,0.47405118,0.14128348,0.4885379,0.42357934,0.11088018,0.10268669,0.15237123,0.6049704,0.16562201,,0.3823162,0.4407567,0.21445364,0.19926411,0.16075568,0.20735827,0.22917065,0.28330758,0.25146466,0.41099668,0.43405938,0.14079838,0.23753422,0.26716936,0.21139072,0.20125109,0.22800043,0.23740782,0.2318842,0.5993249,0.63398504,0.5288754
