Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,,,2.406,2.684,,-1.78,0.7,,8.162,2.894,2.314,,-6.825,4.444,9.255,4.035,,5.7,7.494,7.1,,,5.013,0.61,9.19,4.371,,4.995,12.02,-2.995,2.163,5.11,7.945,7.91,5.196,9.9,2.405,12.678,4.429,7.383,5.263,0.752,5.92,,1.272,,13.383,-0.744,7.969,-5.4,4.9,3.409,,1.203,,3.997,5.673,-1.694,1.809,,,-2.05,,0.453,2.601,0.705,,4.839,0.679,15.067,3.7,-2.076,10.34,0.599,,7.345,0.215,9.88,6.736,2.898,-21.6,,5.738,3.568,3.099,-4.041,11.069,3.181,,5.572,,,-1.079,1.278,-1.524,,10.004,1.467,,0.606,-0.51,5.847,-0.825,,3.17,,,3.792,,0.788,18.803,9.482,,,3.299,,,,6.443,4.228,,-10.06,0.395,7.444,,4.886,,4.612,,4.515,-2.32,,1.009,6.079,,6.912,4.5,7.661,5.149,,-2.309,-6.0,,6.725,11.712,,-1.016,3.304,,-3.576,5.798,2.5,-0.827,10.113,-2.663,-0.56,-8.625,,,,,-1.08,-6.5,,,4.555,-3.811,-2.253,10.493,-6.008,-2.285,4.601,,,,15.8,10.4,7.4,-0.779,,8.039,3.266,-3.392,,5.999,-0.257,,2.443,-4.947,-3.497,5.451,-6.123,,6.621,3.854,
1981,,,-4.4,5.7,,8.024,-5.744,,3.814,4.127,-0.099,,12.164,-0.279,1.929,2.661,3.802,5.3,2.777,-2.9,,,0.214,0.3,-4.4,-1.9,,13.589,8.154,12.954,3.503,1.631,6.212,5.1,3.498,17.051,0.945,2.613,2.277,5.462,8.452,-2.26,3.051,,0.11,,10.829,-0.741,4.279,3.0,3.9,2.198,,-0.408,,,1.294,6.004,1.186,,-4.0,-0.688,,-3.754,0.61,-9.523,-0.498,5.769,-1.556,1.375,0.644,0.562,9.193,-1.222,,1.056,2.867,7.604,6.007,2.512,-5.697,,4.265,4.723,4.728,4.42,14.973,4.261,,4.1,,,6.122,2.702,7.404,,15.332,0.55,,-20.04,5.105,5.345,3.079,,0.798,,,-2.765,,-9.8,7.886,9.586,,,-4.542,,,,8.376,5.0,,5.882,-5.245,6.942,,-0.178,,5.361,-0.514,1.598,8.341,,2.961,17.096,,6.208,9.207,5.461,3.423,,1.149,-10.0,1.07,3.523,9.17,,-3.894,0.1,,2.472,2.983,6.32,5.07,10.816,-1.797,1.878,-5.725,,,,,-10.314,1.9,,,4.54,6.902,-3.877,8.463,-10.805,-3.419,5.91,,,,14.0,4.577,5.522,4.365,,9.473,0.5,3.859,,1.899,2.537,,4.614,-1.288,5.797,4.375,-9.056,,5.361,6.631,
1982,,,0.0,2.9,,-7.188,-3.149,,-0.084,0.063,1.908,,-1.054,0.595,1.682,1.4,2.376,4.2,6.406,6.3,,,-7.551,-3.939,0.596,-4.9,,8.195,15.874,-3.572,-3.166,-1.34,-13.588,9.0,0.2,7.563,-0.454,2.41,0.948,4.058,2.825,-7.285,6.279,,-0.788,,4.128,3.891,1.7,6.4,1.2,7.296,,1.239,,0.961,3.087,-1.092,2.404,,4.1,1.965,,-8.303,1.8,20.759,4.2,2.202,-1.13,4.107,-3.542,-8.884,2.886,-2.075,,-2.797,2.841,2.246,3.475,1.495,23.171,,2.154,1.424,0.414,3.08,5.846,3.28,,5.052,,,-1.09,6.112,8.468,-9.504,4.715,-36.789,,1.518,2.114,5.233,5.556,,1.039,,,9.619,,-1.9,7.466,-0.05,,,-11.557,,,,8.331,-6.9,,5.497,2.516,5.941,,2.174,,-0.817,-1.283,0.235,3.78,,2.878,11.501,,7.562,5.348,-0.324,3.619,,0.832,-4.846,-3.049,2.163,-1.398,,-8.21,3.9,,-2.468,-16.109,4.127,7.843,7.102,-1.67,1.78,-6.306,,,,,3.093,-6.3,,,1.397,1.439,-2.071,2.583,5.376,-3.708,5.353,,,,12.8,3.799,-0.482,3.429,,4.811,0.6,8.205,,-9.391,-1.803,,4.477,2.645,8.15,1.98,-1.014,,-0.383,-2.912,
1983,,,4.2,1.1,,-5.25,3.733,,5.364,-0.474,2.804,,3.715,0.312,-2.0,-1.2,4.016,3.0,6.994,6.8,,,6.076,-4.042,-3.4,0.5,,7.337,10.793,-6.027,2.562,0.605,-2.802,10.8,-2.5,6.844,1.41,2.393,1.574,3.093,9.521,2.859,5.307,,1.555,,2.556,2.65,4.628,5.4,-2.8,8.876,,1.652,,7.845,3.122,-4.212,1.262,,2.0,4.166,,-6.222,1.3,13.518,-3.4,5.004,-1.078,3.295,-2.528,-11.497,6.015,0.906,,-1.5,0.723,4.193,7.289,-0.729,11.087,,-2.151,2.586,1.169,4.153,1.366,3.63,,1.593,,,-9.778,-2.058,13.467,5.253,3.0,22.71,,-4.709,4.059,3.314,3.049,,1.887,,,-0.557,,0.9,4.414,-4.624,,,3.229,,,,5.792,-15.7,,0.384,3.694,6.25,,-3.864,,4.615,1.758,3.973,-2.978,,-0.124,15.947,,6.788,-4.491,-9.329,1.875,,3.438,5.6,0.468,0.972,-3.043,,-5.329,6.0,,6.035,-10.993,-1.51,-5.326,8.554,3.891,-1.576,1.535,,,,,-3.874,-5.1,,,2.058,-0.547,-0.616,1.605,15.659,-5.156,5.581,,,,5.8,-10.3,4.674,4.758,,9.024,2.4,4.899,,-5.853,4.584,,2.169,-9.856,7.093,3.01,0.485,,-1.847,-1.145,
1984,,,6.0,2.0,,4.451,2.0,,10.165,6.346,0.332,,0.155,2.466,0.4,1.6,5.181,4.6,4.186,2.4,,,11.332,-0.201,5.307,3.6,,7.616,6.517,9.912,5.899,3.067,5.886,15.2,-2.0,7.468,4.844,2.375,3.351,4.167,3.783,8.028,8.837,,2.826,,4.197,4.34,1.253,5.6,4.2,8.021,,1.698,,-2.305,3.213,10.107,1.673,,4.9,2.221,,9.378,1.4,-7.62,5.5,1.011,2.007,3.963,0.51,2.134,10.002,6.327,,0.201,2.658,7.574,3.82,3.204,-7.14,,4.129,2.21,3.226,0.95,5.478,4.411,,1.6,,,13.918,9.651,10.637,5.24,6.438,44.479,,-8.306,8.01,6.725,4.769,,4.73,,,4.337,,1.76,17.379,3.513,,,2.419,,,,5.914,-6.5,,4.775,5.373,7.762,,-16.82,,-1.566,3.118,6.052,9.681,,6.858,13.904,,3.973,2.709,3.801,-7.324,,-0.983,-0.366,7.318,-1.042,2.817,,15.988,6.0,,12.974,-4.007,-5.629,3.746,8.792,0.17,1.7,1.337,,,,,-6.03,-3.0,,,4.347,2.481,4.306,-6.498,5.256,5.881,5.76,,,,44.1,-5.751,5.731,6.823,,10.05,3.4,-3.0,,-1.458,7.236,,6.586,5.223,8.397,9.577,1.98,,5.099,-1.718,
1985,,,3.5,-1.5,,-2.522,-6.951,,7.644,5.456,2.243,,11.784,1.652,4.327,11.3,3.223,1.8,-0.93,4.1,,,-1.419,-1.676,7.901,1.1,,4.349,7.695,3.733,4.738,3.713,1.968,13.501,3.6,8.107,0.464,2.359,3.107,2.779,8.642,0.722,4.746,,2.192,,1.421,4.152,-2.123,5.6,4.4,7.425,,2.362,,-11.413,3.537,-3.774,1.67,,5.8,4.087,,6.433,5.0,3.649,4.3,12.905,2.513,5.988,-0.6,0.366,0.715,5.626,,0.757,-0.253,3.906,5.254,1.947,1.868,,3.293,4.451,2.798,-0.9,-1.088,5.16,,4.073,,,-13.24,6.437,7.939,-4.258,9.122,24.3,,0.607,12.59,4.957,2.956,,5.596,,,6.324,,1.156,13.801,1.919,,,3.243,,,,5.679,1.0,,6.876,4.571,-0.876,,7.718,,-4.084,2.656,5.553,6.145,,1.213,14.523,,8.708,4.942,2.089,-7.307,,3.578,3.862,2.061,1.636,3.872,,-13.031,-0.1,,4.388,-7.212,-0.623,3.283,-0.623,-3.132,-6.74,0.616,,,,,9.3,-0.9,,,2.326,1.924,10.294,7.296,7.897,3.717,4.643,,,,5.6,-4.119,5.668,4.258,,4.808,4.6,-3.0,,0.298,4.169,,6.179,0.867,5.619,1.001,5.826,,-1.212,1.237,
1986,,,2.9,5.6,,-19.269,7.146,,11.494,2.448,2.341,,3.25,1.823,2.748,7.955,4.249,5.3,0.484,2.6,,,7.275,-2.574,7.544,5.1,-2.715,7.954,8.616,7.193,2.121,1.836,5.596,8.9,4.8,6.791,4.72,2.343,5.824,2.071,2.871,5.536,3.583,,2.417,,7.073,4.736,3.522,-0.2,3.094,4.759,,3.432,,9.693,2.726,6.596,2.325,,-2.1,3.108,,6.189,3.114,2.364,-1.0,-2.331,0.515,7.358,0.1,-0.234,11.104,5.331,,0.273,1.535,7.189,4.777,0.424,-9.785,,6.27,3.551,2.86,7.0,5.934,3.294,,6.982,,,-2.466,8.842,11.503,8.565,4.829,-6.773,,-11.353,14.402,4.281,3.769,,9.983,,,8.3,,1.96,8.596,-3.93,,,6.104,,,,9.426,-2.3,,9.742,-0.215,1.153,,6.352,,-1.015,3.126,4.042,4.566,,1.81,2.145,,6.363,3.568,12.106,3.417,,5.654,3.494,8.163,3.32,0.263,,3.706,2.4,,5.501,1.008,9.933,3.113,1.343,-0.201,0.132,0.19,,,,,-5.832,-2.4,,,2.971,18.584,0.762,-4.757,5.966,3.26,5.534,,,,8.8,-3.279,-1.453,6.941,,11.513,6.6,0.946,,7.5,3.463,,5.6,6.08,3.357,-0.149,4.79,,0.018,1.698,
1987,16.079,,4.083,-0.8,,5.304,2.529,,6.626,4.893,1.681,,5.503,2.307,-2.074,-0.236,3.732,4.7,-1.222,3.7,,,21.997,2.463,3.601,2.6,2.009,20.229,14.89,0.0,4.072,1.542,6.581,11.7,-0.5,-2.153,2.671,2.327,5.369,2.078,4.309,4.765,7.139,,1.469,,6.308,0.465,10.117,-0.7,-5.972,4.273,,5.709,,13.87,3.559,-7.194,2.567,,-15.4,5.42,,6.659,3.3,2.8,5.6,4.437,-2.257,9.073,3.579,-0.13,13.395,6.638,,-0.432,4.051,6.572,3.965,3.641,-0.172,,8.546,7.49,3.192,7.7,2.71,4.649,,5.811,,,1.293,8.268,12.892,8.142,-0.96,16.729,,-14.702,3.924,1.454,2.686,,3.951,,,-2.544,,1.175,8.866,2.063,,,2.479,,,,3.542,14.7,,10.163,1.625,5.389,,0.088,,-0.706,1.85,1.754,1.7,,2.436,-3.992,,5.811,-1.809,7.738,4.312,,2.762,2.302,4.917,7.632,4.072,,0.9,0.8,,-0.295,-3.133,6.462,6.094,10.798,8.421,2.382,2.513,,,,,-2.93,-8.8,,,3.302,10.016,4.875,1.251,3.647,-2.484,9.519,,,,1.7,-4.562,6.701,10.027,,12.751,5.9,4.0,,5.91,3.455,,0.438,4.801,2.549,-2.894,0.509,,2.101,1.491,
1988,18.64,,6.129,-1.4,,-2.623,-1.957,,5.213,4.253,0.961,,5.031,4.723,3.428,5.796,2.159,2.4,5.952,2.255,,,10.861,2.91,0.264,3.5,1.097,15.079,23.42,1.718,4.411,3.283,7.288,11.2,1.14,-7.865,0.465,21.908,4.064,4.971,5.997,3.432,8.317,,3.736,,7.817,0.271,2.156,-1.9,10.486,3.994,,5.285,,0.574,5.211,3.462,4.67,,3.5,5.376,,6.468,6.308,1.702,1.958,2.655,4.288,2.916,3.892,-5.981,8.512,1.746,,0.559,-0.065,6.979,9.628,2.998,-6.082,,-0.09,3.564,4.194,-3.993,2.891,6.662,,6.091,,9.616,22.045,10.353,12.133,-10.05,-2.1,-28.209,,7.579,13.899,2.698,7.854,,8.464,,,10.415,,3.407,8.722,1.218,,,0.054,,,,5.146,8.2,,6.791,3.177,9.938,,6.871,,-12.4,4.585,-0.255,7.697,,0.555,5.245,,6.436,-13.38,-9.422,6.753,,2.909,3.285,6.508,5.34,5.881,,4.7,-0.5,,0.296,6.6,4.292,-0.592,11.264,1.25,2.058,1.878,,,,,1.999,10.8,,,2.468,7.571,5.326,12.721,7.544,10.124,13.288,,,,-3.5,-3.92,0.071,2.121,,8.024,4.4,8.294,,0.496,4.177,,14.075,6.51,5.1,-1.695,2.871,,4.2,9.271,
1989,12.095,,0.042,9.8,,15.733,-7.007,,5.252,4.633,3.887,,1.349,3.469,-2.849,2.15,2.612,-0.5,1.013,2.3,,,15.474,3.79,3.2,3.6,-1.074,6.194,4.665,3.79,2.337,4.431,10.605,4.2,2.95,-1.77,-1.26,21.269,3.414,-0.917,5.698,5.666,8.088,,3.913,,-0.191,0.696,4.401,4.8,0.285,2.993,,5.004,,-0.457,5.087,13.888,4.585,,15.431,2.402,,4.541,4.003,4.331,2.925,-1.229,3.799,3.758,3.943,-4.944,2.277,2.728,,-1.131,0.736,9.085,5.947,5.614,6.132,,0.258,1.419,3.389,4.7,-10.661,4.926,,4.554,,3.327,-7.292,6.013,7.165,25.896,9.893,-42.195,,7.199,8.983,2.25,5.992,,9.798,,,2.366,,4.075,9.292,3.625,,,10.692,,,,4.183,6.5,,4.465,1.345,9.06,,0.957,,-1.694,4.481,1.038,4.328,,0.428,2.983,,4.808,1.562,-13.422,6.205,,-1.424,3.812,4.94,6.649,5.817,,5.3,-5.8,,-5.706,0.415,1.423,3.978,10.159,4.264,4.952,0.962,,,,,3.135,2.3,,,2.658,9.408,10.286,-6.067,1.952,4.1,12.194,,,,1.1,-0.83,2.579,0.253,,8.722,3.8,6.403,,1.104,3.672,,1.406,-13.92,7.8,1.533,5.819,,2.395,-3.658,
