Date,ABW,AFG,AGO,AIA,ALB,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,,,,,,,,,15.6519,10.475486,,,17.207607,,1.4996141,,,0.59084195,0.0,,,,,,,,,9.729932,,14.580739,10.243791,,,2.1759691,,,,,3.1092036,2.4278846,,4.4631853,,12.727033,,,22.860706,2.0998616,1.5054607,,,5.759894,,13.816222,9.756098,6.6446943,,,11.787214,,,,,1.1141763,,4.0526385,,,,,,,,,,,11.178478,,7.3514237,,8.896912,,,11.263199,,,,,,,4.288674,1.7130345,,,,,,,2.4292252,,,14.314194,,,3.5392659,,,,4.3851285,,,1.5613785,8.627892,0.44095558,,,1.1801243,,2.9056604,,9.029101,,2.4668636,,,13.17309,17.543413,0.37310404,22.920542,,,1.52381,,5.1764708,,,,,4.361927,,,,,,,,,,7.9938154,,2.1332586,,,,,2.7097902,,,,18.985657,,,,,,2.4617088,,,,,,,6.9428573,,,0.20035619,,2.0099099,12.743982,,,14.935667,,,,,11.548458,,11.255882
1981,,,,,,,,,16.135761,10.88902,,,17.1592,,1.4638877,,,0.89180326,0.0,,,,,,7.3181615,,,11.336968,,14.759555,10.372852,4.9358497,,2.4925447,,,,,3.9360707,2.5970857,,4.0508847,,12.163817,,,22.749224,1.9199835,1.8402638,,,5.4501076,,15.232826,9.877623,6.84005,,,12.373649,,,,,0.991153,,4.0139236,,,,,,,,,,2.0932224,11.493585,,7.0797844,,10.148816,,,11.238061,,,,,,,4.3561077,2.1878107,,,,,,,1.9508865,,,13.806645,,,3.7359715,,,,4.2286825,,,1.8181577,8.8840275,0.42540196,,,1.6666666,,3.440258,,9.248757,,,,,12.495868,18.513039,0.4544307,24.177242,,,1.7317227,,2.6741574,,,,,5.1103187,,,,,,,,,,9.001055,,,,,,,1.0959753,,,,19.287128,,,,,,2.747373,,,,,,,7.2090907,,,0.13751376,,1.4469388,12.70174,,,21.734524,,,,,10.471134,,12.240909
1982,,,,,,,,,15.267529,10.362057,,3.4883597,17.991598,,1.3534696,,,0.7548347,0.0,,,,,,7.321657,,,8.502135,,14.545019,10.627625,5.4108033,,2.5950046,,,,,5.3046756,3.0113103,,3.9997633,,12.054813,3.770032,,22.473648,1.6759408,1.5099832,,,5.5930686,,14.994291,9.950249,6.9055758,,,12.786659,,,,,0.7387357,,4.377174,,,,,,,,,,2.0443065,11.328615,,7.1318293,,11.091762,,,11.35241,,,,,,,4.4591756,1.4644351,,,,,,,2.407386,4.296742,,15.260942,,,3.2269595,,,,3.6374633,,,1.4723082,9.356511,0.47758928,,,2.8985507,,3.0828657,,8.855576,,,,,12.2217045,17.86459,0.5497784,24.153627,,,1.7540759,,2.5067568,,,,,5.45585,,,,,,1.7987218,,,,9.790766,5.775401,,,,,,,,,,19.460344,,,,,5.6318874,2.810572,,,,,,,7.3428574,,,,,1.0337663,12.358275,,,15.12828,,,,,10.780909,,13.5903845
1983,,,,,,,,,14.904591,10.028636,,3.0928135,18.022526,,1.3995215,,,0.8404385,0.0,,,,,,8.612228,,1.2459016,10.077969,,14.066639,10.798376,3.7335362,,2.6855874,,,,,5.1331077,3.6560116,,4.611422,,11.804472,3.5199893,,23.160925,1.6497548,1.3412458,,,6.0608225,,15.01561,10.509296,6.914051,,,12.445718,,0.42380953,,,0.69019806,,3.845077,,,,,,,,,,1.9089919,11.407057,,6.707792,,12.147583,,2.5583982,11.564885,,,,,,,4.145514,1.5124116,,,,,,,2.2624161,3.7356985,,17.046558,,,3.4167929,,,,3.3146255,,,1.4062876,8.995082,0.49941796,,,3.2575758,,2.818117,2.2656028,9.562151,,1.4785925,,,11.20193,16.6425,0.5963257,22.199255,,,1.6424286,,1.5927273,,,,,6.0616817,,,,,,1.7997059,,,,9.362026,5.0961537,,,,,,,,,,18.92442,,,,,5.327511,2.806965,,,,,23.047379,,6.2157893,,2.527228,,,1.59,10.882314,,,12.445907,,,,,10.750973,,12.423809
1984,,,,,,,,,15.762591,10.404237,,3.2235284,18.528189,1.779991,1.5665683,,,1.0909091,0.0,,,,,,7.966039,,1.7004504,14.075783,,14.001507,11.145777,3.092177,,2.3367977,,,,,4.65235,2.9368844,,4.7888184,,11.841991,3.3427162,,24.4433,1.6254203,1.2051252,,,6.390037,,15.402225,10.934106,6.955283,,,12.370324,,0.6548387,,,0.7793077,,4.450403,,,,,,,,,,1.8140305,11.954004,,6.8207855,,11.794853,,2.533819,11.818153,,,,,,,3.9347105,1.3696498,,,,,,,2.9132202,3.7685823,,16.042362,,,3.488143,,,,3.5293434,,,1.2925491,8.205919,0.5462764,,,3.0344827,,2.781483,2.24994,9.183369,,1.502357,,,10.4805565,16.503122,0.61063415,21.608946,,,1.406448,,1.574074,,,,,5.8578267,,,,,,1.5791125,,,,8.272226,6.1904764,,,,,,,,,,18.678585,,,,,6.359321,3.046922,,,,,12.039922,3.9493887,4.8199997,,2.3206115,,,1.1073846,10.827957,,,15.141871,,,,,11.062481,,13.3671875
1985,,,,,,,,,15.844667,10.885875,,2.9168968,18.22321,1.7251492,1.1478164,,,1.2554382,0.0,,,,,,7.5873017,,1.6533467,13.483658,,14.176635,10.642386,3.0334911,,2.2376313,,,,,3.7408261,2.6099813,,5.0924993,,12.514627,4.13296,,25.50521,1.6228026,1.2714207,,,6.6273937,,15.963989,10.238429,6.7174716,,,12.461626,,0.89771086,,,0.8106105,,4.3301125,,,,,,,,,,1.8761836,11.741102,,6.2417936,,11.910893,,,12.038179,,,,,,,4.1248407,0.5426357,,,,,,,2.8117545,4.170283,,17.130602,,,3.4049776,,,0.43112513,3.4064612,,,1.4047837,8.242965,0.61650014,,,2.2051282,,2.306139,2.4678879,,,1.6907581,,,10.383439,16.64112,0.53876364,23.388813,,,1.3178236,,1.6219739,,,6.707692,,6.1956515,,,,,,1.6036007,,,,7.104226,,0.85011184,,,,,,,,,18.78789,,,,,5.803619,3.0911956,,,,,11.549342,4.058328,4.179167,,2.084373,,,1.5010453,11.185826,,,17.367039,,,,,12.190674,7.545,9.937363
1986,,,,,,,,,16.791777,11.045188,,3.2328658,17.897478,2.277902,1.4888169,,,1.5170771,0.0,,,,,,7.340186,,1.6818379,19.743954,,15.062188,11.162598,2.9735336,,2.6084697,,,,,4.05301,2.389602,,4.7782626,,12.294321,3.4445612,,26.488247,1.7860118,,,,6.5071797,,16.84617,,6.895236,,,12.446525,,1.12968,6.9896073,,0.5807817,,4.571979,,,,,,,,,,1.8641818,12.524333,,6.8075333,,12.2410555,,,12.297342,,,,,,,4.0257764,0.5573707,,,,,,,2.1800115,3.6689153,,15.72549,,,3.1688287,,,0.40852576,3.6545649,11.607142,,1.4430982,7.550738,0.74956816,,,2.0465117,,1.7448608,2.7115169,,,1.7241268,,,11.004046,16.00345,0.58188105,23.769455,,,1.2798263,,3.2793126,,,6.290041,,5.2582974,,,,,,1.6676899,,,,5.3236494,,0.49170253,,,,,,,,,20.058222,,,,,5.6955028,3.045788,,,,,10.166885,4.276274,4.944286,,2.084917,,,1.6934457,11.063809,,,9.501423,,,,,11.748141,8.929286,10.2846155
1987,,,,,,,,,16.890978,10.611882,,2.9758587,17.664442,2.2034523,1.8142914,,,1.4013206,,,,,,,5.828471,,2.002089,19.656176,,16.14717,10.797474,2.4612787,,2.7537572,,,,,3.735867,2.3122156,,4.885826,,12.2374325,4.3126535,,26.96171,1.6997285,,4.3581834,,8.455608,,15.150273,,7.0410404,,,11.576048,,1.3307735,8.949204,,0.474308,,4.616687,,1.4451233,5.9504714,,,,,,,1.8003279,13.2023325,,6.4159784,,12.256503,,,13.179508,,3.0917215,,,,,4.540427,0.27274185,,,,,,,2.039553,4.1266365,,15.502569,,,3.5425463,,,0.26219955,3.4478183,10.1587305,,1.0958161,6.8947554,0.65339017,,,2.1789322,,2.0977662,2.5351439,,,1.5879486,,,11.478704,14.023391,0.5719182,22.127281,,,,,,2.76845,,6.9160995,,4.7391195,1.502737,,,,,2.1060562,,,,5.431394,,0.6465185,,,,,,,,,20.412409,,,,,4.436704,2.6607668,,,,,9.072799,3.7913084,4.865049,,1.7539781,,,1.5406924,12.009001,,,10.454934,,,,,11.294327,7.3172727,12.105357
1988,,,,,,,,,16.928762,10.28537,,3.3115616,16.939503,1.9906609,1.7573088,,,0.90207714,0.0,,,,,,5.5266047,,2.032267,16.475689,,15.6813545,11.049515,2.5849228,,2.6517217,,,,,3.4918299,2.288056,,4.9150333,,12.166193,4.563826,5.887446,28.254269,1.9593183,,4.2858686,,8.510063,,16.460531,,6.658777,,,11.554149,,1.6013439,7.262916,,0.38705796,,4.4717407,,2.0567482,7.352266,,,,,,,1.9801201,14.125362,,8.094937,,12.291151,,,13.619119,,3.2677162,,,,,4.729829,0.24250823,,,,,,,1.7110035,3.9162066,,14.63223,,,3.7382164,,,0.36421725,4.020005,9.295774,,1.1161766,6.8906994,0.75453645,,,2.643885,,2.3531773,2.155782,,,1.8618935,,,11.65507,14.058011,0.63327706,21.619995,,,1.175811,,,3.0550065,,6.129859,,5.7831035,1.3500863,,,,,2.294308,,,,5.423716,,1.143756,,,,,,,,,21.457624,,,,,4.2371182,3.0936108,,,,,9.777044,3.4308875,4.424719,,1.7687862,,,1.7283181,11.606105,,,10.571005,,,,,11.309373,5.8638234,11.819149
1989,,,,,,,,,16.509932,9.433854,,2.7867572,15.428824,1.7087445,1.7369344,,,0.9499431,0.0,,,,,,7.283767,,1.8531128,18.093052,,16.47555,10.520303,2.5426767,4.6433463,2.2335322,,,3.9592237,,3.4370794,2.2434309,,5.3684754,,12.625949,4.276892,5.4,27.973337,2.3323095,,4.2041783,,10.052278,,16.172703,,6.6208205,9.259259,,11.701355,,1.3354361,7.777211,,0.49121058,,4.194689,,1.7513686,4.661741,,,,,,,1.9470912,11.786215,,8.34989,,13.103211,,,14.077861,,3.1972244,,,,,5.58088,0.22399552,,,,,5.2322927,,1.670409,4.407275,,14.118587,,,3.9402883,,,0.29152915,4.276958,11.780822,,1.2082206,6.8418756,0.6580527,,,2.5773196,,2.8109674,2.7133522,,,1.7574729,,,11.230129,13.219604,0.80486375,22.819065,,,1.2061385,2.7925532,,3.6310682,,8.692752,,7.0355887,1.3374957,,,,,2.1043856,,,,6.230733,,0.9338363,,,,,,,,,21.094908,,,,,4.7806096,3.4005585,,,,,7.14859,3.5972593,4.884345,,2.157033,,,1.4295557,11.930073,,,12.111391,,,,,11.971277,6.799333,11.0011425
