Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,0.3,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,0.4,,,,,1.5,,,1.1,,,,,,,,,,,,,,,,,,,,,,,0.6,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,0.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,1.3,,,4.0,,,,,,,,,,,,,,,,,,3.3,,,,,1.6,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.9,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,1.4,2.9,,,4.6,,,,,,,,,,,,,,,,,,4.6,3.1,,,,,,,,,,,,,,,,,2.9,,,,,,,,,1.3,,,,,2.4,,,4.3,,,,,,,,,,,,,,,,,,3.2,,,,,3.6,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.2,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
1970,,,,,,,,1.45809,,,,,4.14716,,,,,,,,2.01217,,,,,,,,,6.23915,,,,,3.39253,,,5.86539,,,5.7323,,,,,,,,,,,,,,5.95553,2.64079,,2.00283,,,1.83301,,,5.41349,,3.42974,,,,,,,,,,1.5465,,1.85872,4.32898,,,,,3.45141,,,,,,,,3.36681,,3.63004,,,,,,4.79313,,3.41404,,,,,,,,,,,2.30026,,,,,,,,,,,,,,,,,,,,,,,,2.03859,6.22115,,,,,,,4.04328,,,,,,,,2.10519,,,,,,,,,,,,,,,,,,,,,,,,4.18848,,,,1.49681,,,,,,,,,,,,4.57293,,,,,4.16287,10.57367,,,,,,4.38781,
1971,,,,,,,,,,,,,4.28235,,,,,,,,2.30781,,,,,,,,6.15065,4.99502,1.87579,4.38724,,7.6843,3.49645,,1.38874,,3.07987,,5.55095,9.03783,,,,,,,,,,,,,6.39356,,,1.8794,4.52992,,1.88928,,1.19767,5.33138,,3.17421,,,5.03205,,4.22444,,,,,1.30246,,2.02554,,2.36815,,,,3.43639,,,4.48641,2.77034,,,,2.89877,,3.29769,3.57863,,3.92982,,,4.26643,,3.73918,3.28734,,,,,,,,4.64155,,2.85506,,,,,,,,,,,,6.15197,,,,,6.4943,3.11274,,4.55094,,1.05227,,2.49203,6.3282,,,,,,1.65422,3.35392,,,,,,7.25052,,2.26544,,3.00028,,,,,,,3.10976,3.4,,,,,,,,,,,,,,4.06639,,,,,3.06622,,,,,,,,,1.7237,3.16105,,,,,,4.17992,8.93536,,,,,,6.09535,
1972,,,,,,,,1.9362,,,,,4.45015,,,,,,,,2.02393,,,,,,,,6.79072,4.03929,1.65056,3.90639,,7.58984,3.65763,,1.60476,7.53186,3.36389,,,,,,,,,,,,,,,,6.48131,,,,4.5379,,2.06465,,1.31443,5.00819,,3.35918,66.90031,,5.15938,,4.6214,,,,,,,,,2.29561,,,,3.36103,2.78821,,4.6169,2.76672,,,,,,2.38743,3.9261,,4.47634,,,,,3.22075,2.81575,,,,,,,,4.52651,,2.7408,,,,,,3.21737,,,,,,5.54999,2.8651,,,,,3.07092,,,,,,,6.31849,5.90406,,,,,1.56882,3.98282,,,,5.24716,,7.21458,,,,2.69144,,,,,,,2.86827,,,,,1.10284,,,,,,,,,,4.24694,3.58356,,,,3.02915,,,,,,,,,1.74755,,,,,,,4.83729,,,,,,,5.94579,
1973,,,,,,,,1.78052,,,,,4.51547,,,,,,,,,,,,,4.1079,,,6.72242,8.79329,,3.26279,,7.01387,3.91472,,1.65082,7.04561,,,5.23845,,,,,,,,,,,,,,6.26611,,,,,,,,,5.09338,,3.23003,,,5.44861,,,,,,,1.11262,,,,2.18337,,,,3.40099,,,4.60856,2.87668,,,5.13425,,3.63144,2.48694,3.95708,,4.65052,,,,,2.68022,3.30369,,,,,,,3.3164,4.86656,,2.81235,,,4.67169,,,2.71115,,,,,,5.2697,3.27381,,,,,2.78133,,,,,,,5.84295,5.89172,,,4.75323,,1.83042,3.48575,3.39172,,,,,6.47993,1.63392,,,2.86783,,,,,,,2.48882,,,,,1.33888,,,,,,,,,,,3.68991,,,,2.55425,,,,,,,,,1.87658,3.35023,,,,,,,7.24023,,,,,,5.48807,
1974,,,,,,,,1.92352,,,,,4.65594,,,,,,,,,,,,,,,,7.52375,3.39271,,3.67424,,6.66716,4.11416,3.75121,1.76115,5.69039,,,,,,,,,,,,,,,,,6.58151,,,,5.22667,,1.45956,,,4.48231,,4.24202,,,5.391,,3.80271,,,,,1.33609,,,,2.36029,,,,3.60736,,,4.68603,2.69034,,,5.68191,3.83514,4.24897,3.55769,3.95421,,5.06551,,,3.13511,,,3.5216,,,,,,,,4.23424,,,,,4.27549,,,2.67376,,,,,,4.4931,,,,,,,,,,,3.21017,,6.33589,5.67366,,,4.7468,,1.88065,3.8198,,,,,,7.2869,1.93536,,,,,,,,,,2.38852,,,,,,,,,,,,,,,4.28333,,,,,2.14687,,,,,,,,,1.91419,3.39092,,,,,,3.94796,,,,,,,4.87801,
1975,,,,,,,,1.8436,,,,,5.12796,,,5.76282,,,,,,,,,,3.43442,,,,1.96134,3.09239,5.64943,,6.42132,4.37446,3.59473,1.7085,6.78574,,,7.74302,,,,,,,,,4.33502,,,,,6.71313,,,,4.89243,,,,,5.03324,,4.42854,,,6.26878,,4.87654,,,,,1.46085,,,,2.4492,,,,3.73231,,,,2.96557,,,5.77594,3.71161,5.22879,3.76348,4.56981,,5.60612,,,,,2.08925,2.13554,,,,,,,2.74455,,,3.42303,,,5.21271,,,2.51668,,,,,,4.42221,1.98739,,,,,2.51991,,,,,3.06369,,6.37166,5.55022,,,5.16753,,1.98008,4.15451,,,,,,6.22974,3.06246,,,,,,,,,,2.43949,,,0.90451,,,,,,,,,,,,4.34502,3.93451,,,,2.38088,,,,,,,,,,3.22103,,,,,,5.19851,,,,,,,6.23854,
