Date,AFG,AGO,ARG,AUS,AUT,AZE,BDI,BEN,BFA,BGD,BGR,BLR,BTN,BWA,CAF,CHE,CHN,CIV,CMR,COD,COG,CZE,ERI,ESP,ETH,FRA,GHA,GIN,GMB,GNB,GRC,HRV,HUN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KGZ,KOR,LBY,LKA,MAR,MDA,MDV,MEX,MKD,MLI,MMR,MOZ,MRT,MWI,NAM,NER,NGA,NPL,OWID_CZS,OWID_ERE,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,POL,PRK,PRT,RUS,RWA,SAU,SDN,SEN,SLE,SRB,SSD,SVK,SVN,SYR,TCD,TGO,TJK,TUR,TWN,TZA,UGA,UKR,USA,UZB,VNM,YEM,ZAF,ZMB,ZWE
1961,0.80850005,0.7738,1.2939001,1.0090001,1.5315001,,0.93020004,0.305,0.3168,0.66550004,0.6595,,0.74600005,0.44750002,0.3125,,0.9743,0.54,0.9444001,0.6786,,,,1.6319001,,1.3159001,0.66670007,1.4286001,1.2025001,0.66670007,0.9696,,0.43850002,0.41410002,1.0588001,0.565,,1.5813001,,1.7333001,,0.46690002,0.58820003,0.6204001,0.3512,,0.8824001,,,0.64320004,0.246,0.5263,0.20830001,,0.2264,0.47310004,0.6064001,0.9265,1.2375001,0.4828,,0.69890004,0.59250003,1.0164001,0.44470003,1.2059001,0.94290006,1.7738001,,0.70600003,1.0286,,0.45290002,1.6288002,,,,,0.6244001,0.55420005,0.40820003,,1.3265,1.0453001,0.8056,0.80920005,,1.1546,,,1.2404001,0.6,0.57390004,0.46310002
1962,0.81630003,0.8046,1.3505001,1.1012,1.5968001,,0.93020004,0.32970002,0.43800002,0.64390004,0.39470002,,0.74500006,0.5,0.64710003,,0.82170004,0.6,0.74770004,0.6538,,,,1.5972,,1.0744001,0.65000004,1.5714,1.2014,0.66670007,0.52250004,,0.6377,0.43120003,1.0588001,0.615,,1.4908001,,1.7333001,,0.48470002,0.8824001,0.78370005,0.5198,,0.8696,,,0.67300004,0.3318,0.5263,0.21470001,,0.2264,0.5076,0.5684,0.9444001,1.2243001,0.4828,,0.59550005,0.5619001,0.82150006,0.49710003,1.0345,0.95830005,1.7260001,,0.5998,0.98670006,,0.4539,1.6646,,,,,0.8223,0.5052,0.3688,,1.2245001,1.2628001,0.81820005,0.81130004,,1.1717,,,1.2454001,0.70000005,0.5776,0.583
1963,0.82350004,0.8046,1.0630001,1.1507,1.6043001,,0.93100005,0.35870004,0.3835,0.7066,0.8234001,,0.73,0.5,0.64710003,,0.88000005,0.56670004,0.76320004,0.6538,,,,1.5956,,1.2886001,0.6729001,1.2857,1.1407,0.66670007,0.5867,,0.71300006,0.43530002,1.0588001,0.71930003,,1.6667,,1.7333001,,0.5295,0.7059001,0.6129001,0.63690007,,0.89290005,,,0.5496,0.3874,0.5263,0.2132,,0.22680001,0.5146,0.6618,0.92750007,1.1999,0.4828,,0.42570004,0.57170004,0.998,0.48850003,1.1111001,0.9846,1.7241001,,0.67,0.9868,,0.46640003,1.6159002,,,,,0.85400003,0.71330005,0.48630002,,1.2245001,0.7383,0.7978,0.8144001,,1.25,,,1.0134001,0.55,0.5508,0.59520006
1964,0.8302001,0.83330005,1.1277,0.961,1.9223001,,0.9318,0.33660004,0.46870002,0.74850005,0.6844001,,0.7304001,0.8951,0.6111,,0.98590004,0.61670005,0.76320004,0.66670007,,,,1.7224001,,1.0684,0.67260003,1.4286001,1.1242,0.66670007,0.81820005,,1.0146,0.45010003,1.0588001,0.88600004,,1.5387,,1.7333001,,0.5404,0.58820003,0.67880005,0.55,,0.9091,,,0.68590003,0.28360003,0.5263,0.2132,,0.22730002,0.57030004,0.61640006,0.91300005,1.2009001,0.49520004,,0.9017001,0.62950003,0.8967001,0.48960003,1.2273,0.95830005,1.7256,,0.57310003,1.0,,0.48630002,1.6307,,,,,0.89360005,0.5888,0.51790005,,1.2927,1.1161001,0.605,0.81290007,,1.2526001,,,1.0914,0.5,0.5833,0.59520006
1965,0.8364001,0.73170006,0.9843,1.1091,1.4873002,,0.9412001,0.34320003,0.39380002,0.9585,0.38510004,,0.7243,0.2045,0.7857,,0.9451,0.5583,0.74770004,0.66670007,,,,1.9284002,,1.1522,0.47670004,1.4286001,1.0727,0.72220004,0.9301,,0.6393,0.34510002,1.0588001,0.8058,,1.5907,,1.7333001,,0.49080002,0.58820003,0.71650004,0.5029,,0.9211,,,0.7709001,0.3185,0.5263,0.1923,,0.22500001,0.43620002,0.58970004,1.2,1.2009001,0.5,,0.624,0.53580004,0.7544001,0.44050002,1.2,1.0,1.7204001,,0.5665,1.0,,0.47790003,1.6,,,,,0.9628,0.5093,0.47260004,,1.3333001,1.0667,0.68590003,0.9001,,1.2727,,,1.0064001,0.6,0.595,0.64870006
1966,0.8421,0.8046,1.1411,0.8629001,1.9328002,,0.92050004,0.3538,0.38750002,0.9538,1.1711,,0.72,0.4233,0.75000006,,1.2857,0.6,0.83620006,0.66650003,,,,2.0476,,1.5581001,0.58870006,1.4286001,0.9576,0.625,0.906,,0.6391,0.3964,0.81820005,0.91950005,,1.5385001,,1.8378001,,0.59970003,0.7059001,0.5511,0.38210002,,0.91330004,,,0.73700005,0.2675,0.5263,0.20920001,,0.2222,0.483,0.42990002,1.2,1.2504001,0.4948,,0.87640005,0.6244001,1.5962,0.44320002,1.2273,1.0,1.7217001,,0.6,0.98770005,,0.4065,1.4706,,,,,0.5432,0.6061,0.45180002,,1.3333001,1.0091001,0.669,0.90730006,,1.2745,,,0.90440005,0.6,0.60480005,0.54050004
1967,0.8475,0.83330005,1.1902,1.2155001,1.8850001,,0.9222001,0.3808,0.36290002,0.8886,0.89820004,,0.71840006,0.39970005,0.64290005,,1.2857,0.5068,0.72120005,0.58370006,,,,2.2376,,1.5679001,0.5946,1.4857,1.0364001,0.6417,1.0,,0.6408,0.4498,0.66670007,1.0318002,,1.5563002,,1.8800001,,0.48830003,0.7059001,0.61800003,0.46970004,,0.8964001,,,0.80160004,0.26770002,0.5263,0.20920001,,0.22000001,0.53620005,0.5908,1.1107,2.0202,0.4973,,0.7785,0.6592001,1.5739001,0.453,1.2857,0.9091,1.7225001,,0.6,1.0,,0.5261,1.3846,,,,,1.0155001,0.6106,0.4,,1.3095001,1.1998001,0.6061,0.9371,,1.2963,,,1.3750001,0.6,0.60480005,0.47220004
1968,0.88140005,0.84620005,1.0888001,1.0203,2.2513,,0.9444001,0.3934,0.60050005,0.7986,1.0875001,,0.717,0.62420005,0.5833,,1.25,0.48610002,0.68,0.625,,,,2.7301002,,1.7324001,0.5211,1.4286001,1.0491,0.59090006,1.0643001,,0.6359001,0.381,1.0556,0.99520004,,1.7946,,1.7568002,,0.67020005,0.7059001,0.60480005,0.8833,,0.83330005,,,0.7303,0.3089,0.5263,0.2185,,0.22860001,0.38660002,0.5876,1.1158001,1.4230001,0.50420004,,0.8033,0.61980003,1.7366,0.44840002,1.3158001,0.98,1.7241001,,0.45000002,0.8118,,0.39660004,1.3333001,,,,,0.9089001,0.6168,0.56630003,,1.325,1.2469001,0.61190003,0.9984001,,1.3253001,,,1.4286001,0.6818,0.6,0.5263
1969,0.8571,0.8571,0.9919001,0.6715,2.2480001,,0.9333,0.3564,0.4399,0.79590005,1.4664001,,0.717,0.65540004,0.81820005,,1.2319001,0.5116,0.73440003,0.64710003,,,,2.8716002,,1.8607,0.50170004,1.4286001,0.9509001,0.54550004,1.0197,,0.7925,0.4586,0.75000006,0.9321,,1.6867,,1.6,,0.7994001,0.7059001,0.7823,0.29870003,,0.71250004,,,0.8216,0.30420002,0.5263,0.22800002,,0.22730002,0.48220003,0.628,1.1135,1.4295001,0.5066,,0.896,0.6703,1.5328001,0.48020002,1.2174001,0.9474001,1.7241001,,0.5,1.1712,,0.5681,1.2069001,,,,,0.83570004,0.67520005,0.63750005,,1.4249,1.3233001,0.6473,1.1462001,,1.3248001,,,2.0,0.6818,0.62990004,0.4595
1970,0.8485,0.83870006,0.95150006,0.89710003,2.6006002,,0.88000005,0.30060002,0.46960002,0.78190005,0.96360004,,0.72220004,0.0702,0.75000006,,1.411,0.45450002,0.6783,0.7346,,,,2.5833,,1.4900001,0.5673,1.3714001,1.0983001,0.54550004,0.81820005,,0.84920007,0.6035,0.8,1.042,,1.8333001,,1.7333001,,0.78110003,0.7059001,0.5456,0.8571,,0.88850003,,,0.7583,0.30070004,0.5263,0.19080001,,0.22730002,0.377,0.6253,1.1264001,1.4492,0.5091,,0.71720004,0.7375,1.5476,0.4733,1.1818001,1.0,1.5000001,,0.69990003,1.1818001,,0.3815,1.1224,,,,,0.52370006,0.6546,0.58290005,,1.2349001,1.3304001,0.7266,1.3454001,,1.3274001,,,1.5902001,0.6818,0.57600003,0.5641
