Date,ABW,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BRA,BRB,BRN,CAN,CHE,CHL,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GIB,GMB,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JOR,KAZ,KEN,KGZ,KHM,KIR,KOR,LAO,LBN,LBR,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLT,MMR,MNG,MOZ,MRT,MUS,MYS,NAM,NER,NLD,NOR,NRU,NZL,OMN,PAN,PER,PHL,POL,PRI,PRK,PRT,PSE,QAT,ROU,RWA,SAU,SDN,SGP,SLB,SLE,SLV,SMR,SRB,STP,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,THA,TUN,TUR,TUV,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,WSM,ZAF,ZWE
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62064,,,,,,,,,,,,,,,,,,,,,,,,24.39996,,,,,,,,,,,,,,,,,35.21876,,,,,38.01267,,,,,,,31.06572,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,36.36364,,
1999,16.41791,37.5,,,,,,,,33.85777,,,,,,,,47.53079,,,,,,,,52.30769,,13.3496,,,,,,36.0,,,,,38.73626,25.69123,20.88006,30.68331,,,,,9.41176,32.70938,34.81117,10.97345,25.65317,,,40.16721,,0.0,,,,,,,,34.06054,25.43698,,,38.64916,,,35.40856,29.23401,37.3731,,,,50.47749,,,30.41273,20.05141,,,,,,38.61171,,36.52052,,,,,,0.0,,41.94952,,,51.26371,,,,,,,17.89371,25.76714,0.0,,,,,,,,,,43.15652,,32.09496,,,,,,,,,,0.0,29.94529,22.76622,29.1978,51.02041,,0.0,,,,,30.36771,0.0,26.29505,,,,,,,,,36.70886,,
2000,14.7541,,32.43243,,,,,,,33.79698,,,,25.38194,,,,47.19719,,,,,,,,48.83721,,14.73104,,,,,,0.0,,,,,,27.36187,21.67118,32.2884,,,,,8.08824,31.81207,36.40351,7.81759,27.83374,30.46987,32.31279,42.34673,,0.0,,,,,,,,,24.82314,,,37.90796,,,37.89174,,36.83942,,,19.92685,,25.0,,31.88768,,31.68779,57.54509,,,,36.45787,,32.2841,,,,,,0.0,31.55822,41.40234,21.51899,,49.49281,,,,,,,18.21409,27.4945,0.0,,,,,,,,,39.63798,44.67253,73.8676,35.0943,,,,,,58.97436,,,,0.0,32.28424,,32.57932,50.0,,0.0,,4.08163,,,31.52566,0.0,16.81796,,,,,,42.80571,,,18.18182,,
2001,10.81081,,,,,,,,,,,,0.0,24.31775,,,,41.94868,,,,,26.66667,37.93921,,42.74809,,15.2314,,,,,,,,31.85756,,,,27.53683,22.41421,28.7409,,,,,,31.70358,34.7398,,27.43395,,32.75802,41.88355,,,,,,,,,,38.61195,30.32218,,,36.40873,,,35.62341,,38.69916,,,18.62523,45.4425,21.68285,,31.99411,15.60284,32.53864,,,,,36.97444,,41.5034,,28.13547,,,,0.0,32.2907,41.34241,26.94301,,49.76744,,,,,26.5625,5.88235,18.049,26.00526,0.0,,,,,,,,,,43.78895,51.86567,35.61122,,,,,,,,,,0.0,33.22373,24.20016,34.14144,48.97959,,0.0,,,,,31.54086,0.0,,,,,,0.0,,,,,,
2002,22.58065,40.625,,30.0,,,,,,31.66033,,,,25.22465,,,28.55921,40.58137,,,,,,37.39032,,,,16.09121,,,,,36.78437,,,29.82132,,,35.38874,28.85198,23.12765,28.62705,,,,,3.19149,31.35196,42.65474,11.37175,28.22293,29.93149,33.02892,39.13906,,,,,,31.91489,,,,36.09626,30.17799,,,35.5581,,,33.33333,,34.88802,,,,48.44002,18.12227,,33.31327,,32.00305,,,,,38.03982,,40.45773,,,,,,0.0,33.12058,44.36759,26.70807,,51.50798,,,,,,,18.49097,27.5803,0.0,,,40.52117,,,,,,42.71377,,45.67308,,,,,,,,32.91782,,,0.0,34.21196,24.62399,35.08593,37.77778,,,,,,,30.77118,0.0,,,,,,0.0,,,,,,
2003,12.2449,,44.20063,23.52941,,,,,,31.84937,,,,,,,23.77152,43.11235,50.0,,,,,37.12818,,48.4375,,15.37868,,,,,,,,,,,27.63819,29.54293,,30.42347,,,,,8.78788,31.06306,45.69288,12.05734,30.54386,30.56883,34.43641,39.72916,,,,,,,,25.49941,49.4929,34.84981,29.0117,,,34.7697,,,35.83535,,36.25829,,,,44.3038,,,31.42225,,,,36.0,,,36.90655,,38.87353,,,,,,,34.4284,41.07807,26.73797,,51.75585,,,,,33.58209,,,,,,,18.94143,,,,,,43.44526,45.26528,47.36842,,,,,,,,34.74918,,,0.0,35.23083,25.77556,34.55593,,,0.0,,,,,31.68932,0.0,,,,,,0.0,,,,,,
2004,18.18182,,,11.76471,,,,,,,,,9.90991,,,,,42.8924,,,,,,36.37983,,42.40506,,16.90992,25.27867,,,,,,,,,,,29.81562,,32.32612,,,,,7.98319,30.91178,43.96415,14.97863,30.2183,28.78744,31.31869,37.88948,,0.0,8.51064,41.02564,,,,25.68328,,,30.92702,,,31.4816,30.21223,18.52159,38.44492,,36.93915,37.28866,,,44.71915,12.05519,,29.22368,21.31661,38.05956,,50.0,,,36.90586,,34.03157,,,,,,,,45.45455,31.22172,,50.41602,22.90249,,,42.75994,,,20.15734,25.18421,0.0,,,45.46134,,,,,,43.11024,47.81784,,38.53403,,39.43735,,,,,,,,,35.73445,24.99131,34.08959,,,0.0,,,,,30.77603,,25.68259,,,,,0.0,,,,,,
2005,11.29032,,,13.63636,,,,,,32.17193,,,,,,,,42.30731,53.78549,,,,38.88889,35.28682,,44.1989,,17.10656,,,,,,,,,,,,27.77197,,34.00021,,,,,,30.30094,46.69636,10.76005,,,30.87579,,,0.0,,41.36491,,,27.44361,25.52006,,32.83456,33.24728,,,,37.22578,,37.41339,,37.47765,34.71698,,,56.84905,,,29.12744,13.21909,29.2437,,,,,36.49874,,34.49546,18.80878,,,,31.92198,,33.54648,47.80635,30.43478,,51.75355,13.21185,,,,40.86022,,21.01221,27.03322,,33.66484,,44.49718,,,,,,42.51267,,,39.96881,,40.36746,,,,,34.30948,,,0.0,36.02956,26.00927,34.07789,49.29577,,0.0,,,,,29.12648,,,,,31.45829,,,,,19.99175,,,
2006,0.0,,,0.0,,44.81503,,,,30.92307,,,,26.79132,,,,,45.93023,,,,,,,62.33766,,18.97602,26.86859,,,,,,,,,53.84615,35.94041,,,34.20565,,,,,,30.75087,46.43429,,,28.46096,30.87921,38.3884,,,,,,,34.88372,25.32672,,35.1098,30.82164,,,,33.99234,,39.55375,,38.17609,,,,43.22216,,,27.46204,,33.31703,,19.56522,,,33.10655,,34.88232,13.75839,,,,35.49757,,34.13191,46.02837,25.92593,,48.55967,15.8046,,,45.83978,,,,,,,,41.7992,,,,,,42.07464,,,38.62249,,49.37202,,,,,32.51043,,,0.0,35.4597,25.99388,34.69425,32.0,,,,,,,30.12029,,,,,,,,,,,,,
2007,13.23529,,,,,47.42081,,18.18182,,31.68841,,,,,,,,42.55234,,,,,18.91892,32.88734,,39.13043,,18.79041,23.61588,,,,,,,32.31098,,15.0,31.51184,30.66164,,36.01812,,46.41335,35.65861,,,30.69194,42.6142,,,28.61366,31.19655,34.64343,,,,45.03628,,33.79175,36.24454,,,31.86957,,,,,37.22578,,34.27948,,38.67342,40.27633,,,40.13019,11.53342,,26.15022,,34.8375,,30.43478,,,33.8437,,35.12421,17.03704,20.4904,,,33.40448,,33.87363,40.14407,37.76722,,47.94347,,,,42.24413,,,,30.02522,0.0,,44.06176,40.35424,,,,,,37.17097,41.64847,57.74648,40.14366,,57.8778,,,,,34.45327,,42.55922,0.0,35.93446,24.98345,33.4997,,,0.0,,,,,31.47885,,,,49.47368,,,,,,24.2565,,,
