Date,ALB,ARE,ARG,AUS,AUT,AZE,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CYP,CZE,DEU,DNK,DOM,DZA,ECU,ESP,EST,FIN,FRA,GBR,GEO,GRC,GTM,HKG,HND,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KHM,KOR,LBN,LIE,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MKD,MLT,MNE,MNG,MUS,MYS,NLD,NOR,NZL,OWID_WRL,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,THA,TTO,TUN,TUR,UKR,URY,USA,UZB,VNM,ZMB
2000,29.7,,56.1,87.6,85.3,,80.9,59.7,,,44.3,,90.5,79.6,51.9,,,,82.5,77.3,82.1,,,,83.8,,93.1,84.8,87.1,,75.7,,91.0,,,77.4,31.3,88.9,85.5,66.9,81.0,,,,,,,94.2,,77.9,,65.0,69.4,,,,56.0,37.4,,,,,,90.47414,82.5,86.3,62.31563,,,,76.8,73.8,,,,58.74397,72.6,,,,,,,,87.5,62.9,,,,,,82.1,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.44256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,88.15696,79.296715,,82.127205,,,,49.999374,,90.46056,83.32419,,,,,80.68714,77.6628,83.47883,,,,78.89377,,94.297195,82.48507,85.10261,,74.739815,,87.95027,,,79.47239,36.7496,88.968124,81.50275,,76.12858,,,,,,,93.22865,,89.61079,,77.25525,81.95388,90.30145,,,47.979908,,,,,,,88.5208,81.87787,85.49576,62.50603,,,,83.18808,78.054695,,,,,65.95643,,,,,53.326412,75.09752,,86.73371,56.001644,,37.289124,63.206184,,60.207714,80.612175,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.56949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.63296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,42.136036,86.604,78.483284,20.58498,80.597946,48.927845,,,44.496647,,89.04411,83.55357,63.740757,44.297474,,,75.22456,79.97516,83.98577,,,,74.331116,86.35941,95.18986,78.27248,80.97995,,72.313614,,92.85144,,78.45754,79.44211,41.701813,87.863556,79.53711,61.113766,73.60957,,50.411846,,,11.758078,,94.2216,,85.69982,74.33325,77.14609,78.78249,87.01974,,,52.9892,,,43.653717,,,,84.88453,77.57219,85.471405,62.69643,,,,83.76092,75.07484,,,18.432688,46.493534,64.74978,,,,,48.281345,72.183846,83.47207,84.73502,55.382256,,40.980198,67.826515,,53.36259,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.75989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.82336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,43.33176,60.171112,48.42049,85.750374,72.42369,27.21145,82.2574,59.012653,,,50.443375,,89.71092,83.193825,69.437454,52.88558,67.37795,,76.94533,81.53328,84.78205,,,,80.440605,86.66734,91.89127,80.247856,81.55949,38.02633,78.678345,,91.71064,,77.56462,82.44745,46.5781,82.75082,83.179695,73.45302,78.97688,,51.968163,,41.302906,16.778618,,94.205986,,84.31891,75.63682,73.9592,82.42108,85.12116,,42.769665,59.908566,,63.68741,50.45033,,53.318707,56.03299,85.685036,84.99968,85.65371,62.88682,34.744423,,,84.96794,82.38027,,,36.54102,59.60026,72.63055,,,87.51895,,67.1834,77.80547,78.7996,82.5607,57.130543,55.194427,49.843258,75.49418,,58.0923,82.381714,,,
