Date,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BOL,BRA,BWA,CAN,CHL,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DOM,DZA,ECU,ESP,FIN,FRA,GAB,GBR,GEO,GIN,GTM,HKG,HND,HRV,HUN,IDN,IRN,ITA,KAZ,KEN,KHM,KOR,KWT,LAO,LSO,LTU,LVA,MAR,MDA,MDG,MEX,MKD,MLT,MMR,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SWZ,SYC,TCD,TGO,THA,TUN,TUR,TZA,UGA,UKR,URY,USA,VNM,YEM,ZAF,ZMB,ZWE
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,42.75,64.86,,,,90.02,,,,,,,,,,,,,,,,,,67.61,,,,,,,,,,74.59,,,,93.58,,,75.97,,16.57,64.65,,,,,,,,78.93,80.84,8.13,65.76,,,,,,,,,,,,,,,88.72,44.0,60.99,,48.22,,,,,,,,,,76.48,,,91.2,,,,54.66,,,,,,,8.94,,,,,,71.66,,4.82,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,48.6,,,,,,,,,,,,,40.45,16.5,,50.91,,,,,38.06,62.65,,,,,7.09,,25.75,,,,,,,,21.48,,,,,,,,,,,,,,5.3,,,,,,58.7,,,,,,5.0,55.3,1.7,,6.2,,21.17,,,,,47.47,,19.97,38.19,,,,28.65,,,,,,,27.26,,,,,18.6,31.3,,,,,,31.5,7.1,,72.72,,,,15.5,,20.1
2007,,,60.0,60.79,68.9,,,,,,,,,,,,,,,,,,,,,,58.57,78.49,,14.07,,,,,,78.88,35.23,,,96.82,,,67.14,,19.99,67.27,81.09,,,,4.9,,,77.33,80.67,8.56,,,,,,,,33.94,,,,,,,,83.78,48.33,60.52,,47.22,,,,,,,,2.04,,80.53,,,91.75,,,63.17,66.64,67.59,,,,,,8.8,,,,50.17,,76.74,,1.29,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
