Date,ALB,ARE,ARG,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BLZ,BOL,BRA,BWA,CAN,CHL,CIV,CMR,COD,COG,COK,COL,CRI,CUB,CYP,CZE,DEU,DOM,ECU,EGY,ESP,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GIN,GRC,GTM,HKG,HND,HRV,HUN,IDN,IRN,ISR,ITA,JOR,KAZ,KEN,KHM,KIR,KWT,LAO,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MEX,MHL,MKD,MLT,MMR,MNE,MOZ,MUS,MWI,MYS,NAM,NER,NIC,NIU,NLD,NZL,OMN,OWID_WRL,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,QAT,ROU,RUS,SAU,SEN,SGP,SLB,SLV,SRB,SVK,SVN,SWE,SWZ,SYC,TCD,TGO,TKL,TON,TTO,TUR,TUV,TZA,UGA,URY,USA,UZB,VNM,ZAF,ZMB,ZWE
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.21205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,95.04929,,25.217955,,,,96.90736,,,,,,,,,,86.75684,97.27003,97.03419,,,,,,,95.364044,,,94.48417,,,94.50704,,96.62418,,,97.54714,,56.197216,86.61473,96.55672,,,,,,50.590336,,,98.01031,,98.54787,,33.368324,88.49658,,,,66.67203,,,,,,,,,,,,99.227394,89.98398,,61.04789,,,,,,,,,,88.39766,96.19926,,,90.20896,,,,93.930984,91.14447,98.45308,,,,,,,,72.3131,,,,,93.9863,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.71958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.55542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.39126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,44.7,97.62326,,,99.21684,,,94.764725,,,,49.93,56.7,,61.63,,,,,,48.2,71.32,,,,97.40809,10.58,22.36,,93.537605,,,95.90742,,,93.24992,82.02211,,,20.72,99.14616,,,97.43173,53.977074,59.83531,85.48654,98.193275,,,,,,28.16162,,22.0,98.70484,98.77215,98.21378,,25.742815,91.262344,,54.14,,65.76237,,,,31.6,66.8,6.8,,35.7,,26.32,,99.440506,92.07288,,60.2271,30.32,32.03,,,,93.03615,,25.83,32.79137,83.9475,98.4393,,,96.65491,,33.530785,,94.36112,94.43296,98.18682,72.1,67.8,,,,,64.3844,,,77.9,30.5,59.13,95.96241,,,37.0,,42.2
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.89878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.73463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
