Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,64.682594,40.071857,53.299534,9.317066,13.669999,54.263252,5.356652,7.3642306,43.875473,91.96382,2.7497673,55.70996,89.29102,64.16483,15.198377,2.432939,5.253697,27.34644,22.223387,28.612804,43.52138,18.323856,5.5226035,2.0275526,72.259445,16.215185,76.466866,3.491257,5.031438,19.09064,59.699802,54.638138,68.7533,72.20479,45.173107,20.30799,59.71007,37.215984,18.253193,24.911278,12.627852,8.368002,3.6958108,2.5679085,5.4394975,21.966476,24.118567,26.565334,37.70479,71.496284,10.6668415,19.253672,77.798744,8.3555765,17.695759,5.728334,44.320892,2.165177,47.39105,63.43607,73.27852,66.43508,63.05091,68.62423,19.880512,30.942442,0.64124984,35.894127,0.82349384,38.043777,22.645727,53.690304,11.769735,46.937077,63.40898,13.966125,24.984629,18.104122,10.204168,3.5350952,8.442846,27.929949,4.847567,6.7360783,36.65737,47.991806,35.49971,78.50598,16.366848,2.381915,86.3434,7.327211,55.568546,14.418509,24.749434,41.390182,51.394264,24.09852,3.5334408,22.925629,0.39994985,42.97991,41.787457,79.20566,21.69918,25.93574,26.803982,69.273125,2.6198127,69.24663,11.683315,43.849842,85.05384,47.05895,14.784275,75.029686,18.887882,48.28432,8.078449,79.05627,52.356556,35.02782,4.291155,5.7835956,77.47605,10.764143,9.967249,4.874467,43.378696,46.312546,27.295038,41.894985,45.287537,37.458927,25.450588,3.5751038,52.212933,11.903277,29.585999,18.234333,2.5277333,4.3507175,38.88583,12.091807,89.72115,7.857004,55.473167,52.333744,1.2150548,53.11133,70.63335,26.810438,38.70822,28.63057,68.22232,41.175186,4.336423,11.0381155,11.177984,3.2239177,20.319489,28.214481,83.399635,60.269432,61.257915,54.862816,35.9473,69.04349,40.370697,11.738226,23.052097,47.761463,84.59058,73.25362,19.32978,7.202465,2.776975,41.41485,24.780703,12.631164,2.787876,74.61714,69.43045,46.638004,54.82232,23.558395,72.69451,65.29216
1992,64.77119,39.938263,53.19879,9.167032,13.472255,55.12771,5.053976,7.054431,45.408157,91.95462,2.681723,55.498234,89.25979,64.06536,14.813661,2.3151934,5.2508526,27.024155,23.239002,28.26328,43.246758,18.910835,6.243474,1.9467767,72.035934,15.953244,76.69844,3.4513302,4.964112,18.020317,58.500122,54.47596,68.80595,72.641525,45.02935,20.244963,59.420174,36.657314,18.104357,25.297924,12.161113,8.129768,3.5994897,2.5422757,5.279831,21.626892,23.967045,26.981174,38.455933,71.19315,9.716672,18.085106,78.20051,8.286451,17.37782,5.5962386,44.073307,2.1111212,48.056705,62.379333,72.95034,66.035706,62.961403,68.43203,19.620798,31.907936,0.632489,34.45424,0.7117861,38.22512,22.461184,53.70086,11.281383,46.328373,63.198395,13.557475,24.76871,18.297508,10.126654,3.5256863,8.004366,27.474756,4.777342,6.41586,36.653435,47.940792,38.16114,77.99192,14.028717,2.3257246,86.07862,7.168256,56.35845,14.404398,24.428095,43.624336,51.14756,23.85999,3.3697217,22.670628,0.40011704,42.94761,40.00001,79.170975,21.39919,25.917053,26.702429,69.218636,2.5723593,69.053825,11.709264,44.677208,85.06357,46.940315,14.407264,75.18993,18.528864,47.330807,7.9258413,79.03106,52.119564,34.954987,4.1858616,5.5139885,77.22795,10.839411,9.700121,4.8226485,43.106243,46.844864,24.984648,42.11955,45.4865,37.145008,24.898668,3.4447534,52.347004,11.671618,29.613476,17.602087,2.5095325,4.2937837,38.97802,12.124489,89.63,7.6675043,55.140842,52.232834,1.1850067,53.254574,70.97569,26.695189,38.74174,28.754015,68.02692,40.19653,4.427147,10.857813,10.907699,3.2197373,20.086887,29.510914,82.96169,60.43104,61.8534,55.432487,36.04865,68.69318,40.40359,11.541193,22.758747,44.80444,84.58307,73.19745,20.800499,7.327057,2.7402692,41.43666,23.877674,11.776496,2.7553227,73.68389,69.338295,46.33299,54.64738,23.473236,72.78299,65.350586
1993,65.059006,40.12638,52.98735,8.9714155,13.261296,55.849384,5.1167164,6.9050794,44.55502,92.02143,2.631973,55.23037,89.14206,63.93102,14.919194,2.2001112,5.4588337,26.571707,22.599556,27.91133,42.903957,18.441673,5.555391,1.8695939,71.87481,15.8173685,76.74862,3.4825294,4.905134,16.55517,56.40043,54.341106,68.89973,73.127884,44.938652,19.585201,59.284485,36.104015,17.980442,25.894464,11.873272,7.7948236,3.509477,2.5705087,5.1443486,21.300358,23.853056,26.500711,35.29164,70.49253,9.782836,15.996497,77.709404,8.206638,17.16947,5.456768,43.515186,2.0474513,48.635075,61.46484,72.8442,65.62975,63.03893,67.549805,19.347116,32.841476,0.6226741,33.843792,0.6847072,37.753193,21.99807,53.58304,9.132721,45.535435,62.9622,13.124218,24.477724,18.277765,9.956732,3.5595443,7.082704,24.63187,4.717151,5.964802,36.721256,47.807343,38.974777,78.02737,13.480633,2.246139,85.94163,7.0366874,57.380573,14.587477,23.961988,38.65693,50.861088,23.463049,3.1988723,22.198633,0.40015426,42.845036,43.12797,79.1385,21.05913,25.844336,26.680721,69.11127,2.5213675,68.89915,11.71317,44.801003,84.79051,46.676647,14.082906,74.99322,17.813028,47.057663,7.751166,79.022026,52.030193,34.864803,4.0786915,5.51349,76.85512,10.577529,9.430358,4.7583714,42.39132,45.246197,23.087067,41.706585,45.818836,36.824722,24.246319,3.3864732,52.408493,11.558705,29.202831,17.160303,2.5023844,4.224,39.127327,12.147011,89.849655,7.58184,54.805374,52.135715,1.1491777,53.145905,70.69997,26.581572,38.71307,28.871958,67.85506,39.325066,4.6249676,10.613718,10.663544,3.442167,19.796682,31.603876,83.374245,60.842884,58.2451,56.429344,36.31741,68.294495,40.01856,11.328335,22.564617,42.49573,84.5509,72.7829,20.66402,7.0142965,2.5902426,41.188602,22.793299,11.272866,2.7185252,72.6432,69.59096,45.932774,54.705456,23.314484,72.808846,65.43249
1994,65.18601,39.891773,52.73587,8.800467,13.048347,56.024303,4.9014564,7.1965027,44.342937,92.06977,2.8884206,54.879658,89.134285,63.726307,15.046349,2.109167,5.430075,25.927422,22.043386,27.366325,42.543697,17.535097,5.3083744,1.7961667,71.62243,15.674551,76.58004,3.3480415,4.8324924,16.218489,54.2999,54.1424,68.85614,73.56497,45.21311,18.689613,59.502224,35.30467,17.623577,25.464857,11.102816,6.9452667,3.25877,2.5569081,5.0453815,20.820808,23.734053,27.032978,35.175735,69.86651,9.490246,14.15667,77.41859,8.0080185,17.007744,5.186974,43.04495,2.0787985,48.682854,60.514122,72.78929,65.47295,62.885345,67.88062,19.384264,33.7558,0.61087084,32.35688,0.6758224,37.21073,21.254084,53.60744,8.733891,44.68949,62.679794,12.579594,24.341978,18.249847,9.724048,3.3491185,6.8978777,23.943346,4.6532636,5.8072534,36.940628,47.537525,41.983696,79.062546,12.556052,2.1551342,85.94474,6.89357,58.308437,14.444925,27.42045,42.568584,50.43762,22.856007,3.1548328,21.730711,0.4001499,41.999344,43.808,79.272675,20.67802,24.60049,26.610434,68.737816,2.4634664,68.68645,11.68542,44.695942,84.560715,46.64884,13.792389,74.457016,17.542194,46.515446,7.5787554,79.051285,51.934135,34.693516,3.985769,5.254458,76.384705,10.3662,8.681413,4.6823006,41.797512,46.27712,19.911798,40.426544,44.713406,36.58739,23.51322,3.5053947,52.443726,11.747372,28.759226,16.461498,2.492297,4.103647,39.042248,12.220839,90.233025,7.514993,54.6002,52.17369,1.1081856,52.554066,70.58258,26.40991,39.477432,28.912914,67.779,38.302254,6.326603,10.172206,11.570234,3.4340558,19.674194,30.143002,82.85001,59.927452,57.79683,57.616142,36.700504,67.74406,37.548473,12.373563,22.332846,44.049267,84.51248,72.6439,20.959824,7.2442803,2.7701924,41.60711,21.82284,13.897156,2.678672,71.76195,69.19685,46.08637,54.646088,23.09264,72.592575,65.00595
1995,65.16911,39.384953,52.413216,8.606342,12.935374,56.086044,4.7748747,7.335623,44.75563,92.24104,2.6786022,54.396484,88.61187,63.373352,15.107943,2.0223808,4.337903,25.071213,22.015125,27.152943,42.135147,17.023922,4.640608,1.7130479,71.46971,15.264413,76.37332,3.153491,4.7556252,15.70516,52.200104,53.78555,68.65482,73.58274,45.044365,18.430313,59.324203,34.41176,17.853954,25.099977,10.815518,6.638077,3.1701782,2.5676453,4.3944592,20.393988,23.556856,27.269253,33.99336,69.53439,8.986799,10.183126,77.19756,7.7576847,16.770044,4.8901615,42.39889,2.0536454,48.412437,59.446743,72.72773,65.12388,62.618343,66.82402,19.388306,34.722675,0.5977481,31.223131,0.614415,37.250713,20.59629,53.12901,8.022741,43.980778,62.328476,12.008317,24.096191,18.10677,9.574094,2.9209933,6.5830035,23.194397,4.5651164,5.706734,36.866577,47.15466,47.188854,78.64417,11.770756,2.0759416,85.412926,6.7620683,59.68605,14.674354,25.834738,37.346416,50.521957,22.225214,3.8718455,21.11404,0.4001382,43.034817,42.709972,79.098854,20.296667,23.478176,26.478405,68.668495,2.4026418,66.915535,11.602263,46.14385,84.56791,46.203777,14.485338,74.06225,17.191273,43.87722,7.3987074,78.97898,51.882244,34.554604,3.8289025,5.456027,75.8972,9.673581,7.9703817,4.601466,41.072613,43.922245,20.803377,39.612503,44.10126,36.49778,22.61341,2.8810837,52.52408,11.476108,28.092342,16.082363,2.464726,3.9929156,40.329273,12.375407,90.31243,7.47314,54.26285,51.859646,1.0764427,53.092163,70.80297,26.105879,39.48355,28.824982,67.55786,37.486313,7.2882924,9.195998,10.442629,3.5120363,19.48123,28.37848,82.70521,59.529804,54.004982,58.688805,36.529564,67.25326,36.97717,10.639693,22.129936,44.107628,84.47486,72.03443,22.486828,7.5289335,2.7542033,41.113327,20.994474,13.51804,2.634257,70.781654,69.43601,44.945873,55.28932,22.863157,72.44429,64.69788
1996,65.061516,38.802544,52.203396,8.598103,12.7351675,56.076286,4.8437204,7.4282837,45.03994,92.471565,2.7410762,54.063396,87.97653,62.971283,14.845718,1.940078,4.991731,24.015163,21.618616,28.681007,41.674885,15.918674,5.26769,1.651636,71.12215,15.073389,76.680786,3.1122873,4.6417475,15.408416,50.500362,53.350872,68.39051,73.270035,44.831425,18.526619,59.34547,33.646935,17.710613,25.10001,8.884556,6.215891,2.9347801,2.5767896,3.8771632,19.90253,23.372808,27.463572,31.298792,69.13927,8.359538,9.720681,76.644066,7.8930674,16.745815,4.8231473,41.795586,1.9485266,48.346832,58.394325,72.54001,64.46149,62.04339,65.94871,19.850225,35.700363,0.5825443,29.734339,0.43964717,38.292065,19.890076,52.797825,8.21933,43.76459,61.89537,11.238682,23.507624,17.66639,9.977198,2.539904,6.1289454,22.661331,4.5016446,5.5142493,36.8072,46.761322,47.14504,77.55819,11.140421,2.1284642,84.87961,6.521296,58.803574,14.484764,25.21398,35.12961,50.458324,21.58887,2.644022,20.45945,0.4000301,42.773262,42.83131,79.0016,19.17204,21.925962,26.312307,68.23899,2.3380725,65.18917,11.451982,46.53067,84.34569,45.821632,13.04529,73.879005,16.906675,41.256905,7.2426453,79.06169,51.583485,34.38973,3.7804954,5.3819675,75.31161,9.416521,7.2988663,4.5121574,40.41585,43.767536,20.150347,39.369984,41.735615,35.87236,22.111437,2.697864,52.56236,12.203779,28.164488,15.882722,2.8555126,3.8575678,37.95715,12.445083,90.26966,7.424831,53.94515,51.6457,1.0455277,52.41352,70.43461,25.81238,39.264503,28.71936,67.31228,36.454716,6.149522,8.898495,10.232862,3.2610197,19.174181,28.066704,82.602715,58.98277,52.028324,59.795815,36.409958,66.784645,36.439877,9.590215,21.776798,43.68687,84.29835,71.45539,21.926655,8.184105,2.7172718,40.458813,20.116625,13.533405,2.585632,69.98201,69.31829,44.413715,55.98255,22.53039,72.21102,64.326416
1997,65.1877,38.419765,51.75494,8.575281,12.478691,56.109337,4.910028,6.8924527,43.186478,92.48203,2.6565144,53.560863,87.34951,62.50044,14.435689,1.8611771,3.838891,22.859642,21.012653,29.909552,41.303764,15.7408695,5.267791,1.5908349,70.915276,17.727962,76.49606,3.0073123,4.8175435,14.421206,49.90045,52.761784,68.06693,73.75568,44.586147,18.061605,59.027355,32.645573,17.332968,25.225641,7.21745,5.824853,2.9422064,2.5485213,3.736917,20.014317,23.075537,26.853302,31.374922,68.75965,8.04284,9.716302,76.60957,7.7780237,17.738247,4.637165,41.17731,1.8542291,48.25655,57.184727,72.23116,63.71172,60.858543,64.98128,19.574816,36.63535,0.56654274,28.282988,0.36712536,36.9997,17.771412,52.503998,7.81153,43.37881,61.484844,10.912796,23.41625,16.734697,9.084309,2.4022715,5.8806047,21.24074,4.41396,5.364806,36.724636,46.48833,48.28033,76.93617,10.771189,2.1695654,83.16295,6.3869324,55.92394,14.491544,20.494188,37.360203,50.082806,20.658236,2.3412693,19.800457,0.39987335,43.4314,41.5553,78.85478,17.64293,23.409,26.094385,67.90819,2.2868013,63.354492,11.241651,48.947834,83.917656,45.84991,12.537079,73.49892,15.903448,38.49677,6.7008986,79.04034,51.228218,34.111446,3.7056158,5.086673,74.64989,8.643371,7.0503526,4.401724,40.062496,42.20313,18.649723,38.661602,40.383034,35.807354,20.59266,2.8268616,52.688198,13.285039,27.843445,15.022402,3.2978375,3.6977167,40.86103,12.155947,90.01524,7.3851714,53.123077,51.27935,1.0087159,52.21416,70.639824,25.564196,39.581203,28.461166,66.73073,35.291348,5.4466424,9.170048,12.143583,3.244138,18.848137,28.06119,82.24501,58.00162,52.50369,60.175865,36.19913,66.81422,35.76345,9.506134,21.438097,41.676094,84.120895,71.16839,22.072752,8.782673,2.6235352,40.134823,19.210758,10.816308,2.5300705,65.28138,68.898674,44.370193,56.441906,22.211817,71.92314,64.13889
1998,65.277466,38.16975,51.319016,8.481644,12.22713,56.07242,4.849231,6.4850054,42.301765,92.214935,2.2377832,53.166534,86.729256,61.98469,14.04058,1.7761654,3.5298178,21.702826,20.398636,25.015358,40.672134,15.051311,4.43723,1.5239227,70.5624,20.732126,76.280914,2.9909983,4.926499,14.438689,49.79967,52.33849,67.65873,73.797516,44.01705,18.272194,58.847042,31.61646,17.132952,24.84822,5.8119183,5.5418353,2.779926,2.520714,3.7065694,17.092398,22.690649,27.120321,29.80268,68.52532,7.697901,9.294306,76.740326,7.113575,18.542053,4.4106603,40.46345,1.7181162,48.553917,56.087513,71.81586,63.015553,61.973515,63.670025,17.404251,37.555763,0.55087256,27.912485,0.33257,34.586056,17.292843,52.286385,7.341826,44.87246,60.92875,9.102652,23.206549,15.559784,8.648002,2.3273861,5.7657785,20.99686,4.3503284,5.2956605,36.645344,46.042717,48.999954,76.01519,12.023474,2.2038548,82.96825,6.274055,54.555695,14.283875,23.136295,41.578,49.025753,19.556982,2.9190447,19.028418,0.4001833,43.485493,45.675987,78.75129,16.582615,19.326578,25.84068,67.22979,2.2260742,62.75975,10.981932,49.735058,83.43967,45.304398,11.904322,73.37099,16.46893,36.12408,6.24347,78.82099,50.6886,33.77656,3.4896128,4.737626,73.96509,8.540129,6.806544,4.2873764,40.010067,43.595215,17.758272,38.890514,38.627594,35.425148,19.838276,2.4604206,52.590828,13.927216,27.495167,14.310615,3.7601662,3.2465162,41.971275,11.687334,89.73412,7.2942247,52.686783,50.690586,0.8456289,51.04447,70.25144,25.081938,39.32906,28.079811,66.465416,34.292767,5.796622,8.251244,12.069694,3.0591698,18.636728,27.853016,81.695984,57.861137,54.070747,60.37487,36.049103,67.29978,35.383255,8.141911,21.086327,41.504223,83.87378,70.81638,22.640837,10.779415,2.5695438,39.395485,18.419691,9.985038,2.470832,64.75931,68.333305,43.11278,56.879646,21.931555,71.53388,63.859997
1999,65.35474,37.57214,50.692993,8.508846,12.064594,56.022118,4.9330616,6.2329454,42.31393,92.049164,2.3930202,52.705746,86.040634,61.4237,13.766288,1.7053716,4.0320187,20.732054,19.890028,27.471455,39.950233,15.556044,4.313204,1.4776108,70.272736,20.282417,75.776764,2.805973,5.0918064,14.43377,50.099445,51.944557,67.16445,74.3185,44.339565,18.957382,58.578957,30.598923,16.61146,23.320044,4.6649127,5.2534256,2.8639069,2.4458623,3.321635,17.54439,22.47506,27.37476,28.699877,68.16443,7.2086334,8.588097,76.355415,6.380652,20.160206,4.242857,40.68643,1.5539871,52.253292,54.945053,71.656235,62.16969,61.87607,63.445515,17.37152,38.672245,0.5327667,26.192574,0.32934168,35.063187,16.917034,52.04213,6.9538913,45.171165,60.191574,8.641112,23.095758,15.063902,8.91679,2.3686602,5.4212275,20.594818,4.2703285,5.2172575,36.581387,45.65513,52.389053,74.89858,11.343814,2.2727535,82.74012,6.1963654,52.97371,14.471577,21.707006,39.72146,47.965343,19.988888,1.9522094,17.491606,0.3999636,43.865044,48.896347,78.67065,15.578558,20.221163,25.446882,66.805115,2.1548283,62.30221,10.687216,49.48379,82.757034,44.894276,11.20109,73.25165,15.904331,33.674297,5.8296237,78.838585,50.294228,33.328735,3.2108886,4.5985475,73.28497,9.421101,6.6232495,4.1699047,40.047276,43.45119,17.435795,38.83204,38.847626,35.360367,19.176798,2.185354,52.19868,12.782287,28.886637,13.89004,3.877165,2.9086812,43.993572,15.008033,89.38921,7.316785,52.273487,49.90383,0.9035222,50.56557,70.0209,22.136145,39.041916,27.636612,66.22312,33.05636,7.2695446,7.37172,10.844229,3.0071094,18.405472,27.83499,81.608,57.519928,51.69242,60.48206,35.70527,67.806206,35.01392,8.120271,20.667833,40.17872,83.48682,70.25889,22.543007,11.1926985,2.4578986,38.49747,17.567776,10.191272,2.4061203,64.97543,68.182495,42.082653,54.11303,21.54734,70.37333,64.153404
2000,65.34796,37.146008,49.91959,8.5337925,11.894394,55.91064,4.8574457,6.050783,41.009583,91.86493,1.9078883,51.9127,85.4137,60.846157,13.196342,1.6405692,4.1107025,19.645308,19.279785,26.095913,38.93898,15.372114,3.7212806,1.4235075,69.4983,19.955555,76.03586,2.5155084,4.6407127,14.4374695,50.00069,51.674953,66.64716,74.15891,43.789513,20.320724,57.79148,29.28544,16.285921,22.68792,5.4044003,4.9764643,2.6375241,2.3972573,3.6682057,15.602335,22.23542,27.929832,29.632814,67.93948,6.6882663,6.3621573,76.63658,6.2080646,21.474756,4.142897,40.427635,1.5345492,52.169384,53.126682,71.34873,61.25666,60.95654,62.8162,16.754005,39.769455,0.5141949,25.062721,0.3239799,36.059475,16.496626,51.617332,6.462465,45.277985,59.64473,7.9512863,22.61966,14.23099,8.7127495,2.1982372,5.231853,20.853403,4.183117,4.947883,36.139206,45.514694,53.07056,73.47631,10.9656,2.341212,81.83664,6.054441,51.546635,14.188697,21.071268,37.85496,46.560867,19.24119,2.444098,14.925585,0.3998095,44.113674,50.865345,78.685425,14.496927,17.405424,24.744986,66.65841,2.0433545,61.569057,10.370614,48.640278,82.38449,44.78938,11.429447,73.19475,15.282169,31.28954,5.432769,78.9635,49.576458,32.953762,3.2828953,4.2904544,73.19013,8.705351,6.392933,4.038108,39.821777,45.0125,16.970367,38.582188,37.094658,35.951202,18.667496,1.8916945,51.938282,12.663756,31.856512,14.060334,4.4023876,2.6003904,45.184082,14.492389,88.93291,7.2716994,51.589325,49.247894,0.8937455,50.237328,69.27806,21.6153,38.720688,26.932268,65.79674,32.05358,6.6756544,6.650915,9.601521,2.905677,18.363708,32.893326,81.59042,57.21271,51.663773,60.077385,35.239582,64.36399,33.867996,7.2253857,20.264053,36.925045,83.00735,70.004745,22.26711,11.104167,2.2620873,37.653416,16.809553,10.615215,2.338184,65.255646,67.70313,41.308693,49.690353,21.024958,68.83593,65.610306
