Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,10.80026,8.163345,12.172764,29.02057,28.505903,15.790454,24.298454,33.359478,22.950632,2.454802,30.359222,16.852057,3.3500621,12.533173,43.34274,28.526735,15.316695,32.23472,39.252724,18.142149,18.808422,23.795998,20.117847,24.158426,5.538286,25.432974,7.324488,23.877092,28.385109,26.303034,21.39989,11.881106,9.612013,8.088322,23.12135,20.016842,14.553873,13.501252,26.325314,24.293568,29.34698,44.96843,39.21197,5.237537,26.612553,26.679157,25.067734,25.083607,24.83727,7.841691,32.041622,37.044315,6.4831085,28.76237,16.848106,28.322332,9.341834,30.425697,13.002004,9.766063,5.2255416,4.299381,9.92955,7.656125,25.815413,26.38364,12.702577,21.56588,35.62848,21.255796,30.003391,11.352406,35.783627,16.874088,14.5670395,27.335596,31.362465,24.627895,26.502218,28.795761,34.90042,19.196566,20.97133,34.59536,18.209515,13.623682,26.549208,4.2903438,35.951385,22.371845,3.0335364,23.931461,11.582847,28.095304,22.884348,19.977673,18.798815,30.070564,26.895836,29.19202,30.570423,24.42845,19.413462,8.907464,22.72138,23.47158,36.28955,7.3539968,34.130318,8.706881,24.210754,17.22581,2.3359976,15.9257,40.031425,7.241118,31.384823,15.045595,24.500916,8.66224,11.413699,18.366062,24.900272,23.573057,8.492967,23.78738,7.4638734,26.573656,21.445724,21.024712,14.460268,16.061758,16.04632,3.2011523,33.00726,24.004097,16.167585,33.5941,18.51473,33.880695,15.848005,31.266304,34.53372,33.65607,2.345426,25.856884,13.509975,12.801401,34.838863,5.6369257,2.127774,25.278158,15.326922,27.83289,14.132382,14.071623,19.395552,42.047173,45.550194,27.347624,25.20127,30.328997,2.074969,7.8694725,15.684342,21.590902,30.638891,7.5518556,26.908749,28.796274,31.828873,20.289824,2.6021671,7.3914065,34.10762,27.085173,24.501774,20.974848,21.243814,26.05064,20.797926,8.929621,4.180358,10.505894,11.751662,26.811346,7.9831095,12.97338
1992,10.726127,8.117947,12.024188,28.91843,28.105541,15.18742,24.08634,32.526176,21.544842,2.4370582,29.987356,16.904722,3.3428588,11.800316,43.717213,28.543375,15.299942,32.1412,38.538303,18.149052,18.835989,23.509094,19.667238,24.140572,5.598962,25.572018,7.2289042,23.181633,27.968527,26.470327,21.700024,11.840664,9.506865,8.00466,23.059532,20.803905,14.586171,13.775799,26.172312,24.051397,28.501411,44.1629,38.704693,5.19826,26.403625,26.558807,24.996521,24.262053,21.475569,7.881477,31.7775,35.999435,6.40153,28.252798,16.851927,27.97957,9.436577,29.930716,12.479674,10.231962,5.2187185,4.3608184,9.913219,7.7349496,25.370304,25.904472,12.657034,21.867548,34.153767,20.116228,29.38529,11.19503,35.087284,17.184969,14.654444,27.281708,31.348421,24.50894,25.99443,28.717836,34.634407,19.075674,21.05911,34.764286,17.942482,13.574111,22.539337,4.3743563,35.752987,22.684828,3.1093144,24.221209,10.997121,27.846731,22.914288,19.1052,19.049065,29.269026,26.64858,28.309988,30.415257,24.135395,18.828705,8.899823,22.576256,23.056807,36.277485,7.323082,33.952454,8.997903,23.988323,16.848883,2.325933,15.8909235,39.977043,7.2115674,31.619804,14.757836,24.222061,8.620339,11.418355,18.299454,24.53724,23.474092,8.77984,23.198969,7.5088325,26.42061,21.323929,21.141941,16.981731,15.955391,15.969869,3.2779546,32.61108,24.012123,15.938431,33.365154,18.433786,34.625843,15.68593,31.430882,33.737804,32.89451,2.346255,25.93104,13.643329,12.763964,34.32835,5.7904425,2.2287397,25.228676,15.203289,27.377869,14.233587,14.279134,19.13436,40.272446,44.79045,26.94064,25.264956,30.456331,2.1070344,7.899755,16.014956,20.663677,30.446539,7.747954,27.14019,26.979115,31.980982,21.64367,2.6017601,7.392783,32.286846,26.788403,23.927351,20.719307,21.360027,26.635769,20.72185,9.281095,4.209552,10.6689825,11.63333,26.747288,7.892582,12.925044
1993,10.532136,7.97613,12.152627,28.829084,25.889856,14.626908,24.111403,32.108387,19.990759,2.3839173,29.460398,16.95081,3.3423054,11.092849,42.079155,28.796144,12.249245,32.165363,37.67885,18.153519,18.896137,23.474012,19.07773,23.722504,5.522495,25.670702,7.1848035,22.510036,27.53641,27.226746,22.400013,11.796732,9.350167,7.916204,22.941591,21.220785,14.542322,14.0245905,25.681738,22.81184,27.139065,43.543453,37.811153,5.0774813,26.104225,26.432608,24.867697,24.909658,21.683498,8.033044,31.03712,33.25225,6.461207,27.870827,16.81557,27.507004,9.579747,29.392395,11.974269,10.813151,5.2485986,4.424328,9.9359045,7.977725,24.848043,25.435776,12.6014595,21.859734,31.921661,22.057392,29.353909,11.0826645,33.77594,17.516518,14.758339,27.147387,31.155952,24.41919,25.670446,29.113537,34.10707,19.210138,21.04473,34.433887,17.626383,13.512404,21.348736,4.449645,34.016117,23.130186,3.2171354,24.357399,10.398327,27.530693,22.455513,19.421682,19.203632,28.9023,26.423546,27.742537,30.00675,23.880135,16.978174,8.900094,22.374659,22.643147,35.77701,7.350293,33.81005,9.611997,23.66727,16.652683,2.3590662,15.949484,39.60677,7.1939273,32.012344,14.2048235,24.177458,8.557237,11.359346,18.256674,24.133846,23.250181,9.132579,23.68595,7.579471,26.28945,21.305223,21.263264,17.612188,15.987276,15.525358,3.3723657,32.410175,23.904339,15.750941,32.86642,18.45337,34.983757,15.470009,31.296,33.097477,32.31394,2.3257682,25.7349,13.716703,12.739678,33.572712,5.8634167,2.342166,25.217106,15.158236,26.844444,14.29991,14.537484,19.32546,39.646942,44.19428,26.405231,25.34361,29.919426,2.0603724,8.106998,17.997574,19.691118,30.022161,7.9582195,27.290918,26.391344,31.94577,21.712662,2.6024177,7.433265,30.490702,26.25564,23.468508,20.502573,21.359724,26.28216,20.639076,9.581004,4.226235,10.792583,11.248742,26.711124,7.808036,12.805511
1994,10.394697,8.006144,12.276684,28.678501,24.98071,14.35366,23.983868,32.463047,19.292023,2.3468485,28.877756,17.563892,3.3333497,10.473542,40.65889,28.637306,12.913534,32.448895,36.316124,17.913473,18.98202,23.508411,18.86234,23.339912,5.6488853,25.806297,7.144456,22.669262,27.216112,26.057446,22.699581,11.754778,9.304583,7.8466053,22.757591,21.324488,14.381532,14.4909315,26.107006,22.85384,26.152636,42.687557,36.90336,4.9935656,26.51391,26.280546,24.771317,22.798529,21.496538,8.204804,30.259504,32.48923,6.447565,27.715317,16.834272,26.829216,9.763472,27.780678,11.559501,11.273982,5.2685556,4.463905,10.004975,7.940456,24.056427,25.008821,12.605342,22.1504,30.461483,24.064068,29.341429,10.907857,32.98676,17.929314,14.880813,27.837273,30.986486,24.308968,25.316858,28.72808,33.75776,19.014164,21.07238,34.189632,17.31687,13.49136,19.338785,4.191997,33.627247,23.290249,3.364111,24.381193,9.81671,27.453148,21.533518,21.7931,19.465746,28.624449,26.975586,27.697191,29.532679,24.42548,15.761186,8.858412,22.139095,22.249542,35.502304,7.3644996,33.776054,9.787714,23.678162,16.74131,2.4060087,15.804553,39.207443,7.0591903,32.158504,13.824471,23.966885,8.49565,11.308937,18.447279,23.347643,23.210217,9.56347,25.263786,7.5972576,26.176094,21.227985,21.298307,18.3827,16.216019,15.780269,3.421581,32.113293,23.174309,15.5432825,32.479298,18.49542,35.91291,15.260606,31.731808,32.854324,31.65529,2.2176235,25.543728,13.603511,12.757123,32.47676,5.9874024,2.4547389,25.164602,15.031367,26.628237,14.2505045,14.847932,19.714842,39.69729,42.384937,26.134962,25.321753,30.173086,2.1949923,7.966407,18.612238,18.556252,29.383131,8.134059,27.731524,25.4213,31.957624,20.69042,2.6041038,7.4681253,31.743757,24.999882,23.401592,20.082603,21.067818,23.642143,20.619232,9.899756,4.345976,10.841444,11.040572,26.708036,7.571005,12.882403
1995,10.295007,8.120306,12.4797,28.591446,23.739126,14.103503,23.472881,32.10106,18.33105,2.293962,28.250551,17.550947,3.4370944,9.983666,39.54044,28.565845,14.245875,33.006554,35.382893,17.811068,19.086458,23.50337,19.563099,23.654835,5.5192146,25.91425,7.159393,22.927998,26.707687,26.06006,23.000082,11.835691,9.278615,7.848789,22.733425,21.737625,14.338681,14.961005,24.064821,23.423218,25.532066,42.25396,36.00433,4.888261,27.077286,26.114801,24.759783,21.912056,21.890112,8.345311,30.204737,34.227913,6.4698696,27.597286,16.782515,26.939766,9.775924,27.425058,11.191733,11.759966,5.296902,4.5345025,10.032732,8.276798,23.192461,24.559967,12.583781,22.356281,29.212286,24.246862,29.147896,10.931271,32.572113,18.418425,15.042799,27.783272,30.882414,24.22678,24.939379,28.369562,33.661648,20.21202,21.00105,33.696156,16.997715,13.453461,16.720493,4.4564977,33.441093,23.112,3.5193317,24.376411,9.386225,26.87909,21.216879,23.15486,19.865013,28.511408,25.256365,27.38819,28.914722,23.09106,15.261271,8.812204,21.908073,21.756222,35.43636,7.3952637,33.622627,10.443267,23.87191,17.925974,2.4388857,15.903633,39.834957,7.116109,32.33878,13.978533,23.874376,8.447696,11.278133,18.443127,23.352846,23.058506,9.974626,25.341269,7.6306753,26.0209,21.182821,21.461273,18.070774,16.344233,15.61052,3.409054,32.151913,22.769512,15.315242,32.18124,18.594906,35.99814,15.121393,31.726532,30.954088,30.984272,2.08145,25.210917,13.666012,12.750474,31.203491,6.265608,2.5622277,25.091238,14.98045,26.691828,14.324253,15.181813,22.244165,38.90471,43.132847,25.467234,25.393011,30.510191,2.3068192,8.26023,20.530523,17.551342,29.07684,8.320618,28.114092,25.52148,31.875538,20.466225,2.615622,7.548839,27.995787,23.913885,23.441153,19.93726,21.220251,23.56373,20.546259,10.259491,4.3655734,10.912156,10.966808,26.722376,7.4664574,12.829273
1996,10.197028,8.26132,12.223782,28.484531,21.98462,13.937054,22.968748,30.297594,15.73352,2.214417,27.634794,17.62064,3.5734873,9.530495,38.14734,28.377523,14.801869,34.112488,34.79997,16.962488,19.118015,23.583206,18.56652,23.245188,5.6041546,25.794302,7.0014033,22.750395,26.158184,26.591042,23.499638,11.942479,9.296031,7.8644934,22.754578,20.345322,14.223565,15.443511,23.31206,23.288273,25.278873,42.0096,35.27206,4.760596,26.394464,26.000465,24.7243,21.58123,23.61907,8.530969,29.468727,33.650803,6.546242,27.086506,16.834879,26.507038,9.875246,27.424889,10.877974,12.283857,5.3268723,4.6375113,10.126098,8.716595,23.00215,24.09632,12.566734,22.662874,27.843372,22.303093,29.144836,10.962527,33.244137,18.528173,15.279863,27.327993,31.319748,24.444216,23.510832,28.159288,33.350883,20.314934,20.778288,33.426273,16.766867,13.441495,14.574653,4.847879,32.639565,22.187069,3.7612476,24.327667,9.138295,26.81669,22.573015,22.033808,20.45395,28.361433,22.939785,27.167175,28.202124,23.213778,15.06026,8.7567,21.491293,22.784544,35.169327,7.4733753,33.404762,11.0590515,24.180786,17.463638,2.5173419,15.920385,38.185764,7.149384,32.23645,14.105791,23.403582,8.368345,11.28633,18.455338,23.160332,23.027653,10.478953,24.956673,7.680191,25.827948,21.24585,21.61672,18.373575,16.308838,16.645405,3.5172887,32.05543,21.672693,15.074735,31.270134,18.49236,35.566433,15.412573,32.00814,31.524437,30.451914,2.1912177,25.06069,13.81977,12.714392,29.988613,6.340653,2.7188015,24.917332,14.954682,26.468218,14.411945,15.499676,24.701727,39.53531,41.964417,25.855747,25.42464,30.264475,2.415819,8.465216,21.602062,16.512547,28.99978,8.529914,28.381056,25.529013,32.019234,21.038177,2.6326823,7.616546,26.377407,22.872602,23.32055,19.849287,21.011108,22.377993,20.470205,10.645214,4.4202733,11.087473,10.8482685,26.73966,7.3676925,12.899451
1997,9.930201,8.323664,12.111899,28.606894,22.552076,13.787721,22.734324,29.642406,14.123505,2.1812341,27.546467,17.662544,3.7237287,9.579003,36.920425,28.239397,14.64658,34.98373,34.479073,18.244673,19.079933,23.622646,19.201536,22.753452,5.517611,23.907345,6.9376583,23.05707,25.126888,27.29546,23.699854,12.125948,9.336572,7.737917,22.636917,20.00653,14.197098,15.973457,23.63787,23.106667,24.93644,41.60371,34.6736,4.66953,26.238075,25.526953,24.71533,22.267736,22.31397,8.675929,29.91136,33.388542,6.5386896,27.419313,16.96298,26.55796,9.8560915,26.862709,10.569864,12.826717,5.358043,4.7320156,10.249729,9.11613,22.502197,23.670042,12.569517,22.97708,26.755188,22.009937,29.538885,10.852565,33.231407,18.401106,15.468536,28.549635,30.974102,24.999012,24.675945,27.398005,32.62796,18.662848,20.633303,33.261806,16.581835,13.317193,13.53222,5.4513097,31.432081,21.463024,4.0296593,24.003166,9.595466,26.515568,20.26868,22.373446,20.912298,28.520489,23.323141,27.156124,27.64131,22.25524,14.763038,8.714121,21.239933,22.566582,34.920486,7.564229,33.162785,11.7123165,24.400984,16.703691,2.604603,15.696751,37.67448,7.1461177,33.665924,14.265319,24.243902,8.293156,11.276257,18.41005,22.88053,23.459734,11.048204,24.041195,8.553685,25.68962,21.219196,20.915064,18.359938,16.3738,16.709108,3.510971,32.42484,21.643085,14.749837,31.018936,18.58547,36.19638,15.806792,33.17007,30.302032,30.011662,2.299863,24.758528,14.250658,12.685213,30.543133,6.350044,2.8515103,24.780993,14.860284,26.415838,14.818482,15.808131,23.259115,39.282005,40.499535,25.56092,25.453947,29.446957,2.5657961,8.665157,20.565561,15.967454,28.525917,8.587242,28.510382,26.386667,32.083096,22.199549,2.6481848,7.656447,24.568544,22.059586,23.367912,19.744375,21.060299,23.876999,20.41379,12.673694,4.4971666,11.152056,10.816932,26.78088,7.2314916,12.838733
1998,9.684437,8.357254,12.214008,28.606306,22.019087,13.704055,22.38213,29.563816,11.119812,2.1955602,27.245012,17.618597,3.8768964,9.664803,35.633545,28.124222,15.291009,35.839962,34.080257,17.983908,19.135881,23.550869,20.871174,22.34836,5.684365,22.28241,6.9222655,23.117256,24.912039,25.521002,23.500435,12.144847,9.410279,7.69687,22.596518,19.895414,14.128916,16.615572,23.028748,22.731646,24.725454,41.354877,34.39016,4.583368,26.451794,26.119768,24.780296,21.420723,22.257309,8.750541,30.50775,32.96553,6.456156,28.25642,17.179691,26.325819,9.732171,26.66609,10.197816,13.390211,5.3689647,4.8361835,10.015736,9.628893,23.459187,23.226353,12.542833,23.241478,25.17273,22.972532,29.512814,10.810326,34.77887,17.77923,15.752338,28.67498,30.696104,25.733149,26.63326,25.989122,32.729343,18.26862,20.533722,32.22171,16.361284,13.242584,13.050635,6.1155996,27.979532,20.800245,4.223049,23.973188,9.998465,26.195107,18.753582,21.684242,21.661688,29.068365,21.608038,27.051304,26.94924,22.006792,14.616318,8.640368,20.916018,24.910995,34.651245,7.6943407,32.995094,12.058901,24.566097,15.821345,2.6984386,15.674946,38.271023,7.1786804,31.770094,13.583409,24.270231,8.318055,11.221715,18.402992,22.755772,22.805557,11.608625,24.235432,9.439979,25.501984,20.987734,20.816217,18.073938,16.229853,16.383532,3.5059562,32.183674,21.880476,14.555206,35.20891,19.03961,36.85338,16.663698,34.86698,28.772537,29.130249,2.3525603,24.921513,14.2845745,12.737556,29.913822,6.4126167,3.0252664,24.60326,14.843641,26.404015,14.874667,16.219955,25.976082,39.42815,39.515213,25.891846,25.391483,28.978395,2.7150614,7.956863,18.670044,15.671703,28.387627,8.242287,28.759773,28.204565,32.123497,21.94872,2.69001,7.6772776,23.822098,21.839283,23.209572,19.702335,21.152653,24.509144,20.299393,11.58417,4.5255675,11.513852,10.837337,26.830624,7.047838,12.771517
1999,9.445678,8.487976,12.571283,28.322983,20.980854,13.669291,22.082085,29.757545,11.172622,2.2179463,25.77117,17.59708,4.044158,9.840417,34.04739,28.176493,16.71874,35.942078,33.665234,16.989586,18.911448,22.783255,21.405796,21.562523,5.6878314,21.701569,6.869765,23.121618,24.53245,23.422798,23.000536,12.108205,9.514499,7.602622,22.472942,18.277046,14.075179,17.29176,23.279655,22.934507,24.343227,40.6142,33.835052,4.566547,26.924952,25.301243,24.708935,23.189735,22.581373,8.782663,30.678257,31.628633,6.5116158,27.729809,17.853579,26.295378,9.822947,25.810907,9.446481,13.986011,5.426366,4.9926925,9.993257,9.887547,22.9891,22.861902,12.512319,23.793964,23.545008,22.042158,29.22089,10.693713,34.353344,17.624123,16.167349,28.304855,30.741282,26.435318,23.142775,24.870436,32.376472,17.984333,20.442059,31.864193,16.238125,13.128754,11.551332,7.2655454,27.511955,19.952637,4.4955955,23.560385,10.303634,26.033735,19.223957,22.24773,22.372263,27.069992,21.984137,25.756266,26.181688,21.357275,13.645479,8.501975,20.525068,25.658558,34.403046,7.813529,32.548325,12.227215,24.343203,15.535845,2.8130357,15.647625,38.484863,7.1654096,31.600817,12.924099,24.236961,8.203785,11.17832,18.474121,22.328003,22.258017,12.131958,23.098772,10.092552,25.252554,20.762794,20.95786,18.19194,16.115526,16.279654,3.5691478,31.710281,22.202814,14.568941,34.353153,18.957083,36.689503,17.049316,35.646534,27.071844,29.002413,2.3952477,24.240812,14.252267,12.820401,29.284534,6.4813147,3.3154063,24.975359,14.829274,26.06331,14.890651,16.716663,19.984085,38.453842,37.801815,24.985664,25.313921,28.292007,2.8294487,8.070282,19.563307,15.431981,28.311361,7.6604466,29.301823,27.73568,32.260902,21.760557,2.7451022,7.746327,23.647379,22.059668,22.709158,20.011536,20.906574,22.709698,20.170866,12.001861,4.5668774,11.756351,11.13616,26.900732,6.3310375,12.640459
2000,9.207863,8.565002,13.061233,28.033937,20.202955,13.724288,22.418447,30.02459,10.878673,2.2438006,25.813456,17.710682,4.1626673,10.044884,32.830654,28.45514,16.994053,36.444347,33.540855,17.402925,18.618603,22.586199,20.38743,21.456993,6.0196924,21.154398,6.7591524,23.294172,24.664015,23.39356,22.499828,12.004738,9.635337,7.482175,22.794098,18.288937,14.266204,18.134146,22.418823,22.972279,23.769794,40.458168,33.53107,4.5059953,25.338015,24.642523,24.812042,23.258615,21.297354,8.738594,30.826626,34.99238,6.639287,27.952387,18.316017,26.274963,10.00651,25.168077,9.8099985,15.541303,5.420495,5.1333094,9.956754,10.306575,22.90837,22.492931,12.622705,24.358116,22.71306,22.103718,29.311903,10.549885,33.773754,17.437067,16.31992,28.462559,31.007616,27.180672,22.102966,24.16865,31.789606,16.99363,20.430311,31.400211,16.274916,12.928818,10.478388,8.536026,28.047863,19.368904,4.7219863,23.183313,10.699742,26.14475,20.567608,22.812126,23.318865,26.777182,20.792757,26.758251,25.181551,20.769306,13.894532,8.268649,20.138287,27.065268,34.27509,7.90276,32.74572,12.609286,24.286285,14.140877,2.8802037,15.337244,39.251728,7.1164613,32.013206,12.298393,24.252024,8.04237,11.229879,18.387096,21.574587,21.786486,11.964932,23.325916,11.187408,25.045246,20.612757,21.119028,17.36293,16.022161,16.22823,3.6404524,31.060465,22.270033,14.448164,34.448193,16.933617,34.123318,16.835989,36.8762,25.80259,29.241276,2.4719193,24.144604,14.393021,12.943654,27.889208,6.214085,3.6475306,24.23437,14.8183365,26.505283,15.065826,17.104956,20.954012,37.25772,37.652782,24.373547,25.275656,26.094427,2.951218,8.197794,20.145517,15.596742,28.112997,8.173737,29.792841,28.085203,32.327797,22.949718,2.8296344,7.7268925,23.505005,22.658857,22.697533,19.93075,20.66238,22.825302,20.12567,12.435646,4.8739886,12.164674,12.219948,27.063595,5.752473,12.266591
