Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1991,24.517183,51.76482,34.527782,61.662266,57.824097,29.946295,70.34488,59.27632,33.173923,5.5813766,66.891014,27.437935,7.3588934,23.30199,41.458916,69.04033,79.42878,40.41884,38.523888,53.245045,37.6702,57.880146,74.358574,73.81495,22.202272,58.35158,16.208551,72.63165,66.58343,54.60635,18.900309,33.480732,21.634706,19.706886,31.705544,59.67517,25.73501,49.282764,55.421494,50.795177,58.02517,46.66357,57.092224,92.19352,67.94795,51.354366,50.8137,48.35106,37.457935,20.662144,57.291534,43.70189,15.718159,62.882095,65.4565,65.94933,46.336864,67.40913,39.60695,26.797867,21.495941,29.26587,27.019539,23.718975,54.30405,42.673916,86.65617,42.539993,63.54806,40.70048,47.35088,34.95729,52.446636,36.188835,22.023977,58.69828,43.65291,57.26801,63.294323,67.66908,56.656734,52.873386,74.18126,58.668564,45.13311,38.3845,37.95108,17.20367,47.681767,75.24624,10.623002,68.741325,32.84861,57.486187,52.36622,38.632145,29.80692,45.830917,69.57011,47.882267,69.029625,32.59164,38.799084,11.886875,55.579437,50.59269,36.906467,23.37288,63.25063,22.046478,64.105316,38.92435,12.610159,37.01535,45.184063,17.729197,49.727295,36.670086,67.42063,12.28149,36.229744,46.606117,70.80857,70.64335,14.030985,65.44848,82.56888,68.55188,35.17558,32.662743,58.244694,42.04326,38.666145,59.33986,41.54215,72.4208,31.619484,54.50262,51.899273,47.88497,81.62426,64.38298,26.58046,54.252113,7.933423,66.28611,31.016857,34.864902,63.946014,41.251743,27.238876,47.911346,45.96496,43.53654,17.6453,44.753193,76.26803,46.91471,43.271824,69.42846,54.478752,41.456524,14.5253935,31.861097,23.05774,23.54621,33.413807,23.404654,32.723583,59.4655,45.11903,31.948711,12.807239,19.354973,46.562607,65.712364,72.72125,37.61029,53.97267,61.318195,76.4142,16.453241,26.389193,42.856102,33.426018,49.63026,19.322376,21.734457
1992,24.502651,51.94379,34.77692,61.914448,58.422203,29.68487,70.85969,60.41939,33.047028,5.6083245,67.330925,27.597044,7.3973527,24.134323,41.469097,69.14143,79.44837,40.83456,38.222694,53.58582,37.91725,57.58007,74.08929,73.91265,22.3651,58.474735,16.072659,73.36703,67.06734,55.509335,19.799852,33.68335,21.687187,19.353806,31.910992,58.95113,25.993656,49.566887,55.72333,50.650654,59.337193,47.707314,57.69582,92.25947,68.31654,51.8143,51.036415,48.75675,40.068504,20.925243,58.505836,45.915325,15.39797,63.46075,65.76989,66.4242,46.49052,67.95816,39.46362,27.388704,21.830938,29.60348,27.125378,23.833023,55.008923,42.18759,86.71048,43.67821,65.13448,41.6586,48.153526,35.10415,53.631336,36.486656,22.147163,59.160736,43.882862,57.193577,63.878914,67.75653,57.36123,53.44967,74.16355,58.819855,45.4041,38.4851,39.299522,17.633701,50.218296,74.98945,10.812067,68.610535,32.64443,57.74887,52.65762,37.270466,29.803377,46.870987,69.9817,49.019386,69.18462,32.91701,41.171337,11.929186,56.026134,51.026146,37.02009,23.458254,63.47519,21.948278,64.3018,38.47378,12.610496,37.168762,45.615692,17.598495,49.851345,37.911358,67.85061,12.3486,36.46208,46.74556,71.2769,71.01197,13.992207,65.961685,82.791046,68.756744,35.569828,32.0132,58.03362,41.92507,38.54363,59.577038,42.49025,72.54302,31.714567,54.963207,51.952797,47.772068,81.80589,64.27569,27.284178,54.98101,8.0237465,66.40146,31.21583,35.00325,64.48671,40.954987,26.795565,48.076138,46.05497,43.86812,17.739555,45.524338,76.43944,48.869743,44.30185,69.83962,54.648624,40.032757,14.931276,31.669127,22.131643,23.903833,33.504814,23.55853,32.459183,61.47969,45.260273,33.55189,12.815161,19.40977,46.91265,65.88454,73.33237,37.844017,54.75954,61.587734,76.52283,17.035011,26.452152,42.998028,33.719254,49.779484,19.324429,21.724367
1993,24.40886,51.89751,34.86012,62.1995,60.848854,29.523777,70.77188,60.986534,35.45422,5.5946503,67.90763,27.818819,7.515639,24.976133,43.00165,69.003746,82.29113,41.26293,39.721596,53.93515,38.1999,58.084316,75.36688,74.40878,22.602697,58.512184,16.066576,74.00743,67.55849,56.218082,21.199558,33.862186,21.750107,18.955915,32.119755,59.19402,26.173193,49.87139,56.337822,51.29367,60.987663,48.66172,58.679367,92.35201,68.75143,52.266994,51.279247,48.58963,43.02486,21.474422,59.180042,50.75111,15.829377,63.92249,66.01496,67.03623,46.905067,68.56015,39.390656,27.722023,21.907156,29.945915,27.024847,24.472473,55.80484,41.722748,86.77586,44.296074,67.39363,40.189415,48.64807,35.334297,57.091312,36.948044,22.279472,59.728394,44.366325,57.303047,64.372826,67.326866,58.810223,56.157993,74.23812,59.60131,45.65236,38.680252,39.676487,17.522985,52.503246,74.62367,10.841174,68.60591,32.22099,57.88183,53.582497,41.92137,29.93528,47.63465,70.37758,50.05883,69.593094,33.274845,39.893856,11.961407,56.56621,51.512524,37.542263,23.538471,63.668583,21.488853,64.62017,38.546314,12.850418,37.37406,46.310326,17.81288,50.174625,38.73726,68.07137,12.420738,36.61046,46.878525,71.78746,71.23633,14.01228,65.73652,82.99017,68.95218,36.30346,33.49054,59.30085,42.306152,38.655807,59.80291,43.3435,72.70919,31.840555,55.574875,52.3438,47.855717,82.02761,64.48,27.775196,55.53905,7.8246183,66.68326,31.47792,35.124603,65.278175,40.99068,26.957865,48.201267,46.128693,44.283596,17.845036,46.137447,76.048645,49.739338,45.142178,70.15258,54.85925,38.47667,14.565379,31.050196,23.757328,23.879612,33.660347,23.747286,32.693424,62.280563,45.489613,35.791603,12.8466835,19.78385,48.845272,66.730064,73.94124,38.308823,55.846977,62.444973,76.642395,17.77579,26.181065,43.274643,34.045803,49.9744,19.383116,21.762003
1994,24.419292,52.102062,34.987446,62.52103,61.970936,29.622036,71.114685,60.34045,36.36504,5.58334,68.233826,27.556448,7.532364,25.80016,44.294792,69.253914,81.65562,41.62358,41.640465,54.720203,38.474316,58.95649,75.829285,74.86392,22.728216,58.519154,16.275595,73.9827,67.95139,57.724087,23.000519,34.10282,21.839275,18.588427,32.029175,59.985893,26.116245,50.2044,56.269417,51.68128,62.744278,50.367195,59.837875,92.449524,68.44067,52.89861,51.494614,50.168518,43.327736,21.928686,60.25025,53.3541,16.13385,64.276665,66.15834,67.98381,47.191578,70.140526,39.757687,28.211897,21.942152,30.063435,27.10968,24.178925,56.559284,41.235348,86.78379,45.492718,68.86269,38.72525,49.40454,35.484703,58.279324,37.381195,22.439402,59.583057,44.671535,57.441185,64.95839,67.9228,59.344364,57.04249,74.27448,60.003113,45.74251,38.971115,38.67752,16.745455,53.816696,74.55448,10.691092,68.725334,31.874744,58.10193,51.04803,35.638313,30.09649,48.519543,69.86958,50.572197,70.06717,33.575176,40.430763,11.86891,57.182884,53.149967,37.88709,23.897686,63.76048,21.525833,64.63642,38.562744,13.033277,37.54679,47.000168,18.483816,50.2993,39.66033,68.45436,12.45309,36.756927,46.85928,72.66659,71.535324,14.051825,64.36995,83.72133,69.1416,36.974503,32.424572,61.7055,43.357437,39.506325,59.991028,44.3735,73.32039,32.013,55.773308,52.74541,47.625595,82.2458,64.16454,28.103428,56.12387,7.5494094,66.94126,31.796288,35.069233,66.41499,41.45853,26.962679,48.425438,45.4912,44.458847,17.970495,46.849815,73.95856,50.13046,46.044827,70.430984,55.00359,39.683884,14.954991,32.10614,23.590935,23.827606,33.916363,24.121887,34.720005,62.205135,45.70953,35.26031,12.883403,19.887987,47.296425,67.75576,73.82822,38.310287,57.109344,62.460712,76.702095,18.33831,26.45717,43.072186,34.313305,50.199326,19.836422,22.111649
1995,24.535881,52.494762,35.107086,62.80221,63.3255,29.810453,71.75224,60.563316,36.913345,5.4649553,69.07082,28.052526,7.9510093,26.642982,45.351616,69.4114,81.41549,41.922337,42.601982,55.03427,38.778397,59.47271,75.79539,74.63212,23.011072,58.82134,16.467287,73.91852,68.53671,58.23478,24.799824,34.378757,22.066559,18.56847,32.222206,59.83206,26.336159,50.62724,58.0813,51.47678,63.652416,51.107964,60.825493,92.54409,68.52826,53.49121,51.68336,50.818714,44.116535,22.120293,60.808456,55.58896,16.332563,64.64503,66.44708,68.170074,47.824814,70.52131,40.39583,28.793291,21.97537,30.34162,27.34922,24.899178,57.419235,40.717358,86.818474,46.420586,70.1733,38.502426,50.255814,35.93972,59.405148,37.600796,22.62873,60.208412,45.021397,57.66645,65.487206,68.70944,59.75534,56.593582,74.43383,60.59711,46.135708,39.39187,36.09065,16.89931,54.788143,74.81206,11.067741,68.86152,30.927725,58.446556,52.948383,39.49874,29.61317,49.26338,70.87118,51.49787,70.68514,33.874138,42.028755,12.088938,57.79667,54.765602,38.08505,23.93624,63.97545,22.641188,64.52643,35.93018,12.99319,37.89259,45.67948,18.82164,50.469948,42.14425,68.72691,12.573327,36.839622,47.00227,72.81825,71.485466,14.128173,64.98515,84.399086,69.37919,37.744568,34.616486,61.12585,44.043255,40.28822,60.093166,45.23467,74.349495,32.160683,56.34265,53.312805,47.919296,82.41515,64.28023,28.71663,56.64032,7.606121,67.315926,32.071156,35.38988,67.72006,40.642227,26.634739,48.802883,45.536,44.48319,18.117884,47.32899,70.467545,51.89934,46.424526,71.02073,55.125286,41.111298,14.988011,32.209965,25.464485,23.759853,34.393677,24.426125,34.908737,63.838604,45.994568,35.426147,12.909525,20.41673,49.517387,68.55718,73.80466,38.949413,57.78262,62.91823,76.81948,18.95885,26.198418,44.14197,33.74387,50.414467,20.089256,22.472847
1996,24.74143,52.93614,35.572823,62.917366,65.2802,29.986658,72.18753,62.274124,39.226566,5.314014,69.62413,28.31592,8.4500065,27.498222,47.006977,69.682396,80.20568,41.87235,43.581387,54.356503,39.2071,60.49812,76.16579,75.10318,23.273699,59.13231,16.317724,74.13732,69.20004,58.000546,25.999998,34.70665,22.313438,18.865473,32.413998,61.12806,26.430029,50.909554,58.97733,51.611744,65.83657,51.77451,61.793167,92.663635,69.72841,54.097004,51.90291,50.955196,45.08213,22.329767,62.171726,56.628357,16.809692,65.020424,66.419304,68.66981,48.32881,70.62659,40.775192,29.321817,22.133118,30.901,27.830225,25.33413,57.147625,40.20329,86.85072,47.602787,71.71695,39.404842,50.96514,36.23965,58.536537,37.707237,22.824772,61.433327,45.172626,57.889397,66.5113,69.30081,60.520172,57.023643,74.71996,61.05948,46.42593,39.797195,38.280357,17.593935,56.22002,75.68434,11.3592005,69.15104,32.058235,58.698547,52.213005,42.836586,29.087723,50.049763,74.41619,52.373375,71.39785,34.012947,42.10843,12.241698,59.33801,55.289494,38.518364,24.287636,64.257164,23.751774,64.36723,36.005695,13.136954,38.257984,48.768944,18.971632,50.856876,44.637306,69.352455,12.569988,37.130177,47.154934,73.05917,71.59042,14.209439,65.62681,85.02094,69.6599,38.3383,34.61574,61.475983,44.32118,41.61898,60.61035,45.833138,75.62953,32.362907,56.52609,53.34321,48.550846,81.730675,64.134605,30.518414,57.102997,7.5391192,67.51448,32.23508,35.639908,68.96586,41.246395,26.846588,49.27034,45.780907,44.812424,18.275772,48.048428,69.14792,51.566242,47.802837,70.88323,55.401176,41.66882,14.981507,32.552017,26.369616,23.69164,34.590263,24.685772,35.17907,64.88056,46.203926,35.27495,13.068968,20.928053,51.695942,68.94329,73.96219,39.691902,58.872265,64.0886,76.94416,19.372776,26.259819,44.498814,33.16918,50.72995,20.42124,22.774136
1997,24.882126,53.256573,36.13316,62.817825,64.96923,30.102942,72.35564,63.46514,42.690018,5.336689,69.79702,28.77655,8.926758,27.920557,48.643887,69.89943,81.51522,42.156628,44.508274,51.845776,39.616302,60.636486,75.53067,75.656494,23.567556,58.364693,16.566277,73.93562,70.055595,58.283333,26.39969,35.112286,22.596516,18.506397,32.776936,61.93186,26.775549,51.38097,59.029236,51.667717,67.84611,52.571434,62.384197,92.78195,70.02505,54.458767,52.209133,50.878983,46.3111,22.564419,62.045807,56.895157,16.851738,64.802666,65.29912,68.80488,48.966595,71.28305,41.173588,29.98854,22.410795,31.556263,28.891727,25.902594,57.92301,39.69461,86.86246,48.739933,72.877686,40.99036,52.68976,36.643436,58.95706,38.220085,23.046625,60.5375,45.609646,58.266293,66.239075,70.19968,61.491436,60.096413,74.952736,61.37339,46.693542,40.194477,38.187405,17.612495,57.79674,76.36741,12.80739,69.6099,34.4805,58.992805,59.23713,40.26637,29.004896,50.821213,74.335,53.043324,71.95882,34.313374,43.68166,12.431115,61.117138,54.02441,38.985126,24.527584,64.550415,24.9332,64.35737,34.348476,13.47773,38.45351,49.78866,19.354965,50.430626,47.23791,69.05392,12.666509,37.49553,47.478508,73.41386,71.453636,14.301908,67.31538,84.395966,69.90866,38.718307,36.88181,62.99034,44.964596,42.90787,60.681675,46.9825,75.53005,32.561974,55.696026,53.571087,48.781216,80.89416,63.132214,28.836945,57.83239,7.684897,67.856316,32.62628,36.035397,68.44815,41.435795,26.508665,49.65486,45.558514,45.122997,18.45079,48.90052,71.29505,51.547993,47.35688,71.19494,55.697918,42.491856,15.189196,33.33322,26.930748,23.856682,35.274876,24.598215,35.726166,64.106995,46.478844,36.124355,13.230924,21.175161,53.358704,69.157745,74.00855,40.1208,59.728943,65.30668,77.0537,22.044939,26.604158,44.47775,32.74119,51.00731,20.845367,23.02235
1998,25.0381,53.473015,36.467068,62.911987,65.753784,30.223528,72.76864,63.95118,46.578396,5.5895014,70.51718,29.21487,9.393847,28.350513,50.325874,70.09961,81.17851,42.457214,45.521084,57.000732,40.191986,61.39782,74.6916,76.127716,23.753233,56.985245,16.796824,73.89175,70.16149,60.040306,26.699894,35.516666,22.93099,18.505611,33.38643,61.832386,27.024935,51.767967,59.8383,52.420135,69.46262,53.103264,62.829914,92.89592,69.8416,56.787834,52.529053,51.458954,47.94001,22.72414,61.79435,57.74,16.80352,64.630005,64.277916,69.26352,49.80404,71.61578,41.24827,30.522263,22.815178,32.148266,28.010471,26.701084,59.136562,39.217888,86.906296,48.846035,74.4947,42.441414,53.194286,36.90329,57.879307,37.34831,23.318907,62.222305,46.097355,58.70707,64.71938,71.68345,61.50487,60.73452,75.11595,62.482628,46.993355,40.714687,37.949455,17.86919,59.996986,76.9959,12.808706,69.752754,35.44593,59.52102,58.110123,36.73776,29.312696,51.374653,75.472916,53.920277,72.65058,34.507713,39.70764,12.608345,62.502583,55.76242,39.50789,25.075848,64.778145,25.181345,64.45197,34.443596,13.861895,39.020485,49.824654,19.450329,51.76099,50.29251,69.48756,12.86095,38.089684,47.820446,73.7546,72.45686,14.426283,67.22444,83.75334,70.21064,39.0022,35.58857,64.16779,44.879623,44.98888,61.068897,47.97805,75.65902,32.853966,50.863873,53.46522,48.835827,79.57613,61.8865,29.256176,59.182415,7.9133205,67.78425,33.02864,36.571896,69.2406,42.54238,26.723228,50.31485,45.827297,45.516174,18.65986,49.487278,68.227295,52.320652,48.415096,71.04901,55.972233,43.16859,15.588955,34.182,27.259214,23.953426,35.563347,24.457928,35.859825,63.653324,46.79014,36.54705,13.436207,21.506342,53.53706,67.38138,74.22087,40.90217,60.42507,65.50582,77.232185,23.65652,27.141125,45.373363,32.283047,51.237827,21.418278,23.368486
1999,25.19961,53.939884,36.735817,63.16817,66.954544,30.308592,72.984856,64.00951,46.513447,5.732932,71.83581,29.697174,9.915229,28.735897,52.18632,70.118454,79.249886,43.325775,46.444736,55.540356,41.13832,61.6607,74.281,76.95987,24.03985,58.016014,17.353394,74.07242,70.37575,62.14345,26.900017,35.94724,23.32105,18.07888,33.187492,62.76557,27.345863,52.110065,60.108883,53.74545,70.9921,54.132374,63.30104,92.98759,69.75341,57.154366,52.81599,49.435505,48.718742,23.052803,62.11312,59.78327,17.132973,65.88954,61.986217,69.46176,49.490955,72.63511,38.30023,31.068935,22.917397,32.837368,28.130947,26.666939,59.639404,38.46585,86.95492,50.013054,76.12565,42.8947,53.862076,37.26419,58.692764,37.204716,23.641075,63.05403,46.16296,58.5008,67.94044,72.7609,62.202297,61.420753,75.28761,62.91855,47.180473,41.216125,36.05966,17.835896,61.14423,77.77473,12.764283,70.24334,36.722656,59.494766,59.069035,38.03084,29.66253,52.941055,76.06309,56.75203,73.41835,34.77768,37.45817,12.827379,63.895218,54.12028,40.149895,25.38136,65.29617,25.470572,64.97017,34.980366,14.429932,39.458267,50.31405,19.582962,52.494865,53.401375,69.93219,12.957629,38.527454,48.197144,74.46112,73.14343,14.583068,67.480125,83.28433,70.57901,39.18993,35.59095,64.37227,45.05243,44.87272,61.070488,49.112915,75.611916,33.23238,52.86456,52.15633,49.420456,79.07352,61.444782,28.934576,55.98956,8.215543,68.44239,33.474262,37.27573,69.812,42.953114,26.663694,52.888496,46.12881,46.300076,18.88623,50.22698,72.74637,54.17444,51.353954,72.007225,56.28061,43.873005,15.562551,34.40985,28.744274,24.08596,35.983444,24.53335,35.684258,64.14405,47.071228,38.06073,13.7680855,21.994772,53.809612,66.747635,74.83295,41.491005,61.52565,67.09903,77.42301,23.022701,27.250626,46.160995,34.75081,51.551926,23.295633,23.206163
2000,25.444176,54.28901,37.01909,63.43227,67.90266,30.36515,72.724106,63.92463,48.111744,5.8912735,72.278656,30.376654,10.423638,29.108961,53.973038,69.90429,78.89525,43.910347,47.179356,56.502464,42.442387,62.041695,75.89129,77.1195,24.482008,58.890045,17.204914,74.190315,70.695244,62.168953,27.499477,36.32029,23.717497,18.358902,33.416286,61.39034,27.942314,52.580414,61.295258,54.33978,70.825806,54.56537,63.831406,93.09675,70.993744,59.755142,52.952538,48.81153,49.069836,23.32182,62.485115,58.645462,16.724133,65.83955,60.209225,69.58214,49.565533,73.29737,38.02056,31.332,23.230774,33.61003,29.086708,26.877224,60.337605,37.737614,86.8631,50.579575,76.96299,41.83685,54.19141,37.832783,59.763783,37.28495,24.035353,63.586155,46.37272,58.588318,69.18429,73.63307,62.978546,62.152874,75.38657,63.651905,47.585907,41.556488,36.45105,17.987663,60.986546,78.28989,13.441375,70.762245,37.753624,59.666553,58.359406,39.332912,30.120268,53.981697,76.763145,58.31627,74.41864,35.11701,35.24012,13.045929,65.364784,55.529316,40.9801,25.438828,65.21092,25.821663,65.3431,37.218735,14.735308,39.873375,49.318825,19.68877,52.704624,56.412067,70.31521,12.994108,39.19366,48.65914,75.14252,73.92306,14.844952,67.968735,82.41953,70.91665,39.565468,33.868473,65.6667,45.39565,46.677113,60.408344,50.27204,75.838356,33.613552,52.888035,51.209923,51.816517,78.76162,60.523407,29.01334,56.266335,8.595215,68.583694,34.017654,37.808453,71.21705,43.548588,27.07447,54.150375,46.4609,46.562477,19.137438,50.84146,72.37033,56.091366,52.745697,72.72078,56.360634,41.012268,15.458357,34.589493,28.190708,24.325874,36.647423,27.462574,36.33916,64.68941,47.408184,40.125237,14.163003,22.268362,54.227886,66.23698,75.04038,42.41582,62.530617,66.559494,77.53381,22.308702,27.424328,46.526634,38.089672,51.91144,25.411594,22.12308
