Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,100.0,,,100.0,100.0,100.0,92.1548,,95.76305,100.0,100.0,,,100.0,,,,100.0,99.9414,100.0,100.0,100.0,,100.0,,87.47511,99.98425,100.0,,,,100.0,100.0,92.25742,,,,,,89.9,,,,,100.0,99.846924,100.0,100.0,100.0,,,100.0,,,,,,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,,100.0,,,,,100.0,,100.0,,99.84431,,100.0,,100.0,,100.0,,100.0,,100.0,,,100.0,100.0,100.0,70.33459,96.8,100.0,,,,,,91.306816,99.88284,100.0,,,,,,100.0,,,100.0,100.0,100.0,99.84928,100.0,,100.0,100.0,,,,,100.0,,100.0,,100.0,,99.853264,,,99.041565,,,,99.84431,,27.3,,100.0,100.0,,98.999084,100.0,100.0,100.0,100.0,,,70.19,,,96.62535,,100.0,99.98343,,100.0,,,100.0,100.0,100.0,100.0,,100.0,32.8,,100.0,,,,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,,,88.7,,,,,,,,,,,,,,100.0,,100.0,,,,94.60656,100.0,,,,,,13.9,
1991,99.153656,,,100.0,100.0,100.0,92.49219,,95.94065,100.0,100.0,,,100.0,,,14.29,100.0,99.96739,100.0,100.0,100.0,67.0,100.0,,90.606544,99.99344,100.0,,10.1,,100.0,100.0,94.781624,,,29.0,,,91.836655,,,,,100.0,99.878815,100.0,100.0,100.0,,,100.0,78.2,,,,,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,,100.0,,,,,100.0,,100.0,,99.87582,,100.0,54.781937,100.0,,100.0,48.9,100.0,,100.0,,,100.0,100.0,100.0,77.22887,97.85468,100.0,,,,,,91.67117,99.912674,100.0,,,,,,100.0,,,100.0,100.0,100.0,99.880585,100.0,,100.0,100.0,,,,,100.0,,100.0,,100.0,,99.88438,,,99.07068,,,,99.87582,,35.2346,,100.0,100.0,,99.041306,100.0,100.0,100.0,100.0,,,73.44313,,,96.7627,,100.0,99.993095,,100.0,,,100.0,100.0,100.0,100.0,,100.0,26.919294,,100.0,,,69.60788,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,,,91.05391,,,,,,,,,,,,,5.6,100.0,,100.0,,66.8,,94.82474,100.0,,,78.8,,,12.752703,
1992,99.19713,,,100.0,100.0,100.0,92.82945,,96.11813,100.0,100.0,,,100.0,,,9.905419,100.0,99.98718,100.0,100.0,100.0,72.224915,100.0,60.0279,88.80383,99.99869,100.0,,9.398227,,100.0,100.0,94.56006,,,32.697525,,,92.13266,,,,,100.0,99.91024,100.0,100.0,100.0,,,100.0,82.485405,,,93.4,,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,,100.0,,,,,100.0,,100.0,,99.90687,,100.0,58.913113,100.0,,100.0,66.69656,100.0,,100.0,,,100.0,100.0,100.0,78.03292,97.97486,100.0,,,,,,92.03543,99.942215,100.0,,,,,,100.0,,,100.0,100.0,100.0,99.91143,100.0,49.2,100.0,100.0,9.2,,93.14598,,100.0,,100.0,,100.0,,99.91503,,,99.09968,3.2,,26.4,99.90687,4.4,36.09946,,100.0,100.0,,99.08342,100.0,100.0,100.0,100.0,,,74.25564,70.1,,96.89993,,100.0,99.99862,,100.0,,,100.0,100.0,100.0,100.0,2.3,100.0,27.408613,,100.0,,,75.33219,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,,,91.43912,,,,,,,,,,,,6.8,,100.0,96.18231,100.0,,69.11443,97.820206,95.0428,100.0,,,81.64017,44.1,,19.2,28.2
1993,99.239914,,,100.0,100.0,100.0,93.166046,,96.294945,100.0,100.0,,,100.0,,6.1,12.71788,100.0,99.99714,100.0,100.0,100.0,73.12333,100.0,61.38403,89.99992,100.0,100.0,,11.6420765,,100.0,100.0,95.27373,,,33.849194,,,92.42799,,,,,100.0,100.0,100.0,100.0,100.0,,,100.0,83.25549,,,95.39224,,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,30.6,100.0,,17.7,,,100.0,,100.0,,99.937256,72.37663,100.0,61.100155,100.0,,100.0,55.43,100.0,50.9,100.0,,,100.0,100.0,100.0,78.836296,98.09436,100.0,,10.9,,,,92.399,99.96944,100.0,31.0,,,,,100.0,,,100.0,100.0,100.0,99.94162,100.0,56.77265,100.0,100.0,10.105623,,95.44846,,100.0,,100.0,,100.0,,99.94492,,,99.128006,1.5535558,,27.0,99.937256,4.01214,36.963646,72.06417,100.0,100.0,,99.124855,100.0,100.0,100.0,100.0,,,75.06746,64.74899,65.4,97.03649,,100.0,100.0,,100.0,,,100.0,100.0,100.0,100.0,,100.0,27.897253,26.0,100.0,,,76.27614,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,,,91.82365,,,,,,,,,,,,2.3301878,,100.0,96.36306,100.0,,70.46484,98.23953,95.26019,100.0,,,82.42459,40.774715,,14.213207,31.163668
1994,100.0,,,100.0,100.0,100.0,93.501274,,96.47039,100.0,100.0,,,100.0,,6.12501,17.8,100.0,99.99977,100.0,100.0,100.0,74.020386,100.0,64.1,91.88373,100.0,100.0,,13.884566,,100.0,100.0,95.518074,,36.5,34.999504,,,92.72196,,,,,100.0,100.0,100.0,100.0,100.0,,,100.0,84.02422,,,95.64854,,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,30.369406,100.0,,18.25005,,,100.0,,100.0,,99.96508,70.71398,100.0,64.73395,100.0,,100.0,62.8,100.0,49.81131,100.0,,,100.0,100.0,100.0,79.63831,98.2125,100.0,,3.4734368,,,,92.76121,99.98912,100.0,25.605793,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,58.6089,100.0,100.0,10.561648,,95.2383,,100.0,,100.0,,100.0,,99.97164,,,99.15497,2.0136614,,28.932589,99.96508,4.5717764,37.82647,69.25383,100.0,100.0,,99.164925,100.0,100.0,100.0,100.0,,,75.87792,66.05293,68.018555,97.171684,,100.0,100.0,,100.0,,,100.0,100.0,100.0,100.0,,100.0,28.384535,27.190487,100.0,,,77.21872,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,90.0,,92.20682,,,,,,,80.0,,86.8,,,3.3006473,0.53389853,100.0,96.54245,100.0,,71.813896,98.32333,95.47622,100.0,,18.0,80.0,41.985134,,14.941759,28.1
1995,100.0,,,100.0,100.0,100.0,93.834465,,96.6438,100.0,100.0,,,100.0,,6.625333,18.338045,100.0,100.0,100.0,100.0,100.0,74.9154,100.0,64.09153,91.7286,100.0,100.0,,16.125017,3.0,100.0,100.0,95.76038,,43.631252,36.147774,,,91.2,,,,,100.0,100.0,100.0,100.0,100.0,,,100.0,84.79091,,89.83017,95.5,22.9,100.0,100.0,,100.0,,100.0,100.0,,,100.0,,32.45045,100.0,,19.921444,,,100.0,,100.0,60.8,100.0,71.35198,100.0,66.122025,100.0,31.3,100.0,66.86,100.0,51.408775,100.0,,,100.0,100.0,100.0,80.43829,98.3286,100.0,99.9,5.4273434,,,,93.12138,100.0,100.0,25.0,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,56.5,100.0,100.0,11.015635,,95.89446,,100.0,,100.0,,100.0,,100.0,,,99.179886,2.4717271,,29.952148,100.0,6.2,38.687252,69.84991,100.0,100.0,,99.20296,100.0,100.0,100.0,100.0,,,76.68634,67.354836,69.13312,97.30484,,100.0,100.0,,100.0,77.46912,,100.0,100.0,100.0,100.0,,100.0,28.869783,28.857191,100.0,,,76.99551,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,92.17365,,92.587944,,,,,,,81.788475,,88.7,,,4.2690673,6.8,100.0,96.719795,100.0,,73.160904,99.0,95.6902,100.0,,12.941644,83.98869,43.193512,,15.668272,31.94858
1996,100.0,,,100.0,100.0,100.0,94.16494,,96.81448,100.0,100.0,,,100.0,14.5,7.1229362,21.144386,100.0,100.0,100.0,100.0,100.0,75.80769,100.0,71.0,92.867096,100.0,100.0,,18.362747,3.3349156,100.0,100.0,95.61732,,44.648212,37.293324,,,93.3031,28.9,,,,100.0,100.0,100.0,100.0,100.0,62.0,,100.0,85.55488,,92.05138,96.15433,24.755447,100.0,100.0,,100.0,66.9,100.0,100.0,,,100.0,,34.52877,100.0,,21.590118,,,100.0,,100.0,67.67994,100.0,71.98727,100.0,61.68112,100.0,30.013018,100.0,72.39,100.0,53.00352,100.0,,,100.0,100.0,100.0,85.70605,98.44198,100.0,99.192116,7.3785305,,,,93.478836,100.0,100.0,31.2477,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,62.274593,100.0,100.0,11.466901,,96.09362,,100.0,6.2,100.0,,100.0,,100.0,,,99.202095,2.9270735,,30.968988,100.0,7.0,39.54532,70.44326,100.0,100.0,17.9,99.238266,100.0,100.0,100.0,100.0,,,77.49204,67.0,70.24496,97.43527,11.0,100.0,100.0,,100.0,86.260056,,100.0,100.0,100.0,100.0,,100.0,29.352316,30.521177,100.0,,,77.883,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,92.55249,,92.96635,,,,,,,82.55437,,90.4,,,9.4,2.8111043,100.0,95.9,100.0,99.6,74.5052,98.48413,95.901474,100.0,,14.792361,84.767,44.39917,57.6,17.3,32.337296
1997,100.0,,,100.0,100.0,100.0,94.49201,,96.98177,100.0,100.0,,,100.0,18.589626,7.61714,22.4,100.0,100.0,100.0,100.0,100.0,76.69659,100.0,67.33043,93.35414,100.0,100.0,,20.597078,3.8302102,100.0,100.0,96.23617,,45.66177,38.435474,,,93.58891,32.762413,,,,100.0,100.0,100.0,100.0,100.0,56.294495,,100.0,86.315445,,92.42982,96.402466,25.87461,100.0,100.0,,100.0,71.771515,100.0,100.0,,,100.0,,36.603695,100.0,,23.255392,,,100.0,,100.0,68.904076,100.0,72.619156,100.0,64.794754,100.0,30.557037,100.0,80.3,100.0,54.594864,100.0,,,100.0,100.0,100.0,82.0294,98.9,100.0,99.26947,9.326318,99.8,,,93.832886,100.0,100.0,34.063896,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,64.102684,100.0,100.0,10.9,,96.32958,,100.0,4.288541,100.0,,100.0,,100.0,6.6,,99.220894,3.3790202,,31.98243,100.0,6.235728,40.399982,71.03321,100.0,100.0,18.132868,99.27018,100.0,100.0,100.0,100.0,,,78.29435,69.16024,71.35339,97.56231,2.1584826,100.0,100.0,,100.0,86.41286,97.9,100.0,100.0,100.0,100.0,1.027836,100.0,29.831457,32.2,100.0,,,80.03152,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,92.0,,93.34136,2.3,,,,,,83.31686,,92.0,,,6.197068,3.9449477,100.0,97.06565,100.0,99.379745,75.84609,98.7,96.10934,100.0,78.4,16.639679,85.54191,42.6,69.48335,17.11246,32.72261
1998,100.0,,,100.0,100.0,100.0,94.815,,97.14498,100.0,100.0,,3.9,100.0,19.578255,8.1072645,26.746193,100.0,100.0,100.0,100.0,100.0,77.581406,100.0,71.2,94.19381,100.0,100.0,,22.82733,4.3214254,100.0,100.0,97.24113,,46.671246,40.7,,,93.87064,35.09453,,,,100.0,100.0,100.0,100.0,100.0,56.322254,75.0,100.0,87.07194,,92.72664,96.64652,26.989695,100.0,100.0,,100.0,73.089584,100.0,100.0,,,100.0,,42.6,100.0,,24.916588,,,100.0,85.04,100.0,70.12413,100.0,73.246956,100.0,66.85952,100.0,31.096975,100.0,80.94,100.0,56.182133,100.0,,,100.0,100.0,100.0,82.819176,98.65785,100.0,99.34275,14.5,99.553825,18.67,,94.18286,100.0,100.0,36.87601,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,65.92669,100.0,100.0,12.358555,,96.09276,,100.0,6.0668635,100.0,,100.0,,100.0,3.6631756,,99.23562,3.8268876,,32.99179,100.0,6.7,41.25057,69.047104,100.0,100.0,21.732533,99.29801,100.0,100.0,100.0,100.0,73.196236,70.46,79.092575,72.07206,71.3,97.685265,4.2950897,100.0,100.0,,100.0,87.76237,98.5393,100.0,100.0,100.0,100.0,2.1741276,100.0,30.306528,33.83827,100.0,,,81.637985,100.0,,100.0,,,,100.0,100.0,100.0,,100.0,93.29929,,93.71229,2.4203873,15.3,,,,,84.07527,,93.2,,,7.1552896,5.074712,100.0,97.2328,100.0,99.44935,77.18291,98.4,96.313126,100.0,86.17599,18.482918,86.312744,46.79961,64.9,19.0,33.103848
1999,100.0,,,100.0,100.0,100.0,95.133156,,97.30335,100.0,100.0,97.0,2.0709493,100.0,20.562042,6.9,29.540215,100.0,100.0,100.0,100.0,100.0,78.46138,100.0,70.929886,94.76296,100.0,100.0,,25.05274,4.8077984,100.0,100.0,96.69555,,48.2,40.706776,,,94.14753,37.421803,,,,100.0,100.0,100.0,100.0,100.0,56.34517,79.62192,100.0,91.0,,93.071434,96.885735,28.099936,100.0,100.0,,100.0,74.40282,100.0,100.0,,,100.0,,40.74054,100.0,16.4,26.57294,,,100.0,85.529465,100.0,70.9,100.0,73.86992,100.0,67.394104,100.0,31.632072,100.0,83.73,100.0,60.1,100.0,,,100.0,100.0,100.0,84.554115,98.75891,100.0,97.0,13.208892,99.56558,8.820037,,94.52799,100.0,100.0,39.683285,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,67.74586,100.0,100.0,12.797501,,96.7483,68.52424,100.0,7.840344,100.0,,100.0,,100.0,4.8791237,,99.24551,4.2699127,,33.99631,100.0,7.325682,44.9,72.20013,100.0,100.0,25.327354,99.32101,100.0,100.0,100.0,100.0,74.50321,70.26535,79.885956,74.07852,71.87417,97.803375,6.426855,100.0,100.0,,100.0,88.51817,98.62315,100.0,100.0,100.0,100.0,3.315577,100.0,30.776756,36.2,100.0,15.7,,79.12959,100.0,,100.0,,,99.62406,100.0,100.0,100.0,,100.0,93.66581,,94.07838,2.8062134,16.073,,97.0,,,84.82884,,94.2,,,8.0,6.199634,100.0,97.39511,100.0,99.514114,78.51488,98.9,96.51208,100.0,86.99444,19.1,87.07873,47.992947,71.33179,18.540245,38.4
