Date,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BGR,BLR,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KOR,KWT,LKA,LTU,LUX,LVA,MAR,MEX,MKD,MYS,NLD,NOR,NZL,OMN,OWID_USS,OWID_WRL,PAK,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SGP,SVK,SVN,SWE,THA,TKM,TTO,TUR,TWN,UKR,USA,UZB,VEN,VNM,ZAF
1966,0.0,-1.4832315,7.3611145,-2.6473083,,-19.566147,0.0,2.17482,,1.6863499,-3.5355072,-2.5694447,0.40705013,92.807495,0.0,0.0,-1.2095032,-124.13721,5.735916,-0.023259938,0.0,-1.5002701,-8.44339,,-1.4552841,-37.50119,-65.90723,-0.046518326,-0.19770992,,-5.1986084,0.33727002,-0.9919739,5.0590477,0.24423003,0.0,-0.020044077,0.0,4.023979,37.25,,7.617653,0.0,0.0,,-3.0784607,,1.1271665,0.5347214,,0.058149993,-9.166664,-0.703743,-0.52334785,0.0,126.03076,181.73633,-2.5004492,0.109696,-0.02713281,9.269104,0.13956022,0.0,3.9030762,,0.0,0.011629999,0.8831787,,-1.1866322,0.23260003,,0.0,4.814823,-0.18608093,,156.60205,,0.011630014,0.52628803,-3.6285706
1967,0.0,0.8685789,5.8611145,-3.016693,,-3.773758,0.0,6.1755295,,0.7326908,-1.6282043,-1.9194441,0.0,-158.16809,2.27948,0.0,-13.490814,-64.035034,-7.01173,-0.18608004,0.0,1.7212398,1.6979828,,-0.71264076,-6.4000244,-85.585205,-1.0815907,-0.24423009,,-16.119171,-0.54661,6.8699036,2.686531,0.27911997,0.0,-0.012955319,0.0,10.001801,59.421814,,-3.0005417,0.0,0.0,,-1.8038139,,-0.01366663,1.9425001,,-0.09303999,-3.6111145,0.40752697,-1.6165714,0.0,55.500977,-263.9131,-0.5349798,0.06677151,-0.10853115,12.688293,-0.034890175,0.0,5.9046555,,0.0,-0.023259997,-2.5406418,,-0.18363762,0.59312993,,0.0,-5.396324,0.51172256,,-63.84961,,0.011629999,1.0525818,8.175873
1968,0.0,-0.22136164,6.4444427,-0.6772194,,6.466934,0.0,6.7453995,,-0.36052895,15.107361,-0.5666666,0.0,-9.42041,-2.291111,0.0,13.921112,24.134766,-4.340313,0.034889996,0.0,0.19771004,1.3025589,,3.696724,-19.592682,0.91882324,3.023798,-0.27912003,,-1.372345,-0.32564008,14.539459,9.757568,0.30238008,0.0,-0.009044278,0.0,-3.605301,19.260315,,-3.4773712,0.0,0.0,,1.9282551,,-0.3269999,0.50694466,,0.0,-4.7222137,0.15351582,-1.0001802,0.0,-31.749756,237.62598,1.314189,-0.0047694445,-0.2062092,34.343384,-0.69780016,0.0,5.82959,,0.0,0.03489,3.5447998,,-3.1024647,0.13955998,,0.0,3.6634521,0.27911758,,116.08008,,0.011629999,1.3157148,13.618744
1969,0.0,1.5031352,7.5833282,-0.8372803,,-5.3738403,0.0,0.4535675,,2.5818596,-6.559311,-0.9333334,0.0,260.68652,1.5816784,0.0,16.142426,50.521484,-3.237793,0.17444998,0.0,0.40705013,0.6745453,,4.349434,-0.18197632,-30.703247,-0.8489895,-0.29074997,,1.5584183,0.19771016,27.016449,-2.5818558,0.33726978,0.0,-0.010022042,0.0,2.9307632,46.52765,,2.6051216,0.0,0.0,,1.7933464,,-0.0020000935,0.15055561,,0.034889996,-12.777779,0.99670315,0.40705013,0.0,68.62866,513.85645,-1.4304895,0.40539843,0.054265574,37.85565,-0.3605299,0.0,10.320633,,0.0,-0.03489,3.7383652,,-0.5052204,0.09304011,,0.0,2.84935,-2.8958664,,14.160889,,0.011629999,0.8771467,3.0005188
1970,0.0,2.6004286,2.4166718,3.9177666,,-11.555847,0.0,8.001442,,3.5263767,13.502426,-1.2555556,0.96529007,413.03955,1.0932217,0.0,5.268402,-21.962524,-6.836113,0.15118998,0.0,-0.43030977,6.094116,,0.42944717,-23.408539,-67.29114,3.8495312,-0.17445001,,1.7212448,-0.15119016,-24.032318,-26.272173,0.3721602,0.0,-0.007944301,0.0,1.116478,-26.67743,,4.1286507,0.0,0.0,,0.7745571,,0.42483354,1.3555555,,0.011629999,-19.444447,0.20901394,0.011629105,0.0,-47.205566,240.00586,-2.1515493,0.014308155,0.0,30.27295,-0.5000901,0.0,6.630226,,0.0,0.0,0.61701965,,1.1810493,0.10467005,,0.0,5.2334976,-0.74432373,,-32.578125,,0.0,0.9648609,10.17627
1971,0.0,-1.4450569,0.875,-4.620556,,-32.517548,1.0869898,-1.2095184,,0.18764496,-9.745941,-2.4638886,-0.51172066,295.22754,-5.799801,0.0,18.061401,-74.61804,-10.600746,-0.6977999,0.0,-0.9116411,0.56987,,-2.9880543,-41.52237,-127.04614,13.932741,0.06977999,,-3.4424896,0.15119016,6.0633545,-1.13974,-1.1786771,0.0,-0.0050110193,0.0,-3.8960495,-64.63916,,0.6977997,0.0,0.0,,-2.4574184,,0.1536665,3.1961107,,0.29075003,-13.055557,-0.59240913,-1.8142796,0.0,73.41162,-99.34961,-2.2329607,0.4069444,-0.005426571,19.270935,-0.40705013,0.0,4.678688,,0.0,0.011281103,3.7504654,,-2.1807861,-0.35762262,,0.0,1.5119019,-3.5471478,,-185.4585,,1.3802949,1.4911509,22.071533
1972,0.0,-1.6262474,10.3611145,-4.7797203,,-7.0335083,-3.4570694e-06,2.826088,,1.5034714,-10.548401,-0.78888893,-2.5004501,128.04639,0.7911892,0.0,-6.408142,-39.5188,0.36169243,-0.03489001,0.0,-0.47998166,2.7679443,,2.578333,-47.53897,-122.78955,2.9540176,-0.16282,,-2.930748,0.0,24.810852,-1.6514606,1.580668,0.0,-0.0030554999,0.0,-7.6990585,-14.544617,,1.6514587,0.0,0.0,,-0.45705986,,0.8201668,1.6530552,,0.73269,-5.833332,0.8017607,0.3605299,0.0,99.21802,180.57031,-1.6863494,0.11611116,-0.005426541,38.49524,-0.5814996,0.0,4.117012,,0.0,-0.011339255,1.4304962,,-2.8097267,-0.28433025,,0.0,4.047241,-1.33745,,133.22412,,0.08881831,-4.1286507,2.4093628
1973,0.0,0.8452282,10.055542,-0.28417206,,-24.05561,0.32552373,0.7326889,,-0.51735306,5.280014,-0.21944427,1.0234413,30.819336,0.3878498,0.0,-9.524933,5.2684326,9.09815,0.03489001,0.0,-0.47601604,-2.4190445,,2.8741665,-1.7442017,72.05951,8.15263,-0.06977999,,0.52334595,-0.38379014,-6.233673,-0.546608,2.9921665,0.0,-0.0029332796,0.0,1.5118942,35.700012,,17.945091,0.0,0.0,,-0.25934792,,-0.03966713,1.2508354,,-0.058149934,0.55555725,0.7615204,1.9887304,0.0,45.072754,515.34375,-0.046520233,0.22055554,0.0,3.593689,2.1282897,0.0,11.6067505,,0.0,0.01566561,-2.2562332,,1.8055801,0.07379234,,0.0,1.3141899,-2.8144608,,249.06494,,1.4199301,5.512621,22.34555
1974,0.0,2.329399,11.083328,2.5530586,,8.739616,-0.1569469,-1.6281967,,1.7937222,2.9191437,-0.5666666,-0.6745405,-25.178955,4.492052,0.0,-1.6049805,6.989624,-1.4490986,-0.04652001,0.0,2.3984668,-3.616928,,0.5533352,2.625,-112.32257,2.895874,0.0,,-4.698517,0.06977999,59.40674,1.6979809,0.7028942,0.0,-0.0009777602,0.0,9.315636,39.52423,,2.686531,0.0,0.0,,1.8607979,,-0.04099989,1.9499989,,0.0,-1.6666679,1.1857948,0.49965096,0.0,18.891357,12.861328,-0.56987,0.11638892,0.086824924,24.737,-1.4653802,0.0,5.3614273,,0.0,0.011339255,-0.26747894,,1.9848099,0.5585656,,0.0,5.500992,0.4303093,,-85.92285,,-0.795434,3.5122585,17.35492
1975,0.0,-0.3149824,8.472229,-6.382221,,-33.988472,0.19762862,4.547325,,5.9129677,-5.0125427,-0.8888891,-2.465561,299.64697,0.4271927,0.0,9.222595,-153.55078,-0.8710861,0.05815001,0.0,1.0953245,12.06031,,-2.780281,-34.047485,4.942749,17.74738,-0.011630006,,-4.582222,0.23259997,39.05011,-3.5820408,6.8933334,0.0,-0.0013265936,0.0,0.3023758,-45.08246,,5.0009003,0.0,0.0,,-7.191992,,0.5760002,3.0558338,,-1.0467,-5.277775,-0.59499073,-1.0279408,0.0,110.07153,349.0039,-0.18607998,0.08138895,0.2713279,71.152405,-0.31400967,0.0,4.000717,,0.0,-0.046996832,-0.33727264,,1.645216,-0.07403648,,0.0,2.5469666,-2.1515484,,-0.025878906,,0.556926,8.408491,25.724884
1976,0.0,0.13164616,9.25,2.7194405,,4.2248,-0.017433286,-6.687248,,2.5011444,33.064087,-0.16111112,0.09304047,64.95361,-0.57886505,0.0,8.606201,82.27051,9.288881,0.26749,0.0,-0.14681673,-3.8844223,,9.315001,41.09326,14.665466,13.641991,0.023259997,,1.2211456,0.0,23.12854,0.558239,-0.17444992,0.0,4.666671e-05,0.0,-0.96528625,-14.472717,,10.722862,0.0,0.00512883,,-1.6863499,,0.40733337,-5.493334,,0.011629991,6.9444427,-0.40427017,0.5000744,0.0,-4.305908,654.3496,-0.05815029,-0.44166672,0.10853118,44.36841,-0.13955975,0.0,1.6863556,,0.0,0.02432996,-0.6978073,,-0.9038944,0.25627863,,0.0,3.3727036,1.314188,,256.50098,,-1.0080537,-1.6747208,20.378448
1977,0.0,-0.6340828,12.3888855,-7.25972,,1.4915009,0.0639416,-0.37216187,,10.659641,59.126938,0.41666675,0.75595,272.3745,0.6489258,0.0,9.722656,-61.83667,4.9834557,0.16281998,0.0,0.92193365,8.513168,,0.30083466,2.3045044,2.779541,5.640541,-0.011629991,,1.6049423,0.08141017,27.311401,0.96529007,0.17233276,0.0,-0.00024499977,0.0,-1.8840637,-36.13379,,9.548225,0.0,0.02417877,,-2.9191284,,-0.28933382,7.9449997,,0.011630006,1.6666679,-1.5423584,-0.805521,0.0,71.36157,567.62695,0.52335024,0.2208333,1.0039133,36.09955,-0.43031073,0.0,1.4421158,,0.0,0.011327617,2.116661,,-4.4693756,-0.070977926,,0.0,2.1864395,3.4192219,,94.11499,,1.0561785,2.7214203,15.403656
1978,0.0,2.4106922,7.6805725,0.60194397,,2.54879,-0.046508312,6.059227,,7.5489807,-48.33429,-0.29166675,-0.2674904,293.65747,0.28417778,0.0,1.7910461,19.480347,3.878605,-0.34889996,0.0,-0.31438255,-18.01487,,12.673336,-2.3664246,-21.91095,-10.45536,-0.023260009,,-0.09303284,0.38378978,-19.682129,-1.151371,-5.8256874,0.0,-0.00038500014,0.0,1.9189453,-56.924316,,1.349083,0.0,0.0011723042,,1.0432091,,0.03966713,1.1113892,,0.15119,5.277775,0.2924013,-1.2500572,0.0,-24.473877,200.08008,0.4186802,-0.25555563,-0.14109063,49.066895,0.75595,0.0,14.281631,,0.0,0.003105212,3.8960571,,0.44408035,0.5146625,,0.0,1.0815887,2.7912006,,-43.579834,,-2.0604057,-1.0350704,-12.761047
1979,0.0,-0.9175215,13.680542,3.2838898,,12.391258,-0.3720088,3.035431,,4.993641,-11.874237,0.08888888,1.1048508,113.50903,0.2331829,0.0,0.13955688,88.2948,8.088665,0.47683,0.0,0.78294325,15.386482,,-1.7811165,26.768372,61.976257,-37.844025,-0.011629999,,0.7326889,0.7792103,36.828796,2.9656525,4.058161,0.0,0.18120669,0.0,11.0485,37.08185,,22.666862,0.0,-0.010697275,,2.128292,,-0.12166691,-0.47833443,,0.11630002,-1.9444427,2.415783,-1.6111221,0.0,29.09497,903.08594,0.7908397,0.09277785,-0.19535601,13.3046875,0.22097015,0.0,10.048325,,0.0,-0.04576405,-1.3839645,,3.2005749,2.5392127,,0.0,1.8724289,7.815357,,354.7068,,0.9949931,1.0234413,28.715729
1980,0.0,-1.3570843,9.222229,1.1486092,,0.979187,0.36314678,4.919487,,5.7161026,46.143982,1.2583332,1.1978903,136.31348,1.3151188,0.0,-14.293243,36.98352,21.40036,-0.09304005,0.0,-1.5500579,19.166245,,6.375004,5.3962708,-62.627502,0.0,-0.02326,,-1.8608017,0.61638975,32.072144,-1.2095222,0.7016611,0.0,0.06110999,0.01163,21.562027,94.246216,,15.770294,0.0,0.006887287,,-0.17096138,,-0.20016623,0.335001,,0.18608004,6.3888893,-0.9115591,0.37823105,0.0,-123.24536,507.20508,0.5000901,0.08166671,0.27675438,65.837524,-1.1281099,0.0,3.279663,,0.0,0.02679552,11.4322815,,-0.9776516,0.39355898,,0.0,4.5240707,6.884964,,106.6958,,-0.0908885,-4.55896,36.98526
1981,0.0,-0.5841217,8.3750305,1.0152779,,4.3780594,0.040449142,1.6282043,,-1.4869003,5.4258423,1.9027779,-0.023260117,-18.823975,0.53289795,0.0,-1.8143005,27.551392,-14.3537445,-0.22096997,0.0,1.8492403,33.796783,,-20.69389,-43.920837,-4.489197,-0.46519852,0.38379,,0.4535675,0.19771004,82.57739,1.0234413,-2.2944946,0.0,0.17110802,0.0,3.6285553,82.00952,,23.78566,0.0,-0.011869578,,-4.1530724,,0.28883314,-3.1391678,,0.5000899,5.0,0.020259857,-0.05027771,0.0,-24.906494,280.21875,1.1048508,0.023055553,1.1938429,-128.0929,0.5466099,0.0,7.350174,,0.0,0.01896853,-2.5237122,,-2.7836857,0.58821106,,0.0,1.6979828,-3.4308548,,134.9541,,-0.021957397,3.0005379,92.12799
