Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,653.8462,250.0,256.94443,48.625793,676.7652,355.4731,280.2768,647.05884,666.6666,805.977,203.387,617.773,0.0,269.59778,625.0,487.1795,645.54584,458.24097,904.7619,658.8235,517.7373,518.0077,230.76924,649.99994,368.55667,89.44487,658.2278,901.5748,22.346369,850.87726,100.0,245.6858,33.575317,388.1323,783.31366,364.5833,31.884058,23.569023,34.482758,666.6667,189.20813,666.6667,600.0,30.612244,630.7385,659.0909,658.7537,767.0781,573.1259,666.6666,375.0,627.89404,615.68024,638.58264,204.17856,525.64105,666.6667,625.0,470.93973,634.5476,35.502956,246.67714,240.00002,1000.0,79.76566,409.09094,305.34354,521.9859,152.1739,79.49791,692.30774,333.33334,672.1311,692.30774,666.6667,800.0,822.81836,692.30774,275.86206,374.613,86.95652,659.79376,655.55554,792.3865,263.73624,302.40857,333.33334,450.9804,630.66095,740.0374,632.9382,667.4487,658.3072,26.281208,794.421,501.66702,633.678,658.07324,424.4273,781.17737,403.7123,101.577286,545.4545,1000.0,666.6666,461.5941,653.8818,87.67123,630.15076,649.99994,707.74194,642.8572,358.40707,34.482758,103.32435,225.0,147.343,656.0509,759.1241,662.3853,244.18604,666.6666,525.39044,822.3201,500.0,656.25,568.6275,,872.41376,25.078371,619.0476,1000.0,657.8948,559.322,99.173546,581.8312,41.666664,512.1951,857.14294,411.80463,530.7018,542.3575,25.750772,36.363636,666.6667,184.7854,580.6806,989.86487,527.2703,499.92484,210.63394,141.06425,467.99118,396.31335,954.6026,657.2082,434.71506,546.16986,23.742754,666.6667,463.41464,603.50494,482.95456,513.7703,470.04874,250.0,692.3354,350.3937,644.2953,657.0887,1000.0,666.6667,555.55554,285.71426,640.0,750.0,699.5305,,333.33334,187.50002,250.48732,361.4989,44.894306,166.66666,649.99994,626.53467,625.0,666.6666,277.77777,608.459,32.30337,1306.5989,,750.0,679.4872,586.4023,574.1277,636.38824,120.00001,37.735847,402.40924,67.19367,607.52216,1103.4998,500.0,212.73602,636.36365,660.1942,321.91266,600.0,375.0,656.8915,799.4019,27.237352,476.39487
2001,654.3209,217.39131,262.19513,51.490513,676.6273,302.08563,290.94077,647.05884,647.05884,803.1303,229.0915,648.7342,0.0,252.82971,666.6667,555.55554,647.2958,484.34625,904.92474,655.36725,517.40356,516.55365,230.76924,639.34424,345.9596,105.73734,650.6025,903.10077,26.041668,849.5575,181.81818,255.64854,33.35679,336.48392,762.7347,362.7049,37.037037,25.33784,30.303028,666.6667,197.72832,666.6667,647.05884,34.782608,632.0261,659.57446,659.1549,751.8189,565.44714,684.2105,375.0,630.7938,619.9377,638.2419,254.09837,533.7629,652.17395,625.0,422.534,633.6867,34.313725,284.75488,215.18987,1000.0,68.632515,458.33334,307.14285,528.99133,146.80232,126.76057,692.30774,291.6667,666.6667,666.6666,500.0,666.6667,845.6414,642.8572,285.71426,426.44873,216.66666,656.4102,652.17395,796.3535,345.26855,306.6667,355.93222,439.0445,626.03613,747.39374,641.57855,667.7639,656.4341,25.125628,807.50854,498.676,642.1208,657.82495,424.01718,783.49585,282.7443,110.735985,571.4285,500.0,687.5,475.28073,653.9359,87.19346,637.186,649.99994,707.63495,655.1724,361.31934,35.714283,89.83287,287.35632,147.54099,636.9426,769.2308,670.0855,261.36365,687.5,543.9064,907.37836,504.67288,659.79376,558.8865,,872.05383,26.360544,617.02124,1000.0,656.4886,567.7084,90.16393,600.0264,24.793386,552.32556,833.3333,411.76468,538.46155,543.0866,26.871084,27.027027,666.6667,230.90631,581.1088,994.63806,529.2534,483.70547,345.70312,117.958595,505.84485,447.7612,949.5547,655.75977,433.54904,506.94745,23.83054,750.0,500.0,604.02014,518.9189,524.5565,458.40204,266.66666,697.173,343.28357,642.4581,598.3061,1000.0,666.6667,615.38464,297.7099,653.8462,750.0,701.56586,,500.0,221.15385,249.84286,367.40335,46.782177,171.42857,649.99994,632.3859,625.0,700.0,384.61542,605.5055,30.576788,1306.3148,,750.0,680.8511,586.11597,605.28467,654.2725,67.13781,37.735847,408.77087,25.945946,609.89594,1085.0709,500.0,261.56918,666.6667,660.1942,290.75464,600.0,300.0,659.34064,806.2351,28.967255,544.30383
2002,658.5366,169.01408,250.0,61.99461,676.841,294.83392,184.55745,666.6666,684.2105,794.66644,226.12567,623.6616,0.0,249.81467,666.6667,555.55554,647.4934,444.62924,904.98035,656.08466,515.29193,515.4951,214.2857,640.625,350.96155,97.30418,662.79065,904.059,22.93578,852.17395,181.81818,245.11914,34.245525,330.1105,773.1634,385.63327,45.871563,24.752476,25.641026,666.6667,183.40416,666.6667,631.5789,36.38814,630.97516,666.6667,656.99207,699.3421,569.5662,649.99994,428.5714,618.6701,621.58276,637.9747,262.4894,542.96643,653.8462,666.6666,481.93073,634.2321,33.980583,316.0705,240.96387,1000.0,75.21225,375.00003,306.12244,520.8915,65.36857,221.45805,692.30774,287.1287,654.1353,666.6666,500.0,714.2857,827.5862,666.6666,290.3226,454.95496,238.09525,656.97675,652.17395,807.18665,404.81924,370.37036,363.63635,432.36514,643.489,755.75745,615.7258,651.8122,657.11755,26.347303,811.6484,523.07855,645.1149,656.40393,433.7259,775.2443,188.34952,107.08783,631.579,500.0,666.6666,472.78696,655.2103,89.63586,621.645,649.99994,705.6474,655.1724,410.6628,32.258064,76.92307,317.85715,166.24686,641.17645,765.5629,668.43976,244.18604,684.2105,553.4233,880.13135,504.5045,658.5366,550.29584,,873.78644,25.4372,622.64154,1000.0,651.8518,581.6326,101.5625,618.27625,27.972029,582.8571,842.1052,412.06497,513.72546,540.78613,26.489557,23.809525,666.6667,198.2094,580.8325,994.6092,532.3002,465.61963,247.63704,139.15416,466.98306,459.93036,945.6102,664.076,422.17703,592.5357,23.853971,666.6666,478.26086,603.2907,492.228,515.068,463.14288,294.11765,699.6966,373.33334,586.5385,586.2666,1000.0,666.6667,562.50006,314.76996,666.6667,750.0,707.5812,,500.0,284.55283,224.98445,386.30136,56.23722,194.44444,652.17395,663.6979,700.0,700.0,312.5,593.13904,28.75817,1306.542,,750.0,680.8511,584.4595,536.4316,654.295,62.283737,34.88372,414.124,27.083332,600.66125,1049.3927,500.0,274.14264,642.8572,653.8462,344.41342,600.0,272.72726,657.82495,802.285,29.411764,487.17947
2003,654.76196,241.75824,261.30652,36.328873,676.64307,316.3897,179.24527,684.2105,666.6667,792.16644,282.38745,615.23987,0.0,249.13246,625.0,511.11115,648.2312,492.90445,904.4586,660.0,601.59717,514.08185,437.5,651.51514,404.15704,90.67208,666.6666,903.125,24.0,855.7692,181.81818,251.63614,34.435265,355.35062,790.7861,368.11023,52.054794,24.54992,150.0,666.6667,172.07791,750.0,684.2105,39.726025,637.5711,666.6667,656.7901,651.8903,569.95496,649.99994,375.0,651.51184,612.12976,634.0886,274.39026,556.0256,642.8572,666.6666,429.26547,638.77954,30.04292,371.26248,344.8276,1000.0,80.85776,458.33334,326.7974,536.7771,77.46479,241.49658,692.30774,360.46512,659.4203,647.05884,500.0,714.2857,790.32825,687.5,290.3226,393.63242,343.28357,657.30334,646.34143,866.4973,405.9829,414.13373,358.49057,468.79578,656.52954,757.99603,595.89044,648.9944,655.4889,27.251186,810.7993,523.24725,643.45404,657.5343,476.31775,793.7676,156.93431,89.37824,609.375,500.0,666.6666,457.88885,654.77386,88.888885,591.64734,649.99994,704.4855,666.6666,382.69986,31.25,71.7322,318.99643,171.28464,622.2222,735.0061,668.9775,250.0,636.36365,570.1645,811.2927,513.5135,656.25,581.18085,,871.3827,25.949953,600.0,1000.0,650.0,574.1627,91.60306,631.1368,27.972029,571.4286,850.0,420.297,500.0,542.7883,27.749134,22.123894,666.6667,232.35077,581.69934,994.4903,544.55054,442.3733,335.7271,145.6607,455.42126,475.15527,949.80334,684.7826,404.69348,485.2339,23.758934,647.05884,446.8085,603.6636,500.0,573.8512,465.3767,222.22221,698.8834,432.27664,566.5236,570.4983,1000.0,666.6667,600.0,283.44672,642.8572,750.0,750.146,,500.0,300.0,256.61716,394.79395,68.542725,218.75,652.17395,667.7631,636.36365,636.36365,222.22221,591.4266,29.678982,1306.4814,666.6667,750.0,681.677,572.69507,524.7958,665.88544,59.04059,33.333332,410.67673,25.641026,606.34436,997.33276,545.4545,263.7303,642.8572,653.8462,375.7635,600.0,300.0,658.5366,807.66766,30.048079,351.53583
2004,655.1724,227.8481,160.7143,39.639637,676.77924,357.67004,172.71158,684.2105,636.36365,792.8282,259.33713,611.8785,0.0,247.61789,625.0,510.63828,653.0044,493.7137,904.644,656.5656,534.17126,515.0641,357.14285,651.51514,390.72845,101.78327,662.9213,901.8405,25.751074,845.3608,133.33333,235.33836,35.227806,391.7647,778.35614,383.63635,54.05405,25.641027,175.0,666.6667,148.3884,750.0,636.36365,31.328321,637.468,666.6667,657.1429,640.1718,554.6588,636.36365,454.54547,581.2624,584.0266,634.56,303.90625,559.8982,642.8572,666.6666,449.15225,639.18524,31.128405,325.25632,329.54544,1000.0,77.185234,400.0,333.33334,536.0225,100.58309,103.333336,642.8572,266.66666,636.3637,684.2105,666.6667,777.7778,786.15594,642.8572,272.72726,389.40808,275.3623,659.57446,651.1628,829.4197,455.42636,315.06848,363.63635,431.32602,653.7105,723.79425,591.73944,641.5581,652.2143,26.932085,803.72253,510.98022,640.0,670.759,450.26266,812.8454,228.8961,89.72773,618.4211,500.0,666.6666,462.61075,654.38684,23.333334,597.028,649.99994,700.99005,645.1613,425.2163,33.333332,77.333336,314.54004,136.46056,624.3655,732.68463,670.68964,266.6667,666.6667,553.93176,794.2943,515.873,657.65765,543.672,,871.9512,26.724136,611.1111,1000.0,652.7778,564.8148,95.23809,649.8022,28.985506,562.87427,850.0,442.15723,498.22064,524.64435,27.883741,29.288702,666.6667,205.34659,580.86957,980.39215,539.43054,461.84274,239.58333,200.0,460.4934,492.8775,941.26135,685.3002,395.6999,541.18176,23.685732,649.99994,444.44443,603.9305,493.1507,518.15125,453.82068,285.71426,700.47864,447.22223,585.77405,555.6763,1000.0,666.6667,583.3334,303.57144,642.8572,750.0,719.8172,,500.0,321.67834,252.46225,364.1126,48.033783,224.13792,652.17395,630.7119,666.6667,666.6667,368.42105,599.2911,29.108551,1306.208,714.2857,600.0,681.182,573.3445,494.22372,663.84326,141.76247,25.773195,368.06622,140.67796,602.4469,1057.9478,500.0,228.61491,666.6666,657.1429,407.14285,600.0,363.63635,658.25684,806.9172,28.202114,384.77365
2005,659.34064,219.5122,121.673,33.39518,676.771,357.16312,184.21053,684.2105,666.6667,791.8003,254.0003,609.89496,0.0,241.0524,636.36365,538.46155,654.6736,453.86194,904.49146,660.2871,526.98413,512.5969,375.0,652.1739,443.76282,98.891014,656.5656,901.8405,22.900764,858.49066,125.0,225.01208,38.062286,347.56796,781.93066,416.22574,60.60606,24.556618,186.04651,666.6667,159.99199,600.0,625.00006,47.61905,648.8599,666.6667,657.53424,646.6496,546.2712,666.6666,500.0,552.66077,574.9625,629.31287,327.53162,566.99066,655.1724,666.6666,475.09158,634.3137,31.25,230.72565,359.55057,1000.0,85.532555,360.0,375.79614,535.25793,111.111115,132.04749,642.8572,265.82278,620.0,649.99994,666.6667,800.0,782.5643,666.6666,264.7059,358.2734,277.77777,657.8948,646.1539,835.0703,452.07956,336.39844,363.63635,382.65735,650.538,734.0317,593.4324,636.302,554.93427,26.713125,796.1325,510.16528,637.2156,672.5389,461.80197,811.54297,250.74626,132.34302,621.0526,500.0,684.2105,449.55966,654.6993,22.792023,601.0231,649.99994,718.63806,656.25,408.62653,21.73913,110.26353,313.43283,130.0813,620.68964,717.03015,671.69183,273.5849,666.6667,555.8334,802.5937,449.66443,656.25,478.40533,369.33798,870.5882,25.095058,603.7736,1000.0,652.7778,592.92035,98.03922,652.4557,41.420116,563.8298,869.5652,444.586,454.54544,513.54913,26.958105,27.888447,666.6667,255.64972,579.44666,984.3049,543.3786,441.73013,250.8591,200.0,448.47095,458.56354,932.25586,684.2949,393.9394,595.30536,23.842096,660.0,431.37256,603.4722,568.2819,489.9713,457.49442,315.78946,700.1308,441.9192,596.2264,545.5259,1000.0,714.2857,500.0,284.8233,655.1724,750.0,686.83765,,750.0,355.0296,238.67262,370.61548,43.129578,193.54839,666.6666,634.1463,692.30774,666.6667,421.0526,600.78204,27.501463,1306.5522,714.2857,600.0,680.8511,574.24963,543.5872,665.2308,292.34973,51.02041,374.8055,104.16667,604.39307,984.6864,500.0,211.21548,687.5,659.79376,462.5576,600.0,363.63635,658.28094,812.6812,29.082775,419.87183
2006,659.34064,255.55557,117.44966,35.714287,676.80975,349.9074,161.12085,684.2105,653.8462,790.4954,253.01399,630.76294,0.0,231.58148,666.6666,563.63635,655.8356,451.8046,898.7642,655.6604,562.8292,515.24677,95.2381,647.8873,423.99997,95.95899,656.8628,903.03033,24.608501,858.5859,117.64706,216.50806,36.21439,355.3779,786.51086,409.57446,120.55337,28.0,177.77777,666.6667,158.98012,600.0,640.0,67.285385,650.27325,660.7143,658.0645,634.11426,536.16315,645.1613,500.0,635.3433,588.23535,635.8217,352.27274,570.21313,666.6667,666.6666,432.79544,632.0658,30.211481,335.64224,355.55554,500.0,76.57324,360.0,337.3494,559.3425,200.80322,237.18712,666.6666,260.27396,633.98694,636.36365,666.6667,818.1819,743.1409,647.05884,285.7143,368.48795,186.66667,656.08466,651.51514,828.7493,429.53018,347.01782,368.42105,389.95816,668.1159,723.02295,560.02954,624.7221,571.6819,27.411167,783.4256,506.757,636.0,678.95685,447.24524,804.63293,274.3009,135.39519,623.93164,666.6667,684.2105,451.1775,653.78156,25.000002,619.594,649.99994,747.8788,666.6666,345.70517,19.23077,110.19056,313.55933,171.77914,616.7665,708.6059,671.0526,271.028,645.1613,546.80975,768.90155,445.85986,659.29205,438.51135,427.11862,872.52124,25.359835,612.9032,1000.0,653.0612,622.8814,95.541405,652.65894,80.74534,582.8877,863.63635,481.8339,488.81787,513.2281,27.883188,25.735294,500.0,250.23235,578.63055,986.456,546.40344,442.98203,277.59198,192.98245,427.26312,452.94116,931.92285,689.62756,405.6477,503.9256,23.805096,657.1429,415.09436,603.63,559.3221,530.37085,462.59528,333.33334,697.7739,458.06454,602.2727,539.377,1000.0,714.2857,600.0,293.8053,666.6666,750.0,723.72455,,600.0,312.1019,230.4,383.85178,49.69291,188.40579,656.25,642.476,687.5,666.6667,409.09094,598.5524,31.305372,1306.2272,714.2857,600.0,680.61365,581.4843,537.4752,669.4404,324.78632,181.24998,404.21466,249.55116,595.4598,1105.6366,538.46155,207.20883,647.05884,659.79376,448.35922,600.0,416.6667,658.6271,813.48254,24.793386,294.4862
2007,659.57446,227.72278,169.75308,42.40283,676.73944,388.03735,162.25749,684.2105,655.1724,791.15094,232.69138,631.07245,0.0,224.28291,636.36365,540.98364,673.12036,558.6175,901.4733,657.7778,659.5925,508.95386,136.36363,643.8356,424.63232,90.91318,657.1429,902.65485,23.112482,855.4217,62.5,227.7551,34.472378,456.93204,785.12524,380.78296,199.61612,30.65134,175.0,666.6667,155.1378,600.0,629.62964,77.951004,650.1987,649.99994,657.0842,652.273,551.78265,656.25,583.3334,597.0874,588.1949,635.92365,340.28986,567.57886,655.1724,666.6666,438.87897,642.03613,34.98542,308.98117,235.95505,500.0,80.11177,370.37036,404.62427,556.0596,148.23529,321.83908,687.5,217.94873,625.0,652.17395,666.6667,846.1539,776.92303,666.6666,305.55554,389.90826,229.72974,659.57446,642.8571,847.22217,426.07315,420.2552,434.7826,385.8859,663.1402,717.8685,536.1807,630.85864,574.6089,27.754416,779.32697,504.75223,628.7129,682.7748,470.19348,802.532,203.89806,138.09525,624.1611,666.6667,666.6667,473.61368,653.7436,23.738873,622.51654,640.0,757.91077,657.1429,403.24216,18.181818,104.75483,310.34482,163.86554,611.8421,707.4657,671.20953,250.0,657.1429,554.2049,835.3846,455.6962,656.5217,412.5,420.56073,867.9245,24.512884,609.375,1000.0,648.6486,634.1463,88.60759,662.27545,44.585987,544.04144,863.63635,481.94867,500.0,511.57407,28.579826,28.880865,500.0,227.75473,565.9845,989.6481,554.659,456.68225,292.56964,229.53558,452.02954,429.85077,925.49835,689.22205,355.3062,472.27576,23.831688,666.6667,418.18182,603.8027,577.2357,529.7271,458.28015,360.0,695.49475,467.0543,614.2857,537.80695,1000.0,625.0,500.0,308.62067,645.1613,750.0,742.5632,,600.0,293.33334,234.82944,388.96277,46.028755,183.09859,647.05884,642.61707,666.6666,666.6667,315.78946,606.8898,36.020584,1306.4517,666.6666,600.0,679.6875,585.8807,577.79865,669.61456,233.49059,200.0,416.0,108.742004,598.4763,1114.8511,571.4285,217.66922,666.6666,653.0612,438.9027,600.0,416.6667,658.37476,810.04974,24.896265,261.8421
2008,659.34064,256.41028,162.96297,23.93617,676.7338,400.6234,193.22034,684.2105,666.6666,791.507,220.41006,639.6854,0.0,218.27594,652.17395,524.59015,672.5095,550.9103,904.90796,657.7778,671.43835,512.12555,47.61905,652.7778,451.01352,113.62753,657.1429,903.5087,23.222061,857.1429,62.5,213.47484,34.15871,454.42316,746.9477,378.23834,193.26242,31.957388,195.65218,666.6667,137.52704,750.0,620.6897,72.34043,645.9276,661.2903,656.8047,627.5216,525.40765,647.05884,538.46155,577.3026,601.6427,635.34674,283.93726,567.3913,642.8572,666.6666,390.26437,633.2703,30.030031,246.15387,238.09525,1000.0,76.03443,407.40738,403.31494,554.3758,116.94511,189.90385,647.05884,246.91359,621.118,666.6667,666.6667,649.99994,758.92566,684.2105,297.2973,355.99075,233.76625,659.57446,647.8873,825.46796,421.2963,382.62912,408.16327,376.06198,652.9827,733.07904,517.5644,662.35925,631.23645,26.927784,758.40814,485.50888,619.3853,684.099,485.2243,832.10956,214.63416,142.00171,628.37836,500.0,649.99994,477.46326,653.1401,24.19355,639.3574,640.0,750.9592,657.1429,392.5328,17.241379,103.52588,308.82352,157.49525,561.98346,695.82306,668.8852,288.13562,658.5366,522.0394,873.21716,441.98898,658.00867,371.60123,477.03183,867.5,24.716099,597.2222,1000.0,647.05884,636.71875,76.47058,651.0586,121.019104,510.7527,863.63635,482.00757,452.38095,496.09265,27.4807,28.673836,500.0,248.21388,566.35516,994.1861,547.7068,459.09042,264.3857,269.19516,430.94376,436.95013,918.57605,690.3226,365.13443,471.54828,23.80094,651.1628,421.0526,603.6077,578.7402,497.53314,475.21155,310.34485,694.809,482.26953,611.48645,534.19727,1000.0,625.0,500.0,271.81207,656.25,750.0,749.59265,,600.0,291.39072,223.69337,350.39612,47.83189,188.40579,647.05884,655.3823,684.2105,642.8572,230.76924,608.9109,35.91331,1306.516,636.36365,600.0,679.17206,582.46344,593.53735,660.02264,222.47192,193.13304,417.90427,289.6237,591.33594,1129.8287,571.4285,215.67476,666.6666,659.79376,421.8464,666.6667,363.63635,658.01526,809.40027,25.18363,226.73657
2009,642.1053,123.595505,236.25255,23.076923,676.66284,382.35776,134.19118,666.6666,666.6666,785.1141,195.89186,629.1777,0.0,216.91176,692.30774,542.8571,681.97687,528.4803,904.6986,658.8785,600.7752,534.07965,125.0,648.6486,465.37845,87.37156,663.55133,903.31494,23.088022,854.8387,62.5,204.32664,34.048298,435.97815,753.02856,362.39316,222.99652,30.729834,351.85184,666.6667,211.62996,600.0,645.1613,58.441563,645.7981,650.79364,656.42993,603.13574,521.5491,657.1429,538.46155,582.89655,593.4545,634.5455,349.6696,576.45044,655.1724,666.6666,355.04953,621.8679,35.911602,276.02,265.06024,1000.0,75.59514,407.40738,398.9071,504.64487,94.83794,173.37808,647.05884,237.5,613.49695,666.6667,666.6667,681.81824,747.0998,649.99994,268.2927,405.16272,382.71606,657.754,650.6025,837.1311,371.7201,301.87268,478.87326,343.91534,660.5882,743.8928,487.47314,666.832,635.93134,27.528429,753.8827,458.58365,615.90906,686.27454,460.20715,848.5964,290.07632,81.96722,634.92065,500.0,636.36365,495.67908,654.2653,23.738873,626.34827,640.0,746.873,666.6666,406.8826,30.769232,104.508194,311.1111,147.21722,582.1918,635.4515,672.05164,268.90753,666.6667,554.07825,816.7156,371.79486,658.98615,243.90245,271.73914,861.38617,24.419296,558.4416,1000.0,642.8572,626.45917,77.84431,666.60925,66.666664,546.3917,846.1539,508.33755,484.05795,488.29553,39.092922,25.974026,500.0,197.43887,566.3956,985.9155,543.47864,458.22495,298.11865,265.18832,441.21448,433.23444,904.87866,688.36804,432.8486,452.8149,23.844193,660.0,413.79312,603.4768,595.41986,469.6996,452.18005,322.58066,690.30414,341.9062,606.5574,533.4928,1000.0,625.0,500.0,313.14877,666.6666,750.0,734.288,,500.0,300.6536,220.97955,341.67175,51.098095,181.81818,657.1429,691.73975,649.99994,647.05884,199.99998,605.8945,31.637714,1306.6333,692.30774,600.0,679.8469,577.32635,577.0238,657.6396,231.25,264.4628,409.59622,243.36792,565.02075,1085.03,571.4285,222.12929,684.2105,663.04346,411.95438,666.6667,384.61542,657.7778,807.9019,24.266935,226.33745
