Date,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BGR,BLR,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KOR,KWT,LKA,LTU,LUX,LVA,MAR,MEX,MKD,MYS,NLD,NOR,NZL,OMN,OWID_USS,OWID_WRL,PAK,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SGP,SVK,SVN,SWE,THA,TKM,TTO,TUR,TWN,UKR,USA,UZB,VEN,VNM,ZAF
1965,0.0,8.4550495,202.02777,59.114902,,222.93715,0.0,69.733475,,20.17805,179.98587,14.833333,13.54895,1330.7046,23.422821,0.0,410.84137,1869.4766,43.008904,0.81409997,0.0,4.68689,112.811005,,20.259819,518.6519,1365.3271,24.50441,1.43049,,126.88329,1.50027,413.40735,36.35538,2.45393,0.0,0.07602084,0.0,100.32038,566.5229,,57.59176,0.0,0.0,,31.716173,,2.1136668,8.0222225,,0.17445,103.05555,8.877423,19.13135,0.0,3459.1885,16177.694,16.03777,0.4197065,0.515523,691.76404,6.88496,0.0,50.702454,,0.0,0.04652,70.23055,,25.92705,0.52335,,0.0,42.6821,34.71555,,3224.2441,,0.23259999,10.438047,286.76093
1966,0.0,6.971818,209.38889,56.467594,,203.371,0.0,71.908295,,21.864399,176.45036,12.263888,13.956,1423.5121,23.422821,0.0,409.63187,1745.3394,48.74482,0.79084,0.0,3.18662,104.367615,,18.804535,481.15073,1299.4199,24.457891,1.2327801,,121.684685,1.83754,412.41537,41.41443,2.69816,0.0,0.05597676,0.0,104.34436,603.7729,,65.20941,0.0,0.0,,28.637712,,3.2408333,8.556944,,0.23259999,93.888885,8.17368,18.608002,0.0,3585.2192,16359.431,13.53732,0.5294025,0.4883902,701.03314,7.0245204,0.0,54.60553,,0.0,0.058149997,71.11373,,24.740417,0.75595003,,0.0,47.49692,34.52947,,3380.8462,,0.24423,10.964335,283.13235
1967,0.0,7.840397,215.25,53.4509,,199.59724,0.0,78.083824,,22.59709,174.82216,10.344444,13.956,1265.344,25.702301,0.0,396.14105,1681.3043,41.73309,0.60476,0.0,4.90786,106.0656,,18.091894,474.7507,1213.8347,23.3763,0.98855,,105.56551,1.29093,419.28528,44.10096,2.97728,0.0,0.04302144,0.0,114.34616,663.1947,,62.20887,0.0,0.0,,26.833899,,3.2271667,10.499444,,0.13956,90.27777,8.581207,16.99143,0.0,3640.7202,16095.518,13.00234,0.596174,0.37985906,713.72144,6.98963,0.0,60.510185,,0.0,0.03489,68.57309,,24.55678,1.34908,,0.0,42.100597,35.04119,,3316.9966,,0.25586,12.016917,291.30823
1968,0.0,7.6190352,221.69444,52.77368,,206.06418,0.0,84.82922,,22.23656,189.92952,9.777778,13.956,1255.9236,23.41119,0.0,410.06216,1705.4391,37.392776,0.63965,0.0,5.10557,107.36816,,21.788618,455.15802,1214.7535,26.400099,0.70943,,104.19317,0.96528995,433.82474,53.85853,3.27966,0.0,0.033977162,0.0,110.74086,682.455,,58.7315,0.0,0.0,,28.762154,,2.9001667,11.006389,,0.13956,85.55556,8.734723,15.99125,0.0,3608.9705,16333.144,14.316529,0.59140456,0.17364986,748.0648,6.29183,0.0,66.339775,,0.0,0.06978,72.11789,,21.454315,1.48864,,0.0,45.76405,35.32031,,3433.0767,,0.26749,13.332632,304.92697
1969,0.0,9.12217,229.27777,51.9364,,200.69034,0.0,85.28279,,24.81842,183.37021,8.844444,13.956,1516.6101,24.992868,0.0,426.2046,1755.9606,34.154984,0.81409997,0.0,5.51262,108.0427,,26.138052,454.97604,1184.0503,25.55111,0.41868,,105.75159,1.1630001,460.8412,51.276672,3.6169298,0.0,0.02395512,0.0,113.67162,728.98267,,61.33662,0.0,0.0,,30.5555,,2.8981667,11.156944,,0.17445,72.77778,9.731426,16.3983,0.0,3677.599,16847.0,12.88604,0.996803,0.22791544,785.9205,5.9313,0.0,76.66041,,0.0,0.03489,75.856255,,20.949095,1.58168,,0.0,48.6134,32.424442,,3447.2375,,0.27912,14.209779,307.9275
1970,0.0,11.722599,231.69444,55.854168,,189.13449,0.0,93.28423,,28.344797,196.87263,7.5888886,14.92129,1929.6497,26.08609,0.0,431.473,1733.998,27.31887,0.96528995,0.0,5.08231,114.13682,,26.5675,431.5675,1116.7592,29.40064,0.24423,,107.47283,1.01181,436.80887,25.0045,3.98909,0.0,0.016010819,0.0,114.7881,702.30524,,65.46527,0.0,0.0,,31.330057,,3.3230002,12.5125,,0.18608,53.333332,9.94044,16.40993,0.0,3630.3936,17087.006,10.73449,1.0111111,0.22791544,816.1934,5.43121,0.0,83.290634,,0.0,0.03489,76.473274,,22.130144,1.6863501,,0.0,53.846897,31.680119,,3414.6594,,0.27912,15.17464,318.10376
1971,0.0,10.277542,232.56944,51.233612,,156.61694,1.0869898,92.074715,,28.532442,187.1267,5.125,14.40957,2224.8772,20.28629,0.0,449.5344,1659.38,16.718124,0.26749,0.0,4.170669,114.70669,,23.579445,390.04514,989.713,43.33338,0.31401,,104.03034,1.1630001,442.87222,23.86476,2.810413,0.0,0.0109998,0.0,110.89205,637.6661,,66.16307,0.0,0.0,,28.872639,,3.4766667,15.708611,,0.47683,40.277775,9.348031,14.59565,0.0,3703.8052,16987.656,8.50153,1.4180555,0.22248887,835.46436,5.02416,0.0,87.96932,,0.0,0.046171103,80.22374,,19.949358,1.3287275,,0.0,55.3588,28.13297,,3229.201,,1.6594149,16.66579,340.1753
1972,0.0,8.651295,242.93056,46.45389,,149.58344,1.0869863,94.9008,,30.035913,176.5783,4.336111,11.90912,2352.9236,21.077478,0.0,443.12625,1619.8612,17.079817,0.23259999,0.0,3.6906874,117.47463,,26.157778,342.50616,866.92346,46.2874,0.15119,,101.099594,1.1630001,467.68307,22.213299,4.391081,0.0,0.0079443,0.0,103.19299,623.12146,,67.81453,0.0,0.0,,28.415579,,4.2968335,17.361666,,1.20952,34.444443,10.149792,14.95618,0.0,3803.0232,17168.227,6.8151803,1.5341667,0.21706232,873.9596,4.4426603,0.0,92.086334,,0.0,0.034831848,81.654236,,17.139631,1.0443972,,0.0,59.40604,26.79552,,3362.425,,1.7482332,12.53714,342.58466
1973,0.0,9.496523,252.9861,46.16972,,125.527824,1.41251,95.63349,,29.51856,181.8583,4.116667,12.932561,2383.743,21.465328,0.0,433.60132,1625.1296,26.177967,0.26749,0.0,3.2146714,115.05559,,29.031944,340.76196,938.983,54.44003,0.081410006,,101.62294,0.77921,461.4494,21.66669,7.3832474,0.0,0.00501102,0.0,104.70489,658.8215,,85.75962,0.0,0.0,,28.15623,,4.2571664,18.612501,,1.15137,35.0,10.911312,16.94491,0.0,3848.096,17683.57,6.76866,1.7547222,0.21706232,877.5533,6.57095,0.0,103.693085,,0.0,0.050497457,79.398,,18.945211,1.1181896,,0.0,60.72023,23.98106,,3611.49,,3.1681633,18.04976,364.9302
1974,0.0,11.825922,264.06943,48.72278,,134.26744,1.2555631,94.005295,,31.312283,184.77745,3.5500002,12.25802,2358.564,25.95738,0.0,431.99634,1632.1193,24.728868,0.22096999,0.0,5.613138,111.43866,,29.58528,343.38696,826.6604,57.335903,0.081410006,,96.92442,0.84898996,520.85614,23.364672,8.086142,0.0,0.00403326,0.0,114.02052,698.3457,,88.44615,0.0,0.0,,30.017029,,4.2161665,20.5625,,1.15137,33.333332,12.097107,17.444561,0.0,3866.9873,17696.432,6.19879,1.8711112,0.30388725,902.2903,5.10557,0.0,109.05451,,0.0,0.061836712,79.13052,,20.930021,1.6767552,,0.0,66.22122,24.41137,,3525.5671,,2.3727293,21.56202,382.28513
