Date,ABW,AFG,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BES,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,CAN,CHE,CHL,CHN,COK,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GBR,GEO,GHA,GLP,GMB,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KHM,KNA,KOR,KWT,LBN,LKA,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLT,MMR,MNE,MNG,MRT,MTQ,MUS,NAM,NCL,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,POL,PRI,PRK,PRT,PRY,PYF,REU,ROU,RUS,SAU,SEN,SGP,SGS,SLV,SOM,SPM,SRB,SVK,SVN,SWE,SYC,SYR,TCD,THA,TKL,TON,TTO,TUN,TUR,TWN,TZA,UKR,URY,USA,UZB,VEN,VGB,VIR,VNM,VUT,WSM,ZAF
2000,,,,0.006543,,0.033,0.05,,0.014,,,,,,,0.00025,2e-05,,0.019205999,4e-05,,0.092,0.003,,0.341,,,,0.04245,0.0005,0.012,,,0.002,6.095,,,2.390015,,,,0.074,,2.206,,,0.038,6e-05,0.00026,0.038,0.00015,,0.435,,,0.00642,,0.226,,,,,1e-05,,,,,,,0.941,0.1165,0.011,,,0.363,,0.0014,0.084,,0.00040000002,,,0.014,,,0.003,,0.014,0.002,0.054,,,,0.017,,,,,,5e-06,,,,,0.003825,,0.447,0.013,,0.036,,,16.96093,,,0.0007,,0.004,,,0.083,,0.00012,,,0.003,,,,6e-06,,,0.0006,,,,0.209,,,,,,,,0.01065,0.019,0.0026,,0.005,0.00020000001,2.377,,,,,,,,
2001,,,,6.9e-05,,0.076,0.067,,0.026,,,,,,,0.0006,2e-05,,0.019205999,4e-05,,0.131,0.005,0.002,0.383,,,,0.06225,0.0005,0.012,,,,8.754,,,2.4971528,,,,0.074,,3.397,,,0.039,6e-05,0.00026,0.066,0.00015,,0.494,,,0.00972,,0.27,,,,,1e-05,,,,,0.001,,1.563,0.1229,0.011,,,0.664,,0.0014,0.175,,0.00040000002,,,0.022,,,0.003,,0.0139,0.002,0.054,,,,0.017,,,,,,1.2e-05,,,,,0.004365,,0.486,0.013,,0.036,,,23.954521,,,0.0007,,0.019,,,0.125,,0.00012,,,0.003,,,,6e-06,,,0.0006,,,,0.295,,,,,,,,0.01065,0.019,0.005,,0.036229998,0.00020000001,3.864,,,,,,,,
2002,,,,0.0027690001,,0.106,0.109,,0.031,,,,,,,0.0011,2e-05,,0.019806,4e-05,,0.161,0.005,0.002,0.449,,,0.0021,0.06225,0.0005,0.012,,,0.0064000003,12.001,,,2.894531,,,,0.074,,4.891,0.001,,0.043,6e-05,0.00026,0.138,0.00015,,0.535,,,0.01192,,0.287,,,,,1e-05,,,,,0.001,,1.606,0.1348,0.012,,0.006,0.78,,0.0014,0.277,,0.00040000002,,,0.026,,,0.003,,0.0139,0.022,0.054,,,,0.018,,,,,,1.2e-05,,,,,0.006565,,0.672,0.097,,0.053,,,30.7232,,,0.0007,,0.032,,,0.19,,0.00012,,,0.007,,,,6e-06,,,0.0006,,,,0.357,,,,,,,,0.01065,0.019,0.00854,,0.04623,0.00020000001,4.417,,,,,,,,0.00316
2003,,,,6.9e-05,,0.19,0.322,,0.067,,,,,,,0.0011,2e-05,,0.019806,4e-05,,0.327,0.005,0.002,0.547,4e-05,,0.0026800002,0.068550006,0.0005,0.012,,,0.010600001,14.381,,,3.119916,,,,0.074,,5.945,0.003,,0.052,6e-05,0.00026,0.218,0.0021300002,,0.742,,,0.017860001,,0.371,,,,,1e-05,,,,,0.003,,2.461,0.2103,0.016,,0.006,0.874,,0.0014,0.508,,0.00040000002,,,0.038,,,0.003,,0.0205,0.026,0.054,,,,0.018,,,,,,2e-05,,,0.00018,,0.011185001,,0.905,0.097,,0.072,,,38.65972,,,0.0007,,0.035,,,0.268,,0.00012,,,0.009,,,,6e-06,,,0.0006,,0.003,,0.417,,,,,,,,0.01937,0.019,0.00854,,0.0544,0.00020000001,5.995,,,,,,,,0.00316
2004,,,,6.9e-05,,0.379,0.581,,0.096,,,0.001,,,,0.0011,2e-05,,0.024606,4e-05,,0.444,0.009,0.002,0.763,4e-05,0.02,0.0024,0.068550006,0.0005,0.012,,0.000225,0.0165,16.419,,,3.123712,,,,0.15,,8.317,0.007,,0.082,,0.00026,0.358,0.0021300002,,0.933,,,0.017860001,,0.47,,,,,1e-05,,,0.006,,0.003,,3.813,0.33640003,0.0249,,0.006,1.127,0.0207,0.0014,0.769,,0.00040000002,,,0.031,,,0.003,0.001,0.034900002,0.026,0.054,,,,0.018,,,,,,2e-05,,0.0011,0.00018,,0.022735002,,1.075,0.152,,0.166,,,47.660065,,,0.0007,,0.04,,,0.553,,0.00013500001,0.0066,,0.009,,,,6e-06,,,0.0006,,0.003,,0.475,,0.0006,,,,,,0.01937,0.019,0.00854,,0.0714,0.00020000001,6.456,,,,,,,,0.00316
2005,,,,6.9e-05,0.00264,0.74,0.825219,,0.167,,,0.008,,,,0.0011,2e-05,,0.024606,4e-05,,0.677,0.012,0.002,1.06,4e-05,0.01,0.0024,0.068550006,0.0043,0.012,,0.000225,0.022,18.248,,,3.1278362,,,,0.15,,9.918,0.031,,0.082,,0.00026,0.69,0.00411,,1.565,,,0.017860001,,0.491,,,,,1e-05,,,0.006,,0.017,,4.4339,0.49330002,0.037,,0.006,1.635,0.0207,0.0014,1.227,,0.00040000002,,,0.184,,,0.003,0.001,0.034900002,0.026,0.054,,,,0.018,,,,,,2e-05,,0.0011,0.00018,0.00022,0.022735002,,1.224,0.265,,0.168,,,58.462902,,,0.0007,0.033,0.121,,,1.064,,0.00013500001,0.01045,0.001,0.01,,,,6e-06,,,0.0006,,0.005,,0.522,,0.0006,,,,,,0.01937,0.021,0.02394,,0.0766,0.00020000001,8.706,,,,,,,,0.00316
2006,,,,6.9e-05,0.00264,0.819,0.968269,,0.212,,0.0009,0.027,,,,0.0011,2e-05,,0.232906,4e-05,,1.423,0.012,0.002,2.07,4e-05,0.018,0.0021,0.068550006,0.0043,0.012,,0.000225,0.0435,20.474,,,3.135696,,,,0.235,,11.722,0.031,,0.086,,0.00026,1.412,0.00411,,1.955,,,0.019790001,,0.749,,,,,1e-05,,,0.017,,0.033,,6.315,0.6765,0.047,,0.006,1.902,0.0207,0.0014,1.805,,0.00040000002,,,0.19,,,0.003,0.031,0.034900002,0.026,0.054,,,,0.101,,,,,,2.3e-05,,0.0011,0.00018,0.00022,0.028235001,,1.561,0.284,,0.169,,,73.14336,,,0.0007,0.033,0.172,,,1.681,,0.00013500001,0.013475,0.001,0.01,,,,6e-06,,,0.0006,,0.005,,0.585,,0.0006,,0.00034,,,,0.01937,0.059,0.10199,,0.0766,0.00020000001,11.329,,,,,,,,0.00316
2007,,,,6.9e-05,0.00264,1.249,0.991159,,0.276,0.00033,0.0009,0.03,,,,0.0019,2e-05,,0.24310601,4e-05,,1.84,0.012,0.02,4.2,4e-05,0.018,0.0021,0.069919996,0.0059499997,0.012,,0.000225,0.113800004,22.116,,,3.1242142,,,0.0024,0.315,0.000825,14.82,0.05,,0.11,0.010175,0.00125,2.223,0.00411,,2.477,,,0.022815,,0.846,,,,,1e-05,,,0.017,,0.061,0.000100000005,7.84452,0.7405,0.063,,0.006,2.702,0.0207,0.0014,1.527,,0.00040000002,,,0.193,,,0.003,0.047,0.034900002,0.026,0.114,,1.5e-05,,0.101,,,,,,0.000473,,0.0011,0.00018,0.00022,0.032360002,,1.749,0.348,,0.32,,,91.51642,,,0.0007,0.033,0.306,,,2.201,,0.00015800001,0.01483,0.003,0.01,,,,6e-06,,,0.0006,,0.005,,0.823,,0.0006,,0.00094,,,,0.01937,0.146,0.18599,,0.082,0.00020000001,16.515,,,,,,,,0.00316
2008,,,,7.1e-05,0.00264,1.441,0.991974,,0.324,0.00033,0.0019,0.114,0.000675,,,0.0019,2e-05,,0.338928,4e-05,,2.336,0.014,0.02,8.387728,,0.018,0.0021,0.069919996,0.01105,0.012,,0.000225,0.15,22.794,,0.00022599999,3.1628702,,,0.0024,0.395,0.000825,16.555,0.077,,0.143,0.010175,0.00133,3.403,0.00411,,3.446,,,0.024190001,,1.022,8e-05,,,,1e-05,,,0.017,,0.134,0.00026,10.2425,0.94229996,0.063,,0.006,3.525,0.0207,0.0014,1.756,,0.00040000002,,,0.298,,,0.003,0.054,0.042915,0.028,0.114,,1.5e-05,0.001407,0.101,,,,,,0.000473,,0.0011,0.00018,0.00022,0.032360002,,2.149,0.395,,0.322,,,115.475395,0.006,,0.0007,0.033,0.526,,0.00022,2.857,,0.000368,0.01483,0.005,0.01,,,,6e-06,,,0.0006,,0.005,,1.089,,0.0006,,0.0010800001,,,,0.01937,0.364,0.25039,,0.083,0.0146,24.651,,,,,0.0013,0.003025,,0.008359999
2009,0.03,,,0.00088,0.00264,1.703,1.000985,0.002,0.608,0.010229999,0.0019,0.333,0.000675,,,0.0019,2e-05,,0.603758,4e-05,,3.282,0.018,0.163,17.59941,,0.018,0.0021,0.119625,0.01105,0.012,,0.000225,0.193,25.732,,0.00022599999,3.482087,,,0.0024,0.44,0.000825,19.176,0.104,,0.147,0.010175,0.00133,4.582,0.00411,,4.419,,,0.024190001,0.00015,1.171,8e-05,,,,1e-05,,,0.07,,0.203,0.0010599999,10.925,1.2513,0.092,,0.006,4.879,0.0207,0.0014,1.997,,0.00040000002,0.00025,,0.333,,,0.003,0.098,0.04293,0.029,0.221,,9.4999996e-05,0.001407,0.425,,,,,,0.000473,,0.0011,0.00073,0.00022,0.03731,0.0399,2.222,0.423,,0.513,,,150.1045,0.006,,0.0007,0.033,0.709,,0.00023,3.326,,0.000368,0.01483,0.015,0.01,,,,6e-06,,,0.0006,,0.003,,1.475,,0.0006,,0.0050999997,,,,0.053689998,0.792,0.37429002,,0.086,0.0306,34.296,,,,,0.0088,0.003025,,0.008359999
