Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,0.607,,,,89.374,,,,,,,,,,,,,,,,4.9449463,,,,,,79.445,,,260.64545,,,,,,,,,,,,,,312.88,,,,,,,0.0,,,54.605,,,,,,41.443,,,177.163,,,,,,,,,,,,,,,,,,,,5.2119617,116.039,,0.088,,,,30.023,,,99.33413,59.068005,,,,,,24.76052,,,,,,,,,,,,,,,,,3.8643408,,,,,,,,,,,,0.0,,,,,,,14.833,,,,,,,3748.3848,,,,,,131.52095,,,,,,,,,,138.35263,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.313,,,,,,,15.0278,14.660622,,,111.90635,,1507.6647,,,,,,2.304,,,,135.403,,
1986,,,,,0.0,1.013,,,,92.587,,,,,,,,,,,,,,,,6.184231,,,,,,71.627,,,299.61035,,,,,,,,,,,,,,315.312,,,,,,,0.0,,,54.808,,,,,,31.147,,,201.361,,,,,,,,,,,,,,,,,,,,5.3490534,129.902,,0.087,,,,31.004,,,98.77428,62.37639,,,,,,24.99526,,,,,,,,,,,,,,,,,6.357302,,,,,,,,,,,,0.0,,,,,,,15.138,,,,,,,3839.0095,,,,,,134.28099,,,,,,,,,,144.03876,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.54128,,,,,,,19.4373,20.482162,,,118.016136,,1490.1414,,,,,,2.657,,,,135.988,,
1987,,,,,0.0,1.016,,,,100.348,,,,,,,,,,,,,,,,5.4099817,,,,,,84.238,,,339.86172,,,,,,,,,,,,,,308.479,,,,,,,0.0,,,54.724,,,,,,27.499,,,209.924,,,,,,,,,,,,,,,,,,,,6.1831374,152.8,,0.085,,,,33.035,,,107.33319,64.276,,,,,,23.649946,,,,,,,,,,,,,,,,,7.312352,,,,,,,,,,,,0.0,,,,,,,16.948,,,,,,,4058.0767,,,,,,139.58713,,,,,,,,,,149.59335,,0.0,,,,,,,,,,,,,,,,,,,,,,,6.69801,,,,,,,17.6535,22.661673,,,119.169945,,1573.9584,,,,,,3.065,,,,142.773,,
1988,,,,,0.0,1.586,,,,105.998,,,,,,,,,,,,,,,,4.7146597,,,,,,91.758,,,373.65298,,,,,,,,,,,,,,310.385,,,,,,,0.0,,,43.071,,,,,,25.049,,,203.374,,,,,,,,,,,,,,,,,,,,7.576404,164.676,,0.088,,,,33.897,,,112.19776,63.24106,,,,,,29.56013,,,,,,,,,,,,,,,,,8.060742,,,,,,,,,,,,0.257,,,,,,,22.255,,,,,,,4200.6743,,,,,,138.20956,,,,,,,,,,151.50102,,0.0,,,,,,,,,,,,,,,,,,,,,,,6.7995,,,,,,,12.4866,23.793282,,,114.75064,,1656.6158,,,,,,3.44,,,,143.032,,
1989,,,,,0.0,0.865,,,,113.56,,,,,,,,,,,,,,,,5.4487123,,,,,,91.737,,,405.06003,,,,,,,,,,,,,,313.104,,,,,,,0.0,,,59.622,,,,,,32.41,,,199.938,,,,,,,,,,,,,,,,,,,,8.50892,184.975,,0.064,,,,31.867,,,116.86643,63.891785,,,,,,30.619484,,,,,,,,,,,,,,,,,7.9152775,,,,,,,,,,,,2.171,,,,,,,22.156,,,,,,,4376.982,,,,,,139.66751,,,,,,,,,,153.60162,,0.0,,,,,,,,,,,,,,,,,,,,,,,7.86957,,,,,,,20.2695,26.52562,,,117.6495,,1711.4425,,,,,,2.726,,,,148.462,,
1990,,,,,0.0,0.66,,,,123.363,6.19,,,17.09,,,,20.98,,,,,,,,4.620541,,,,,,82.22,,,441.251,,,,,,,,,,,,0.0,47.02,310.04,,,23.56,,,,0.0,,,59.74,0.0,,9.66,,,31.47,,,206.44,,,,,,,,,25.17,,,,,,,,0.63,,8.55,9.76802,191.633,5.92,0.065,,,,32.05,,,119.28444,62.144,,,,,,33.512276,,,,,,,,,0.0,0.0,0.0,,,,,,7.798906,5.16,,0.62,,,,,,,,,2.932,,,,,,,25.01,0.04,,,,,,4460.2417,,,,,,130.36,,,9.06,,,,,,18.5,156.85474,,0.0,,,,,,,,,,28.28,,,,7.5,3.89,1.08,,,,,,,11.05285,,,,,,,20.18,25.364214,,,115.92,,1725.1552,,,,,,2.001,,,,155.926,,
1991,,,,,0.0,0.926,,,,127.22155,6.84,,,16.51,,,,20.78,,,,,,,,5.5337596,,,,,,88.485,,,498.43396,,,,,,,,,,,,0.0,45.6,307.67,,,33.44,,,,0.0,,,58.8,0.0,,9.79,,,39.61,,,211.46,,,,,,,,,23.7,,,,,,,,0.39,,8.04,11.04635,214.118,5.85,0.094,,,,28.5,,,125.57195,62.11144,,,,,,36.83016,,,,,,,,,0.0,0.0,0.0,,,,,,9.2425165,4.86,,0.59,,,,,,,,,3.473,,,,,,,22.66,0.05,,,,,,4557.0664,,,,,,128.75,,,9.75,,,,,,15.61,154.73595,,0.0,,,,,,,,,,24.9,,,,5.95,3.62,1.96,,,,,,,13.78522,,,,,,,21.56,29.664202,,,107.99,,1722.5359,,,,,,1.366,,,,155.388,,
1992,,,,,0.0,0.834,,,,130.0024,4.11,,,16.01,,,,17.81,,,,,,,,5.0074778,,,,,,90.03,,,567.3296,,,,,,,,,,,,0.0,43.91,295.67,,,26.96,,,,0.0,,,64.22,0.0,,7.66,,,34.23,,,193.64,,,,,,,,,26.61,,,,,,,,0.66,,9.11,11.36168,229.412,6.66,0.083,,,,21.36,,,131.97461,59.802868,,,,,,42.359093,,,,,,,,,0.0,0.0,0.0,,,,,,9.549497,5.16,,0.56,,,,,,,,,3.837,,,,,,,22.63,0.05,,,,,,4649.81,,,,,,126.58,,,10.17,,,,,,18.34,154.11139,,0.0,,,,,,,,,,23.93,,,,7.23,4.64,1.8,,,,,,,14.81505,,,,,,,24.58,37.5546,,,107.24,,1757.5013,,,,,,0.851,,,,156.717,,
1993,,,,,0.0,1.18,,,,133.2774,2.98,,,16.3,,,,17.16,,,,,,,,4.9085813,,,,,,82.384,,,589.22845,,,,,,,,,,,,0.0,43.27,293.25,,,29.33,,,,0.0,,,62.42,0.0,,9.84,,,20.96,,,171.25,,,,,,,,,27.79,,,,,,,,0.45,,9.02,10.68136,252.784,6.62,0.096,,,,16.66,,,140.2303,55.319805,,,,,,53.502605,,,,,,,,,0.0,0.0,0.0,,,,,,11.558913,4.57,,0.6,,,,,,,,,3.88,,,,,,,21.41,0.05,,,,,,4727.7744,,,,,,127.67,,,11.38,,,,,,19.09,148.39156,,0.0,,,,,,,,,,21.23,,,,5.75,4.69,2.08,,,,,,,13.503754,,,,,,,23.76,44.82004,,,89.06,,1831.2108,,,,,,0.637,,,,165.96,,
1994,,,,,0.0,2.348,,,,136.8941,3.1,,,16.98,,,,16.89,,,,,,,,4.9706693,,,,,,86.651,,,693.4084,,,,,,,,,,,,0.0,42.24,290.29,,,33.29,,,,0.0,,,61.57,0.0,,13.98,,,20.9,,,161.34,,,,,,,,,29.58,,,,,,,,0.1,,8.73,12.80518,264.609,6.68,0.095,,,,19.86,,,156.84714,47.103504,,,,,,65.10059,,,,,,,,,0.0,0.0,0.0,,,,,,14.284618,5.21,,0.36,,,,,,,,,4.081,,,,,,,24.11,0.06,,,,,,4891.716,,,,,,128.39,,,11.57,,,,,,19.63,162.48473,,0.0,,,,,,,,,,21.35,,,,4.86,4.61,2.61,,,,,,,14.130908,,,,,,,28.24,48.271584,,,78.34,,1832.272,,,,,,1.071,,,,169.402,,
