Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,12.185,45.303726,,,,123.673,43.742,20.702,,57.322,,,4.528,41.632,,,,33.175,,,,193.68224,,,,,,459.0164,56.338123,14.04,410.69,,,,,,29.374664,,,,,,1.319,58.121,522.534,,,29.143044,,12.274,4.558,30.2535,,,126.56194,17.827,,49.394,,,344.46542,,,298.089,,,,,,,,,27.74,,,,,,,19.249445,,,,26.794,16.369,186.38583,12.088,38.915,20.973,3.83741,15.4314,185.74,,,671.953,81.263,,,,,,62.667202,15.417,,,,,,2.465,,20.962,0.939045,4.961,,7.345,,,,96.207535,,,,,,,,,,,,,14.944,,,,,,,62.975,103.292,,,28.46498,2.888,,9886.064,28.825,,12.111,22.766,,137.714,,,18.9,,,,3.964,,71.818,962.0,,51.654003,,,9.8763,,,,,,,,,,,22.506,,137.14,,,,,,,23.02995,,10.987,,,3.023,,34.2189,55.55676,,,272.0,,2657.1501,47.939,,47.29,,,5.069,,,,143.491,,
1986,,,,,12.815,49.022194,,,,129.527,43.977,21.542,,58.676,,,4.8,41.82,,,,36.282,,,,202.1289,,,,,,468.58405,57.410492,14.82,449.53,,,,,,31.65293,,,,,,1.423,60.606,523.557,,,30.783089,,12.981,5.012,32.461,,,128.53664,17.951,,48.948,,,362.9955,,,301.071,,,,,,,,,28.237,,,,,,,21.418888,,,,28.044,18.415,202.6772,12.652,42.186,22.287,4.057842,16.0342,192.33,,,676.363,85.094,,,,,,69.680595,16.935,,,,,,2.6517,,22.416,1.020386,5.184,,7.764,,,,99.5899,,,,,,,,,,,,,16.131,,,,,,,67.17,97.284,,,29.345074,3.617,,10180.79,32.348,,12.948,20.974,,140.294,,,20.355,,,,4.318,,75.478,1001.4,,55.684685,,,10.5765,,,,,,,,,,,24.168,,138.651,,,,,,,24.66981,,12.396,,,3.291,,39.6948,62.333847,,,272.7,,2676.113,52.171,,50.112,,,5.527,,,,148.241,,
1987,,,,,13.658,52.11528,,,,135.815,49.688,22.909,,63.367,,,5.587,43.473,,,,37.453,,,,203.33147,,,,,,496.3977,59.733856,15.637,497.267,,,,,,33.680267,,,,,,1.501,62.196,532.442,,,29.489311,,12.722,5.384,35.6545,,,132.66545,17.9,,53.016,,,378.48633,,,302.112,,,,,,,,,30.272,,,,,,,23.75361,,,,29.749,20.72,223.6695,13.064,45.062,22.51,4.152033,17.677,201.372,,,719.085,88.49,,,,,,80.25135,18.092,,,,,,2.7072,,22.755,1.036332,5.937,,8.001,,,,106.1654,,,,,,,,,,,,,17.421,,,,,,,68.448,104.283,,,29.752598,3.884,,10670.628,36.347,,14.006,22.642,,145.833,,,20.135,,,,4.386,,74.079,1047.3,,65.00029,,,11.8138,,,,,,,,,,,23.629,,146.571,,,,,,,28.57361,,13.267,,,3.481,,44.3529,69.17906,,,281.5,,2772.2053,54.755,,54.132,,,6.051,,,,152.373,,
1988,,,,,14.84,52.49952,,,,143.374,48.149,23.572,,65.349,,,6.541,45.021,,,,38.15,,,,214.95285,,,,,,506.01578,60.535755,16.915,545.21,,,,,,35.473255,,,,,,1.647,64.334,549.492,,,28.0695,,13.966,5.641,38.7125,,,138.75905,17.627,,53.491,,,392.08722,,,308.825,,,,,,,,,33.394,,,,,,,25.5075,,,,29.233,24.807,241.30463,13.228,46.97,23.45,4.415945,19.3525,203.561,,,753.728,88.417,,,,,,93.10885,19.599,,,,,,2.7984,,26.0,1.333588,5.11,,8.984,,,,112.23082,,,,,,,,,,,,,19.352,,,,,,,69.654,110.019,,,31.086195,4.408,,11140.627,40.671,,13.552,24.539,,144.34,,,22.489,,,,4.614,,75.322,1065.5,,70.09107,,,13.0175,,,,,,,,,,,23.039,,146.23,,,,,,,32.41324,,12.891,,,3.485,,48.0488,76.26122,,,297.2,,2914.4458,50.59,,58.245,,,6.785,,,,158.141,,
1989,,,,,15.612,50.862812,,,,151.433,49.155,23.3,,67.547,,,7.115,44.331,,,,38.489,,,,221.73901,,,,,,498.0926,54.61077,17.811,584.81,,,,,,37.020805,,,,,,1.831,65.131,559.873,,,22.933521,,15.324,5.769,40.6145,,,147.05452,17.611,,53.359,,,404.85004,,,314.585,,,,,,,,,34.456,,,,,,,27.363333,,,,29.596,28.487,272.44644,13.833,51.431,23.86,4.475226,20.4533,210.75,,,799.769,89.657,,,,,,103.62361,21.085,,,,,,2.8579,,29.158,1.380315,5.801,,9.024,,,,120.04716,,,,,,,,,,,,,21.515,,,,,,,73.081,119.197,,,31.358,4.707,,11657.959,42.806,,13.727,25.573,,145.464,,,25.808,,,,4.646,,75.851,1076.5,,75.72979,,,14.0389,,,,,,,,,,,24.07,,143.091,,,,,,,37.35338,,14.508,,,3.428,,52.0432,84.0578,,,295.3,,3155.4497,55.874,,57.62,,,7.784,,,,163.359,,
1990,,,,,17.081,51.004894,,,,155.6535,49.27,23.152,,70.29,,,7.732,41.9,,,,39.526,,,,222.82011,,,,,,480.59323,56.015427,18.398,621.2,,,,,,38.245705,,,,,,1.97,62.27,542.26,,,25.94,,16.104,6.3488545,41.9525,,,151.16,17.18,,54.36,,,416.04,,,319.75,,,,,,,,,34.2,,,,,,,28.96,,8.81,,28.44,33.11472,287.76282,14.21,57.655,28.373178,4.447226,20.8976,213.15,,,881.5,87.379,,,,,,118.46079,18.477,,,,,,3.1498,,28.4,0.62,6.65,,9.628,,,,117.591545,5.75,,1.11,,,,,,,,,,23.016,,,,,,,70.7,121.6,,,32.614353,4.501,,11961.414,45.985,,13.808,26.327,,134.43,,,28.33,,,,4.842,,64.3,1082.2,,79.880455,,,15.6176,,,,,,,38.97,,,,25.49,12.44,145.98,,,,,,,44.11251,,14.61,,,3.577,,57.54,90.19353,,,300.72,,3232.7795,56.325,,59.321,,,8.681,,,,167.226,,
1991,,,,,17.222,53.85427,,,,157.9635,50.16,23.4495,,71.19,,,8.27,40.69,,,,38.735,,,,234.3763,,,,,,506.99487,58.061848,19.963,677.55,,,,,,40.12351,,,,,,2.08,60.3,536.02,,,36.45,,17.345,6.974456,43.276,,,154.71,14.63,,57.96,,,450.34,,,322.88,,,,,,,,,35.19,,,,,,,31.88889,,8.58,,29.96,38.10263,320.45764,14.91,62.814,13.359353,4.425218,21.5141,218.43,,,911.303,85.99,,,,,,131.61615,10.78,,,,,,3.3771,,29.37,0.7,5.65,,9.205,,,,128.57117,5.77,,1.42,,,,,,,,,,26.552,,,,,,,73.22,110.56,,,33.639153,4.625,,12222.524,50.22,,14.482,25.649,,132.72,,,29.72,,,,4.669,,56.8,1068.1633,,84.99571,,,16.5966,,,,,,,37.67,,,,24.26,12.74,146.97,,,,,,,50.12039,,14.9535,,,3.72,,60.24,99.17753,,,280.0,,3270.7244,54.165,,63.337,,,9.21,,,,168.316,,
1992,,,,,18.689,56.107098,,,,161.4005,49.89,19.7626,,71.42,,,8.894,35.44,,,,37.595,,,,241.76195,,,,,,518.62683,59.51792,22.35,753.94,,,,,,36.6131,,,,,,2.43,59.05,533.77,,,30.6,,18.286,7.1960273,44.987,,,156.65,11.83,,57.7,,,458.54,,,321.04,,,,,,,,,36.76,,,,,,,35.075554,,8.9,,31.68,40.28435,337.15332,15.76,67.178,21.912235,4.53892,24.6862,222.68,,,916.787,83.166,,,,,,146.43929,16.885,,,,,,3.5397,,18.55,0.66,3.84,,9.719,,,,132.27567,6.07,,1.49,,,,,,,,,,31.381107,,,,,,,75.84,117.11,,,33.21097,5.113,,12336.403,53.575,,13.122,25.87,,130.68,,,29.48,,,,5.183,,54.01,1008.45,,93.473175,,,17.5431,,,,,,,34.31,,,,23.24,12.34,145.93,,,,,,,57.02815,,13.1828,,,3.976,,67.35,105.52976,,,253.94,,3284.39,50.911,,67.44,,,9.705,,,,168.09,,
1993,,,,,21.73,61.86878,,,,165.3825,51.31,19.051,,70.08,,,9.206,37.84,,,,33.369,,,,252.00313,,,,,,530.2322,61.555614,24.013,811.59,,,,,,41.691086,,,,,,2.59,58.67,520.72,,,33.78,,19.414,7.411305,46.737,,,155.12,9.12,,61.06,,,468.07,,,323.11,,,,,,,,,37.73,,,,,,,35.9475,,9.54,,32.91,39.70743,362.17624,16.12,74.686,27.089582,4.721272,25.9997,219.74,,,926.103,77.889,,,,,,161.90096,20.178,,,,,,3.9787,,13.93,0.67,3.93,,9.91,,,,134.64252,5.18,,1.5,,,,,,,,,,34.87735,,,,,,,75.88,119.72,,,34.61563,5.833,,12599.928,57.012,,14.808,26.579,,131.78,,,30.84,,,,5.56,,55.36,956.587,,102.66853,,,18.9624,,,,,,,29.96,,,,24.05,11.95,145.26,,,,,,,63.33733,,12.6368,,,3.817,,73.81,115.20602,,,231.36,,3404.678,49.149,,69.382,,,10.662,,,,174.706,,
1994,,,,,23.736,65.62203,,,,170.1425,51.95,17.571,,71.34,,,9.784,37.98,,,,31.397,,,,260.04062,,,,,,553.0549,66.13424,25.276,927.8,,,,,,45.024284,,,,,,2.68,58.4,521.05,,,40.38,,19.883,8.143997,48.55,,,160.19,9.15,,65.62,,,472.84,,,326.56,,,,,,,,,40.02,,,,,,,26.740833,,8.74,,33.52,45.92842,387.96698,16.79,81.004,26.663286,4.772761,28.3157,228.75,,,984.493,66.777,,,,,,183.36554,22.802,,,,,,4.38672,,9.76,0.59,4.44,,11.47,,,,146.12756,5.94,,1.54,,,,,,,,,,39.754204,,,,,,,78.26,112.32,,,35.195507,6.198,,12923.577,57.923,,15.866,30.459,,133.29,,,31.12,,,,5.85,,55.04,875.914,,106.04595,,,20.6754,,,,,,,30.82,,,,25.47,12.89,142.7,,,,,,,71.10243,,10.52,,,4.069,,78.33,124.634865,,,204.18,,3458.5261,47.8,,71.221,,,12.288,,,,181.69,,
