Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,,,,,,,,,,,1.13,,,0.28,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.6,,,0.19,,,,,,,0.54,0.0,,5.16,,,1.41,,,0.6,,,,,,,,,0.0,,,,,,,,,0.01,,0.02,,,0.0,,,,,0.05,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.67,0.21,,,,,,,,,,,,0.05,,,0.69,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.94,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,
1991,,,,,,,,,,,1.21,,,0.3,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.87,,,0.29,,,,,,,0.54,0.0,,5.0,,,1.59,,,0.69,,,,,,,,,0.0,,,,,,,,,0.01,,0.02,,,0.0,,,,,0.11,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.74,0.21,,,,,,,,,,,,0.08,,,0.81,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,1.86,,,,,,,,,,,,,,0.04,,,,0.0,,,,,,,,,,,,,,
1992,,,,,,,,,,,1.31,,,0.27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.04,,,0.41,,,,,,,0.57,0.0,,4.95,,,1.62,,,0.93,,,,,,,,,0.0,,,,,,,,,0.01,,0.05,,,0.0,,,,,0.1,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.73,0.23,,,,,,,,,,,,0.11,,,0.88,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.01,,,,,,,,,,,,,,0.05,,,,0.0,,,,,,,,,,,,,,
1993,,,,,,,,,,,1.34,,,0.25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.16,1.97,,,0.55,,,,,,,0.58,0.0,,5.96,,,1.48,,,1.2,,,,,,,,,0.0,,,,,,,,,0.02,,0.04,,,0.0,,,,,0.12,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.84,0.24,,,,,,,,,,,,0.06,,,0.9,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.17,,,,,,,,,,,,,,0.06,,,,0.0,,,,,,,,,,,,,,
1994,,,,,,,,,,,1.19,,,0.25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.32,2.07,,,0.57,,,,,,,0.64,0.0,,6.47,,,1.66,,,1.52,,,,,,,,,0.0,,,,,,,,,0.01,,0.05,,,0.0,,,,,0.15,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.92,0.27,,,,,,,,,,,,0.05,,,0.93,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.23,,,,,,,,,,,,,,0.05,,,,0.0,,,,,,,,,,,,,,
1995,,,,,,,,,,,1.84,,,0.32,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.41,2.43,,,0.65,,,,,,,1.01,0.01,,6.61,,,1.82,,,1.64,,,,,,,,,0.0,,,,,,,,,0.01,,0.06,,,0.0,,,,,0.22,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0,0.29,,,,,,,,,,,,0.07,,,0.99,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.35,,,,,,,,,,,,,,0.22,,,,0.0,,,,,,,,,,,,,,
1996,,,,,,,,,,,1.57,,,0.31,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.29,2.5,,,0.83,,,,,,,1.08,0.0,,5.89,,,1.93,,,1.8,,,,,,,,,0.0,,,,,,,,,0.01,,0.05,,,0.03,,,,,0.38,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.3,0.3,,,,,,,,,,,,0.13,,,0.96,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.12,,,,,,,,,,,,,,0.18,,,,0.0,,,,,,,,,,,,,,
1997,,,,,,,,,,,1.69,,,0.28,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.49,2.65,,,0.98,,,,,,,1.46,0.01,,7.89,,,2.16,,,2.11,,,,,,,,,0.0,,,,,,,,,0.0,,0.05,,,0.08,,,,,0.56,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.45,0.24,,,,,,,,,,,,0.17,,,1.04,,,,,,0.01,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.77,,,,,,,,,,,,,,0.29,,,,0.0,,,,,,,,,,,,,,
1998,,,,,,,,,,,1.82,,,0.36,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.59,3.06,,,1.08,,,,,,,1.53,0.01,,9.33,,,2.13,,,2.65,,,,,,,,,0.0,,,,,,,,,0.01,,0.06,,,0.09,,,,,0.8,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.57,0.27,,,,,,,,,,,,0.22,,,1.02,,,,,,0.01,,,,,,,,,,,,,0.0,,,,0.0,0.0,2.78,,,,,,,,,,,,,,0.24,,,,0.0,,,,,,,,,,,,,,
1999,,,,,,,,,,,1.6,,,0.5,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.68,3.51,,,1.32,,,,,,,1.62,0.01,,8.36,,,2.34,,,3.43,,,,,,,,,0.0,,,,,,,,,0.01,,0.06,,,0.09,,,,,1.13,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.77,0.27,,,,,,,,,,,,0.19,,,1.16,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.03,2.7,,,,,,,,,,,,,,0.13,,,,0.0,,,,,,,,,,,,,,
