Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0009970821,5.706,,,,4.667,,,,,,,,,,,,,,,,3.914162,,,,,,6.777,,,56.685,,,,,,,,,,,,,,9.595,,,,,,,11.869,,,7.747,,,,,,7.062,,,48.307,,,,,,,,,,,,,,,,,,,,,6.575809,11.868,,19.191362,,,,76.174,,,183.86023,8.298834,,,,,,17.444466,,,,,,,,,,,,,,,,,55.062305,,,,,,,,,,,,,9.017,,,,,,,3.258,,,,,,,1110.7574,,,,,,1.68,,,,,,,,,,113.33705,,21.901455,,,,,,,,,,,,,,,,,,,,,,,3.3519123,,,,,,,7.082,5.240304,,,47.115623,,107.74438,,,,,,1.216,,,,0.042,,
1986,,,,,0.0010687824,7.894,,,,3.771,,,,,,,,,,,,,,,,10.1877365,,,,,,6.166,,,53.678,,,,,,,,,,,,,,13.643,,,,,,,13.2,,,6.187,,,,,,5.437,,,31.235,,,,,,,,,,,,,,,,,,,,,6.748774,11.504,,19.277683,,,,77.483,,,180.84311,8.76365,,,,,,12.301918,,,,,,,,,,,,,,,,,60.889133,,,,,,,,,,,,,9.187,,,,,,,3.456,,,,,,,1168.2734,,,,,,1.622,,,,,,,,,,117.99507,,24.844584,,,,,,,,,,,,,,,,,,,,,,,3.34512,,,,,,,7.0006,7.4875937,,,49.688007,,146.86545,,,,,,1.397,,,,0.042,,
1987,,,,,0.0011360014,10.078,,,,2.799,,,,,,,,,,,,,,,,7.782793,,,,,,10.061,,,54.644,,,,,,,,,,,,,,13.811,,,,,,,14.969,,,6.436,,,,,,5.769,,,26.268,,,,,,,,,,,,,,,,,,,,,7.8011184,12.351,,23.632664,,,,89.941,,,191.79303,9.030538,,,,,,2.406493,,,,,,,,,,,,,,,,,66.19075,,,,,,,,,,,,,9.172,,,,,,,3.659,,,,,,,1183.1753,,,,,,1.698,,,,,,,,,,122.54534,,31.929884,,,,,,,,,,,,,,,,,,,,,,,2.19079,,,,,,,5.4956,6.2679896,,,50.173794,,127.41137,,,,,,1.536,,,,0.042,,
1988,,,,,0.00123683,8.635,,,,2.444,,,,,,,,,,,,,,,,7.1924047,,,,,,11.842,,,60.336,,,,,,,,,,,,,,11.794,,,,,,,16.728,,,6.937,,,,,,5.63,,,28.393,,,,,,,,,,,,,,,,,,,,,9.5589695,12.333,,18.619976,,,,89.702,,,213.04886,8.885133,,,,,,8.81753,,,,,,,,,,,,,,,,,69.39772,,,,,,,,,,,,,9.39,,,,,,,3.796,,,,,,,1256.5248,,,,,,1.626,,,,,,,,,,124.10808,,35.514446,,,,,,,,,,,,,,,,,,,,,,,3.1455,,,,,,,3.3047,15.660162,,,48.31315,,160.10706,,,,,,1.49,,,,0.051,,
1989,,,,,0.0012950865,7.204,,,,3.024,,,,,,,,,,,,,,,,6.1521454,,,,,,18.174,,,57.632,,,,,,,,,,,,,,10.437,,,,,,,17.4125,,,9.138,,,,,,11.728,,,29.442,,,,,,,,,,,,,,,,,,,,,10.735503,12.805,,18.274427,,,,102.784,,,231.79631,8.976557,,,,,,11.171259,,,,,,,,,,,,,,,,,71.97217,,,,,,,,,,,,,10.012,,,,,,,3.307,,,,,,,1350.2001,,,,,,1.691,,,,,,,,,,125.828865,,36.895798,,,,,,,,,,,,,,,,,,,,,,,4.75528,,,,,,,4.2475,22.248024,,,49.533646,,176.7296,,,,,,1.182,,,,0.0,,
1990,,,,,0.0014183213,4.944,,,,3.474,2.72,,,4.51,,,,1.44,,,,,,,,5.0698996,,,,,,16.468,,,50.366,,,,,,,,,,,,1.97,1.12,24.75,,,0.86,,,,15.5535,,,9.61,16.22,,4.8,,,12.84,,,36.83,,,,,,,,,7.17,,,,,,,,,2.89,,1.49,12.32408,13.312,3.65,19.886969,,,,106.49,,,287.53784,8.731,,,,,,13.307033,,,,,,,,,4.19,0.51,0.42,,,,,,64.03832,0.1,,0.49,,,,,,,,,,10.555,,,,,,,4.84,0.21,,,,,,1366.0936,,,,,,2.45,,,9.44,,,,,,11.82,128.49379,,39.151905,,,,,,,,,,1.88,,,,2.25,0.98,1.85,,,,,,,10.36948,,,,,,,3.94,22.36042,,,48.22,,135.97871,,,,,,1.305,,,,0.0,,
1991,,,,,0.0014407276,7.619,,,,2.879,3.2,,,5.06,,,,1.58,,,,,,,,5.245925,,,,,,14.135,,,51.923,,,,,,,,,,,,2.08,1.1,27.84,,,1.12,,,,12.9535,,,11.16,13.66,,5.51,,,17.91,,,29.82,,,,,,,,,8.3,,,,,,,,,1.91,,2.95,14.24383,13.444,4.56,22.111044,,,,108.06,,,275.44656,7.498982,,,,,,20.21286,,,,,,,,,5.74,0.58,0.56,,,,,,67.693115,0.06,,0.83,,,,,,,,,,10.945,,,,,,,5.29,0.17,,,,,,1351.4529,,,,,,2.36,,,10.13,,,,,,6.13,123.973434,,42.240036,,,,,,,,,,1.88,,,,3.09,0.56,2.56,,,,,,,12.748964,,,,,,,3.29,25.596745,,,38.74,,128.76514,,,,,,1.492,,,,0.0,,
1992,,,,,0.0015505187,7.661,,,,2.3915,2.98,,,4.66,,,,1.41,,,,,,,,6.3331137,,,,,,15.594,,,53.21,,,,,,,,,,,,2.43,1.11,26.57,,,1.2,,,,12.2425,,,15.34,11.54,,5.54,,,13.06,,,31.7,,,,,,,,,7.86,,,,,,,,,2.51,,4.2,14.94006,14.811,4.62,20.731697,,,,120.07,,,282.14148,7.3003497,,,,,,23.146,,,,,,,,,2.34,0.55,0.17,,,,,,66.847,0.06,,0.93,,,,,,,,,,10.586,,,,,,,4.95,0.16,,,,,,1329.7122,,,,,,2.38,,,13.82,,,,,,4.5,100.05208,,49.57638,,,,,,,,,,0.62,,,,2.15,0.31,3.43,,,,,,,15.09026,,,,,,,5.27,22.48128,,,22.83,,107.69265,,,,,,1.62,,,,0.0,,
1993,,,,,0.001805951,6.693,,,,2.3705,3.49,,,4.53,,,,1.88,,,,,,,,6.2156034,,,,,,12.008,,,65.454,,,,,,,,,,,,2.59,0.84,20.87,,,1.25,,,,10.472,,,10.31,8.99,,6.3,,,10.15,,,22.75,,,,,,,,,7.53,,,,,,,,,2.7,,5.8,14.72373,14.208,4.19,23.773346,,,,117.9,,,238.79599,6.7349763,,,,,,25.328152,,,,,,,,,1.02,0.57,0.49,,,,,,65.92453,0.09,,0.9,,,,,,,,,,10.685,,,,,,,5.3,0.18,,,,,,1268.5487,,,,,,2.46,,,10.03,,,,,,5.5,82.8856,,54.793015,,,,,,,,,,0.3,,,,2.16,0.26,4.0,,,,,,,18.238485,,,,,,,5.17,26.45675,,,17.13,,121.27761,,,,,,2.046,,,,0.0,,
1994,,,,,0.001971758,4.557,,,,2.529,3.31,,,4.86,,,,1.89,,,,,,,,6.44245,,,,,,10.068,,,48.199,,,,,,,,,,,,2.68,1.01,20.53,,,3.07,,,,8.5305,,,11.01,8.93,,7.51,,,9.14,,,16.7,,,,,,,,,7.72,,,,,,,,,1.36,,5.7,11.20074,15.747,4.71,26.764605,,,,119.84,,,281.11688,4.768355,,,,,,37.600506,,,,,,,,,1.27,0.43,0.82,,,,,,79.72029,0.04,,1.18,,,,,,,,,,9.744,,,,,,,5.38,0.19,,,,,,1303.7859,,,,,,2.97,,,7.92,,,,,,5.79,73.27044,,55.567936,,,,,,,,,,0.24,,,,1.46,0.27,4.67,,,,,,,21.032356,,,,,,,5.55,26.919746,,,10.61,,113.872025,,,,,,1.97,,,,0.0,,
