Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_USS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1965,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1966,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1967,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1968,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1969,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1970,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1971,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1972,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1973,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
1974,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,
