Date,AGO,ARE,ARG,AUS,AZE,BRA,BRN,CAN,CHN,COG,COL,DNK,DZA,ECU,EGY,GAB,GBR,GNQ,GUY,IDN,IND,IRN,IRQ,ITA,KAZ,KWT,LBY,MEX,MYS,NGA,NOR,OMN,OWID_USS,OWID_WRL,PER,QAT,ROU,RUS,SAU,SDN,SSD,SYR,TCD,THA,TKM,TTO,TUN,USA,UZB,VEN,VNM,YEM
1965,7.6176496,158.93922,160.08415,4.0263753,,58.675575,46.112648,510.25665,131.53531,0.82573,123.91237,0.0,304.0002,4.9867253,75.33914,14.71195,0.97692,0.0,0.0,285.34518,35.145863,1112.55,752.17535,26.493141,,1384.1022,674.328,209.96678,0.55562174,157.08034,0.0,0.0,2824.7874,18231.082,39.47414,134.96996,149.10823,,1291.2112,0.0,,0.0,0.0,0.0,,77.58907,0.0,4974.0864,,2141.2454,0.0,
1966,7.3385296,202.75732,170.30933,5.1767683,,71.632545,55.365944,560.70734,169.2165,0.72106,121.46218,0.0,391.262,4.3633847,72.76891,16.82861,0.90714,0.0,0.0,278.29962,54.04461,1243.164,797.43195,21.515501,,1460.2218,833.5137,215.03337,0.55562174,239.22957,0.0,0.0,3083.113,19796.81,39.47414,168.56763,152.06224,,1523.1675,0.0,,0.0,0.0,0.0,,87.95666,8.96673,5286.2866,,2079.28,0.0,
1967,6.24531,215.20438,185.64127,12.079125,,90.1425,59.99259,612.91425,161.42441,0.5815,117.17435,0.0,449.44415,3.7400439,64.90703,40.06535,1.0350701,0.0,0.0,299.4363,65.90721,1517.8029,703.48157,20.03849,,1469.943,957.87744,237.99353,0.55562174,182.8021,0.0,32.830685,3350.603,21238.463,44.33245,187.68355,156.49329,,1643.169,0.0,,0.0,0.0,0.0,,102.93206,26.06283,5631.4976,,2185.5684,0.0,
1968,8.7225,280.45877,203.38063,22.494122,,99.05112,70.595436,664.29785,185.9637,0.50009,107.66777,0.0,493.38818,3.1252425,99.7505,53.974827,0.97692,0.0,0.0,352.65442,68.07039,1660.5338,863.37915,18.92201,,1548.2809,1440.4755,254.70474,2.228576,81.167984,0.0,139.19073,3595.996,23170.031,46.28077,197.49146,157.41205,,1793.6106,0.0,,12.19484,0.0,0.0,,110.312996,37.11133,5848.4985,,2230.1965,0.0,
1969,28.58654,353.58624,210.5816,25.883842,,108.03545,71.55922,723.5958,252.8362,0.27912,130.65038,0.0,516.78827,2.4933627,142.99084,58.46401,0.98855,0.0,0.0,376.93747,78.18849,1968.5372,871.33185,18.50333,,1638.7595,1717.8782,267.08307,5.0005956,309.52045,0.0,188.34445,3818.129,24940.334,44.93974,206.22018,157.53998,,1892.793,0.0,,30.693363,0.0,0.0,,90.42838,43.11241,5947.0205,,2219.0684,0.0,
1970,58.905952,439.08228,232.60602,101.23458,,102.25953,78.49919,814.8895,356.4595,0.22096999,136.76793,0.0,561.8859,2.4933627,190.77852,63.06949,1.81428,0.0,0.0,501.40903,79.18867,2239.7864,887.37213,17.46826,,1765.4216,1855.5074,281.20184,10.001191,620.473,0.0,191.22433,4105.8438,27433.883,44.923103,210.27509,159.0635,,2234.9546,0.0,,49.22521,0.0,0.0,,80.63677,48.27613,6204.4873,,2293.8787,0.0,
1971,66.53523,596.7261,250.86913,177.42035,,107.041916,74.450874,874.15466,458.3383,0.16282001,135.78943,0.0,427.9568,2.4933627,173.89175,67.39585,2.46556,0.0,0.0,523.72,83.56155,2659.6023,970.4379,15.735391,,1890.4507,1519.857,280.36813,38.3379,877.1751,3.4050403,169.33722,4384.51,29000.791,38.37081,249.08618,163.9016,,2800.4424,0.0,,61.386726,0.0,0.0,,74.301025,47.787674,6116.076,,2208.2644,0.0,
1972,82.072914,679.2343,258.39575,189.33647,,104.99714,105.390366,1008.47394,531.1421,3.90768,123.015465,1.1366035,578.319,48.75378,124.67361,73.30389,3.87279,0.0,0.0,636.4264,85.74799,2950.6582,842.125,14.072301,,1946.2715,1242.3125,291.88528,51.81439,1043.0057,18.77903,162.8705,4656.652,30649.97,40.13162,279.9732,167.79764,,3538.2239,0.0,,67.94268,0.0,0.0,,81.43525,46.25251,6139.336,,2021.4376,0.0,
1973,95.07525,863.18304,251.22162,237.18723,,106.482506,132.97913,1166.6589,623.4843,24.31833,115.69473,1.7002469,601.25507,130.2782,98.61077,88.35311,4.32636,0.0,0.0,785.5799,83.71274,3435.2354,1156.0471,12.8511505,,1788.6992,1216.8771,300.7447,50.561577,1176.8422,18.160213,168.76125,4989.27,33445.12,43.66005,330.18402,170.22832,,4466.09,0.0,,64.282326,0.0,0.0,,95.61217,45.10114,5985.4062,,2110.0837,0.0,
1974,99.33183,945.41235,245.91354,234.67719,,111.1111,113.27886,1097.7156,754.2055,28.55165,105.52804,1.1334981,556.3107,110.3313,86.67839,118.649254,4.7683,0.0,0.0,807.3037,87.108696,3526.1836,1131.332,12.8395195,,1510.3931,855.80133,377.0003,45.00536,1291.8168,19.862734,167.03331,5337.007,33519.68,47.611588,300.06198,172.54268,,4996.796,0.0,,74.70649,0.0,0.0,,107.70769,48.13657,5715.055,,1868.362,0.0,
