Date,ABW,AFG,AGO,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,0.0,0.23,1.22,6.87,0.84,0.0,0.0,0.49,0.3,0.19,0.0,0.66,1.36,0.84,3.15,0.0,7.35,0.0,0.0,1.12,0.0,0.0,1.65,0.0,2.71,0.0,0.56,0.0,0.33,0.3,0.89,0.25,2.7,2.29,1.41,3.9,1.1,0.0,2.37,0.12,0.0,0.22,0.44,0.37,0.0,0.46,0.0,9.5,3.79,6.57,0.0,0.39,0.64,0.97,0.44,0.0,0.16,0.0,,0.06,0.7,0.0,0.0,0.0,0.02,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4,2.29,0.53,,20.18,8.94,0.0,0.23,0.4,0.0,1.21,0.05,4.29,0.0,6.47,0.0,0.0,0.0,0.15,7.49,0.0,3.05,0.0,6.62,0.0,0.79,1.36,0.5,,0.86,0.0,0.42,1.09,0.79,0.0,0.72,0.0,1.18,0.0,0.0,0.0,0.0,4.4,0.62,,0.0,2.25,1.6,0.83,0.0,0.73,0.0,0.06,0.13,0.0,0.0,0.02,0.12,0.96,3.14,0.07,0.0,0.0,0.0,,0.0,0.11,0.0,,3.77,0.0,0.47,0.3,10.33,1.32,2.54,,0.0,0.0,0.12,0.0,0.0,0.0,0.45,0.0,,0.45,0.75,0.0,0.0,5.1,0.0,0.0,1.41,2.02,25.37,0.0,0.0,0.0,0.97,0.16,1.17,2.0,0.0,0.09,22.9,0.0,6.24,1.95,0.0,0.0,3.65,0.82,7.66,12.58
2011,0.0,0.13,1.61,6.73,1.24,0.0,0.76,0.59,0.33,0.99,0.0,0.65,1.64,1.09,3.58,0.0,8.57,0.44,0.0,0.28,2.12,0.0,1.94,0.2,3.85,0.0,0.72,0.0,0.2,0.38,0.29,0.27,2.89,2.89,1.83,5.59,0.89,0.06,2.86,0.13,0.0,0.23,0.4,0.34,0.09,0.5,1.91,11.72,5.8,9.49,0.0,0.29,0.63,1.06,0.44,0.0,0.25,0.0,,0.05,0.39,0.0,0.0,0.0,0.05,1.44,0.45,0.36,1.09,0.0,0.89,0.0,1.55,0.42,4.4,0.84,,17.61,11.7,0.0,0.26,0.52,0.1,5.66,0.07,5.56,0.01,13.12,0.0,0.0,0.45,0.14,8.28,0.0,3.94,0.0,13.76,0.0,1.31,1.6,0.57,,0.97,0.0,1.14,1.26,1.03,0.0,1.6,0.0,1.51,0.0,0.0,0.0,0.0,6.73,0.85,,0.0,2.44,2.66,1.01,0.01,1.57,1.97,0.07,0.15,0.07,0.0,0.02,0.0,1.15,4.76,0.46,0.0,0.0,0.0,,0.0,0.25,0.11,,4.17,0.0,0.59,0.36,12.61,1.93,3.08,,0.0,0.01,0.0,0.0,0.0,0.0,0.53,1.55,,0.35,0.69,0.0,0.0,6.59,0.0,0.01,1.82,2.64,25.82,0.0,0.0,0.0,2.63,0.16,1.24,2.32,0.0,0.06,21.8,0.0,7.58,2.41,0.0,0.0,4.97,0.92,9.96,15.31
2012,0.0,0.12,1.72,7.87,1.47,0.0,0.78,0.5,0.27,0.37,0.0,0.61,0.0,1.2,4.25,0.0,9.44,0.45,0.0,0.34,2.16,5.44,2.01,0.2,4.07,0.0,0.75,0.0,0.22,0.36,0.28,0.44,3.05,2.91,1.87,6.66,0.75,0.07,2.92,0.12,0.0,0.21,0.37,0.31,0.09,0.4,1.95,14.12,6.36,9.95,0.0,0.26,0.47,1.29,0.45,0.0,0.26,0.48,,0.06,0.41,0.0,0.0,0.0,0.06,1.92,0.47,0.37,1.38,0.0,0.89,0.0,1.62,0.35,4.56,0.84,,21.57,11.47,0.0,0.31,0.64,0.11,5.9,0.08,4.65,0.01,16.83,0.0,0.0,0.44,0.13,8.07,0.0,4.12,0.0,9.37,0.0,0.82,1.49,0.57,,1.23,0.0,1.22,1.45,1.06,0.0,1.7,0.0,1.34,0.0,0.0,0.0,0.0,6.75,0.9,,0.0,2.39,2.99,1.0,0.0,1.5,2.0,0.06,0.1,0.0,0.0,0.03,0.0,1.23,4.48,0.47,0.0,0.0,0.0,,0.0,0.09,0.11,,4.44,0.0,0.63,0.37,13.45,2.48,3.21,,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.69,,0.36,0.49,0.0,0.0,9.46,0.0,0.07,2.02,3.32,26.37,0.0,0.0,2.31,2.71,0.15,1.22,4.53,0.0,0.07,17.85,0.0,8.41,3.06,0.0,0.0,3.73,1.35,11.15,12.77
2013,0.0,0.11,2.32,7.24,1.86,0.0,0.77,0.46,0.24,0.73,0.0,0.68,0.0,1.33,2.42,0.0,8.71,0.46,0.0,0.52,2.12,7.16,1.87,0.2,3.28,0.0,0.68,0.0,0.21,0.34,0.29,0.42,2.74,2.88,1.7,6.76,0.73,0.05,3.35,0.12,0.0,0.19,0.35,0.28,0.1,0.41,1.92,14.53,6.27,9.93,0.0,0.23,0.4,1.44,0.53,0.0,0.26,0.78,,0.08,0.17,0.0,0.0,0.0,0.04,2.08,0.48,1.46,0.93,0.0,0.86,0.0,1.69,0.35,3.91,1.12,,21.5,9.19,0.0,0.34,0.71,0.1,3.56,0.09,3.35,0.0,16.66,0.0,0.0,0.45,0.14,8.65,0.0,4.74,0.0,11.86,0.0,0.37,1.56,0.57,,1.35,0.0,0.53,1.22,1.05,0.0,0.78,0.0,1.39,0.0,0.02,0.0,0.0,6.51,0.83,,0.0,2.22,3.48,0.99,0.0,1.45,1.99,0.02,0.17,0.0,0.0,0.01,0.0,1.18,3.11,0.48,0.0,0.0,0.0,,0.0,0.11,0.12,,4.33,0.0,0.67,0.37,12.6,2.29,3.39,,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.68,,0.41,0.41,0.0,0.0,8.2,0.0,0.0,0.76,3.88,27.58,0.0,0.0,4.14,2.67,0.14,1.33,2.79,0.0,0.06,14.88,0.0,9.25,1.02,0.0,0.0,4.37,1.02,11.15,13.25
2014,0.0,0.11,2.03,5.18,1.93,0.0,0.75,0.43,0.23,0.0,0.0,0.57,0.0,1.52,1.54,0.0,7.72,0.46,0.0,0.54,2.22,6.48,1.62,0.2,2.82,0.0,1.01,0.0,0.21,0.36,0.41,0.45,2.72,2.84,1.69,6.27,0.73,0.0,3.86,0.12,0.0,0.16,0.36,0.26,0.09,0.4,1.7,12.92,5.59,8.06,0.0,0.21,0.36,1.13,0.73,0.0,0.25,1.05,,0.08,0.08,0.0,0.0,0.0,0.04,1.64,0.46,1.44,0.93,0.0,0.84,0.0,1.47,0.33,3.61,0.66,,19.22,6.44,0.0,0.33,0.73,0.1,3.28,0.07,3.04,0.0,14.08,0.0,0.0,0.42,0.14,8.28,0.0,4.54,0.0,14.62,0.0,0.43,1.54,0.59,,1.3,0.0,0.42,1.04,1.06,0.0,0.29,0.0,1.43,0.0,0.0,0.0,0.22,7.31,0.92,,0.0,1.99,2.0,0.92,0.0,1.14,1.97,0.03,0.15,0.0,0.0,0.01,0.18,1.02,2.47,0.48,0.0,0.0,0.0,,0.0,0.11,0.12,,4.34,0.0,0.48,0.41,11.72,1.24,3.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.67,,0.43,0.42,0.0,0.07,8.12,0.0,0.0,0.5,3.33,24.44,0.0,0.0,3.66,2.63,0.57,1.4,2.26,0.0,0.06,11.59,0.0,7.83,0.61,0.0,0.0,2.07,0.98,10.53,12.87
2015,0.0,0.0,0.17,3.09,2.0,0.0,0.78,0.35,0.32,0.86,0.51,0.53,0.95,0.03,0.88,3.6,5.39,0.48,0.04,0.03,0.0,1.98,0.98,0.18,1.34,2.9,0.0,0.0,0.14,0.35,0.58,0.42,0.13,0.13,0.0,0.07,0.44,0.0,0.0,0.12,0.14,0.13,0.29,3.08,0.0,0.29,0.03,7.34,2.56,5.32,0.0,0.18,0.25,0.79,0.58,0.0,0.23,0.96,0.0,0.07,0.08,0.0,0.0,0.0,0.02,1.22,0.0,0.06,0.0,0.01,0.31,0.18,0.0,0.34,1.2,0.59,0.01,11.36,2.99,0.0,0.31,0.63,0.0,0.81,0.06,1.63,0.0,6.5,0.0,0.0,0.0,0.12,5.43,0.0,9.41,0.0,7.43,0.02,0.18,0.09,0.54,0.0,1.0,0.0,0.0,0.83,0.08,0.87,0.42,0.31,0.0,0.0,0.49,0.0,0.0,0.92,1.47,0.0,0.0,0.0,0.11,0.0,0.51,0.18,0.0,0.02,0.14,0.2,0.0,0.01,0.12,0.71,1.09,0.0,0.0,0.2,0.0,0.0,0.0,0.13,0.06,3.23,2.05,0.47,0.46,0.03,7.88,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.85,0.0,4.7,0.0,0.37,0.28,0.0,0.0,0.0,0.07,0.27,0.22,6.34,13.9,2.06,0.0,3.05,2.53,0.51,0.0,1.13,0.0,0.05,6.69,0.35,5.23,0.04,0.0,0.0,1.59,1.01,0.73,0.0
2016,0.0,0.0,0.43,2.24,1.9,0.0,0.68,0.56,0.31,2.36,0.58,0.55,0.82,0.01,0.45,2.27,3.44,0.86,0.05,0.13,0.0,1.11,0.82,0.42,0.68,0.58,0.0,0.01,0.15,0.35,0.67,0.24,0.0,0.06,0.0,0.0,0.42,0.0,0.0,0.18,0.71,0.12,0.3,3.02,0.0,0.28,0.0,3.89,1.57,4.13,0.0,0.16,0.17,0.76,0.6,0.58,0.26,0.86,0.0,0.05,0.05,0.0,0.0,0.0,0.03,1.06,0.0,0.06,0.0,0.0,0.68,0.71,0.0,0.23,1.25,0.44,0.01,6.25,2.1,0.0,0.32,0.6,0.0,0.0,0.07,2.13,0.0,4.68,0.0,0.0,0.0,0.09,4.48,0.0,7.85,0.0,6.83,0.02,0.09,0.09,0.7,0.0,0.94,0.0,0.0,0.8,0.12,0.61,1.54,0.19,0.0,0.0,0.33,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.45,0.0,0.51,0.01,0.21,0.07,0.12,0.51,0.0,0.01,0.12,0.61,0.54,0.0,0.0,0.22,0.0,0.0,0.0,0.16,0.13,2.3,0.7,0.3,0.59,0.02,5.09,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,4.39,0.0,0.38,0.31,0.0,0.0,0.0,0.0,0.19,0.12,6.18,10.04,0.74,0.0,2.22,1.12,0.51,0.0,1.88,0.0,0.04,4.53,0.33,4.76,0.05,0.0,0.0,0.0,0.8,0.52,0.0
2017,0.0,0.05,0.22,2.1,1.38,0.0,1.11,0.58,0.3,0.0,0.51,0.62,0.9,0.04,0.58,4.68,3.99,0.7,0.07,0.19,0.0,1.67,0.61,0.0,1.22,0.0,0.0,0.04,0.15,0.33,0.74,0.23,0.0,0.08,0.0,0.0,0.57,0.0,0.0,0.17,0.3,0.13,0.27,2.58,0.0,0.36,0.0,5.27,2.48,6.24,0.0,0.15,0.19,1.09,0.6,0.74,0.29,0.34,0.0,0.05,0.15,0.0,0.0,0.0,0.16,1.21,0.0,0.24,0.0,0.19,0.72,0.82,0.0,0.25,1.07,0.45,0.01,10.1,3.49,0.0,0.34,0.51,0.0,0.0,0.06,2.59,0.0,6.82,0.0,0.0,0.0,0.09,4.68,0.18,10.14,0.0,6.1,0.0,0.23,0.08,0.65,0.0,0.88,0.0,0.03,0.83,0.68,2.95,0.38,1.49,0.0,0.0,1.1,0.0,0.23,0.0,1.59,0.0,0.45,0.0,0.57,0.0,0.69,0.19,0.18,0.11,0.11,0.45,0.0,0.0,0.14,0.65,1.08,0.0,0.0,0.13,0.0,0.0,0.0,0.24,0.03,4.18,1.03,0.52,0.89,0.02,6.11,2.14,0.01,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,3.02,0.0,0.39,0.27,0.0,0.0,0.0,0.11,0.6,0.19,6.65,10.01,2.28,0.0,2.6,2.06,0.56,0.0,2.7,0.0,0.04,6.73,0.39,6.63,0.09,0.0,0.0,0.0,0.8,1.27,0.0
2018,0.0,0.49,1.75,2.3,0.99,0.0,2.61,0.55,0.32,1.72,0.61,0.69,1.17,0.12,1.12,5.31,1.32,0.96,0.08,0.14,0.0,3.1,0.59,0.0,1.86,0.0,0.0,0.01,0.13,0.34,0.59,0.22,0.0,0.18,0.0,0.04,0.79,0.05,0.0,0.16,0.0,0.13,0.28,2.57,0.0,0.4,0.0,9.74,3.46,7.27,0.0,0.16,0.19,1.49,0.65,0.94,0.4,0.33,0.0,0.05,0.21,0.01,0.0,0.07,0.59,1.17,0.0,0.3,0.0,0.44,0.3,0.82,0.46,0.26,1.53,0.5,0.01,14.99,5.22,0.0,0.34,0.58,0.0,0.37,0.05,3.72,0.0,6.78,0.0,0.0,0.3,0.09,5.41,0.29,12.74,0.0,7.29,0.05,0.42,0.13,0.66,0.0,0.64,0.0,0.11,0.87,0.66,2.77,0.35,1.37,0.23,0.0,1.51,0.0,0.2,0.0,2.86,0.0,0.62,0.0,0.51,0.0,0.94,0.46,0.18,0.11,0.1,0.2,0.0,0.0,0.17,0.8,1.68,0.02,0.51,0.18,0.82,0.0,0.0,0.25,0.01,6.98,1.52,0.49,1.46,0.03,5.79,5.66,0.07,0.0,0.0,0.0,0.0,0.0,0.86,0.0,1.18,3.5,0.01,0.35,0.29,0.0,0.0,,0.26,1.09,0.23,5.64,11.98,4.62,0.0,2.98,3.54,0.48,0.0,2.59,0.0,0.05,8.44,0.51,9.05,0.25,0.0,0.0,0.0,1.06,0.85,0.0
2019,0.0,0.72,1.27,1.56,0.78,0.0,2.19,0.55,0.32,1.47,0.13,0.72,1.28,0.15,0.62,4.44,2.51,0.97,0.22,0.14,0.0,2.12,0.5,0.0,1.13,0.0,0.0,0.01,0.13,0.34,0.63,0.19,0.0,0.2,0.0,0.04,0.55,0.05,0.0,0.16,0.0,0.17,0.24,2.65,0.0,0.39,0.01,7.52,2.84,4.56,0.0,0.14,0.19,1.08,0.58,0.67,0.39,0.27,0.0,0.05,0.02,0.01,0.0,0.14,0.6,1.05,0.0,0.13,0.0,0.56,0.29,0.73,1.38,0.2,1.45,0.36,0.01,20.27,4.18,0.0,0.33,0.59,0.0,0.37,0.05,2.54,0.0,7.02,0.16,0.0,0.36,0.09,4.17,0.33,13.18,0.0,7.32,0.01,0.45,0.08,0.62,0.0,0.61,0.0,0.15,0.74,0.46,2.49,1.58,1.41,0.26,0.0,1.04,0.0,0.21,0.0,3.02,0.0,0.69,0.0,0.38,0.0,1.08,0.36,0.18,0.1,0.09,0.09,0.0,0.01,0.16,0.67,0.81,0.0,0.11,0.01,1.17,0.0,0.0,0.28,0.1,6.32,0.34,0.46,1.75,0.05,4.59,1.92,0.29,0.0,0.0,0.09,0.0,0.0,1.02,0.0,1.41,3.55,0.0,0.27,0.31,0.0,0.0,,0.32,1.38,0.1,6.02,8.13,4.71,0.0,2.34,1.65,0.35,0.0,1.94,0.0,0.05,5.16,0.51,8.7,0.18,0.0,0.0,0.0,1.13,0.85,0.0
