Date,ABW,AFG,AGO,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2010,0.0,1.21,48.56,2254.65,122.5,9.57,0.0,241.65,131.93,9.71,0.0,261.27,13.04,4.75,32.66,0.0,1576.59,0.0,0.0,60.99,0.0,0.0,142.73,0.0,890.27,0.0,30.56,0.0,135.4,247.05,105.1,13.82,32.72,29.26,5.53,90.99,57.49,0.0,67.42,12.5,0.0,36.48,167.46,5.84,0.0,234.9,0.0,373.33,202.0,209.62,0.0,100.36,93.2,4.16,191.65,0.0,57.99,0.0,,1.73,9.75,0.0,0.0,0.0,2.94,281.08,0.0,0.0,0.0,0.0,0.0,0.0,0.1,45.27,61.85,6.67,,1097.27,344.53,0.0,78.04,128.03,0.0,58.93,16.99,373.61,0.0,62.06,0.0,0.0,0.0,39.11,2440.4,275.79,0.0,855.63,0.0,22.88,13.32,54.33,,94.27,0.0,11.08,19.06,3.62,0.0,64.39,0.0,6.71,0.0,0.0,0.0,0.0,21.53,8.91,,0.0,8.1,129.73,34.72,0.01,17.46,0.0,26.06,0.0,0.0,8.04,26.13,88.93,37.16,7.66,0.0,0.0,0.0,,0.0,22.02,0.0,,2579.42,0.0,41.47,1.76,1787.94,28.13,29.5,,0.0,0.0,4.18,0.0,0.0,0.0,6.34,0.0,,92.76,361.58,0.0,0.0,92.42,0.0,0.0,71.45,16.39,1359.97,0.0,0.0,0.0,35.13,13.64,15.79,8.58,44.8,0.0,48.53,487.25,0.0,743.95,32.27,0.0,0.0,78.49,49.34,90.08,138.11
2011,0.0,0.7,63.94,2332.96,189.32,12.78,105.34,296.62,146.27,50.07,0.0,261.34,15.77,6.36,39.69,0.0,1878.01,133.22,0.0,16.47,121.81,0.0,173.47,33.81,1291.21,0.0,40.77,0.0,84.27,310.89,35.77,16.34,34.69,37.1,7.41,129.05,49.23,0.75,83.55,13.81,0.0,38.78,156.63,6.03,7.29,260.46,111.44,465.06,328.19,301.25,0.0,74.08,99.09,4.97,194.07,0.0,95.41,0.0,,1.77,6.07,0.0,0.0,0.0,6.19,281.68,33.93,12.85,56.13,0.0,18.84,0.0,20.39,48.79,124.4,11.06,,980.83,468.54,0.0,91.17,166.37,5.25,275.77,22.95,519.44,0.1,131.82,0.0,0.0,79.15,38.19,2767.68,355.36,0.0,926.95,0.0,40.59,16.33,66.56,,110.41,0.0,31.79,24.01,4.67,0.0,147.47,0.0,8.93,0.0,0.0,0.0,0.0,34.33,12.45,,0.0,9.39,223.07,43.57,0.04,38.65,34.54,30.58,0.54,0.0,7.76,0.0,108.55,57.32,51.57,0.0,0.0,0.0,,0.0,48.33,5.77,,3066.44,0.0,53.67,2.18,2341.55,39.21,35.27,,0.0,0.08,0.0,0.0,0.0,0.0,7.51,136.16,,72.29,339.48,0.0,0.0,122.89,0.0,0.07,92.54,21.45,1534.89,0.0,0.0,0.0,93.59,14.59,17.3,9.22,54.95,0.0,34.31,491.0,0.0,929.62,42.03,0.0,0.0,87.89,56.66,119.58,189.21
2012,0.0,0.68,71.42,2821.78,221.08,14.21,110.54,252.31,119.15,19.01,0.0,243.54,0.0,7.25,50.56,0.0,2121.53,140.3,0.0,20.25,126.06,143.76,181.83,33.38,1360.79,0.0,41.73,0.0,91.71,296.44,36.22,28.94,41.71,37.96,7.88,164.18,42.49,0.82,85.25,13.39,0.0,34.71,146.09,5.99,7.05,203.43,115.06,568.33,373.82,315.8,0.0,63.13,76.66,6.39,197.09,0.0,98.01,32.67,,2.03,6.77,0.0,0.0,0.0,8.19,349.98,34.5,13.32,74.56,0.0,19.32,0.0,21.07,40.3,135.03,11.49,,1141.89,500.1,0.0,109.29,198.41,5.35,290.38,27.91,449.33,0.14,166.49,0.0,0.0,76.94,36.3,2664.88,371.43,0.0,1243.25,0.0,27.48,16.06,70.44,,151.2,0.0,34.74,27.97,4.79,0.0,159.97,0.0,8.56,0.0,0.0,0.0,0.0,35.87,13.36,,0.0,9.35,260.76,44.94,0.01,37.56,36.67,24.8,0.0,0.0,9.75,0.0,117.96,55.44,56.6,0.0,0.0,0.0,,0.0,16.47,5.62,,3234.73,0.0,59.57,2.42,2577.18,49.87,37.28,,0.0,0.0,0.0,0.0,0.0,0.0,8.18,151.69,,71.79,240.34,0.0,0.0,130.55,0.0,0.52,109.53,28.44,1634.02,0.0,0.0,406.62,100.19,14.24,18.68,9.14,107.66,0.0,36.03,424.05,0.0,1075.88,55.57,0.0,0.0,63.31,83.56,139.31,180.87
2013,0.0,0.66,97.29,2700.49,282.76,14.37,107.84,236.49,105.61,38.64,0.0,271.86,0.0,8.22,30.67,0.0,2003.34,137.79,0.0,31.16,126.32,198.9,172.14,33.79,1059.52,0.0,41.54,0.0,91.92,287.22,38.43,29.07,42.26,38.41,7.5,161.58,43.09,0.62,97.37,13.45,0.0,30.9,140.37,6.01,7.39,211.27,117.4,589.75,380.83,314.62,0.0,56.13,66.06,7.71,228.57,0.0,98.67,54.23,,2.96,3.0,0.0,0.0,0.0,5.21,371.34,36.03,54.11,51.97,0.0,18.87,0.0,22.24,40.82,120.52,16.04,,1104.79,411.77,0.0,124.01,213.94,5.12,168.64,29.57,337.34,0.04,179.97,0.0,0.0,82.94,39.22,2689.21,405.14,0.0,1264.78,0.22,12.76,16.89,73.2,,170.7,0.0,15.79,26.36,4.75,0.0,73.46,0.0,9.21,0.0,0.19,0.0,0.0,35.88,12.44,,0.0,9.41,312.32,45.85,0.0,37.66,37.69,9.23,0.0,0.0,3.19,0.0,114.65,40.05,61.12,0.0,0.0,0.0,,0.0,19.8,6.42,,3115.25,0.0,64.12,2.48,2426.01,47.95,39.23,,0.0,0.0,0.0,0.0,0.0,0.0,8.42,155.11,,80.38,199.92,0.0,0.0,87.71,0.0,0.0,42.28,34.87,1672.22,0.0,0.0,752.29,101.36,14.27,19.73,9.62,66.46,0.0,35.07,373.53,0.0,1184.67,19.28,0.0,0.0,76.03,63.89,141.7,187.26
2014,0.0,0.65,85.93,1998.02,283.04,14.4,108.89,219.61,102.41,0.0,0.0,229.16,0.0,9.5,20.79,0.0,1783.38,139.36,0.0,32.77,134.59,186.8,148.91,33.5,879.6,0.0,63.37,0.0,93.5,301.41,55.46,33.58,47.1,38.79,7.87,156.1,44.75,0.0,111.84,13.01,0.0,27.41,144.55,5.91,7.46,210.47,110.12,533.71,347.54,256.84,0.0,51.62,61.17,6.46,312.58,0.0,94.73,74.19,,2.89,1.33,0.0,0.0,0.0,4.86,295.39,36.29,54.79,52.64,0.0,18.59,0.0,19.7,40.17,115.59,10.03,,1017.22,278.9,0.0,123.3,219.93,5.02,142.83,22.61,314.7,0.0,155.74,0.0,0.0,83.26,39.03,2505.87,359.33,0.0,1177.83,0.0,15.69,16.85,80.0,,169.51,0.0,12.93,24.24,4.81,0.0,27.87,0.0,9.92,0.0,0.0,0.0,8.61,41.98,13.96,,0.0,9.15,187.25,44.76,0.0,30.71,38.65,11.59,0.0,0.0,3.9,34.39,100.82,33.2,62.63,0.0,0.0,0.0,,0.0,20.72,6.88,,3029.33,0.0,46.75,2.79,2293.52,27.03,39.68,,0.0,0.0,0.0,0.0,0.0,0.0,6.58,153.87,,87.63,210.07,0.0,9.27,83.4,0.0,0.0,27.8,31.19,1510.93,0.0,0.0,682.93,103.09,59.74,19.68,10.64,50.5,0.0,31.88,305.99,0.0,952.43,12.21,0.0,0.0,31.05,61.44,135.56,182.14
2015,0.0,0.0,6.96,1239.45,298.69,10.96,115.38,183.71,141.13,46.43,1.33,218.23,9.9,0.19,12.7,249.88,1229.39,145.17,1.85,1.83,0.0,58.79,86.27,30.26,411.15,78.1,0.0,0.0,61.64,296.48,79.64,33.6,2.52,1.75,0.0,1.6,27.71,0.0,0.0,14.4,23.36,23.64,117.81,74.81,0.0,156.21,1.98,308.08,157.14,173.1,0.0,46.18,43.49,4.86,248.14,0.0,87.26,68.24,79.05,2.78,1.33,0.02,0.0,0.0,2.08,220.39,0.0,2.14,0.0,4.72,6.96,21.49,0.0,43.24,39.75,9.61,580.56,579.69,132.23,0.0,117.49,190.53,0.13,32.94,22.56,168.25,0.0,73.42,0.0,0.0,0.0,34.06,1592.23,734.0,0.0,584.89,2.26,6.91,0.99,75.91,208.76,136.19,0.0,0.0,19.72,0.36,82.05,41.18,14.97,0.02,0.0,6.06,0.0,0.0,5.46,22.96,0.0,0.0,0.0,11.15,0.0,2.47,4.74,0.0,10.16,1.68,0.0,2.59,22.38,70.92,15.4,0.0,0.0,5.82,0.0,36.46,0.0,25.75,3.38,100.5,1370.11,41.88,43.29,0.21,1573.52,37.41,0.0,0.0,0.0,0.0,0.0,0.0,11.28,4.7,0.0,418.83,38.1,76.67,146.11,0.0,0.0,0.0,0.69,2.04,12.57,61.48,868.72,27.2,0.0,560.55,100.05,55.3,0.0,0.0,22.83,0.0,26.84,186.28,26.1,589.59,0.84,0.0,0.0,14.85,62.77,9.36,0.0
2016,0.0,0.0,16.82,919.6,275.43,7.64,105.42,294.63,137.3,121.7,1.54,228.2,8.51,0.06,7.05,163.73,784.67,256.54,2.27,7.24,0.0,33.84,69.11,72.87,200.34,16.81,0.0,0.04,67.26,297.38,92.33,20.16,0.0,0.9,0.0,0.0,26.7,0.0,0.0,21.61,125.54,21.19,124.83,76.96,0.0,150.65,0.0,165.1,93.43,137.24,0.01,42.46,31.38,4.87,262.62,30.29,99.2,60.38,50.22,2.12,0.96,0.03,0.0,0.0,2.23,191.58,0.0,2.23,0.05,0.0,15.68,86.9,0.0,30.62,43.14,7.71,556.86,340.85,103.07,0.0,121.84,185.27,0.13,0.0,26.11,219.3,0.0,54.16,0.0,0.0,0.0,27.13,1305.86,636.19,0.0,521.67,2.28,3.44,0.98,101.86,197.95,132.57,0.0,0.0,20.06,0.56,58.46,152.83,9.16,0.02,0.0,4.34,0.0,0.0,0.0,20.68,0.0,0.0,0.0,44.52,0.0,2.51,0.31,4.32,30.86,4.04,0.0,2.54,21.79,61.98,8.04,0.0,0.0,6.86,0.0,44.86,0.0,30.88,7.82,76.04,447.84,28.14,55.47,0.14,1012.88,21.86,0.0,0.0,0.0,0.0,0.0,0.0,8.45,0.0,0.0,368.15,42.3,81.27,158.04,0.0,0.0,0.0,0.04,1.48,7.15,62.67,610.53,9.96,0.0,378.36,46.48,56.11,0.0,0.0,39.13,0.0,20.26,131.42,25.77,442.04,1.14,0.0,0.0,0.0,49.25,6.68,0.0
2017,0.0,0.27,8.24,874.54,203.69,7.74,177.5,308.32,136.72,0.01,1.37,260.14,9.67,0.27,9.49,350.05,919.09,213.29,3.71,11.24,0.0,52.21,51.41,0.0,361.48,0.0,0.0,0.14,67.87,287.6,101.65,20.94,0.0,1.11,0.0,0.03,36.01,0.0,0.0,20.59,54.83,24.68,116.36,68.26,0.0,201.45,0.0,222.29,148.92,211.83,0.01,40.45,36.91,7.52,270.72,40.53,115.75,23.18,39.51,2.26,2.75,0.04,0.0,0.0,12.12,221.9,0.0,9.5,0.05,82.61,17.15,105.59,0.0,34.22,38.46,8.16,599.4,557.62,164.3,0.0,132.35,161.78,0.14,0.0,21.2,281.95,0.0,81.32,0.0,0.0,0.0,28.2,1273.78,849.32,0.0,608.55,0.0,9.24,0.87,99.41,200.54,129.6,0.0,0.94,22.0,3.18,292.88,37.75,73.67,0.02,0.0,15.11,0.0,9.15,0.0,25.32,0.0,45.31,0.0,59.28,0.0,3.41,4.87,3.93,49.16,3.93,0.0,0.77,25.87,68.17,16.46,0.0,0.0,4.35,0.0,54.71,0.0,48.16,1.7,137.14,621.52,52.13,84.73,0.18,1179.03,47.94,0.19,0.0,0.0,0.0,0.0,0.0,48.71,0.0,0.0,254.76,74.32,86.4,141.49,0.0,0.0,0.0,0.96,4.85,11.85,70.53,627.15,29.27,0.0,420.06,86.53,66.02,0.0,0.0,57.79,0.0,20.23,200.8,30.75,522.76,2.01,0.0,0.0,0.0,50.08,16.48,0.0
2018,0.0,2.64,61.81,960.7,140.45,1.54,442.02,296.72,148.07,88.38,1.68,292.78,13.02,0.82,19.48,411.66,302.94,293.29,4.01,8.71,0.0,99.82,50.49,0.0,548.3,0.0,0.0,0.04,59.55,297.15,81.46,20.93,0.0,2.62,0.0,0.74,49.81,0.72,0.0,19.59,0.0,26.16,120.13,72.45,0.0,226.84,0.0,407.87,207.01,254.91,0.02,43.43,36.57,10.62,298.35,53.34,157.84,22.23,33.96,2.38,4.09,0.1,0.0,0.48,41.83,219.46,0.0,12.3,0.06,198.24,7.23,108.59,6.35,37.04,57.07,9.63,683.51,798.12,245.81,0.0,135.61,184.46,0.15,14.53,17.44,415.61,0.0,82.46,0.0,0.0,64.52,28.36,1441.25,1074.77,0.0,772.48,5.11,17.61,1.36,106.45,234.89,98.86,0.0,3.41,24.4,3.1,286.11,35.76,69.83,1.87,0.0,21.96,0.0,8.69,0.0,46.63,0.0,64.16,0.0,55.14,0.0,4.79,11.55,3.71,51.02,1.77,0.0,1.41,31.36,85.48,26.9,2.38,33.23,6.03,20.92,55.47,0.0,51.89,0.83,226.98,915.6,52.21,143.0,0.27,1118.21,126.19,0.98,0.0,0.0,0.0,0.0,0.01,50.63,0.0,19.78,306.28,101.78,81.32,154.08,0.0,0.0,,2.46,8.94,14.74,62.96,745.11,58.1,0.0,468.54,151.06,57.13,0.0,0.0,57.67,0.0,28.0,261.26,41.17,587.59,6.14,0.0,0.0,0.0,66.11,11.08,0.0
2019,0.19,3.92,43.29,668.47,108.48,1.56,388.27,288.48,148.69,76.78,0.35,308.29,14.74,1.05,11.48,361.67,587.34,302.69,11.95,8.72,0.0,68.75,42.57,0.0,342.98,0.0,0.0,0.04,60.01,299.86,86.44,19.28,0.0,2.97,0.0,0.69,35.5,0.65,0.0,20.44,0.0,33.94,105.82,78.48,0.0,225.58,1.2,312.45,166.63,165.71,0.02,38.35,38.33,8.11,266.06,37.77,156.84,18.44,43.0,2.46,0.45,0.1,0.0,0.91,38.55,202.33,0.0,5.45,0.06,248.41,7.22,100.74,18.38,30.81,56.52,7.2,640.7,1034.79,204.75,0.0,135.29,190.09,0.15,14.48,18.96,293.71,0.0,87.92,2.3,0.0,78.73,26.98,1074.35,1062.32,0.0,679.08,1.21,19.09,0.86,104.96,236.09,97.16,0.0,4.37,21.7,2.23,267.46,158.49,74.41,2.17,0.0,15.52,0.0,9.16,0.0,50.45,0.0,74.06,0.0,42.12,0.0,5.62,8.99,3.54,50.17,0.83,0.0,2.8,28.0,71.82,13.15,0.0,7.41,0.2,30.43,47.77,0.0,59.76,6.34,203.88,200.35,51.18,175.27,0.43,870.56,42.18,4.07,0.0,0.0,0.55,0.0,0.01,62.69,0.0,23.82,311.05,58.21,64.19,165.32,0.0,0.0,,2.95,11.64,6.27,70.6,481.09,69.72,0.0,364.01,70.86,42.18,0.0,0.0,44.8,0.0,31.32,165.97,41.95,420.46,4.84,0.0,0.0,0.0,69.96,10.92,0.0
