Date,ABW,AFG,AGO,ALB,ANT,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CZS,OWID_KOS,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1900,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,73.84042,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,73.84042,,,0.0,,,,,,,,,
1901,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,81.828064,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,81.828064,,,0.0,,,,,,,,,
1902,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,89.815704,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,89.815704,,,0.0,,,,,,,,,
1903,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,97.803345,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,97.803345,,,0.0,,,,,,,,,
1904,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,105.790985,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,105.790985,,,0.0,,,,,,,,,
1905,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,113.778625,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,113.778625,,,0.0,,,,,,,,,
1906,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,121.766266,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,121.766266,,,0.0,,,,,,,,,
1907,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,129.7539,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,129.7539,,,0.0,,,,,,,,,
1908,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,137.74155,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,137.74155,,,0.0,,,,,,,,,
1909,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,145.72919,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,145.72919,,,0.0,,,,,,,,,
1910,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,3.8721852,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,157.589,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,153.71683,,,0.0,,,,,,,,,
