Date,AGO,ARE,ARG,AUS,AZE,BRA,BRN,CAN,CHN,COG,COL,DNK,DZA,ECU,EGY,GAB,GBR,GNQ,GUY,IDN,IND,IRN,IRQ,ITA,KAZ,KWT,LBY,MEX,MYS,NGA,NOR,OMN,OWID_USS,OWID_WRL,PER,QAT,ROU,RUS,SAU,SDN,SSD,SYR,TCD,THA,TKM,TTO,TUN,USA,UZB,VEN,VNM,YEM
1965,0.655,13.666313,13.764759,0.34620595,,5.0451913,3.9649742,43.874176,11.31,0.071,10.654546,0.0,26.139313,0.4287812,6.478,1.265,0.084,0.0,0.0,24.535269,3.022,95.66209,64.67544,2.278,,119.01136,57.98177,18.053894,0.04777487,13.506477,0.0,0.0,242.888,1567.5908,3.394165,11.605328,12.821,,111.02418,0.0,,0.0,0.0,0.0,,6.6714597,0.0,427.69443,,184.11397,0.0,
1966,0.631,17.433992,14.643966,0.44512194,,6.1592903,4.7606144,48.212154,14.55,0.062,10.443868,0.0,33.642475,0.37518355,6.257,1.447,0.078,0.0,0.0,23.92946,4.647,106.89286,68.5668,1.85,,125.55647,71.66927,18.489542,0.04777487,20.57004,0.0,0.0,265.1,1702.2194,3.394165,14.494207,13.075,,130.96883,0.0,,0.0,0.0,0.0,,7.5629115,0.771,454.53885,,178.7859,0.0,
1967,0.537,18.504246,15.9622755,1.0386178,,7.7508597,5.1584344,52.70114,13.88,0.05,10.07518,0.0,38.64524,0.3215859,5.581,3.445,0.089,0.0,0.0,25.746887,5.667,130.50755,60.48853,1.723,,126.39234,82.36263,20.46376,0.04777487,15.718151,0.0,2.8229308,288.1,1826.1791,3.8119047,16.13788,13.456,,141.2871,0.0,,0.0,0.0,0.0,,8.850564,2.241,484.22162,,187.92505,0.0,
1968,0.75,24.115112,17.487587,1.9341463,,8.516863,6.070115,57.119335,15.99,0.043,9.257762,0.0,42.423748,0.26872247,8.577,4.641,0.084,0.0,0.0,30.32282,5.853,142.78021,74.23724,1.627,,133.12819,123.8586,21.900665,0.19162303,6.9791903,0.0,11.968249,309.2,1992.264,3.9794297,16.981209,13.535,,154.22275,0.0,,1.0485675,0.0,0.0,,9.48521,3.191,502.88034,,191.76239,0.0,
1969,2.458,30.402945,18.106758,2.2256098,,9.289377,6.152985,62.218044,21.74,0.024,11.233911,0.0,44.435795,0.2143906,12.295,5.027,0.085,0.0,0.0,32.41079,6.723,169.26373,74.92105,1.591,,140.90796,147.71094,22.96501,0.4299738,26.613968,0.0,16.194708,328.3,2144.4827,3.8641222,17.731745,13.546,,162.7509,0.0,,2.6391542,0.0,0.0,,7.775441,3.707,511.3517,,190.80553,0.0,
1970,5.065,37.75428,20.000517,8.704607,,8.792737,6.7497153,70.06789,30.65,0.019,11.759925,0.0,48.31349,0.2143906,16.404,5.423,0.156,0.0,0.0,43.113415,6.809,192.58696,76.30027,1.502,,151.79893,159.54492,24.179007,0.8599476,53.351078,0.0,16.442333,353.039,2358.8894,3.8626916,18.080402,13.677,,192.1715,0.0,,4.232606,0.0,0.0,,6.933514,4.151,533.48987,,197.23807,0.0,
1971,5.721,51.309208,21.570862,15.2554035,,9.203948,6.401623,75.16377,39.41,0.014,11.67579,0.0,36.79766,0.2143906,14.952,5.795,0.212,0.0,0.0,45.03181,7.185,228.68463,83.44264,1.353,,162.5495,130.68419,24.107319,3.2964659,75.423485,0.29278076,14.56038,377.0,2493.6191,3.299296,21.417557,14.093,,240.79471,0.0,,5.2783084,0.0,0.0,,6.388738,4.109,525.8879,,189.87656,0.0,
1972,7.057,58.403637,22.218035,16.280006,,9.028129,9.06194,86.71315,45.67,0.336,10.577426,0.09773031,49.726482,4.1920705,10.72,6.303,0.333,0.0,0.0,54.72282,7.373,253.71094,72.40971,1.21,,167.34923,106.81965,25.097618,4.4552355,89.68235,1.6147059,14.004342,400.4,2635.423,3.4506981,24.073362,14.428,,304.23248,0.0,,5.842019,0.0,0.0,,7.002171,3.977,527.8879,,173.81235,0.0,
1973,8.175,74.22038,21.601171,20.39443,,9.155848,11.434147,100.31461,53.61,2.091,9.947956,0.14619492,51.69863,11.201909,8.479,7.597,0.372,0.0,0.0,67.547714,7.198,295.37708,99.40216,1.105,,153.80045,104.6326,25.859388,4.347513,101.190216,1.5614973,14.510855,429.0,2875.763,3.7540886,28.390715,14.637,,384.0146,0.0,,5.527285,0.0,0.0,,8.221167,3.878,514.6523,,181.43454,0.0,
1974,8.541,81.29083,21.144758,20.178606,,9.553835,9.740229,94.38655,64.85,2.455,9.073778,0.09746329,47.834114,9.486784,7.453,10.202,0.41,0.0,0.0,69.41563,7.49,303.1972,97.27705,1.104,,129.87042,73.58567,32.41619,3.8697643,111.07625,1.7078876,14.36228,458.9,2882.1736,4.0938597,25.800686,14.836,,429.64713,0.0,,6.4236016,0.0,0.0,,9.261194,4.139,491.4063,,160.65022,0.0,
