Date,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BGR,BLR,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KOR,KWT,LKA,LTU,LUX,LVA,MAR,MEX,MKD,MYS,NLD,NOR,NZL,OMN,OWID_USS,OWID_WRL,PAK,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SGP,SVK,SVN,SWE,THA,TKM,TTO,TUR,TWN,UKR,USA,UZB,VEN,VNM,ZAF
1965,0.85453314,328.52762,425.76,189.49828,,412.94122,0.0,119.92565,,273.86963,1389.0361,182.4683,72.43283,1536.1942,97.67337,4.68025,468.77814,2969.2932,166.20828,24.83265,8.656928,91.67502,337.40662,,115.40361,1347.1725,2316.2246,79.14619,26.302013,,184.97542,84.51602,619.4515,67.66312,97.29041,23.00489,7.5830297,41.006905,928.4623,1831.8372,,74.81707,79.22156,10.453816,,41.804058,,17.76096,293.32523,,33.086407,413.96008,215.42297,85.21792,0.09738055,6916.8755,43360.31,82.22446,55.006668,62.500954,776.0533,49.829292,1.4110831,278.7209,,235.13954,47.88801,106.83622,,392.95367,30.706528,,33.625652,91.43334,70.35767,,14439.7,,191.48477,29.454964,354.22852
1966,0.9120412,339.17477,446.10153,198.32507,,397.85898,0.0,128.56543,,298.78015,1478.7911,196.10419,77.675186,1669.308,109.92723,5.338632,472.28452,2977.0012,189.0594,29.832527,9.112492,96.46275,381.80264,,131.36514,1376.6533,2327.5,86.65007,28.52582,,187.46284,83.89609,638.4138,75.806435,106.036835,25.371931,7.9520016,42.641582,1008.3044,2078.875,,90.76834,82.88144,10.781163,,40.05722,,23.385164,310.58316,,38.272495,443.37744,220.39369,90.54922,0.12186111,7356.217,45732.45,82.84071,67.14465,68.92334,791.1782,54.556572,1.4206977,297.2699,,238.3216,54.743725,110.583595,,419.03525,36.59365,,35.77738,104.91622,75.37607,,15247.364,,193.30673,51.481853,356.42896
1967,5.406756,349.03226,473.09302,200.3635,,417.65488,0.0,149.34064,,309.5791,1546.2915,209.44366,79.18828,1501.0684,115.86104,5.7872543,464.94012,2969.4314,190.12347,28.247406,9.85964,82.58481,411.54218,,138.25218,1461.8832,2328.214,95.39773,33.692802,,178.89243,82.897255,658.43353,82.16955,116.65132,25.620564,7.879483,51.733803,1091.9742,2332.107,,104.28452,84.35843,11.0466795,,39.451443,,24.63975,316.54944,,41.102077,468.80005,236.68207,91.34093,0.5409833,7730.988,47410.555,91.71956,68.368126,74.92887,814.29987,58.333893,2.0353773,331.73352,,241.76488,65.75602,111.16376,,429.21722,41.678394,,38.137833,108.54361,82.26766,,15778.539,,203.81584,70.94084,371.15485
1968,6.944713,360.84442,501.69376,214.24156,,465.41702,0.0,166.9376,,353.48605,1645.5902,219.98697,78.8589,1516.6958,120.28532,6.427252,484.89218,3170.4126,198.66687,30.344988,11.6420355,89.11758,433.01935,,150.03085,1538.5549,2411.4243,99.13831,36.42809,,185.60588,88.42529,703.9852,95.832275,128.2504,27.218597,8.334447,52.66135,1179.9843,2569.2876,,119.519646,88.77665,11.483015,,42.66883,,26.452305,344.76462,,42.502728,524.3931,265.16656,93.475266,0.65190834,8020.2266,50246.746,104.131035,69.63113,87.65439,876.36676,59.39734,6.4395638,352.97977,,245.51805,81.734535,122.68507,,458.35043,53.471695,,39.31429,126.42663,94.5077,,16719.387,,219.9329,73.56608,391.70792
1969,6.9689255,372.91068,522.4283,221.9265,,510.77484,0.0,186.0677,,385.81198,1745.3479,227.56837,84.99641,1845.1862,121.78254,7.5897937,505.533,3419.778,228.0466,33.539192,12.369395,73.375175,490.20828,,164.92047,1691.6643,2498.7302,104.72187,42.799942,,198.76245,99.78609,780.436,96.1496,140.75528,31.467365,8.322165,59.519424,1270.0332,2995.7112,,144.33156,90.93682,11.926896,,45.919926,,29.009014,378.42734,,46.634598,584.78674,265.5665,95.07715,0.9285111,8391.309,53700.402,104.63179,70.14039,94.436554,936.06604,64.35529,10.11864,405.81186,,249.66277,80.31852,128.11635,,458.32812,56.474396,,40.542286,138.02687,98.92259,,17583.424,,222.37323,86.89018,403.31476
1970,9.605591,353.48654,570.1016,254.14923,,539.59106,0.0,209.35846,,466.1168,1868.5634,249.06569,89.74388,2361.6985,133.43292,8.004829,526.8715,3611.0166,242.98943,36.7589,14.773025,91.43163,528.76056,,181.70854,1831.6134,2551.043,116.36267,45.981678,,214.1397,106.95584,763.7408,75.80377,166.0412,39.157288,10.103885,63.53794,1402.1239,3418.7854,,167.46579,73.407524,19.76358,,47.681232,,30.375088,404.03186,,44.26303,659.7977,277.90164,105.80864,0.9359056,8809.916,57177.613,102.95154,72.33976,96.43434,987.92114,76.88242,11.525688,432.01083,,262.85547,87.205376,141.7335,,486.52866,67.273544,,44.68058,146.68285,107.67816,,18205.84,,224.47539,90.64347,421.47787
1971,14.63803,374.7417,598.8076,253.08414,,529.33435,13.40688,217.997,,505.982,1927.1455,254.86354,97.10933,2800.1243,132.01282,9.548514,553.7012,3643.557,229.63516,39.732845,16.231356,93.99038,582.2007,,186.58138,1895.4021,2503.8496,138.6327,48.559654,,221.097,101.90203,794.3863,78.733536,181.8806,42.859035,10.997423,72.10431,1476.2556,3581.7507,,181.19019,73.156784,20.13109,,45.844536,,32.27997,424.82913,,49.442223,695.7718,292.36362,110.801315,15.471503,9242.354,59438.562,97.50481,75.817635,103.409515,1019.14355,84.65108,11.481248,458.5655,,263.27188,75.697876,151.9201,,495.32153,74.51701,,45.16016,162.38356,135.22115,,18589.01,,228.21188,80.82477,454.0264
1972,15.65015,379.44794,626.09503,261.82578,,562.7329,15.190603,224.31827,,582.63513,2074.2717,251.06143,98.945076,3018.8367,152.19336,10.737023,556.8454,3770.2227,242.34227,44.64785,16.95922,104.290016,629.5625,,196.71066,2017.9841,2540.6985,155.51648,55.154087,,228.27798,108.06704,835.8586,83.12677,206.21753,50.203167,11.960912,68.30416,1548.1821,3835.0571,,187.85287,80.95828,21.11649,,47.274708,,34.89001,469.57944,,55.07215,808.1382,310.05338,118.23857,17.677216,9712.4795,62703.992,89.527275,67.946304,109.63743,1074.9188,92.027115,12.700935,483.27585,,282.16904,94.78758,159.76607,,510.22058,90.4268,,62.244137,181.4259,144.47043,,19514.082,,241.24178,78.33445,469.02933
1973,20.293112,396.45776,669.3559,281.51013,,570.326,19.480253,233.0736,,687.8291,2252.5435,277.651,95.741905,3186.8928,147.19649,11.51917,560.1646,3987.3542,234.46957,53.25068,18.151958,98.57274,689.2378,,216.77853,2191.6658,2667.0833,178.93362,57.202076,,247.19406,121.87374,853.3237,87.369446,246.47093,49.361458,14.462597,72.81664,1615.8226,4209.336,,232.33731,80.66415,21.854218,,50.1158,,38.7562,506.46973,,58.027016,859.68176,328.54495,122.9762,15.375915,10210.021,66337.65,95.656105,76.99078,122.09637,1095.064,101.72355,18.021015,525.8238,,301.00037,89.32662,166.21616,,539.84155,95.8878,,61.736767,205.60278,168.83441,,20339.795,,276.01712,82.677025,504.6048
1974,22.295511,412.27786,711.90106,282.96216,,550.7826,20.746552,240.03056,,762.3405,2323.3992,265.42792,95.92725,3286.7617,164.66032,10.213084,566.17145,3918.0273,213.3139,58.908936,21.187778,112.03732,717.3675,,207.93932,2151.3804,2533.1792,174.938,58.55752,,254.76144,130.60435,903.9876,88.90049,279.46756,48.343945,14.107851,73.12428,1615.3333,4170.8545,,241.56967,77.40107,18.762318,,50.89393,,41.430645,557.68085,,58.828335,815.95734,331.55154,124.64282,14.127883,10774.621,66696.51,103.62483,88.644035,113.94668,1131.2563,106.48222,15.712179,529.4953,,319.35376,88.05852,174.938,,499.54837,99.765045,,59.464718,209.67642,161.68346,,19842.607,,285.52383,61.490173,519.09454
