Date,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BGR,BLR,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KOR,KWT,LKA,LTU,LUX,LVA,MAR,MEX,MKD,MYS,NLD,NOR,NZL,OMN,OWID_USS,OWID_WRL,PAK,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SGP,SVK,SVN,SWE,THA,TKM,TTO,TUR,TWN,UKR,USA,UZB,VEN,VNM,ZAF
1965,0.0,1.2251163,7.689756,16.083,,0.272,0.0,2.0,,25.515,118.088,24.097282,3.954,22.097,3.5439494,0.0,2.231797,16.21221,0.025,0.4,0.249,1.7324048,19.687,,9.353536,46.881092,4.612,0.801,0.0,,0.075,1.8252122,19.166937,0.94203,1.7191466,0.0707104,0.6407,0.0,42.634,76.07,,0.710427,0.0,0.365,,0.086412,,1.213,8.863,,0.587,0.0,49.452,10.01878,0.0,81.434,923.19806,2.196442,2.625,1.55,0.896,3.975,0.0,1.005,,0.0,0.0,2.222958,,46.423,0.841,,0.0,2.179,2.586,,198.97409,,1.369,0.34,0.037
1966,0.0,1.2409302,7.3450427,17.331,,0.299,0.0,2.01,,27.906,131.0,27.518608,4.168,22.485907,3.9372194,0.0,2.1036344,17.533998,0.026,0.355,0.285,1.8252122,27.258,,10.380808,52.20847,4.536,1.73,0.0,,0.1,2.3732178,20.015463,0.84899,1.8473092,0.0928074,0.6239,0.0,43.72,79.35,,0.985322,0.0,0.399,,0.077759,,1.054,10.118,,0.692,0.0,48.744,10.805433,0.0,91.823,983.81696,2.196442,2.827,1.52,0.896,5.276,0.0,1.035,,0.0,0.0,2.1301508,,45.489,1.064,,0.0,2.3381,2.661,,199.9369,,1.395,0.39,0.036
1967,0.0,1.2706977,7.6057873,17.698,,0.238,0.0,2.022,,29.189,133.924,29.850212,4.255,19.383488,4.3892536,0.0,1.8959225,16.652311,0.025,0.41,0.314,1.966633,22.657,,11.6292925,45.37766,4.885,1.66,0.0,,0.082,2.6648982,22.39752,0.80247,1.98873,0.1060656,0.6645,0.0,42.34,68.55,,0.953171,0.0,0.41,,0.087757,,0.932,11.017,,0.725,0.0,53.301,11.220857,0.0,88.571,1005.7424,2.6030266,3.168,1.68,0.957,5.481,0.0,1.476,,0.0,0.0,1.8252122,,49.286,1.368,,0.0,2.3818,2.634,,227.22081,,1.636,0.43,0.026
1968,0.0,1.4976745,7.9505005,18.185,,0.244,0.0,1.305,,30.55,136.2,29.515339,3.565,22.870396,4.8910117,0.0,1.4672408,16.89899,0.021,0.563,0.328,3.0007727,24.388,,10.488889,50.42261,3.722,1.368,0.0,,0.089,3.292453,25.849072,0.76758,2.1389897,0.1281626,0.6869,0.0,42.677,73.45,,0.929483,0.0,0.474,,0.089632,,1.058,12.642,,0.804,0.0,60.205,11.773282,0.0,104.04,1059.2887,3.128935,3.4,1.72,1.005,5.188,0.0,1.562,,0.0,0.0,1.6749526,,48.739,1.405,,0.0,3.1748,3.864,,228.15471,,2.748,0.48,0.024
1969,0.0,1.3432558,8.684121,16.718,,0.23,0.0,1.839,,32.692,150.638,28.24513,4.024,23.259302,5.4379735,0.0,1.1976573,13.713478,0.022,0.361,0.364,3.9907181,30.603,,8.745455,52.94209,3.256,2.055,0.0,,0.095,3.4427125,28.699583,0.5815,2.3025074,0.1414208,0.8601,0.0,41.166,75.35,,1.428512,0.0,0.549,,0.077997,,1.368,13.406,,1.014,0.0,57.371,11.63628,0.0,115.181,1121.7424,3.3012917,3.701,1.815,0.81,6.311,0.0,2.217,,0.0,0.0,1.303723,,41.83,1.046,,0.0,3.4449,3.052,,256.02853,,3.19,0.54,0.021
1970,0.0,1.5571272,10.170687,21.2897,,0.246,0.0,2.152,,39.801,158.137,29.172628,4.307,24.037117,6.05274,0.0,1.7103078,17.533678,0.024,0.58,0.405,4.6889834,27.772,,9.524242,56.681484,4.536,2.636,0.0,,0.088,4.1851716,30.436407,0.80247,2.4792833,0.1723566,1.4129,0.0,40.373,75.4,,1.220684,0.0,0.7403,,0.086214,,1.346,15.005,,1.202,0.0,57.808,12.67042,0.0,124.377,1174.6497,2.9212234,3.536,2.097,1.771,5.804,0.0,2.773,,0.0,0.0,1.966633,,41.489,1.787,,0.0,3.0328,2.865,,253.49237,,4.104,0.6,0.025
1971,0.0,1.5461483,11.507442,16.8201,,0.134,0.175,2.17,,43.199,162.461,29.043726,4.809,29.075233,6.4234085,0.0,1.208,13.455188,0.024,0.33,0.44,5.0469546,31.816,,10.680808,48.856724,3.373,2.652,0.0,,0.096,1.3788528,33.384148,0.4652,2.6648982,0.2,1.5396,0.0,39.079,84.2,,1.319976,0.0,0.8255,,0.04873,,1.52,14.572,,1.046,0.0,63.245,14.393986,0.0,126.099,1227.2422,3.8139422,4.286,1.933,1.569,6.17,0.0,4.495,,0.0,0.0,1.476,,52.012,2.048,,0.0,2.6102,3.091,,272.254,,5.39,0.614,0.112
1972,0.0,1.5026463,11.553314,17.2876,,0.18,0.175,2.095,,50.681,181.639,24.234034,5.73,32.951046,7.115021,0.0,1.264,13.205894,0.024,0.495,0.445,5.161859,35.469,,10.379798,48.831467,3.373,2.677,0.0,,0.11,1.2330126,32.40304,0.68617,3.5001647,0.2,1.7026,0.0,41.348,85.1,,1.368076,0.0,0.8471,,0.057462,,1.596,15.531,,1.154,0.0,67.417,15.264607,0.0,122.899,1284.629,4.012815,4.435,2.207,1.503,7.086,0.0,7.343,,0.0,0.0,1.546,,53.743,1.728,,0.0,3.2042,3.636,,278.71597,,6.02,0.422,0.834
1973,0.0,2.9974296,12.285839,19.2092,,0.171,0.331,2.57,,57.89,194.654,26.586607,5.595,36.82686,7.7433486,0.0,1.081,15.229462,0.024,0.752,0.435,5.1530204,28.912,,10.579798,47.696262,3.838,2.223,0.0,,0.101,1.5556288,34.506676,0.63965,2.9654174,0.29,2.181,0.0,37.523,66.778,,1.284465,0.0,0.6957,,0.050733,,1.192,16.371,,1.108,0.0,72.867,15.09667,0.0,122.345,1303.013,4.233785,4.769,2.374,1.456,7.325,0.0,7.547,,0.0,0.0,1.322,,59.872,1.88,,0.0,2.6034,3.399,,278.2127,,6.225,0.42,0.985
1974,0.0,4.994663,13.87392,22.7122,,0.24,0.243,2.08,,65.679,210.667,27.850393,6.364,41.674942,8.7920685,0.0,1.819,17.638132,0.024,0.497,0.5,6.11645,30.568,,12.703031,56.230286,4.071,2.347,0.0,,0.081,1.723566,33.202953,0.79084,3.2659366,0.4,2.2582,0.0,37.795,82.68,,1.905858,0.0,0.9976,,0.074939,,1.337,16.708,,1.006,0.0,76.597,15.188889,0.0,132.03,1431.2317,4.2558823,5.216,2.051,2.122,7.828,0.0,8.476,,0.0,0.0,2.223,,57.265,2.458,,0.0,3.3558,4.705,,307.28464,,7.707,0.42,1.132
