Date,ABW,AFG,AGO,ALB,ANT,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CZS,OWID_KOS,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1900,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,1.41886,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.5815,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.02326,3.61693,1.67472,,0.0,0.0,,0.0,0.02326,,,1.32582,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,120.27746,234.94926,0.0,0.0,,0.44194,0.0,,4.03561,,,,,,,0.0,,2.88424,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,98.64566,,,0.0,,,,,,,,,
1901,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,1.17463,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.51172,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.03489,6.44302,2.22133,,0.0,0.0,,0.0,0.02326,,,1.68635,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.02326,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,134.48932,262.838,0.0,0.0,,0.45357,0.0,,4.71015,,,,,,,0.0,,3.46574,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,107.60076,,,0.0,,,,,,,,,
1902,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.82573,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.5815,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.04652,3.90768,2.51208,,0.0,0.0,,0.0,0.03489,,,1.82591,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.05815,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,127.74392,285.38858,0.0,0.0,,0.37216,0.0,,6.05923,,,,,,,0.0,,3.76812,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,137.64105,,,0.0,,,,,,,,,
1903,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.75595,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.73269,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.03489,9.25748,3.89605,,0.0,0.0,,0.0,0.02326,,,1.46538,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.1163,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,119.91693,305.04327,0.0,0.0,,0.43031,0.0,,7.82699,,,,,,,0.0,,4.79156,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,155.78384,,,0.0,,,,,,,,,
1904,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.86062,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,1.0467,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.02326,10.44374,5.24513,,0.0,0.0,,0.0,0.04652,,,2.15155,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.22097,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,124.72012,342.5384,0.0,0.0,,0.45357,0.0,,9.58312,,,,,,,0.0,,6.17553,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,181.55592,,,0.0,,,,,,,,,
1905,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.98855,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.91877,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.05815,12.59529,6.40813,,0.0,0.0,,0.0,0.06978,,,2.04688,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.41868,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,86.73654,336.89783,0.0,0.0,,0.5815,0.0,,9.23422,,,,,,,0.0,,7.93166,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,208.89806,,,0.0,,,,,,,,,
1906,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.88388,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.94203,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.03489,13.1419,6.23368,,0.01163,0.0,,0.0,0.08141,,,2.65164,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.83736,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,93.87736,335.54877,0.0,0.0,,0.82573,0.0,,8.57131,,,,,,,0.0,,11.29273,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,196.15158,,,0.0,,,,,,,,,
1907,,,0.0,0.0,,0.0,0.0,,,,0.0,0.01163,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,1.22115,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,1.23278,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.02326,16.02614,6.73377,,0.0,0.0,,0.0,0.09304,,,3.11684,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,1.79102,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,99.48302,414.90024,0.0,0.0,,1.163,0.0,,13.09538,,,,,,,0.0,,13.35124,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,257.55798,,,0.0,,,,,,,,,
1908,,,0.0,0.0,,0.0,0.02326,,,,0.0,0.02326,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.8141,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,1.63983,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.02326,16.5146,7.82699,,0.0,0.0,,0.0,0.08141,,,3.20988,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,6.5128,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,100.33201,448.5342,0.0,0.0,,1.46538,0.0,,19.98034,,,,,,,0.0,,13.24657,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,276.8405,,,0.0,,,,,,,,,
1909,,,0.0,0.0,,0.0,0.03489,,,,0.0,0.02326,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.65128,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,1.59331,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.03489,17.72412,10.3507,,0.0,0.0,,0.0,0.06978,,,3.11684,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,4.652,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,106.71688,471.31738,0.0,0.0,,2.18644,0.0,,24.26018,,,,,,,0.0,,15.77028,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.09304,0.0,0.0,0.0,,,,,284.0395,,,0.0,,,,,,,,,
