Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,,,0.0,0.0,0.0,2569766.0,,2672.0771,0.0,0.0,,,0.0,,,,0.0,301.67813,0.0,0.0,0.0,,0.0,,18680020.0,40.71909,0.0,,,,0.0,0.0,1040383.6,,,,,,3276446.2,,,,,0.0,39.798275,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,215.80615,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,706000.4,115900.94,0.0,,,,,,3514.8281,50224.36,0.0,,,,,,0.0,,,0.0,0.0,0.0,504.83224,0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,,63.59838,,,10147.671,,,,274.72974,,70606910.0,,0.0,0.0,,96.3081,0.0,0.0,0.0,0.0,,,732009.2,,,514.93774,,0.0,586.11786,,0.0,,,0.0,0.0,0.0,0.0,,0.0,14798435.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,1320.7444,,,,,,,,,,,,,,0.0,,0.0,,,,846.98584,0.0,,,,,,6703891.5,
1991,557.7068,,,0.0,0.0,0.0,2494868.0,,2573.0996,0.0,0.0,,,0.0,,,97526936.0,0.0,164.03537,0.0,0.0,0.0,61723.203,0.0,,14252151.0,17.018188,0.0,,1206238.6,,0.0,0.0,712960.2,,,8283697.5,,,2701934.5,,,,,0.0,33.076317,0.0,0.0,0.0,,,0.0,1591368.1,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,175.1896,,0.0,2316879.5,0.0,,0.0,95443670.0,0.0,,0.0,,,0.0,0.0,0.0,546705.06,83992.36,0.0,,,,,,3361.348,37808.43,0.0,,,,,,0.0,,,0.0,0.0,0.0,419.92386,0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,,51.32873,,,9946.209,,,,225.06798,,64584156.0,,0.0,0.0,,94.431404,0.0,0.0,0.0,0.0,,,666116.7,,,505.47156,,0.0,245.94952,,0.0,,,0.0,0.0,0.0,0.0,,0.0,16421729.0,,0.0,,,1670070.4,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,1100.8165,,,,,,,,,,,,,17139170.0,0.0,,0.0,,37257.7,,837.7197,0.0,,,35906.01,,,6963774.0,
1992,554.0216,,,0.0,0.0,0.0,2416010.2,,2500.0774,0.0,0.0,,,0.0,,,104466650.0,0.0,66.196396,0.0,0.0,0.0,53045.69,0.0,2970061.2,17272896.0,3.415369,0.0,,1250334.4,,0.0,0.0,755312.9,,,8080573.0,,,2656059.0,,,,,0.0,25.69016,0.0,0.0,0.0,,,0.0,1304395.0,,,4057722.5,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,133.5448,,0.0,2165867.0,0.0,,0.0,63291096.0,0.0,,0.0,,,0.0,0.0,0.0,532636.0,83591.51,0.0,,,,,,3242.7744,25279.773,0.0,,,,,,0.0,,,0.0,0.0,0.0,328.5048,0.0,12807934.0,0.0,0.0,11623191.0,,5897528.0,,0.0,,0.0,,0.0,,38.38965,,,9763.46,9810757.0,,1075533.0,173.2926,8429657.0,65416756.0,,0.0,0.0,,91.8505,0.0,0.0,0.0,0.0,,,659399.56,6860956.0,,495.66974,,0.0,49.508427,,0.0,,,0.0,0.0,0.0,0.0,7506551.0,0.0,16643284.0,,0.0,,,1377847.4,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,1110.3464,,,,,,,,,,,,25590472.0,,0.0,119864.02,0.0,,34749.04,452981.94,822.54803,0.0,,,31272.486,8379127.5,,6606757.5,7684539.0
1993,560.0694,,,0.0,0.0,0.0,2333981.0,,2430.0347,0.0,0.0,,,0.0,,9269539.0,103108430.0,0.0,15.169859,0.0,0.0,0.0,52383.168,0.0,2926779.8,15679577.0,0.0,0.0,,1254784.1,,0.0,0.0,666512.0,,,8171695.5,,,2607910.5,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1271673.6,,,2899002.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,11513126.0,0.0,,978024.44,,,0.0,,0.0,,91.38935,207994.28,0.0,2109635.5,0.0,,0.0,86156110.0,0.0,452760130.0,0.0,,,0.0,0.0,0.0,518492.97,82857.59,0.0,,22379414.0,,,,3134.8037,13507.361,0.0,3232691.5,,,,,0.0,,,0.0,0.0,0.0,224.17967,0.0,11072506.0,0.0,0.0,11863671.0,,3989595.0,,0.0,,0.0,,0.0,,25.3088,,,9569.035,10124256.0,,1101348.9,119.75158,8735653.0,66265116.0,1244187.0,0.0,0.0,,88.40714,0.0,0.0,0.0,0.0,,,652010.6,8253594.0,23365594.0,485.18564,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,16904916.0,6213253.0,0.0,,,1342760.4,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,1115.9087,,,,,,,,,,,,27672488.0,,0.0,114794.37,0.0,,33296.457,374178.9,805.24585,0.0,,,30189.982,9217772.0,,7183718.0,7475824.0
1994,0.0,,,0.0,0.0,0.0,2249435.8,,2359.297,0.0,0.0,,,0.0,,9503714.0,98922090.0,0.0,1.245955,0.0,0.0,0.0,51724.633,0.0,2774108.8,12926381.0,0.0,0.0,,1257305.1,,0.0,0.0,641644.0,,9072372.0,8258250.5,,,2556586.2,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1236795.8,,,2797363.8,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,11832459.0,0.0,,1003256.7,,,0.0,,0.0,,51.63512,221350.17,0.0,1967578.5,0.0,,0.0,73132160.0,0.0,472357760.0,0.0,,,0.0,0.0,0.0,503996.56,81535.06,0.0,,24958998.0,,,,3024.0781,4856.7837,0.0,3577781.2,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,10762027.0,0.0,0.0,12176003.0,,4250258.5,,0.0,,0.0,,0.0,,13.251907,,,9403.901,9960207.0,,1106025.0,68.3079,8968591.0,67107450.0,1398740.5,0.0,0.0,,84.651596,0.0,0.0,0.0,0.0,,,643949.94,8107067.0,22073366.0,474.30853,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,17219184.0,6279149.0,0.0,,,1301751.8,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,7420.5,,1117.854,,,,,,,20033.201,,1190434.9,,,28470568.0,20001440.0,0.0,109702.32,0.0,,31827.186,364258.88,787.4093,0.0,,133917.48,34631.8,9368906.0,,7294823.5,7817794.0
1995,0.0,,,0.0,0.0,0.0,2162254.2,,2288.56,0.0,0.0,,,0.0,,9698567.0,100117864.0,0.0,0.0,0.0,0.0,0.0,51209.215,0.0,2827675.8,13377756.0,0.0,0.0,,1257148.4,3247610.5,0.0,0.0,615905.25,,8373896.5,8338153.0,,,3150811.2,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1199710.6,,1178735.6,2954368.0,1561480.8,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,11752957.0,0.0,,1012443.56,,,0.0,,0.0,4042694.8,0.0,217263.14,0.0,1944472.8,0.0,5195469.0,0.0,66242904.0,0.0,466622000.0,0.0,,,0.0,0.0,0.0,489072.2,79426.625,0.0,16730.281,25157982.0,,,,2911.4434,0.0,0.0,3697056.8,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,11483752.0,0.0,0.0,12503439.0,,3730392.0,,0.0,,0.0,,0.0,,0.0,,,9205.428,9899234.0,,1122285.6,0.0,9112228.0,67946430.0,1399848.0,0.0,0.0,,81.0194,0.0,0.0,0.0,0.0,,,635193.94,7948745.0,21775426.0,463.43277,,0.0,0.0,,0.0,1031870.75,,0.0,0.0,0.0,0.0,,0.0,17549348.0,6294787.0,0.0,,,1325549.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,5893.5527,,1115.6626,,,,,,,18252.502,,1035222.44,,,29086406.0,19260402.0,0.0,104620.164,0.0,,30340.793,221938.2,768.86816,0.0,,145506.73,27951.098,9509439.0,,7409185.5,7468370.5
1996,0.0,,,0.0,0.0,0.0,2072251.1,,2217.5015,0.0,0.0,,,0.0,5465038.5,9896926.0,98460840.0,0.0,0.0,0.0,0.0,0.0,50878.84,0.0,2326303.2,11712411.0,0.0,0.0,,1253878.0,3321378.5,0.0,0.0,645746.5,,8547596.0,8411949.0,,,2441873.2,354865.06,,,,0.0,0.0,0.0,0.0,0.0,246372.23,,0.0,1160361.2,,938807.94,2577679.2,1601553.2,0.0,0.0,,0.0,266054.12,0.0,0.0,,,0.0,,11660545.0,0.0,,1020434.0,,,0.0,,0.0,3420602.0,0.0,213044.12,0.0,2262329.0,0.0,5394287.0,0.0,56104724.0,0.0,460414400.0,0.0,,,0.0,0.0,0.0,360845.53,76538.055,0.0,132622.5,25326610.0,,,,2796.0793,0.0,0.0,3469020.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,10113467.0,0.0,0.0,12846782.0,,3611553.5,,0.0,9762027.0,0.0,,0.0,,0.0,,,9048.21,10049211.0,,1136321.5,0.0,9341712.0,68770090.0,1398026.1,0.0,0.0,18671068.0,77.567375,0.0,0.0,0.0,0.0,,,625772.3,8187687.0,21480238.0,452.77704,4283891.0,0.0,0.0,,0.0,644065.8,,0.0,0.0,0.0,0.0,,0.0,17825490.0,6299654.5,0.0,,,1283954.9,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,5691.163,,1108.8555,,,,,,,17493.607,,892265.3,,,28036860.0,20634710.0,0.0,131459.23,0.0,93408.27,28839.459,343527.97,749.49744,0.0,,145629.23,26820.896,9626270.0,19132160.0,7446351.5,7550048.0
1997,0.0,,,0.0,0.0,0.0,1980000.0,,2144.5405,0.0,0.0,,,0.0,5359542.0,10101348.0,98705700.0,0.0,0.0,0.0,0.0,0.0,50672.34,0.0,2668418.0,11076099.0,0.0,0.0,,1247968.6,3396428.5,0.0,0.0,562031.75,,8719748.0,8480645.0,,,2379869.0,341417.0,,,,0.0,0.0,0.0,0.0,0.0,293621.0,,0.0,1118586.1,,910778.25,2461855.2,1595278.5,0.0,0.0,,0.0,229254.55,0.0,0.0,,,0.0,,11562825.0,0.0,,1027525.06,,,0.0,,0.0,3376319.0,0.0,208709.12,0.0,2137470.2,0.0,5454257.5,0.0,40687604.0,0.0,453658050.0,0.0,,,0.0,0.0,0.0,457863.47,55509.06,0.0,117200.73,25480908.0,9392.699,,,2678.2544,0.0,0.0,3397035.5,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,9768857.0,0.0,0.0,13356815.0,,3450971.2,,0.0,10189916.0,0.0,,0.0,,0.0,15831283.0,,8946.352,10205141.0,,1148996.4,0.0,9736453.0,69585880.0,1393178.9,0.0,0.0,19009110.0,74.41978,0.0,0.0,0.0,0.0,,,615723.06,7794486.0,21172366.0,441.41702,4880220.0,0.0,0.0,,0.0,651423.56,56836.836,0.0,0.0,0.0,0.0,7675526.5,0.0,18103358.0,6294210.0,0.0,,,1167073.5,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,6185.52,,1097.4768,7493947.5,,,,,,16795.588,,753701.56,,,29621174.0,20993836.0,0.0,94584.195,0.0,147366.02,27327.973,300712.6,729.7327,0.0,16033007.0,145568.8,25669.908,10259639.0,13935988.0,7656374.5,7649323.0
1998,0.0,,,0.0,0.0,0.0,1885931.9,,2067.376,0.0,0.0,,5945810.5,0.0,5460225.5,10329354.0,94953290.0,0.0,0.0,0.0,0.0,0.0,50480.62,0.0,2394257.5,9821732.0,0.0,0.0,,1240086.8,3472010.0,0.0,0.0,417356.78,,8886676.0,8387902.0,,,2316416.5,335299.72,,,,0.0,0.0,0.0,0.0,0.0,305461.2,17281.0,0.0,1074368.8,,891072.9,2345532.8,1591930.6,0.0,0.0,,0.0,221273.05,0.0,0.0,,,0.0,,10726933.0,0.0,,1033888.8,,,0.0,15858.944,0.0,3327916.2,0.0,204282.5,0.0,2066120.4,0.0,5513718.5,0.0,39992980.0,0.0,446357300.0,0.0,,,0.0,0.0,0.0,441501.8,69312.33,0.0,102844.98,24699290.0,21278.135,9806912.0,,2559.4248,0.0,0.0,3312914.8,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,9411610.0,0.0,0.0,13575103.0,,3734355.8,,0.0,10257097.0,0.0,,0.0,,0.0,16705252.0,,8870.043,10379845.0,,1161081.4,0.0,10021739.0,70408990.0,1511632.6,0.0,0.0,18534018.0,71.58876,0.0,0.0,0.0,0.0,1606628400.0,43282708.0,605042.9,7188120.0,21752022.0,428.7816,4944489.0,0.0,0.0,,0.0,599647.06,40557.355,0.0,0.0,0.0,0.0,7905975.0,0.0,18440196.0,6287317.0,0.0,,,1079829.9,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,5283.2393,,1082.241,7746689.0,4117193.0,,,,,16145.763,,648833.7,,,30100682.0,21373192.0,0.0,89637.25,0.0,132899.36,25824.387,377621.0,709.2809,0.0,10409435.0,145355.56,24487.186,9813350.0,16224581.0,7680750.5,7756138.0
1999,0.0,,,0.0,0.0,0.0,1790739.8,,1986.5125,0.0,0.0,239482.5,6205916.0,0.0,5562895.5,10776258.0,93083060.0,0.0,0.0,0.0,0.0,0.0,50197.69,0.0,2459275.2,8988932.0,0.0,0.0,,1230631.8,3550145.5,0.0,0.0,506219.2,,8917854.0,8612424.0,,,2250559.5,329089.97,,,,0.0,0.0,0.0,0.0,0.0,316156.16,14034.386,0.0,760158.75,,864047.25,2227352.2,1590990.2,0.0,0.0,,0.0,212924.53,0.0,0.0,,,0.0,,11348106.0,0.0,6909642.5,1039564.94,,,0.0,15443.969,0.0,3324082.5,0.0,199760.02,0.0,2086928.2,0.0,5572872.0,0.0,34655852.0,0.0,414252130.0,0.0,,,0.0,0.0,0.0,400016.75,65485.36,0.0,463676.22,25805954.0,21027.652,11183889.0,,2440.57,0.0,0.0,3221385.5,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,9039926.0,0.0,0.0,13952841.0,,3157912.8,15801.462,0.0,10347147.0,0.0,,0.0,,0.0,16869218.0,,8867.315,10576073.0,,1172468.5,0.0,10302984.0,67799070.0,1377210.8,0.0,0.0,18014924.0,69.16904,0.0,0.0,0.0,0.0,1549797800.0,44770090.0,593730.8,6787929.0,21868750.0,415.18402,5005539.0,0.0,0.0,,0.0,574451.3,39218.52,0.0,0.0,0.0,0.0,7877762.0,0.0,18780690.0,6208306.0,0.0,362911.53,,1234255.0,0.0,,0.0,,,1755.3167,0.0,0.0,0.0,,0.0,5093.3223,,1063.4644,7991958.5,4196575.5,,186251.1,,,15481.561,,560046.2,,,30636304.0,21815416.0,0.0,84763.48,0.0,118925.4,24356.824,264732.16,688.1671,0.0,9921612.0,147276.83,23293.824,9896641.0,13396752.0,7934184.0,7258610.0
