Date,ABW,AFG,AGO,AIA,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,0.0,9.8,14.37,0.0,453.88,0.0,234.54,323.24,0.0,0.0,381.81,1557.72,112.57,8.43,22.65,0.07,0.0,2.69,1.78,131.89,0.0,0.0,360.82,1.02,113.02,44.33,362.43,0.15,0.0,586.42,0.0,5.01,2250.87,1825.8,302.56,60.0,35.95,47.66,51.22,27.5,3.59,213.06,0.0,0.0,358.17,5.21,85.03,0.0,0.0,102.45,144.77,0.0,112.37,494.89,55.41,8.99,135.8,41.01,0.0,440.58,5.01,6.05,862.02,130.39,84.42,408.88,695.36,19.34,133.71,49.55,600.38,60.3,15.38,111.63,0.0,0.0,8.18,298.87,0.0,544.28,61.57,698.2,0.0,28.92,0.0,66.77,455.1,6.73,6.47,25.58,23.59,97.51,30.67,27.2,4391.36,1.08,314.28,21.14,2.85,188.72,148.33,25.18,596.41,0.83,0.7,0.0,34.48,0.0,99.37,65.27,1.66,0.0,0.0,61.59,37.74,28.61,121.66,633.22,0.0,42.98,15.05,6.51,0.0,110.92,0.74,217.38,7.83,0.0,7.56,0.0,6.13,123.33,0.0,0.0,0.0,91.38,29.04,120.33,0.0,132.46,360.89,0.04,16.97,40.13,0.0,49.53,6277.38,11.73,0.0,1486.8,0.0,17.55,122.37,33.53,224.3,108.56,48.55,0.2,38.61,21.74,25.63,196.52,474.24,1442.28,0.0,191.6,0.0,182.83,290.65,304.52,5.08,0.02,14.79,1.06,37.72,0.72,0.87,95.65,0.0,95.63,286.42,0.0,13.36,375.91,313.39,433.9,2058.72,99.08,0.0,0.0,94.11,0.0,0.24,13.46,56.67,647.38,12.61,0.26,0.0,0.56,4.01,7.43,176.06,0.62,17.78,10.83,95.63,471.83,325.52,64.03,49.38,541.02,0.0,0.0,43.02,3.12,81.57,0.0,26.67,182.13,61.57
2001,0.0,9.73,13.91,0.0,442.35,0.0,232.84,323.16,0.0,0.0,387.63,1556.42,112.65,8.22,26.92,0.07,0.0,2.61,1.75,111.14,0.0,0.0,359.48,1.08,109.52,45.35,365.26,0.53,0.0,595.89,0.0,4.9,2218.61,1822.3,315.71,62.28,35.03,46.43,50.1,26.52,3.73,219.97,0.0,0.0,356.53,5.19,85.51,0.0,0.0,106.99,181.9,0.0,112.69,524.12,55.75,8.87,135.29,40.18,0.0,469.63,5.04,6.92,890.32,129.07,83.23,407.85,686.56,19.29,130.26,54.19,617.87,58.72,15.18,120.23,0.01,0.0,7.95,304.28,0.0,542.33,62.44,669.49,0.0,29.1,0.0,65.04,459.31,6.61,6.58,21.44,24.72,98.17,30.15,26.35,4596.16,1.06,320.96,20.88,2.79,232.16,147.89,24.43,590.87,0.83,0.68,0.0,35.94,0.0,97.98,64.25,1.61,0.0,0.0,61.75,37.72,29.49,122.03,646.82,0.0,42.43,14.28,6.32,0.0,110.65,0.74,215.74,7.6,0.0,7.6,0.0,6.51,120.27,0.0,0.0,0.0,98.92,28.36,116.82,0.0,129.9,365.99,0.05,16.53,39.6,0.0,52.44,6146.63,16.41,0.0,1490.65,0.0,17.39,124.34,33.38,220.02,111.19,48.56,0.2,37.37,23.64,25.6,203.81,476.97,1421.89,0.0,189.09,0.0,180.52,287.78,308.5,5.02,0.02,14.44,1.05,37.1,0.71,0.82,95.37,0.0,95.83,287.06,0.0,14.11,369.44,296.11,466.59,2102.23,98.04,0.0,0.0,91.74,0.0,0.23,13.13,56.15,633.66,12.51,0.26,0.0,0.55,4.23,7.37,181.13,0.62,17.3,10.53,97.2,470.59,329.2,63.21,49.45,530.86,0.0,0.0,49.29,3.05,80.9,0.0,27.17,176.76,61.19
2002,0.0,9.12,13.45,0.0,423.44,0.0,234.76,375.36,0.0,0.0,385.26,1536.83,111.56,7.99,28.97,0.07,0.0,2.53,1.71,142.45,0.0,0.0,359.18,1.22,106.14,52.62,372.15,0.53,0.0,668.17,0.0,4.8,2269.71,1811.18,312.28,64.99,34.16,45.2,48.59,25.91,3.79,225.52,1.09,4.44,361.5,5.18,85.05,0.0,0.0,107.55,225.45,0.0,112.65,615.49,54.95,8.75,133.57,39.35,0.0,504.26,7.25,6.72,896.05,127.81,82.51,409.51,678.23,19.29,126.85,54.95,630.55,57.13,14.95,128.2,0.04,0.0,7.58,305.32,0.0,540.62,69.37,642.03,0.0,29.28,0.0,69.36,458.86,6.5,10.59,21.34,24.43,100.1,45.15,13.71,4715.11,1.98,327.96,20.37,2.73,235.04,147.34,23.79,585.56,0.98,0.67,0.0,35.15,0.0,96.51,63.42,1.57,0.0,0.0,61.73,37.76,30.43,126.02,669.35,0.0,41.92,14.47,6.14,0.0,109.06,0.73,214.56,24.12,0.0,8.1,0.0,6.46,117.22,0.0,0.0,5.29,97.41,27.67,115.45,0.0,127.88,368.66,0.05,16.09,42.39,0.0,64.4,6196.96,16.4,0.0,1496.23,0.0,17.33,125.89,32.59,243.99,111.04,50.13,0.2,36.14,23.34,25.61,203.57,484.86,1397.95,0.0,186.61,0.0,178.33,288.41,310.87,4.93,0.02,14.11,1.04,36.61,0.75,0.78,97.5,0.0,96.14,287.55,0.0,13.77,363.27,303.62,487.46,2052.65,97.17,0.0,0.0,68.56,0.0,0.23,12.79,55.79,620.78,12.71,0.26,0.0,0.81,4.37,7.3,187.3,0.62,16.86,11.79,98.29,469.35,329.69,62.39,49.54,493.15,0.0,0.0,52.62,2.97,80.43,0.0,26.99,171.44,62.48
2003,0.0,8.46,13.0,0.0,405.92,0.0,233.58,379.3,0.0,0.0,387.66,1586.06,114.63,7.75,39.17,0.07,0.0,2.46,1.69,209.4,0.0,0.0,360.47,1.23,102.92,51.73,385.58,0.52,0.0,675.4,0.0,4.68,2299.5,1800.84,307.74,71.68,33.35,43.99,47.27,25.2,6.43,217.81,1.07,5.58,368.57,5.17,84.03,0.0,0.0,108.25,266.24,0.0,112.36,675.35,54.24,8.63,131.26,38.55,0.0,521.77,13.13,6.99,917.71,126.6,82.04,408.96,711.72,0.89,123.48,61.19,637.34,55.6,14.62,144.03,0.13,0.0,7.24,312.59,0.0,539.06,69.88,616.25,0.0,29.48,0.0,69.47,463.33,6.39,11.22,21.21,27.08,117.54,65.28,16.99,4682.52,1.95,333.88,20.27,2.67,238.38,146.59,23.1,579.61,0.96,0.66,0.0,34.96,0.0,95.13,62.6,1.56,0.04,0.0,65.05,37.51,32.57,168.95,684.29,0.0,44.76,14.66,5.96,0.0,108.57,0.73,214.37,23.36,0.0,8.07,0.0,6.54,114.22,0.0,0.0,5.37,95.69,26.98,113.23,0.0,126.11,381.66,0.05,15.67,46.48,0.0,79.92,6180.06,22.13,0.0,1478.88,0.0,17.4,129.13,35.36,280.87,111.5,54.37,0.2,35.99,24.42,25.64,202.35,489.58,1384.25,0.0,184.49,0.0,176.2,290.86,315.15,4.82,0.02,13.8,1.03,36.18,0.74,0.75,103.7,0.0,96.74,288.16,0.0,13.42,357.42,305.15,497.64,2041.4,96.44,0.0,0.0,69.09,0.0,0.22,12.31,55.41,608.62,13.25,0.25,0.0,0.8,4.6,8.09,189.85,0.62,16.67,11.45,99.23,468.73,329.47,61.72,49.69,484.52,0.0,0.0,52.72,2.89,80.08,0.0,32.98,160.69,62.01
2004,0.0,8.14,26.4,0.0,389.95,0.0,234.67,333.92,0.0,0.0,400.33,1613.22,113.37,7.46,43.8,0.06,0.0,2.38,1.67,253.26,0.0,0.0,371.29,1.26,99.85,56.98,391.05,0.52,0.0,659.44,0.0,4.58,2295.59,1790.85,355.08,79.43,32.57,42.8,45.88,24.33,6.42,216.74,2.49,4.93,367.37,5.25,82.88,0.0,1.2,113.19,306.1,0.0,112.29,707.16,53.49,8.51,131.58,38.76,0.0,573.12,16.15,9.58,929.78,132.84,81.58,407.74,702.87,0.9,120.1,66.82,641.97,54.13,14.31,146.39,0.24,0.0,6.78,323.34,0.0,558.86,75.15,592.43,0.0,29.04,0.0,70.61,468.12,6.28,25.51,21.15,29.21,147.17,72.93,56.36,4672.31,1.91,336.4,28.01,2.61,243.52,145.79,24.43,572.98,1.03,2.11,0.0,35.16,0.0,93.86,61.64,1.54,0.12,0.0,66.21,37.65,33.89,220.47,694.08,0.0,44.23,14.58,5.79,0.0,115.85,1.29,262.06,22.61,0.0,9.62,0.0,6.49,111.27,0.0,0.0,8.17,94.97,26.28,110.57,0.0,124.56,424.98,0.06,15.25,56.44,0.0,90.02,6161.87,22.24,0.0,1479.88,0.0,17.46,132.74,39.71,279.54,111.29,53.32,0.2,34.84,24.98,25.7,200.94,539.49,1368.13,0.0,182.66,0.0,193.4,294.89,319.09,4.68,0.01,13.5,1.02,35.8,0.78,0.72,101.89,0.0,97.4,289.05,0.0,12.18,352.67,307.72,496.82,2124.66,97.53,0.0,0.0,84.9,0.0,0.21,11.97,56.8,597.1,13.93,0.25,0.0,0.8,4.89,8.02,188.26,0.61,16.23,11.14,100.31,468.22,325.28,66.74,49.91,528.66,0.0,0.0,52.7,2.82,79.81,0.0,19.51,155.66,61.57
2005,0.0,7.89,25.48,0.0,375.82,0.0,233.08,337.79,0.0,0.0,446.69,1731.19,112.06,7.19,74.97,0.06,0.0,2.31,1.65,255.78,0.0,0.0,375.72,1.3,122.95,56.26,398.45,0.89,0.0,706.69,0.0,4.5,2313.04,1786.11,348.35,88.14,31.84,41.64,44.48,23.47,6.4,214.09,2.44,4.87,362.01,64.68,81.66,0.0,1.18,114.99,350.63,0.0,112.12,725.46,52.8,8.39,132.78,37.99,0.0,602.52,35.43,9.32,938.99,131.67,81.15,411.19,739.48,0.9,116.71,81.51,646.46,52.71,14.03,175.29,0.39,0.0,6.48,325.91,0.0,558.65,81.65,570.46,0.0,29.27,0.0,72.83,468.66,6.18,41.79,23.35,31.49,181.33,86.64,56.52,4699.88,2.03,347.95,27.88,2.54,250.76,143.65,23.71,566.79,1.03,2.43,0.0,36.77,0.0,99.57,60.74,1.47,0.21,0.0,66.21,37.8,36.46,217.23,703.94,0.0,43.68,14.74,5.62,0.04,114.45,1.29,261.71,21.9,0.24,15.43,993.88,6.66,108.43,0.0,0.0,8.37,160.96,25.57,106.31,0.0,123.19,419.12,0.07,14.84,57.55,0.0,100.49,6253.23,22.14,0.0,1478.67,0.0,17.53,137.25,38.87,274.28,115.68,52.69,1.61,38.35,28.28,25.78,199.68,609.74,1353.04,0.0,181.05,0.0,196.22,298.21,322.6,4.56,0.01,14.12,1.0,35.19,0.76,0.7,105.81,0.0,98.12,290.33,0.0,11.88,348.81,306.91,497.34,2217.2,97.04,0.0,0.0,82.62,0.0,0.2,11.66,56.72,594.04,14.7,0.25,0.01,0.8,4.94,7.95,189.58,0.61,15.37,11.38,101.17,467.98,330.63,64.31,50.16,540.55,0.0,0.0,52.85,2.76,79.65,0.0,19.33,150.59,61.24
2006,0.0,7.69,24.58,0.0,436.29,0.0,231.53,349.76,0.0,0.0,447.87,1771.15,116.96,6.94,83.06,0.06,0.0,2.24,1.65,259.72,0.0,0.0,379.07,1.67,119.39,57.15,411.06,0.89,0.0,695.64,0.0,4.41,2340.41,1776.65,340.3,98.12,31.14,40.53,43.08,22.6,6.38,211.84,2.39,4.21,381.51,43.99,80.35,0.0,1.16,120.12,396.89,0.0,112.3,698.66,52.23,7.47,133.81,38.32,0.0,638.29,35.64,9.06,941.66,144.19,80.85,421.06,739.14,0.91,113.28,89.01,657.05,51.26,13.74,183.76,0.43,0.0,6.18,352.24,0.0,559.4,84.25,552.32,0.0,29.54,0.0,73.02,472.43,6.07,43.0,24.52,34.65,221.38,92.87,68.67,5217.55,2.04,353.13,27.9,2.78,259.74,142.26,23.02,560.99,1.35,2.49,0.0,39.87,0.0,98.01,59.75,1.39,0.28,0.0,66.73,36.8,49.05,216.76,713.28,0.0,43.14,14.2,5.47,0.17,115.57,1.29,261.88,21.19,0.24,15.62,994.4,6.96,105.68,0.0,0.0,14.79,100.21,24.86,105.74,0.0,121.87,435.59,0.08,14.45,56.77,0.0,122.17,6245.11,22.09,3.89,1462.69,0.0,22.01,141.82,37.98,269.37,115.07,51.71,1.63,37.15,29.94,25.87,198.57,672.19,1338.91,0.0,179.41,0.0,211.83,300.49,325.87,4.41,0.01,13.75,0.99,34.08,1.76,0.69,108.71,0.0,98.73,291.71,0.0,11.59,344.93,318.94,511.13,2296.23,96.55,0.0,0.0,79.01,0.0,0.19,11.34,61.08,583.24,15.38,0.24,0.01,1.05,5.07,7.88,190.13,0.6,14.96,11.14,101.86,467.33,338.71,63.51,50.44,538.66,0.0,0.0,55.22,2.69,66.13,0.0,19.15,145.47,60.72
2007,0.0,7.58,36.14,0.0,447.75,0.0,236.01,355.79,0.0,0.0,462.01,1818.68,115.46,6.83,92.78,0.06,18.24,2.17,1.65,265.32,0.0,0.28,383.82,2.05,127.77,59.92,425.73,2.36,0.0,2183.71,0.0,4.33,2349.61,1776.47,363.22,111.02,30.48,39.42,41.72,21.79,6.26,210.24,2.35,4.16,419.46,52.27,79.05,0.0,2.07,132.45,436.38,0.0,113.12,665.13,51.58,7.34,149.69,38.55,0.28,704.76,49.98,8.8,958.08,154.39,388.8,432.78,738.4,1.64,109.82,98.12,692.19,49.94,13.43,194.11,0.66,0.0,5.9,364.6,0.0,694.43,86.23,538.25,0.0,29.81,0.0,76.31,473.27,5.97,45.45,24.67,36.49,230.09,103.5,70.93,7197.3,2.38,367.47,27.85,2.61,257.14,140.63,22.35,556.06,1.39,2.57,0.0,41.06,0.0,96.47,58.63,1.32,0.36,0.0,66.41,36.68,56.23,213.88,722.41,0.0,44.55,14.44,5.32,0.22,121.32,1.3,262.06,20.5,0.24,16.18,995.37,7.07,102.98,0.0,0.0,18.57,108.14,24.18,104.4,0.0,120.64,446.39,0.07,14.06,56.1,0.0,141.66,6246.74,22.15,3.9,1489.76,0.0,22.1,147.7,37.37,264.47,114.39,50.77,1.65,40.06,33.77,25.98,202.92,724.29,1325.62,0.0,177.92,0.0,212.91,306.06,331.58,4.33,0.01,13.38,0.98,32.79,1.72,0.68,125.23,0.0,98.94,293.09,0.0,11.3,341.06,324.26,514.32,2264.23,96.05,0.0,0.0,73.05,0.0,0.19,11.01,65.67,572.62,15.64,0.24,0.02,1.04,5.13,7.81,193.77,0.59,14.55,10.89,103.46,513.95,356.02,62.62,50.71,530.41,0.0,0.0,59.45,2.63,65.75,0.0,19.04,135.64,60.13
2008,0.0,7.86,36.31,0.0,670.57,0.0,234.1,363.12,0.0,0.0,459.96,1871.13,113.9,6.55,111.17,0.06,17.55,2.11,1.67,291.87,0.61,0.28,397.86,2.94,124.22,59.27,430.77,2.35,0.0,2157.99,0.0,4.24,2368.24,1756.94,369.57,131.07,29.84,38.32,40.39,21.08,3.55,207.92,2.3,4.11,417.58,54.39,77.79,0.0,8.44,144.91,473.4,0.0,72.26,718.44,51.27,6.67,149.38,38.92,0.27,796.77,70.31,8.55,942.34,163.42,415.11,450.42,737.64,2.16,106.38,114.27,699.35,48.79,13.11,200.92,0.77,0.0,5.63,383.79,1.32,961.15,88.27,527.3,0.0,30.19,0.0,73.94,475.12,5.88,58.06,24.68,39.09,271.85,105.5,77.79,7728.62,3.36,390.96,27.82,2.55,261.0,139.72,23.22,550.79,1.46,2.78,0.0,49.19,0.0,94.98,57.7,1.27,0.43,0.0,67.3,36.47,59.89,231.64,731.95,0.0,44.01,16.79,5.92,4.4,117.75,2.79,264.59,19.85,0.48,16.71,996.09,8.38,100.32,0.0,0.0,26.93,102.25,23.5,102.48,2.55,119.3,439.85,0.08,13.68,55.31,0.0,172.32,6275.52,22.37,3.91,1511.18,0.0,22.18,155.25,37.23,266.17,114.25,49.87,14.76,39.96,40.16,26.11,183.4,788.54,1436.71,0.0,177.94,0.0,216.74,309.85,333.71,4.22,0.01,13.02,0.97,31.66,1.68,4.77,131.91,0.0,99.03,294.61,0.0,11.03,337.23,332.8,533.42,2272.5,113.73,0.0,0.0,42.25,0.0,0.18,10.7,68.84,561.97,15.59,0.24,0.37,1.04,1.63,7.74,200.91,2.53,14.17,13.86,104.63,517.15,380.68,62.86,50.94,522.66,0.0,0.0,70.58,15.67,65.3,0.04,18.93,133.25,66.35
2009,302.38,7.77,34.99,0.0,690.57,1.26,240.69,370.35,0.0,1.18,476.39,1901.02,108.46,6.23,186.18,0.05,524.29,2.04,1.72,324.96,0.57,0.54,404.59,3.0,208.39,58.31,436.62,3.07,0.0,2133.29,0.01,4.15,2379.86,1746.03,391.58,153.26,29.21,37.26,39.12,20.25,3.43,206.05,2.25,4.07,432.1,54.21,76.59,0.0,11.0,196.33,581.26,0.0,72.4,802.47,56.32,6.47,147.09,38.69,0.27,856.4,128.21,16.62,923.61,162.6,416.28,471.75,737.37,4.89,102.93,133.39,705.06,47.56,12.85,218.54,0.95,0.0,5.37,403.24,1.7,963.47,86.69,524.24,0.27,70.47,0.0,73.56,492.41,5.79,76.53,27.81,39.44,337.99,105.06,75.09,7689.77,6.98,432.69,28.04,2.49,266.52,138.09,24.18,543.8,1.52,2.68,0.0,53.67,0.0,278.3,56.96,1.23,0.5,0.06,68.46,36.21,74.86,233.75,740.74,0.0,47.43,17.07,5.78,4.44,118.93,4.94,264.62,19.21,2.17,29.94,996.54,8.37,97.68,0.0,0.0,44.52,127.96,22.84,100.67,8.77,117.93,452.87,0.07,13.32,61.43,30.3,178.99,6229.23,25.83,3.91,1536.88,0.0,22.25,164.9,36.46,264.22,115.93,49.39,14.98,39.03,45.43,26.24,159.42,845.74,1425.75,0.0,177.66,0.0,251.3,311.39,335.13,4.11,0.01,43.03,0.97,25.92,1.65,4.64,131.41,0.0,99.11,296.29,0.0,10.78,333.45,323.07,549.48,2369.75,113.23,0.0,0.0,41.57,0.0,0.17,10.41,69.62,643.04,15.5,0.23,0.4,1.12,1.81,10.86,215.0,20.08,13.83,13.96,101.32,523.69,413.03,61.87,51.17,516.29,0.0,0.0,84.67,17.96,64.83,0.04,19.05,129.2,65.71
