Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_USS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1965,,,,,0.0,55.40357,,,,703.1307,2212.1338,,,28.936802,,,0.0,243.83194,,,,,,,,304.41122,,,,,,5998.7383,4114.714,438.7047,30.54537,,,,,,195.0547,,,,,,0.0,229.92093,213.4114,,,5.253433,,32.346947,46.946507,56.5607,,,613.0993,,,2049.3708,,,961.2143,,,84.84338,,,,,,,,,93.99947,,,,,,,0.0,,,,7.3956676,18.00632,39.10502,327.8786,68.66441,8.6210165,3331.8772,0.0,880.1361,,,753.7955,,,,,,,24.259663,0.0,,,,,,33.43434,,,262.1246,,,91.6224,,,,205.28358,,,,,,,,,,,,,64.81627,,,,,,,0.0,13282.383,,,4311.396,0.0,,354.40103,282.25336,42.070213,,223.1944,47.509163,,29.46789,,,470.43872,,,,0.0,,53.705933,,,0.0,,,0.0,,,,,,,,,,,509.26886,,6003.2646,,,,,,,26.999012,,,,,0.0,,70.458755,197.03209,,,,,1085.1125,,,141.16676,,,9.15711,,,,1.9382552,,
1966,,,,,0.0,55.26581,,,,658.1048,2367.1465,,,31.623657,,,0.0,243.37868,,,,,,,,323.9636,,,,,,6532.4863,4650.046,453.94745,30.28804,,,,,,210.51674,,,,,,0.0,216.06334,228.87056,,,5.4198813,,28.196934,52.16252,58.11576,,,839.59033,,,2265.8599,,,1069.4094,,,82.961,,,,,,,,,201.63309,,,,,,,0.0,,,,9.832487,22.864977,39.971752,293.88727,71.52013,10.937747,3190.4395,0.0,906.62335,,,778.798,,,,,,,33.013664,0.0,,,,,,35.676346,,,233.48737,,,77.517075,,,,226.71327,,,,,,,,,,,,,74.531654,,,,,,,0.0,12988.916,,,4534.678,0.0,,395.0461,294.8328,40.918373,,233.61206,45.21506,,29.586712,,,617.1931,,,,0.0,,55.122948,,,0.0,,,0.0,,,,,,,,,,,483.88806,,5827.7896,,,,,,,33.16085,,,,,0.0,,74.149376,196.5627,,,,,1079.3561,,,139.15475,,,10.25647,,,,1.8283366,,
1967,,,,,0.0,55.73476,,,,668.541,2399.3218,,,25.037146,,,0.0,243.28963,,,,,,,,330.0203,,,,,,6562.093,4981.936,455.13437,25.470205,,,,,,228.18423,,,,,,0.0,194.27556,216.34596,,,5.1704383,,31.842018,55.78248,61.082542,,,690.32635,,,2524.487,,,927.54,,,88.86081,,,,,,,,,191.7943,,,,,,,0.0,,,,8.033892,25.01633,43.778816,276.20264,74.684616,12.081975,3343.2952,0.0,875.3631,,,665.7571,,,,,,,31.255943,0.0,,,,,,35.78508,,,261.5864,,,66.72335,,,,238.82732,,,,,,,,,,,,,76.259094,,,,,,,0.0,14085.66,,,4536.621,0.0,,376.89792,295.3087,47.14371,,254.48305,48.52507,,31.44972,,,641.3221,,,,0.0,,77.690285,,,0.0,,,0.0,,,,,,,,,,,411.44894,,6265.421,,,,,,,41.407192,,,,,0.0,,75.03,189.47696,,,,,1202.2648,,,157.9385,,,11.055396,,,,1.2799035,,
1968,,,,,0.0,64.692856,,,,684.3331,2452.601,,,25.550688,,,0.0,155.90277,,,,,,,,336.67178,,,,,,6568.883,4864.4053,374.6846,29.283066,,,,,,247.43634,,,,,,0.0,150.10036,218.55562,,,4.316778,,42.74036,56.555286,90.93728,,,735.2414,,,2266.7356,,,1028.0579,,,67.377975,,,,,,,,,156.91905,,,,,,,0.0,,,,8.687591,30.081816,49.451385,262.62387,77.95906,14.107119,3409.407,0.0,878.24225,,,704.6413,,,,,,,29.814774,0.0,,,,,,40.388412,,,266.0027,,,73.73933,,,,265.20795,,,,,,,,,,,,,82.67152,,,,,,,0.0,15776.831,,,4744.3906,0.0,,438.14163,305.03574,55.076733,,265.54343,48.262703,,32.794712,,,614.7802,,,,0.0,,80.6776,,,0.0,,,0.0,,,,,,,,,,,375.0132,,6160.086,,,,,,,41.320477,,,,,0.0,,96.037895,271.8155,,,,,1200.4314,,,256.88266,,,12.080164,,,,1.1451888,,
1969,,,,,0.0,57.138725,,,,730.51483,2246.9658,,,23.985443,,,0.0,218.01427,,,,,,,,351.35416,,,,,,7160.43,4602.957,415.6922,28.996552,,,,,,267.98752,,,,,,0.0,122.362915,175.94017,,,4.497366,,26.78852,60.918636,118.02819,,,913.60724,,,1891.3058,,,1072.5612,,,58.71305,,,,,,,,,234.93703,,,,,,,0.0,,,,9.239856,30.597105,53.75657,197.74156,81.43714,15.039472,4239.2246,0.0,847.6804,,,714.3865,,,,,,,44.847412,0.0,,,,,,45.69743,,,230.60889,,,92.84519,,,,272.29623,,,,,,,,,,,,,101.93461,,,,,,,0.0,14912.214,,,4655.7617,0.0,,480.2821,316.3429,56.47008,,281.08786,49.508007,,27.65855,,,752.89667,,,,0.0,,112.528015,,,0.0,,,0.0,,,,,,,,,,,290.0393,,5249.7744,,,,,,,29.908154,,,,,0.0,,101.233,210.1415,,,,,1326.1355,,,288.94305,,,13.306377,,,,0.9715641,,
1970,,,,,0.0,67.56638,,,,827.9536,2851.4502,,,25.54393,,,0.0,253.45139,,,,,,,,422.7044,,,,,,7375.805,4719.826,437.46768,29.195745,,,,,,290.83282,,,,,,0.0,174.49974,235.96553,,,4.8695083,,42.078747,65.79654,135.42607,,,822.7388,,,2067.671,,,1142.4578,,,81.489296,,,,,,,,,301.3353,,,,,,,0.0,,,,8.531194,36.18593,55.7582,270.9805,85.067055,17.703817,6970.25,0.0,835.3784,,,708.847,,,,,,,37.510857,0.0,,,,,,60.25035,,,254.09671,,,88.965836,,,,295.28738,,,,,,,,,,,,,118.08916,,,,,,,0.0,14917.05,,,4940.738,0.0,,514.073,324.88614,48.552185,,261.90305,55.738438,,56.234013,,,690.9304,,,,0.0,,138.56978,,,0.0,,,0.0,,,,,,,,,,,434.5359,,5174.7383,,,,,,,49.701912,,,,,0.0,,87.30729,193.3759,,,,,1298.0419,,,360.3875,,,14.466485,,,,1.1220853,,
1971,,,,,0.0,66.171745,,,,905.5643,2242.803,,,13.862335,,,2.4901562,254.13261,,,,,,,,448.46268,,,,,,7419.784,4674.298,487.02988,34.44648,,,,,,301.29895,,,,,,0.0,122.98001,184.51802,,,4.835774,,23.406097,69.4005,142.43526,,,932.97504,,,2315.8323,,,979.6372,,,60.35033,,,,,,,,,301.81024,,,,,,,0.0,,,,9.280815,11.603219,59.817894,155.42549,88.744064,19.845652,7527.4854,0.0,805.9917,,,782.15894,,,,,,,39.710693,0.0,,,,,,65.767166,,,142.52373,,,97.892845,,,,278.02524,,,,,,,,,,,,,100.351006,,,,,,,0.0,16205.435,,,5458.444,0.0,,516.64795,332.9393,61.66653,,326.13058,50.18353,,50.959297,,,726.8407,,,,0.0,,221.5002,,,0.0,,,0.0,,,,,,,,,,,323.65808,,6442.538,,,,,,,55.445244,,,,,34.91101,,73.88875,204.41649,,,,,1372.634,,,459.07645,,,14.464338,,,,4.881856,,
1972,,,,,0.0,64.05843,,,,889.39856,2291.809,,,18.566648,,,2.442719,244.17645,,,,,,,,513.2226,,,,,,8170.5903,3870.612,568.76776,38.152016,,,,,,326.0852,,,,,,0.0,128.22041,180.69952,,,4.808148,,34.310604,68.15758,142.36359,,,1028.668,,,2237.2666,,,972.99854,,,60.147087,,,,,,,,,302.50882,,,,,,,0.0,,,,10.603175,10.103365,56.799404,225.92949,113.196556,19.17524,8243.677,0.0,835.15967,,,781.30206,,,,,,,40.312904,0.0,,,,,,66.13237,,,166.06026,,,100.222015,,,,287.4508,,,,,,,,,,,,,108.084946,,,,,,,0.0,17141.979,,,5659.5947,0.0,,498.81796,341.88452,63.111305,,328.0767,56.003124,,51.086594,,,816.62616,,,,0.0,,357.2275,,,0.0,,,0.0,,,,,,,,,,,336.10544,,6644.4854,,,,,,,45.552944,,,,,34.487278,,87.93092,235.33107,,,,,1397.2252,,,497.55624,,,9.71698,,,,35.32491,,
1973,,,,,0.0,122.0716,,,,933.8098,2532.5054,,,29.532877,,,4.489825,297.97937,,,,,,,,571.5426,,,,,,8646.607,4215.175,546.0174,41.726517,,,,,,346.84128,,,,,,0.0,109.12397,206.19473,,,4.779244,,50.910213,64.71297,138.88795,,,829.3994,,,2267.4958,,,944.101,,,68.305504,,,,,,,,,249.96194,,,,,,,0.0,,,,9.7046385,12.416377,59.140896,207.3827,93.13561,26.862257,10385.476,0.0,759.7356,,,605.9954,,,,,,,37.095604,0.0,,,,,,53.26597,,,145.30016,,,73.01135,,,,296.97897,,,,,,,,,,,,,101.320625,,,,,,,0.0,18398.248,,,5485.0747,0.0,,492.02332,340.51904,64.6756,,342.8008,58.916855,,50.37015,,,841.7998,,,,0.0,,362.86655,,,0.0,,,0.0,,,,,,,,,,,284.69077,,7406.9443,,,,,,,48.269814,,,,,28.215523,,71.20357,215.49976,,,,,1386.9459,,,499.45874,,,9.457371,,,,40.54464,,
1974,,,,,0.0,198.56273,,,,1042.5287,2989.2666,,,35.74448,,,3.2041435,239.55653,,,,,,,,632.4521,,,,,,9230.047,4391.8853,610.1409,46.289673,,,,,,385.05246,,,,,,0.0,182.52217,236.90097,,,4.7566338,,32.84113,72.26984,161.088,,,865.87994,,,2708.3545,,,1100.9939,,,72.406166,,,,,,,,,262.84955,,,,,,,0.0,,,,7.7483306,13.4072275,55.612484,252.4928,99.582146,35.817513,10518.654,0.0,766.85846,,,740.89655,,,,,,,54.008995,0.0,,,,,,74.97564,,,213.26932,,,79.898186,,,,299.56335,,,,,,,,,,,,,89.814575,,,,,,,0.0,19220.23,,,5678.032,0.0,,526.12726,366.70877,63.129185,,366.52966,49.812645,,70.060356,,,883.9712,,,,0.0,,402.97595,,,0.0,,,0.0,,,,,,,,,,,473.92648,,7061.0073,,,,,,,61.522522,,,,,24.021854,,88.60442,292.55823,,,,,1509.5554,,,600.45306,,,9.248354,,,,45.299828,,
