Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,1.3398457,,,,72.26638,,,,,,,,,,,,,,,,2.5531232,,,,,,17.307661,,,63.465252,,,,,,,,,,,,,,59.877445,,,,,,,0.0,,,43.144882,,,,,,12.031106,,,59.432922,,,,,,,,,,,,,,,,,,,,31.840443,62.257416,,0.22613387,,,,16.163992,,,14.782898,72.687454,,,,,,39.51113,,,,,,,,,,,,,,,,,4.0166717,,,,,,,,,,,,0.0,,,,,,23.553793,,,,,,,37.915844,,,,,,95.50296,,,,,,,,,,14.38177,,0.0,,,,,,,,,,,,,,,,,,,,,,,23.06996,,,,,,,43.916668,26.388548,,,41.14204,,56.739914,,,,,,45.45275,,,,94.36341,,
1986,,,,,0.0,2.066411,,,,71.48085,,,,,,,,,,,,,,,,3.059548,,,,,,15.285838,,,66.64969,,,,,,,,,,,,,,60.224964,,,,,,,0.0,,,42.63998,,,,,,8.580546,,,66.88156,,,,,,,,,,,,,,,,,,,,29.04726,64.09305,,0.20622954,,,,16.12021,,,14.603738,73.30292,,,,,,35.871193,,,,,,,,,,,,,,,,,6.383481,,,,,,,,,,,,0.0,,,,,,22.536846,,,,,,,37.708366,,,,,,95.71399,,,,,,,,,,14.3837385,,0.0,,,,,,,,,,,,,,,,,,,,,,,22.461786,,,,,,,48.966866,32.858814,,,43.27691,,55.68305,,,,,,48.073097,,,,91.73441,,
1987,,,,,0.0,1.9495243,,,,73.885796,,,,,,,,,,,,,,,,2.6606712,,,,,,16.96986,,,68.345924,,,,,,,,,,,,,,57.936638,,,,,,,0.0,,,41.249622,,,,,,7.26552,,,69.48549,,,,,,,,,,,,,,,,,,,,29.841398,68.31509,,0.188629,,,,16.404963,,,14.926356,72.63646,,,,,,29.469843,,,,,,,,,,,,,,,,,6.887698,,,,,,,,,,,,0.0,,,,,,24.760403,,,,,,,38.030346,,,,,,95.71711,,,,,,,,,,14.283715,,0.0,,,,,,,,,,,,,,,,,,,,,,,23.441244,,,,,,,39.802357,32.75799,,,42.333904,,56.7764,,,,,,50.652786,,,,93.69967,,
1988,,,,,0.0,3.02098,,,,73.93112,,,,,,,,,,,,,,,,2.193346,,,,,,18.133427,,,68.53377,,,,,,,,,,,,,,56.48581,,,,,,,0.0,,,31.040136,,,,,,6.3886294,,,65.85412,,,,,,,,,,,,,,,,,,,,30.541397,68.244026,,0.18735363,,,,16.65201,,,14.885709,71.5259,,,,,,31.747927,,,,,,,,,,,,,,,,,7.1822896,,,,,,,,,,,,1.3280282,,,,,,31.950785,,,,,,,37.705906,,,,,,95.752785,,,,,,,,,,14.218773,,0.0,,,,,,,,,,,,,,,,,,,,,,,20.97754,,,,,,,25.98733,31.19971,,,38.610577,,56.841537,,,,,,50.700077,,,,90.44586,,
1989,,,,,0.0,1.7006532,,,,74.99026,,,,,,,,,,,,,,,,2.4572637,,,,,,18.41766,,,69.26353,,,,,,,,,,,,,,55.924114,,,,,,,0.0,,,40.544147,,,,,,8.005433,,,63.556118,,,,,,,,,,,,,,,,,,,,29.869484,67.89408,,0.12443858,,,,15.120759,,,14.612524,71.26247,,,,,,29.548752,,,,,,,,,,,,,,,,,6.5934734,,,,,,,,,,,,10.090634,,,,,,30.317045,,,,,,,37.54501,,,,,,96.01517,,,,,,,,,,14.268614,,0.0,,,,,,,,,,,,,,,,,,,,,,,21.067892,,,,,,,38.947453,31.556404,,,39.84067,,54.237675,,,,,,35.020557,,,,90.88083,,
1990,,,,,0.0,1.2939935,,,,79.25488,12.563426,,,24.313559,,,,50.071594,,,,,,,,2.0736642,,,,,,17.108023,,,71.032036,,,,,,,,,,,,0.0,75.50988,57.175526,,,90.824974,,,,0.0,,,39.521038,0.0,,17.770418,,,7.564176,,,64.56294,,,,,,,,,73.59649,,,,,,,,7.1509643,,30.063292,29.497517,66.59408,41.6608,0.11273957,,,,15.03636,,,13.531984,71.12006,,,,,,28.28976,,,,,,,,,0.0,0.0,0.0,,,,,,6.6321993,89.73913,,55.855854,,,,,,,,,12.738963,,,,,,35.374825,0.032894738,,,,,,37.28858,,,,,,96.972404,,,31.980234,,,,,,28.771383,14.494062,,0.0,,,,,,,,,,72.56864,,,,29.423304,31.270098,0.73982745,,,,,,,25.056044,,,,,,,35.071255,28.121988,,,38.547485,,53.364452,,,,,,23.050339,,,,93.242676,,
1991,,,,,0.0,1.7194551,,,,80.538574,13.636364,,,23.19146,,,,51.06906,,,,,,,,2.3610578,,,,,,17.452839,,,73.56416,,,,,,,,,,,,0.0,75.62189,57.39898,,,91.7421,,,,0.0,,,38.00659,0.0,,16.890959,,,8.795577,,,65.49182,,,,,,,,,67.34869,,,,,,,,4.5454545,,26.835781,28.991041,66.816315,39.235413,0.14964816,,,,13.047659,,,13.779386,72.231,,,,,,27.983007,,,,,,,,,0.0,0.0,0.0,,,,,,7.1886387,84.228775,,41.549294,,,,,,,,,13.079994,,,,,,30.947828,0.045224313,,,,,,37.28417,,,,,,97.008736,,,32.80619,,,,,,27.482393,14.486169,,0.0,,,,,,,,,,66.10035,,,,24.525969,28.414442,1.3336055,,,,,,,27.504215,,,,,,,35.790173,29.910204,,,38.567856,,52.66527,,,,,,14.831705,,,,92.319214,,
1992,,,,,0.0,1.4864429,,,,80.54646,8.238124,,,22.41669,,,,50.253952,,,,,,,,2.071243,,,,,,17.359303,,,75.24864,,,,,,,,,,,,0.0,74.36071,55.392773,,,88.10457,,,,0.0,,,40.995853,0.0,,13.275563,,,7.4649973,,,60.31647,,,,,,,,,72.38847,,,,,,,,7.415731,,28.756311,28.203707,68.04382,42.25888,0.123552345,,,,9.59224,,,14.395341,71.90783,,,,,,28.926044,,,,,,,,,0.0,0.0,0.0,,,,,,7.2193904,85.00823,,37.583893,,,,,,,,,12.227101,,,,,,29.839136,0.042694904,,,,,,37.69178,,,,,,96.86257,,,34.497967,,,,,,33.956676,15.282005,,0.0,,,,,,,,,,69.74643,,,,31.110155,37.601295,1.2334682,,,,,,,25.978487,,,,,,,36.49592,35.58674,,,42.230446,,53.51074,,,,,,8.768676,,,,93.23398,,
1993,,,,,0.0,1.9072624,,,,80.587364,5.8078346,,,23.25913,,,,45.348835,,,,,,,,1.9478256,,,,,,15.537345,,,72.60174,,,,,,,,,,,,0.0,73.751495,56.316257,,,86.82653,,,,0.0,,,40.239815,0.0,,16.115295,,,4.4779625,,,53.00053,,,,,,,,,73.65492,,,,,,,,4.716981,,27.408085,26.900154,69.79585,41.066994,0.12853815,,,,7.581687,,,15.141976,71.0239,,,,,,33.046505,,,,,,,,,0.0,0.0,0.0,,,,,,8.584891,88.223946,,40.0,,,,,,,,,11.124699,,,,,,28.215605,0.041764118,,,,,,37.522236,,,,,,96.881165,,,36.90013,,,,,,34.483383,15.512605,,0.0,,,,,,,,,,70.86115,,,,23.908525,39.246864,1.4319152,,,,,,,21.320372,,,,,,,32.19076,38.904255,,,38.49412,,53.78514,,,,,,5.974489,,,,94.99388,,
1994,,,,,0.0,3.5780666,,,,80.458496,5.967276,,,23.801514,,,,44.47077,,,,,,,,1.9114972,,,,,,15.667705,,,74.73684,,,,,,,,,,,,0.0,72.328766,55.712505,,,82.4418,,,,0.0,,,38.435608,0.0,,21.30448,,,4.4200997,,,49.40593,,,,,,,,,73.91304,,,,,,,,1.1441648,,26.044151,27.880732,68.204,39.785583,0.11727816,,,,8.681968,,,15.931768,70.53851,,,,,,35.503178,,,,,,,,,0.0,0.0,0.0,,,,,,9.775444,87.710434,,23.376625,,,,,,,,,10.26558,,,,,,30.807564,0.053418804,,,,,,37.851097,,,,,,96.32381,,,37.17866,,,,,,35.66497,18.550306,,0.0,,,,,,,,,,69.2732,,,,19.081274,35.76416,1.8290119,,,,,,,19.874016,,,,,,,36.052597,38.7304,,,38.368107,,52.978405,,,,,,8.71582,,,,93.236824,,
