Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.00021785716,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.17637141,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0006496033,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0043750913,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.00021903927,0.0,,0.0,,,0.0,,,,0.0,,
1986,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0002134089,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.00019100118,,,0.40801623,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.00148876,0.0,,,0.0,0.0,,0.0013636595,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.004327412,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.00015811414,0.0,,0.0,,,0.0,,,,0.0,,
1987,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.00946865,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.00020145139,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.00037562777,,,0.58936614,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0033033828,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0029219263,0.0,,,0.0,0.0,,0.0018309773,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0040935795,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.00012902246,0.0,,0.0,,,0.0,,,,0.0,,
1988,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.012241963,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0001976223,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0014558902,,,1.0392063,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.00299455,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.022970686,0.0,,,0.0,0.0,,0.0029763118,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.003419271,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,3.0187488e-05,0.0,,0.0,,,0.0,,,,0.0,,
1989,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.010363155,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.00020076589,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0046439106,,,1.868008,,0.0,0.0,0.0,,,0.008840259,0.0,,0.0,,,0.0,,,0.002860912,,,,,,,,,0.0029022521,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00094899174,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.031471927,0.0,,,0.0,0.0,,0.022729335,0.0,,0.0,0.0,,0.0,,,0.0038747676,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0034942797,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.06760928,0.0,,0.0,,,0.0,,,,0.0,,
1990,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.014226775,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0003993381,0.0,0.0,0.0003252096,,,,,,0.0,,,,,,0.0,0.0,0.0129089365,,,2.3515806,,0.0,0.0,0.0,,,0.0066155065,0.0,,0.0,,,0.0,,,0.0031274431,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.010530558,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0008504013,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.08486563,0.0,,,0.0,0.0,,0.030368237,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0068502533,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.08713145,0.0,,0.0,,,0.0,,,,0.0,,
1991,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.014046916,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.00037854267,0.0,0.0,0.0013417326,,,,,,0.0,,,,,,0.0,0.0,0.041043244,,,2.0301783,,0.0,0.0,0.0,,,0.006463706,0.0,,0.0,,,0.0,,,0.0030971258,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.035233986,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0007777794,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.122917235,0.0,,,0.0,0.0,,0.033430956,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0068041096,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.09113451,0.0,,0.0,,,0.0,,,,0.0,,
1992,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.014001681,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.011376196,0.0,0.0,0.01741692,,,,,,0.0,,,,,,0.0,0.0,0.054330513,,,3.006536,,0.0,0.0,0.0,,,0.06383658,0.0,,0.0,,,0.0,,,0.00934463,,,,,,,,,0.027203484,,,,,,0.0,,0.0,,0.0,0.0,0.026240287,0.063451774,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.00075599697,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.19778483,0.0,,,0.002080364,0.0,,0.0383646,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.020557802,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.08880462,0.0,,0.0,,,0.0,,,,0.0,,
1993,,,,,0.0,0.0,,,,0.0012093178,0.0,0.0,,0.014269406,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.011127201,0.0,0.0,0.026136499,,,,,,0.0,,,,,,0.0,0.0,0.12866801,,,3.0491416,,0.0,0.0,0.0,,,0.07735947,0.0,,0.0,,,0.0,,,0.06808827,,,,,,,,,0.13252054,,,,,,0.0,,0.0,,0.0,0.0,0.026166819,0.12406947,0.0,0.0,0.0,0.0,0.0,,,0.00010361654,0.0,,,,,,0.00061766163,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.00074270746,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.22403796,0.008352823,,,0.0028480156,0.0,,0.04527144,0.0,,0.0,0.0,,0.0,,,0.032425422,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.03442104,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.089176975,0.0,,0.0,,,0.0,,,,0.0,,
1994,,,,,0.0,0.0,,,,0.0032325843,0.0,0.0,,0.014017382,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.01066802,0.0,0.0,0.041370813,,,,,,0.0,,,,,,0.0,0.0,0.27444583,,,2.8231797,,0.0,0.0,0.0,,,0.10612398,0.0,,0.0152392555,,,0.0,,,0.104115635,,,,,,,,,0.09995002,,,,,,0.0,,0.0,,0.0,0.0,0.049303167,0.11911851,0.0,0.0,0.0,0.0,0.0043715844,,,9.747108e-05,0.0,,,,,,0.00054535875,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.003421668,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.30667007,0.008903134,,,0.0028699716,0.0,,0.05518387,0.0,,0.0,0.0,,0.0,,,0.06426735,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.04905396,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.100676656,0.0,,0.0,,,0.0,,,,0.0,,
1995,,,,,0.0,0.0,,,,0.003994875,0.0,0.0,,0.013601742,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.010575965,0.0,0.0,0.061186023,,,,,,0.0,,,,,,0.0,0.0,0.32220381,,,3.2258062,,0.0,0.0,0.0,,,0.16356698,0.0,,0.015625,,,0.0,,,0.11558294,,,,,,,,,0.073277965,,,,,,0.0,,0.0,,0.0,0.0,0.11622883,0.113830395,0.0,0.0,0.0,0.0,0.004212832,,,9.492679e-05,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0046556084,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.40110302,0.008179959,,,0.0027742595,0.0,,0.061815914,0.0,,0.0,0.0,,0.0,,,0.0607718,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.06743998,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.089596815,0.0,,0.0,,,0.0,,,,0.0,,
1996,,,,,0.0,0.013787307,,,,0.0038861472,0.0,0.0,,0.013308491,,,0.0,0.0,,,,0.0,,,,0.0006867058,,,,,,0.010846336,0.0017443377,0.0,0.008687554,,,,,,0.0,,,,,,0.0,0.0,0.37940282,,,2.3042338,,0.0,0.0,0.0,,,0.20784019,0.0,,0.014427933,,,0.001969318,,,0.13965286,,,,,,,,,0.09485416,,,,,,0.0,,0.0,,0.0,0.0,0.198188,0.052994166,0.0,0.0,0.0,0.0,0.012531851,,,0.00018635517,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0038316397,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.52337337,0.00955201,,,0.022623003,0.0,,0.06679349,0.0,,0.0023148416,0.0,,0.0,,,0.05847953,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.09956618,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.08917259,0.0,,0.0,,,0.0,,,,0.0,,
