Date,ABW,AFG,AGO,AIA,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
2000,0.18,44.99,73.84,0.23,14.51,0.08,9.85,7.16,0.0,0.0,8.42,26.43,2.07,93.23,1.44,70.29,,83.9,60.18,7.97,0.0,0.0,19.35,5.65,34.55,0.46,29.17,42.67,11.87,0.0,91.4,38.46,88.9,20.26,18.19,31.36,29.63,63.72,84.59,97.94,64.86,9.28,27.85,69.87,27.88,32.95,34.43,0.07,0.0,3.08,5.94,3.7,31.44,11.06,10.73,19.11,0.43,19.43,8.26,76.79,7.88,19.76,95.51,31.68,50.06,1.39,9.27,2.77,1.27,72.78,0.96,47.25,0.0,71.62,0.0,85.52,2.56,62.86,91.24,45.85,7.82,10.49,9.19,62.66,23.84,0.41,30.42,0.05,55.24,26.83,80.85,5.17,45.63,,46.88,2.03,0.44,0.36,60.68,5.96,5.12,9.34,0.0,2.09,3.7,2.5,76.82,35.16,81.58,54.73,26.37,0.7,0.0,81.54,4.88,91.34,2.05,24.05,53.95,64.16,56.7,17.19,6.81,35.82,0.19,15.54,5.72,82.17,2.34,12.17,19.57,19.38,83.47,0.0,80.17,,5.73,0.0,93.64,44.41,0.0,1.68,20.42,82.62,4.41,16.17,34.78,7.54,87.62,86.04,58.42,0.6,1.73,60.18,88.29,0.0,26.44,0.0,28.27,16.87,51.05,27.67,38.57,33.94,0.0,66.38,6.93,0.55,8.72,20.12,70.41,17.52,8.79,0.08,11.72,16.37,3.5,86.78,0.01,80.42,47.52,0.33,7.09,55.26,93.32,33.51,93.28,0.42,22.09,,54.73,23.63,3.73,17.96,39.82,60.06,,1.52,2.0,0.45,88.7,77.11,21.8,62.41,0.1,,2.48,0.76,14.24,17.29,0.04,93.64,95.29,1.25,38.73,5.43,0.72,8.49,15.29,0.87,0.5,57.73,49.49,3.89,59.69,0.95,16.18,89.97,69.5
2001,0.18,45.6,72.75,0.21,15.39,0.06,11.51,5.42,0.0,0.0,8.37,25.53,1.75,94.7,1.58,66.86,,81.66,55.93,7.24,0.0,0.42,20.27,6.26,23.91,0.54,28.99,41.34,10.81,0.0,90.18,37.51,88.92,19.82,18.72,32.15,28.36,64.73,85.3,98.34,61.18,9.9,27.08,69.51,25.97,32.1,34.05,0.63,0.0,3.03,6.29,3.9,31.68,9.41,11.12,18.89,0.43,17.06,7.82,74.85,8.93,18.85,94.55,29.25,40.44,1.31,9.4,2.56,1.41,72.42,0.85,53.15,0.0,69.32,0.0,84.84,2.43,59.61,91.21,46.12,7.11,10.42,8.73,61.26,25.92,0.41,31.03,0.06,50.4,26.92,80.88,5.12,44.33,,47.11,1.97,0.52,0.35,62.14,6.3,5.38,7.91,0.0,2.12,3.5,2.41,78.32,36.0,80.51,56.39,25.96,0.69,0.0,81.09,4.56,91.57,2.94,22.23,51.59,62.93,56.5,17.59,3.42,35.35,0.89,15.3,5.6,84.13,2.26,11.34,19.08,15.17,82.1,0.0,82.48,,6.09,0.0,93.01,44.18,0.0,1.63,20.08,83.13,4.23,15.37,30.37,6.72,87.7,84.54,56.66,0.58,1.76,59.59,87.76,0.0,24.63,0.0,23.91,16.58,51.54,24.04,41.23,32.89,0.0,63.44,7.29,0.54,8.62,20.83,69.84,17.12,6.74,0.14,10.72,13.39,3.62,86.89,0.01,79.38,45.83,0.6,6.26,54.14,91.16,33.11,93.26,0.49,19.55,,55.47,24.14,6.0,18.67,37.38,60.87,,1.26,2.07,0.43,88.6,82.05,19.88,64.07,0.1,,2.7,0.71,14.22,18.12,0.03,93.1,95.49,1.23,41.63,4.68,0.78,6.19,14.03,0.86,0.55,56.14,51.26,4.46,52.41,0.89,15.01,89.79,72.32
2002,0.18,37.83,70.83,0.22,15.83,0.07,11.62,8.9,0.0,0.0,8.74,24.68,2.35,94.64,1.68,64.04,,81.85,54.44,8.7,0.0,0.38,21.21,6.52,25.66,0.51,28.13,42.87,9.78,0.0,89.68,36.13,89.22,20.11,18.19,33.07,27.0,65.32,85.25,98.27,68.62,12.25,28.63,70.31,25.98,32.54,34.8,0.6,0.0,3.16,7.28,4.41,32.44,13.6,11.86,17.94,0.51,17.1,7.35,74.69,7.41,19.34,94.49,29.52,48.98,1.02,8.68,3.4,1.6,79.82,0.97,56.76,0.0,65.68,0.0,84.27,2.77,60.97,91.04,31.31,7.33,10.47,9.48,63.76,30.37,0.45,34.24,0.08,49.76,24.64,79.08,5.17,44.66,1.48,45.75,2.25,0.67,0.31,61.87,6.5,5.6,8.03,4.2,2.09,3.71,2.77,78.8,28.3,80.97,53.05,24.34,0.7,0.0,80.19,5.74,91.14,2.89,21.73,51.26,62.1,56.16,17.89,1.32,34.38,1.38,15.14,5.83,87.23,1.78,10.68,18.63,14.63,83.58,0.09,83.05,,6.51,0.0,93.22,42.13,0.0,1.65,17.93,83.3,3.54,14.92,33.76,5.28,87.74,84.53,54.67,0.63,1.91,59.47,89.95,0.0,26.56,0.0,24.09,16.56,51.39,28.71,40.21,31.83,0.0,62.49,7.49,0.5,9.02,18.28,67.68,21.8,6.22,0.07,11.73,14.4,3.46,87.13,0.01,76.76,43.76,0.58,7.4,52.82,87.96,34.02,92.58,0.45,18.01,,55.34,27.79,5.48,16.31,35.85,63.59,,1.1,1.6,0.38,88.53,78.66,19.9,64.15,0.09,48.25,2.48,0.69,14.55,17.49,0.02,92.4,95.62,1.03,43.25,4.84,1.02,6.07,12.84,0.84,0.57,52.2,53.33,4.49,49.58,0.88,13.28,89.63,74.74
2003,0.18,36.66,65.57,0.21,16.52,0.07,10.82,9.81,0.0,0.0,7.15,22.56,2.94,95.76,1.89,61.73,,80.82,52.59,9.16,0.0,1.54,20.14,6.25,24.37,0.51,27.01,45.13,8.62,0.0,89.65,36.21,90.25,19.74,18.03,31.62,23.86,70.32,85.3,97.97,62.1,11.07,30.55,64.4,24.83,33.3,33.56,0.61,0.0,3.24,6.72,5.44,32.88,10.56,12.72,18.94,0.47,16.55,7.45,75.05,8.91,19.88,94.19,28.35,40.83,1.03,8.85,3.11,0.86,83.63,0.93,55.33,0.0,64.47,0.0,83.47,2.83,62.41,89.05,29.49,7.6,10.43,9.47,64.29,22.96,0.5,34.65,0.08,47.94,24.82,79.02,5.01,43.0,1.12,45.63,2.01,0.83,0.35,61.9,6.52,6.24,8.14,11.58,1.98,4.19,2.28,81.62,30.51,79.92,50.52,26.3,0.85,0.0,78.74,7.0,90.35,2.89,20.02,50.24,61.31,55.94,18.07,1.28,34.34,2.44,16.06,5.92,84.79,2.22,10.17,18.56,17.29,85.79,0.1,79.86,,6.09,0.0,92.73,40.17,0.0,1.68,18.9,82.83,3.31,14.14,33.32,4.93,86.97,82.88,51.49,0.71,1.9,56.23,89.44,0.0,25.9,0.0,23.8,16.39,50.09,27.45,40.91,30.9,0.0,60.4,7.29,0.5,9.26,22.09,67.05,21.68,7.19,0.05,12.41,15.67,3.28,87.3,0.01,77.0,43.66,0.58,6.37,51.46,86.54,33.85,92.8,0.41,15.67,,51.81,24.64,5.35,16.9,34.56,66.49,,1.12,1.9,0.39,83.91,74.79,20.2,64.58,0.08,47.85,2.01,0.6,14.13,16.29,0.03,92.36,95.55,0.99,43.83,5.33,1.42,5.63,13.41,0.79,0.58,50.83,52.73,4.67,52.41,0.78,11.78,89.32,78.01
2004,0.19,44.24,62.34,0.18,16.57,0.1,9.29,8.71,0.0,0.0,6.68,23.17,3.07,96.04,2.05,60.69,,81.98,52.01,9.55,0.0,1.59,20.1,6.27,26.29,0.52,25.8,45.2,8.66,0.0,90.91,34.34,90.64,20.37,18.1,31.44,20.17,75.4,85.54,97.88,63.06,10.4,29.04,63.52,24.38,39.16,33.77,0.61,0.0,3.28,7.13,6.34,33.62,11.4,14.44,20.67,0.44,16.73,7.57,69.79,8.04,20.0,94.09,31.1,35.72,1.01,8.9,3.42,1.02,85.78,1.14,54.53,0.0,62.38,0.0,83.19,3.26,61.25,88.55,7.2,7.85,10.56,6.7,66.1,26.4,0.46,35.51,0.09,46.7,26.59,81.11,4.63,41.46,6.28,44.92,2.31,0.74,0.36,61.9,6.73,5.94,6.36,5.36,1.83,4.26,1.89,80.31,27.71,80.69,50.55,21.98,0.77,0.0,73.98,6.12,89.56,2.79,18.43,50.31,61.61,55.41,18.07,1.35,36.11,2.52,22.35,4.85,84.32,1.67,10.21,18.4,18.2,81.53,0.12,80.25,,5.76,0.0,92.94,38.59,0.0,1.73,19.08,82.45,3.21,13.35,34.82,5.2,86.99,83.98,51.17,0.79,2.22,56.85,90.3,0.0,28.2,0.0,24.11,16.09,47.93,28.21,37.83,30.21,0.0,57.48,7.31,0.5,9.37,19.87,66.75,23.08,7.71,0.03,12.05,17.28,3.55,87.55,0.01,75.4,39.88,0.53,13.03,49.91,86.54,33.33,93.0,0.44,14.64,,48.92,22.63,6.25,17.77,35.49,66.55,,0.96,2.59,0.39,84.0,76.14,19.89,61.41,0.08,44.04,2.15,0.6,13.92,16.78,0.02,91.29,95.32,1.21,39.31,5.48,1.05,5.86,14.64,0.77,0.59,45.77,55.36,3.81,48.82,0.75,11.03,89.44,81.84
2005,0.19,33.88,68.86,0.17,16.61,0.1,9.64,6.49,0.0,0.0,6.71,24.41,3.36,96.01,2.48,59.2,,85.45,50.61,9.83,0.0,1.71,19.73,6.83,25.64,0.49,24.65,46.15,8.69,0.0,88.66,33.0,90.96,21.61,18.73,32.26,17.44,77.92,86.31,97.42,63.06,9.42,28.94,65.74,23.88,41.73,26.31,0.6,0.0,3.35,7.53,7.28,33.09,10.02,16.12,19.44,0.58,16.16,6.48,74.69,7.3,18.9,94.69,31.52,40.02,0.99,8.61,3.84,1.35,85.25,1.35,41.48,0.0,61.43,0.0,81.56,4.18,61.71,88.53,7.1,8.01,10.58,6.99,65.24,28.5,0.45,34.69,0.08,51.37,26.8,81.11,7.29,41.57,2.68,44.16,2.89,1.4,2.43,62.72,7.03,6.7,5.39,7.46,1.69,4.01,2.09,79.21,28.03,79.24,48.51,25.3,0.87,0.0,73.93,6.43,87.76,2.69,18.44,49.87,60.08,55.31,17.51,1.87,36.3,2.28,20.0,4.27,84.89,1.95,10.31,18.38,19.03,82.33,0.14,79.58,47.61,5.34,0.0,93.67,38.77,0.0,1.8,17.65,83.17,3.0,11.45,34.58,5.08,87.54,83.92,52.76,0.83,2.74,58.56,89.52,0.0,26.79,0.0,22.9,15.98,47.96,22.77,38.35,31.31,0.0,58.56,7.22,0.56,9.23,18.07,68.81,22.78,7.98,0.03,11.38,18.47,3.61,89.25,0.01,72.28,40.32,0.54,8.21,49.7,88.11,34.08,93.3,1.37,16.1,,47.94,18.88,6.31,18.58,39.3,67.03,,0.94,2.1,0.36,83.82,77.22,20.11,63.73,0.08,43.61,2.15,0.54,14.18,15.34,0.02,90.33,94.47,1.27,41.32,5.84,1.62,5.81,14.23,0.76,0.67,44.15,54.91,3.74,48.89,0.73,9.66,88.91,80.29
2006,0.19,31.89,62.62,0.15,17.57,0.11,9.18,7.65,0.0,0.0,6.85,26.64,2.86,95.3,2.88,57.31,,84.85,48.65,9.96,0.0,2.01,18.12,7.2,32.74,0.44,23.7,46.7,8.82,0.0,91.6,31.77,90.8,21.51,18.07,32.91,16.39,74.79,85.51,97.33,69.35,8.42,30.62,61.81,21.18,42.4,21.96,0.59,0.0,3.49,7.88,8.59,33.01,9.82,15.26,17.98,0.41,14.19,6.22,77.29,8.48,17.22,94.51,31.25,39.07,0.96,8.47,4.3,1.37,86.16,1.55,37.22,0.0,58.56,0.0,81.06,3.89,60.21,88.29,6.99,8.51,10.37,7.1,64.73,33.88,0.45,36.82,0.07,52.22,25.51,81.37,7.86,40.07,3.27,43.16,3.23,1.4,2.56,64.2,6.86,7.51,4.79,7.36,2.28,4.43,2.13,77.61,27.76,78.01,48.12,0.01,0.95,0.0,69.81,6.44,87.59,2.89,16.94,50.84,62.18,55.46,17.46,2.08,34.0,2.84,18.22,4.98,85.9,1.63,9.82,16.96,19.8,81.65,0.17,81.32,44.83,4.48,0.0,93.06,39.12,0.0,1.82,16.41,82.8,3.12,10.97,35.76,4.52,87.43,85.79,53.29,0.78,3.11,57.02,91.25,0.07,27.0,0.0,22.13,16.01,47.04,22.09,38.7,33.28,0.0,58.86,7.18,0.48,8.96,22.33,66.46,18.08,10.1,0.1,11.99,17.39,3.48,90.59,0.01,69.25,43.35,0.52,9.11,48.93,84.37,34.76,93.47,1.38,15.33,,47.33,22.09,6.57,17.36,40.08,66.76,,0.95,1.82,0.35,83.74,79.65,20.52,61.57,0.09,41.9,1.86,0.55,14.32,14.23,0.02,89.89,94.21,1.75,37.6,6.4,0.85,5.29,15.6,0.72,0.69,44.25,55.28,3.69,45.96,0.76,9.34,89.71,78.7
2007,0.19,28.78,58.92,0.15,16.56,0.11,7.72,7.02,0.0,0.0,6.95,28.99,3.78,95.29,3.43,54.49,,82.93,47.16,8.85,0.0,3.54,14.84,7.28,28.03,0.5,22.07,47.22,8.56,0.0,91.98,29.04,90.88,21.62,19.31,30.46,14.88,76.33,80.82,97.17,60.25,8.71,31.03,74.37,21.04,41.18,18.59,0.58,0.0,4.32,8.32,10.47,32.52,7.75,17.69,17.89,0.41,15.88,6.05,79.1,9.01,18.65,94.13,31.8,36.04,0.91,9.39,4.54,1.2,87.35,1.84,36.22,0.0,54.53,0.0,80.36,4.22,57.27,87.9,8.49,8.05,9.89,6.89,63.28,30.67,0.45,33.14,0.1,50.57,22.66,79.26,9.0,40.01,1.94,41.53,3.55,1.3,2.0,67.6,6.72,8.73,5.31,2.78,2.32,4.28,1.83,78.15,24.49,74.79,48.42,0.01,1.03,0.0,70.67,7.33,89.83,3.07,16.26,53.36,60.2,55.33,17.06,3.64,33.08,3.42,16.55,4.44,86.23,1.52,9.46,15.21,15.71,78.87,0.2,80.5,42.27,4.7,0.0,87.53,35.63,0.0,2.35,15.69,82.21,2.84,10.38,36.54,5.82,86.17,87.06,52.61,0.95,3.68,57.36,91.31,0.08,27.05,0.0,21.18,15.84,44.85,22.79,36.05,32.39,0.0,57.13,7.28,0.49,10.9,23.15,68.44,20.48,9.76,0.07,16.42,18.16,3.67,90.31,0.01,65.62,40.01,0.5,3.94,47.42,86.35,28.24,93.02,1.86,14.03,,47.69,24.59,8.23,18.35,41.75,66.91,,1.01,1.54,0.33,82.38,79.9,21.61,53.79,0.07,41.88,2.17,0.45,14.32,12.48,0.02,90.56,94.14,2.39,43.2,6.3,0.9,4.71,16.64,0.71,0.69,41.9,51.61,3.55,43.18,0.76,8.65,90.65,78.03
2008,0.19,21.17,55.42,0.15,17.02,0.11,7.65,6.4,0.0,0.0,6.79,29.68,3.08,94.95,3.98,54.76,,83.49,45.16,9.94,0.0,1.97,14.28,7.08,29.82,0.46,21.3,47.04,7.63,0.0,87.77,27.79,93.64,21.61,19.55,30.83,14.14,74.21,80.82,96.97,56.79,8.42,30.77,73.44,23.81,40.7,18.73,0.51,0.0,5.66,8.99,10.25,33.14,7.96,18.54,17.68,0.3,15.32,5.88,81.36,9.74,20.54,94.06,34.61,42.13,2.46,10.54,4.51,1.44,87.32,2.44,36.3,0.0,57.34,0.0,80.15,4.23,56.28,88.42,7.23,8.32,10.75,6.87,66.51,35.05,0.45,32.57,0.13,49.97,24.15,79.64,8.96,41.12,1.31,39.37,4.19,0.7,1.15,73.96,8.9,10.82,5.93,7.34,2.74,4.44,1.15,78.15,22.04,74.13,49.74,0.01,1.06,0.0,69.27,5.14,91.84,2.9,15.53,52.96,61.58,54.99,18.34,3.96,33.71,4.66,14.44,4.93,86.39,1.53,9.77,14.78,15.61,75.0,0.22,85.62,38.76,4.66,0.0,88.11,35.8,0.0,2.32,12.73,80.39,3.04,9.7,32.5,7.78,86.06,85.72,53.77,0.57,3.94,58.45,90.47,0.08,26.14,0.0,20.56,15.98,46.63,23.36,33.71,33.85,0.0,56.93,8.01,0.51,10.19,23.19,65.81,20.1,9.33,0.11,16.45,20.4,3.31,90.63,0.01,63.49,39.81,0.53,9.03,46.69,86.04,31.5,93.37,1.46,15.5,,46.04,26.19,7.63,17.63,43.2,67.84,,0.91,1.25,0.33,79.85,76.51,22.62,54.61,0.08,39.72,1.99,0.46,14.61,12.53,0.2,90.29,94.13,2.72,44.09,6.85,0.8,5.33,16.35,0.71,0.72,39.26,52.06,3.66,45.0,0.74,9.7,89.78,81.59
2009,0.3,16.53,53.0,0.15,17.13,0.11,8.59,7.8,0.0,0.0,7.14,31.31,3.27,94.61,4.92,52.83,,83.31,43.07,11.62,0.0,1.53,17.43,7.39,25.15,0.43,20.62,48.92,8.46,0.0,87.75,28.89,93.91,22.23,19.97,31.53,13.43,73.71,79.22,97.02,55.87,9.01,31.39,68.53,22.08,40.72,18.97,0.5,0.01,6.29,10.25,10.72,34.38,7.48,19.33,17.34,0.31,12.87,5.65,81.65,12.21,24.21,94.17,32.46,41.62,3.91,11.25,5.12,1.15,87.94,2.97,36.72,0.0,51.9,0.0,79.25,3.71,53.91,87.89,9.24,9.18,10.52,8.8,65.27,25.89,0.46,31.3,0.11,50.45,27.16,80.33,12.29,38.18,1.87,37.41,5.29,0.78,1.21,74.68,8.46,12.54,7.42,4.3,2.78,4.51,1.31,75.64,24.73,68.04,50.44,0.01,1.21,0.0,66.45,4.31,91.81,2.64,15.08,55.15,63.51,53.98,20.09,3.73,38.4,2.97,14.17,4.84,87.21,1.52,9.17,13.96,18.43,78.69,0.26,85.77,49.16,4.43,0.0,86.12,33.43,0.0,2.44,12.78,80.01,2.27,9.45,33.37,6.95,83.25,88.12,54.56,0.86,4.38,56.68,88.93,0.04,28.47,0.0,20.85,16.38,46.43,20.37,32.92,34.09,0.0,56.02,8.84,0.52,10.36,24.9,65.36,16.54,9.32,0.07,15.31,22.14,3.6,90.54,0.01,63.1,51.31,0.48,10.22,45.79,86.14,32.2,93.63,1.43,20.68,,45.41,26.47,10.0,19.57,45.71,66.66,,0.83,0.91,0.34,79.36,63.38,22.84,60.58,0.08,36.91,1.82,0.49,16.07,13.12,0.25,90.95,94.26,2.96,44.64,7.35,1.25,4.1,16.21,0.73,0.76,36.97,38.66,3.63,43.17,0.7,9.15,89.2,82.58
