Date,AND,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BIH,BLR,CHL,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GIN,GLP,GRC,GTM,GUF,HRV,HUN,IRL,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,LIE,LTU,LUX,LVA,MCO,MDA,MHL,MKD,MLT,MNE,MNG,MTQ,NER,NLD,NOR,PER,POL,PRT,REU,ROU,RUS,SRB,SVK,SVN,SWE,TUN,TUR,UKR,URY,ZWE
2000,,100.0,,,,,,,,,281176.0,,,,,,,,,,,,,,,54000.0,,,,1195000.0,,,7451000.0,,,,,,,,,0.0,17200.0,,,,,,,,,,,,,,,,,,,,11900.0,,10066100.0,3600.0,
2001,,100.0,,,700.0,,,,,,187137.0,,,,,,,,,,,,,5263000.0,,61586.0,,,,1320000.0,,1420.0,6970000.0,,,,,,,,,0.0,3700.0,,,,,,,,,,,,,,,,,,,,12500.0,,9106600.0,,
2002,,200.0,,,500.0,,,,,,205842.0,,,,,,,,,,,,,4153000.0,,52950.0,,,,1182000.0,,1640.0,7237000.0,,,,,,,,,0.0,4600.0,,,,,,,,,,,,,,,,,,,,,,7952900.0,,
2003,,400.0,,,800.0,,,,,,202297.0,,,,,,,,,,,,,2831000.0,,64000.0,,,,1369000.0,,,10054000.0,,,,,,,,,0.0,4100.0,,,,,,,,,,,,,,,,,,,,,,8592100.0,,
2004,,300.0,,365184.0,33300.0,989669.0,,7817053.0,,,280406.0,2414.0,5155432.0,9134082.0,1336930.0,5897332.0,6148365.0,1572994.0,840690.0,6915342.0,,,12988820.0,6196000.0,,616134.0,3331869.0,286494.0,0.0,1332000.0,2466542.0,,9717000.0,28907000.0,,,,,52324.0,867.0,18847.0,0.0,50500.0,,,0.0,,,,,1600210.0,40956.0,,22069092.0,814655.0,,325920.0,65479000.0,,1733155.0,1545745.0,1103741.0,,13209467.0,7803500.0,,
2005,,400.0,,,26000.0,,,,,,263821.0,,,,,,,,,,,,,5874000.0,,,,,,1170000.0,,,8986000.0,69424296.0,,,,,,,,0.0,4500.0,,,,,,,,,,,,,,,71176000.0,,,,,,,8104700.0,,
2006,,500.0,,2017095.0,20300.0,1285396.0,,6669576.0,,,360974.0,2881.0,2510732.0,8468297.0,1461810.0,7229469.0,5708161.0,1635908.0,1033680.0,6872788.0,,,12985844.0,5436000.0,,532377.0,3981109.0,346767.0,,1161000.0,3005458.0,,10359000.0,10880400.0,,,,,34022.0,1403.0,26221.0,0.0,4500.0,,,0.0,,,,,1372320.0,45285.0,,22404356.0,464834.0,,102616500.0,73541000.0,,1577183.0,498570.0,1318464.0,,16009808.0,14520600.0,,
2007,,900.0,14351000.0,,2400.0,,,,,,448228.0,,,,,,,,,,,,,,,,,,,1205000.0,,,8949000.0,10765700.0,,,,,,,,0.0,4700.0,0.0,,,,,,,,,,,,,,70799000.0,,,,,,,8753500.0,,
2008,0.0,200.0,,568962.0,3600.0,1086721.0,,7654555.0,1059000.0,,466135.0,2110.0,1919860.0,11706681.0,1358230.0,4872159.0,5423863.0,1531317.0,1004080.0,4884533.0,7.0,,11180698.0,,,136461.0,3050228.0,291726.0,,1208000.0,3089900.0,,10572700.0,13431900.0,,,,256.0,50645.0,1393.0,20161.0,0.0,4400.0,,,0.0,,,,,1430696.0,46328.0,,19541442.0,193390.0,,7058116.0,68687000.0,5700000.0,1150662.0,353639.0,1508043.0,,25525058.0,8942700.0,,
2009,110.0,200.0,14154000.0,,3200.0,,,,1563614.0,,477023.0,,,,,,,,,,13.0,,,,,,,,,1250000.0,,,11150600.0,11254500.0,,,,,,,,0.0,4400.0,,,,,,,,,,,,,,,65315000.0,6209000.0,,,,,,7782100.0,,
