Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,0.113421604,0.31388542,0.048083372,0.00077206676,-2.7772187e-05,0.43877137,0.03971839,0.0040575163,0.36175218,0.14933382,0.15955955,0.050989732,0.17272355,-0.19745052,0.018451842,0.7558492,0.16003305,0.0,8.1927945e-05,0.174594,1.5198773,0.0057696714,0.975773,1.4892529,0.002274542,0.0016829944,0.015392734,0.012902957,0.042345636,2.6850107,0.14030924,0.38701516,9.294596,4.973878,0.084873185,1.0626929,0.14426816,0.0,1.6328281,0.0015038638,0.00090676185,0.09938693,0.20337015,0.015712114,0.40042493,0.9552549,0.00059849065,0.0026786274,0.31697646,0.022907887,0.18733174,0.38239247,0.003457637,0.008914871,1.1466608,0.55187637,1.4519799,0.69754976,0.01754369,1.5830715,0.0,0.058247995,0.3234807,0.3486451,0.09451708,2.4738715,0.0053641982,0.009850795,0.00032076874,0.40649456,0.0010706177,0.36170912,0.21623701,0.35693508,0.12694944,0.08550501,0.61256003,3.3986895,11.474225,0.16386145,0.2244076,0.020681946,0.05879094,0.001180318,0.94287544,0.02668074,0.00057627284,0.65727735,0.8225261,0.09071368,0.06075026,0.04623652,0.0,0.0007776212,0.033876512,-0.00044990942,0.18325894,0.0034104243,0.76960343,0.0020537532,0.0007942845,0.0002721674,0.88729215,0.0045879646,0.8501469,0.0182616,0.42860535,0.23070216,1.3886093e-05,0.1738636,0.42274958,2.7772185e-06,0.8272056,0.0,0.050196838,0.054078,0.0012386395,1.7345467,0.06354276,0.38235497,0.76275754,0.0013413965,0.0010664519,0.05614564,0.4439356,0.023502212,0.052754655,0.3147047,0.29977992,0.0,0.25366697,0.5430351,0.16075376,0.0,0.38116354,-0.00018190782,100.0,0.008770457,0.12995021,0.2834957,2.2197573,0.0,-0.15986781,1.4792161,0.124962345,0.08142249,0.1156656,-0.0001499698,-2.7772185e-06,0.9021281,20.845251,0.037432738,-0.009718876,0.053619754,0.029491287,0.019652987,0.03533594,0.100779705,0.12676059,0.0005457234,0.012697443,0.55136395,0.18037479,0.0045879646,0.008845441,0.19598417,0.039039362,1.0355499,0.020602796,0.0,0.029313542,0.32137835,-0.0033701546,0.5294059,0.02030841,0.019826563,0.10451924,0.0008692694,0.040509894,0.018143568,0.56401557,0.0,0.27460995,0.1840296,1.9060024,0.03381958,30.242184,0.07288671,1.3886092e-06,0.00038186755,1.836233,0.7105777,0.0045115915,0.0011775406,-0.021333205,0.10512745,0.36866465,0.032389313
1851,0.1069243,0.27658734,0.04692086,0.00060942926,-2.7287879e-05,0.4296476,0.03656576,0.0022687921,0.42137945,0.14016615,0.14846945,0.04759006,0.1611752,-0.18601237,0.017846273,0.5687963,0.13588193,0.0,7.666594e-05,0.16120769,1.4094464,0.013742696,1.3197327,1.6822522,0.0019933146,0.0011136052,0.028132504,0.012123615,0.030381804,3.476608,0.12928088,0.33979383,8.587443,6.2844777,0.2447021,0.80724037,0.11262617,0.0,1.4801855,0.0014072749,0.0008641161,0.08314876,0.16020454,0.016050471,0.3846408,0.84820473,0.0005587518,0.0027118954,0.30912492,0.01960959,0.17168492,0.038909916,-0.0005535541,0.00896212,1.0077336,0.5150626,1.3303438,0.61695296,0.044676755,1.2779123,0.0,0.051388267,0.20274375,0.32312617,0.07970009,3.00103,0.0053003454,0.010574702,0.03473097,0.38482666,0.000958974,0.41469517,-0.06440719,0.32178518,0.11776018,0.06008401,0.5544468,5.9425464,8.239338,0.14382662,0.20963328,0.019474449,0.054584853,0.001075922,0.9357521,0.007874502,0.00051197264,0.5018462,0.77672344,0.073496655,0.057304546,0.0400703,0.0,0.00049897836,0.03232184,-0.0004275101,0.14172155,0.003230365,0.8756095,0.0019244452,0.00075496465,0.00023779435,0.77076554,0.004421936,0.7954234,0.016870406,0.4002196,0.21583803,1.1694805e-05,0.15026137,0.34927705,2.5988456e-06,0.7395911,0.0,0.047273,0.06447216,0.0010681255,1.8460186,0.061525065,0.3264254,0.76490647,0.0012097626,0.00092648837,0.04765763,-0.23690556,0.021918664,0.04543562,0.22310828,0.27784777,0.0,0.2345952,0.5077534,0.13248655,0.0,0.37435722,-0.00021830303,100.0,0.005981243,0.1121142,0.11517433,2.5197353,0.0,0.08723025,1.4232525,0.11355267,0.080711044,0.0940964,-0.00018061977,-2.5988456e-06,0.8541846,22.362066,0.034589335,-0.009375336,0.047350965,0.02886148,0.013475014,0.0060774004,0.12836607,0.11896606,0.00051587087,0.011763675,0.5279971,0.16800107,0.0024883947,0.0077042775,0.17932035,0.037557214,0.9772867,0.019218463,0.0,0.027511382,0.4777523,-0.0038268,0.56011623,0.019134,0.018741574,0.065623455,0.00080824096,0.034720574,0.017670851,0.5290977,0.0,0.24580792,0.16238107,1.938514,0.04601256,30.563265,0.068849914,1.2994228e-06,0.0003586407,2.1718473,0.7007228,-0.00024039322,0.0010369393,-0.020287888,0.10655917,0.3401525,0.029847741
1852,0.10621181,0.25971907,0.04803016,0.00052828307,-2.8209288e-05,0.42134416,0.035723217,0.0014361091,0.23807229,0.13740487,0.14589587,0.047013335,0.15042347,-0.18501702,0.017455138,0.5503837,0.124979965,0.0,7.565218e-05,0.16178027,1.393113,0.007855005,1.5392153,1.2140676,0.001893869,0.0017348712,0.03037371,0.011981255,0.028082347,3.917356,0.12789194,0.34556893,8.020423,7.1680717,-0.03470512,0.861123,0.18258844,0.0,1.1024766,0.0013822552,0.0008616655,0.091085225,0.1433455,0.01670631,0.38449258,0.8352001,0.0005500811,0.0027722036,0.3158081,0.020265808,0.16734904,0.30800438,-0.003644127,0.008122993,0.95829517,0.50664395,1.2943562,0.6215878,0.0031530294,1.1395257,0.0,-0.012731364,0.09007482,0.31593376,0.082485236,3.477233,0.005395667,0.012096656,-0.03824795,0.38300776,0.0009219308,0.3135321,0.094313905,0.31324747,0.120424174,0.06902427,0.5302821,6.575546,6.8364773,0.1101919,0.20671894,0.019246425,0.053361714,0.0010232278,0.9642614,0.013385307,0.00047699342,0.46135774,0.7677375,0.06859088,0.05689685,0.037174713,0.0,0.0003692852,0.024552338,-0.00042826828,0.11765453,0.0032209877,1.0038992,0.0018707886,0.00074241706,0.00022310982,0.7239529,0.0044609145,0.7882944,0.016765293,0.39374265,0.21296859,1.0257922e-05,0.1406797,0.33914232,2.5644806e-06,0.7328017,0.0,0.04710823,0.071043804,0.0009732204,1.8347012,0.06384018,0.3224386,0.7597672,0.0011258071,0.00068343413,0.039762273,0.6178744,0.021353148,0.042349838,0.19991666,0.22698604,0.0,0.2259628,0.5002956,0.12239497,0.0,0.40353766,-0.00025516583,100.0,0.0039031396,0.11755066,0.27709472,2.0834458,0.0,-0.10500523,1.4330574,0.12260398,0.08235829,0.08624733,-0.00021156966,-2.5644806e-06,0.85750204,21.649282,0.03603865,-0.009512941,0.045481063,0.028967088,0.04408086,0.008025542,0.14409047,0.15221347,0.0005167429,0.011517082,0.5318874,0.16560005,0.0034389687,0.007415195,0.17713764,0.038919844,0.97889817,0.018692499,0.0,0.027165543,0.5880457,-0.0049430365,0.7367676,0.01896177,0.018604025,0.06347731,0.0007872956,0.03289203,0.01785135,0.52258223,0.0,0.2440565,0.15029779,2.0265167,0.05815729,31.998375,0.06834341,1.2822403e-06,0.00035389836,2.197851,0.67196316,0.0024965222,0.00092577754,-0.020304278,0.11134206,0.33839223,0.028908106
1853,0.105046265,0.2457036,0.04854274,0.00046153116,-2.9003328e-05,0.41785094,0.034832995,0.0008940591,0.4022282,0.13356663,0.14303054,0.046188425,0.16088018,-0.18345991,0.016698351,0.49614096,0.11589477,0.0,7.566086e-05,0.16182972,1.3581994,0.022026135,1.6818488,1.172568,0.0018158605,0.00478681,0.02052679,0.011784178,0.024892421,2.9915695,0.13144433,0.3478659,8.304499,7.76516,0.04980502,0.19886069,0.004854905,0.0,1.2202128,0.0013530684,0.0008511846,0.073807165,0.13187309,0.017132139,0.3788213,0.81033784,0.00053971406,0.0028032346,0.3188588,0.021026151,0.16330007,0.48688388,-0.006210495,0.007593828,0.9170663,0.49974498,1.3167157,0.6179474,-0.004795637,0.998403,0.0,0.010346622,0.054538865,0.31094342,0.08017402,3.781963,0.005414795,0.012163743,-0.01723302,0.3792664,0.00089027605,0.320797,0.034065038,0.3085651,0.11966267,0.074765526,0.5073602,7.260572,5.958949,0.100808,0.2032654,0.018913953,0.051960092,0.00096215383,0.9390433,0.017235542,0.000442616,0.4469236,0.7587056,0.07260289,0.05626141,0.03700068,0.0,0.0002824672,0.03031226,-0.0004274838,0.09096957,0.0031954101,1.003495,0.0018007283,0.00073769334,0.00022698256,0.6873877,0.0044652508,0.77586925,0.016844628,0.3897442,0.20945446,1.0088113e-05,0.13165367,0.38696995,2.5220284e-06,0.728894,0.0,0.046617173,0.074469194,0.000886493,1.945721,0.06553995,0.3571785,0.81613475,0.0010352926,0.00057754444,0.037638754,1.067856,0.020705853,0.039073788,0.1990284,0.1549673,0.0,0.23391181,0.49299476,0.115054935,0.0,0.34148642,-0.00028625023,99.99999,0.0016468846,0.12931953,0.4211472,2.701114,0.0,-0.23043397,1.418921,0.12071436,0.08289024,0.07989408,-0.00023580965,-2.5220284e-06,0.85425645,21.545671,0.033975508,-0.009602623,0.04351003,0.02860989,0.020587318,-0.008893932,0.15701644,0.1487795,0.0005132328,0.01123942,0.53374696,0.16218787,0.0022609984,0.007269747,0.17494553,0.03841806,0.96681964,0.018082945,0.0,0.026703237,0.6608925,-0.0061613154,0.73921025,0.018722277,0.018366674,0.05404455,0.00076669664,0.031684246,0.017821914,0.51411676,0.0,0.22994846,0.14367996,2.0804577,0.06659668,31.837118,0.06748948,1.2610142e-06,0.00034803993,2.5796127,0.66560745,0.0018385587,0.0008360524,-0.020230452,0.112947784,0.3368913,0.028685551
1854,0.10522855,0.2425726,0.04935672,0.0003859038,-2.8911361e-05,0.4188062,0.034469884,0.00051663344,0.42391348,0.1321312,0.14228413,0.046034433,0.16890772,-0.18438785,0.016045803,0.47661513,0.10877083,0.0,7.542095e-05,0.16059381,1.3660053,0.010928494,1.7899816,1.2505333,0.0017761631,0.0034706204,0.037990786,0.011738013,0.02732752,2.5482523,0.12343013,0.40100184,7.48469,8.081395,0.046280805,0.43783614,0.08564425,0.0,1.0586561,0.0013424928,0.0008509996,0.07412496,0.1248908,0.017683696,0.37979725,0.7877731,0.0005380027,0.0028383413,0.32806852,0.02082875,0.16190991,-0.20057067,-0.008503711,0.0077671,0.8948469,0.5032211,1.2613826,0.6264753,0.006596818,0.9179295,0.0,0.014171595,0.037255432,0.30710906,0.07857856,4.028043,0.0054717893,0.013784434,-0.0039658844,0.38039938,0.0008736259,0.3023525,0.056643642,0.27031872,0.117300935,0.072999924,0.4897597,8.527278,5.4291816,0.10332794,0.20264098,0.018815013,0.051263608,0.0009125933,0.9012489,0.016235614,0.00041481518,0.47414005,0.7563815,0.06840679,0.05636207,0.03542773,0.0,0.00022249177,0.02985789,-0.00043241336,0.14842714,0.003207904,1.1176918,0.0017535368,0.0007315831,0.00019483743,0.69004,0.004516457,0.7834061,0.01699988,0.3919249,0.20880164,8.79911e-06,0.12543131,0.35052508,2.5140314e-06,0.71368444,0.0,0.04681755,0.077301435,0.0008208312,1.8819348,0.06704293,0.38095498,0.75268465,0.00096287404,0.00033939423,0.039683983,0.46067616,0.020352341,0.036987685,0.17392446,0.15516979,0.0,0.24129169,0.49051768,0.11146712,0.0,0.3352134,-0.00031802498,100.0,0.0005241755,0.116674945,0.18727775,2.072693,0.0,-0.1441772,1.4144192,0.10903104,0.0844174,0.07679737,-0.00026145927,-2.5140314e-06,0.8425185,22.737913,0.033628937,-0.00980598,0.042500958,0.028463863,0.013749237,-0.0015762977,0.16245797,0.12442319,0.0005103484,0.01111579,0.5372171,0.16123739,0.0054881303,0.007232868,0.1719698,0.037922908,0.9717686,0.017529083,0.0,0.026589653,0.72285306,-0.00746793,0.7099838,0.01873959,0.018357458,0.050881483,0.00075923745,0.031261977,0.01794767,0.51228166,0.0,0.2240643,0.14555362,2.1549847,0.073615864,33.037018,0.06748414,1.2570157e-06,0.00034693634,2.5564694,0.6454172,0.0023921006,0.00078186375,-0.020416448,0.1159044,0.32969636,0.02869641
1855,0.10702086,0.24978918,0.050797936,0.00033603926,-3.0549025e-05,0.42605323,0.034698598,0.00023420918,0.46988347,0.1318916,0.14405139,0.046841837,0.15539907,-0.18822654,0.015602914,0.4772241,0.10416072,0.0,7.637256e-05,0.1629905,1.3693726,0.015781116,1.9098206,1.4664472,0.0017718434,0.010009897,0.016712861,0.011872115,0.026261978,2.4808772,0.13311863,0.31270745,7.5087695,8.484465,-0.17906055,0.45643297,0.08167536,0.0,1.0912237,0.0013530671,0.0008642828,0.07712228,0.121690765,0.018445244,0.38590544,0.7622249,0.000543518,0.0029085216,0.33443034,0.021645255,0.1632947,0.61100465,-0.010712524,0.008166772,0.89024186,0.51035583,1.3080596,0.6344027,-0.011953578,0.82546,0.0,-0.050388068,-0.0477634,0.30866483,0.073014714,4.232899,0.005595563,0.013792884,-0.08037194,0.387326,0.0008744658,0.31309184,0.10920258,0.25084567,0.121176526,0.07687152,0.47455236,8.515806,5.087212,0.08852343,0.20523725,0.019002765,0.05135164,0.0008744658,0.95720273,0.017630605,0.00039331868,0.5431527,0.7685537,0.066903636,0.05733288,0.034816977,0.0,0.00017820262,0.02979548,-0.0004442337,0.09435701,0.0032661997,1.2563223,0.0017336571,0.0007382681,0.00020747878,0.69429153,0.0046294504,0.79714364,0.017046355,0.39668542,0.21143489,8.910132e-06,0.12179004,0.34460187,2.5457518e-06,0.7472596,0.0,0.04775194,0.080524676,0.00077390857,1.9984789,0.069113344,0.3778647,0.7174426,0.0009113792,0.00046587255,0.036321517,0.8448625,0.020405473,0.0358671,0.17424525,0.12227884,0.0,0.23350528,0.49708864,0.10983011,0.0,0.34344867,-0.00035385953,99.99999,-0.00063643797,0.11259098,0.27128935,2.1702917,0.0,-0.04769339,1.4311887,0.111600675,0.08672486,0.076567315,-0.0002902157,-3.818628e-06,0.84797347,20.891714,0.03394251,-0.010156278,0.04217802,0.028676623,0.04472377,-0.010666701,0.17095996,0.11169359,0.0005206063,0.011164395,0.5496902,0.16277921,0.0030714497,0.0075277886,0.17230158,0.039940305,0.9977871,0.017265288,0.0,0.026884414,0.7836117,-0.00887831,0.77847946,0.0190575,0.018625993,0.071856394,0.00076499843,0.031518955,0.018309047,0.51844233,0.0,0.22571781,0.14303435,2.247087,0.08044576,33.850502,0.06850364,1.2728759e-06,0.0003513138,2.3382835,0.64665914,0.00115959,0.0007535426,-0.020917172,0.1208952,0.33079502,0.029433984
1856,0.104154706,0.23960952,0.050089784,0.00028385074,-3.0853345e-05,0.4190859,0.033474643,6.1706683e-06,0.26469946,0.13019246,0.139562,0.04527913,0.16395219,-0.18393776,0.014507242,0.45629376,0.09593784,0.0,7.4048025e-05,0.16034974,1.3414243,0.008716686,1.933822,1.5674942,0.0016981678,-0.0045391438,0.07025306,0.011492252,0.025864974,2.571937,0.12332944,0.35183054,6.9964952,8.436279,-0.011220743,0.45273456,0.10877901,0.0,1.0056857,0.0013081816,0.0008392109,0.07472062,0.11430546,0.018342929,0.37292188,0.73631376,0.000526975,0.0028570194,0.33161542,0.020922268,0.15780991,0.102517016,-0.012232733,0.008331637,0.84854954,0.49628338,1.2286319,0.6292823,0.033262372,0.701953,0.0,-0.001864776,-0.14760609,0.3020789,0.06959156,4.115336,0.0054598073,0.013379243,-0.025761306,0.37743756,0.00084044505,0.2994909,0.08624126,0.23995137,0.12010836,0.07538705,0.44839904,8.801686,4.7148833,0.06778603,0.19903614,0.018370079,0.049243167,0.0007984845,0.96192694,0.016279455,0.0003554305,0.47967196,0.74657553,0.06415273,0.055821102,0.03444467,0.0,0.0001357547,0.031263076,-0.00043688333,0.085598275,0.0031815965,1.138276,0.001642632,0.0007207341,0.00019129072,0.67429733,0.0045366753,0.770714,0.016633654,0.38662323,0.2049785,7.404802e-06,0.113869816,0.3050655,2.4682674e-06,0.71804,0.0,0.046660125,0.07963494,0.00070098793,1.9946858,0.06860673,0.33655196,0.7430855,0.00082686957,0.00026904113,0.035845414,0.38372055,0.020005308,0.033516604,0.16825563,0.11935307,0.0,0.23384613,0.48120108,0.10570232,0.0,0.22105186,-0.0003702401,100.00001,-0.0016845925,0.107948445,0.2747453,2.0355332,0.0,-0.2962686,1.3660489,0.10641317,0.085434146,0.07214005,-0.00030483102,-3.702401e-06,0.82886887,22.918562,0.034307685,-0.010054487,0.040611636,0.027608804,0.020945717,0.021866381,0.16916887,0.10539502,0.0005146337,0.010736963,0.54364574,0.15741992,0.004513227,0.0071147806,0.16591077,0.040127855,0.9760147,0.016707702,0.0,0.026020475,0.80050725,-0.009836046,0.7172094,0.018476216,0.018087462,0.06264462,0.00073801196,0.030531233,0.017851742,0.5032069,0.0,0.21529709,0.13665192,2.2344139,0.08284369,33.841385,0.06655436,1.2341337e-06,0.00034062093,2.7877276,0.6461443,2.2214406e-05,0.00070098793,-0.020512536,0.12013057,0.32280865,0.028308557
1857,0.10511685,0.23788732,0.051599927,0.00024831537,-3.103942e-05,0.42481914,0.03353623,-0.00017382072,0.5262461,0.1306511,0.14053284,0.045517445,0.1717113,-0.18646371,0.014000019,0.46069202,0.09268495,0.0,7.573618e-05,0.16326609,1.3365089,0.013328326,2.0015929,1.5713841,0.001692269,0.00026073112,-0.015163376,0.011541697,0.026486555,3.236789,0.11650335,0.36336854,6.7027574,8.7054,0.13527352,0.24889638,0.06878086,0.0,1.0363106,0.001311105,0.00084427214,0.07245097,0.11208334,0.01886079,0.37533608,0.71660954,0.00052891165,0.0029028063,0.33807886,0.021761116,0.15831718,0.3569024,-0.013998778,0.0076096235,0.8401079,0.50162303,1.2451649,0.6308104,0.032227606,0.6169022,0.0,0.016164087,-0.20181084,0.30111337,0.080127634,4.372384,0.0055051516,0.013956564,0.01262311,0.38152906,0.00083806424,0.29602665,0.09469257,0.22544178,0.1241229,0.08557195,0.4389892,8.350304,4.5014467,0.059983052,0.20028122,0.018422514,0.048972752,0.00075363705,0.96233,0.018246211,0.00033150098,0.5478582,0.75184673,0.06443287,0.05637379,0.03427248,0.0,0.00010553402,0.028398583,-0.00044448447,0.07282716,0.0032107173,1.2060527,0.0016177744,0.0007275639,0.00017506232,0.66665846,0.0046062493,0.7853854,0.016729005,0.39103705,0.20617126,7.44946e-06,0.11036127,0.40366888,2.4831534e-06,0.735772,0.0,0.047384772,0.08131458,0.0006592772,1.7440501,0.0706544,0.22156434,0.71557283,0.00078095176,7.449461e-05,0.03543708,1.0463722,0.019600771,0.032761484,0.1628179,0.13083984,0.0,0.23956594,0.48583266,0.10339478,0.0,0.3037393,-0.0003997877,100.0,-0.0022795347,0.10293167,0.2557772,2.3002913,0.0,-0.12998314,1.3672528,0.120423004,0.086895466,0.07131368,-0.0003302594,-3.72473e-06,0.84006816,20.650946,0.033849105,-0.010312535,0.03945358,0.02750589,0.014615841,0.002613519,0.17349793,0.102430075,0.00051773747,0.01070984,0.5508491,0.15797448,0.00411831,0.00717383,0.16574179,0.041916873,0.98660904,0.016761286,0.0,0.026126498,0.8385931,-0.011071139,0.75019044,0.018547913,0.018218895,0.053442433,0.0007399798,0.030748889,0.018038867,0.5058655,0.0,0.21378584,0.1351717,2.2983673,0.087220766,34.493183,0.067073695,1.2415767e-06,0.0003426752,2.681232,0.62838686,-0.0003886135,0.0006816256,-0.020864697,0.12345865,0.32461149,0.02866304
1858,0.10458211,0.22907288,0.051845815,0.00021184677,-3.2023352e-05,0.42855498,0.03315279,-0.00032023355,0.50587666,0.13089053,0.13851209,0.045138147,0.16039757,-0.18635005,0.013336495,0.45047867,0.087758765,0.0,7.390005e-05,0.1624791,1.3426875,0.008335926,2.0529234,1.4683592,0.0016639826,0.0020778228,0.03464188,0.01142741,0.026892226,3.697563,0.1151141,0.451464,6.773423,8.820418,0.06561585,0.24064688,0.064215444,0.0,0.82760656,0.0012981775,0.00083753385,0.086836256,0.108640455,0.01906621,0.37112233,0.6913448,0.0005246903,0.0028944183,0.33677727,0.021811599,0.15665579,0.31022623,-0.015421707,0.007580913,0.82336843,0.5021311,1.2446023,0.62403166,-0.011771046,0.5436124,0.0,0.013361128,-0.2527911,0.2975031,0.07081349,4.3995614,0.005477225,0.013441187,-0.008925894,0.38012582,0.00082644884,0.33284208,0.124223515,0.21466485,0.12333179,0.07904718,0.41968203,8.835187,4.2955194,0.05429929,0.19869503,0.018216362,0.04800547,0.00069589214,0.96639454,0.016490795,0.00030422184,0.52900237,0.74576354,0.06524881,0.056123387,0.0341061,0.0,7.882671e-05,0.03196916,-0.00044709523,0.10240452,0.00319125,1.1793339,0.0015728393,0.0007180621,0.00017243343,0.6526507,0.004606436,0.7805286,0.016388565,0.39208037,0.20446049,6.158337e-06,0.10597635,0.31770125,2.4633348e-06,0.7090377,0.0,0.047397025,0.08160535,0.0006133704,1.8388658,0.07188134,0.34982678,0.68431324,0.0007291471,0.00033131853,0.034011263,-0.14993456,0.01920662,0.03148511,0.16015986,0.13426651,0.0,0.234055,0.4801064,0.10270136,0.0,0.29812264,-0.00042123024,100.0,-0.0037060876,0.11244384,0.18297036,2.1453736,0.0,0.019854479,1.337948,0.10746422,0.08706287,0.069858946,-0.00034979355,-3.6950023e-06,0.828369,20.567022,0.03337326,-0.010414979,0.038354125,0.027054807,0.011645416,-0.007880208,0.17373285,0.12401906,0.0005197636,0.010531989,0.55042356,0.15655233,0.0034967037,0.0071239644,0.1639066,0.042552877,0.9829506,0.016425516,0.0,0.025862552,0.86157596,-0.012087584,0.6803793,0.018419588,0.018093193,0.049931798,0.00073284213,0.030576143,0.017957712,0.5017641,0.0,0.20980963,0.15100242,2.3355532,0.08987723,35.25679,0.06664059,1.2316674e-06,0.00033994022,2.6503794,0.6162919,0.0013412858,0.00065647875,-0.020921104,0.12437131,0.3233595,0.028231049
1859,0.10265243,0.2296148,0.05112425,0.0001856915,-3.1350515e-05,0.422084,0.032358553,-0.00043528984,0.35318163,0.12560825,0.1341561,0.04418855,0.13732128,-0.18374656,0.012554675,0.45441246,0.082137145,0.0,7.355313e-05,0.15822485,1.3091625,0.006784975,2.064276,1.0758278,0.0016157574,0.0012516091,-0.017591255,0.011165607,0.024142308,4.0452704,0.10345911,0.41528222,6.29379,8.719175,0.45696512,0.65261763,0.15031245,0.0,0.902058,0.0012672843,0.00082114234,0.07708126,0.10422238,0.018975502,0.3640844,0.6641595,0.00051246036,0.0028155174,0.33802608,0.021596888,0.15300018,-0.11602464,-0.016474696,0.00997067,0.79655147,0.4958,1.2132602,0.59477717,0.0030602925,0.43160138,0.0,0.18753396,-0.30647898,0.2923689,0.06364757,4.3896956,0.005377819,0.013084017,0.11339481,0.37375,0.0008030555,0.3045148,0.0682573,0.22970401,0.11837352,0.074702255,0.40176287,9.064836,4.027715,0.03712504,0.19452873,0.017773332,0.046343297,0.0006306276,0.9229194,0.013084017,0.0002749199,0.5831148,0.7317608,0.064149186,0.055125058,0.03507158,0.0,5.6672085e-05,0.026136683,-0.0004425246,0.08002099,0.0031278168,1.2131757,0.0015096478,0.0006800651,0.00013022522,0.6704717,0.004542208,0.7742528,0.015639083,0.3860309,0.2000428,6.0289453e-06,0.10081722,0.3709453,2.4115782e-06,0.68821377,0.0,0.04667489,0.080594935,0.00056430924,1.8501409,0.07018054,0.3294505,0.65582144,0.0006740361,0.0001446947,0.032850515,0.27053082,0.018542623,0.030443761,0.15681526,0.10872962,0.0,0.21770883,0.47098482,0.099060394,0.0,0.2866305,-0.00043528984,100.0,-0.004573558,0.09490163,0.27324384,2.082587,0.0,-0.13837273,1.3134744,0.11693742,0.0857931,0.06824645,-0.0003653541,-3.6173672e-06,0.8134397,19.825296,0.032704618,-0.010366168,0.037091278,0.026282584,0.029498423,0.026436925,0.17877753,0.15817782,0.0005100488,0.010220269,0.54518664,0.15287477,0.0038742002,0.0069489623,0.16167581,0.040813547,0.98417467,0.016414408,0.0,0.025262486,0.86578435,-0.012854917,0.6959935,0.01806272,0.017728714,0.04753582,0.0007150329,0.03002897,0.017629841,0.49181244,0.0,0.22002034,0.13977388,2.3332393,0.090952665,35.818295,0.06532965,1.2057891e-06,0.000331592,2.54926,0.64022934,-0.0006885056,0.00062701036,-0.020693751,0.12348968,0.31543198,0.027777761
