Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATA,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1850,0.0,3616395.5,4762714.5,0.0,753547.44,14903.32,-403.03998,25354696.0,664790.7,0.0,26967.04,34206700.0,4586824.0,2542587.8,1201434.8,13896233.0,-1770444.8,0.0,275560.28,16950076.0,2516389.2,119.08,2299.1602,2601082.8,30477734.0,145195.16,0.0,14802138.0,30416704.0,21223.719,36218.64,380130.84,363047.44,828567.75,62662750.0,2992114.0,7157081.5,173548110.0,46780296.0,1774081.2,20515542.0,3334753.0,2995.32,32415378.0,10598.12,888.52,2183148.8,2746992.5,0.0,0.0,207721.31,6941036.0,39867084.0,15196.439,24255.68,5742972.0,555215.06,1201434.8,8683295.0,33919.48,89081.0,15457005.0,8108367.0,23599074.0,16925492.0,1620981.0,45566090.0,0.0,55344.723,1129995.9,137311700.0,6196555.5,909798.7,42059524.0,49518.96,252687.75,-79856.88,4174578.5,8189.04,0.0,7977673.0,5392711.5,0.0,7765930.5,2052875.0,2304674.2,8212004.0,78895096.0,127221640.0,4840620.5,4266361.5,331747.72,586633.9,79160.73,9417158.0,517695.75,13620.92,13981861.0,26210512.0,1367551.4,1800257.2,1418975.6,0.0,6329.56,3037593.2,-5321.96,3358569.0,56801.16,14507782.0,-4598.3203,9975.239,7062.36,11638769.0,100329.484,13562078.0,324172.4,6932075.0,0.0,2303529.2,2851431.2,10097736.0,73.28,15673272.0,0.0,681412.44,410826.0,17229.96,40705150.0,1054077.9,14311117.0,7688473.5,76705.836,0.0,10213.4,843700.1,13992752.0,-70632.766,0.0,1486713.8,5442826.0,6469919.0,925.16003,8536955.0,9972464.0,3355491.2,0.0,18357116.0,-2033.5201,0.0,2834818800.0,4990038.5,2557179.0,6420912.5,39163252.0,0.0,-2893332.5,32541640.0,2923478.2,1604511.4,2029104.9,-229.0,0.0,-210.68,12959384.0,328179460.0,886633.06,-1595543.9,731517.6,418483.78,324941.84,0.0,623860.1,1791980.0,2886178.8,3169.36,0.0,6752889.5,4602671.0,48346.48,194961.44,3773297.2,639789.4,23596718.0,163698.36,0.0,0.0,1311611.2,0.0,4466150.5,52670.0,10736381.0,814804.94,3228057.5,1055570.9,32939.36,549957.2,208573.2,8711728.0,0.0,0.0,4765380.0,3858512.5,40989950.0,5011087.5,766010430.0,4083029.5,4561.6797,29833130.0,0.0,28181410.0,99963.08,0.0,167664.64,-197764.4,1182125.5,8042480.0,341365.72
1851,0.0,3655627.8,4451714.0,0.0,769009.44,13712.52,-320.6,26289392.0,656506.3,0.0,16204.04,35726788.0,4519535.0,2523369.5,1201288.2,14663164.0,-1784349.6,0.0,271520.72,14774348.0,2240224.5,119.08,2363.28,2529341.8,30100430.0,253539.66,0.0,19976310.0,38869572.0,20298.559,23834.32,775302.44,365282.47,702013.25,87397140.0,2963287.5,6440594.5,172725490.0,60663996.0,6645159.0,16603177.0,2701916.0,3059.44,31941884.0,10607.28,989.28,2004189.6,2460944.0,0.0,0.0,221259.8,6877383.0,40211320.0,15187.28,26335.0,5831659.0,509195.25,1147894.5,-664906.06,2738.84,93065.6,14653518.0,8019314.0,23214124.0,15793242.0,1995075.5,42445900.0,0.0,55866.84,1184543.8,129722120.0,6143529.5,743856.1,52155372.0,52120.4,298973.22,960746.6,4184178.0,7786.0005,0.0,9295229.0,-2034509.4,0.0,7672095.0,1999911.9,1773082.9,7817245.0,124983656.0,98598696.0,4318940.0,4262697.5,336639.16,580377.56,79023.32,10578188.0,58871.32,13602.601,10786807.0,26404910.0,1132441.6,1791311.2,1373743.5,0.0,4332.68,3121544.8,-5257.84,2873766.8,57524.8,17111246.0,-3673.1602,10396.601,6732.6,11097056.0,103691.2,13445864.0,314801.72,6857954.5,0.0,2303731.0,2756720.5,9682212.0,73.28,15455778.0,0.0,675623.3,496343.78,15068.2,44656108.0,1069961.2,13536841.0,8321933.5,76009.68,0.0,13300.319,798294.0,-5444603.0,-74873.836,0.0,1425305.1,4459646.5,6490583.5,925.16003,8402120.0,9947366.0,3097811.2,0.0,17165052.0,-2381.6,0.0,3017812500.0,5024589.5,2474638.2,2182599.0,49844140.0,0.0,3815057.5,33288602.0,2886288.5,1605674.8,1753846.9,-595.4,0.0,-201.51999,12881131.0,401397980.0,875540.25,-1476756.9,703680.4,428770.44,271136.0,0.0,55427.16,2358416.0,3056792.8,1868.64,0.0,6872638.0,4600573.5,-3123.56,185096.12,3623210.5,661168.75,23597946.0,164000.64,0.0,0.0,1316182.1,0.0,7321798.5,43116.12,10765079.0,791707.94,3248355.8,829117.4,33030.96,509460.88,215653.89,8353764.0,0.0,0.0,4680705.5,3757111.5,42817660.0,5711901.0,817281340.0,4094529.0,4662.44,40330956.0,0.0,28759028.0,-17165.84,0.0,128661.35,-196399.56,1289398.2,8053380.0,345524.38
1852,0.0,3691498.5,4245825.0,0.0,788804.25,12924.76,-229.0,27067368.0,651101.94,0.0,10460.72,29947228.0,4881602.0,2509583.5,1201801.1,15605737.0,-1801048.4,0.0,257670.8,14755157.0,2039794.6,119.08,2409.08,2589074.0,30152184.0,178308.56,0.0,22894990.0,26264120.0,19803.92,42520.723,854563.9,366940.47,686615.3,99810860.0,2964982.0,6714611.5,161629800.0,69016860.0,-1283792.4,21091632.0,4774384.0,3105.24,23377548.0,10570.641,1035.08,2170810.0,2345995.0,0.0,0.0,229567.92,6857689.0,42296656.0,15150.641,27049.48,5984347.0,540467.5,1115239.1,7608003.0,-23019.08,86955.88,14157604.0,7931854.5,22965036.0,16007494.0,665950.3,42008380.0,0.0,56379.797,-570970.3,127226230.0,6088743.5,758805.25,60330150.0,53521.88,332617.94,-1080980.8,4183299.0,7584.48,0.0,7965600.0,2528508.2,0.0,7545568.5,2086611.5,1996220.5,7306510.5,133439496.0,84243704.0,3523348.2,4261644.0,341017.66,573370.2,78849.28,11430306.0,233699.08,13602.601,9809627.0,26447448.0,1085744.0,1786071.8,1354571.6,0.0,3315.92,2970368.2,-5184.56,2568647.2,58266.76,19197272.0,-2995.32,10359.96,6439.48,10608196.0,105303.36,13466309.0,315094.84,6788265.5,0.0,2304967.5,2706102.0,9681845.0,73.28,15637750.0,0.0,673763.8,530528.9,12878.96,45003804.0,1127660.1,13663459.0,8348909.0,74919.64,0.0,10130.96,747117.1,17745512.0,-80049.24,0.0,1369300.9,4169641.0,5609364.0,925.16003,8853781.0,9906797.0,2975855.0,0.0,17762678.0,-2647.24,0.0,3064387000.0,5047829.0,2642385.2,6349473.5,41713616.0,0.0,-1607882.4,34495836.0,3240945.5,1574833.0,1647847.4,-851.88,0.0,-192.36,13014738.0,385777380.0,889774.94,-1342224.0,686505.4,430190.25,665638.9,0.0,171447.72,2654733.0,3595730.5,595.4,0.0,6965804.5,4597853.0,24631.24,180964.95,3593303.0,703588.75,23792496.0,166134.92,0.0,0.0,1320478.1,0.0,9254183.0,27699.84,14340887.0,775952.75,3265640.8,820845.94,33085.918,490756.2,219775.88,8017922.0,0.0,0.0,4681776.5,3655875.0,44392656.0,6222296.5,861058240.0,4105969.8,4717.4,40099280.0,0.0,28783962.0,67600.8,0.0,112127.56,-194246.95,1366781.9,8069621.5,338562.75
1853,0.0,3726324.5,4051183.8,0.0,800822.2,12274.4,-146.56,27880312.0,646998.3,0.0,6677.64,34213160.0,5164518.0,2499342.8,1200766.1,16308684.0,-1817573.0,0.0,239882.08,13948601.0,1906196.0,119.08,2464.04,2648156.0,29792598.0,290756.72,0.0,24714870.0,25716388.0,19529.12,110762.72,585232.4,368268.62,621176.25,73543190.0,3119071.8,6791128.0,176107840.0,75344190.0,1190012.2,3450242.2,-327405.88,3169.36,28162118.0,10524.84,1053.3999,1840015.0,2291786.2,0.0,0.0,235650.17,6743610.5,43357310.0,15132.32,27947.16,6104151.0,576640.3,1099786.2,12859339.0,-45039.72,82586.555,13967387.0,7937442.5,24209166.0,16075497.0,337225.4,43724692.0,0.0,56901.92,96949.445,126641770.0,6122049.5,757687.75,63958030.0,54190.562,334843.78,-481632.8,4181256.0,7447.08,0.0,7660425.5,823749.6,0.0,7647812.5,2084678.5,2209621.0,6819574.0,149553300.0,76633450.0,3441732.5,4262477.5,345020.56,566014.75,78638.6,10918409.0,365035.16,13666.721,9603215.0,26570018.0,1104173.9,1784954.2,1351136.6,0.0,2647.24,3199670.5,-5129.6,2305691.2,59054.52,19185528.0,-2399.9202,10607.28,6695.96,10429548.0,108088.0,13418493.0,322651.84,6829842.5,0.0,2306039.2,2646809.5,10401711.0,73.28,15638180.0,0.0,667132.0,544424.56,11514.12,47372680.0,1177380.5,14943093.0,8895716.0,73637.24,0.0,9984.4,748536.9,30412802.0,-86488.72,0.0,1316493.5,4300949.5,4494189.5,925.16003,9570707.0,9936997.0,2900358.2,0.0,16077340.0,-2894.56,0.0,3122161000.0,5053068.0,2852598.0,10791616.0,58464176.0,0.0,-5257116.0,34928188.0,3293514.8,1551108.5,1592695.0,-1090.0399,0.0,-174.04,13069158.0,390304900.0,874331.2,-1223840.1,671592.9,426599.53,351533.3,0.0,-289043.78,2873739.2,3799082.5,-375.56,0.0,7072069.5,4581035.0,-8207.36,182284.0,3581624.0,696902.0,23748426.0,162919.77,0.0,0.0,1324352.8,0.0,10470128.0,10286.68,14863419.0,767030.94,3281478.2,754243.56,33168.36,484976.2,221800.23,7725544.0,0.0,0.0,4581676.5,3583080.5,45515920.0,6650187.5,865332000.0,4116494.8,4754.04,49030776.0,0.0,29095860.0,54621.08,0.0,101749.28,-192295.88,1408395.9,8170445.5,337820.78
1854,0.0,3760235.0,4026864.2,0.0,806629.6,10927.88,-82.44,28698600.0,643719.0,0.0,3920.4802,34400480.0,4997723.5,2492078.8,1199767.8,17780650.0,-1833209.1,0.0,222468.92,13711008.0,1767284.6,119.08,2519.0,2604682.8,30125702.0,200887.95,0.0,25948028.0,28271214.0,19281.8,87881.04,1101316.0,369496.1,673040.2,59772612.0,2889531.2,8166830.0,155673870.0,77518180.0,1091331.6,10933137.0,2039528.9,3224.3198,24801836.0,10479.04,1053.3999,1899609.9,2243183.2,0.0,0.0,240935.48,6681734.5,46151440.0,15114.0,28203.64,6365870.0,576338.06,1087539.4,-7556698.0,-64587.164,85508.59,13581926.0,8049322.5,23238242.0,16260145.0,593458.06,46631964.0,0.0,57396.56,214829.47,150774850.0,6059459.0,688016.75,67352536.0,54621.08,380506.38,-87844.4,4181201.0,7328.0,0.0,7800619.5,1366076.6,0.0,7023210.0,1986382.5,2147104.0,6361180.5,172863490.0,72181070.0,3646009.8,4263934.0,348757.84,558604.25,78427.92,9684658.0,348739.53,13721.681,10429228.0,26595584.0,1076739.6,1785668.8,1345503.2,0.0,2161.76,3229064.8,-5083.8,3357836.0,59787.32,21127504.0,-1914.44,10515.68,5807.44,10761690.0,110020.76,13648162.0,326004.4,6898432.5,0.0,2306991.8,2594414.2,10001034.0,73.28,15529159.0,0.0,662460.3,548793.94,10341.64,46998450.0,1199749.2,15787315.0,8484020.0,72272.4,0.0,5212.04,742225.6,13217330.0,-94137.32,0.0,1265334.9,3800520.8,4517226.5,916.0,11555935.0,9967069.0,2844106.8,0.0,15938923.0,-3132.72,0.0,3169101300.0,5080896.5,2525064.0,4141776.2,43864856.0,0.0,-2719659.0,35505224.0,3005725.8,1543203.5,1560433.5,-1328.2001,0.0,-164.88,12557673.0,424823700.0,873222.75,-1121495.4,644561.7,422276.0,270137.56,0.0,-60657.52,2928122.2,3152093.5,-1273.24,0.0,7034147.0,4581813.5,85884.16,182751.16,3483035.2,673012.7,23918848.0,157066.52,0.0,0.0,1327668.6,0.0,11486576.0,-6503.6,13751999.0,761159.4,3296473.2,732580.1,33269.12,481623.62,223192.56,7454041.5,0.0,0.0,4515669.5,3555921.2,46645076.0,7038031.0,898618050.0,4126314.5,4781.52,46865188.0,0.0,29074902.0,74754.76,0.0,94192.27,-190601.28,1449771.6,8058373.0,343554.97
1855,0.0,3793147.0,4079396.8,0.0,810458.5,9947.76,-27.480001,29477394.0,641677.06,0.0,1822.84,35338490.0,5357839.5,2495391.5,1201141.6,17601424.0,-1848112.5,0.0,205953.45,13549536.0,1643386.4,119.08,2528.16,2591501.5,29708120.0,287724.75,0.0,27145870.0,34246960.0,19089.441,278747.97,467462.28,370631.94,640641.25,55875452.0,3118531.0,5525255.0,156292910.0,79803030.0,-5476361.0,10967671.0,1924323.6,3288.44,26013182.0,10433.24,1062.56,1928326.5,2205865.5,0.0,0.0,245607.08,6633891.5,49105660.0,15095.681,28414.32,6298617.5,595079.4,1076464.9,15830211.0,-82174.36,86644.44,13287157.0,8040481.0,23677996.0,16140250.0,-3947.96,48610572.0,0.0,57891.2,-1627530.4,140379090.0,6012801.5,560857.6,69093560.0,54895.883,365364.9,-2280345.5,4180944.5,7245.56,0.0,7853747.5,2496979.5,0.0,6607658.0,2013734.2,2257344.5,5621437.0,166802380.0,67424216.0,3298589.2,4265674.5,352421.84,550809.1,78162.28,10765712.0,391177.8,13767.4795,12234765.0,26734286.0,1054618.2,1788683.1,1344394.9,0.0,1767.88,3244215.5,-5038.0,2338410.5,60456.0,23438050.0,-1419.8,10433.24,6118.88,10637417.0,111660.41,13702320.0,318493.2,6862635.5,0.0,2307651.2,2548897.5,9628177.0,73.28,15953349.0,0.0,657568.94,549068.75,9306.561,48082536.0,1206152.1,15671065.0,8106279.0,70843.44,0.0,10433.24,715588.3,23910322.0,-100778.32,0.0,1207929.2,3658156.0,3990306.5,906.84,9919355.0,9985921.0,2787433.8,0.0,16053826.0,-3352.56,0.0,3137958000.0,5099472.5,2575352.2,6502583.0,46152716.0,0.0,165301.36,36562884.0,3077549.5,1527512.5,1543084.4,-1538.88,0.0,-174.04,12174171.0,362113730.0,868432.1,-1033037.3,617182.44,417421.2,654573.6,0.0,-311247.62,2994266.5,2949895.5,-2088.48,0.0,6995501.0,4565353.0,14188.841,187477.72,3398726.5,704568.9,24141254.0,153329.23,0.0,0.0,1330233.5,0.0,12350364.0,-22451.16,14876344.0,756477.94,3313534.5,906116.4,33388.203,478536.72,223980.31,7198349.5,0.0,0.0,4477591.5,3505605.2,47518236.0,7380212.0,909089150.0,4143803.5,4809.0,40216696.0,0.0,29256784.0,41458.16,0.0,88329.875,-189034.92,1488408.4,8036865.0,340458.88
1856,0.0,3824959.5,3939991.0,0.0,818262.8,9169.16,18.32,30364666.0,638525.3,0.0,164.88,29662632.0,5927170.0,2485740.0,1199547.8,17785752.0,-1862026.5,0.0,190592.12,13501739.0,1534006.9,128.24,2555.6401,2635322.8,30074404.0,188173.89,0.0,28185338.0,38890216.0,18961.2,-142263.97,2069216.5,371657.84,667306.0,59887276.0,2945343.0,6934779.5,150647970.0,81346310.0,-616852.7,11650851.0,2750537.2,3343.4001,25238744.0,10405.76,1062.56,1978037.9,2558746.8,0.0,0.0,249765.72,6515600.0,51061760.0,15086.52,28899.8,6593468.5,595592.4,1066636.1,2073796.5,-98112.76,89145.12,13173033.0,8047408.5,23238766.0,16444765.0,1277160.5,48237080.0,0.0,58367.52,-232288.44,148136240.0,6112468.0,526489.3,68900230.0,55069.918,361874.97,-728055.1,4181906.5,7181.4404,0.0,7312199.0,2229544.0,0.0,6493615.5,2048927.1,2275600.5,5581215.5,178576510.0,66123864.0,2865550.2,4267662.5,356021.72,543407.9,77905.805,11585146.0,375440.94,13831.6,10832414.0,26785762.0,1045110.2,1788920.5,1358263.1,0.0,1447.28,3336731.5,-5010.52,2251409.0,61078.88,21877938.0,-1007.6,10579.8,5871.56,10435833.0,113098.516,13577446.0,319161.88,6888173.5,0.0,2308109.2,2508905.8,9230404.0,73.28,15741652.0,0.0,653904.94,545239.8,8390.56,49713796.0,1227779.0,14893629.0,8582361.0,69396.164,0.0,6448.6396,750716.94,10896497.0,-99697.44,0.0,1158721.6,3537042.2,3978041.5,897.68005,10187056.0,9997590.0,2750271.8,0.0,12773364.0,-3544.92,0.0,3246197500.0,5115264.5,2439766.0,7104442.0,39983636.0,0.0,-7228705.5,36886556.0,3056765.2,1520825.6,1507433.8,-1740.4,0.0,-164.88,12154972.0,439683800.0,877179.9,-956496.3,609304.9,412419.84,362708.53,0.0,569614.56,3077109.5,2871202.0,-2839.6,0.0,7127689.0,4558849.5,59659.08,183887.0,3332600.5,732552.7,24404080.0,152596.45,0.0,0.0,1332367.8,0.0,13093597.0,-37372.8,14160078.0,750204.0,3324219.0,852548.7,33525.6,476228.4,224557.4,6975285.0,0.0,0.0,4423803.5,3479618.2,48148292.0,7724505.0,937004100.0,4142766.0,4818.16,52863108.0,0.0,29642960.0,11275.96,0.0,83621.64,-187706.72,1524086.6,8077663.5,339808.53
1857,0.0,3856873.0,4002663.2,0.0,838652.94,8408.88,64.12,31235320.0,636528.44,0.0,-1190.8,37417630.0,6526280.0,2486253.0,1198796.6,18485374.0,-1875015.4,0.0,176449.08,13343354.0,1455340.8,128.24,2619.76,2666998.2,29654906.0,222734.55,0.0,28941908.0,38834170.0,18832.959,1236.6001,-463560.1,372628.8,656753.7,78211190.0,2721188.5,7331022.0,143566080.0,83743896.0,3750745.2,5701147.5,1580896.9,3407.52,26270242.0,10369.12,1053.3999,1922812.2,2512076.2,0.0,0.0,253484.67,6444518.0,52108548.0,15059.04,29202.08,6630823.0,618684.75,1057650.2,8784751.0,-112631.36,82888.836,12959486.0,8085193.0,23286754.0,16265906.0,1198659.2,47126388.0,0.0,58853.0,309608.0,144857060.0,6041615.5,726800.2,71590200.0,55079.08,363413.8,411751.16,4183701.8,7117.32,0.0,7699657.5,2463481.2,0.0,6206779.5,2102989.5,2384448.8,5582333.0,168967460.0,61849492.0,2713265.2,4269833.0,359530.0,535896.6,77631.0,11254846.0,438901.4,13886.56,12751041.0,26846174.0,1028402.4,1791677.6,1362302.8,0.0,1172.48,3262178.2,-4983.04,1952802.1,61646.8,22431732.0,-1254.92,10634.76,5395.2397,10546733.0,113263.4,13818913.0,316816.9,6918072.0,0.0,2308329.0,2462858.2,11054737.0,73.28,15964823.0,0.0,653071.4,540549.94,7584.48,46293212.0,1252877.2,11544806.0,8439621.0,67939.72,0.0,1850.3201,712657.2,30606336.0,-109736.8,0.0,1096534.4,3384583.5,4080440.8,897.68005,9782990.0,10035888.0,2673117.0,0.0,15251052.0,-3746.44,0.0,3231289600.0,5143743.0,2416637.0,6572234.0,49305990.0,0.0,-2232878.2,37363540.0,3479966.5,1508166.5,1481199.5,-1941.9199,0.0,-155.72,12133153.0,367673060.0,874248.75,-890177.94,582859.94,407097.88,298542.72,0.0,61069.72,3138903.0,2959055.5,-3572.4,0.0,7074378.0,4551192.0,47091.56,185160.25,3267994.8,763907.4,24525030.0,152587.28,0.0,0.0,1334401.4,0.0,13737774.0,-51296.0,15269903.0,745779.7,3337327.0,771702.5,33681.32,474533.78,224987.92,6739369.0,0.0,0.0,4398247.0,3457396.2,48766080.0,8014548.5,948264900.0,4149928.8,4818.16,49729710.0,0.0,29512348.0,1300.72,0.0,79792.76,-186543.4,1555716.0,8038422.0,342364.16
1858,0.0,3887632.2,3855242.5,0.0,844167.25,7657.76,100.759995,32129064.0,635820.4,0.0,-2317.48,37252750.0,8901871.0,2484301.2,1198128.0,18845792.0,-1887079.1,0.0,163487.69,13313346.0,1360406.5,128.24,2619.76,2655951.0,30130394.0,186543.4,0.0,29962516.0,36375692.0,18695.56,56059.203,1010870.1,373489.84,677895.0,91938110.0,2854998.0,9936062.0,150433660.0,85392550.0,1650009.1,5585704.0,1440987.1,3471.64,20255926.0,10350.8,1044.24,2158737.2,2467087.0,0.0,0.0,256809.75,6343648.5,53963860.0,15049.88,29202.08,6399396.0,617237.44,1049250.5,7353685.0,-125904.2,84226.2,13034826.0,8194251.0,23147092.0,16106430.0,-137693.12,45189256.0,0.0,59320.16,233882.28,141309260.0,6015040.5,541566.7,73722990.0,55134.043,362781.8,-224557.4,4185387.5,7071.52,0.0,8690211.0,3490894.2,0.0,6081809.5,2065561.8,2344685.2,5231898.5,183122020.0,60819830.0,2637402.2,4271857.5,362983.3,528358.0,77337.875,11446886.0,399082.88,13950.68,12311800.0,26907598.0,1028494.0,1797537.0,1370345.1,0.0,943.48004,3379820.2,-4964.72,2374510.0,62196.4,22625980.0,-3004.48,10506.5205,5376.92,10561837.0,113922.92,13814029.0,308646.22,7014100.5,0.0,2308347.5,2431772.5,9523670.0,73.28,15917964.0,0.0,651184.44,535282.94,6860.8403,48489660.0,1285377.0,15512918.0,8344677.5,66474.12,0.0,10506.5205,701216.3,-4891202.0,-113281.72,0.0,1038395.94,3335540.8,4094501.5,879.36005,9142147.0,9933553.0,2682304.5,0.0,15322087.0,-3929.6401,0.0,3259337200.0,5145923.0,2597730.2,4121329.2,46697524.0,0.0,2238951.5,38153280.0,3145855.5,1500417.1,1460159.0,-2152.6,0.0,-155.72,11796010.0,369550460.0,869980.1,-832671.5,568890.94,402160.62,253164.1,0.0,-232059.44,3187973.0,3230686.2,-4286.88,0.0,7037408.0,4548196.5,29495.201,185691.52,3224503.2,777739.0,24402598.0,151469.77,0.0,0.0,1336462.4,0.0,14310503.0,-64239.082,13115884.0,744081.44,3354083.0,745669.8,33855.36,473141.47,225299.36,6525611.5,0.0,0.0,4374559.5,3584784.2,49711228.0,8336898.0,977733760.0,4169088.8,4809.0,49402804.0,0.0,29119146.0,54657.723,0.0,76660.04,-185535.8,1581968.6,8076793.5,339103.2
1859,0.0,3917585.5,3928944.0,0.0,840942.94,7190.6,137.4,32917656.0,634264.0,0.0,-3288.44,33601756.0,7411860.0,2470896.5,1197734.1,18655998.0,-1898336.8,0.0,151643.81,13153073.0,1269191.2,128.24,2674.72,2603464.2,29928132.0,174259.84,0.0,30704614.0,25606196.0,18530.68,32719.52,-557926.44,374305.1,619096.94,104191200.0,2634626.5,8815022.0,143235800.0,86230150.0,13580314.0,17731864.0,4129566.2,3526.6,23116614.0,10314.16,1044.24,2023297.4,2427408.8,0.0,0.0,259832.56,6297784.0,51548044.0,15031.56,28276.92,6692909.5,622431.2,1041299.7,-5191018.0,-138050.38,103214.88,13281377.0,8294153.0,23490830.0,15510939.0,276146.5,43220656.0,0.0,59787.32,5528894.0,155096320.0,6054154.5,449774.3,75330220.0,55198.16,364183.28,3423998.8,4189957.8,6989.0796,0.0,8257026.0,1944649.8,0.0,6351425.0,1949971.6,2294836.5,5602640.5,192724380.0,57759068.0,2219349.0,4273937.0,366400.0,520297.16,77044.76,10591460.0,313968.16,14023.96,14285294.0,26988162.0,1024610.1,1801056.5,1400921.2,0.0,751.12,3220170.5,-4946.4004,2114915.8,62691.04,24793462.0,-5147.92,9801.199,4213.5996,10986294.0,114655.72,14072444.0,294448.2,7050312.5,0.0,2307880.2,2402944.8,10646640.0,73.28,15894817.0,0.0,646173.9,529154.9,6201.32,49472676.0,1260800.8,15213074.0,8033237.5,65008.52,0.0,5899.04,700327.8,7734393.0,-120206.68,0.0,984232.9,3295365.0,3682091.0,870.2,8587684.0,10017495.0,2619613.5,0.0,15390595.0,-4103.68,0.0,3340185300.0,5162860.0,2290888.5,6778493.5,46460336.0,0.0,-2521262.5,37987764.0,3520655.2,1486567.2,1449982.1,-2354.1199,0.0,-146.56,11686777.0,359568130.0,868899.3,-782722.0,575202.25,397589.8,479232.88,0.0,815166.75,3375331.8,3847914.5,-4964.72,0.0,7086048.0,4539201.5,43125.28,183969.44,3232820.5,736848.75,25155952.0,154373.48,0.0,0.0,1338706.5,0.0,14802532.0,-76284.48,13958860.0,741575.0,3366588.2,736161.7,34038.56,471969.0,225537.52,6333902.0,0.0,0.0,4618710.5,3463826.5,50399384.0,8538698.0,1019659970.0,4176044.0,4772.3604,48471000.0,0.0,29791884.0,-4351.0,0.0,74122.72,-184610.64,1606261.0,8065829.0,342446.62
