Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,34.911083,224421.52,513460.06,0.0,45209.605,1031.9362,23541.578,701841.94,76212.79,2188.0183,9214683.0,353882.53,242394.89,38413.99,518132.97,41221.582,117371.01,2247513.2,273485.5,836.77747,4516.8047,61638.36,2505458.0,1914.6425,49711.0,1229669.2,3372.8333,2074.3203,19415.299,138651.44,252494.7,3488270.5,243974.52,138296.77,5828060.5,71163.22,138445.69,555731.56,61417.082,340.1113,210270.55,2070.4006,1929.3813,21359.738,148717.55,15900.003,494293.9,4353143.0,4782.377,316.74557,526400.6,76520.46,89586.8,43552.383,274744.8,60389.387,1136416.5,280157.53,1080681.5,496183.84,22174.525,3003006.8,121.84585,13021.425,3260712.0,137268.53,113054.67,147053.08,8199.113,23032.676,1096.9572,343339.56,206.59534,46412.17,11191.361,21502.643,27663.076,127079.54,46722.176,337344.22,862948.56,20571196.0,444779.22,516379.9,199035.06,31082.445,66091.41,1656970.8,32858.848,25330.236,2234140.0,1182773.0,320222.7,161033.94,88106.89,338.15378,253.51414,161369.48,28914.133,33166.176,33512.098,11296.633,38371.332,558.7721,676.5279,373967.5,31099.273,648243.7,43328.03,330988.2,523.8455,227933.2,152260.1,340507.34,139.27599,550860.2,0.0,41207.58,273569.03,3229.055,1700933.4,9808.573,314059.44,377767.06,113119.516,12299.931,33704.03,110434.12,163491.4,171694.53,666829.3,27918.697,19.736177,766948.4,290802.84,648790.1,23.261683,1853215.8,9634.86,144832180.0,2167190.0,21883.318,158962.02,332256.7,10033.451,39868.188,1536978.8,184841.78,219870.3,43327.723,14113.962,451139.3,10057966.0,70554.99,96887.5,350439.3,144507.6,18503.203,0.0,765.93896,40901.78,32460.346,232919.25,189354.52,648532.56,447.72342,7445.028,150562.8,56017.1,608734.06,22610.447,321.6025,72477.97,16.651445,267954.06,30217.646,365356.3,115147.19,251589.11,5260.5337,727.63055,18415.875,66653.73,1213718.6,73.3274,130942.48,491664.0,221566.11,3616059.8,101846.28,31481190.0,622272.3,412.25574,169376.77,0.0,285629.9,4504.661,2816.7314,114772.08,1252182.6,410317.12,179753.11
1851,35.634716,229096.17,523660.06,0.0,45993.004,1048.8676,23904.615,713272.0,77449.945,2215.9038,9404520.0,359712.03,246374.42,39099.445,526185.25,42049.523,119782.22,2293975.0,277992.9,849.21533,4566.3584,62649.21,2556830.5,1941.4385,50600.73,1248594.1,3415.1978,2110.8433,19804.566,141530.67,257718.36,3549268.0,248071.44,140469.56,5919000.5,72646.94,141037.12,566571.9,62627.438,346.54373,213948.69,2111.3796,1961.2135,21680.107,150876.89,16181.218,500951.03,4423669.5,4866.9736,321.1526,535847.25,77432.63,91300.016,44244.098,279926.6,61590.86,1155941.1,285572.84,1102530.9,505091.44,22600.043,3053651.2,124.39988,13220.082,3314324.0,139646.03,115363.1,149818.86,8365.867,23481.084,1116.2822,349795.03,210.23975,47066.43,11351.936,21821.428,28102.863,129111.336,47357.348,342756.4,878531.2,20986484.0,453604.78,526036.06,202912.19,31693.684,67160.05,1684396.5,33259.074,25828.29,2260487.5,1204698.8,326239.66,164008.95,89824.82,343.8199,257.15054,164177.05,29306.934,33802.098,34025.227,11508.931,39051.617,566.39874,687.30853,381394.56,31689.63,661345.25,43924.15,337430.4,529.649,232484.4,155113.7,347469.1,141.72855,558859.06,0.0,41982.633,279198.62,3281.8496,1736400.6,9973.404,320577.0,384837.12,115470.08,12491.452,34372.09,112245.8,166887.19,175231.34,677566.56,28351.564,20.149872,779985.94,295858.75,662040.06,23.749279,1891576.0,9808.538,147445380.0,2211360.8,22195.0,161425.27,337218.28,10143.245,40628.098,1560399.4,187301.92,224060.67,44206.4,14328.836,458515.97,10236712.0,71580.74,98421.09,357028.34,147475.45,18731.12,0.0,779.51794,41619.527,32927.586,237684.61,192718.1,661902.9,455.27844,7530.6484,152799.73,56965.055,618850.3,23031.197,325.85052,73904.305,16.931671,273445.6,30810.656,371750.84,117442.02,255846.75,5368.7427,742.7467,25110.604,67892.984,1237108.4,74.86443,132970.25,501389.97,225527.14,3683295.2,103731.01,32004852.0,633948.2,417.97894,171826.25,0.0,290509.1,4595.125,2872.2903,117124.55,1272174.1,418471.22,183030.5
1852,36.339806,233650.48,533609.25,0.0,46759.992,1065.4716,24261.332,724483.56,78663.58,2243.4917,9589521.0,365428.12,250276.94,39769.984,534095.4,42856.88,122132.15,2339249.0,282412.53,861.4516,4615.6953,63640.54,2606900.0,1967.8558,51471.01,1267190.8,3457.1345,2146.5847,20184.174,144336.0,262808.4,3608972.8,252086.3,142603.25,6008322.5,74092.41,143568.83,577150.5,63808.26,352.82614,217548.83,2151.3547,1992.4248,21995.188,153002.94,16456.38,507523.25,4492859.0,4949.749,325.49823,545086.9,78337.52,92972.75,44923.13,284987.88,62762.742,1175061.8,290858.78,1123833.4,513803.7,23015.47,3103275.2,126.88779,13415.35,3366896.0,141973.78,117613.2,152520.48,8528.423,23918.697,1135.1936,356100.88,213.806,47711.273,11510.1,22135.074,28534.568,131105.45,47984.203,348067.66,893769.44,21391394.0,462213.6,535469.7,206695.89,32290.05,68208.51,1711284.9,33655.758,26314.22,2286636.8,1226124.4,332117.25,166916.42,91501.31,349.37283,260.73242,166925.5,29694.605,34422.953,34529.547,11716.311,39717.22,573.9245,697.89044,388639.0,32266.154,674119.06,44512.207,343717.53,535.4245,236923.12,157901.45,354254.75,144.12863,566734.7,0.0,42739.72,284684.88,3333.6292,1770953.9,10134.931,326927.4,391744.12,117760.26,12679.581,35023.758,114022.45,170195.77,178678.05,688102.3,28776.82,20.552855,792757.7,300808.34,674955.2,24.224247,1928954.4,9978.388,150001220.0,2254418.0,22502.086,163845.27,342098.7,10252.568,41370.12,1583421.6,189731.77,228152.42,45063.023,14540.061,465750.75,10411587.0,72590.62,99932.11,363464.6,150367.9,18956.912,0.0,792.8037,42321.984,33387.758,242329.34,196008.89,674932.3,462.68106,7615.7163,155000.47,57893.805,628767.06,23442.309,330.04742,75295.914,17.206266,278797.9,31389.264,378009.66,119680.25,260018.12,5474.1987,757.47455,31804.35,69103.89,1259940.9,76.36167,134962.45,510877.8,229401.75,3748992.0,105572.85,32518174.0,645354.06,423.6229,174238.31,0.0,295288.12,4683.3403,2926.4934,119417.37,1291795.9,426424.7,186234.62
1853,37.01487,238009.98,543152.5,0.0,47500.434,1081.5457,24607.822,735341.56,79839.14,2270.5986,9766692.0,370960.56,254054.77,40416.367,541775.4,43630.914,124382.9,2382600.5,286690.12,873.36163,4664.68,64600.242,2654859.8,1993.6599,52309.83,1285256.1,3498.3794,2181.0615,20548.145,147021.67,267682.12,3666584.2,255968.33,144673.64,6095027.0,75476.0,146003.75,587305.7,64941.31,358.86554,221022.69,2189.7048,2022.6311,22301.71,155075.1,16721.746,513958.03,4559885.0,5029.5776,329.7445,553991.2,79230.63,94579.98,45581.62,289854.06,63886.727,1193528.2,295935.16,1144250.8,522199.62,23414.566,3151246.8,129.26863,13605.132,3417785.0,144220.97,119768.91,155118.28,8684.185,24338.828,1153.4353,362164.5,217.24574,48340.875,11664.364,22440.406,28953.197,133038.58,48597.598,353215.5,908450.56,21779508.0,470471.53,544543.4,210328.38,32862.332,69224.28,1737303.1,34046.7,26780.537,2312464.8,1246740.6,337769.22,169714.48,93110.73,354.74268,264.22604,169578.27,30073.965,35019.418,35019.598,11915.729,40359.047,581.28674,708.15045,395587.94,32820.285,686362.4,45087.207,349753.62,541.1548,241179.73,160582.5,360755.28,146.44379,574410.8,0.0,43467.703,289939.22,3383.7651,1804027.6,10291.107,333007.06,398387.28,119952.71,12862.217,35648.895,115742.42,173363.23,181978.89,698312.06,29189.76,20.938498,805099.2,305585.75,687328.4,24.67878,1964743.6,10142.039,152464220.0,2295671.5,22801.729,166195.25,346847.72,10361.136,42083.19,1605798.4,192112.6,232084.53,45883.945,14745.374,472755.88,10580197.0,73574.84,101406.57,369653.66,153138.31,19179.268,0.0,805.6151,42999.7,33836.5,246778.81,199181.88,687409.9,469.83698,7699.888,157142.61,58791.473,638360.9,23837.82,334.1616,76631.29,17.471748,283924.84,31944.562,384048.75,121826.83,264049.94,5575.1973,771.57416,38496.508,70268.88,1281871.5,77.79448,136897.08,519980.2,233136.48,3812198.0,107345.26,33014754.0,656322.8,429.13855,176589.83,0.0,299905.03,4767.9155,2978.5007,121613.625,1310818.9,434053.5,189320.12
1854,37.648445,242100.23,552134.44,0.0,48204.168,1096.8871,24940.172,745710.75,80962.08,2297.0403,9933040.0,376239.25,257660.25,41029.375,549137.4,44358.89,126496.55,2423294.5,290771.3,884.82074,4713.179,65516.25,2699904.0,2018.6166,53105.145,1302587.2,3538.6672,2213.7898,20890.494,149541.98,272256.88,3721302.5,259666.77,146656.52,6178113.5,76774.055,148304.97,596875.75,66008.305,364.56912,224322.02,2225.8083,2051.4482,22596.406,157072.81,16973.574,520202.97,4623920.0,5105.3325,333.8535,562432.1,80107.46,96096.65,46211.734,294450.5,64944.504,1211090.6,300722.0,1163444.9,530158.44,23791.086,3196934.5,131.50153,13787.332,3466346.2,146356.88,121794.1,157572.61,8830.557,24734.799,1170.7513,367893.3,220.5106,48949.41,11813.237,22734.242,29353.752,134887.4,49192.383,358137.47,922361.2,22144402.0,478244.47,553119.25,213751.83,33401.336,70194.875,1762118.5,34429.703,27219.736,2337849.2,1266238.1,343109.38,172361.39,94627.44,359.8594,267.59766,172098.75,30441.846,35582.18,35489.926,12104.142,40968.02,588.42316,717.96564,402128.3,33343.47,697872.3,45644.17,355442.6,546.8224,245184.66,163116.06,366861.78,148.64151,581810.94,0.0,44155.48,294872.94,3431.6296,1835056.5,10439.89,338712.66,404665.7,122010.07,13037.263,36237.36,117384.02,176335.61,185078.11,708070.9,29585.672,21.300175,816846.0,310125.2,698952.44,25.105062,1998336.0,10297.123,154798900.0,2334432.5,23091.084,168448.42,351415.2,10468.655,42756.24,1627283.2,194425.64,235796.02,46655.527,14942.518,479443.6,10740148.0,74523.59,102830.484,375500.94,155740.0,19396.873,0.0,817.7707,43643.21,34269.44,250958.39,202191.97,699124.7,476.65192,7782.823,159203.69,59646.184,647508.4,24211.766,338.16147,77888.93,17.724634,288740.22,32467.639,389784.2,123846.734,267888.78,5670.0366,784.8051,45186.46,71370.44,1302555.4,79.13825,138752.12,528549.7,236677.83,3871961.2,109021.695,33488200.0,666687.5,434.4769,178857.58,0.0,304297.78,4847.459,3027.4734,123676.4,1329014.1,441233.53,192241.67
1855,38.229053,245846.75,560400.1,0.0,48861.047,1111.2936,25254.473,755456.06,82017.83,2322.632,10085571.0,381194.0,261045.73,41599.766,556093.25,45028.07,128435.18,2460596.2,294601.84,895.70435,4761.058,66376.46,2741226.5,2042.4915,53844.94,1318981.0,3577.734,2244.2869,21205.254,151851.17,276449.94,3772327.2,263130.84,148527.69,6256581.5,77962.93,150435.48,605698.5,66990.984,369.84396,227398.53,2259.0447,2078.4924,22876.002,158975.45,17208.117,526205.44,4684138.0,5175.886,337.78717,570281.56,80963.51,97497.734,46805.613,298702.66,65917.77,1227499.0,305139.16,1181077.2,537559.2,24138.787,3239707.0,133.54553,13959.853,3511937.2,148350.66,123652.73,159843.73,8964.94,25099.928,1186.8855,373194.7,223.55223,49531.06,11955.2295,23013.404,29731.23,136628.6,49763.418,362771.12,935288.6,22479656.0,485398.25,561059.8,216908.44,33897.85,71107.82,1785398.6,34802.58,27624.324,2362667.0,1284307.6,348051.44,174815.28,96025.79,364.6531,270.8135,174450.39,30795.062,36101.906,35935.074,12278.507,41535.05,595.2712,727.21295,408147.22,33827.14,708446.2,46178.105,360688.66,552.4101,248868.28,165461.39,372465.34,150.68936,588858.9,0.0,44791.92,299397.4,3476.5942,1863475.0,10579.231,343940.62,410478.44,123894.98,13202.616,36779.008,118925.586,179058.95,187919.95,717254.25,29959.854,21.631256,827833.56,314360.88,709620.1,25.495285,2029124.4,10441.2705,156969780.0,2370011.5,23367.309,170578.05,355750.8,10574.836,43378.203,1647629.4,196652.19,239225.8,47364.117,15129.234,485726.06,10889044.0,75427.055,104189.89,380912.0,158126.33,19608.412,0.0,829.08905,44243.062,34682.203,254793.42,204994.17,709865.8,483.0316,7864.178,161161.38,60446.05,656086.06,24558.186,342.01538,79047.36,17.961437,293157.9,32949.586,395132.03,125704.945,271481.25,5757.0117,796.9274,51873.61,72390.984,1321648.0,80.36835,140505.6,536439.1,239972.36,3927330.0,110575.62,33932108.0,676280.9,439.58878,181018.48,0.0,308404.5,4920.579,3072.5723,125568.805,1346153.1,447840.66,194953.95
1856,38.745228,249175.08,567794.2,0.0,49460.92,1124.5623,25546.814,764442.3,82991.84,2347.1912,10221293.0,385754.6,264163.56,42118.312,562555.2,45625.723,130160.88,2493770.8,298127.3,905.8876,4808.182,67168.8,2778020.0,2065.05,54517.176,1334234.2,3615.3145,2272.0686,21486.44,153903.55,280178.7,3818858.8,266309.78,150262.97,6329429.5,79018.95,152358.33,613612.3,67871.086,374.59723,230203.98,2288.7927,2103.3792,23137.225,160762.45,17421.63,531913.0,4739710.5,5240.113,341.50754,577411.3,81794.266,98758.19,47355.414,302536.0,66788.22,1242503.2,309106.62,1196809.8,544281.1,24451.426,3278932.2,135.35973,14120.596,3553913.8,150171.55,125308.67,161892.02,9084.74,25427.531,1201.5822,377976.16,226.32227,50079.996,12088.849,23274.713,30080.639,138238.83,50305.555,367053.97,947019.56,22778854.0,491798.78,568227.5,219740.39,34342.68,71950.59,1806810.9,35163.12,27986.797,2386795.2,1300639.6,352509.22,177034.34,97280.14,369.05365,273.83987,176596.64,31130.441,36569.29,36349.598,12435.781,42051.047,601.76843,735.76935,413531.7,34262.746,717881.1,46684.023,365395.78,557.90063,252160.98,167577.72,377456.88,152.55486,595478.3,0.0,45365.906,303423.94,3518.031,1888717.6,10707.09,348587.56,415724.72,125570.08,13356.181,37263.703,120345.445,181479.31,190448.67,725737.6,30307.588,21.925114,837897.56,318227.0,719124.25,25.841637,2056501.0,10572.112,158941340.0,2401719.2,23627.559,172557.36,359804.5,10679.39,43938.016,1666590.4,198773.47,242312.89,47996.066,15303.265,491515.53,11024491.0,76275.43,105470.83,385792.34,160250.66,19812.574,0.0,839.3889,44789.79,35070.434,258209.3,207543.44,719422.25,488.88168,7943.6113,162993.2,61179.195,663970.5,24871.113,345.69174,80085.08,18.178673,297091.78,33381.49,400008.22,127366.43,274774.06,5834.4194,807.7007,58557.344,73312.984,1338804.5,81.46014,142135.44,543501.0,242966.56,3977351.8,111980.484,34340076.0,684936.0,444.42535,183049.34,0.0,312163.1,4985.8843,3112.958,127253.914,1362006.9,453750.75,197411.58
1857,39.18548,252010.77,574161.5,0.0,49993.645,1136.4908,25813.287,772534.4,83869.58,2370.5327,10337215.0,389850.88,266966.1,42575.777,568435.2,46139.11,131635.75,2522083.2,301293.56,915.24585,4854.4175,67881.19,2809479.5,2086.0579,55109.832,1348144.0,3651.1443,2296.6519,21728.076,155653.33,283360.4,3860097.0,269152.8,151838.14,6395658.5,79918.48,154036.53,620455.3,68630.34,378.73608,232690.08,2314.431,2125.724,23376.807,162413.22,17610.373,537273.1,4789812.0,5296.8857,344.97662,583693.2,82595.234,99852.96,47853.285,305875.88,67537.55,1255853.2,312544.25,1210303.9,550203.2,24722.762,3313979.0,136.90321,14267.466,3591633.0,151788.77,126725.87,163677.75,9187.359,25710.932,1214.5851,382145.0,228.77235,50590.387,12212.6045,23514.99,30396.975,139694.83,50813.65,370923.56,957341.2,23035568.0,497311.97,574484.56,222189.9,34726.61,72710.734,1826022.5,35509.145,28299.662,2410111.5,1314924.9,356396.44,178976.8,98364.87,372.99115,276.64304,178500.88,31444.812,36974.992,36728.04,12572.921,42506.938,607.85236,743.5118,418168.72,34641.727,725974.4,47156.93,369467.9,563.2766,254993.2,169424.23,381727.5,154.20552,601592.94,0.0,45866.32,306863.88,3555.3115,1910218.9,10821.419,352550.0,420303.6,126998.02,13495.855,37681.297,121621.92,183542.75,192608.5,733396.1,30624.174,22.175123,846873.4,321657.72,727257.8,26.136307,2079858.5,10687.28,160678140.0,2428866.5,23868.988,174359.58,363525.9,10782.026,44424.605,1683919.4,200770.75,244996.3,48537.734,15462.348,496724.2,11144093.0,77058.91,106659.29,390047.38,162066.31,20008.041,0.0,848.4889,45273.938,35429.75,261131.34,209794.73,727583.1,494.1079,8020.78,164676.81,61833.734,671038.3,25144.588,349.1589,80980.59,18.372862,300455.62,33754.44,404328.78,128796.14,277713.8,5900.556,816.8849,65237.055,74118.9,1353680.1,82.389015,143619.67,549588.0,245606.97,4021074.8,113209.766,34705710.0,692485.8,448.93744,184927.03,0.0,315511.72,5041.9834,3147.7913,128694.83,1376346.5,458839.75,199569.25
1858,39.538345,254279.34,579346.8,0.0,50449.062,1146.8763,26049.984,779597.0,84636.47,2392.4731,10430341.0,393412.66,269405.62,42962.938,573645.3,46555.492,132821.88,2544799.0,304046.2,923.65436,4899.6294,68501.52,2834798.0,2105.2812,55610.883,1360507.1,3684.9592,2317.5532,21924.184,157054.8,285912.4,3895241.5,271609.16,153229.03,6454266.5,80637.84,155433.08,626065.56,69250.49,382.16757,234808.58,2335.338,2145.1436,23591.473,163907.11,17770.598,542233.25,4833613.5,5345.0786,348.15652,588999.2,83361.914,100757.016,48291.375,308647.72,68147.43,1267299.2,315372.06,1221221.2,555204.56,24946.55,3344215.8,138.13506,14398.367,3624450.2,153171.52,127868.22,165161.27,9270.2,25943.445,1225.6385,385608.66,230.85414,51056.414,12325.005,23731.055,30675.242,140973.25,51282.555,374317.44,966040.4,23243380.0,501803.62,579693.4,224199.17,35040.453,73375.734,1842701.1,35838.445,28555.418,2432493.2,1326853.8,359626.88,180600.81,99254.32,376.3956,279.1892,180126.53,31734.992,37309.703,37064.945,12686.883,42893.625,613.46045,750.3174,421945.38,34955.52,732523.2,47591.848,372809.22,568.5207,257295.33,170960.17,385168.22,155.60892,607126.5,0.0,46282.03,309628.56,3587.8076,1927413.2,10920.174,355724.44,424114.28,128141.44,13619.541,38021.66,122733.36,185195.31,194343.69,740105.2,30904.902,22.374655,854596.7,324587.28,733813.5,26.371479,2098589.5,10784.404,162144690.0,2450764.2,24088.752,175957.95,366864.94,10882.456,44826.91,1699370.0,202625.31,247214.97,48975.48,15604.227,501264.3,11245455.0,77767.664,107741.33,393582.72,163526.67,20193.504,0.0,856.2076,45686.05,35755.785,263484.97,211703.02,734137.5,498.616,8095.342,166189.78,62397.797,677166.06,25372.643,352.38528,81712.41,18.540514,303163.38,34059.535,408009.88,129959.08,280247.2,5953.719,824.2398,71912.14,74791.18,1365930.0,83.13034,144936.3,554552.8,247840.12,4057546.8,114236.914,35022620.0,698763.2,453.07605,186628.38,0.0,318388.28,5087.4854,3176.2332,129854.625,1388943.2,462983.53,201381.62
1859,39.792347,255906.36,583195.1,0.0,50817.023,1155.5167,26252.99,785495.1,85277.96,2412.8281,10497680.0,396369.78,271434.56,43270.562,578097.56,46862.137,133681.31,2561182.5,306330.94,930.98865,4943.684,69017.73,2853169.0,2122.485,56008.29,1371120.5,3716.4946,2334.2896,22068.79,158062.25,287752.0,3923492.2,273628.06,154411.42,6504253.0,81153.414,156511.03,630281.25,69713.266,384.79886,236511.2,2350.8933,2161.2534,23777.957,165223.61,17898.562,546740.9,4870289.5,5383.5635,351.00922,593201.0,84089.8,101445.32,48661.844,310777.0,68599.57,1276591.1,317509.88,1229223.9,559164.4,25116.549,3369011.0,139.01434,14511.199,3651723.2,154289.03,128699.65,166302.88,9330.666,26118.389,1234.4862,388274.62,232.51926,51472.25,12424.5625,23919.734,30910.441,142050.8,51707.125,377173.16,972904.06,23395870.0,505139.72,583716.4,225710.38,35274.99,73933.11,1856513.9,36148.844,28746.566,2453817.2,1336117.1,362114.3,181864.6,99922.875,379.197,281.4447,181437.03,31997.809,37564.1,37354.863,12774.624,43202.023,618.53046,756.063,424748.66,35195.57,737324.7,47983.77,375323.62,573.61566,258997.72,172144.78,387670.1,156.73253,612002.7,0.0,46601.93,311629.38,3614.8909,1939735.2,11001.31,358007.47,427055.88,128962.98,13725.14,38274.637,123658.07,186383.06,195598.47,745740.25,31145.064,22.517078,860902.94,326949.88,738584.2,26.539345,2112086.2,10861.115,163305470.0,2466722.5,24284.006,177325.72,369771.28,10980.389,45133.855,1712695.1,204318.38,248907.88,49295.65,15726.642,505048.1,11326185.0,78391.91,108702.96,396303.75,164585.05,20367.645,0.0,862.3638,46016.664,36044.164,265195.5,213223.25,738874.4,502.31165,8166.955,167509.69,62859.492,682230.25,25549.318,355.33923,82259.03,18.678154,305128.84,34287.855,410967.34,130820.195,282320.75,5992.2046,829.52527,78581.98,75312.27,1375209.6,83.65951,146063.3,558248.2,249612.55,4085816.0,115035.39,35284396.0,703601.1,456.7921,188130.23,0.0,320730.88,5120.998,3197.4443,130696.4,1399568.2,466058.0,202803.34
