Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,8069999.5,29960000.0,3560000.0,0.0,540000.0,118220000.0,1550000.0,40000.0,174400000.0,9830000.0,5660000.0,1190000.0,11560000.0,3060000.0,10070000.0,63790000.0,11970000.0,40000.0,30000.0,2800000.0,36080000.0,170000.0,16000000.0,339620000.0,100000.0,40000.0,630000.0,10080000.0,16190001.0,50590000.0,7020000.0,10300000.0,590660000.0,4830000.0,10490000.0,25130000.0,2150000.0,10000.0,58010000.0,190000.0,90000.0,4920000.0,13980000.0,380000.0,13580000.0,88200000.0,550000.0,50000.0,12710000.0,5980000.0,7860000.0,12020000.0,20720000.0,3360000.0,38320000.0,3790000.0,55940000.0,8240000.0,920000.0,87120000.0,,390000.0,65089996.0,3060000.0,6490000.0,6380000.0,740000.0,1180000.0,20000.0,10150000.0,20000.0,5290000.0,880000.0,5390000.0,4350000.0,3020000.0,11280000.0,112730000.0,566010000.0,22350000.0,35010000.0,7380000.0,700000.0,1160000.0,43280000.0,1000000.0,690000.0,29330000.0,42120000.0,26360000.0,5540000.0,14610000.0,10000.0,20000.0,15100000.0,200000.0,5940000.0,460000.0,330000.0,2290000.0,50000.0,0.0,6820000.0,1410000.0,10370000.0,680000.0,5560000.0,12200000.0,4610000.0,23010000.0,0.0,88750000.0,,2450000.0,14760000.0,120000.0,43900000.0,770000.0,17080000.0,15150000.0,5520000.0,160000.0,2210000.0,8590000.0,7640000.0,9880000.0,38630000.0,6870000.0,0.0,23540000.0,5550000.0,17740000.0,0.0,42450000.0,610000.0,4975520300.0,85770000.0,3130000.0,17800000.0,43700000.0,,1820000.0,46350000.0,10200000.0,8080000.0,18500000.0,129999.99,31290000.0,240990000.0,1370000.0,5410000.0,40890000.0,8060000.5,110000.0,60000.0,2010000.0,3030000.0,22560000.0,11610000.0,25700000.0,10000.0,640000.0,6320000.0,2630000.0,8940000.0,1170000.0,10000.0,6240000.0,13170000.0,1970000.0,63370000.0,4760000.0,6250000.0,420000.0,70000.0,230000.0,3620000.0,44110000.0,10000.0,31880000.0,10590000.0,96690000.0,23210000.0,356330000.0,21710000.0,20000.0,31420000.0,45990000.0,330000.0,150000.0,4760000.0,32410000.0,19950000.0,12510000.0
1991,8390000.0,30040000.0,3250000.0,0.0,600000.0,117010000.0,1450000.0,40000.0,173060000.0,9770000.0,5300000.0,1200000.0,11480000.0,3200000.0,10470000.0,64330000.0,11110000.0,40000.0,30000.0,2510000.0,33820000.0,160000.0,16290001.0,350690020.0,100000.0,40000.0,600000.0,9540000.0,16500000.0,50980000.0,6940000.0,10350000.0,601000000.0,4960000.0,10400000.0,24940000.0,2150000.0,10000.0,57550000.0,190000.0,100000.0,4940000.0,13630000.0,380000.0,11250000.0,83180000.0,550000.0,50000.0,12600000.0,6350000.0,7600000.0,12060000.0,22110000.0,3350000.0,37910000.0,3550000.0,55770000.0,7730000.0,930000.0,86150000.0,0.0,400000.0,63570000.0,2870000.0,6720000.0,6620000.0,770000.0,1190000.0,20000.0,9990000.0,20000.0,5520000.0,1140000.0,5400000.0,3900000.0,3240000.0,10670000.0,112080000.0,573390000.0,22540000.0,35060000.0,5020000.0,690000.0,1120000.0,41250000.0,1060000.0,870000.0,29020000.0,39480000.0,25250000.0,5200000.0,14250000.0,10000.0,20000.0,14970000.0,70000.0,5850000.0,490000.0,290000.0,2250000.0,50000.0,0.0,6230000.0,1400000.0,9720000.0,670000.0,5210000.0,11760000.0,4320000.0,22940000.0,0.0,86970000.0,0.0,2190000.0,14690000.0,129999.99,43350000.0,690000.0,17570000.0,15280000.0,5720000.0,160000.0,2320000.0,8170000.0,7830000.0,10260000.0,40300000.0,5500000.0,0.0,23710000.0,5620000.0,17690000.0,0.0,41630000.0,650000.0,4945190000.0,87060000.0,3140000.0,17360000.0,43860000.0,0.0,1820000.0,42860000.0,10090000.0,7930000.0,17150000.0,140000.0,25900000.0,225890000.0,1420000.0,5650000.0,42270000.0,8270000.5,30000.0,60000.0,1970000.0,3100000.0,19600000.0,10400000.0,26570000.0,10000.0,690000.0,5240000.0,2360000.0,8540000.0,1200000.0,10000.0,6180000.0,19560000.0,1830000.0,65699996.0,4460000.0,5860000.0,490000.0,70000.0,230000.0,3960000.0,41910000.0,10000.0,32080002.0,10980000.0,90630000.0,24250000.0,352620000.0,20350000.0,20000.0,32349998.0,48450000.0,340000.0,150000.0,4500000.0,32580002.0,20110000.0,11000000.0
1992,8400000.0,30140000.0,3180000.0,0.0,670000.0,118630000.0,1350000.0,40000.0,168820000.0,9540000.0,4710000.0,1220000.0,11270000.0,3250000.0,10720000.0,64900000.0,8740000.0,40000.0,30000.0,2530000.0,29170000.0,190000.0,16639999.0,356740000.0,100000.0,40000.0,550000.0,9190000.0,16530001.0,52150000.0,6810000.0,10680000.0,605570000.0,5060000.0,10440000.0,25050000.0,2150000.0,10000.0,58080000.0,190000.0,129999.99,4890000.0,13550000.0,430000.0,10160000.0,75780000.0,560000.0,50000.0,12250000.0,6060000.0,7930000.0,13030000.0,22590000.0,3440000.0,36300000.0,3510000.0,57150000.0,7600000.0,930000.0,82180000.0,0.0,410000.0,62740000.0,2680000.0,6610000.0,6860000.0,750000.0,1220000.0,20000.0,9750000.0,20000.0,5870000.0,1190000.0,5330000.0,3750000.0,3730000.0,8740000.0,119410000.0,579890000.0,22660000.0,38420000.0,6030000.0,670000.0,1170000.0,40640000.0,1110000.0,1039999.94,29510000.0,36020000.0,25070000.0,5080000.0,14720000.0,10000.0,20000.0,15300000.0,80000.0,6130000.0,510000.0,290000.0,2120000.0,50000.0,0.0,6420000.0,1550000.0,9950000.0,660000.0,5950000.0,11020000.0,3650000.0,23150000.0,0.0,86300000.0,0.0,1760000.0,14710000.0,129999.99,45690000.0,590000.0,17360000.0,15440000.0,5530000.0,160000.0,2310000.0,8510000.0,7670000.0,10660000.0,40830000.0,6070000.0,0.0,23490000.0,5630000.0,17290000.0,0.0,41050000.0,690000.0,4938220000.0,89230000.0,3240000.0,17210000.0,42250000.0,0.0,1870000.0,41060000.0,9920000.0,7690000.0,17660000.0,160000.0,23500000.0,213060000.0,1370000.0,5870000.0,46120000.0,8410000.0,30000.0,60000.0,1980000.0,3140000.0,17590000.0,8780000.0,28990000.0,10000.0,770000.0,4730000.0,2069999.9,8760000.0,1240000.0,10000.0,6160000.0,20380000.0,1680000.0,67260000.0,4060000.0,3940000.0,490000.0,80000.0,230000.0,3910000.0,43120000.0,10000.0,32070000.0,11170000.0,84000000.0,25420000.0,360060000.0,16650000.0,20000.0,32410000.0,49440000.0,370000.0,140000.0,4600000.0,31950000.0,20230000.0,11600000.0
1993,8480000.0,30020000.0,3400000.0,0.0,710000.0,116760000.0,1180000.0,40000.0,166570000.0,9190000.0,4360000.0,1180000.0,11210000.0,3270000.0,10930000.0,65030000.0,7030000.0,30000.0,20000.0,2380000.0,28240000.0,170000.0,16980000.0,358480000.0,90000.0,40000.0,550000.0,8870000.0,16559999.0,52600000.0,6700000.0,11100000.0,592859970.0,5050000.0,10430000.0,24950000.0,2160000.0,10000.0,59020000.0,200000.0,129999.99,4850000.0,12290000.0,430000.0,9440000.0,73460000.0,570000.0,50000.0,12430000.0,6280000.0,8080000.0,13610000.0,23640000.0,2820000.0,36580000.0,3160000.0,50820000.0,7580000.0,1010000.0,81620000.0,0.0,410000.0,62500000.0,2350000.0,6650000.0,7130000.0,740000.0,1240000.0,20000.0,9390000.0,20000.0,6210000.0,1340000.0,4860000.0,3400000.0,3540000.0,8370000.0,116900000.0,586600000.0,23100000.0,36980000.0,7570000.0,670000.0,1190000.0,39350000.0,1120000.0,1060000.0,29740000.0,35020000.0,24840000.0,4740000.0,15490000.0,10000.0,20000.0,15650000.0,140000.0,6150000.0,540000.0,259999.98,2089999.9,50000.0,0.0,6630000.0,1510000.0,8240000.0,660000.0,5080000.0,9940000.0,3290000.0,23460000.0,0.0,87800000.0,0.0,1760000.0,14900000.0,129999.99,47780000.0,580000.0,17190000.0,15610000.0,5680000.0,160000.0,2360000.0,8730000.0,7430000.0,11130000.0,41920000.0,6760000.0,0.0,23020000.0,5590000.0,17870000.0,0.0,40810000.0,730000.0,4908680000.0,91810000.0,3280000.0,17440000.0,43660000.0,0.0,1920000.0,39300000.0,9710000.0,7460000.0,19120000.0,180000.0,21220000.0,201430000.0,1310000.0,5720000.0,49310000.0,8640000.0,30000.0,60000.0,2060000.0,3020000.0,19530000.0,8620000.0,31000000.0,10000.0,700000.0,4450000.0,2050000.0,9020000.0,1039999.94,10000.0,5410000.0,21140000.0,1650000.0,68170000.0,3650000.0,4700000.0,519999.97,80000.0,210000.0,4090000.2,43840000.0,10000.0,32430000.0,11470000.0,77650000.0,26190000.0,361190000.0,16430000.0,30000.0,31760000.0,50670000.0,390000.0,140000.0,4680000.0,31680000.0,20060000.0,9420000.0
1994,8520000.0,29990000.0,4290000.0,0.0,780000.0,118330000.0,1110000.0,40000.0,169080000.0,9080000.0,4080000.0,1070000.0,11180000.0,3530000.0,11210000.0,66160004.0,6300000.0,30000.0,20000.0,2260000.0,27010000.0,170000.0,17410000.0,366490000.0,90000.0,40000.0,540000.0,9260000.0,16670000.0,52770000.0,6700000.0,11580000.0,612909950.0,5240000.0,10490000.0,24890000.0,2160000.0,20000.0,59950000.0,200000.0,110000.0,4490000.0,12620000.0,430000.0,8670000.0,73840000.0,590000.0,50000.0,12150000.0,6250000.0,7680000.0,14080000.0,23030000.0,2880000.0,36800000.0,2700000.0,51370000.0,7610000.0,1050000.0,82130000.0,0.0,410000.0,63330000.0,2150000.0,6680000.0,7450000.0,770000.0,1260000.0,20000.0,9550000.0,20000.0,6070000.0,1310000.0,5090000.0,3290000.0,3510000.0,8050000.0,117930000.0,594600000.0,23320000.0,37700000.0,7550000.0,670000.0,1260000.0,38840000.0,1100000.0,910000.0,30070000.0,34080000.0,24980000.0,4290000.0,14210000.0,10000.0,20000.0,15750000.0,180000.0,6500000.0,500000.0,250000.0,2010000.0,40000.0,0.0,6910000.0,1470000.0,7360000.0,660000.0,3660000.0,10540000.0,3570000.0,23090000.0,0.0,87640000.0,0.0,1990000.0,15130000.0,129999.99,49410000.0,560000.0,16960000.0,15700000.0,5550000.0,170000.0,1940000.0,8990000.0,7390000.0,11530000.0,43150000.0,6730000.0,0.0,22830000.0,5640000.0,18190000.0,0.0,42180000.0,780000.0,4952290000.0,93660000.0,3270000.0,18280000.0,47010000.0,0.0,1960000.0,39310000.0,7510000.0,7630000.0,20090000.0,220000.0,20400000.0,181510000.0,1220000.0,5520000.0,52260000.0,8800000.0,30000.0,60000.0,2020000.0,3070000.0,21400000.0,8400000.0,32849998.0,10000.0,710000.0,4000000.0,2030000.0,8940000.0,1039999.94,10000.0,5820000.0,22100000.0,1620000.0,68240000.0,3580000.0,4820000.0,600000.0,70000.0,200000.0,3750000.0,40880000.0,10000.0,32490002.0,11170000.0,74320000.0,26250000.0,371109980.0,16580000.0,30000.0,32740002.0,53280000.0,400000.0,150000.0,4640000.0,30950000.0,19630000.0,9750000.0
1995,8950000.0,29880000.0,4350000.0,0.0,830000.0,117660000.0,1090000.0,40000.0,164660000.0,8680000.0,4100000.0,1110000.0,11340000.0,3280000.0,11540000.0,67980000.0,5400000.0,30000.0,30000.0,1910000.0,26210000.0,129999.99,17780000.0,372530000.0,100000.0,40000.0,590000.0,10050000.0,16780000.0,55520000.0,6610000.0,11890000.0,672059970.0,5340000.0,10450000.0,24730000.0,2160000.0,20000.0,59910000.0,200000.0,129999.99,4030000.2,12200000.0,440000.0,8250000.0,73730000.0,630000.0,40000.0,12100000.0,6340000.0,7590000.0,14290000.0,24870000.0,2920000.0,36540000.0,2550000.0,51520000.0,7430000.0,1100000.0,82670000.0,50000.0,400000.0,62700000.0,2150000.0,6720000.0,7770000.0,790000.0,1290000.0,20000.0,9390000.0,20000.0,6120000.0,1560000.0,5140000.0,3130000.0,3540000.0,7580000.0,123940000.0,599020000.0,23340000.0,38360000.0,7060000.0,650000.0,1270000.0,37950000.0,1120000.0,940000.0,28910000.0,28870000.0,24700000.0,3510000.0,16200001.0,10000.0,20000.0,15950000.0,210000.0,6540000.0,570000.0,250000.0,2100000.0,40000.0,0.0,6800000.0,1400000.0,6770000.0,670000.0,3150000.0,10060000.0,3500000.0,23220000.0,0.0,85910000.0,0.0,1920000.0,15450000.0,120000.0,51150000.0,610000.0,17930000.0,15770000.0,5560000.0,170000.0,2130000.0,8870000.0,7340000.0,12010000.0,43970000.0,5910000.0,0.0,22750000.0,5690000.0,19090000.0,0.0,43230000.0,810000.0,5005760000.0,97230000.0,3270000.0,19210000.0,48470000.0,0.0,2089999.9,38670000.0,5740000.0,7570000.0,21450000.0,230000.0,19100000.0,163210000.0,1020000.0,5160000.0,53330000.0,8830000.0,30000.0,60000.0,1910000.0,2750000.0,22010000.0,9180000.0,33529998.0,10000.0,720000.0,3760000.0,1970000.0,8650000.0,1070000.0,10000.0,6280000.0,23070000.0,1490000.0,66190004.0,3430000.0,5000000.0,620000.0,70000.0,200000.0,3670000.0,40380000.0,10000.0,35700000.0,11420000.0,68270000.0,26010000.0,369320000.0,16670000.0,30000.0,33060002.0,54200000.0,400000.0,140000.0,4710000.0,30730000.0,19350000.0,9790000.0
1996,9980000.0,27160000.0,4030000.2,0.0,890000.0,115290000.0,1100000.0,40000.0,156380000.0,8670000.0,4100000.0,1090000.0,11330000.0,4110000.2,12210000.0,67980000.0,5490000.0,30000.0,30000.0,1620000.0,25530000.0,129999.99,17570000.0,354300000.0,100000.0,40000.0,560000.0,11210000.0,18950000.0,58010000.0,6570000.0,12130000.0,714890000.0,5060000.0,10880000.0,19430000.0,960000.0,20000.0,60200000.0,210000.0,100000.0,4050000.2,12630000.0,460000.0,8319999.5,73270000.0,660000.0,40000.0,12030000.0,6630000.0,7710000.0,14810000.0,25510000.0,3370000.0,39000000.0,2380000.0,54270000.0,7380000.0,1090000.0,83860000.0,50000.0,300000.0,63600000.0,2220000.0,7420000.0,7140000.0,840000.0,1220000.0,20000.0,9620000.0,20000.0,6060000.0,1550000.0,4960000.0,3060000.0,3580000.0,8180000.5,127040000.0,606539970.0,23310000.0,39430000.0,6260000.0,670000.0,1360000.0,38400000.0,1070000.0,880000.0,27800000.0,24990000.0,23300000.0,3300000.0,16400000.0,10000.0,20000.0,16240000.0,270000.0,6510000.0,580000.0,240000.0,2110000.0,40000.0,0.0,6040000.0,1380000.0,6840000.0,670000.0,3120000.0,10920000.0,3370000.0,23310000.0,0.0,84860000.0,0.0,1920000.0,16389999.0,120000.0,50830000.0,620000.0,18810000.0,15620000.0,6090000.0,180000.0,2280000.0,8670000.0,7040000.0,12550000.0,45950000.0,5680000.0,0.0,22380000.0,5750000.0,19380000.0,0.0,42170000.0,830000.0,5036310000.0,100490000.0,3280000.0,19590000.0,51220000.0,0.0,2010000.0,37870000.0,5130000.0,7760000.0,20560000.0,200000.0,18870000.0,150320000.0,1130000.0,5300000.0,56490000.0,9600000.0,30000.0,60000.0,1570000.0,3200000.0,22500000.0,9350000.0,35510000.0,10000.0,730000.0,3840000.0,1930000.0,8810000.0,1080000.0,10000.0,6480000.0,26690000.0,1610000.0,65460000.0,3240000.0,5130000.0,650000.0,70000.0,230000.0,4230000.0,40490000.0,10000.0,33740000.0,11840000.0,60680000.0,26530000.0,373709980.0,15580000.0,30000.0,32470002.0,56920000.0,400000.0,140000.0,4870000.0,32210000.0,18020000.0,12060000.0
1997,10950000.0,26790000.0,3760000.0,0.0,930000.0,114820000.0,1090000.0,40000.0,155880000.0,8610000.0,4340000.0,1130000.0,11120000.0,4310000.0,12740000.0,67850000.0,5340000.0,30000.0,30000.0,1960000.0,25210000.0,140000.0,18100000.0,362410020.0,90000.0,50000.0,550000.0,10640000.0,19120000.0,57220000.0,6340000.0,12460000.0,646669950.0,5270000.0,11260000.0,18990000.0,1020000.0,20000.0,59530000.0,210000.0,110000.0,4030000.2,12610000.0,430000.0,7780000.0,73410000.0,660000.0,40000.0,11970000.0,6770000.0,7560000.0,15650000.0,25870000.0,3870000.0,39880000.0,2270000.0,55940000.0,7420000.0,1090000.0,82970000.0,50000.0,330000.0,62350000.0,2280000.0,7550000.0,7330000.0,780000.0,1180000.0,20000.0,9420000.0,20000.0,6170000.0,1610000.0,5040000.0,3360000.0,3810000.0,8090000.0,122400000.0,611909950.0,23690000.0,40430000.0,6780000.0,670000.0,1340000.0,37770000.0,1039999.94,860000.0,27400000.0,21270000.0,23200000.0,3180000.0,16450001.0,10000.0,20000.0,16450001.0,270000.0,6750000.0,590000.0,270000.0,2010000.0,40000.0,0.0,6030000.0,1460000.0,6840000.0,650000.0,3040000.0,11290000.0,2740000.0,23020000.0,0.0,85440000.0,0.0,1800000.0,16600000.0,120000.0,49590000.0,630000.0,19790000.0,14080000.0,6410000.0,170000.0,2260000.0,9420000.0,6810000.0,12980000.0,47980000.0,6140000.0,0.0,21720000.0,5750000.0,19580000.0,0.0,42220000.0,850000.0,4967279600.0,103220000.0,3070000.0,19810000.0,51460000.0,0.0,2210000.0,38840000.0,5600000.0,7660000.0,20680000.0,200000.0,18670000.0,134690000.0,1200000.0,5520000.0,58430000.0,9420000.0,20000.0,60000.0,1560000.0,3050000.0,22940000.0,9380000.0,36730000.0,10000.0,670000.0,3710000.0,1930000.0,8790000.0,1060000.0,10000.0,6660000.0,27210000.0,1890000.0,66230004.0,3240000.0,4760000.0,640000.0,70000.0,220000.0,3960000.0,40360000.0,10000.0,33400002.0,12530000.0,55380000.0,26100000.0,372320000.0,18060000.0,30000.0,32830002.0,57250000.0,400000.0,140000.0,5150000.0,32640000.0,18200000.0,11770000.0
1998,11750000.0,29630000.0,3660000.0,0.0,980000.0,111730000.0,1020000.0,40000.0,162300000.0,8400000.0,4490000.0,1039999.94,11010000.0,4570000.0,12860000.0,67240000.0,5150000.0,40000.0,40000.0,2180000.0,24970000.0,150000.0,18920000.0,373109980.0,90000.0,60000.0,540000.0,9670000.0,21090000.0,59140000.0,6280000.0,12530000.0,669349950.0,5300000.0,12330000.0,19870000.0,1060000.0,20000.0,60120000.0,220000.0,129999.99,4080000.0,12390000.0,440000.0,7330000.0,72550000.0,680000.0,40000.0,11910000.0,6830000.0,8340000.0,14570000.0,25490000.0,4090000.2,41560000.0,2290000.0,61320000.0,7280000.0,1070000.0,82720000.0,50000.0,340000.0,61920000.0,2300000.0,8660000.0,8189999.5,820000.0,1180000.0,20000.0,9310000.0,20000.0,6110000.0,1510000.0,4890000.0,2970000.0,3870000.0,7860000.0,125270000.0,619170000.0,24490000.0,41800000.0,7100000.0,680000.0,1350000.0,37680000.0,1030000.0,790000.0,26310000.0,17640000.0,23780000.0,3290000.0,16250000.0,10000.0,20000.0,15530000.0,290000.0,6290000.0,610000.0,280000.0,2160000.0,40000.0,0.0,5210000.0,1240000.0,6690000.0,650000.0,3010000.0,11340000.0,2330000.0,23700000.0,0.0,87370000.0,0.0,1680000.0,17550000.0,110000.0,50420000.0,600000.0,20150000.0,16080000.0,6800000.0,170000.0,2430000.0,9740000.0,7410000.0,13580000.0,50830000.0,5970000.0,0.0,21070000.0,5710000.0,19850000.0,0.0,41240000.0,900000.0,5021930000.0,105480000.0,3130000.0,20430000.0,45040000.0,0.0,2050000.0,37120000.0,5630000.0,7690000.0,20850000.0,200000.0,17830000.0,124430000.0,1330000.0,5550000.0,61730000.0,9170000.0,30000.0,60000.0,1480000.0,2730000.0,22830000.0,9060000.0,38810000.0,10000.0,660000.0,3490000.0,1880000.0,8550000.0,1050000.0,10000.0,7090000.0,28020000.0,2240000.0,63230000.0,3040000.0,4510000.0,670000.0,70000.0,210000.0,4220000.0,40740000.0,10000.0,36870000.0,13480000.0,47870000.0,25430000.0,370850020.0,17860000.0,30000.0,33430000.0,60500000.0,400000.0,150000.0,5390000.0,33330002.0,19940000.0,12460000.0
1999,12790000.0,27470000.0,3670000.0,0.0,1050000.0,114050000.0,1020000.0,40000.0,193950000.0,8330000.0,4660000.0,1060000.0,11440000.0,4420000.0,13160000.0,70170000.0,5180000.0,40000.0,30000.0,2290000.0,24710000.0,160000.0,19840000.0,375190000.0,90000.0,70000.0,560000.0,9510000.0,18740000.0,57970000.0,6110000.0,12610000.0,689280000.0,5190000.0,12520000.0,18070000.0,1070000.0,20000.0,57680000.0,220000.0,129999.99,3750000.0,11740000.0,440000.0,7150000.0,72570000.0,700000.0,40000.0,11400000.0,6170000.0,8460000.0,14440000.0,27040000.0,4190000.0,41610000.0,2270000.0,60640000.0,7250000.0,1030000.0,82810000.0,50000.0,340000.0,61350000.0,2470000.0,7480000.0,7830000.0,790000.0,1290000.0,20000.0,9250000.0,20000.0,6480000.0,1630000.0,4530000.0,3020000.0,3900000.0,8100000.5,123470000.0,622770050.0,24550000.0,40740000.0,6890000.0,680000.0,1260000.0,37840000.0,1050000.0,820000.0,26140000.0,15900000.0,25280000.0,3360000.0,17450000.0,10000.0,20000.0,14780000.0,320000.0,6170000.0,610000.0,280000.0,2130000.0,40000.0,0.0,5670000.0,1770000.0,6410000.0,670000.0,2890000.0,11830000.0,2200000.0,23230000.0,0.0,85240000.0,0.0,1540000.0,18850000.0,120000.0,54250000.0,560000.0,20750000.0,15160000.0,7300000.0,180000.0,2370000.0,9260000.0,7430000.0,14150000.0,51620000.0,7000000.0,0.0,21110000.0,5670000.0,19950000.0,0.0,41880000.0,960000.0,5078410000.0,108770000.0,3080000.0,21720000.0,52770000.0,0.0,2120000.0,35840000.0,5940000.0,7670000.0,21200000.0,210000.0,16970000.0,114000000.0,1500000.0,5400000.0,63370000.0,9920000.0,30000.0,60000.0,1310000.0,2910000.0,22950000.0,8430000.0,39840000.0,10000.0,660000.0,3030000.0,1770000.0,8440000.0,1000000.0,10000.0,6920000.0,29960000.0,1950000.0,64760004.0,2960000.0,5180000.0,560000.0,70000.0,210000.0,4370000.0,40380000.0,10000.0,37810000.0,12800000.0,44450000.0,25400000.0,368390000.0,17920000.0,30000.0,33480000.0,62590000.0,400000.0,150000.0,5480000.0,33060002.0,18540000.0,12860000.0
