Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,20000.0,1060000.0,0.0,29360000.0,3630000.0,600000.0,190000.0,6550000.0,920000.0,1050000.0,20000.0,16200001.0,50000.0,30000.0,340000.0,900000.0,1450000.0,610000.0,80000.0,0.0,40000.0,0.0,3190000.0,0.0,230000.0,0.0,40000.0,50000.0,5680000.0,3110000.0,1160000.0,5700000.0,390000.0,200000.0,430000.0,80000.0,20000.0,1920000.0,0.0,60000.0,259999.98,1050000.0,940000.0,660000.0,21450000.0,410000.0,0.0,4840000.0,120000.0,2500000.0,900000.0,5900000.0,,15080000.0,690000.0,570000.0,2810000.0,280000.0,17440000.0,0.0,280000.0,27210000.0,610000.0,140000.0,50000.0,20000.0,30000.0,10000.0,10580000.0,20000.0,570000.0,40000.0,90000.0,590000.0,70000.0,500000.0,2700000.0,5160000.0,1110000.0,2820000.0,1410000.0,320000.0,2000000.0,13190000.0,570000.0,680000.0,31640000.0,2730000.0,1410000.0,270000.0,,0.0,10000.0,6230000.0,1090000.0,,160000.0,80000.0,890000.0,50000.0,1230000.0,0.0,710000.0,400000.0,1730000.0,870000.0,220000.0,140000.0,110000.0,5330000.0,0.0,20000.0,,310000.0,20000.0,,10000.0,220000.0,0.0,410000.0,20000.0,1820000.0,,40000.0,1560000.0,80000.0,0.0,39890000.0,2690000.0,50000.0,40000.0,2410000.0,1010000.0,637900000.0,1530000.0,5050000.0,740000.0,1310000.0,0.0,100000.0,1930000.0,0.0,3340000.0,30000.0,350000.0,700000.0,32849998.0,40000.0,10740000.0,120000.0,580000.0,40300000.0,20000.0,80000.0,120000.0,220000.0,430000.0,,0.0,,0.0,80000.0,3230000.0,0.0,340000.0,3760000.0,30000.0,110000.0,6770000.0,50000.0,770000.0,0.0,20000.0,310000.0,650000.0,920000.0,0.0,310000.0,50000.0,6230000.0,380000.0,132080000.0,0.0,0.0,3600000.0,90000.0,20000.0,20000.0,1440000.0,7190000.0,200000.0,250000.0
1991,20000.0,920000.0,0.0,40360000.0,2770000.0,680000.0,190000.0,6530000.0,1020000.0,850000.0,20000.0,16370001.0,50000.0,40000.0,310000.0,1650000.0,1060000.0,610000.0,60000.0,0.0,50000.0,0.0,3980000.0,0.0,280000.0,0.0,30000.0,50000.0,5530000.0,2960000.0,1190000.0,7330000.0,550000.0,230000.0,450000.0,60000.0,20000.0,1960000.0,0.0,60000.0,190000.0,930000.0,1070000.0,470000.0,19500000.0,410000.0,0.0,4390000.0,110000.0,2180000.0,820000.0,5970000.0,,16430000.0,790000.0,590000.0,2660000.0,220000.0,16930000.0,0.0,259999.98,25860000.0,990000.0,110000.0,50000.0,20000.0,30000.0,10000.0,9600000.0,20000.0,570000.0,30000.0,90000.0,100000.0,60000.0,390000.0,1670000.0,4900000.0,1120000.0,3250000.0,940000.0,230000.0,2050000.0,13430000.0,570000.0,470000.0,33390000.0,2510000.0,1210000.0,220000.0,,0.0,10000.0,9220000.0,440000.0,,270000.0,50000.0,930000.0,50000.0,980000.0,0.0,990000.0,410000.0,750000.0,630000.0,230000.0,150000.0,110000.0,5550000.0,0.0,20000.0,,370000.0,20000.0,,0.0,150000.0,0.0,420000.0,20000.0,2030000.0,80000.0,40000.0,2260000.0,70000.0,0.0,41420000.0,2460000.0,60000.0,40000.0,2240000.0,890000.0,645750000.0,1630000.0,5500000.0,760000.0,1240000.0,0.0,90000.0,1180000.0,0.0,3430000.0,30000.0,280000.0,500000.0,23260000.0,40000.0,13450000.0,120000.0,450000.0,37530000.0,30000.0,90000.0,90000.0,210000.0,310000.0,,0.0,,0.0,20000.0,3630000.0,0.0,330000.0,3940000.0,30000.0,90000.0,7010000.0,50000.0,1039999.94,0.0,10000.0,290000.0,519999.97,1130000.0,0.0,290000.0,50000.0,5620000.0,460000.0,138410000.0,0.0,0.0,4220000.0,100000.0,20000.0,20000.0,1190000.0,7790000.0,110000.0,450000.0
1992,20000.0,840000.0,0.0,40220000.0,3110000.0,470000.0,190000.0,6900000.0,1100000.0,510000.0,20000.0,16139999.0,50000.0,40000.0,270000.0,1800000.0,970000.0,590000.0,50000.0,0.0,50000.0,0.0,4060000.0,0.0,310000.0,0.0,30000.0,50000.0,5820000.0,3190000.0,1230000.0,11380000.0,590000.0,210000.0,430000.0,80000.0,20000.0,2220000.0,0.0,70000.0,380000.0,690000.0,1050000.0,540000.0,19300000.0,410000.0,0.0,4580000.0,150000.0,2170000.0,1100000.0,5030000.0,730000.0,17350000.0,430000.0,120000.0,3010000.0,290000.0,18000000.0,0.0,860000.0,27480000.0,790000.0,140000.0,50000.0,20000.0,30000.0,10000.0,10810000.0,20000.0,600000.0,30000.0,129999.99,70000.0,40000.0,410000.0,1750000.0,4990000.0,970000.0,3310000.0,1030000.0,259999.98,2200000.0,13130000.0,580000.0,610000.0,33810000.0,2290000.0,1430000.0,190000.0,,0.0,10000.0,11900000.0,2250000.0,,380000.0,50000.0,940000.0,60000.0,960000.0,0.0,1130000.0,400000.0,660000.0,730000.0,100000.0,150000.0,140000.0,6140000.0,10000.0,20000.0,,400000.0,110000.0,,0.0,100000.0,0.0,480000.0,20000.0,2089999.9,90000.0,30000.0,2220000.0,50000.0,0.0,42260000.0,2840000.0,80000.0,40000.0,2170000.0,590000.0,683469950.0,1730000.0,5950000.0,770000.0,1530000.0,50000.0,90000.0,1510000.0,0.0,3490000.0,30000.0,320000.0,750000.0,21610000.0,40000.0,14040000.0,120000.0,470000.0,45510000.0,30000.0,50000.0,140000.0,200000.0,190000.0,,0.0,,0.0,30000.0,4050000.2,0.0,340000.0,4100000.0,30000.0,80000.0,8500000.0,50000.0,930000.0,0.0,10000.0,370000.0,680000.0,1140000.0,0.0,280000.0,60000.0,2200000.0,650000.0,145370000.0,0.0,0.0,3960000.0,110000.0,20000.0,20000.0,1450000.0,9920000.0,120000.0,250000.0
1993,20000.0,950000.0,0.0,41050000.0,2660000.0,200000.0,210000.0,7480000.0,1160000.0,590000.0,20000.0,16389999.0,60000.0,40000.0,320000.0,2060000.0,970000.0,600000.0,90000.0,0.0,30000.0,0.0,4820000.0,0.0,340000.0,0.0,10000.0,50000.0,5270000.0,3370000.0,1350000.0,9900000.0,550000.0,170000.0,440000.0,60000.0,20000.0,2130000.0,0.0,70000.0,510000.0,650000.0,890000.0,440000.0,21510000.0,420000.0,0.0,5960000.0,160000.0,2050000.0,1780000.0,5600000.0,510000.0,16030001.0,540000.0,150000.0,2490000.0,330000.0,17920000.0,0.0,840000.0,28550000.0,580000.0,120000.0,50000.0,20000.0,30000.0,10000.0,12380000.0,20000.0,610000.0,30000.0,120000.0,180000.0,40000.0,380000.0,1780000.0,5450000.0,1460000.0,3540000.0,1160000.0,290000.0,2550000.0,13240000.0,580000.0,660000.0,35800000.0,760000.0,1630000.0,50000.0,,0.0,10000.0,14540000.0,2079999.9,,390000.0,50000.0,1039999.94,60000.0,1110000.0,0.0,630000.0,400000.0,760000.0,750000.0,70000.0,150000.0,129999.99,7230000.0,10000.0,60000.0,,340000.0,30000.0,,0.0,120000.0,0.0,480000.0,20000.0,2320000.0,110000.0,30000.0,2330000.0,40000.0,0.0,41070000.0,2890000.0,80000.0,40000.0,2240000.0,1390000.0,675739970.0,1820000.0,6250000.0,850000.0,1570000.0,50000.0,90000.0,1170000.0,0.0,3130000.0,30000.0,320000.0,760000.0,18360000.0,40000.0,13790000.0,120000.0,350000.0,42690000.0,30000.0,50000.0,150000.0,210000.0,50000.0,,0.0,,0.0,50000.0,4600000.0,0.0,340000.0,4020000.0,40000.0,40000.0,8700000.0,50000.0,680000.0,0.0,0.0,340000.0,760000.0,1270000.0,0.0,220000.0,60000.0,940000.0,1000000.0,133740010.0,0.0,0.0,3940000.0,150000.0,20000.0,20000.0,620000.0,9320000.0,110000.0,230000.0
1994,20000.0,1350000.0,0.0,44220000.0,2870000.0,150000.0,220000.0,7880000.0,1220000.0,480000.0,20000.0,15670000.0,60000.0,40000.0,360000.0,1840000.0,1110000.0,590000.0,110000.0,0.0,40000.0,0.0,5700000.0,0.0,410000.0,0.0,20000.0,50000.0,5600000.0,3590000.0,1700000.0,10930000.0,600000.0,259999.98,350000.0,60000.0,20000.0,2570000.0,0.0,70000.0,460000.0,560000.0,950000.0,540000.0,22360000.0,410000.0,0.0,6650000.0,160000.0,2110000.0,1650000.0,8980000.0,680000.0,15710000.0,450000.0,190000.0,2150000.0,360000.0,17720000.0,0.0,700000.0,28530000.0,360000.0,140000.0,50000.0,20000.0,30000.0,10000.0,13400000.0,20000.0,620000.0,40000.0,70000.0,360000.0,0.0,570000.0,1740000.0,5890000.0,1270000.0,3860000.0,1340000.0,300000.0,2620000.0,13150000.0,600000.0,720000.0,37240000.0,1120000.0,1910000.0,40000.0,,0.0,10000.0,20750000.0,2770000.0,,470000.0,50000.0,1170000.0,60000.0,1110000.0,0.0,610000.0,500000.0,970000.0,710000.0,30000.0,160000.0,160000.0,9650000.0,10000.0,60000.0,,340000.0,50000.0,,0.0,140000.0,0.0,510000.0,20000.0,3170000.0,140000.0,30000.0,2290000.0,50000.0,0.0,41680000.0,3260000.0,100000.0,30000.0,2690000.0,610000.0,702059970.0,1780000.0,6520000.0,1020000.0,1660000.0,50000.0,170000.0,1180000.0,0.0,3080000.0,30000.0,420000.0,500000.0,15290000.0,40000.0,12370000.0,129999.99,480000.0,44340000.0,30000.0,50000.0,140000.0,210000.0,40000.0,,0.0,,100000.0,50000.0,5170000.0,0.0,340000.0,4130000.0,40000.0,80000.0,9830000.0,20000.0,670000.0,0.0,0.0,320000.0,870000.0,1130000.0,0.0,230000.0,60000.0,580000.0,600000.0,131410000.0,0.0,0.0,3520000.0,160000.0,20000.0,20000.0,600000.0,10070000.0,110000.0,320000.0
1995,20000.0,1220000.0,0.0,44120000.0,3550000.0,110000.0,220000.0,8700000.0,1360000.0,310000.0,20000.0,15400000.0,70000.0,40000.0,400000.0,1860000.0,1160000.0,600000.0,110000.0,0.0,30000.0,0.0,5810000.0,0.0,430000.0,0.0,20000.0,50000.0,5860000.0,3740000.0,1790000.0,11280000.0,530000.0,259999.98,360000.0,50000.0,20000.0,2780000.0,0.0,80000.0,690000.0,580000.0,1050000.0,570000.0,22420000.0,430000.0,0.0,6920000.0,180000.0,2170000.0,1560000.0,8830000.0,450000.0,16330000.0,340000.0,200000.0,1940000.0,380000.0,18510000.0,0.0,640000.0,30100000.0,170000.0,180000.0,50000.0,20000.0,30000.0,10000.0,14020000.0,20000.0,660000.0,40000.0,70000.0,350000.0,70000.0,550000.0,2500000.0,6410000.0,1500000.0,3970000.0,1300000.0,340000.0,2820000.0,13750000.0,630000.0,790000.0,36970000.0,800000.0,1530000.0,190000.0,30000.0,0.0,10000.0,23880000.0,3010000.0,,670000.0,50000.0,1210000.0,60000.0,1110000.0,0.0,570000.0,570000.0,560000.0,780000.0,30000.0,160000.0,180000.0,9490000.0,10000.0,100000.0,,370000.0,30000.0,,60000.0,70000.0,0.0,490000.0,20000.0,3340000.0,100000.0,20000.0,2720000.0,60000.0,0.0,42640000.0,3350000.0,110000.0,30000.0,2780000.0,560000.0,728450000.0,1780000.0,6610000.0,1240000.0,1620000.0,50000.0,170000.0,1260000.0,0.0,3120000.0,30000.0,430000.0,560000.0,14250000.0,40000.0,11870000.0,129999.99,560000.0,43960000.0,30000.0,40000.0,160000.0,220000.0,110000.0,,0.0,,120000.0,60000.0,5150000.0,0.0,340000.0,4130000.0,40000.0,129999.99,9950000.0,20000.0,620000.0,0.0,10000.0,340000.0,820000.0,1380000.0,0.0,270000.0,60000.0,480000.0,1230000.0,139200000.0,0.0,0.0,3370000.0,350000.0,20000.0,20000.0,600000.0,12120000.0,100000.0,350000.0
1996,20000.0,1060000.0,0.0,43480000.0,4280000.0,60000.0,230000.0,9210000.0,1500000.0,590000.0,20000.0,17750000.0,70000.0,50000.0,420000.0,1430000.0,1080000.0,610000.0,120000.0,0.0,40000.0,0.0,6670000.0,0.0,440000.0,0.0,20000.0,50000.0,6110000.0,3910000.0,1510000.0,12540000.0,580000.0,320000.0,360000.0,80000.0,10000.0,2750000.0,0.0,100000.0,700000.0,900000.0,1080000.0,410000.0,22700000.0,410000.0,0.0,6740000.0,190000.0,2030000.0,1980000.0,10980000.0,500000.0,21390000.0,340000.0,190000.0,2140000.0,400000.0,19640000.0,0.0,580000.0,31870000.0,240000.0,190000.0,60000.0,20000.0,30000.0,10000.0,12540000.0,20000.0,690000.0,40000.0,60000.0,380000.0,60000.0,580000.0,1540000.0,6680000.0,1540000.0,4260000.0,1280000.0,380000.0,2600000.0,12570000.0,590000.0,930000.0,31790000.0,770000.0,1560000.0,210000.0,30000.0,0.0,10000.0,29220000.0,2970000.0,,340000.0,50000.0,1900000.0,60000.0,1260000.0,0.0,519999.97,620000.0,410000.0,810000.0,60000.0,170000.0,190000.0,9360000.0,10000.0,80000.0,,270000.0,50000.0,,90000.0,70000.0,0.0,530000.0,20000.0,3830000.0,129999.99,30000.0,2970000.0,70000.0,0.0,44590000.0,3600000.0,129999.99,30000.0,2760000.0,570000.0,749099970.0,1620000.0,7110000.0,1320000.0,2060000.0,50000.0,180000.0,1480000.0,0.0,3150000.0,100000.0,560000.0,259999.98,13360000.0,40000.0,11060000.0,140000.0,710000.0,51200000.0,30000.0,40000.0,150000.0,220000.0,180000.0,,10000.0,,120000.0,50000.0,5370000.0,0.0,350000.0,3970000.0,40000.0,150000.0,9580000.0,20000.0,700000.0,0.0,10000.0,200000.0,840000.0,1380000.0,0.0,259999.98,60000.0,890000.0,970000.0,135900000.0,0.0,0.0,3270000.0,360000.0,20000.0,20000.0,590000.0,12360000.0,90000.0,380000.0
1997,20000.0,1070000.0,0.0,44170000.0,4390000.0,60000.0,240000.0,9210000.0,1560000.0,580000.0,20000.0,19930000.0,50000.0,60000.0,460000.0,470000.0,770000.0,610000.0,120000.0,0.0,50000.0,0.0,8069999.5,0.0,480000.0,0.0,20000.0,50000.0,5990000.0,4080000.0,1790000.0,10220000.0,580000.0,340000.0,370000.0,50000.0,10000.0,2920000.0,0.0,100000.0,580000.0,1010000.0,1090000.0,380000.0,23780000.0,420000.0,0.0,6400000.0,200000.0,1910000.0,2140000.0,11080000.0,259999.98,25410000.0,390000.0,170000.0,2280000.0,430000.0,20640000.0,0.0,700000.0,33840000.0,210000.0,190000.0,60000.0,20000.0,30000.0,10000.0,12490000.0,20000.0,720000.0,40000.0,70000.0,310000.0,60000.0,560000.0,2210000.0,6620000.0,1720000.0,4730000.0,1440000.0,430000.0,2640000.0,13100000.0,590000.0,870000.0,36360000.0,710000.0,1520000.0,140000.0,30000.0,0.0,10000.0,32099998.0,3350000.0,,350000.0,50000.0,1830000.0,70000.0,880000.0,0.0,290000.0,760000.0,330000.0,840000.0,70000.0,170000.0,210000.0,9810000.0,10000.0,90000.0,,630000.0,70000.0,,80000.0,90000.0,0.0,550000.0,20000.0,4020000.0,110000.0,40000.0,2200000.0,60000.0,0.0,47080000.0,4220000.0,129999.99,30000.0,2780000.0,650000.0,774880000.0,1650000.0,7750000.0,1320000.0,2440000.0,50000.0,180000.0,1530000.0,0.0,3200000.0,100000.0,630000.0,370000.0,13240000.0,40000.0,11670000.0,129999.99,720000.0,59090000.0,30000.0,40000.0,150000.0,220000.0,200000.0,,10000.0,,110000.0,60000.0,6080000.0,0.0,410000.0,4040000.0,40000.0,140000.0,10250000.0,20000.0,790000.0,0.0,10000.0,220000.0,940000.0,1850000.0,0.0,259999.98,50000.0,870000.0,900000.0,127930000.0,0.0,0.0,3030000.0,300000.0,30000.0,20000.0,600000.0,10390000.0,80000.0,380000.0
1998,20000.0,690000.0,0.0,43970000.0,4120000.0,70000.0,240000.0,9580000.0,1640000.0,490000.0,20000.0,21560000.0,100000.0,50000.0,560000.0,610000.0,1110000.0,620000.0,120000.0,0.0,70000.0,0.0,8330000.0,0.0,440000.0,0.0,20000.0,50000.0,6720000.0,4260000.0,2290000.0,10740000.0,590000.0,190000.0,370000.0,60000.0,10000.0,2780000.0,0.0,110000.0,690000.0,1030000.0,1140000.0,360000.0,24060000.0,470000.0,0.0,6570000.0,940000.0,1790000.0,910000.0,8310000.5,20000.0,26770000.0,390000.0,170000.0,2670000.0,450000.0,22240000.0,10000.0,740000.0,36650000.0,300000.0,280000.0,60000.0,30000.0,30000.0,20000.0,13740000.0,20000.0,750000.0,30000.0,80000.0,340000.0,70000.0,590000.0,2089999.9,6730000.0,1780000.0,4670000.0,1690000.0,510000.0,2660000.0,14370000.0,600000.0,700000.0,38320000.0,730000.0,1540000.0,160000.0,20000.0,0.0,10000.0,32300000.0,3420000.0,,340000.0,40000.0,1910000.0,70000.0,830000.0,0.0,250000.0,850000.0,140000.0,950000.0,50000.0,170000.0,250000.0,11200000.0,10000.0,50000.0,,320000.0,50000.0,,70000.0,90000.0,0.0,790000.0,20000.0,5370000.0,110000.0,30000.0,2190000.0,80000.0,0.0,47580000.0,3990000.0,150000.0,30000.0,2900000.0,700000.0,799450000.0,2079999.9,8290000.0,1330000.0,1870000.0,50000.0,180000.0,1720000.0,0.0,2920000.0,100000.0,580000.0,420000.0,12440000.0,50000.0,11770000.0,129999.99,800000.0,62780000.0,30000.0,40000.0,190000.0,220000.0,200000.0,,10000.0,,90000.0,60000.0,6950000.0,0.0,440000.0,4150000.0,40000.0,180000.0,8970000.0,20000.0,930000.0,0.0,10000.0,230000.0,1000000.0,2010000.0,0.0,250000.0,90000.0,660000.0,850000.0,127680000.0,0.0,0.0,2580000.0,420000.0,30000.0,20000.0,600000.0,12110000.0,90000.0,380000.0
1999,20000.0,1200000.0,110000.0,42140000.0,4130000.0,70000.0,250000.0,9920000.0,1580000.0,440000.0,20000.0,19530000.0,100000.0,50000.0,580000.0,240000.0,1060000.0,640000.0,120000.0,0.0,70000.0,0.0,10790000.0,0.0,390000.0,0.0,30000.0,50000.0,6500000.0,4440000.0,2450000.0,10960000.0,620000.0,210000.0,360000.0,50000.0,10000.0,2660000.0,0.0,120000.0,760000.0,890000.0,1330000.0,410000.0,25270000.0,480000.0,0.0,6430000.0,1090000.0,1800000.0,790000.0,10210000.0,30000.0,26550000.0,420000.0,190000.0,2850000.0,500000.0,23580000.0,10000.0,760000.0,36330000.0,250000.0,470000.0,60000.0,30000.0,30000.0,20000.0,12820000.0,20000.0,760000.0,40000.0,100000.0,310000.0,90000.0,630000.0,1640000.0,7070000.0,2060000.0,4740000.0,1760000.0,519999.97,2400000.0,12600000.0,600000.0,720000.0,36950000.0,430000.0,1630000.0,120000.0,30000.0,0.0,10000.0,33930000.0,3270000.0,,410000.0,50000.0,1910000.0,70000.0,750000.0,0.0,310000.0,1000000.0,120000.0,980000.0,40000.0,180000.0,270000.0,12030000.0,10000.0,110000.0,,320000.0,50000.0,,50000.0,110000.0,0.0,1100000.0,0.0,4780000.0,120000.0,40000.0,3020000.0,80000.0,0.0,49500000.0,4060000.0,150000.0,30000.0,2810000.0,760000.0,841450000.0,2150000.0,8490000.0,1400000.0,2270000.0,50000.0,170000.0,1950000.0,0.0,3760000.0,50000.0,540000.0,390000.0,12860000.0,50000.0,12180000.0,320000.0,810000.0,70560000.0,30000.0,40000.0,210000.0,220000.0,100000.0,,10000.0,,60000.0,60000.0,6930000.0,0.0,560000.0,4139999.8,40000.0,40000.0,9710000.0,20000.0,1010000.0,0.0,10000.0,1340000.0,1050000.0,2380000.0,0.0,259999.98,100000.0,890000.0,900000.0,141820000.0,0.0,0.0,5540000.0,620000.0,30000.0,20000.0,519999.97,13320000.0,110000.0,290000.0
