Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,129999.99,1700000.0,440000.0,310000.0,17600000.0,6480000.0,60000.0,9300000.0,12680000.0,4960000.0,20000.0,25000000.0,250000.0,440000.0,4680000.0,6290000.0,129999.99,230000.0,350000.0,14320000.0,100000.0,780000.0,19610000.0,60000.0,50000.0,30000.0,259999.98,40000.0,64580000.0,16740000.0,3700000.0,484960000.0,1060000.0,1990000.0,3070000.0,200000.0,0.0,5010000.0,10000.0,20000.0,180000.0,2350000.0,180000.0,24680000.0,202070000.0,90000.0,10000.0,6540000.0,1100000.0,6610000.0,1520000.0,10120000.0,,17100000.0,1330000.0,5770000.0,6910000.0,70000.0,89270000.0,0.0,330000.0,97190000.0,4910000.0,1400000.0,80000.0,0.0,20000.0,60000.0,5450000.0,10000.0,1440000.0,140000.0,770000.0,2620000.0,519999.97,17750000.0,32140000.0,89370000.0,10000000.0,40920000.0,6210000.0,50000.0,1420000.0,67490000.0,310000.0,1050000.0,120820000.0,430000.0,2310000.0,0.0,,0.0,20000.0,67000000.0,170000.0,,560000.0,20000.0,1360000.0,10000.0,1310000.0,90000.0,5660000.0,1300000.0,2810000.0,2110000.0,900000.0,810000.0,0.0,23250000.0,0.0,440000.0,,90000.0,3020000.0,,900000.0,1440000.0,0.0,129999.99,30000.0,2200000.0,,450000.0,22750000.0,440000.0,0.0,28870000.0,2680000.0,2220000.0,0.0,1530000.0,100000.0,2883010000.0,14570000.0,340000.0,4159999.8,5230000.0,0.0,70000.0,47370000.0,660000.0,2590000.0,570000.0,100000.0,9080000.0,295890020.0,640000.0,2550000.0,1280000.0,310000.0,1250000.0,10000.0,30000.0,490000.0,60000.0,2660000.0,,0.0,,15580000.0,2060000.0,9480000.0,310000.0,10000.0,2940000.0,490000.0,270000.0,4260000.0,0.0,8690000.0,0.0,10000.0,150000.0,1820000.0,26470000.0,0.0,2160000.0,1710000.0,56840000.0,700000.0,547890000.0,0.0,10000.0,5150000.0,5270000.0,10000.0,0.0,690000.0,14040000.0,1100000.0,2580000.0
1991,140000.0,1770000.0,500000.0,290000.0,17300000.0,4450000.0,60000.0,9380000.0,14150000.0,4660000.0,30000.0,27890000.0,240000.0,450000.0,4410000.0,4340000.0,140000.0,310000.0,340000.0,13440000.0,140000.0,760000.0,19830000.0,60000.0,50000.0,30000.0,280000.0,30000.0,64059996.0,17770000.0,3940000.0,483840000.0,1110000.0,2020000.0,2870000.0,210000.0,0.0,5130000.0,10000.0,20000.0,170000.0,2260000.0,180000.0,23540000.0,198950000.0,90000.0,10000.0,6730000.0,1100000.0,7560000.0,1560000.0,9650000.0,,19150000.0,1310000.0,6020000.0,7160000.0,50000.0,99490000.0,0.0,360000.0,105630000.0,4060000.0,1290000.0,90000.0,0.0,20000.0,60000.0,5610000.0,10000.0,1450000.0,80000.0,770000.0,2430000.0,519999.97,18690000.0,33070000.0,92410000.0,9710000.0,45350000.0,3900000.0,40000.0,1360000.0,73630000.0,230000.0,1030000.0,122650000.0,610000.0,2330000.0,0.0,,0.0,20000.0,62810000.0,60000.0,,920000.0,20000.0,1480000.0,10000.0,1330000.0,90000.0,6360000.0,1570000.0,3240000.0,2420000.0,930000.0,830000.0,0.0,24280000.0,0.0,390000.0,,100000.0,2970000.0,,1710000.0,1380000.0,0.0,129999.99,50000.0,2150000.0,60000.0,460000.0,23100000.0,420000.0,0.0,33160000.0,2200000.0,2330000.0,0.0,1420000.0,129999.99,2908840200.0,14430000.0,350000.0,4010000.2,5160000.0,0.0,80000.0,56040000.0,490000.0,2660000.0,580000.0,80000.0,9110000.0,283220000.0,620000.0,3030000.0,1310000.0,330000.0,1170000.0,0.0,30000.0,500000.0,60000.0,1820000.0,,0.0,,11970000.0,2620000.0,9110000.0,310000.0,10000.0,3140000.0,490000.0,270000.0,4320000.0,0.0,7350000.0,0.0,10000.0,150000.0,1950000.0,27000000.0,0.0,2220000.0,1750000.0,46730000.0,690000.0,557710000.0,0.0,10000.0,4200000.0,5970000.0,10000.0,0.0,900000.0,14600000.0,1100000.0,2640000.0
1992,150000.0,1720000.0,420000.0,270000.0,16690001.0,1910000.0,60000.0,9730000.0,13410000.0,3620000.0,30000.0,27760000.0,259999.98,460000.0,4450000.0,4690000.0,150000.0,259999.98,220000.0,12110000.0,30000.0,810000.0,20380000.0,60000.0,50000.0,20000.0,300000.0,30000.0,65900000.0,17800000.0,4480000.0,458500000.0,1110000.0,1910000.0,2940000.0,210000.0,0.0,5030000.0,10000.0,20000.0,180000.0,1660000.0,220000.0,16450001.0,182770000.0,90000.0,10000.0,6060000.0,1410000.0,7800000.0,1550000.0,9470000.0,220000.0,19780000.0,750000.0,6380000.0,7060000.0,50000.0,96840000.0,0.0,360000.0,102780000.0,4310000.0,1360000.0,90000.0,0.0,20000.0,60000.0,5470000.0,10000.0,1520000.0,70000.0,840000.0,1930000.0,510000.0,14570000.0,34440000.0,91840000.0,8900000.0,56190000.0,4810000.0,40000.0,1370000.0,68740000.0,280000.0,1410000.0,126910000.0,500000.0,2360000.0,0.0,,0.0,20000.0,62560000.0,259999.98,,740000.0,20000.0,1550000.0,10000.0,1370000.0,90000.0,2950000.0,1450000.0,2400000.0,2590000.0,1880000.0,860000.0,0.0,26220000.0,0.0,460000.0,,100000.0,3060000.0,,519999.97,1400000.0,0.0,129999.99,50000.0,2290000.0,60000.0,480000.0,24490000.0,450000.0,0.0,30500000.0,2030000.0,2430000.0,0.0,1500000.0,110000.0,2797650000.0,13950000.0,370000.0,4020000.0,5400000.0,10000.0,80000.0,57820000.0,400000.0,2900000.0,540000.0,100000.0,7160000.0,212050000.0,610000.0,2720000.0,1320000.0,340000.0,650000.0,0.0,40000.0,560000.0,60000.0,3260000.0,,0.0,,10440000.0,2190000.0,9320000.0,270000.0,10000.0,3140000.0,500000.0,280000.0,4490000.0,0.0,2770000.0,0.0,10000.0,200000.0,2020000.0,29360000.0,0.0,2250000.0,1810000.0,52620000.0,730000.0,567600000.0,0.0,10000.0,5310000.0,6170000.0,10000.0,0.0,1110000.0,14530000.0,1120000.0,2570000.0
1993,160000.0,1650000.0,300000.0,259999.98,18580000.0,590000.0,60000.0,10210000.0,13160000.0,2380000.0,30000.0,26980000.0,259999.98,480000.0,4600000.0,5380000.0,150000.0,220000.0,110000.0,10990000.0,30000.0,850000.0,20500000.0,60000.0,60000.0,30000.0,330000.0,30000.0,69110000.0,17220000.0,4650000.0,469020000.0,1130000.0,1970000.0,3020000.0,210000.0,0.0,5340000.0,10000.0,20000.0,180000.0,1180000.0,200000.0,15780000.0,191010000.0,90000.0,10000.0,6860000.0,1620000.0,8260000.0,1540000.0,8480000.0,240000.0,18940000.0,590000.0,6680000.0,5970000.0,50000.0,93640000.0,0.0,370000.0,105200000.0,4610000.0,1400000.0,90000.0,0.0,20000.0,70000.0,5400000.0,10000.0,1510000.0,70000.0,790000.0,2180000.0,530000.0,15490000.0,34830000.0,92410000.0,8840000.0,55280000.0,5460000.0,40000.0,1400000.0,68330000.0,340000.0,1290000.0,133030000.0,380000.0,2370000.0,0.0,,0.0,20000.0,63630000.0,259999.98,,2620000.0,20000.0,1660000.0,10000.0,1370000.0,100000.0,2540000.0,1430000.0,2330000.0,2790000.0,2530000.0,880000.0,0.0,26710000.0,0.0,100000.0,,100000.0,3030000.0,,850000.0,1420000.0,0.0,140000.0,50000.0,2630000.0,60000.0,500000.0,24280000.0,450000.0,0.0,32230000.0,2000000.0,2530000.0,0.0,1220000.0,90000.0,2864170000.0,14510000.0,380000.0,3610000.0,5630000.0,10000.0,80000.0,60910000.0,360000.0,3000000.0,560000.0,110000.0,6590000.0,210600000.0,600000.0,2920000.0,1330000.0,350000.0,650000.0,0.0,40000.0,590000.0,40000.0,3230000.0,,0.0,,10160000.0,2500000.0,8800000.0,270000.0,10000.0,3250000.0,550000.0,250000.0,4670000.0,0.0,4780000.0,0.0,10000.0,200000.0,2330000.0,28440000.0,0.0,2300000.0,1850000.0,56750000.0,740000.0,593340000.0,0.0,10000.0,4940000.0,6810000.0,10000.0,0.0,1220000.0,17950000.0,1120000.0,2590000.0
1994,160000.0,1790000.0,280000.0,290000.0,18200000.0,790000.0,60000.0,9900000.0,12140000.0,4730000.0,30000.0,26260000.0,270000.0,480000.0,4850000.0,4630000.0,160000.0,220000.0,129999.99,8900000.0,40000.0,890000.0,21490000.0,60000.0,60000.0,30000.0,330000.0,30000.0,70350000.0,16129999.0,4900000.0,437320000.0,1150000.0,2089999.9,3120000.0,200000.0,0.0,4950000.0,10000.0,20000.0,200000.0,1080000.0,200000.0,15100000.0,178700000.0,90000.0,10000.0,6130000.0,1620000.0,8200000.0,1640000.0,9400000.0,240000.0,19960000.0,519999.97,6940000.0,6340000.0,50000.0,87680000.0,0.0,400000.0,106810000.0,1920000.0,1470000.0,80000.0,0.0,20000.0,70000.0,5450000.0,10000.0,1520000.0,90000.0,790000.0,2270000.0,510000.0,15540000.0,35670000.0,97270000.0,8870000.0,69400000.0,6260000.0,40000.0,1490000.0,59800000.0,330000.0,1680000.0,129920000.0,450000.0,2560000.0,0.0,,0.0,20000.0,61120000.0,290000.0,,3100000.0,20000.0,1860000.0,10000.0,1380000.0,100000.0,2420000.0,1370000.0,1940000.0,2920000.0,2310000.0,790000.0,0.0,27960000.0,0.0,300000.0,,100000.0,3120000.0,,850000.0,1450000.0,0.0,129999.99,60000.0,2690000.0,80000.0,519999.97,24010000.0,510000.0,0.0,30080000.0,2100000.0,2630000.0,0.0,1490000.0,120000.0,2777620200.0,15250000.0,400000.0,3450000.0,5820000.0,10000.0,80000.0,52700000.0,250000.0,3050000.0,540000.0,140000.0,5750000.0,187740000.0,540000.0,3030000.0,1510000.0,370000.0,660000.0,0.0,50000.0,610000.0,50000.0,2870000.0,,0.0,,8680000.0,2270000.0,9230000.0,340000.0,10000.0,3380000.0,540000.0,280000.0,4830000.0,0.0,10500000.0,0.0,10000.0,180000.0,2340000.0,24240000.0,0.0,2820000.0,1880000.0,54360000.0,680000.0,583450000.0,0.0,10000.0,4310000.0,7010000.0,10000.0,0.0,1350000.0,17010000.0,1130000.0,2460000.0
1995,160000.0,1840000.0,360000.0,290000.0,18120000.0,1170000.0,60000.0,10460000.0,13300000.0,3870000.0,30000.0,27490000.0,280000.0,510000.0,5190000.0,3450000.0,160000.0,250000.0,110000.0,8480000.0,40000.0,940000.0,22090000.0,60000.0,60000.0,30000.0,310000.0,30000.0,69340000.0,17090000.0,5000000.0,462860000.0,1190000.0,2079999.9,3210000.0,210000.0,0.0,5100000.0,10000.0,30000.0,210000.0,1070000.0,210000.0,15820000.0,179980000.0,90000.0,10000.0,6190000.0,1750000.0,8120000.0,1840000.0,9910000.0,280000.0,19770000.0,630000.0,7230000.0,6430000.0,50000.0,87640000.0,0.0,420000.0,102530000.0,720000.0,1560000.0,80000.0,0.0,20000.0,70000.0,5720000.0,20000.0,1610000.0,90000.0,810000.0,2500000.0,590000.0,14670000.0,37540000.0,99400000.0,8660000.0,71590000.0,5170000.0,40000.0,1660000.0,66379996.0,360000.0,1360000.0,138310000.0,300000.0,2840000.0,0.0,700000.0,0.0,20000.0,65780000.0,310000.0,,3700000.0,20000.0,2010000.0,10000.0,1400000.0,100000.0,2100000.0,1380000.0,1350000.0,3050000.0,2380000.0,920000.0,0.0,27970000.0,0.0,170000.0,,110000.0,3130000.0,,340000.0,1490000.0,0.0,140000.0,60000.0,2880000.0,90000.0,530000.0,24760000.0,470000.0,0.0,32090000.0,2069999.9,2760000.0,0.0,1400000.0,100000.0,2854820000.0,16309999.0,400000.0,3850000.0,6250000.0,10000.0,60000.0,52760000.0,290000.0,3230000.0,570000.0,140000.0,6480000.0,169400000.0,930000.0,2960000.0,1530000.0,390000.0,519999.97,0.0,50000.0,670000.0,50000.0,1870000.0,,0.0,,8460000.0,2530000.0,9110000.0,340000.0,10000.0,3490000.0,550000.0,310000.0,5030000.0,0.0,11220000.0,0.0,10000.0,160000.0,2460000.0,28900000.0,0.0,3140000.0,1920000.0,55200000.0,700000.0,588150000.0,29460000.0,10000.0,4880000.0,7640000.0,10000.0,0.0,1430000.0,15320000.0,1160000.0,2550000.0
1996,170000.0,2110000.0,450000.0,250000.0,17980000.0,250000.0,60000.0,10810000.0,14750000.0,4100000.0,30000.0,31910000.0,490000.0,480000.0,5250000.0,3950000.0,180000.0,230000.0,230000.0,8760000.0,40000.0,1010000.0,22150000.0,60000.0,60000.0,50000.0,320000.0,30000.0,74840000.0,17850000.0,4790000.0,404060000.0,1270000.0,2089999.9,3310000.0,200000.0,0.0,5580000.0,10000.0,30000.0,240000.0,1060000.0,210000.0,16820000.0,201720000.0,90000.0,10000.0,6700000.0,1930000.0,8340000.0,1990000.0,10070000.0,290000.0,20800000.0,730000.0,7530000.0,6370000.0,50000.0,96800000.0,0.0,420000.0,113670000.0,850000.0,1640000.0,80000.0,0.0,20000.0,70000.0,7560000.0,20000.0,1650000.0,90000.0,810000.0,2820000.0,600000.0,15070000.0,39100000.0,101500000.0,8740000.0,77010000.0,5650000.0,40000.0,1760000.0,68120000.0,370000.0,2030000.0,137440000.0,190000.0,2940000.0,0.0,720000.0,0.0,20000.0,69420000.0,310000.0,,3020000.0,10000.0,2140000.0,20000.0,1440000.0,100000.0,1810000.0,1550000.0,1340000.0,3140000.0,1490000.0,930000.0,0.0,27730000.0,0.0,230000.0,,110000.0,3080000.0,,250000.0,1670000.0,0.0,140000.0,60000.0,4060000.0,110000.0,580000.0,25590000.0,490000.0,0.0,37420000.0,2530000.0,2900000.0,0.0,1310000.0,100000.0,2918430000.0,16660000.0,440000.0,4170000.0,6450000.0,10000.0,60000.0,53660000.0,250000.0,3320000.0,590000.0,150000.0,6880000.0,161100000.0,1000000.0,3030000.0,1700000.0,430000.0,550000.0,0.0,40000.0,640000.0,50000.0,2920000.0,,0.0,,8600000.0,3080000.0,9910000.0,330000.0,20000.0,4130000.0,580000.0,330000.0,5390000.0,0.0,8610000.0,0.0,10000.0,160000.0,2590000.0,29200000.0,0.0,3350000.0,1980000.0,57820000.0,700000.0,624580030.0,32259998.0,10000.0,5290000.0,8570000.0,10000.0,0.0,1520000.0,13890000.0,1130000.0,2470000.0
1997,170000.0,2130000.0,440000.0,259999.98,18070000.0,320000.0,70000.0,10890000.0,13150000.0,4100000.0,30000.0,29560000.0,530000.0,490000.0,5810000.0,2830000.0,250000.0,220000.0,160000.0,7280000.0,40000.0,1130000.0,22510000.0,70000.0,70000.0,40000.0,310000.0,30000.0,72070000.0,16800000.0,5320000.0,446960000.0,1320000.0,2160000.0,3420000.0,180000.0,0.0,5120000.0,10000.0,30000.0,220000.0,940000.0,220000.0,15450000.0,187170000.0,100000.0,10000.0,5970000.0,2110000.0,8010000.0,2110000.0,11060000.0,290000.0,20870000.0,670000.0,7800000.0,6020000.0,50000.0,90930000.0,0.0,430000.0,105300000.0,1110000.0,1700000.0,80000.0,0.0,20000.0,70000.0,7840000.0,30000.0,1710000.0,100000.0,890000.0,2800000.0,610000.0,13990000.0,39930000.0,107410000.0,8490000.0,79330000.0,5740000.0,30000.0,1970000.0,65650000.0,360000.0,2190000.0,137490000.0,190000.0,3020000.0,0.0,740000.0,10000.0,20000.0,70700000.0,320000.0,,3860000.0,10000.0,2230000.0,20000.0,1490000.0,110000.0,1580000.0,1500000.0,1190000.0,3330000.0,1460000.0,960000.0,0.0,27360000.0,0.0,200000.0,,100000.0,3110000.0,,440000.0,1760000.0,0.0,140000.0,60000.0,3110000.0,129999.99,720000.0,26370000.0,490000.0,0.0,31850000.0,2180000.0,3050000.0,0.0,1330000.0,80000.0,2899220000.0,17790000.0,450000.0,3930000.0,6810000.0,10000.0,70000.0,49630000.0,160000.0,3470000.0,620000.0,150000.0,8510000.0,156340000.0,1250000.0,3080000.0,1730000.0,470000.0,690000.0,0.0,50000.0,790000.0,50000.0,2830000.0,,0.0,,8400000.0,2920000.0,8890000.0,330000.0,20000.0,4360000.0,550000.0,330000.0,5380000.0,0.0,10190000.0,0.0,10000.0,180000.0,2710000.0,30680000.0,0.0,3300000.0,2020000.0,49150000.0,710000.0,607080000.0,36310000.0,10000.0,4500000.0,8720000.0,10000.0,0.0,1650000.0,14270000.0,1230000.0,2500000.0
1998,170000.0,2230000.0,340000.0,259999.98,18380000.0,340000.0,70000.0,11120000.0,13170000.0,4470000.0,30000.0,29270000.0,570000.0,490000.0,6100000.0,3020000.0,320000.0,220000.0,180000.0,6330000.0,30000.0,1140000.0,22960000.0,80000.0,60000.0,40000.0,540000.0,30000.0,65000000.0,17380000.0,4720000.0,387240000.0,1340000.0,2260000.0,3530000.0,140000.0,0.0,5420000.0,10000.0,30000.0,230000.0,830000.0,220000.0,14070000.0,178880000.0,100000.0,10000.0,5730000.0,1270000.0,8660000.0,2130000.0,11790000.0,220000.0,21420000.0,580000.0,8000000.0,6160000.0,50000.0,94400000.0,0.0,430000.0,106940000.0,1250000.0,1790000.0,80000.0,0.0,20000.0,80000.0,8189999.5,30000.0,1760000.0,80000.0,900000.0,2860000.0,630000.0,13000000.0,40900000.0,105080000.0,8990000.0,80370000.0,5890000.0,40000.0,2100000.0,69350000.0,380000.0,2060000.0,141330000.0,210000.0,3240000.0,0.0,740000.0,0.0,20000.0,53980000.0,320000.0,,1500000.0,10000.0,2260000.0,20000.0,1510000.0,110000.0,1350000.0,1570000.0,1090000.0,3480000.0,1290000.0,970000.0,0.0,28430000.0,0.0,360000.0,,60000.0,3170000.0,,300000.0,1980000.0,0.0,150000.0,80000.0,3210000.0,120000.0,730000.0,25250000.0,500000.0,0.0,30420000.0,2110000.0,3140000.0,0.0,1350000.0,100000.0,2744940000.0,17980000.0,480000.0,4220000.0,7180000.0,10000.0,60000.0,40090000.0,150000.0,3530000.0,580000.0,160000.0,8920000.0,148490000.0,1100000.0,3170000.0,1780000.0,510000.0,460000.0,0.0,50000.0,830000.0,40000.0,3180000.0,,0.0,,8660000.0,2960000.0,8300000.0,330000.0,20000.0,4340000.0,560000.0,350000.0,5070000.0,0.0,9850000.0,0.0,20000.0,190000.0,2730000.0,27300000.0,0.0,3280000.0,2050000.0,43160000.0,750000.0,555620000.0,40240000.0,10000.0,4490000.0,9340000.0,10000.0,0.0,1680000.0,13690000.0,1230000.0,2420000.0
1999,170000.0,2500000.0,300000.0,270000.0,19690000.0,280000.0,70000.0,11020000.0,13680000.0,4770000.0,20000.0,27720000.0,680000.0,340000.0,6040000.0,2280000.0,170000.0,210000.0,180000.0,6280000.0,40000.0,1140000.0,24070000.0,90000.0,60000.0,40000.0,400000.0,40000.0,68140000.0,17500000.0,5080000.0,393029980.0,1430000.0,2240000.0,3640000.0,170000.0,0.0,5480000.0,10000.0,40000.0,259999.98,940000.0,210000.0,13120000.0,166920000.0,100000.0,10000.0,5550000.0,1280000.0,9120000.0,2050000.0,10750000.0,220000.0,22700000.0,620000.0,8210000.0,5300000.0,50000.0,95680000.0,0.0,430000.0,103060000.0,1120000.0,1830000.0,70000.0,0.0,20000.0,90000.0,8000000.0,30000.0,2040000.0,100000.0,760000.0,3080000.0,690000.0,13550000.0,45800000.0,108340000.0,8810000.0,80750000.0,5870000.0,30000.0,1920000.0,73610000.0,380000.0,2170000.0,149070000.0,170000.0,3550000.0,0.0,780000.0,10000.0,20000.0,64410004.0,330000.0,,1870000.0,10000.0,2430000.0,30000.0,1560000.0,110000.0,1260000.0,1400000.0,1060000.0,3690000.0,1260000.0,960000.0,10000.0,26130000.0,0.0,620000.0,,80000.0,3150000.0,,320000.0,2000000.0,0.0,150000.0,120000.0,4000000.0,100000.0,760000.0,27080000.0,540000.0,0.0,28760000.0,2200000.0,3300000.0,0.0,1360000.0,100000.0,2816899800.0,19900000.0,500000.0,4330000.0,7700000.0,10000.0,70000.0,41340000.0,110000.0,3500000.0,610000.0,120000.0,8060000.5,164970000.0,1140000.0,3200000.0,1860000.0,570000.0,450000.0,0.0,50000.0,810000.0,30000.0,2790000.0,,0.0,,8530000.0,3210000.0,8170000.0,330000.0,20000.0,4380000.0,560000.0,430000.0,5420000.0,0.0,11580000.0,0.0,20000.0,180000.0,2830000.0,26360000.0,0.0,3310000.0,2060000.0,46320000.0,720000.0,573860000.0,41870000.0,10000.0,5810000.0,9680000.0,10000.0,0.0,1510000.0,12560000.0,1240000.0,2720000.0
