Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,320000.0,480000.0,730000.0,13630000.0,29080000.0,6120000.0,80000.0,143290000.0,20040000.0,21850000.0,0.0,31810000.0,30000.0,129999.99,4460000.0,45450000.0,9540000.0,860000.0,10770000.0,62390000.0,80000.0,1550000.0,28800000.0,480000.0,2540000.0,10000.0,1530000.0,20000.0,138720000.0,2520000.0,10660000.0,728780000.0,590000.0,40000.0,100000.0,10000.0,10000.0,12490000.0,10000.0,30000.0,190000.0,12950000.0,1780000.0,70880000.0,413560000.0,129999.99,10000.0,26720000.0,3290000.0,23130000.0,1610000.0,25420000.0,,78340000.0,28380000.0,300000.0,20030000.0,60000.0,75160000.0,0.0,310000.0,249000000.0,17160000.0,40000.0,330000.0,60000.0,30000.0,20000.0,37250000.0,50000.0,250000.0,350000.0,40000.0,7900000.0,250000.0,23490000.0,47870000.0,232960000.0,10910000.0,41960000.0,16719999.0,0.0,19850000.0,143880000.0,2030000.0,3450000.0,440149980.0,115750000.0,430000.0,3930000.0,,10000.0,60000.0,65050004.0,20550000.0,,2810000.0,250000.0,11710000.0,100000.0,150000.0,0.0,13690000.0,1730000.0,9870000.0,7950000.0,13700000.0,190000.0,30000.0,94510000.0,0.0,5650000.0,,1780000.0,1590000.0,,6650000.0,110000.0,0.0,440000.0,10000.0,19040000.0,,290000.0,8260000.0,570000.0,0.0,57850000.0,7340000.0,0.0,30000.0,4570000.0,5750000.0,8652951000.0,16049999.0,550000.0,3990000.0,10820000.0,0.0,780000.0,229960000.0,16250000.0,16559999.0,40000.0,7750000.0,79650000.0,1235010000.0,0.0,71150000.0,510000.0,880000.0,23220000.0,30000.0,90000.0,170000.0,270000.0,40590000.0,,10000.0,,17800000.0,6350000.0,9870000.0,270000.0,90000.0,7980000.0,100000.0,70000.0,30830000.0,1540000.0,13080000.0,0.0,20000.0,4720000.0,4010000.2,39570000.0,0.0,290000.0,0.0,358300000.0,530000.0,2171629800.0,47300000.0,30000.0,36530000.0,4900000.0,20000.0,20000.0,1600000.0,146550000.0,160000.0,7020000.0
1991,300000.0,440000.0,540000.0,13900000.0,32460000.0,7820000.0,80000.0,145920000.0,20890000.0,22520000.0,0.0,32300000.0,30000.0,129999.99,4600000.0,39800000.0,9120000.0,890000.0,8740000.0,58900000.0,100000.0,1520000.0,28860000.0,480000.0,2610000.0,0.0,1410000.0,20000.0,139400000.0,3040000.0,8380000.0,798080000.0,630000.0,40000.0,70000.0,0.0,10000.0,12980000.0,10000.0,40000.0,259999.98,11150000.0,1850000.0,69440000.0,411109980.0,129999.99,10000.0,35670000.0,3670000.0,24110000.0,1930000.0,26970000.0,,79540000.0,25960000.0,320000.0,21630000.0,60000.0,86230000.0,0.0,320000.0,247300000.0,11090000.0,50000.0,340000.0,60000.0,30000.0,20000.0,36490000.0,50000.0,310000.0,350000.0,30000.0,5510000.0,220000.0,24230000.0,54220000.0,260140020.0,11470000.0,45000000.0,14300000.0,0.0,20200000.0,139430000.0,1970000.0,3810000.0,440800000.0,114670000.0,410000.0,3940000.0,,10000.0,60000.0,76540000.0,4600000.0,,3180000.0,210000.0,11890000.0,100000.0,320000.0,0.0,14750000.0,1860000.0,8850000.0,7870000.0,12710000.0,200000.0,30000.0,106930000.0,0.0,5700000.0,,1610000.0,1610000.0,,8279999.5,129999.99,0.0,490000.0,10000.0,26530000.0,70000.0,280000.0,9700000.0,620000.0,0.0,59360000.0,6990000.0,30000.0,30000.0,4970000.0,5890000.0,8794410000.0,17720000.0,820000.0,3550000.0,13130000.0,0.0,780000.0,224020000.0,15030000.0,17170000.0,40000.0,8940000.0,68410000.0,1265210000.0,0.0,74820000.0,580000.0,850000.0,23970000.0,30000.0,100000.0,670000.0,270000.0,36030000.0,,10000.0,,17240000.0,5480000.0,12060000.0,250000.0,90000.0,8050000.0,90000.0,100000.0,37210000.0,1540000.0,11690000.0,0.0,20000.0,5020000.0,4410000.0,41630000.0,0.0,290000.0,0.0,320480000.0,920000.0,2191740000.0,47300000.0,30000.0,32990002.0,3650000.0,30000.0,20000.0,2120000.0,146090000.0,160000.0,8760000.0
1992,200000.0,370000.0,400000.0,14900000.0,31280000.0,4880000.0,80000.0,148360000.0,17650000.0,23070000.0,0.0,31480000.0,30000.0,129999.99,5210000.0,37870000.0,10900000.0,930000.0,6910000.0,54800000.0,110000.0,1720000.0,30630000.0,460000.0,2710000.0,0.0,1660000.0,20000.0,146500000.0,3170000.0,7120000.0,881909950.0,690000.0,30000.0,50000.0,10000.0,10000.0,13650000.0,20000.0,50000.0,670000.0,9180000.0,2150000.0,67360000.0,394429980.0,129999.99,10000.0,30660000.0,4400000.0,24090000.0,2430000.0,27690000.0,270000.0,89190000.0,19650000.0,70000.0,19270000.0,60000.0,74610000.0,50000.0,310000.0,246770000.0,8840000.0,50000.0,340000.0,60000.0,30000.0,20000.0,39030000.0,50000.0,920000.0,340000.0,120000.0,6140000.0,129999.99,24650000.0,56310000.0,279840000.0,12200000.0,45980000.0,29750000.0,0.0,22970000.0,138670000.0,3640000.0,4430000.0,446149980.0,112440000.0,460000.0,2720000.0,,10000.0,60000.0,88340000.0,11840000.0,,2630000.0,230000.0,11820000.0,110000.0,790000.0,0.0,8680000.0,1750000.0,7100000.0,8450000.0,13160000.0,190000.0,30000.0,107910000.0,50000.0,5700000.0,,1550000.0,1710000.0,,8050000.0,90000.0,0.0,510000.0,10000.0,26170000.0,30000.0,259999.98,11460000.0,780000.0,0.0,60160000.0,10320000.0,40000.0,30000.0,6150000.0,6060000.0,8953870000.0,20400000.0,1200000.0,4040000.0,13880000.0,90000.0,780000.0,215420000.0,13860000.0,20380000.0,40000.0,9350000.0,85560000.0,1222199900.0,0.0,81370000.0,510000.0,950000.0,25560000.0,30000.0,100000.0,640000.0,259999.98,34360000.0,,10000.0,,16610001.0,6000000.0,11800000.0,210000.0,100000.0,8450000.0,90000.0,40000.0,40600000.0,1690000.0,5910000.0,0.0,20000.0,5320000.0,4650000.0,44860000.0,0.0,290000.0,0.0,273810000.0,1110000.0,2289280000.0,48330000.0,30000.0,36720000.0,3060000.0,30000.0,20000.0,2300000.0,148410000.0,160000.0,8870000.0
1993,200000.0,310000.0,530000.0,17160000.0,30540000.0,810000.0,80000.0,149790000.0,17790000.0,22420000.0,0.0,31380000.0,30000.0,120000.0,5800000.0,38290000.0,11650000.0,900000.0,6000000.0,46360000.0,120000.0,1680000.0,30950000.0,480000.0,2950000.0,0.0,1650000.0,20000.0,138110000.0,2830000.0,7210000.0,1002360000.0,910000.0,30000.0,50000.0,10000.0,10000.0,14140000.0,20000.0,50000.0,500000.0,9300000.0,2270000.0,65449996.0,386090000.0,129999.99,10000.0,32240002.0,4060000.0,25310000.0,1880000.0,27520000.0,330000.0,78550000.0,15010000.0,80000.0,22360000.0,60000.0,61740000.0,60000.0,340000.0,225330000.0,6130000.0,60000.0,340000.0,60000.0,30000.0,20000.0,39060000.0,60000.0,920000.0,340000.0,170000.0,6450000.0,80000.0,24980000.0,62850000.0,308200000.0,12220000.0,54440000.0,46690000.0,0.0,24490000.0,135290000.0,4780000.0,4570000.0,429890020.0,102870000.0,490000.0,1520000.0,,10000.0,60000.0,97650000.0,15950000.0,,3200000.0,230000.0,12030000.0,120000.0,420000.0,0.0,7360000.0,1770000.0,5340000.0,9290000.0,10530000.0,190000.0,40000.0,114540000.0,50000.0,5930000.0,,2120000.0,1900000.0,,7250000.0,60000.0,0.0,530000.0,110000.0,29880000.0,210000.0,280000.0,11690000.0,740000.0,0.0,61660000.0,11410000.0,60000.0,30000.0,5380000.0,6510000.0,9001820000.0,22550000.0,1060000.0,4120000.0,13030000.0,90000.0,790000.0,202260000.0,11550000.0,19050000.0,30000.0,9960000.0,82330000.0,1104860000.0,0.0,89270000.0,890000.0,970000.0,30310000.0,30000.0,100000.0,840000.0,240000.0,31620000.0,,10000.0,,18180000.0,6060000.0,12050000.0,100000.0,100000.0,8710000.0,90000.0,60000.0,43940000.0,1290000.0,8310000.5,0.0,20000.0,5230000.0,4710000.0,45250000.0,0.0,350000.0,0.0,260950020.0,640000.0,2348060200.0,47190000.0,40000.0,37410000.0,2800000.0,30000.0,20000.0,2180000.0,158290000.0,160000.0,8100000.5
1994,190000.0,380000.0,610000.0,18850000.0,30310000.0,820000.0,80000.0,152540000.0,19310000.0,16940000.0,0.0,33600000.0,30000.0,100000.0,6100000.0,35170000.0,11930000.0,910000.0,690000.0,42380000.0,110000.0,1950000.0,30770000.0,490000.0,3170000.0,0.0,1670000.0,20000.0,142680000.0,3020000.0,9270000.0,1088000000.0,1050000.0,30000.0,40000.0,0.0,10000.0,12460000.0,20000.0,50000.0,910000.0,10520000.0,2400000.0,65739996.0,386630000.0,129999.99,10000.0,36420000.0,4970000.0,24980000.0,1840000.0,26880000.0,320000.0,80490000.0,15550000.0,70000.0,27070000.0,80000.0,61630000.0,60000.0,259999.98,219460000.0,4540000.0,80000.0,340000.0,60000.0,40000.0,20000.0,40590000.0,60000.0,1010000.0,390000.0,330000.0,5160000.0,30000.0,24400000.0,64050004.0,321309980.0,12670000.0,57920000.0,54900000.0,0.0,26180000.0,137890000.0,4070000.2,4690000.0,471600000.0,105660000.0,550000.0,1200000.0,,10000.0,70000.0,109120000.0,20940000.0,,3540000.0,230000.0,14390000.0,129999.99,440000.0,0.0,7290000.0,1390000.0,4480000.0,10250000.0,8090000.0,200000.0,50000.0,130860000.0,50000.0,5950000.0,,1820000.0,2200000.0,,6670000.0,30000.0,0.0,610000.0,129999.99,31500000.0,230000.0,270000.0,10530000.0,850000.0,0.0,65089996.0,12080000.0,70000.0,30000.0,4700000.0,7110000.0,9101481000.0,23500000.0,1100000.0,3830000.0,15530000.0,90000.0,320000.0,201410000.0,12100000.0,19050000.0,10000.0,10540000.0,69850000.0,1017620000.0,0.0,91290000.0,670000.0,1020000.0,31650000.0,30000.0,100000.0,1210000.0,240000.0,28920000.0,,10000.0,,16389999.0,5660000.0,12610000.0,100000.0,110000.0,10490000.0,90000.0,110000.0,48470000.0,720000.0,11230000.0,0.0,20000.0,5230000.0,4770000.0,50740000.0,0.0,440000.0,0.0,221070000.0,129999.99,2373440000.0,41820000.0,40000.0,37900000.0,3740000.0,30000.0,10000.0,2370000.0,162210000.0,140000.0,8560000.0
1995,180000.0,380000.0,400000.0,20170000.0,29280000.0,1390000.0,80000.0,158770000.0,20870000.0,15470000.0,0.0,33270000.0,30000.0,110000.0,6730000.0,35710000.0,12040000.0,910000.0,790000.0,36780000.0,90000.0,2270000.0,32290000.0,519999.97,3470000.0,0.0,1760000.0,20000.0,148030000.0,2880000.0,10140000.0,1191430000.0,1020000.0,30000.0,40000.0,10000.0,10000.0,14100000.0,20000.0,60000.0,870000.0,11080000.0,2190000.0,68460000.0,381060000.0,129999.99,20000.0,32770000.0,5020000.0,25900000.0,3950000.0,27420000.0,310000.0,89660000.0,13470000.0,80000.0,25010000.0,100000.0,66570000.0,70000.0,330000.0,216880000.0,5390000.0,70000.0,350000.0,60000.0,40000.0,20000.0,42320000.0,70000.0,1130000.0,420000.0,910000.0,5780000.0,160000.0,24760000.0,74440000.0,366549980.0,13190000.0,61740000.0,53870000.0,10000.0,27460000.0,150490000.0,5260000.0,5180000.0,460200000.0,80460000.0,500000.0,2210000.0,160000.0,10000.0,70000.0,120860000.0,20470000.0,,3630000.0,230000.0,17120000.0,140000.0,360000.0,0.0,6430000.0,910000.0,4120000.0,11740000.0,6210000.0,230000.0,60000.0,122310000.0,60000.0,6090000.0,,1590000.0,2490000.0,,6620000.0,30000.0,0.0,640000.0,129999.99,34790000.0,40000.0,290000.0,10880000.0,960000.0,0.0,68380000.0,10680000.0,30000.0,30000.0,4390000.0,8490000.0,9291650000.0,26700000.0,1260000.0,4500000.0,18320000.0,90000.0,519999.97,186690000.0,11430000.0,21990000.0,110000.0,11050000.0,69900000.0,960690000.0,0.0,94790000.0,890000.0,1030000.0,30950000.0,30000.0,80000.0,1360000.0,230000.0,36570000.0,,10000.0,,18040000.0,5960000.0,11910000.0,50000.0,110000.0,11530000.0,90000.0,60000.0,53040000.0,570000.0,11830000.0,0.0,20000.0,5150000.0,4750000.0,52030000.0,0.0,590000.0,0.0,204750000.0,580000.0,2436260000.0,35820000.0,40000.0,39230000.0,4510000.0,30000.0,20000.0,2680000.0,170310000.0,129999.99,7490000.0
1996,170000.0,410000.0,330000.0,21500000.0,33250000.0,1540000.0,90000.0,166060000.0,21440000.0,14860000.0,0.0,33000000.0,30000.0,140000.0,6730000.0,36040000.0,12610000.0,910000.0,2110000.0,36460000.0,80000.0,2000000.0,34780000.0,550000.0,3590000.0,0.0,1320000.0,20000.0,149320000.0,2970000.0,13990000.0,1336760000.0,1490000.0,30000.0,40000.0,10000.0,20000.0,11980000.0,20000.0,60000.0,519999.97,11640000.0,2310000.0,73360000.0,391750000.0,129999.99,20000.0,45400000.0,5150000.0,25770000.0,4190000.0,28100000.0,330000.0,77140000.0,14030000.0,70000.0,31990000.0,150000.0,70330000.0,70000.0,410000.0,224130000.0,1590000.0,60000.0,350000.0,70000.0,40000.0,20000.0,39170000.0,70000.0,1039999.94,410000.0,740000.0,5530000.0,240000.0,25100000.0,77710000.0,389900000.0,13790000.0,64989996.0,53040000.0,10000.0,29040000.0,145840000.0,5080000.0,5410000.0,466210000.0,72820000.0,580000.0,2490000.0,200000.0,10000.0,80000.0,133470000.0,20830000.0,,4990000.0,230000.0,17300000.0,140000.0,1220000.0,0.0,7130000.0,740000.0,4340000.0,10000000.0,6000000.0,120000.0,60000.0,127720000.0,60000.0,6610000.0,,1640000.0,2690000.0,,5890000.0,30000.0,0.0,700000.0,160000.0,38350000.0,40000.0,270000.0,11620000.0,1030000.0,0.0,69470000.0,9980000.0,30000.0,30000.0,5320000.0,8860000.0,9649010000.0,27460000.0,1070000.0,5460000.0,20570000.0,90000.0,570000.0,193480000.0,11420000.0,17780000.0,30000.0,11620000.0,71800000.0,984750000.0,0.0,97820000.0,1020000.0,1070000.0,32480000.0,30000.0,90000.0,920000.0,230000.0,35600000.0,,10000.0,,17340000.0,5680000.0,16420000.0,50000.0,110000.0,12690000.0,90000.0,50000.0,60770000.0,590000.0,9600000.0,0.0,20000.0,5320000.0,5010000.0,57840000.0,0.0,430000.0,0.0,165450000.0,940000.0,2517460000.0,38040000.0,40000.0,43160000.0,5650000.0,30000.0,30000.0,2800000.0,178300000.0,110000.0,6720000.0
1997,160000.0,630000.0,320000.0,23240000.0,33050000.0,1800000.0,100000.0,170890000.0,21940000.0,14330000.0,0.0,31450000.0,50000.0,180000.0,7180000.0,29710000.0,12730000.0,1020000.0,5860000.0,38030000.0,90000.0,2069999.9,39150000.0,560000.0,3880000.0,0.0,1410000.0,20000.0,162000000.0,3170000.0,15850000.0,1334530000.0,2130000.0,30000.0,50000.0,0.0,20000.0,14610000.0,20000.0,60000.0,290000.0,10980000.0,2440000.0,72230000.0,375810000.0,129999.99,20000.0,36310000.0,5880000.0,27740000.0,4690000.0,30650000.0,310000.0,89550000.0,13880000.0,50000.0,29460000.0,120000.0,65809996.0,70000.0,420000.0,211710000.0,1490000.0,30000.0,350000.0,70000.0,50000.0,20000.0,39170000.0,80000.0,1080000.0,440000.0,870000.0,5990000.0,350000.0,26120000.0,88990000.0,403920000.0,14310000.0,68880000.0,70540000.0,10000.0,31270000.0,148070000.0,5260000.0,5570000.0,460680000.0,59850000.0,610000.0,2420000.0,259999.98,10000.0,90000.0,152240000.0,22080000.0,,5960000.0,240000.0,17150000.0,150000.0,1510000.0,0.0,6660000.0,450000.0,3840000.0,10680000.0,5160000.0,190000.0,70000.0,141910000.0,60000.0,6090000.0,,1600000.0,2870000.0,,5520000.0,30000.0,0.0,720000.0,160000.0,42110000.0,40000.0,290000.0,12110000.0,1110000.0,0.0,70600000.0,12240000.0,90000.0,30000.0,7470000.0,9440000.0,9923490000.0,29680000.0,1290000.0,5470000.0,23980000.0,90000.0,670000.0,187540000.0,11070000.0,18940000.0,20000.0,12800000.0,63520000.0,913010000.0,0.0,103260000.0,1130000.0,1180000.0,32000000.0,30000.0,50000.0,1400000.0,220000.0,38580000.0,,10000.0,,17320000.0,5990000.0,12170000.0,60000.0,140000.0,13570000.0,90000.0,50000.0,65290000.0,700000.0,9830000.0,0.0,20000.0,5660000.0,5400000.0,63410000.0,0.0,480000.0,0.0,153630000.0,720000.0,2756790000.0,38330000.0,50000.0,49650000.0,8160000.0,30000.0,20000.0,3080000.0,188270000.0,150000.0,5990000.0
1998,160000.0,590000.0,330000.0,25560000.0,38020000.0,1790000.0,110000.0,190150000.0,21050000.0,15930000.0,0.0,33099998.0,50000.0,190000.0,7820000.0,29160000.0,13640000.0,1100000.0,7970000.0,36060000.0,90000.0,2140000.0,39860000.0,550000.0,3240000.0,0.0,1320000.0,20000.0,176400000.0,3690000.0,18720000.0,1416390000.0,2470000.0,50000.0,50000.0,0.0,20000.0,16299999.0,20000.0,70000.0,370000.0,10840000.0,2680000.0,68660000.0,375820000.0,150000.0,30000.0,32770000.0,8740000.0,27800000.0,5200000.0,34760000.0,240000.0,88940000.0,12550000.0,40000.0,24290000.0,120000.0,80440000.0,80000.0,490000.0,216770000.0,1570000.0,1220000.0,350000.0,80000.0,20000.0,30000.0,40610000.0,80000.0,2079999.9,480000.0,1320000.0,6630000.0,259999.98,26980000.0,98830000.0,420029980.0,15130000.0,70660000.0,41380000.0,20000.0,32430000.0,151960000.0,5470000.0,6030000.0,443440000.0,61430000.0,1120000.0,1820000.0,310000.0,10000.0,90000.0,134800000.0,25860000.0,,8060000.5,250000.0,18050000.0,160000.0,1330000.0,0.0,7510000.0,160000.0,3700000.0,10670000.0,4970000.0,280000.0,80000.0,159260000.0,60000.0,6990000.0,,1630000.0,2910000.0,,6280000.0,20000.0,0.0,850000.0,170000.0,44960000.0,50000.0,310000.0,11410000.0,1500000.0,0.0,72960000.0,13250000.0,90000.0,30000.0,7000000.0,9930000.0,10147630000.0,28510000.0,2040000.0,4850000.0,24640000.0,90000.0,900000.0,181090000.0,8730000.0,21290000.0,20000.0,13810000.0,55150000.0,909789950.0,0.0,110370000.0,940000.0,1240000.0,31110000.0,40000.0,70000.0,1450000.0,210000.0,38230000.0,,10000.0,,16639999.0,6380000.0,13100000.0,60000.0,140000.0,14740000.0,90000.0,140000.0,62620000.0,700000.0,9360000.0,0.0,20000.0,5970000.0,5770000.0,67880000.0,0.0,120000.0,0.0,147610000.0,630000.0,2814450000.0,41370000.0,50000.0,50300000.0,10520000.0,30000.0,40000.0,3340000.0,195360000.0,160000.0,6230000.0
1999,160000.0,850000.0,290000.0,28170000.0,42850000.0,1460000.0,120000.0,195000000.0,20190000.0,15970000.0,0.0,30010000.0,50000.0,170000.0,8810000.0,26930000.0,13720000.0,1160000.0,7850000.0,35180000.0,60000.0,1680000.0,46430000.0,600000.0,3150000.0,0.0,1670000.0,20000.0,178060000.0,3470000.0,21280000.0,1439690000.0,2510000.0,40000.0,50000.0,20000.0,20000.0,12020000.0,20000.0,80000.0,129999.99,10400000.0,2860000.0,63680000.0,360660000.0,150000.0,30000.0,29680000.0,9330000.0,29350000.0,3930000.0,36750000.0,290000.0,107130000.0,12210000.0,20000.0,24720000.0,140000.0,74530000.0,60000.0,460000.0,215790000.0,1430000.0,1150000.0,350000.0,80000.0,10000.0,30000.0,41980000.0,80000.0,1840000.0,410000.0,850000.0,6770000.0,200000.0,26640000.0,95850000.0,461709980.0,15620000.0,89570000.0,18930000.0,40000.0,33310002.0,147850000.0,5530000.0,5860000.0,469900000.0,59040000.0,1430000.0,1750000.0,340000.0,10000.0,100000.0,142800000.0,30520000.0,,8180000.5,160000.0,18800000.0,170000.0,1570000.0,0.0,6060000.0,180000.0,3270000.0,11050000.0,4380000.0,280000.0,100000.0,153200000.0,60000.0,6290000.0,,1700000.0,3170000.0,,6160000.0,20000.0,0.0,1039999.94,160000.0,48740000.0,40000.0,259999.98,12540000.0,1380000.0,0.0,67590000.0,14330000.0,50000.0,30000.0,8160000.0,10790000.0,10206809000.0,33090000.0,1180000.0,4950000.0,22640000.0,90000.0,830000.0,175570000.0,10550000.0,26650000.0,30000.0,16040001.0,47250000.0,920040000.0,0.0,112760000.0,1130000.0,1320000.0,31840000.0,50000.0,50000.0,1090000.0,200000.0,28600000.0,,20000.0,,16530001.0,5550000.0,11910000.0,50000.0,150000.0,15790000.0,90000.0,90000.0,62420000.0,700000.0,11420000.0,0.0,20000.0,5870000.0,6220000.0,72140000.0,0.0,190000.0,0.0,145350000.0,1650000.0,2782060000.0,39790000.0,60000.0,51630000.0,9670000.0,40000.0,30000.0,4060000.0,185330000.0,90000.0,5990000.0
