Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,280000.0,8040000.0,330000.0,0.0,21370000.0,24300000.0,1990000.0,0.0,20860000.0,600000.0,18070000.0,0.0,1120000.0,30000.0,0.0,990000.0,2300000.0,2540000.0,0.0,1900000.0,980000.0,0.0,9190000.0,10450000.0,70000.0,1240000.0,0.0,0.0,0.0,30450000.0,360000.0,810000.0,128280000.0,20000.0,4860000.0,910000.0,6380000.0,8510000.0,0.0,0.0,0.0,120000.0,0.0,11400000.0,4750000.0,0.0,0.0,1140000.0,0.0,52750000.0,5300000.0,19480000.0,0.0,2760000.0,60000.0,0.0,10000.0,0.0,2140000.0,0.0,10970000.0,13290000.0,7150000.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,0.0,0.0,0.0,430000.0,0.0,2160000.0,45390000.0,58320000.0,210000.0,96720000.0,29480000.0,10000.0,10000.0,4420000.0,0.0,60000.0,4940000.0,15720000.0,0.0,1680000.0,0.0,0.0,0.0,14470000.0,11080000.0,0.0,0.0,0.0,48530000.0,0.0,0.0,0.0,0.0,270000.0,20000.0,250000.0,20000.0,810000.0,0.0,0.0,38350000.0,0.0,180000.0,0.0,0.0,70000.0,40000.0,230000.0,10000.0,0.0,0.0,20000.0,8120000.0,0.0,0.0,108560000.0,0.0,480000.0,1640000.0,0.0,0.0,940000.0,9360000.0,2345899800.0,5170000.0,0.0,2130000.0,100000.0,0.0,0.0,830000.0,20500000.0,100000.0,0.0,3460000.0,17430000.0,414109980.0,0.0,58760000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,180000.0,2400000.0,40000.0,30000.0,0.0,0.0,33590000.0,0.0,0.0,2069999.9,1050000.0,93060000.0,0.0,0.0,12560000.0,2980000.0,4159999.8,0.0,0.0,0.0,13680000.0,0.0,250560000.0,15340000.0,0.0,156100000.0,3260000.0,0.0,0.0,8730000.0,23610000.0,10000.0,380000.0
1991,240000.0,8270000.5,270000.0,0.0,22020000.0,23630000.0,1850000.0,0.0,22250000.0,460000.0,16910000.0,0.0,970000.0,30000.0,0.0,1010000.0,1970000.0,2510000.0,0.0,1880000.0,910000.0,0.0,9850000.0,10190000.0,70000.0,1320000.0,0.0,0.0,0.0,31940000.0,390000.0,600000.0,129070010.0,10000.0,13750000.0,850000.0,6310000.0,8149999.5,0.0,0.0,0.0,90000.0,0.0,10230000.0,6050000.0,0.0,0.0,1660000.0,0.0,53120000.0,5140000.0,21720000.0,0.0,2540000.0,70000.0,0.0,50000.0,0.0,2290000.0,0.0,11930000.0,12930000.0,6290000.0,0.0,0.0,0.0,0.0,140000.0,1180000.0,0.0,0.0,0.0,0.0,350000.0,0.0,2150000.0,52050000.0,60090000.0,200000.0,103110000.0,2890000.0,10000.0,10000.0,4540000.0,0.0,60000.0,5120000.0,16500000.0,0.0,1690000.0,0.0,0.0,0.0,12640000.0,1840000.0,0.0,0.0,0.0,52200000.0,0.0,0.0,0.0,0.0,259999.98,20000.0,240000.0,20000.0,760000.0,0.0,0.0,39940000.0,0.0,170000.0,0.0,0.0,70000.0,40000.0,210000.0,10000.0,0.0,0.0,20000.0,8720000.0,0.0,0.0,117450000.0,0.0,519999.97,1250000.0,0.0,0.0,1030000.0,9500000.0,2356830000.0,5740000.0,0.0,2020000.0,70000.0,0.0,930000.0,820000.0,19210000.0,90000.0,0.0,5060000.0,14950000.0,385060000.0,0.0,84560000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,3560000.0,0.0,0.0,210000.0,2410000.0,40000.0,30000.0,0.0,0.0,40720000.0,0.0,0.0,2490000.0,1030000.0,91770000.0,0.0,0.0,12490000.0,2900000.0,3980000.0,0.0,0.0,0.0,13090000.0,0.0,250310000.0,16080000.0,0.0,172660000.0,4680000.0,0.0,0.0,8890000.0,24010000.0,10000.0,370000.0
1992,200000.0,9100000.0,200000.0,0.0,22720000.0,24740000.0,1700000.0,0.0,22830000.0,490000.0,35650000.0,0.0,830000.0,30000.0,0.0,1120000.0,2120000.0,2710000.0,0.0,530000.0,1020000.0,0.0,9960000.0,10070000.0,70000.0,1410000.0,0.0,0.0,0.0,33600000.0,400000.0,620000.0,132190000.0,70000.0,13380000.0,760000.0,6670000.0,8600000.0,0.0,0.0,0.0,140000.0,0.0,9690000.0,5610000.0,0.0,0.0,1770000.0,0.0,53300000.0,5650000.0,18940000.0,0.0,2790000.0,50000.0,0.0,70000.0,0.0,2270000.0,0.0,11900000.0,13500000.0,5420000.0,0.0,0.0,0.0,0.0,1370000.0,1230000.0,0.0,0.0,0.0,0.0,320000.0,0.0,1820000.0,53970000.0,50980000.0,190000.0,105660000.0,4190000.0,10000.0,10000.0,4600000.0,0.0,60000.0,5260000.0,16790000.0,0.0,1300000.0,0.0,0.0,0.0,9170000.0,10020000.0,0.0,0.0,0.0,44990000.0,0.0,0.0,0.0,0.0,250000.0,20000.0,220000.0,20000.0,690000.0,0.0,0.0,39740000.0,0.0,160000.0,0.0,0.0,70000.0,40000.0,170000.0,10000.0,0.0,0.0,20000.0,7820000.0,0.0,0.0,124410000.0,0.0,530000.0,1220000.0,0.0,0.0,1030000.0,10080000.0,2292980000.0,6140000.0,0.0,2030000.0,160000.0,0.0,1850000.0,780000.0,17930000.0,80000.0,0.0,3690000.0,13470000.0,404829980.0,0.0,85400000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,3530000.0,10000.0,0.0,240000.0,2440000.0,30000.0,40000.0,0.0,0.0,47220000.0,0.0,0.0,2690000.0,990000.0,61390000.0,0.0,0.0,11970000.0,3520000.0,3970000.0,0.0,0.0,0.0,12040000.0,0.0,249130000.0,15450000.0,0.0,172640000.0,5050000.0,0.0,0.0,8520000.0,23870000.0,10000.0,350000.0
1993,160000.0,11670000.0,140000.0,0.0,23660000.0,23980000.0,1560000.0,0.0,24240000.0,470000.0,18990000.0,0.0,880000.0,30000.0,0.0,1250000.0,2110000.0,2790000.0,0.0,190000.0,980000.0,0.0,7860000.0,9970000.0,70000.0,1560000.0,0.0,0.0,0.0,33550000.0,410000.0,840000.0,140120000.0,70000.0,10500000.0,1880000.0,6220000.0,9070000.0,0.0,0.0,0.0,180000.0,0.0,9560000.0,5660000.0,0.0,0.0,1750000.0,0.0,59860000.0,7350000.0,20690000.0,0.0,2640000.0,30000.0,0.0,80000.0,0.0,2310000.0,0.0,11960000.0,14660000.0,4550000.0,0.0,0.0,0.0,0.0,1510000.0,1220000.0,0.0,10000.0,0.0,0.0,330000.0,0.0,1750000.0,55190000.0,48180000.0,180000.0,111140000.0,8850000.0,10000.0,10000.0,4740000.0,0.0,70000.0,5260000.0,18760000.0,0.0,1020000.0,0.0,0.0,0.0,7570000.0,18910000.0,0.0,10000.0,0.0,50000000.0,0.0,0.0,0.0,0.0,240000.0,20000.0,210000.0,20000.0,620000.0,0.0,0.0,41260000.0,0.0,170000.0,0.0,0.0,70000.0,40000.0,140000.0,10000.0,0.0,0.0,20000.0,8990000.0,0.0,0.0,122070000.0,0.0,480000.0,1630000.0,0.0,0.0,1000000.0,12370000.0,2296120000.0,5920000.0,0.0,1990000.0,220000.0,0.0,2780000.0,880000.0,16639999.0,80000.0,0.0,5580000.0,13000000.0,403640000.0,0.0,71370000.0,40000.0,0.0,100000.0,0.0,0.0,0.0,0.0,3490000.0,10000.0,0.0,259999.98,2400000.0,30000.0,40000.0,0.0,0.0,51270000.0,0.0,0.0,3120000.0,950000.0,71730000.0,0.0,0.0,7600000.0,2900000.0,3900000.0,0.0,0.0,0.0,11210000.0,0.0,239660000.0,17780000.0,0.0,175290000.0,5360000.0,0.0,0.0,11250000.0,25830000.0,0.0,340000.0
1994,120000.0,14570000.0,80000.0,0.0,25820000.0,23080000.0,1420000.0,0.0,24860000.0,340000.0,2290000.0,0.0,760000.0,10000.0,0.0,1310000.0,1980000.0,2740000.0,0.0,190000.0,940000.0,0.0,5840000.0,9970000.0,70000.0,1590000.0,0.0,0.0,0.0,33430000.0,410000.0,1080000.0,152470000.0,70000.0,7520000.0,3080000.0,5440000.0,9850000.0,0.0,0.0,0.0,200000.0,0.0,9080000.0,6510000.0,0.0,0.0,1790000.0,0.0,64860000.0,9010000.0,21390000.0,0.0,2500000.0,40000.0,0.0,90000.0,0.0,2280000.0,0.0,13180000.0,16590000.0,3690000.0,50000.0,0.0,0.0,0.0,1620000.0,1260000.0,0.0,10000.0,0.0,0.0,300000.0,0.0,1750000.0,57420000.0,46580000.0,180000.0,111580000.0,13430000.0,10000.0,10000.0,4760000.0,0.0,120000.0,5510000.0,20670000.0,0.0,610000.0,0.0,0.0,0.0,6310000.0,22170000.0,0.0,10000.0,0.0,57530000.0,0.0,0.0,0.0,0.0,240000.0,20000.0,200000.0,10000.0,600000.0,0.0,0.0,42410000.0,0.0,180000.0,0.0,0.0,70000.0,40000.0,120000.0,10000.0,0.0,0.0,20000.0,10570000.0,0.0,0.0,119370000.0,0.0,420000.0,2100000.0,0.0,0.0,870000.0,14360000.0,2286390000.0,5940000.0,0.0,1830000.0,129999.99,0.0,3710000.0,880000.0,15350000.0,60000.0,0.0,7250000.0,11960000.0,406140000.0,0.0,57360000.0,80000.0,10000.0,120000.0,0.0,0.0,0.0,0.0,3450000.0,10000.0,0.0,290000.0,2430000.0,30000.0,40000.0,0.0,0.0,52690000.0,0.0,0.0,3770000.0,530000.0,46980000.0,0.0,0.0,3600000.0,2430000.0,3790000.0,0.0,0.0,0.0,10200000.0,0.0,244340000.0,21070000.0,0.0,179950000.0,5190000.0,0.0,0.0,17580000.0,26800000.0,0.0,330000.0
1995,80000.0,18190000.0,10000.0,0.0,26080000.0,26090000.0,1280000.0,0.0,26170000.0,340000.0,2340000.0,0.0,770000.0,10000.0,0.0,1420000.0,2079999.9,2770000.0,0.0,190000.0,920000.0,0.0,2920000.0,10280000.0,70000.0,1590000.0,0.0,0.0,0.0,36180000.0,410000.0,1250000.0,171290000.0,270000.0,7250000.0,3020000.0,6070000.0,11970000.0,0.0,0.0,0.0,230000.0,0.0,8940000.0,7960000.0,0.0,0.0,1810000.0,0.0,69500000.0,9130000.0,22040000.0,0.0,2360000.0,50000.0,0.0,90000.0,0.0,2310000.0,0.0,14200000.0,18440000.0,2820000.0,50000.0,0.0,0.0,0.0,1760000.0,1280000.0,0.0,10000.0,0.0,0.0,300000.0,0.0,1450000.0,57270000.0,49970000.0,170000.0,109850000.0,14080000.0,10000.0,10000.0,5040000.0,0.0,120000.0,5650000.0,21580000.0,0.0,560000.0,0.0,0.0,0.0,5250000.0,21580000.0,0.0,10000.0,0.0,61080000.0,0.0,0.0,0.0,0.0,230000.0,20000.0,200000.0,10000.0,670000.0,0.0,0.0,43420000.0,0.0,180000.0,0.0,0.0,70000.0,40000.0,120000.0,10000.0,0.0,0.0,20000.0,10880000.0,0.0,0.0,127710000.0,0.0,410000.0,2820000.0,0.0,0.0,870000.0,15640000.0,2355200000.0,6330000.0,0.0,1920000.0,70000.0,0.0,4630000.0,930000.0,14090000.0,20000.0,0.0,7290000.0,12170000.0,397840000.0,0.0,56620000.0,90000.0,20000.0,140000.0,0.0,0.0,0.0,0.0,3420000.0,10000.0,0.0,320000.0,2440000.0,40000.0,40000.0,0.0,0.0,54430000.0,0.0,0.0,3970000.0,380000.0,47010000.0,0.0,0.0,3040000.0,2360000.0,3750000.0,0.0,0.0,0.0,9890000.0,0.0,246240000.0,21510000.0,0.0,201190000.0,6540000.0,0.0,0.0,17420000.0,28160000.0,0.0,390000.0
1996,90000.0,22080000.0,10000.0,0.0,27240000.0,26900000.0,1130000.0,0.0,26850000.0,320000.0,2120000.0,0.0,750000.0,10000.0,0.0,1530000.0,2030000.0,2810000.0,0.0,360000.0,1010000.0,0.0,2820000.0,11930000.0,70000.0,1570000.0,0.0,0.0,0.0,37070000.0,410000.0,1360000.0,177730000.0,610000.0,7860000.0,3450000.0,7410000.0,12430000.0,0.0,0.0,0.0,330000.0,0.0,8810000.0,8430000.0,0.0,0.0,2010000.0,0.0,72600000.0,9830000.0,22200000.0,0.0,2300000.0,50000.0,0.0,90000.0,0.0,2350000.0,0.0,15050000.0,17400000.0,2830000.0,60000.0,0.0,0.0,0.0,2030000.0,1330000.0,0.0,10000.0,0.0,0.0,290000.0,0.0,1530000.0,61260000.0,50410000.0,160000.0,112740000.0,13970000.0,10000.0,10000.0,5170000.0,0.0,120000.0,5880000.0,23510000.0,0.0,660000.0,0.0,0.0,0.0,4810000.0,21900000.0,0.0,10000.0,0.0,62070000.0,0.0,0.0,0.0,0.0,210000.0,30000.0,190000.0,10000.0,720000.0,0.0,0.0,47070000.0,0.0,180000.0,0.0,0.0,80000.0,40000.0,110000.0,0.0,0.0,0.0,20000.0,12110000.0,0.0,0.0,149220000.0,0.0,440000.0,2150000.0,0.0,0.0,1020000.0,16270000.0,2417980000.0,6620000.0,0.0,1980000.0,30000.0,0.0,4360000.0,960000.0,12830000.0,20000.0,0.0,9090000.0,11880000.0,388800000.0,0.0,57550000.0,150000.0,10000.0,140000.0,0.0,0.0,0.0,0.0,3380000.0,1720000.0,0.0,350000.0,2460000.0,40000.0,40000.0,0.0,0.0,52690000.0,0.0,0.0,4700000.0,200000.0,47580000.0,0.0,0.0,3660000.0,2370000.0,3740000.0,0.0,0.0,0.0,10490000.0,0.0,246530000.0,22590000.0,0.0,223000000.0,7040000.0,0.0,0.0,17610000.0,28120000.0,0.0,450000.0
1997,90000.0,23160000.0,10000.0,0.0,26630000.0,27940000.0,990000.0,0.0,28180000.0,320000.0,2150000.0,0.0,720000.0,10000.0,0.0,1510000.0,1820000.0,2940000.0,0.0,530000.0,1060000.0,0.0,4010000.2,13110000.0,70000.0,1600000.0,0.0,0.0,0.0,38010000.0,400000.0,1270000.0,174400000.0,680000.0,7900000.0,3520000.0,8210000.0,14850000.0,0.0,0.0,0.0,340000.0,0.0,8650000.0,8210000.0,0.0,0.0,2260000.0,0.0,69770000.0,9590000.0,21550000.0,0.0,2260000.0,50000.0,0.0,80000.0,0.0,2200000.0,0.0,14750000.0,17720000.0,2830000.0,60000.0,0.0,0.0,0.0,3310000.0,1310000.0,0.0,10000.0,0.0,0.0,280000.0,0.0,1460000.0,63830000.0,53740000.0,160000.0,112090000.0,24240000.0,10000.0,10000.0,5280000.0,0.0,129999.99,5780000.0,28130000.0,0.0,640000.0,0.0,0.0,0.0,4610000.0,23110000.0,0.0,10000.0,0.0,56470000.0,0.0,0.0,0.0,0.0,210000.0,30000.0,180000.0,10000.0,590000.0,0.0,0.0,51120000.0,0.0,190000.0,0.0,0.0,100000.0,40000.0,120000.0,0.0,0.0,0.0,40000.0,13460000.0,0.0,0.0,142390000.0,0.0,370000.0,2310000.0,0.0,0.0,1080000.0,17510000.0,2431110100.0,6580000.0,0.0,1880000.0,30000.0,0.0,4090000.2,970000.0,11580000.0,20000.0,0.0,14610000.0,10650000.0,372770000.0,0.0,59650000.0,230000.0,10000.0,140000.0,0.0,0.0,0.0,0.0,3350000.0,3430000.0,0.0,380000.0,2400000.0,40000.0,40000.0,0.0,0.0,51830000.0,0.0,0.0,5450000.0,200000.0,33430000.0,0.0,0.0,3360000.0,2290000.0,4120000.0,0.0,0.0,0.0,9750000.0,0.0,248430000.0,22820000.0,0.0,237270000.0,7240000.0,0.0,0.0,18480000.0,29830000.0,0.0,500000.0
1998,90000.0,25140000.0,10000.0,0.0,26000000.0,28120000.0,850000.0,0.0,29730000.0,320000.0,2570000.0,0.0,690000.0,10000.0,0.0,1630000.0,1550000.0,3020000.0,0.0,640000.0,1010000.0,0.0,2660000.0,15240000.0,80000.0,1610000.0,0.0,0.0,0.0,40240000.0,380000.0,1170000.0,172110000.0,630000.0,8120000.0,3170000.0,9560000.0,16000000.0,0.0,0.0,0.0,480000.0,0.0,8300000.0,8550000.0,0.0,0.0,2200000.0,0.0,68260000.0,8970000.0,20370000.0,0.0,1990000.0,40000.0,0.0,80000.0,0.0,2210000.0,0.0,15560000.0,17030000.0,2830000.0,70000.0,0.0,0.0,0.0,4330000.0,1370000.0,0.0,10000.0,0.0,0.0,270000.0,0.0,1420000.0,61470000.0,51210000.0,140000.0,105260000.0,34350000.0,10000.0,10000.0,5470000.0,0.0,129999.99,5800000.0,30210000.0,0.0,620000.0,0.0,0.0,0.0,4430000.0,21540000.0,0.0,10000.0,0.0,55460000.0,0.0,0.0,0.0,0.0,200000.0,30000.0,170000.0,10000.0,560000.0,0.0,0.0,51130000.0,0.0,220000.0,0.0,0.0,110000.0,40000.0,120000.0,0.0,0.0,0.0,60000.0,12320000.0,0.0,0.0,129340000.0,0.0,340000.0,2000000.0,0.0,0.0,930000.0,16160000.0,2416889900.0,6790000.0,0.0,1860000.0,40000.0,0.0,3810000.0,1000000.0,10320000.0,20000.0,0.0,14720000.0,10100000.0,385510000.0,0.0,58850000.0,340000.0,10000.0,140000.0,0.0,0.0,0.0,0.0,3310000.0,5130000.0,0.0,400000.0,2530000.0,40000.0,40000.0,0.0,0.0,51700000.0,0.0,0.0,5800000.0,100000.0,34770000.0,0.0,0.0,3260000.0,2460000.0,4490000.0,0.0,0.0,0.0,9020000.0,0.0,245640000.0,23980000.0,0.0,233980000.0,8220000.5,0.0,0.0,18670000.0,29880000.0,0.0,560000.0
1999,90000.0,25260000.0,10000.0,0.0,24560000.0,28780000.0,710000.0,0.0,29830000.0,330000.0,3170000.0,0.0,690000.0,0.0,0.0,1780000.0,1280000.0,3010000.0,0.0,610000.0,950000.0,0.0,2520000.0,16680000.0,80000.0,1800000.0,0.0,0.0,0.0,39790000.0,360000.0,1310000.0,170880000.0,720000.0,7920000.0,2760000.0,10000000.0,15340000.0,0.0,0.0,0.0,610000.0,0.0,7570000.0,8700000.0,0.0,0.0,2900000.0,0.0,68060000.0,8820000.0,21200000.0,0.0,1920000.0,40000.0,0.0,70000.0,0.0,2220000.0,0.0,14410000.0,17260000.0,2830000.0,70000.0,0.0,0.0,0.0,5940000.0,1390000.0,0.0,10000.0,0.0,0.0,250000.0,0.0,1350000.0,61500000.0,51350000.0,140000.0,103610000.0,40850000.0,0.0,10000.0,5520000.0,0.0,120000.0,6030000.0,30600000.0,0.0,370000.0,0.0,0.0,0.0,4440000.0,19850000.0,0.0,10000.0,0.0,51830000.0,0.0,0.0,0.0,0.0,180000.0,30000.0,160000.0,10000.0,550000.0,0.0,0.0,49030000.0,0.0,200000.0,0.0,0.0,120000.0,40000.0,129999.99,0.0,0.0,0.0,80000.0,12160000.0,0.0,0.0,121670000.0,0.0,310000.0,2380000.0,10000.0,0.0,990000.0,16840000.0,2398310100.0,7410000.0,0.0,1720000.0,30000.0,0.0,3540000.0,980000.0,9060000.0,30000.0,0.0,16059999.0,9700000.0,388709980.0,0.0,54950000.0,700000.0,0.0,140000.0,0.0,0.0,0.0,0.0,3140000.0,6840000.0,0.0,430000.0,2540000.0,40000.0,40000.0,0.0,0.0,51970000.0,0.0,0.0,6340000.0,150000.0,47200000.0,0.0,0.0,3640000.0,2620000.0,5490000.0,0.0,0.0,0.0,9480000.0,0.0,238920000.0,23280000.0,0.0,215600000.0,9370000.0,0.0,0.0,20080000.0,29620000.0,0.0,620000.0
